ligand	receptor	ligand_components	receptor_components	resource	source_record_id	pathway_name	annotation	evidence	cofactor_annotations	version	direct_lr_candidate
Tgfb2	Acvr1_Tgfbr1_Tgfbr2	Tgfb2	Acvr1|Tgfbr1|Tgfbr2	CellChatDB.mouse	TGFB2_ACVR1_TGFBR1	TGFb	Secreted Signaling	PMID: 29376829		CellChatDB v1	true
Tgfb3	Acvr1_Tgfbr1_Tgfbr2	Tgfb3	Acvr1|Tgfbr1|Tgfbr2	CellChatDB.mouse	TGFB3_ACVR1_TGFBR1	TGFb	Secreted Signaling	PMID: 29376829		CellChatDB v1	true
Bmp2	Bmpr1a_Acvr2a	Bmp2	Bmpr1a|Acvr2a	CellChatDB.mouse	BMP2_BMPR1A_ACVR2A	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp2	Bmpr1a_Acvr2b	Bmp2	Bmpr1a|Acvr2b	CellChatDB.mouse	BMP2_BMPR1A_ACVR2B	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp2	Bmpr1a_Bmpr2	Bmp2	Bmpr1a|Bmpr2	CellChatDB.mouse	BMP2_BMPR1A_BMPR2	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp2	Bmpr1b_Acvr2a	Bmp2	Bmpr1b|Acvr2a	CellChatDB.mouse	BMP2_BMPR1B_ACVR2A	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp2	Bmpr1b_Acvr2b	Bmp2	Bmpr1b|Acvr2b	CellChatDB.mouse	BMP2_BMPR1B_ACVR2B	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp2	Bmpr1b_Bmpr2	Bmp2	Bmpr1b|Bmpr2	CellChatDB.mouse	BMP2_BMPR1B_BMPR2	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp4	Bmpr1a_Acvr2a	Bmp4	Bmpr1a|Acvr2a	CellChatDB.mouse	BMP4_BMPR1A_ACVR2A	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp4	Bmpr1a_Acvr2b	Bmp4	Bmpr1a|Acvr2b	CellChatDB.mouse	BMP4_BMPR1A_ACVR2B	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp4	Bmpr1a_Bmpr2	Bmp4	Bmpr1a|Bmpr2	CellChatDB.mouse	BMP4_BMPR1A_BMPR2	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp4	Bmpr1b_Acvr2a	Bmp4	Bmpr1b|Acvr2a	CellChatDB.mouse	BMP4_BMPR1B_ACVR2A	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp4	Bmpr1b_Acvr2b	Bmp4	Bmpr1b|Acvr2b	CellChatDB.mouse	BMP4_BMPR1B_ACVR2B	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp4	Bmpr1b_Bmpr2	Bmp4	Bmpr1b|Bmpr2	CellChatDB.mouse	BMP4_BMPR1B_BMPR2	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Gdf5	Bmpr1a_Acvr2a	Gdf5	Bmpr1a|Acvr2a	CellChatDB.mouse	GDF5_BMPR1A_ACVR2A	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Gdf5	Bmpr1a_Acvr2b	Gdf5	Bmpr1a|Acvr2b	CellChatDB.mouse	GDF5_BMPR1A_ACVR2B	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Gdf5	Bmpr1a_Bmpr2	Gdf5	Bmpr1a|Bmpr2	CellChatDB.mouse	GDF5_BMPR1A_BMPR2	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Gdf5	Bmpr1b_Acvr2a	Gdf5	Bmpr1b|Acvr2a	CellChatDB.mouse	GDF5_BMPR1B_ACVR2A	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Gdf5	Bmpr1b_Acvr2b	Gdf5	Bmpr1b|Acvr2b	CellChatDB.mouse	GDF5_BMPR1B_ACVR2B	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Gdf5	Bmpr1b_Bmpr2	Gdf5	Bmpr1b|Bmpr2	CellChatDB.mouse	GDF5_BMPR1B_BMPR2	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Gdf6	Bmpr1a_Acvr2a	Gdf6	Bmpr1a|Acvr2a	CellChatDB.mouse	GDF6_BMPR1A_ACVR2A	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Gdf6	Bmpr1a_Acvr2b	Gdf6	Bmpr1a|Acvr2b	CellChatDB.mouse	GDF6_BMPR1A_ACVR2B	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Gdf6	Bmpr1a_Bmpr2	Gdf6	Bmpr1a|Bmpr2	CellChatDB.mouse	GDF6_BMPR1A_BMPR2	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Gdf6	Bmpr1b_Acvr2a	Gdf6	Bmpr1b|Acvr2a	CellChatDB.mouse	GDF6_BMPR1B_ACVR2A	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Gdf6	Bmpr1b_Acvr2b	Gdf6	Bmpr1b|Acvr2b	CellChatDB.mouse	GDF6_BMPR1B_ACVR2B	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Gdf6	Bmpr1b_Bmpr2	Gdf6	Bmpr1b|Bmpr2	CellChatDB.mouse	GDF6_BMPR1B_BMPR2	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Gdf7	Bmpr1a_Acvr2a	Gdf7	Bmpr1a|Acvr2a	CellChatDB.mouse	GDF7_BMPR1A_ACVR2A	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Gdf7	Bmpr1a_Acvr2b	Gdf7	Bmpr1a|Acvr2b	CellChatDB.mouse	GDF7_BMPR1A_ACVR2B	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Gdf7	Bmpr1a_Bmpr2	Gdf7	Bmpr1a|Bmpr2	CellChatDB.mouse	GDF7_BMPR1A_BMPR2	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Gdf7	Bmpr1b_Acvr2a	Gdf7	Bmpr1b|Acvr2a	CellChatDB.mouse	GDF7_BMPR1B_ACVR2A	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Gdf7	Bmpr1b_Acvr2b	Gdf7	Bmpr1b|Acvr2b	CellChatDB.mouse	GDF7_BMPR1B_ACVR2B	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Gdf7	Bmpr1b_Bmpr2	Gdf7	Bmpr1b|Bmpr2	CellChatDB.mouse	GDF7_BMPR1B_BMPR2	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp15	Bmpr1b_Bmpr2	Bmp15	Bmpr1b|Bmpr2	CellChatDB.mouse	BMP15_BMPR1B_BMPR2	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp5	Acvr1_Acvr2a	Bmp5	Acvr1|Acvr2a	CellChatDB.mouse	BMP5_ACVR1_ACVR2A	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp5	Acvr1_Acvr2b	Bmp5	Acvr1|Acvr2b	CellChatDB.mouse	BMP5_ACVR1_ACVR2B	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp5	Acvr1_Bmpr2	Bmp5	Acvr1|Bmpr2	CellChatDB.mouse	BMP5_ACVR1_BMPR2	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp5	Bmpr1a_Acvr2a	Bmp5	Bmpr1a|Acvr2a	CellChatDB.mouse	BMP5_BMPR1A_ACVR2A	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp5	Bmpr1a_Acvr2b	Bmp5	Bmpr1a|Acvr2b	CellChatDB.mouse	BMP5_BMPR1A_ACVR2B	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp5	Bmpr1a_Bmpr2	Bmp5	Bmpr1a|Bmpr2	CellChatDB.mouse	BMP5_BMPR1A_BMPR2	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp5	Bmpr1b_Acvr2a	Bmp5	Bmpr1b|Acvr2a	CellChatDB.mouse	BMP5_BMPR1B_ACVR2A	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp5	Bmpr1b_Acvr2b	Bmp5	Bmpr1b|Acvr2b	CellChatDB.mouse	BMP5_BMPR1B_ACVR2B	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp5	Bmpr1b_Bmpr2	Bmp5	Bmpr1b|Bmpr2	CellChatDB.mouse	BMP5_BMPR1B_BMPR2	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp6	Acvr1_Acvr2a	Bmp6	Acvr1|Acvr2a	CellChatDB.mouse	BMP6_ACVR1_ACVR2A	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp6	Acvr1_Acvr2b	Bmp6	Acvr1|Acvr2b	CellChatDB.mouse	BMP6_ACVR1_ACVR2B	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp6	Acvr1_Bmpr2	Bmp6	Acvr1|Bmpr2	CellChatDB.mouse	BMP6_ACVR1_BMPR2	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp6	Bmpr1a_Acvr2a	Bmp6	Bmpr1a|Acvr2a	CellChatDB.mouse	BMP6_BMPR1A_ACVR2A	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp6	Bmpr1a_Acvr2b	Bmp6	Bmpr1a|Acvr2b	CellChatDB.mouse	BMP6_BMPR1A_ACVR2B	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp6	Bmpr1a_Bmpr2	Bmp6	Bmpr1a|Bmpr2	CellChatDB.mouse	BMP6_BMPR1A_BMPR2	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp6	Bmpr1b_Acvr2a	Bmp6	Bmpr1b|Acvr2a	CellChatDB.mouse	BMP6_BMPR1B_ACVR2A	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp6	Bmpr1b_Acvr2b	Bmp6	Bmpr1b|Acvr2b	CellChatDB.mouse	BMP6_BMPR1B_ACVR2B	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp6	Bmpr1b_Bmpr2	Bmp6	Bmpr1b|Bmpr2	CellChatDB.mouse	BMP6_BMPR1B_BMPR2	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp7	Acvr1_Acvr2a	Bmp7	Acvr1|Acvr2a	CellChatDB.mouse	BMP7_ACVR1_ACVR2A	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp7	Acvr1_Acvr2b	Bmp7	Acvr1|Acvr2b	CellChatDB.mouse	BMP7_ACVR1_ACVR2B	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp7	Acvr1_Bmpr2	Bmp7	Acvr1|Bmpr2	CellChatDB.mouse	BMP7_ACVR1_BMPR2	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp7	Bmpr1a_Acvr2a	Bmp7	Bmpr1a|Acvr2a	CellChatDB.mouse	BMP7_BMPR1A_ACVR2A	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp7	Bmpr1a_Acvr2b	Bmp7	Bmpr1a|Acvr2b	CellChatDB.mouse	BMP7_BMPR1A_ACVR2B	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp7	Bmpr1a_Bmpr2	Bmp7	Bmpr1a|Bmpr2	CellChatDB.mouse	BMP7_BMPR1A_BMPR2	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp7	Bmpr1b_Acvr2a	Bmp7	Bmpr1b|Acvr2a	CellChatDB.mouse	BMP7_BMPR1B_ACVR2A	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp7	Bmpr1b_Acvr2b	Bmp7	Bmpr1b|Acvr2b	CellChatDB.mouse	BMP7_BMPR1B_ACVR2B	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp7	Bmpr1b_Bmpr2	Bmp7	Bmpr1b|Bmpr2	CellChatDB.mouse	BMP7_BMPR1B_BMPR2	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp8a	Acvr1_Acvr2a	Bmp8a	Acvr1|Acvr2a	CellChatDB.mouse	BMP8A_ACVR1_ACVR2A	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp8a	Acvr1_Acvr2b	Bmp8a	Acvr1|Acvr2b	CellChatDB.mouse	BMP8A_ACVR1_ACVR2B	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp8a	Acvr1_Bmpr2	Bmp8a	Acvr1|Bmpr2	CellChatDB.mouse	BMP8A_ACVR1_BMPR2	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp8a	Bmpr1a_Acvr2a	Bmp8a	Bmpr1a|Acvr2a	CellChatDB.mouse	BMP8A_BMPR1A_ACVR2A	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp8a	Bmpr1a_Acvr2b	Bmp8a	Bmpr1a|Acvr2b	CellChatDB.mouse	BMP8A_BMPR1A_ACVR2B	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp8a	Bmpr1a_Bmpr2	Bmp8a	Bmpr1a|Bmpr2	CellChatDB.mouse	BMP8A_BMPR1A_BMPR2	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp8a	Bmpr1b_Acvr2a	Bmp8a	Bmpr1b|Acvr2a	CellChatDB.mouse	BMP8A_BMPR1B_ACVR2A	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp8a	Bmpr1b_Acvr2b	Bmp8a	Bmpr1b|Acvr2b	CellChatDB.mouse	BMP8A_BMPR1B_ACVR2B	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp8a	Bmpr1b_Bmpr2	Bmp8a	Bmpr1b|Bmpr2	CellChatDB.mouse	BMP8A_BMPR1B_BMPR2	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp8b	Acvr1_Acvr2a	Bmp8b	Acvr1|Acvr2a	CellChatDB.mouse	BMP8B_ACVR1_ACVR2A	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp8b	Acvr1_Acvr2b	Bmp8b	Acvr1|Acvr2b	CellChatDB.mouse	BMP8B_ACVR1_ACVR2B	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp8b	Acvr1_Bmpr2	Bmp8b	Acvr1|Bmpr2	CellChatDB.mouse	BMP8B_ACVR1_BMPR2	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp8b	Bmpr1a_Acvr2a	Bmp8b	Bmpr1a|Acvr2a	CellChatDB.mouse	BMP8B_BMPR1A_ACVR2A	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp8b	Bmpr1a_Acvr2b	Bmp8b	Bmpr1a|Acvr2b	CellChatDB.mouse	BMP8B_BMPR1A_ACVR2B	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp8b	Bmpr1a_Bmpr2	Bmp8b	Bmpr1a|Bmpr2	CellChatDB.mouse	BMP8B_BMPR1A_BMPR2	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp8b	Bmpr1b_Acvr2a	Bmp8b	Bmpr1b|Acvr2a	CellChatDB.mouse	BMP8B_BMPR1B_ACVR2A	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp8b	Bmpr1b_Acvr2b	Bmp8b	Bmpr1b|Acvr2b	CellChatDB.mouse	BMP8B_BMPR1B_ACVR2B	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp8b	Bmpr1b_Bmpr2	Bmp8b	Bmpr1b|Bmpr2	CellChatDB.mouse	BMP8B_BMPR1B_BMPR2	BMP	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP inhibition receptor;BMP antagonist	CellChatDB v1	true
Bmp10	Acvrl1_Bmpr2	Bmp10	Acvrl1|Bmpr2	CellChatDB.mouse	BMP10_ACVRL1_BMPR2	BMP10	Secreted Signaling	KEGG: mmu04350; PMID:26893264; PMID: 25620979	BMP10 activation receptor	CellChatDB v1	true
Bmp10	Acvrl1_Acvr2a	Bmp10	Acvrl1|Acvr2a	CellChatDB.mouse	BMP10_ACVRL1_ACVR2A	BMP10	Secreted Signaling	KEGG: mmu04350; PMID:26893264; PMID: 25620979	BMP10 activation receptor	CellChatDB v1	true
Gdf2	Acvrl1_Bmpr2	Gdf2	Acvrl1|Bmpr2	CellChatDB.mouse	GDF2_ACVRL1_BMPR2	BMP10	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP10 activation receptor	CellChatDB v1	true
Gdf2	Acvrl1_Acvr2a	Gdf2	Acvrl1|Acvr2a	CellChatDB.mouse	GDF2_ACVRL1_ACVR2A	BMP10	Secreted Signaling	KEGG: mmu04350; PMID:26893264	BMP10 activation receptor	CellChatDB v1	true
Gdf9	Acvr1b_Bmpr2	Gdf9	Acvr1b|Bmpr2	CellChatDB.mouse	GDF9_ACVR1B_BMPR2	GDF	Secreted Signaling	KEGG: mmu04350		CellChatDB v1	true
Gdf10	Acvr1b_Acvr2a	Gdf10	Acvr1b|Acvr2a	CellChatDB.mouse	GDF10_ACVR1B_ACVR2A	GDF	Secreted Signaling	KEGG: mmu04350		CellChatDB v1	true
Gdf11	Tgfbr1_Acvr2a	Gdf11	Tgfbr1|Acvr2a	CellChatDB.mouse	GDF11_TGFBR1_ACVR2A	GDF	Secreted Signaling	KEGG: mmu04350		CellChatDB v1	true
Gdf11	Tgfbr1_Acvr2b	Gdf11	Tgfbr1|Acvr2b	CellChatDB.mouse	GDF11_TGFBR1_ACVR2B	GDF	Secreted Signaling	KEGG: mmu04350		CellChatDB v1	true
Gdf11	Acvr1b_Acvr2b	Gdf11	Acvr1b|Acvr2b	CellChatDB.mouse	GDF11_ACVR1B_ACVR2B	GDF	Secreted Signaling	KEGG: mmu04350		CellChatDB v1	true
Gdf15	Tgfbr2	Gdf15	Tgfbr2	CellChatDB.mouse	GDF15_TGFBR2	GDF	Secreted Signaling	KEGG: mmu04350		CellChatDB v1	true
Mstn	Tgfbr1_Acvr2b	Mstn	Tgfbr1|Acvr2b	CellChatDB.mouse	MSTN_TGFBR1_ACVR2B	MSTN	Secreted Signaling	KEGG: mmu04060		CellChatDB v1	true
Mstn	Acvr1b_Acvr2b	Mstn	Acvr1b|Acvr2b	CellChatDB.mouse	MSTN_ACVR1B_ACVR2B	MSTN	Secreted Signaling	KEGG: mmu04060		CellChatDB v1	true
Mstn	Acvr1b_Acvr2a	Mstn	Acvr1b|Acvr2a	CellChatDB.mouse	MSTN_ACVR1B_ACVR2A	MSTN	Secreted Signaling	KEGG: mmu04060		CellChatDB v1	true
Mstn	Tgfbr1_Acvr2a	Mstn	Tgfbr1|Acvr2a	CellChatDB.mouse	MSTN_TGFBR1_ACVR2A	MSTN	Secreted Signaling	KEGG: mmu04060		CellChatDB v1	true
Amh	Amhr2_Acvr1	Amh	Amhr2|Acvr1	CellChatDB.mouse	AMH_AMHR2_ACVR1	AMH	Secreted Signaling	KEGG: mmu04060		CellChatDB v1	true
Amh	Amhr2_Bmpr1a	Amh	Amhr2|Bmpr1a	CellChatDB.mouse	AMH_AMHR2_BMPR1A	AMH	Secreted Signaling	KEGG: mmu04060		CellChatDB v1	true
Gdnf	Gfra1_Ret	Gdnf	Gfra1|Ret	CellChatDB.mouse	GDNF_GFRA1	GDNF	Secreted Signaling	PMID: 11544105		CellChatDB v1	true
Nrtn	Gfra2_Ret	Nrtn	Gfra2|Ret	CellChatDB.mouse	NRTN_GFRA2	GDNF	Secreted Signaling	PMID: 11544105		CellChatDB v1	true
Artn	Gfra3_Ret	Artn	Gfra3|Ret	CellChatDB.mouse	ARTN_GFRA3	GDNF	Secreted Signaling	PMID: 11544105		CellChatDB v1	true
Pspn	Gfra4_Ret	Pspn	Gfra4|Ret	CellChatDB.mouse	PSPN_GFRA4	GDNF	Secreted Signaling	PMID: 11544105		CellChatDB v1	true
