edge_id	source_entity	relation_type	target_entity	pathway_name	effect_polarity	directionality	upstream_signal_context	receptor_or_target_context	cell_type_context	compartment_context	species_context	injury_context	evidence_layer	evidence_status	context_scope	confidence_tier	export_priority	curator_decision
M24A-E011	RvD3	promotes	inflammatory resolution and neuroprotection	pro-resolving lipid mediator function	increasing	directed	intrathecal RvD3 exposure	receptor unresolved	mouse macrophage/endothelial comparator and SCI tissue	lesion/vascular compartment	mouse	SCI	downstream_pathway_or_cellular_function	reviewed_first_pass	intrathecal RvD3 study	medium	P2	RETAIN_AS_FUNCTIONAL_OUTPUT_RECEPTOR_UNRESOLVED
M24A-E012	RvD1	promotes	anti-inflammatory/regenerative outcome	pro-resolving lipid mediator co-therapy	increasing	directed	RvD1 co-administration	receptor unresolved	rat SCI and peripheral-nerve-derived stem-cell spheroids	lesion/repair compartment	rat	SCI	downstream_pathway_or_cellular_function	reviewed_first_pass	combination therapy	medium	P2	RETAIN_AS_COMBINATION_FUNCTION_RECEPTOR_UNRESOLVED
M24A-E013	activated protein C	neutralizes	extracellular histone H3 neurite inhibition	coagulation-linked protease danger adjacency	decreasing	directed	APC protease activity and extracellular histone H3	PAR1 not established	CNS neurons/optic nerve comparator and human SCI CSF	neural extracellular compartment	human; mouse; rat	SCI plus comparator injury	downstream_pathway_or_cellular_function	reviewed_first_pass	APC rescue of histone-mediated neurite inhibition	medium-high	P2	RETAIN_AS_PROTEASE_ADJACENCY_NOT_PAR1_EDGE
M24A-E014	C3 breakdown fragments	engages	CR2 domain of engineered CR2-Crry	complement fragment targeting and SCI protection	modulating	directed	C3 activation and breakdown-fragment deposition	engineered CR2-Crry inhibitor domain	injured spinal cord and lesion vasculature	lesion extracellular compartment	mouse	traumatic SCI	receptor_or_sensor_engagement	reviewed_batch002	engineered inhibitor targeting	medium	P1	RETAIN_AS_FRAGMENT_TARGETING_NOT_ENDOGENOUS_C3_CR2_EDGE
M24A-E015	CR2-associated injury response	modulates	synaptic terminal loss	complement receptor-associated synaptic function	modulating	directed	injury-induced CR2 expression	CR2 context; endogenous ligand unresolved	spinal motor-neuron synapse compartment	injured peripheral nerve	rat; mouse	peripheral nerve injury	downstream_pathway_or_cellular_function	reviewed_batch002	Cr2 knockout and synaptic readouts	medium	P2	RETAIN_AS_RECEPTOR_FUNCTION_CONTEXT_NOT_DIRECT_LIGAND_EDGE
M24A-E016	HMGB1-associated DAMP signal	activates	TLR2/4-ERK/JNK-NF-kB inflammatory recruitment	DAMP/TLR boundary relay	increasing	directed	HMGB1 release after injury	TLR2/TLR4 inhibitor context	astrocytes, macrophages, and injured cord	lesion inflammatory compartment	rat	SCI	receptor_proximal_relay	reviewed_batch003	HMGB1 stimulation and receptor inhibition	high	P2	RETAIN_AS_DAMP_TLR_BOUNDARY_RELAY
M24A-E017	S100A8-associated DAMP signal	activates	TLR4-ERK/NF-kB inflammatory injury	DAMP/TLR boundary relay	increasing	directed	S100A8 manipulation after ischemia-reperfusion	TLR4/TAK-242 context	spinal cord inflammatory compartment	lesion inflammatory compartment	rat	spinal cord ischemia-reperfusion	receptor_proximal_relay	reviewed_batch003	S100A8 manipulation and TAK-242	medium-high	P2	RETAIN_AS_DAMP_TLR_BOUNDARY_RELAY
M24A-E018	ATP	activates	P2X4R	purinergic pain relay	increasing	directed	extracellular ATP	P2X4R pharmacology	spinal pain and sensory compartments	plasma membrane and lesion	rat	contusion SCI	ligand_receptor_activation	reviewed_batch003	ATP-evoked calcium and P2X agonist challenge	medium-high	P1	RETAIN_AS_PHARMACOLOGIC_RECEPTOR_EDGE
M24A-E019	CCL2/CCR2 axis	promotes	monocyte recruitment and myelin clearance	chemokine receptor functional boundary	increasing	directed	CCL2-associated monocyte recruitment	CCR2 knockout context	monocytes, macrophages, and myelin compartment	lesion and myelin compartment	mouse	thoracic contusion SCI	downstream_pathway_or_cellular_function	reviewed_batch003	CCR2 knockout	high	P2	RETAIN_AS_DOWNSTREAM_FUNCTION_NOT_NEW_LR_CLASSIFICATION
M24A-E020	CCL28/CCR10 axis	promotes	Treg recruitment and recovery	chemokine receptor functional boundary	increasing	directed	CCL28-associated Treg recruitment	CCR10 neutralization and recombinant ligand context	Treg and lesion-recovery compartments	lesion and repair compartment	mouse	SCI	downstream_pathway_or_cellular_function	reviewed_batch003	neutralization, recombinant CCL28, transwell, locomotion	high	P2	RETAIN_AS_DOWNSTREAM_FUNCTION_NOT_NEW_LR_CLASSIFICATION
M24A-E021	CCL3-associated inflammatory state	modulates	secondary damage with CCR1 co-expression	chemokine receptor context	increasing	directed	CCL3 expression and knockout	CCR1 co-expression; receptor perturbation absent	injured cord inflammatory compartment	lesion compartment	mouse; rat	contusion SCI	downstream_pathway_or_cellular_function	reviewed_batch003	CCL3 knockout and expression profiling	medium	P2	RETAIN_AS_CONTEXT_NOT_DIRECT_CCL3_CCR1_EDGE
M24A-E022	tenascin-C-containing alarmin milieu	modulates	TLR4-associated IL-1/NF-kB inflammatory program	ECM-DAMP/TLR boundary relay	increasing	directed	Tenascin-C release after injury	pooled alarmin/TLR4 inhibition	lesion inflammatory compartment	injured cord extracellular compartment	mouse	T10 contusion SCI	downstream_pathway_or_cellular_function	reviewed_batch003	TNC profiling and pooled inhibition	medium	P2	RETAIN_AS_ALARMIN_CONTEXT_NOT_DIRECT_TNC_TLR4_EDGE
M24A-E023	decorin	modulates	plasminogen/plasmin-CSPG remodeling and axon-growth permissiveness	extracellular protease adjacency	modulating	directed	decorin infusion after SCI	plasminogen/plasmin activity context	adult spinal-cord microglia and ECM	lesion extracellular compartment	rat	SCI	downstream_pathway_or_cellular_function	reviewed_batch003	decorin infusion and protease assays	medium	P2	RETAIN_AS_PROTEASE_ADJACENCY_NOT_TLR2_EDGE
M24A-E024	TLR4 signaling	modulates	MMP9/ECM remodeling	reverse-direction DAMP-ECM pathway context	modulating	directed	TLR4 deletion	MMP9 expression and ECM assays	injured cord ECM compartment	lesion extracellular compartment	mouse	chronic contusion SCI	downstream_pathway_or_cellular_function	reviewed_batch003	TLR4 deletion and MMP9 readouts	medium	P2	RETAIN_AS_REVERSE_DIRECTION_NOT_MMP9_TLR4_EDGE
M24A-E025	CCL8	activates	CCR2B	chemokine receptor comparator pharmacology	increasing	directed	CCL8/MCP-2 exposure	CCR2B comparator context	human peripheral-blood monocytes	cell surface	human	peripheral blood comparator	ligand_receptor_activation	reviewed_batch004	binding and chemotaxis	high molecular; low SCI relevance	P3	RETAIN_AS_COMPARATOR_ONLY_NOT_SCI_EDGE
M24A-E026	CCL8	activates	CCR3	chemokine receptor comparator pharmacology	increasing	directed	CCL8 exposure	CCR3-transfected human receptor context	CCR3-transfected cells	cell surface	human	recombinant receptor comparator	ligand_receptor_activation	reviewed_batch004	QCM binding, internalization, chemotaxis	high molecular; low SCI relevance	P3	RETAIN_AS_COMPARATOR_ONLY_NOT_SCI_EDGE
M24A-E027	CX3CL1/CX3CR1 axis	promotes	microglial migration, wound repair, and axon preservation	CX3CL1-CX3CR1 SCI repair	promoting	directed	CX3CL1 exposure after injury	CX3CR1-deficient context	lesion microglia and injured cord	lesion and repair compartment	mouse	SCI	downstream_pathway_or_cellular_function	reviewed_batch004	exogenous ligand and CX3CR1-deficient mice	high	P1	RETAIN_AS_FUNCTIONAL_RECEPTOR_CONTEXT_NOT_DIRECT_BINDING
M24A-E028	CXCL1	activates	CXCR2-neutrophil mobilization	CXCL1-CXCR2-C3aR1/PTEN relay	increasing	directed	CXCL1 release after SCI	CXCR2 antagonist and C3aR1 coactivation	bone-marrow neutrophils and injured cord	vascular and lesion compartment	mouse	traumatic SCI	receptor_proximal_relay	reviewed_batch004	recombinant migration and antagonist assays	high	P1	RETAIN_AS_RECEPTOR_FUNCTIONAL_EDGE_NOT_PURIFIED_BINDING
M24A-E029	CXCL10	activates	CXCR3-associated glial activation and pain	CXCL10-CXCR3 injury relay	increasing	directed	CXCL10 after ischemia-reperfusion	CXCR3 antagonist AMD487	microglia, astrocytes, and injured cord	lesion inflammatory compartment	rat	spinal cord ischemia-reperfusion	receptor_proximal_relay	reviewed_batch004	recombinant ligand and antagonist assays	medium-high	P2	RETAIN_AS_INJURY_RECEPTOR_CONTEXT_NOT_CONTUSION_SPECIFIC
M24A-E030	CXCL2/CXCR2-associated state	modulates	granulocyte recruitment program	CXCL2-CXCR2 inflammatory context	modulating	directed	CXCL2 expression in damage-associated microglia	transcriptomic/contextual receptor assignment	damage-associated microglia and injured cord	lesion inflammatory compartment	mouse	contusion SCI	downstream_pathway_or_cellular_function	reviewed_batch004	scRNA-seq and expression validation	medium	P2	RETAIN_AS_PATHWAY_CONTEXT_NOT_DIRECT_EDGE
M24A-E031	CXCL3	promotes	macrophage-fibroblast fibrous scar crosstalk	CXCL3-CXCR2 scar relay	promoting	directed	CXCL3 administration after SCI	CXCR2 inhibitor and conditioned-medium context	macrophages, fibroblasts, and injured cord	fibrous scar compartment	mouse	traumatic SCI	receptor_proximal_relay	reviewed_batch004	ligand administration and CXCR2 inhibition	medium-high	P2	RETAIN_AS_FUNCTIONAL_RECEPTOR_CONTEXT_NOT_PURIFIED_BINDING
M24A-E032	CXCL5/CXCR2 axis	promotes	spinal neuropathic pain	CXCL5-CXCR2 comparator pain relay	increasing	directed	CXCL5 exposure after nerve injury	CXCR2 antagonist SB225002	spinal neurons and injured nerve comparator	spinal pain compartment	rat	chronic constriction nerve injury	downstream_pathway_or_cellular_function	reviewed_batch004	intrathecal ligand, neutralization, antagonist, GSK3beta assays	medium-high	P3	RETAIN_AS_COMPARATOR_ONLY_NOT_TRAUMATIC_SCI
M24A-E033	XCL1/XCR1 axis	modulates	neuropathic pain	XCL1-XCR1 comparator context	modulating	directed	XCL1 exposure after nerve injury	XCR1 blockade	peripheral nerve injury compartment	injured nerve	mouse	peripheral nerve injury	downstream_pathway_or_cellular_function	reviewed_batch004	ligand manipulation and XCR1 blockade	medium	P3	RETAIN_AS_COMPARATOR_ONLY_NOT_TRAUMATIC_SCI
M24A-E034	CCN1	binds	SDC4	CCN1-SDC4 debris-buffering repair	increasing	directed	astrocyte-derived CCN1 after incomplete SCI	microglial SDC4 context	lesion-remote astrocytes and microglia	lesion and repair compartment	mouse	incomplete SCI	ligand_receptor_binding	reviewed_batch004	binding and relay validation	high	P1	RETAIN_AS_DIRECT_SCI_BINDING_EDGE
M24A-E035	CCN1/SDC4 axis	promotes	microglial debris processing and neurologic recovery	CCN1-SDC4 repair relay	promoting	directed	astrocyte CCN1 depletion	SDC4-associated microglial lipid/debris processing	astrocytes, microglia, and injured cord	lesion and repair compartment	mouse	incomplete SCI	downstream_pathway_or_cellular_function	reviewed_batch004	Ccn1 deletion, debris clearance, recovery assays	high	P1	RETAIN_AS_RECEPTOR_PROXIMAL_FUNCTIONAL_EDGE
M24A-E036	activated protein C	engages	PAR1/EPCR complex	EPCR-beta-arrestin-Dvl2-Rac1 barrier relay	protective	directed	APC treatment after contusive SCI	EPCR occupancy and PAR1 cleavage/biased signaling	endothelial cells, astrocytes, and injured cord	vascular and lesion compartment	mouse; human-cell comparator	contusive SCI; endothelial comparator	receptor_proximal_relay	reviewed_batch001A	direct receptor-complex comparator with SCI functional dependence	high	P1	RETAIN_AS_RECEPTOR_COMPLEX_RELAY_NOT_PURIFIED_SCI_BINDING
M24A-E037	activated protein C/PAR1 axis	promotes	locomotor recovery and blood-spinal-cord barrier integrity	APC-PAR1 biased cytoprotective program	protective	directed	acute APC after contusive SCI	PAR1-null dependence and barrier/neutrophil assays	injured cord, vasculature, and reactive astrocytes	lesion and vascular compartment	mouse	contusive SCI	downstream_pathway_or_cellular_function	reviewed_batch001A	PAR1-null and APC-treatment recovery assays	high	P1	RETAIN_AS_FUNCTIONAL_SCI_EDGE_WITH_PAR1_DEPENDENCE
M24A-E038	bradykinin	activates	BDKRB2	BDKRB2-PLC/IP3-Ca2+-GDNF relay	increasing	directed	bradykinin exposure in spinal preparations and microglia	BDKRB2 pharmacology and GDNF induction	spinal motor neurons and microglia	spinal cord and microglial compartment	mouse	neonatal SCI and microglia model	receptor_proximal_relay	reviewed_batch001A	BK exposure and B2R antagonist/microglial GDNF assays	medium-high	P1	RETAIN_AS_RECEPTOR_PROXIMAL_EDGE_BDKRB1_UNRESOLVED
M24A-E039	C3a	activates	C3aR1	C3aR1-PTEN antagonism of CXCR2/PI3K-AKT	protective	directed	C3a generation after contusive SCI	C3aR1 deletion, CXCR2 blockade, and PTEN/PI3K-AKT assays	bone-marrow neutrophils and injured cord	vascular and lesion compartment	mouse	traumatic contusive SCI	receptor_proximal_relay	reviewed_batch001A	C3a measurements and C3aR1-dependent neutrophil mobilization assays	high	P1	RETAIN_AS_COGNATE_FRAGMENT_RECEPTOR_RELAY_NOT_PURIFIED_BINDING
M24A-E040	C5a	activates	C5aR1	C5aR1 acute inflammation and post-acute astrocyte relay	phase-dependent	directed	C5a generation after contusive SCI	C5aR1 knockout, antagonist, chimeras, and astrocyte assays	astrocytes, CNS-resident cells, and infiltrating leukocytes	lesion and glial-scar compartment	mouse	contusive SCI	receptor_proximal_relay	reviewed_batch001A	C5aR1 genetic/pharmacologic timing study	high	P1	RETAIN_AS_COGNATE_FRAGMENT_RECEPTOR_RELAY_TIME_DEPENDENT
M24A-E041	thrombin	activates	PAR1	PAR1-Rho/ERK/MAPK-NF-kB/JAK2-STAT3 relay	injurious	directed	thrombin accumulation after SCI	PAR1 antagonist, agonist, siRNA, and thrombin exposure	astrocytes, neurons, and injured cord	vascular, glial, and lesion compartment	mouse; rat	contusive SCI and root-compression comparator	receptor_proximal_relay	reviewed_batch001A	thrombin/PAR1 perturbation and astrocyte signaling assays	high	P1	RETAIN_AS_SCI_PAR1_EDGE_PAR3_PAR4_NOT_SCI_VALIDATED
M24A-E042	thrombin	engages	PAR3/PAR4 platelet complex	thrombin-cleavage and PAR3-assisted-PAR4 relay	increasing	directed	thrombin exposure in platelet comparator	PAR3 deletion, receptor cleavage, and platelet activation assays	mouse platelets and recombinant receptor systems	platelet compartment	mouse; human comparator	non-SCI platelet comparator	receptor_proximal_relay	reviewed_batch001A	primary thrombin-PAR3/PAR4 comparator studies	medium molecular; low SCI relevance	P3	RETAIN_AS_COMPARATOR_COMPLEX_NOT_TRAUMATIC_SCI_EDGE
M24A-E043	hemokinin-1	activates	Tacr1	hemokinin-1-NK1 GPCR relay	increasing	directed	Tac4-derived hemokinin-1 pharmacology	Tacr1 binding and agonism	hematopoietic and recombinant receptor systems	immune and receptor compartment	mouse;human comparator	non-SCI comparator	ligand_receptor_binding	reviewed_batch001B	recombinant binding and native-tissue pharmacology	high	P2	RETAIN_AS_COMPARATOR_RECEPTOR_EDGE_NO_SCI_RELEASE
M24A-E044	hemokinin-1	activates	Tacr2	hemokinin-1-NK2 GPCR relay	increasing	directed	Tac4-derived hemokinin-1 pharmacology	Tacr2 agonism	recombinant receptor and native tissue	receptor and smooth-muscle compartment	human;rabbit;guinea-pig comparator	non-SCI comparator	ligand_receptor_activation	reviewed_batch001B	full but weaker agonism pharmacology	medium	P3	RETAIN_AS_WEAK_COMPARATOR_CROSS_REACTIVITY
M24A-E045	hemokinin-1	activates	Tacr3	hemokinin-1-NK3 GPCR relay	increasing	directed	Tac4-derived hemokinin-1 pharmacology	Tacr3 agonism	native guinea-pig tissue and recombinant context	smooth-muscle and receptor compartment	guinea-pig comparator	non-SCI comparator	ligand_receptor_activation	reviewed_batch001B	low-potency agonism pharmacology	medium-low	P3	RETAIN_AS_LOW_POTENCY_COMPARATOR
M24A-E046	neurokinin A	activates	Tacr1	NKA-NK1 GPCR/PLC-Ca2+ relay	increasing	directed	Tac1-derived neurokinin A pharmacology	Tacr1 binding and second messenger activation	recombinant human receptor and mouse tissue	receptor and spinal comparator compartment	human;mouse comparator	non-SCI comparator	ligand_receptor_activation	reviewed_batch001B	recombinant binding and Ca2+/cAMP assays	high	P2	RETAIN_AS_COMPARATOR_RECEPTOR_EDGE_NO_SCI_RELEASE
M24A-E047	neurokinin A	activates	Tacr2	NKA-NK2 GPCR/PLC-Ca2+ relay	increasing	directed	Tac1-derived neurokinin A pharmacology	Tacr2 binding and second messenger activation	recombinant human receptor and mouse tissue	receptor and spinal comparator compartment	human;mouse comparator	non-SCI comparator	ligand_receptor_activation	reviewed_batch001B	recombinant binding and Ca2+/cAMP assays	high	P2	RETAIN_AS_PREFERRED_COMPARATOR_RECEPTOR_EDGE
M24A-E048	neurokinin A	modulates	Tacr3	NKA-NK3 weak cross-reactivity	modulating	directed	Tac1-derived neurokinin A pharmacology	weak Tacr3 agonism	recombinant receptor and native tissue	receptor compartment	human comparator	non-SCI comparator	ligand_receptor_activation	reviewed_batch001B	low-potency cross-reactivity assays	medium-low	P3	RETAIN_AS_WEAK_CROSS_REACTIVITY_NOT_SCI_EDGE
M24A-E049	neurokinin B	modulates	Tacr1	NKB-NK1 weak cross-reactivity	modulating	directed	Tac3-derived neurokinin B pharmacology	weak Tacr1 binding	recombinant receptor	receptor compartment	human comparator	non-SCI comparator	ligand_receptor_binding	reviewed_batch001B	low-affinity binding pharmacology	low	P3	RETAIN_AS_LOW_AFFINITY_COMPARATOR_ONLY
M24A-E050	neurokinin B	modulates	Tacr2	NKB-NK2 weak cross-reactivity	modulating	directed	Tac3-derived neurokinin B pharmacology	weak Tacr2 native-tissue activity	mouse native tissue	receptor and smooth-muscle compartment	mouse comparator	non-SCI comparator	ligand_receptor_activation	reviewed_batch001B	nonpreferred tissue pharmacology	low-medium	P3	RETAIN_AS_WEAK_COMPARATOR_ONLY
M24A-E051	neurokinin B	activates	Tacr3	NKB-NK3 GPCR relay	increasing	directed	Tac3-derived neurokinin B pharmacology	high-affinity Tacr3 binding and effector activation	cloned human receptor and recombinant cells	receptor compartment	human comparator	non-SCI comparator	ligand_receptor_activation	reviewed_batch001B	cloned receptor binding and signaling assays	high	P2	RETAIN_AS_COGNATE_COMPARATOR_RECEPTOR_EDGE_NO_SCI_RELEASE
M24A-E052	neuropeptide gamma	binds	Tacr1	NPgamma-NK1 binding branch	modulating	directed	neuropeptide gamma pharmacology	Tacr1 binding sites	rat brain autoradiography	central nervous system comparator	rat comparator	non-SCI comparator	ligand_receptor_binding	reviewed_batch001B	autoradiographic binding assay	medium-low	P3	RETAIN_AS_BINDING_SITE_COMPARATOR_NOT_FUNCTIONAL_SCI_EDGE
M24A-E053	neuropeptide gamma	modulates	Tacr2	NPgamma-NK2 native-tissue relay	modulating	directed	neuropeptide gamma pharmacology	Tacr2-type contractile response	mouse bladder/stomach comparator	smooth-muscle compartment	mouse comparator	non-SCI comparator	ligand_receptor_activation	reviewed_batch001B	native-tissue pharmacology	medium	P3	RETAIN_AS_NATIVE_TISSUE_COMPARATOR_ONLY
M24A-E054	substance P	activates	Tacr1	SP-NK1-PLC-Ca2+/ERK-p38 relay	increasing	directed	Tac1-derived substance P release	Tacr1 binding and agonism	recombinant receptor, rat SCI, and spinal progenitor models	spinal and receptor compartment	rat;human;mouse comparator	SCI and comparator	receptor_proximal_relay	reviewed_batch001B	binding, antagonist, ERK/p38, bladder, and progenitor assays	high	P1	RETAIN_AS_COGNATE_SCI_RELEVANT_TACHYKININ_EDGE
M24A-E055	substance P	activates	Tacr2	SP-NK2 GPCR relay	increasing	directed	Tac1-derived substance P pharmacology	Tacr2 binding and agonism	recombinant receptor and native tissue	receptor and smooth-muscle compartment	human;mouse comparator	non-SCI comparator	ligand_receptor_activation	reviewed_batch001B	recombinant and native-tissue pharmacology	high molecular; low SCI relevance	P3	RETAIN_AS_COMPARATOR_RECEPTOR_EDGE_NO_SCI_TacR2_FUNCTION
M24A-E056	substance P	modulates	Tacr3	SP-NK3 weak GPCR cross-reactivity	modulating	directed	Tac1-derived substance P pharmacology	lower-potency Tacr3 agonism	cloned receptor comparator	receptor compartment	human comparator	non-SCI comparator	ligand_receptor_activation	reviewed_batch001B	cloned receptor pharmacology	medium	P3	RETAIN_AS_WEAK_COMPARATOR_CROSS_REACTIVITY
M24A-E057	Tac1-derived substance P	promotes	Tacr1-associated SCI program	Tac1-SP-NK1-ERK/p38 branch	promoting	directed	Tac1 precursor processing and SP release after SCI	Tacr1 antagonist and peptide-function context	spinal progenitors and injured cord	spinal lesion and autonomic compartment	rat;mouse	SCI	downstream_pathway_or_cellular_function	reviewed_batch001B	SCI SP increase, NK1 blockade, and progenitor assays	high	P1	RETAIN_AS_PEPTIDE_DERIVED_FUNCTIONAL_EDGE_NOT_TAC1_PROTEIN_BINDING
M24A-E058	Tac1-derived neurokinin A	modulates	Tacr2-associated spinal sensitization	Tac1-NKA-NK2 branch	modulating	directed	Tac1 precursor processing and NKA spinal pharmacology	Tacr2 antagonist and NKA reflex assays	spinal neurons and sensory pathways	spinal comparator compartment	rat comparator	non-SCI comparator	downstream_pathway_or_cellular_function	reviewed_batch001B	intrathecal NKA and NK2 antagonist assays	medium	P3	RETAIN_AS_PEPTIDE_DERIVED_COMPARATOR_NOT_DIRECT_TAC1_EDGE
M24A-E059	Tac4-derived hemokinin-1	activates	Tacr1	Tac4-HK1-NK1 GPCR relay	increasing	directed	Tac4 processing and HK1 pharmacology	Tacr1 binding and agonism	hematopoietic and recombinant receptor systems	immune and receptor compartment	mouse;human comparator	non-SCI comparator	ligand_receptor_activation	reviewed_batch001B	HK1 expression and NK1 pharmacology	high molecular; medium SCI relevance	P2	RETAIN_AS_PEPTIDE_DERIVED_COMPARATOR_EDGE
M24A-E060	UDP-N-acetylglucosamine	activates	P2Y14	P2Y14-Gi/PI3K-RhoA relay	increasing	directed	UDP-sugar availability in extracellular space	P2Y14 agonism and Rho signaling	recombinant receptor and differentiated HL-60/neutrophils	purinergic and immune compartment	human comparator	non-SCI comparator	ligand_receptor_activation	reviewed_batch001B	cAMP, RhoA, and chemotaxis assays	medium	P3	RETAIN_AS_PURINERGIC_COMPARATOR_EDGE_NO_SCI_RELEASE
M24A-E061	UDP-galactose	activates	P2Y14	P2Y14-Gi/RhoA-Rho-kinase relay	increasing	directed	UDP-sugar availability in extracellular space	P2Y14 agonism and Rho signaling	recombinant receptor and differentiated HL-60/neutrophils	purinergic and immune compartment	human comparator	non-SCI comparator	ligand_receptor_activation	reviewed_batch001B	cAMP, RhoA, and chemotaxis assays	medium-high	P3	RETAIN_AS_PURINERGIC_COMPARATOR_EDGE_NO_SCI_RELEASE
M24A-E062	UDP-glucose	activates	P2Y14	P2Y14-Gi/ERK/RhoA chemotaxis relay	increasing	directed	UDP-glucose availability and PAR1-associated release comparator	P2Y14 agonism, ERK/RhoA, and chemotaxis	recombinant receptor, neutrophils, and astrocytoma comparator	purinergic and immune compartment	human comparator	non-SCI comparator	receptor_proximal_relay	reviewed_batch001B	cAMP, ERK, RhoA, cytoskeletal, chemotaxis, and release assays	high molecular; medium SCI relevance	P2	RETAIN_AS_STRONGEST_P2Y14_COMPARATOR_NO_SCI_RELEASE
M24A-E063	UDP-glucuronic acid	activates	P2Y14	P2Y14-Gi/Rho relay	increasing	directed	UDP-sugar availability in extracellular space	P2Y14 agonism and Rho signaling	recombinant receptor and differentiated HL-60/neutrophils	purinergic and immune compartment	human comparator	non-SCI comparator	ligand_receptor_activation	reviewed_batch001B	cAMP, RhoA, and neutrophil assays	medium	P3	RETAIN_AS_CELL_STATE_DEPENDENT_PURINERGIC_EDGE
