queue_id	batch_id	priority	candidate_class	upstream_signal_or_release_feature	target_or_receptor_system	protease_activation_or_processing_logic	proximal_relay_to_validate	downstream_tf_or_program_target	evidence_layers_to_extract	species_context	cell_type_or_model_context	source_origin	source_record_id	stable_source_locator	search_boundary	status	notes
M24A-Q0011	M24A-B001	P1	cellchat_complement_candidate	C5a	C5ar1	not asserted; distinguish complement fragment identity from generic ligand annotation	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_target_curated_database_seed_only	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated complement-family slice	GtoPdb:3576:32:mouse	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/complement_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=keep_direct_seed; next action=review_then_primary; matched family=complement_family
M24A-Q0012	M24A-B001	P1	cellchat_complement_candidate	Hc	C5ar1	not asserted; distinguish complement fragment identity from generic ligand annotation	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_curated_database_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated complement-family slice	CellChat:HC_C5AR1	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/complement_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=keep_direct_seed; next action=primary_first; matched family=complement_family
M24A-Q0013	M24A-B001	P1	cellchat_complement_candidate	hemokinin	1 Tacr1	not asserted; distinguish complement fragment identity from generic ligand annotation	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_target_curated_database_seed_only	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated complement-family slice	GtoPdb:2087:360:mouse	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/complement_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=boundary_review; next action=review_then_primary; matched family=complement_family
M24A-Q0014	M24A-B001	P1	cellchat_complement_candidate	hemokinin	1 Tacr2	not asserted; distinguish complement fragment identity from generic ligand annotation	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_target_curated_database_seed_only	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated complement-family slice	GtoPdb:2087:361:mouse	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/complement_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=boundary_review; next action=review_then_primary; matched family=complement_family
M24A-Q0015	M24A-B001	P1	cellchat_complement_candidate	hemokinin	1 Tacr3	not asserted; distinguish complement fragment identity from generic ligand annotation	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_target_curated_database_seed_only	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated complement-family slice	GtoPdb:2087:362:mouse	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/complement_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=boundary_review; next action=review_then_primary; matched family=complement_family
M24A-Q0016	M24A-B001	P1	cellchat_complement_candidate	neurokinin	A Tacr1	not asserted; distinguish complement fragment identity from generic ligand annotation	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_target_curated_database_seed_with_human_comparator	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated complement-family slice	GtoPdb:2089:360:mouse	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/complement_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=keep_direct_seed; next action=review_then_primary; matched family=complement_family
M24A-Q0017	M24A-B001	P1	cellchat_complement_candidate	neurokinin	A Tacr2	not asserted; distinguish complement fragment identity from generic ligand annotation	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_target_curated_database_seed_with_human_comparator	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated complement-family slice	GtoPdb:2089:361:mouse	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/complement_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=keep_direct_seed; next action=review_then_primary; matched family=complement_family
M24A-Q0018	M24A-B001	P1	cellchat_complement_candidate	neurokinin	A Tacr3	not asserted; distinguish complement fragment identity from generic ligand annotation	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_target_curated_database_seed_with_human_comparator	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated complement-family slice	GtoPdb:2089:362:mouse	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/complement_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=boundary_review; next action=review_then_primary; matched family=complement_family
M24A-Q0019	M24A-B001	P1	cellchat_complement_candidate	neurokinin	B Tacr1	not asserted; distinguish complement fragment identity from generic ligand annotation	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_target_curated_database_seed_with_human_comparator	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated complement-family slice	GtoPdb:2090:360:mouse	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/complement_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=boundary_review; next action=review_then_primary; matched family=complement_family
M24A-Q0020	M24A-B001	P1	cellchat_complement_candidate	neurokinin	B Tacr2	not asserted; distinguish complement fragment identity from generic ligand annotation	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_target_curated_database_seed_with_human_comparator	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated complement-family slice	GtoPdb:2090:361:mouse	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/complement_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=keep_direct_seed_with_caution; next action=review_then_primary; matched family=complement_family
M24A-Q0021	M24A-B001	P1	cellchat_complement_candidate	neurokinin	B Tacr3	not asserted; distinguish complement fragment identity from generic ligand annotation	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_target_curated_database_seed_with_human_comparator	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated complement-family slice	GtoPdb:2090:362:mouse	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/complement_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=keep_direct_seed; next action=primary_first; matched family=complement_family
M24A-Q0022	M24A-B001	P1	cellchat_complement_candidate	neuropeptide	&gamma; Tacr1	not asserted; distinguish complement fragment identity from generic ligand annotation	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_target_curated_database_seed_with_human_comparator	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated complement-family slice	GtoPdb:3667:360:mouse	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/complement_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=keep_direct_seed_with_caution; next action=review_then_primary; matched family=complement_family
M24A-Q0023	M24A-B001	P1	cellchat_complement_candidate	neuropeptide	&gamma; Tacr2	not asserted; distinguish complement fragment identity from generic ligand annotation	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_target_curated_database_seed_with_human_comparator	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated complement-family slice	GtoPdb:3667:361:mouse	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/complement_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=keep_direct_seed_with_caution; next action=review_then_primary; matched family=complement_family
M24A-Q0024	M24A-B001	P1	cellchat_complement_candidate	substance	P Tacr1	not asserted; distinguish complement fragment identity from generic ligand annotation	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_target_curated_database_seed_with_human_comparator	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated complement-family slice	GtoPdb:2098:360:mouse	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/complement_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=keep_direct_seed; next action=primary_first; matched family=complement_family
M24A-Q0025	M24A-B001	P1	cellchat_complement_candidate	substance	P Tacr2	not asserted; distinguish complement fragment identity from generic ligand annotation	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_target_curated_database_seed_with_human_comparator	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated complement-family slice	GtoPdb:2098:361:mouse	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/complement_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=keep_direct_seed_with_caution; next action=review_then_primary; matched family=complement_family
M24A-Q0026	M24A-B001	P1	cellchat_complement_candidate	substance	P Tacr3	not asserted; distinguish complement fragment identity from generic ligand annotation	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_target_curated_database_seed_with_human_comparator	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated complement-family slice	GtoPdb:2098:362:mouse	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/complement_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=keep_direct_seed; next action=primary_first; matched family=complement_family
M24A-Q0027	M24A-B001	P1	cellchat_complement_candidate	Tac1	Tacr1	not asserted; distinguish complement fragment identity from generic ligand annotation	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_curated_database_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated complement-family slice	CellChat:TAC1_TACR1	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/complement_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=keep_direct_seed; next action=primary_first; matched family=complement_family
M24A-Q0028	M24A-B001	P1	cellchat_complement_candidate	Tac1	Tacr2	not asserted; distinguish complement fragment identity from generic ligand annotation	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_curated_database_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated complement-family slice	CellChat:TAC1_TACR2	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/complement_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=keep_direct_seed; next action=primary_first; matched family=complement_family
M24A-Q0029	M24A-B001	P1	cellchat_complement_candidate	Tac4	Tacr1	not asserted; distinguish complement fragment identity from generic ligand annotation	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_curated_database_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated complement-family slice	CellChat:TAC4_TACR1	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/complement_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=keep_direct_seed; next action=primary_first; matched family=complement_family
M24A-Q0030	M24A-B001	P1	cellchat_damp_purinergic_candidate	UDP	N-acetyl-glucosamine P2ry14	not asserted; distinguish complement fragment identity from generic ligand annotation	purinergic-ectonucleotidase-receptor-relay;validate-ATP-release-versus-receptor-activation	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_target_curated_database_seed_only	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated DAMP/purinergic slice	GtoPdb:1779:330:mouse	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/damp_purinergic_tlr_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=defer_lower_priority; next action=hold_for_later_family_pass; matched family=damp_purinergic_tlr_family
M24A-Q0031	M24A-B001	P1	cellchat_damp_purinergic_candidate	UDP-galactose	P2ry14	not asserted; distinguish complement fragment identity from generic ligand annotation	purinergic-ectonucleotidase-receptor-relay;validate-ATP-release-versus-receptor-activation	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_target_curated_database_seed_with_human_comparator	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated DAMP/purinergic slice	GtoPdb:1782:330:mouse	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/damp_purinergic_tlr_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=defer_lower_priority; next action=hold_for_later_family_pass; matched family=damp_purinergic_tlr_family
M24A-Q0032	M24A-B001	P1	cellchat_damp_purinergic_candidate	UDP-glucose	P2ry14	not asserted; distinguish complement fragment identity from generic ligand annotation	purinergic-ectonucleotidase-receptor-relay;validate-ATP-release-versus-receptor-activation	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_target_curated_database_seed_with_human_comparator	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated DAMP/purinergic slice	GtoPdb:1783:330:mouse	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/damp_purinergic_tlr_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=defer_lower_priority; next action=hold_for_later_family_pass; matched family=damp_purinergic_tlr_family
M24A-Q0033	M24A-B001	P1	cellchat_damp_purinergic_candidate	UDP-glucuronic	acid P2ry14	not asserted; distinguish complement fragment identity from generic ligand annotation	purinergic-ectonucleotidase-receptor-relay;validate-ATP-release-versus-receptor-activation	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_target_curated_database_seed_only	SCI-relevant cell/compartment unresolved; extract exact primary model	CellChatDB.mouse consolidated DAMP/purinergic slice	GtoPdb:1784:330:mouse	local:work/module20_db_seed/overnight_runs_v2/review_slices_consolidated/by_family/damp_purinergic_tlr_family.tsv	CellChat/KEGG seed only; chemokine-only overlap routed out; direct binding, activation, and relay require primary evidence	queued	Module20A bucket=defer_lower_priority; next action=hold_for_later_family_pass; matched family=damp_purinergic_tlr_family
M24A-Q0034	M24A-B001	P1	connectome_damp_purinergic_candidate	Fam3d	Fpr1	not asserted; inspect cleavage/processing only if relevant	formyl-peptide-receptor-G-protein-relay;validate-ligand-processing	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed_with_human_ortholog_context	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority DAMP/purinergic/TLR review slice	CDB20:0002739	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/damp_purinergic_tlr_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued	Module20A bucket=keep_direct_seed; next action=primary_first; matched family=damp_purinergic_tlr_family
M24A-Q0035	M24A-B001	P1	connectome_damp_purinergic_candidate	Fam3d	Fpr2	not asserted; inspect cleavage/processing only if relevant	formyl-peptide-receptor-G-protein-relay;validate-ligand-processing	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed_with_human_ortholog_context	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority DAMP/purinergic/TLR review slice	CDB20:0002740	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/damp_purinergic_tlr_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued	Module20A bucket=keep_direct_seed; next action=primary_first; matched family=damp_purinergic_tlr_family
M24A-Q0036	M24A-B001	P1	connectome_damp_purinergic_candidate	Tafa5	Fpr2	not asserted; inspect cleavage/processing only if relevant	formyl-peptide-receptor-G-protein-relay;validate-ligand-processing	not asserted; extract only if directly measured	ligand/release identity or receptor engagement;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant cell/compartment unresolved; extract exact primary model	ConnectomeDB mouse priority DAMP/purinergic/TLR review slice	CDB25:0004346	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/damp_purinergic_tlr_family.tsv	ConnectomeDB seed only; do not promote complement/DAMP receptor engagement or downstream relay without primary validation	queued	Module20A bucket=keep_direct_seed; next action=review_then_primary; matched family=damp_purinergic_tlr_family
M24A-Q0037	M24A-B001	P1	gtopdb_noncanonical_receptor_candidate	C3a	C3ar1	not asserted; pharmacology source may describe agonism without endogenous release or cleavage	complement-cleavage-product-receptor;validate-C3/C5-convertase-and-anaphylatoxin-context	not asserted; extract only if directly measured	ligand identity/receptor pharmacology;receptor-proximal relay;downstream pathway or cellular function	mouse_target_only_in_gtopdb	species/cell context from primary interaction papers unresolved	Guide to Pharmacology endogenous mouse priority seed	GtoPdb:3641:31:mouse	local:work/module20_db_seed/gtopdb_module20_priority_seeds/gtopdb_endogenous_module20_priority_mouse.tsv	GtoPdb pharmacology seed only; interaction PMIDs may be absent; verify endogenous ligand, species, receptor activation, and downstream function in primary sources	queued_primary_first	family=Complement peptide receptors; matched=complement_family; interaction_pmids=none
