evidence_id	regulator_key	regulator_symbol	species_scope	evidence_layer	support_kind	cell_or_model	assay_or_perturbation	observation	effect_direction	primary_citation	corroborating_citation	route_or_module_relevance	target_pair_scope	exportable	canonical_write_performed	limitations
public_tf_evidence_batch009_regulator_znf507	znf507	ZNF507	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human HEK293 CRISPR and ChIP/ENCODE studies	CRISPR disruption, transcriptome analysis, and ChIP/occupancy	ZNF507 has human DNA-binding and perturbation evidence; IGF2R is the only queued pair with a perturbation-associated expression signal, but the nearest peak was 26.007 kb away and directness was not demonstrated.	queued-pair direction not established except staged Ovol2-Cdh2 candidate	https://academic.oup.com/g3journal/article/12/3/jkac002/6509542	https://pubmed.ncbi.nlm.nih.gov/35100360/	regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not by itself establish target-cell presence in SCI, downstream activation, exact direction, or an upstream relay. The Ovol2-Cdh2 pair is retained separately as a promotion candidate pending SCI-cell context.
public_tf_evidence_batch009_regulator_ovol2	ovol2	OVOL2	mouse	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	mouse mammary epithelial Ovol2 deletion, ChIP-seq, ChIP validation, and rescue studies	genome-wide ChIP-seq, ChIP validation, deletion, and DNA-binding-dependent isoform rescue	Ovol2 has strong mouse regulator-level evidence. Cdh2 is an exact target with direct binding plus deletion/rescue evidence and is staged as the sole promotion candidate in this batch, pending SCI-cell context.	queued-pair direction not established except staged Ovol2-Cdh2 candidate	https://pmc.ncbi.nlm.nih.gov/articles/PMC4062651/	https://pubmed.ncbi.nlm.nih.gov/24735879/	regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not by itself establish target-cell presence in SCI, downstream activation, exact direction, or an upstream relay. The Ovol2-Cdh2 pair is retained separately as a promotion candidate pending SCI-cell context.
public_tf_evidence_batch009_regulator_rfx7	rfx7	RFX7	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human p53/stress-axis RFX7 perturbation and binding studies	binding plus perturbation/integrated transcriptome analysis	RFX7 has strong human binding and perturbation evidence at nonqueued stress-axis targets, but none of the queued targets was directly validated.	queued-pair direction not established except staged Ovol2-Cdh2 candidate	https://pmc.ncbi.nlm.nih.gov/articles/PMC8287911/	https://pubmed.ncbi.nlm.nih.gov/34289795/	regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not by itself establish target-cell presence in SCI, downstream activation, exact direction, or an upstream relay. The Ovol2-Cdh2 pair is retained separately as a promotion candidate pending SCI-cell context.
public_tf_evidence_batch009_regulator_ovol3	ovol3	OVOL3	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human OVOL3 annotation and GTRD-derived occupancy	gene annotation and promoter occupancy	OVOL3 has an identity annotation and occupancy leads but limited target-specific functional literature.	queued-pair direction not established except staged Ovol2-Cdh2 candidate	https://www.ncbi.nlm.nih.gov/gene/728361	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/OVOL3_TARGET_GENES.html	regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not by itself establish target-cell presence in SCI, downstream activation, exact direction, or an upstream relay. The Ovol2-Cdh2 pair is retained separately as a promotion candidate pending SCI-cell context.
public_tf_evidence_batch009_regulator_znf584	znf584	ZNF584	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human K562 eGFP-ZNF584 ChIP-seq and ReMap aggregation	ChIP-seq and ReMap occupancy	ZNF584 has human ChIP-seq occupancy evidence, but no queued target-specific perturbation study was located.	queued-pair direction not established except staged Ovol2-Cdh2 candidate	https://www.encodeproject.org/experiments/ENCSR149ZBI/	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE105327	regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not by itself establish target-cell presence in SCI, downstream activation, exact direction, or an upstream relay. The Ovol2-Cdh2 pair is retained separately as a promotion candidate pending SCI-cell context.
public_tf_evidence_batch009_regulator_znf296	znf296	ZNF296	mouse	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	mouse Zfp296/Znf296 ESC NuRD and ChIP-seq studies	knockout, ChIP-seq, ATAC-seq, and chromatin-complex studies	Mouse Znf296 has regulator-level knockout, ChIP-seq, and chromatin evidence; none validates the four queued edges.	queued-pair direction not established except staged Ovol2-Cdh2 candidate	https://pubmed.ncbi.nlm.nih.gov/30389936/	https://pubmed.ncbi.nlm.nih.gov/37488353/	regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not by itself establish target-cell presence in SCI, downstream activation, exact direction, or an upstream relay. The Ovol2-Cdh2 pair is retained separately as a promotion candidate pending SCI-cell context.
public_tf_evidence_batch009_regulator_znf16	znf16	ZNF16	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human ZNF16 depletion and rDNA/RNA programs	depletion, viability, rDNA transcription, and RNA-seq	ZNF16 depletion affects viability, rDNA transcription, and broad RNA programs; the queued occupancy leads lack target-specific causal validation.	queued-pair direction not established except staged Ovol2-Cdh2 candidate	https://pubmed.ncbi.nlm.nih.gov/41467516/	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF16_TARGET_GENES.html	regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not by itself establish target-cell presence in SCI, downstream activation, exact direction, or an upstream relay. The Ovol2-Cdh2 pair is retained separately as a promotion candidate pending SCI-cell context.
public_tf_evidence_batch009_regulator_znf618	znf618	ZNF618	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human UHRF2/5hmC chromatin and NPC studies	chromatin biology, ChIP/occupancy, and perturbation	ZNF618 has human chromatin-regulatory evidence and queued occupancy leads; ADORA2A appeared only as a SPECC1L-ADORA2A readthrough/near-match, not a standalone exact target.	queued-pair direction not established except staged Ovol2-Cdh2 candidate	https://pubmed.ncbi.nlm.nih.gov/27129234/	https://link.springer.com/article/10.1186/s40001-026-04429-2	regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not by itself establish target-cell presence in SCI, downstream activation, exact direction, or an upstream relay. The Ovol2-Cdh2 pair is retained separately as a promotion candidate pending SCI-cell context.
public_tf_evidence_batch009_regulator_znf524	znf524	ZNF524	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human telomeric DNA-binding and occupancy studies	direct DNA binding, telomere integrity, and GEO occupancy	ZNF524 has direct telomeric DNA-binding and integrity evidence, but not transcriptional regulation of queued targets.	queued-pair direction not established except staged Ovol2-Cdh2 candidate	https://pubmed.ncbi.nlm.nih.gov/38086788/	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE196661	regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not by itself establish target-cell presence in SCI, downstream activation, exact direction, or an upstream relay. The Ovol2-Cdh2 pair is retained separately as a promotion candidate pending SCI-cell context.
public_tf_evidence_batch009_regulator_znf558	znf558	ZNF558	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human organoid, SPATA18, and ENCODE occupancy studies	loss-of-function, organoid phenotype, and ChIP-seq	ZNF558 has functional evidence at SPATA18 and human occupancy resources, but none of the queued targets was functionally validated.	queued-pair direction not established except staged Ovol2-Cdh2 candidate	https://pubmed.ncbi.nlm.nih.gov/34624206/	https://www.encodeproject.org/experiments/ENCSR154YWK/	regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not by itself establish target-cell presence in SCI, downstream activation, exact direction, or an upstream relay. The Ovol2-Cdh2 pair is retained separately as a promotion candidate pending SCI-cell context.
public_tf_evidence_batch009_regulator_irx2	irx2	IRX2	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human keratinocyte perturbation and IRX2 interaction studies	perturbation, transcript analysis, and protein interaction	IRX2 has human perturbation and interaction evidence at nonqueued contexts; none of the four queued targets was directly validated.	queued-pair direction not established except staged Ovol2-Cdh2 candidate	https://www.nature.com/articles/s41467-025-63070-5	https://pubmed.ncbi.nlm.nih.gov/42266168/	regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not by itself establish target-cell presence in SCI, downstream activation, exact direction, or an upstream relay. The Ovol2-Cdh2 pair is retained separately as a promotion candidate pending SCI-cell context.
public_tf_evidence_batch009_regulator_znf486	znf486	ZNF486	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human ZNF486 ChIP-seq and ReMap occupancy	ChIP-seq and ReMap	ZNF486 has human binding-resource evidence and queued occupancy leads without exact target perturbation.	queued-pair direction not established except staged Ovol2-Cdh2 candidate	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSM1467732	https://remap.univ-amu.fr/target_page/ZNF486%3A9606	regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not by itself establish target-cell presence in SCI, downstream activation, exact direction, or an upstream relay. The Ovol2-Cdh2 pair is retained separately as a promotion candidate pending SCI-cell context.
public_tf_evidence_batch009_regulator_arnt2	arnt2	ARNT2	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human ARNT2 loss/gain-of-function and occupancy studies	loss/gain-of-function, transcriptome, and ChIP/occupancy	ARNT2 has human perturbation evidence and queued occupancy leads, but none of the four queued targets was directly established.	queued-pair direction not established except staged Ovol2-Cdh2 candidate	https://pmc.ncbi.nlm.nih.gov/articles/PMC13281552/	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ARNT2_TARGET_GENES.html	regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not by itself establish target-cell presence in SCI, downstream activation, exact direction, or an upstream relay. The Ovol2-Cdh2 pair is retained separately as a promotion candidate pending SCI-cell context.
public_tf_evidence_batch009_regulator_rlf	rlf	RLF	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human RLF ReMap and GTRD-derived occupancy	ReMap/ChIP-seq occupancy	RLF has human occupancy-resource evidence and queued binding leads, without exact target-specific perturbation.	queued-pair direction not established except staged Ovol2-Cdh2 candidate	https://remap.univ-amu.fr/target_page/RLF%3A9606	https://pubmed.ncbi.nlm.nih.gov/30445619/	regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not by itself establish target-cell presence in SCI, downstream activation, exact direction, or an upstream relay. The Ovol2-Cdh2 pair is retained separately as a promotion candidate pending SCI-cell context.
public_tf_evidence_batch009_regulator_znf34	znf34	ZNF34	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human ZNF34 GTRD-derived promoter occupancy	GTRD-derived promoter occupancy	ZNF34 has queued promoter-binding leads but no separate target-specific perturbation study was located.	queued-pair direction not established except staged Ovol2-Cdh2 candidate	https://www.gsea-msigdb.org/gsea/msigdb/human/download_geneset.jsp?fileType=json&geneSetName=ZNF34_TARGET_GENES	https://pubmed.ncbi.nlm.nih.gov/30445619/	regulator-level evidence only	not evidence for unrelated queued exact pairs; no upstream relay inferred	false	false	Regulator-level evidence does not by itself establish target-cell presence in SCI, downstream activation, exact direction, or an upstream relay. The Ovol2-Cdh2 pair is retained separately as a promotion candidate pending SCI-cell context.
