review_id	pair_key	pair_label_canonical	staging_candidate_id	b_edge_id	previous_edge_confidence	previous_edge_exportable	previous_frozen_evidence_confidence	new_edge_confidence	new_frozen_evidence_confidence	a_evidence_id	decision_basis
M20A-EXT-0081	ereg egfr_erbb2	Ereg EGFR_ERBB2	20B-STAGE-0018	M20B-E001856	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0018	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0082	ereg erbb2_erbb4	Ereg ERBB2_ERBB4	20B-STAGE-0019	M20B-E001857	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0019	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0083	fgf1 fgfr2	Fgf1 Fgfr2	20B-STAGE-0020	M20B-E001858	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0020	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0084	fgf1 fgfr3	Fgf1 Fgfr3	20B-STAGE-0021	M20B-E001859	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0021	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0086	fgf10 fgfr2	Fgf10 Fgfr2	20B-STAGE-0022	M20B-E001861	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0022	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0100	fgf2 fgfr1	Fgf2 Fgfr1	20B-STAGE-0023	M20B-E001875	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0023	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0101	fgf2 fgfr2	Fgf2 Fgfr2	20B-STAGE-0024	M20B-E001876	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0024	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0102	fgf2 fgfr3	Fgf2 Fgfr3	20B-STAGE-0025	M20B-E001877	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0025	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0103	fgf2 fgfr4	Fgf2 Fgfr4	20B-STAGE-0026	M20B-E001878	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0026	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0111	fgf4 fgfr1	Fgf4 Fgfr1	20B-STAGE-0027	M20B-E001886	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0027	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0112	fgf4 fgfr2	Fgf4 Fgfr2	20B-STAGE-0028	M20B-E001887	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0028	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0113	fgf4 fgfr3	Fgf4 Fgfr3	20B-STAGE-0029	M20B-E001888	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0029	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0124	fgf7 fgfr2	Fgf7 Fgfr2	20B-STAGE-0030	M20B-E001899	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0030	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0132	ifnab ifnar1_ifnar2	Ifnab IFNAR1_IFNAR2	20B-STAGE-0031	M20B-E001907	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0031	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0134	ifne ifnar1_ifnar2	Ifne IFNAR1_IFNAR2	20B-STAGE-0032	M20B-E001909	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0032	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0139	slitrk1 ptprd	Slitrk1 Ptprd	20B-STAGE-0033	M20B-E001914	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0033	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0140	slitrk2 ptprd	Slitrk2 Ptprd	20B-STAGE-0034	M20B-E001915	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0034	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0146	wnt5a fzd6	Wnt5a Fzd6	20B-STAGE-0035	M20B-E001921	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0035	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0151	cntn1 notch2	Cntn1 Notch2	20B-STAGE-0036	M20B-E001926	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0036	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0338	epgn egfr	Epgn Egfr	20B-STAGE-0037	M20B-E002113	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0037	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0360	lama1 itga6_itgb1	Lama1 ITGA6_ITGB1	20B-STAGE-0038	M20B-E002135	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0038	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0362	lama1 itga7_itgb1	Lama1 ITGA7_ITGB1	20B-STAGE-0039	M20B-E002137	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0039	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0458	ntn1 dscam	Ntn1 Dscam	20B-STAGE-0040	M20B-E002233	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0040	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0461	ntn1 unc5c	Ntn1 Unc5c	20B-STAGE-0041	M20B-E002236	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0041	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0744	agrn musk	Agrn Musk	20B-STAGE-0042	M20B-E002519	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0042	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-0746	agrp mc3r	Agrp Mc3r	20B-STAGE-0043	M20B-E002521	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0043	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
M20A-EXT-1778	gdf2 acvr2b_acvrl1	Gdf2 Acvr2b_Acvrl1	20B-STAGE-0044	M20B-E003553	high	true	medium	high	high	M20A-STAGEDHIGH001-EVID-0044	Reconciled the existing Module 20B staged high decision into Module 20A. The staged record states exact pair support and preserves complex, splice, cofactor, ligand-polarity, species, and context boundaries.
