review_id	pair_key	pair_label_canonical	b_edge_id	b_evidence_id	previous_edge_confidence	previous_edge_exportable	previous_evidence_confidence	new_edge_confidence	new_evidence_confidence	evidence_register_ids	decision_basis
M20A-EXT-0075	ccl27a ccr10	Ccl27a Ccr10	M20B-E001850	M20B-EVID-001850	high	true	high	high	high	M20A-EXT2-EVID-012	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0079	csf2 csf2ra_csf2rb	Csf2 CSF2RA_CSF2RB	M20B-E001854	M20B-EVID-001854	high	true	high	high	high	M20A-EXTC-EVID-0043;M20A-EXTLR01-EVID-0002	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0130	gdnf gfra1_ret	Gdnf GFRA1_RET	M20B-E001905	M20B-EVID-001905	high	true	high	high	high	M20A-EXT8-EVID-001	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0133	ifnb1 ifnar1_ifnar2	Ifnb1 IFNAR1_IFNAR2	M20B-E001908	M20B-EVID-001908	high	true	high	high	high	M20A-EXT11-EVID-009	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0135	ifng ifngr1_ifngr2	Ifng IFNGR1_IFNGR2	M20B-E001910	M20B-EVID-001910	high	true	high	high	high	M20A-EXT11-EVID-012	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0137	mif cd74_cxcr2	Mif CD74_CXCR2	M20B-E001912	M20B-EVID-001912	high	true	high	high	high	M20A-EXT4-EVID-001;M20A-EXT20-EVID-118	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0138	mif cd74_cxcr4	Mif CD74_CXCR4	M20B-E001913	M20B-EVID-001913	high	true	high	high	high	M20A-EXT4-EVID-002;M20A-EXT20-EVID-119	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0141	slitrk3 ptprd	Slitrk3 Ptprd	M20B-E001916	M20B-EVID-001916	high	true	high	high	high	M20A-EXT3-EVID-021;M20A-EXT3-EVID-022	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0145	wnt5a fzd3	Wnt5a Fzd3	M20B-E001920	M20B-EVID-001920	high	true	high	high	high	M20A-EXT12-EVID-005	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0150	cntn1 notch1	Cntn1 Notch1	M20B-E001925	M20B-EVID-001925	high	true	high	high	high	M20A-EXT7-EVID-004	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0157	col1a1 itga2_itgb1	Col1a1 ITGA2_ITGB1	M20B-E001932	M20B-EVID-001932	high	true	high	high	high	M20A-EXT14-EVID-005	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0167	col1a2 itga2_itgb1	Col1a2 ITGA2_ITGB1	M20B-E001942	M20B-EVID-001942	high	true	high	high	high	M20A-EXT16-EVID-006	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0174	col2a1 itga10_itgb1	Col2a1 ITGA10_ITGB1	M20B-E001949	M20B-EVID-001949	high	true	high	high	high	M20A-EXT16-EVID-013	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0176	col2a1 itga1_itgb1	Col2a1 ITGA1_ITGB1	M20B-E001951	M20B-EVID-001951	high	true	high	high	high	M20A-EXT16-EVID-015	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0177	col2a1 itga2_itgb1	Col2a1 ITGA2_ITGB1	M20B-E001952	M20B-EVID-001952	high	true	high	high	high	M20A-EXT16-EVID-016	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0343	fn1 itga4_itgb1	Fn1 ITGA4_ITGB1	M20B-E002118	M20B-EVID-002118	high	true	high	high	high	M20A-EXT18-EVID-110	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0345	fn1 itga5_itgb1	Fn1 ITGA5_ITGB1	M20B-E002120	M20B-EVID-002120	high	true	high	high	high	M20A-EXT18-EVID-112	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0357	lama1 dag1	Lama1 Dag1	M20B-E002132	M20B-EVID-002132	high	true	high	high	high	M20A-EXT15-EVID-002	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0366	lama2 dag1	Lama2 Dag1	M20B-E002141	M20B-EVID-002141	high	true	high	high	high	M20A-EXT16-EVID-021	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0369	lama2 itga6_itgb1	Lama2 ITGA6_ITGB1	M20B-E002144	M20B-EVID-002144	high	true	high	high	high	M20A-EXT16-EVID-024	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0371	lama2 itga7_itgb1	Lama2 ITGA7_ITGB1	M20B-E002146	M20B-EVID-002146	high	true	high	high	high	M20A-EXT16-EVID-026	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0377	lama3 itga3_itgb1	Lama3 ITGA3_ITGB1	M20B-E002152	M20B-EVID-002152	high	true	high	high	high	M20A-EXT16-EVID-032	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0379	lama3 itga6_itgb4	Lama3 ITGA6_ITGB4	M20B-E002154	M20B-EVID-002154	high	true	high	high	high	M20A-EXT16-EVID-034	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0395	lama5 itga3_itgb1	Lama5 ITGA3_ITGB1	M20B-E002170	M20B-EVID-002170	high	true	high	high	high	M20A-EXT17-EVID-050	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0396	lama5 itga6_itgb1	Lama5 ITGA6_ITGB1	M20B-E002171	M20B-EVID-002171	high	true	high	high	high	M20A-EXT17-EVID-051	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0397	lama5 itga6_itgb4	Lama5 ITGA6_ITGB4	M20B-E002172	M20B-EVID-002172	high	true	high	high	high	M20A-EXT17-EVID-052	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0405	lamb1 itga6_itgb1	Lamb1 ITGA6_ITGB1	M20B-E002180	M20B-EVID-002180	high	true	high	high	high	M20A-EXT17-EVID-060	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0414	lamb2 itga6_itgb1	Lamb2 ITGA6_ITGB1	M20B-E002189	M20B-EVID-002189	high	true	high	high	high	M20A-EXT17-EVID-069	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0422	lamb3 itga3_itgb1	Lamb3 ITGA3_ITGB1	M20B-E002197	M20B-EVID-002197	high	true	high	high	high	M20A-EXT17-EVID-077	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0424	lamb3 itga6_itgb4	Lamb3 ITGA6_ITGB4	M20B-E002199	M20B-EVID-002199	high	true	high	high	high	M20A-EXT17-EVID-079	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0455	ncam1 fgfr1	Ncam1 Fgfr1	M20B-E002230	M20B-EVID-002230	high	true	high	high	high	M20A-EXT7-EVID-001	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0457	ntn1 dcc	Ntn1 Dcc	M20B-E002232	M20B-EVID-002232	high	true	high	high	high	M20A-EXT3-EVID-009	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0460	ntn1 unc5b	Ntn1 Unc5b	M20B-E002235	M20B-EVID-002235	high	true	high	high	high	M20A-EXT3-EVID-014;M20A-EXT3-EVID-015	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0463	thbs1 cd36	Thbs1 Cd36	M20B-E002238	M20B-EVID-002238	high	true	high	high	high	M20A-EXT16-EVID-041	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0464	thbs1 cd47	Thbs1 Cd47	M20B-E002239	M20B-EVID-002239	high	true	high	high	high	M20A-EXT16-EVID-042	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0465	thbs1 itga3_itgb1	Thbs1 ITGA3_ITGB1	M20B-E002240	M20B-EVID-002240	high	true	high	high	high	M20A-EXT16-EVID-043	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0466	thbs1 itgav_itgb3	Thbs1 ITGAV_ITGB3	M20B-E002241	M20B-EVID-002241	high	true	high	high	high	M20A-EXT16-EVID-044	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0483	tnc itga9_itgb1	Tnc ITGA9_ITGB1	M20B-E002258	M20B-EVID-002258	high	true	high	high	high	M20A-EXT17-EVID-081	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0484	tnc itgav_itgb3	Tnc ITGAV_ITGB3	M20B-E002259	M20B-EVID-002259	high	true	high	high	high	M20A-EXT17-EVID-082	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0510	vtn itgav_itgb3	Vtn ITGAV_ITGB3	M20B-E002285	M20B-EVID-002285	high	true	high	high	high	M20A-EXT17-EVID-108	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0516	c1ql1 adgrb3	C1ql1 Adgrb3	M20B-E002291	M20B-EVID-002291	high	true	high	high	high	M20A-EXT17-EVID-114	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0518	c1ql3 adgrb3	C1ql3 Adgrb3	M20B-E002293	M20B-EVID-002293	high	true	high	high	high	M20A-EXT17-EVID-116	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0600	ncam1 ncam1	Ncam1 Ncam1	M20B-E002375	M20B-EVID-002375	high	true	high	high	high	M20A-EXT12-EVID-001	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0605	ntn4 unc5b	Ntn4 Unc5b	M20B-E002380	M20B-EVID-002380	high	true	high	high	high	M20A-EXT3-EVID-018;M20A-EXT3-EVID-019	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0684	adcyap1 adcyap1r1	Adcyap1 Adcyap1r1	M20B-E002459	M20B-EVID-002459	high	true	high	high	high	M20A-EXT18-EVID-298	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0695	adcyap1 vipr1	Adcyap1 Vipr1	M20B-E002470	M20B-EVID-002470	high	true	high	high	high	M20A-EXT18-EVID-309	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0696	adcyap1 vipr2	Adcyap1 Vipr2	M20B-E002471	M20B-EVID-002471	high	true	high	high	high	M20A-EXT18-EVID-310	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0697	adipoq adipor1	Adipoq Adipor1	M20B-E002472	M20B-EVID-002472	high	true	high	high	high	M20A-EXT18-EVID-311	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0698	adipoq adipor2	Adipoq Adipor2	M20B-E002473	M20B-EVID-002473	high	true	high	high	high	M20A-EXT18-EVID-312	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0735	ado adora1	Ado Adora1	M20B-E002510	M20B-EVID-002510	high	true	high	high	high	M20A-EXT18-EVID-349	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0736	ado adora2a	Ado Adora2a	M20B-E002511	M20B-EVID-002511	high	true	high	high	high	M20A-EXT18-EVID-350	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0737	ado adora2b	Ado Adora2b	M20B-E002512	M20B-EVID-002512	high	true	high	high	high	M20A-EXT18-EVID-351	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0738	ado adora3	Ado Adora3	M20B-E002513	M20B-EVID-002513	high	true	high	high	high	M20A-EXT18-EVID-352	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0743	agrn lrp4	Agrn Lrp4	M20B-E002518	M20B-EVID-002518	high	true	high	high	high	M20A-EXT18-EVID-357	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0747	agrp mc4r	Agrp Mc4r	M20B-E002522	M20B-EVID-002522	high	true	high	high	high	M20A-EXT18-EVID-361	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0761	alb b2m_fcgrt	Alb B2m_Fcgrt	M20B-E002536	M20B-EVID-002536	high	true	high	high	high	M20A-EXT18-EVID-375	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0763	alcam cd6	Alcam Cd6	M20B-E002538	M20B-EVID-002538	high	true	high	high	high	M20A-EXT18-EVID-377	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0769	amh acvr1_amhr2	Amh Acvr1_Amhr2	M20B-E002544	M20B-EVID-002544	high	true	high	high	high	M20A-EXT18-EVID-383	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0773	ang plxnb2	Ang Plxnb2	M20B-E002548	M20B-EVID-002548	high	true	high	high	high	M20A-EXT18-EVID-387	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0775	angpt1 tek	Angpt1 Tek	M20B-E002550	M20B-EVID-002550	high	true	high	high	high	M20A-EXT18-EVID-389	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-0778	angpt2 tek	Angpt2 Tek	M20B-E002553	M20B-EVID-002553	high	true	high	high	high	M20A-EXT18-EVID-392	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-1574	epo epor	Epo Epor	M20B-E003349	M20B-EVID-003349	high	true	high	high	high	M20A-EXT19-EVID-0774	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-1590	f2 f2r	F2 F2r	M20B-E003365	M20B-EVID-003365	high	true	high	high	high	M20A-EXT19-EVID-0790	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-1592	f2 f2rl2	F2 F2rl2	M20B-E003367	M20B-EVID-003367	high	true	high	high	high	M20A-EXT19-EVID-0792	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-1593	f2 f2rl3	F2 F2rl3	M20B-E003368	M20B-EVID-003368	high	true	high	high	high	M20A-EXT19-EVID-0793	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-1598	f7 f3	F7 F3	M20B-E003373	M20B-EVID-003373	high	true	high	high	high	M20A-EXT19-EVID-0798	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-1621	fat4 dchs1	Fat4 Dchs1	M20B-E003396	M20B-EVID-003396	high	true	high	high	high	M20A-EXT19-EVID-0821;M20A-EXT20-EVID-225	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-1698	fgl1 lag3	Fgl1 Lag3	M20B-E003473	M20B-EVID-003473	high	true	high	high	high	M20A-EXT19-EVID-0898	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-1699	flt3l flt3	Flt3l Flt3	M20B-E003474	M20B-EVID-003474	high	true	high	high	high	M20A-EXT19-EVID-0899	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-1721	fshb fshr	Fshb Fshr	M20B-E003496	M20B-EVID-003496	high	true	high	high	high	M20A-EXT19-EVID-0921	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-1740	gal galr1	Gal Galr1	M20B-E003515	M20B-EVID-003515	high	true	high	high	high	M20A-EXT19-EVID-0940	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-1741	gal galr2	Gal Galr2	M20B-E003516	M20B-EVID-003516	high	true	high	high	high	M20A-EXT19-EVID-0941	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-1742	gal galr3	Gal Galr3	M20B-E003517	M20B-EVID-003517	high	true	high	high	high	M20A-EXT19-EVID-0942	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-1749	gas6 axl	Gas6 Axl	M20B-E003524	M20B-EVID-003524	high	true	high	high	high	M20A-EXT19-EVID-0949	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-1750	gas6 mertk	Gas6 Mertk	M20B-E003525	M20B-EVID-003525	high	true	high	high	high	M20A-EXT19-EVID-0950	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-1751	gas6 tyro3	Gas6 Tyro3	M20B-E003526	M20B-EVID-003526	high	true	high	high	high	M20A-EXT19-EVID-0951	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-1752	gast cckbr	Gast Cckbr	M20B-E003527	M20B-EVID-003527	high	true	high	high	high	M20A-EXT19-EVID-0952	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-1779	gdf2 eng	Gdf2 Eng	M20B-E003554	M20B-EVID-003554	high	true	high	high	high	M20A-EXT19-EVID-0979;M20A-EXT20-EVID-244	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-1800	gdf9 bmpr2_tgfbr1	Gdf9 Bmpr2_Tgfbr1	M20B-E003575	M20B-EVID-003575	high	true	high	high	high	M20A-EXT19-EVID-1000	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-3250	tgfb1 eng	Tgfb1 Eng	M20B-E005025	M20B-EVID-005025	high	true	high	high	high	M20A-EXT16-EVID-066	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-3251	tgfb1 itgav_itgb6	Tgfb1 Itgav_Itgb6	M20B-E005026	M20B-EVID-005026	high	true	high	high	high	M20A-EXT16-EVID-067	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-3255	tgfb1 itgb8	Tgfb1 Itgb8	M20B-E005030	M20B-EVID-005030	high	true	high	high	high	M20A-EXT16-EVID-071	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-3258	tgfb1 tgfbr1_tgfbr2	Tgfb1 Tgfbr1_Tgfbr2	M20B-E005033	M20B-EVID-005033	high	true	high	high	high	M20A-EXT16-EVID-074	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-3259	tgfb1 tgfbr3	Tgfb1 Tgfbr3	M20B-E005034	M20B-EVID-005034	high	true	high	high	high	M20A-EXT16-EVID-075	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-3264	tgfb2 tgfbr1_tgfbr2	Tgfb2 Tgfbr1_Tgfbr2	M20B-E005039	M20B-EVID-005039	high	true	high	high	high	M20A-EXT16-EVID-080	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
M20A-EXT-3265	tgfb2 tgfbr3	Tgfb2 Tgfbr3	M20B-E005040	M20B-EVID-005040	high	true	high	high	high	M20A-EXT16-EVID-081	High-confidence Module 20A LR promotion 2026-09-01; direct ligand-receptor evidence only; no relay, TF/program, cellular-output, or SCI-context inference.
