review_id	pair_key	pair_label_canonical	b_edge_id	b_primary_evidence_id	a_evidence_id	previous_edge_confidence	previous_edge_exportable	previous_frozen_evidence_confidence	new_edge_confidence	new_frozen_evidence_confidence	decision_basis
M20A-EXT-2605	npy npy1r	Npy Npy1r	M20B-E004380	M20B-EVID-004380-P2-DIRECT	M20A-MEDHIGH001-EVID-0012	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2606	npy npy2r	Npy Npy2r	M20B-E004381	M20B-EVID-004381-P2-DIRECT	M20A-MEDHIGH001-EVID-0013	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2607	npy npy5r	Npy Npy5r	M20B-E004382	M20B-EVID-004382-P2-DIRECT	M20A-MEDHIGH001-EVID-0014	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2630	ntf3 ntrk3	Ntf3 Ntrk3	M20B-E004405	M20B-EVID-004405-P2-DIRECT	M20A-MEDHIGH001-EVID-0015	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2632	ntf5 ntrk2	Ntf5 Ntrk2	M20B-E004407	M20B-EVID-004407-P2-DIRECT	M20A-MEDHIGH001-EVID-0016	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2670	oxt oxtr	Oxt Oxtr	M20B-E004445	M20B-EVID-004445-P2-DIRECT	M20A-MEDHIGH001-EVID-0017	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2772	pnoc oprl1	Pnoc Oprl1	M20B-E004547	M20B-EVID-004547-P2-DIRECT	M20A-MEDHIGH001-EVID-0018	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2809	prlh prlhr	Prlh Prlhr	M20B-E004584	M20B-EVID-004584-P2-DIRECT	M20A-MEDHIGH001-EVID-0019	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2856	pth pth2r	Pth Pth2r	M20B-E004631	M20B-EVID-004631-P2-DIRECT	M20A-MEDHIGH001-EVID-0020	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2867	pth2 pth2r	Pth2 Pth2r	M20B-E004642	M20B-EVID-004642-P2-DIRECT	M20A-MEDHIGH001-EVID-0021	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2910	qrfp qrfpr	Qrfp Qrfpr	M20B-E004685	M20B-EVID-004685-P2-DIRECT	M20A-MEDHIGH001-EVID-0022	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2931	rln1 rxfp1	Rln1 Rxfp1	M20B-E004706	M20B-EVID-004706-P2-DIRECT	M20A-MEDHIGH001-EVID-0023	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2946	rln3 rxfp1	Rln3 Rxfp1	M20B-E004721	M20B-EVID-004721-P2-DIRECT	M20A-MEDHIGH001-EVID-0024	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2948	rln3 rxfp3	Rln3 Rxfp3	M20B-E004723	M20B-EVID-004723-P2-DIRECT	M20A-MEDHIGH001-EVID-0025	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-2949	rln3 rxfp4	Rln3 Rxfp4	M20B-E004724	M20B-EVID-004724-P2-DIRECT	M20A-MEDHIGH001-EVID-0026	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-3210	sst sstr1	Sst Sstr1	M20B-E004985	M20B-EVID-004985-P2-DIRECT	M20A-MEDHIGH001-EVID-0027	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-3211	sst sstr2	Sst Sstr2	M20B-E004986	M20B-EVID-004986-P2-DIRECT	M20A-MEDHIGH001-EVID-0028	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-3213	sst sstr4	Sst Sstr4	M20B-E004988	M20B-EVID-004988-P2-DIRECT	M20A-MEDHIGH001-EVID-0029	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-3214	sst sstr5	Sst Sstr5	M20B-E004989	M20B-EVID-004989-P2-DIRECT	M20A-MEDHIGH001-EVID-0030	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-3402	uts2 uts2r	Uts2 Uts2r	M20B-E005177	M20B-EVID-005177-P2-DIRECT	M20A-MEDHIGH001-EVID-0031	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
M20A-EXT-3460	vip vipr1	Vip Vipr1	M20B-E005235	M20B-EVID-005235-P2-DIRECT	M20A-MEDHIGH001-EVID-0032	medium	true	medium	high	high	Exact pair-specific primary direct-molecular evidence was already validated at high tier in Module 20B. High applies to the ligand-receptor claim only; species, ligand processing, isoform, assay, receptor topology, and non-SCI limitations remain explicit. No relay, TF/program, cellular-output, or SCI context is inferred.
