external_regulon_id	external_record_key	target_normalized_symbol	target_normalized_symbol_key	membership_basis	regulatory_effect	membership_status	confidence_tier	export_priority
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:001600:1d52ab604793	ZBTB16	zbtb16	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:001751:a5961ab9f659	FKBP5	fkbp5	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:001807:e7e260de7f07	KLK2	klk2	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:001810:77ee9ab7d145	KRT8	krt8	inferred_regulatory	repressing_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:001846:8a922c298195	PMEPA1	pmepa1	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:001872:781dad5a296e	SERPINB5	serpinb5	inferred_regulatory	repressing_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:001877:b55500e245c0	PTGS2	ptgs2	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:001897:3dfd4d7d61e3	NCOR2	ncor2	inferred_regulatory	unknown	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:001922:13003368c826	PMAIP1	pmaip1	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002074:9b5d4d5f0364	NKX3-1	nkx3-1	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002115:f7ff0a0c53b5	UBC	ubc	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002128:c0055045910b	MED1	med1	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002129:c511fafb4720	SPDEF	spdef	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002141:93d21d3c6c81	AKR1B1	akr1b1	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002264:7b37a2f1c3bc	UGT2B15	ugt2b15	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002328:3e02a929159c	CDC6	cdc6	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002348:01df1121c647	VEGFA	vegfa	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002359:34886a28f5f4	EGFR	egfr	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002452:7717b768b4cd	KLK4	klk4	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002460:c6216c1cea39	TMPRSS2	tmprss2	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002469:5dac993e24b2	IGF1R	igf1r	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002662:5806ce39d0f9	ERBB3	erbb3	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002755:c5adf6ed8f3f	MUC1	muc1	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002972:5f65caf9fa45	ELF3	elf3	inferred_regulatory	unknown	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002983:82cba3cb1d00	AKR1C3	akr1c3	inferred_regulatory	repressing_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003000:cce129dde312	IGFBP3	igfbp3	inferred_regulatory	repressing_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003042:12618e82ca9d	RELA	rela	inferred_regulatory	unknown	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003175:209e65892190	ORM1	orm1	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003281:09e97ee1ea0a	CRISP1	crisp1	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003282:676f5e17b6a9	PRKCD	prkcd	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003283:00a85bf91b56	SORD	sord	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003939:29f78d8c5589	CDH2	cdh2	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003940:86a593db0e32	FOXA1	foxa1	inferred_regulatory	unknown	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003941:e7ebe8c4fd58	KLF5	klf5	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003942:5c4404dea9c9	MID1	mid1	inferred_regulatory	repressing_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003943:378e27ce0793	NDRG1	ndrg1	inferred_regulatory	repressing_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003944:f88f60a8525c	PIGR	pigr	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003945:1f945586d676	PNRC1	pnrc1	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003946:327c27889257	TRPS1	trps1	inferred_regulatory	repressing_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005125:e794fd77e3a1	DBI	dbi	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005126:f5ead2211444	DDT	ddt	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005127:52ae3c14490b	DHX15	dhx15	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005128:04c730c2e5dc	KIAA1217	kiaa1217	inferred_regulatory	repressing_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005129:cbbbc9416635	KRT18	krt18	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005130:f362da1d7ffa	MT2A	mt2a	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005131:a98df360ddba	PGC	pgc	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005132:52b0ced857dc	SCNN1A	scnn1a	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005133:122afd74cc79	SMS	sms	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005134:8cf7b48ec489	SNAI2	snai2	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005299:5ad755404060	ABCE1	abce1	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005300:a0285dd3f14d	ACP3	acp3	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005301:5e99eb8e86b5	ANAPC10	anapc10	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005302:9ab92ea8d41a	ATF6	atf6	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005303:c2fce0f4fc60	ATP2B4	atp2b4	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005304:9f9693910825	BTD	btd	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005305:d61c17ededfa	CCNG2	ccng2	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005306:d6c0c4146709	CDKL5	cdkl5	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005307:af605a2c1c8c	CITED2	cited2	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005308:8397c754ccf6	DDC	ddc	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005309:79d13b90d7c7	EYA2	eya2	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005310:05e80d6c38fc	FAM13A	fam13a	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005311:bcb6f473eca2	FAM174B	fam174b	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005312:8537532f9aea	FXYD3	fxyd3	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005313:7556cb930103	GLRX	glrx	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005314:208c2fb21e0e	GRB10	grb10	inferred_regulatory	repressing_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005315:cbbb2b42a756	HK2	hk2	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005316:47ca4f5c02b5	HNRNPA1	hnrnpa1	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005317:19e7d0f818ef	HSD17B11	hsd17b11	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005318:af8f163738e5	LIFR	lifr	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005319:99a143e19217	MRPS27	mrps27	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005320:a347cfffe464	NLGN4X	nlgn4x	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005321:919fd37866e9	NME7	nme7	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005322:23a82fe00f1a	NPEPPS	npepps	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005323:40a273707e5a	NUP214	nup214	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005324:3556b2319ec1	PRPS1	prps1	inferred_regulatory	activating_target	candidate	uncertain	exclude
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ar	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:005325:0c3752256dda	PTPN9	ptpn9	inferred_regulatory	activating_target	candidate	uncertain	exclude
