mapping_id	source_registry	source_version	species_context	identity_role	source_symbol	normalized_symbol	normalized_symbol_key	identity_decision	identity_reason	mscidblit_entity_id	frozen_entity_match_status	frozen_canonical_name	frozen_gene_symbol	frozen_organism_scope	frozen_tf_role_present	frozen_target_role_present
11	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ABCA7	ABCA7	abca7	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
12	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ABCB1	ABCB1	abcb1	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
13	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ABCB11	ABCB11	abcb11	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
14	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ABCB4	ABCB4	abcb4	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
15	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ABCB9	ABCB9	abcb9	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
16	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ABCC1	ABCC1	abcc1	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
17	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ABCC11	ABCC11	abcc11	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
18	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ABCC2	ABCC2	abcc2	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
19	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ABCC3	ABCC3	abcc3	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
20	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ABCC4	ABCC4	abcc4	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
21	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ABCC6	ABCC6	abcc6	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
22	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ABCE1	ABCE1	abce1	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
23	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ABCG1	ABCG1	abcg1	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
24	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ABCG2	ABCG2	abcg2	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
25	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ABCG5	ABCG5	abcg5	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
26	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ABCG8	ABCG8	abcg8	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
27	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ABHD2	ABHD2	abhd2	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
28	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ABI3BP	ABI3BP	abi3bp	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
29	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ABL1	ABL1	abl1	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
30	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ABLIM1	ABLIM1	ablim1	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
31	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ABLIM2	ABLIM2	ablim2	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
32	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ABLIM3	ABLIM3	ablim3	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
33	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ABR	ABR	abr	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
34	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ABTB2	ABTB2	abtb2	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
35	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACACA	ACACA	acaca	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
36	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACACB	ACACB	acacb	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
37	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACAD10	ACAD10	acad10	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
38	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACADM	ACADM	acadm	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
39	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACAN	ACAN	acan	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
40	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACAP3	ACAP3	acap3	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
41	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACAT2	ACAT2	acat2	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
42	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACE	ACE	ace	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
43	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACER3	ACER3	acer3	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
44	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACHE	ACHE	ache	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
45	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACKR1	ACKR1	ackr1	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	11208	mapped_unique	Ackr1	Ackr1	\N	f	f
46	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACKR3	ACKR3	ackr3	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	11210	mapped_unique	Ackr3	Ackr3	\N	f	f
47	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACLY	ACLY	acly	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
48	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACO2	ACO2	aco2	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
49	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACOT13	ACOT13	acot13	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
50	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACOT7	ACOT7	acot7	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
51	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACOX1	ACOX1	acox1	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
52	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACOX2	ACOX2	acox2	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
53	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACOXL	ACOXL	acoxl	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
54	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACP3	ACP3	acp3	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
55	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACP5	ACP5	acp5	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
56	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACSF3	ACSF3	acsf3	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
57	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACSL1	ACSL1	acsl1	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
58	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACSL3	ACSL3	acsl3	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
59	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACSL5	ACSL5	acsl5	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
60	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACSS1	ACSS1	acss1	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
61	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACSS2	ACSS2	acss2	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
62	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACSS3	ACSS3	acss3	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
63	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACTA1	ACTA1	acta1	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
64	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACTA2	ACTA2	acta2	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
65	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACTB	ACTB	actb	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
66	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACTC1	ACTC1	actc1	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
67	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACTG1	ACTG1	actg1	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
68	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACTL8	ACTL8	actl8	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
69	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACTN1	ACTN1	actn1	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
70	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACTN4	ACTN4	actn4	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
71	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACTR2	ACTR2	actr2	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	11214	mapped_unique	Actr2	Actr2	\N	f	f
72	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACTR3	ACTR3	actr3	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
73	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACTR5	ACTR5	actr5	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
74	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACTRT2	ACTRT2	actrt2	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
75	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACVR1	ACVR1	acvr1	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	11215	mapped_unique	Acvr1	Acvr1	\N	f	f
76	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACVR1C	ACVR1C	acvr1c	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	11221	mapped_unique	Acvr1c	Acvr1c	\N	f	f
77	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACY3	ACY3	acy3	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
78	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ACYP2	ACYP2	acyp2	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
79	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADA	ADA	ada	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	11232	mapped_unique	Ada	Ada	\N	f	f
80	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADAM10	ADAM10	adam10	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	11162	mapped_unique	ADAM10	ADAM10	\N	f	f
81	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADAM12	ADAM12	adam12	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	11233	mapped_unique	Adam12	Adam12	\N	f	f
82	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADAM17	ADAM17	adam17	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	11234	mapped_unique	Adam17	Adam17	\N	f	f
83	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADAMTS1	ADAMTS1	adamts1	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
84	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADAMTS16	ADAMTS16	adamts16	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
85	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADAMTS17	ADAMTS17	adamts17	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
86	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADAMTS2	ADAMTS2	adamts2	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
87	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADAMTS20	ADAMTS20	adamts20	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
88	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADAMTS9	ADAMTS9	adamts9	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
89	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADAMTSL1	ADAMTSL1	adamtsl1	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
90	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADAP2	ADAP2	adap2	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
91	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADAR	ADAR	adar	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
92	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADARB1	ADARB1	adarb1	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
93	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADCY2	ADCY2	adcy2	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
94	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADCY3	ADCY3	adcy3	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
95	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADCY5	ADCY5	adcy5	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
96	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADCY7	ADCY7	adcy7	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
97	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADCY9	ADCY9	adcy9	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
98	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADD3	ADD3	add3	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
99	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADGRA3	ADGRA3	adgra3	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
100	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADGRB1	ADGRB1	adgrb1	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	11170	mapped_unique	ADGRB1	ADGRB1	\N	f	f
101	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADGRB2	ADGRB2	adgrb2	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
102	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADGRB3	ADGRB3	adgrb3	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	11241	mapped_unique	Adgrb3	Adgrb3	\N	f	f
103	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADGRD1	ADGRD1	adgrd1	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
104	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADGRE5	ADGRE5	adgre5	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	11171	mapped_unique	ADGRE5	ADGRE5	\N	f	f
105	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADGRF1	ADGRF1	adgrf1	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
106	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADGRG1	ADGRG1	adgrg1	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
107	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADGRG6	ADGRG6	adgrg6	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
108	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADGRL2	ADGRL2	adgrl2	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	11243	mapped_unique	Adgrl2	Adgrl2	\N	f	f
109	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADGRL3	ADGRL3	adgrl3	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	11244	mapped_unique	Adgrl3	Adgrl3	\N	f	f
110	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADGRV1	ADGRV1	adgrv1	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
111	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADH1A	ADH1A	adh1a	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
112	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADH1B	ADH1B	adh1b	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
113	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADH5	ADH5	adh5	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
114	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADH6	ADH6	adh6	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	\N	absent_from_frozen_graph	\N	\N	\N	f	f
115	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADIPOQ	ADIPOQ	adipoq	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	11246	mapped_unique	Adipoq	Adipoq	\N	f	f
116	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	target	ADM	ADM	adm	normalized_exact	Trimmed simple source symbol; no alias expansion applied.	11249	mapped_unique	Adm	Adm	\N	f	f
