verification_id	external_record_key	priority_tf_symbol	species_context	target_normalized_symbol	verification_scope	reference_pmid	reference_locator	reference_title	verification_status	evidence_class	verified_effect	cell_type_context	compartment_context	stimulus_context	confidence_tier	limitations	notes
TF_IDENTITY:TP53:mouse	\N	TP53	mouse	\N	tf_identity	19411072	https://pubmed.ncbi.nlm.nih.gov/19411072/	Ablation of key oncogenic pathways by RITA-reactivated p53 is required for efficient apoptosis.	context_limited_reference	perturbation_response	context_dependent	human cancer cell lines; mouse xenograft context	nucleus	RITA-mediated p53 reactivation	medium	The paper supports p53-dependent transcriptional and post-transcriptional responses in cancer models; it does not establish every public TF-target row or a spinal-cord-injury context.	The paper reports repression of MCL1, BCL2, MAP4, survivin, c-MYC and beta-catenin after p53 reactivation. Treat individual public rows as context-limited unless the exact target and assay are reviewed.
RECORD:OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|mouse|omnipath_dorothea:mouse:000015:202be5dd976f	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|mouse|omnipath_dorothea:mouse:000015:202be5dd976f	TP53	mouse	Bcl2	tf_target_record	19411072	https://pubmed.ncbi.nlm.nih.gov/19411072/	Ablation of key oncogenic pathways by RITA-reactivated p53 is required for efficient apoptosis.	context_limited_reference	perturbation_response	context_dependent	human cancer cell lines; mouse xenograft context	nucleus	RITA-mediated p53 reactivation	medium	The paper supports p53-dependent transcriptional and post-transcriptional responses in cancer models; it does not establish every public TF-target row or a spinal-cord-injury context.	The paper reports repression of MCL1, BCL2, MAP4, survivin, c-MYC and beta-catenin after p53 reactivation. Treat individual public rows as context-limited unless the exact target and assay are reviewed.
RECORD:OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|mouse|omnipath_dorothea:mouse:000181:6df2de6d5b15	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|mouse|omnipath_dorothea:mouse:000181:6df2de6d5b15	TP53	mouse	Myc	tf_target_record	19411072	https://pubmed.ncbi.nlm.nih.gov/19411072/	Ablation of key oncogenic pathways by RITA-reactivated p53 is required for efficient apoptosis.	context_limited_reference	perturbation_response	context_dependent	human cancer cell lines; mouse xenograft context	nucleus	RITA-mediated p53 reactivation	medium	The paper supports p53-dependent transcriptional and post-transcriptional responses in cancer models; it does not establish every public TF-target row or a spinal-cord-injury context.	The paper reports repression of MCL1, BCL2, MAP4, survivin, c-MYC and beta-catenin after p53 reactivation. Treat individual public rows as context-limited unless the exact target and assay are reviewed.
RECORD:OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|mouse|omnipath_dorothea:mouse:002232:6cc1745c1454	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|mouse|omnipath_dorothea:mouse:002232:6cc1745c1454	TP53	mouse	Ctnnb1	tf_target_record	19411072	https://pubmed.ncbi.nlm.nih.gov/19411072/	Ablation of key oncogenic pathways by RITA-reactivated p53 is required for efficient apoptosis.	context_limited_reference	perturbation_response	context_dependent	human cancer cell lines; mouse xenograft context	nucleus	RITA-mediated p53 reactivation	medium	The paper supports p53-dependent transcriptional and post-transcriptional responses in cancer models; it does not establish every public TF-target row or a spinal-cord-injury context.	The paper reports repression of MCL1, BCL2, MAP4, survivin, c-MYC and beta-catenin after p53 reactivation. Treat individual public rows as context-limited unless the exact target and assay are reviewed.
TF_IDENTITY:JUN:human	\N	JUN	human	\N	tf_identity	9334186	https://pubmed.ncbi.nlm.nih.gov/9334186/	The Ets transcription factors interact with each other and with the c-Fos/c-Jun complex via distinct protein domains in a DNA-dependent and -independent manner.	primary_reference_verified	direct_binding	context_dependent	human promoter/in-vitro interaction systems	nucleus	promoter DNA and AP-1/Ets interaction assay	medium	The paper supports c-Jun/c-Fos/Ets promoter interactions and context-dependent transcriptional effects, not a universal direction for every JUN target.	The primary paper describes DNA-dependent and DNA-independent interactions and promoter regulation involving c-Jun/c-Fos complexes.
RECORD:TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:003478	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:003478	JUN	human	MMP1	tf_target_record	9334186	https://pubmed.ncbi.nlm.nih.gov/9334186/	The Ets transcription factors interact with each other and with the c-Fos/c-Jun complex via distinct protein domains in a DNA-dependent and -independent manner.	primary_reference_verified	direct_binding	context_dependent	human promoter/in-vitro interaction systems	nucleus	promoter DNA and AP-1/Ets interaction assay	medium	The paper supports c-Jun/c-Fos/Ets promoter interactions and context-dependent transcriptional effects, not a universal direction for every JUN target.	The primary paper describes DNA-dependent and DNA-independent interactions and promoter regulation involving c-Jun/c-Fos complexes.
RECORD:TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:003484	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:003484	JUN	human	MMP3	tf_target_record	9334186	https://pubmed.ncbi.nlm.nih.gov/9334186/	The Ets transcription factors interact with each other and with the c-Fos/c-Jun complex via distinct protein domains in a DNA-dependent and -independent manner.	primary_reference_verified	direct_binding	context_dependent	human promoter/in-vitro interaction systems	nucleus	promoter DNA and AP-1/Ets interaction assay	medium	The paper supports c-Jun/c-Fos/Ets promoter interactions and context-dependent transcriptional effects, not a universal direction for every JUN target.	The primary paper describes DNA-dependent and DNA-independent interactions and promoter regulation involving c-Jun/c-Fos complexes.
RECORD:OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000463:95deb85d8544	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000463:95deb85d8544	JUN	human	MMP13	tf_target_record	9334186	https://pubmed.ncbi.nlm.nih.gov/9334186/	The Ets transcription factors interact with each other and with the c-Fos/c-Jun complex via distinct protein domains in a DNA-dependent and -independent manner.	primary_reference_verified	direct_binding	context_dependent	human promoter/in-vitro interaction systems	nucleus	promoter DNA and AP-1/Ets interaction assay	medium	The paper supports c-Jun/c-Fos/Ets promoter interactions and context-dependent transcriptional effects, not a universal direction for every JUN target.	The primary paper describes DNA-dependent and DNA-independent interactions and promoter regulation involving c-Jun/c-Fos complexes.
RECORD:OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000548:0e9b400501aa	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000548:0e9b400501aa	JUN	human	MMP1	tf_target_record	9334186	https://pubmed.ncbi.nlm.nih.gov/9334186/	The Ets transcription factors interact with each other and with the c-Fos/c-Jun complex via distinct protein domains in a DNA-dependent and -independent manner.	primary_reference_verified	direct_binding	context_dependent	human promoter/in-vitro interaction systems	nucleus	promoter DNA and AP-1/Ets interaction assay	medium	The paper supports c-Jun/c-Fos/Ets promoter interactions and context-dependent transcriptional effects, not a universal direction for every JUN target.	The primary paper describes DNA-dependent and DNA-independent interactions and promoter regulation involving c-Jun/c-Fos complexes.
RECORD:OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002984:ba1021307167	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002984:ba1021307167	JUN	human	MMP3	tf_target_record	9334186	https://pubmed.ncbi.nlm.nih.gov/9334186/	The Ets transcription factors interact with each other and with the c-Fos/c-Jun complex via distinct protein domains in a DNA-dependent and -independent manner.	primary_reference_verified	direct_binding	context_dependent	human promoter/in-vitro interaction systems	nucleus	promoter DNA and AP-1/Ets interaction assay	medium	The paper supports c-Jun/c-Fos/Ets promoter interactions and context-dependent transcriptional effects, not a universal direction for every JUN target.	The primary paper describes DNA-dependent and DNA-independent interactions and promoter regulation involving c-Jun/c-Fos complexes.
TF_IDENTITY:JUN:mouse	\N	JUN	mouse	\N	tf_identity	9334186	https://pubmed.ncbi.nlm.nih.gov/9334186/	The Ets transcription factors interact with each other and with the c-Fos/c-Jun complex via distinct protein domains in a DNA-dependent and -independent manner.	context_limited_reference	direct_binding	context_dependent	human promoter/in-vitro interaction systems	nucleus	promoter DNA and AP-1/Ets interaction assay	medium	The paper supports c-Jun/c-Fos/Ets promoter interactions and context-dependent transcriptional effects, not a universal direction for every JUN target.	The primary paper describes DNA-dependent and DNA-independent interactions and promoter regulation involving c-Jun/c-Fos complexes.
RECORD:OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|mouse|omnipath_dorothea:mouse:000475:1f7f71c3fed7	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|mouse|omnipath_dorothea:mouse:000475:1f7f71c3fed7	JUN	mouse	Mmp13	tf_target_record	9334186	https://pubmed.ncbi.nlm.nih.gov/9334186/	The Ets transcription factors interact with each other and with the c-Fos/c-Jun complex via distinct protein domains in a DNA-dependent and -independent manner.	context_limited_reference	direct_binding	context_dependent	human promoter/in-vitro interaction systems	nucleus	promoter DNA and AP-1/Ets interaction assay	medium	The paper supports c-Jun/c-Fos/Ets promoter interactions and context-dependent transcriptional effects, not a universal direction for every JUN target.	The primary paper describes DNA-dependent and DNA-independent interactions and promoter regulation involving c-Jun/c-Fos complexes.
RECORD:OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|mouse|omnipath_dorothea:mouse:000545:ded8ecc2182e	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|mouse|omnipath_dorothea:mouse:000545:ded8ecc2182e	JUN	mouse	Mmp1a	tf_target_record	9334186	https://pubmed.ncbi.nlm.nih.gov/9334186/	The Ets transcription factors interact with each other and with the c-Fos/c-Jun complex via distinct protein domains in a DNA-dependent and -independent manner.	context_limited_reference	direct_binding	context_dependent	human promoter/in-vitro interaction systems	nucleus	promoter DNA and AP-1/Ets interaction assay	medium	The paper supports c-Jun/c-Fos/Ets promoter interactions and context-dependent transcriptional effects, not a universal direction for every JUN target.	The primary paper describes DNA-dependent and DNA-independent interactions and promoter regulation involving c-Jun/c-Fos complexes.
RECORD:OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|mouse|omnipath_dorothea:mouse:000546:26f7dc92ca17	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|mouse|omnipath_dorothea:mouse:000546:26f7dc92ca17	JUN	mouse	G5E8A9	tf_target_record	9334186	https://pubmed.ncbi.nlm.nih.gov/9334186/	The Ets transcription factors interact with each other and with the c-Fos/c-Jun complex via distinct protein domains in a DNA-dependent and -independent manner.	context_limited_reference	direct_binding	context_dependent	human promoter/in-vitro interaction systems	nucleus	promoter DNA and AP-1/Ets interaction assay	medium	The paper supports c-Jun/c-Fos/Ets promoter interactions and context-dependent transcriptional effects, not a universal direction for every JUN target.	The primary paper describes DNA-dependent and DNA-independent interactions and promoter regulation involving c-Jun/c-Fos complexes.
RECORD:OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|mouse|omnipath_dorothea:mouse:002933:36ca0c06dcd6	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|mouse|omnipath_dorothea:mouse:002933:36ca0c06dcd6	JUN	mouse	\N	tf_target_record	9334186	https://pubmed.ncbi.nlm.nih.gov/9334186/	The Ets transcription factors interact with each other and with the c-Fos/c-Jun complex via distinct protein domains in a DNA-dependent and -independent manner.	context_limited_reference	direct_binding	context_dependent	human promoter/in-vitro interaction systems	nucleus	promoter DNA and AP-1/Ets interaction assay	medium	The paper supports c-Jun/c-Fos/Ets promoter interactions and context-dependent transcriptional effects, not a universal direction for every JUN target.	The primary paper describes DNA-dependent and DNA-independent interactions and promoter regulation involving c-Jun/c-Fos complexes.
TF_IDENTITY:FOS:human	\N	FOS	human	\N	tf_identity	9334186	https://pubmed.ncbi.nlm.nih.gov/9334186/	The Ets transcription factors interact with each other and with the c-Fos/c-Jun complex via distinct protein domains in a DNA-dependent and -independent manner.	primary_reference_verified	direct_binding	context_dependent	human promoter/in-vitro interaction systems	nucleus	promoter DNA and AP-1/Ets interaction assay	medium	The primary evidence is a promoter/interacting-complex study and should not be generalized to all public FOS memberships.	FOS is a real DNA-binding AP-1 component; direction depends on complex composition and promoter context.
RECORD:TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002097	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002097	FOS	human	MMP1	tf_target_record	9334186	https://pubmed.ncbi.nlm.nih.gov/9334186/	The Ets transcription factors interact with each other and with the c-Fos/c-Jun complex via distinct protein domains in a DNA-dependent and -independent manner.	primary_reference_verified	direct_binding	context_dependent	human promoter/in-vitro interaction systems	nucleus	promoter DNA and AP-1/Ets interaction assay	medium	The primary evidence is a promoter/interacting-complex study and should not be generalized to all public FOS memberships.	FOS is a real DNA-binding AP-1 component; direction depends on complex composition and promoter context.
RECORD:TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002098	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002098	FOS	human	MMP3	tf_target_record	9334186	https://pubmed.ncbi.nlm.nih.gov/9334186/	The Ets transcription factors interact with each other and with the c-Fos/c-Jun complex via distinct protein domains in a DNA-dependent and -independent manner.	primary_reference_verified	direct_binding	context_dependent	human promoter/in-vitro interaction systems	nucleus	promoter DNA and AP-1/Ets interaction assay	medium	The primary evidence is a promoter/interacting-complex study and should not be generalized to all public FOS memberships.	FOS is a real DNA-binding AP-1 component; direction depends on complex composition and promoter context.
RECORD:OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000394:ad388b19b1f9	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000394:ad388b19b1f9	FOS	human	MMP1	tf_target_record	9334186	https://pubmed.ncbi.nlm.nih.gov/9334186/	The Ets transcription factors interact with each other and with the c-Fos/c-Jun complex via distinct protein domains in a DNA-dependent and -independent manner.	primary_reference_verified	direct_binding	context_dependent	human promoter/in-vitro interaction systems	nucleus	promoter DNA and AP-1/Ets interaction assay	medium	The primary evidence is a promoter/interacting-complex study and should not be generalized to all public FOS memberships.	FOS is a real DNA-binding AP-1 component; direction depends on complex composition and promoter context.
RECORD:OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002985:aea44b6fe3a8	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002985:aea44b6fe3a8	FOS	human	MMP3	tf_target_record	9334186	https://pubmed.ncbi.nlm.nih.gov/9334186/	The Ets transcription factors interact with each other and with the c-Fos/c-Jun complex via distinct protein domains in a DNA-dependent and -independent manner.	primary_reference_verified	direct_binding	context_dependent	human promoter/in-vitro interaction systems	nucleus	promoter DNA and AP-1/Ets interaction assay	medium	The primary evidence is a promoter/interacting-complex study and should not be generalized to all public FOS memberships.	FOS is a real DNA-binding AP-1 component; direction depends on complex composition and promoter context.
TF_IDENTITY:FOS:mouse	\N	FOS	mouse	\N	tf_identity	9334186	https://pubmed.ncbi.nlm.nih.gov/9334186/	The Ets transcription factors interact with each other and with the c-Fos/c-Jun complex via distinct protein domains in a DNA-dependent and -independent manner.	context_limited_reference	direct_binding	context_dependent	human promoter/in-vitro interaction systems	nucleus	promoter DNA and AP-1/Ets interaction assay	medium	The primary evidence is a promoter/interacting-complex study and should not be generalized to all public FOS memberships.	FOS is a real DNA-binding AP-1 component; direction depends on complex composition and promoter context.
RECORD:OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|mouse|omnipath_dorothea:mouse:000394:737638c158ac	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|mouse|omnipath_dorothea:mouse:000394:737638c158ac	FOS	mouse	Mmp1a	tf_target_record	9334186	https://pubmed.ncbi.nlm.nih.gov/9334186/	The Ets transcription factors interact with each other and with the c-Fos/c-Jun complex via distinct protein domains in a DNA-dependent and -independent manner.	context_limited_reference	direct_binding	context_dependent	human promoter/in-vitro interaction systems	nucleus	promoter DNA and AP-1/Ets interaction assay	medium	The primary evidence is a promoter/interacting-complex study and should not be generalized to all public FOS memberships.	FOS is a real DNA-binding AP-1 component; direction depends on complex composition and promoter context.
RECORD:OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|mouse|omnipath_dorothea:mouse:000396:b14d18bd0fe9	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|mouse|omnipath_dorothea:mouse:000396:b14d18bd0fe9	FOS	mouse	G5E8A9	tf_target_record	9334186	https://pubmed.ncbi.nlm.nih.gov/9334186/	The Ets transcription factors interact with each other and with the c-Fos/c-Jun complex via distinct protein domains in a DNA-dependent and -independent manner.	context_limited_reference	direct_binding	context_dependent	human promoter/in-vitro interaction systems	nucleus	promoter DNA and AP-1/Ets interaction assay	medium	The primary evidence is a promoter/interacting-complex study and should not be generalized to all public FOS memberships.	FOS is a real DNA-binding AP-1 component; direction depends on complex composition and promoter context.
RECORD:OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|mouse|omnipath_dorothea:mouse:002934:67d252d53406	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|mouse|omnipath_dorothea:mouse:002934:67d252d53406	FOS	mouse	\N	tf_target_record	9334186	https://pubmed.ncbi.nlm.nih.gov/9334186/	The Ets transcription factors interact with each other and with the c-Fos/c-Jun complex via distinct protein domains in a DNA-dependent and -independent manner.	context_limited_reference	direct_binding	context_dependent	human promoter/in-vitro interaction systems	nucleus	promoter DNA and AP-1/Ets interaction assay	medium	The primary evidence is a promoter/interacting-complex study and should not be generalized to all public FOS memberships.	FOS is a real DNA-binding AP-1 component; direction depends on complex composition and promoter context.
TF_IDENTITY:MYC:human	\N	MYC	human	\N	tf_identity	8206526	https://pubmed.ncbi.nlm.nih.gov/8206526/	Transcriptional suppression of HLA-B expression by c-Myc is mediated through the core promoter elements.	primary_reference_verified	direct_binding	repressing_target	human melanoma cell line and c-MYC transfectants	nucleus	c-MYC overexpression	medium	The selected paper is a human HLA-B promoter study; it does not validate all MYC rows or mouse ortholog effects.	The paper reports c-MYC-dependent suppression of HLA-B transcription through core promoter elements. This is a useful direction-conflict check against TRRUST rows that label HLA targets as activating.
RECORD:TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:004195	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:004195	MYC	human	HLA-A	tf_target_record	8206526	https://pubmed.ncbi.nlm.nih.gov/8206526/	Transcriptional suppression of HLA-B expression by c-Myc is mediated through the core promoter elements.	primary_reference_verified	direct_binding	repressing_target	human melanoma cell line and c-MYC transfectants	nucleus	c-MYC overexpression	medium	The selected paper is a human HLA-B promoter study; it does not validate all MYC rows or mouse ortholog effects.	The paper reports c-MYC-dependent suppression of HLA-B transcription through core promoter elements. This is a useful direction-conflict check against TRRUST rows that label HLA targets as activating.
RECORD:TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:004196	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:004196	MYC	human	HLA-B	tf_target_record	8206526	https://pubmed.ncbi.nlm.nih.gov/8206526/	Transcriptional suppression of HLA-B expression by c-Myc is mediated through the core promoter elements.	primary_reference_verified	direct_binding	repressing_target	human melanoma cell line and c-MYC transfectants	nucleus	c-MYC overexpression	medium	The selected paper is a human HLA-B promoter study; it does not validate all MYC rows or mouse ortholog effects.	The paper reports c-MYC-dependent suppression of HLA-B transcription through core promoter elements. This is a useful direction-conflict check against TRRUST rows that label HLA targets as activating.
