source_registry	source_version	species_context	identity_role	source_symbol	normalized_symbol	normalized_symbol_key	identity_decision	identity_reason	mscidblit_entity_id	frozen_entity_match_status
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q148B1	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q14AF1	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q1HL35	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q1WWN2	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q20BD0	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q2TA50	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q31093	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q31094	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q31621	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q32NY6	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3LFS7	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3TAA8	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3TF33	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3TG86	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3THY0	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3TQX1	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3TWH3	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3TYE5	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3TZ02	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3TZG8	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3TZR9	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3TZU5	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3U0X6	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3U148	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3U1Q3	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3U1U4	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3U2G2	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3U3M5	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3U422	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3U4B1	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3U5D9	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3U5F6	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3U687	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3U9D6	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3UE31	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3UEP5	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3UF75	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3UFC0	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3UGX2	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3UH45	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3UI68	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3UJ22	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3ULQ2	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3UN27	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3UPN1	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3UPZ0	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3UQ17	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3US59	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3UTR7	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3UZ24	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3V117	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3V1Q3	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3V2R3	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q3ZB57	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q497J0	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q497M6	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q499D5	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q4KN81	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q4QQK7	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q4QQP3	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q4VA93	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q4VBE7	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q53Z09	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q543V3	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q5EBP8	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q5GLZ0	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q5NCJ5	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q5PR72	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q5RKT9	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q5SUG4	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q5SUH7	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q5SV64	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q5SVJ0	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q5SVT2	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q5UCA9	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q60I23	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q61718	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q63953	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q673W2	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q673W4	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q6NXK9	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q6NXL5	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q6P1H4	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q6P1H7	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q6P4T3	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q6P571	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q6P5B5	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q6P6L5	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q6P8N9	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q6P8P8	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q6P8Q0	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q6P9M2	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q6PCQ6	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q6PCS8	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q6PCX8	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q6PI17	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q6PKB0	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q6T5E4	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q6XZL8	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q792F9	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q7M6W8	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q7TMC9	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q7TNL5	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q80SX0	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q80X81	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q80YQ1	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	mouse	target	Q80ZL6	\N	\N	non_symbol_identifier_unresolved	Value matches an accession-like identifier rather than a conservative gene-symbol pattern.	\N	not_evaluated
