external_regulon_id	source_registry	source_version	species_context	tf_normalized_symbol	tf_normalized_symbol_key	regulon_name	definition_status	membership_semantics	source_record_count	materialized_member_count	export_priority	limitations
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|cdx1	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	CDX1	cdx1	OmniPath_DoRothEA public regulon: CDX1 (human)	candidate	public_source_membership	3	3	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|cdx2	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	CDX2	cdx2	OmniPath_DoRothEA public regulon: CDX2 (human)	candidate	public_source_membership	18	18	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|cebpa	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	CEBPA	cebpa	OmniPath_DoRothEA public regulon: CEBPA (human)	candidate	public_source_membership	589	589	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|cebpb	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	CEBPB	cebpb	OmniPath_DoRothEA public regulon: CEBPB (human)	candidate	public_source_membership	47	47	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|cebpd	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	CEBPD	cebpd	OmniPath_DoRothEA public regulon: CEBPD (human)	candidate	public_source_membership	14	14	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|cebpe	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	CEBPE	cebpe	OmniPath_DoRothEA public regulon: CEBPE (human)	candidate	public_source_membership	5	5	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|cebpg	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	CEBPG	cebpg	OmniPath_DoRothEA public regulon: CEBPG (human)	candidate	public_source_membership	1	1	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|cebpz	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	CEBPZ	cebpz	OmniPath_DoRothEA public regulon: CEBPZ (human)	candidate	public_source_membership	3	3	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|clock	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	CLOCK	clock	OmniPath_DoRothEA public regulon: CLOCK (human)	candidate	public_source_membership	8	8	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|creb1	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	CREB1	creb1	OmniPath_DoRothEA public regulon: CREB1 (human)	candidate	public_source_membership	85	85	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|creb3	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	CREB3	creb3	OmniPath_DoRothEA public regulon: CREB3 (human)	candidate	public_source_membership	2	2	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|creb3l1	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	CREB3L1	creb3l1	OmniPath_DoRothEA public regulon: CREB3L1 (human)	candidate	public_source_membership	2	2	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|crem	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	CREM	crem	OmniPath_DoRothEA public regulon: CREM (human)	candidate	public_source_membership	8	8	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ctcf	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	CTCF	ctcf	OmniPath_DoRothEA public regulon: CTCF (human)	candidate	public_source_membership	620	620	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|cux1	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	CUX1	cux1	OmniPath_DoRothEA public regulon: CUX1 (human)	candidate	public_source_membership	8	8	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ddit3	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	DDIT3	ddit3	OmniPath_DoRothEA public regulon: DDIT3 (human)	candidate	public_source_membership	8	8	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|dnmt1	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	DNMT1	dnmt1	OmniPath_DoRothEA public regulon: DNMT1 (human)	candidate	public_source_membership	4	4	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|e2f1	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	E2F1	e2f1	OmniPath_DoRothEA public regulon: E2F1 (human)	candidate	public_source_membership	529	529	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|e2f2	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	E2F2	e2f2	OmniPath_DoRothEA public regulon: E2F2 (human)	candidate	public_source_membership	15	15	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|e2f3	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	E2F3	e2f3	OmniPath_DoRothEA public regulon: E2F3 (human)	candidate	public_source_membership	14	14	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|e2f4	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	E2F4	e2f4	OmniPath_DoRothEA public regulon: E2F4 (human)	candidate	public_source_membership	514	514	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|e2f5	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	E2F5	e2f5	OmniPath_DoRothEA public regulon: E2F5 (human)	candidate	public_source_membership	1	1	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|e2f6	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	E2F6	e2f6	OmniPath_DoRothEA public regulon: E2F6 (human)	candidate	public_source_membership	7	7	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|e2f7	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	E2F7	e2f7	OmniPath_DoRothEA public regulon: E2F7 (human)	candidate	public_source_membership	4	4	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|e2f8	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	E2F8	e2f8	OmniPath_DoRothEA public regulon: E2F8 (human)	candidate	public_source_membership	1	1	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|e4f1	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	E4F1	e4f1	OmniPath_DoRothEA public regulon: E4F1 (human)	candidate	public_source_membership	1	1	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ebf1	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	EBF1	ebf1	OmniPath_DoRothEA public regulon: EBF1 (human)	candidate	public_source_membership	3	3	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|egr1	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	EGR1	egr1	OmniPath_DoRothEA public regulon: EGR1 (human)	candidate	public_source_membership	563	563	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|egr2	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	EGR2	egr2	OmniPath_DoRothEA public regulon: EGR2 (human)	candidate	public_source_membership	2	2	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|egr3	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	EGR3	egr3	OmniPath_DoRothEA public regulon: EGR3 (human)	candidate	public_source_membership	1	1	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ehf	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	EHF	ehf	OmniPath_DoRothEA public regulon: EHF (human)	candidate	public_source_membership	2	2	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|elf1	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	ELF1	elf1	OmniPath_DoRothEA public regulon: ELF1 (human)	candidate	public_source_membership	2	2	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|elf2	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	ELF2	elf2	OmniPath_DoRothEA public regulon: ELF2 (human)	candidate	public_source_membership	1	1	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|elf3	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	ELF3	elf3	OmniPath_DoRothEA public regulon: ELF3 (human)	candidate	public_source_membership	2	2	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|elk1	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	ELK1	elk1	OmniPath_DoRothEA public regulon: ELK1 (human)	candidate	public_source_membership	37	37	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|elk3	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	ELK3	elk3	OmniPath_DoRothEA public regulon: ELK3 (human)	candidate	public_source_membership	1	1	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|elk4	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	ELK4	elk4	OmniPath_DoRothEA public regulon: ELK4 (human)	candidate	public_source_membership	1	1	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|en1	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	EN1	en1	OmniPath_DoRothEA public regulon: EN1 (human)	candidate	public_source_membership	1	1	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|epas1	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	EPAS1	epas1	OmniPath_DoRothEA public regulon: EPAS1 (human)	candidate	public_source_membership	49	49	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|erf	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	ERF	erf	OmniPath_DoRothEA public regulon: ERF (human)	candidate	public_source_membership	1	1	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|erg	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	ERG	erg	OmniPath_DoRothEA public regulon: ERG (human)	candidate	public_source_membership	21	21	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|esr1	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	ESR1	esr1	OmniPath_DoRothEA public regulon: ESR1 (human)	candidate	public_source_membership	531	531	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|esr2	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	ESR2	esr2	OmniPath_DoRothEA public regulon: ESR2 (human)	candidate	public_source_membership	22	22	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|esrra	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	ESRRA	esrra	OmniPath_DoRothEA public regulon: ESRRA (human)	candidate	public_source_membership	7	7	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ets1	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	ETS1	ets1	OmniPath_DoRothEA public regulon: ETS1 (human)	candidate	public_source_membership	527	527	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|ets2	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	ETS2	ets2	OmniPath_DoRothEA public regulon: ETS2 (human)	candidate	public_source_membership	32	32	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|etv3	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	ETV3	etv3	OmniPath_DoRothEA public regulon: ETV3 (human)	candidate	public_source_membership	1	1	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|etv4	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	ETV4	etv4	OmniPath_DoRothEA public regulon: ETV4 (human)	candidate	public_source_membership	18	18	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|fli1	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	FLI1	fli1	OmniPath_DoRothEA public regulon: FLI1 (human)	candidate	public_source_membership	14	14	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|fos	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	FOS	fos	OmniPath_DoRothEA public regulon: FOS (human)	candidate	public_source_membership	448	448	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|fosl1	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	FOSL1	fosl1	OmniPath_DoRothEA public regulon: FOSL1 (human)	candidate	public_source_membership	15	15	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|fosl2	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	FOSL2	fosl2	OmniPath_DoRothEA public regulon: FOSL2 (human)	candidate	public_source_membership	13	13	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|foxa1	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	FOXA1	foxa1	OmniPath_DoRothEA public regulon: FOXA1 (human)	candidate	public_source_membership	508	508	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|foxa2	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	FOXA2	foxa2	OmniPath_DoRothEA public regulon: FOXA2 (human)	candidate	public_source_membership	11	11	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|foxa3	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	FOXA3	foxa3	OmniPath_DoRothEA public regulon: FOXA3 (human)	candidate	public_source_membership	3	3	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|foxd3	OmniPath_DoRothEA	OmniPath_DoRothEA_snapshot_2026-08-25	human	FOXD3	foxd3	OmniPath_DoRothEA public regulon: FOXD3 (human)	candidate	public_source_membership	1	1	exclude	Candidate source grouping only; not an exhaustive or context-specific biological regulon and not part of the frozen mechanism bundle.
