review_priority_rank	review_priority_score	ligand_label	receptor_label	route_record_count	unique_evidence_id_count	output_annotated_route_count	tf_annotated_route_count	intracellular_annotated_route_count	missing_intracellular_count	missing_tf_count	route_tiers	selection_note
14	324	Human astrovirus coat protein/HAstV CP	C1Q/complement component 1q	22	12	10	0	20	2	22	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
15	324	Osteoadherin/OSAD	C1q/complement component 1q	22	12	10	0	20	2	22	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
16	324	Secreted serglycin/SRGN	C1Q/complement component 1q	22	12	10	0	20	2	22	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
17	324	TcCRT/Trypanosoma cruzi calreticulin	C1Q/complement component 1q	22	12	10	0	20	2	22	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
18	324	TcaCRT/Trypanosoma carassii calreticulin	C1Q/complement component 1q	22	12	10	0	20	2	22	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
19	324	TsPmy/Trichinella spiralis paramyosin	C1Q/complement component 1q	22	12	10	0	20	2	22	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
20	320	BGN/Biglycan	C1Q/complement component 1q	22	12	9	0	20	2	22	ligand_receptor_downstream_claim_unresolved:1;ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9	Workflow prioritization only; mSCS determines route plausibility and confidence.
21	320	Cna/Staphylococcus aureus collagen adhesin	C1Q/complement component 1q	22	12	9	0	20	2	22	ligand_receptor_downstream_claim_unresolved:1;ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9	Workflow prioritization only; mSCS determines route plausibility and confidence.
22	320	DCN/Decorin	C1Q/complement component 1q	22	12	9	0	20	2	22	ligand_receptor_downstream_claim_unresolved:1;ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9	Workflow prioritization only; mSCS determines route plausibility and confidence.
23	320	HNP-1/DEFA1	C1Q/complement component 1q	22	12	9	0	20	2	22	ligand_receptor_downstream_claim_unresolved:1;ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9	Workflow prioritization only; mSCS determines route plausibility and confidence.
24	320	HcCRT/Haemonchus contortus calreticulin	C1Q/complement component 1q	22	12	9	0	20	2	22	ligand_receptor_downstream_claim_unresolved:1;ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9	Workflow prioritization only; mSCS determines route plausibility and confidence.
25	320	PepO/Streptococcus pneumoniae endopeptidase O	C1Q/complement component 1q	22	12	9	0	20	2	22	ligand_receptor_downstream_claim_unresolved:1;ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9	Workflow prioritization only; mSCS determines route plausibility and confidence.
26	320	PepO/Streptococcus pyogenes endopeptidase O	C1Q/complement component 1q	22	12	9	0	20	2	22	ligand_receptor_downstream_claim_unresolved:1;ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9	Workflow prioritization only; mSCS determines route plausibility and confidence.
27	320	SmPmy/Schistosoma mansoni paramyosin	C1Q/complement component 1q	22	12	9	0	20	2	22	ligand_receptor_downstream_claim_unresolved:1;ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9	Workflow prioritization only; mSCS determines route plausibility and confidence.
28	320	SntA/Streptococcus suis surface-exposed heme-binding protein	C1Q/complement component 1q	22	12	9	0	20	2	22	ligand_receptor_downstream_claim_unresolved:1;ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9	Workflow prioritization only; mSCS determines route plausibility and confidence.
29	320	TiCRT/Triatoma infestans calreticulin	C1Q/complement component 1q	22	12	9	0	20	2	22	ligand_receptor_downstream_claim_unresolved:1;ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9	Workflow prioritization only; mSCS determines route plausibility and confidence.
30	310	AamCRT/Amblyomma americanum calreticulin	C1Q/complement component 1q	21	12	9	0	20	1	21	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9	Workflow prioritization only; mSCS determines route plausibility and confidence.
31	310	DENV2 NS1/Dengue virus nonstructural protein 1	C1Q/complement component 1q	21	12	9	0	20	1	21	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9	Workflow prioritization only; mSCS determines route plausibility and confidence.
32	298	ANGPTL2/angiopoietin-like 2	MAG/myelin-associated glycoprotein	20	8	12	0	17	3	20	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:7;ligand_receptor_intracellular_output_missing_tf:10;ligand_receptor_output_annotation_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
33	270	TNR/tenascin-R	MAG/myelin-associated glycoprotein	18	8	10	0	17	1	18	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:7;ligand_receptor_intracellular_output_missing_tf:10	Workflow prioritization only; mSCS determines route plausibility and confidence.
34	261	IL12B/IL23A	IL12RB1:IL23R receptor complex	14	18	13	11	0	14	3	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:2;ligand_receptor_tf_target_missing_intracellular:11	Workflow prioritization only; mSCS determines route plausibility and confidence.
35	260	CNTF	CNTFR-alpha-gp130-LIFR receptor complex	15	11	13	12	0	15	3	ligand_receptor_entry_only:2;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_tf_target_missing_intracellular:12	Workflow prioritization only; mSCS determines route plausibility and confidence.
36	256	IL-6	IL-6R-gp130 receptor complex	15	11	12	12	0	15	3	ligand_receptor_downstream_claim_unresolved:1;ligand_receptor_entry_only:2;ligand_receptor_tf_target_missing_intracellular:12	Workflow prioritization only; mSCS determines route plausibility and confidence.
37	256	IL15	IL15RA:IL2RB:IL2RG receptor complex	14	16	12	10	3	11	4	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:2;ligand_receptor_tf_target_missing_intracellular:10	Workflow prioritization only; mSCS determines route plausibility and confidence.
38	236	EpCAM/EpEX	EGFR/ERBB1	16	6	10	0	12	4	16	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7;ligand_receptor_output_annotation_missing_intracellular_and_tf:3	Workflow prioritization only; mSCS determines route plausibility and confidence.
39	236	HSPG2/perlecan	ITGA5:ITGB1-PDGFRB complex	16	8	8	0	14	2	16	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:7;ligand_receptor_intracellular_output_missing_tf:7;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
40	230	COL1A1/COL1A2 native collagen I	CD36	16	5	8	0	14	2	16	ligand_receptor_entry_only:2;ligand_receptor_intracellular_claim_unresolved:6;ligand_receptor_intracellular_output_missing_tf:8	Workflow prioritization only; mSCS determines route plausibility and confidence.
41	222	COMP/TSP5	CD47	15	7	8	0	13	2	15	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:6;ligand_receptor_intracellular_output_missing_tf:7;ligand_receptor_output_annotation_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
42	222	DCN/Decorin	EGFR	15	6	9	0	12	3	15	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7;ligand_receptor_output_annotation_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
43	222	EFEMP1	EGFR	15	6	9	0	12	3	15	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7;ligand_receptor_output_annotation_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
44	222	L1CAM/L1	EGFR/ERBB1	15	6	9	0	12	3	15	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7;ligand_receptor_output_annotation_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
45	222	TNC/tenascin-C	EGFR/epidermal growth factor receptor	15	6	9	0	12	3	15	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7;ligand_receptor_output_annotation_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
46	220	LGALS3/galectin-3	TLR4 and PDGFRB+ fibroblast scar system	15	9	6	0	14	1	15	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:8;ligand_receptor_intracellular_output_missing_tf:6	Workflow prioritization only; mSCS determines route plausibility and confidence.
47	212	EFNA1	EPHA2	14	4	10	0	12	2	14	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:3;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
48	208	AREG/amphiregulin	EGFR receptor	14	6	8	0	12	2	14	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7;ligand_receptor_output_annotation_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
49	208	BTC/betacellulin	EGFR receptor	14	6	8	0	12	2	14	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7;ligand_receptor_output_annotation_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
50	208	COMP	CD47	14	7	7	0	13	1	14	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:6;ligand_receptor_intracellular_output_missing_tf:7	Workflow prioritization only; mSCS determines route plausibility and confidence.
51	208	Comp	Cd47	14	7	7	0	13	1	14	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:6;ligand_receptor_intracellular_output_missing_tf:7	Workflow prioritization only; mSCS determines route plausibility and confidence.
52	208	Decorin/DCN	EGFR	14	6	8	0	12	2	14	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7;ligand_receptor_output_annotation_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
53	208	EREG/epiregulin	EGFR receptor	14	6	8	0	12	2	14	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7;ligand_receptor_output_annotation_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
54	208	GAS6	MERTK	14	5	9	0	11	3	14	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:4;ligand_receptor_intracellular_output_missing_tf:7;ligand_receptor_output_annotation_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
55	208	HBEGF/HB-EGF	EGFR receptor	14	6	8	0	12	2	14	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7;ligand_receptor_output_annotation_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
56	208	SFTPD/surfactant protein D	EGFR	14	6	8	0	12	2	14	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7;ligand_receptor_output_annotation_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
57	208	THBS1	CD47	14	7	7	0	13	1	14	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:6;ligand_receptor_intracellular_output_missing_tf:7	Workflow prioritization only; mSCS determines route plausibility and confidence.
58	208	THBS1 C-terminal domain	CD47	14	7	7	0	13	1	14	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:6;ligand_receptor_intracellular_output_missing_tf:7	Workflow prioritization only; mSCS determines route plausibility and confidence.
59	208	Thbs1	Cd47	14	7	7	0	13	1	14	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:6;ligand_receptor_intracellular_output_missing_tf:7	Workflow prioritization only; mSCS determines route plausibility and confidence.
60	208	Thbs2	Cd47	14	7	7	0	13	1	14	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:6;ligand_receptor_intracellular_output_missing_tf:7	Workflow prioritization only; mSCS determines route plausibility and confidence.
61	208	Thbs4	Cd47	14	7	7	0	13	1	14	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:6;ligand_receptor_intracellular_output_missing_tf:7	Workflow prioritization only; mSCS determines route plausibility and confidence.
62	206	PDGFB	LRP1-PDGFRB endosomal complex	14	7	7	0	12	2	14	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:6;ligand_receptor_intracellular_output_missing_tf:6;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
63	204	EPGN/epigen	EGFR receptor	14	6	7	0	12	2	14	ligand_receptor_downstream_claim_unresolved:1;ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7	Workflow prioritization only; mSCS determines route plausibility and confidence.
64	200	EFNA2	EPHA2	13	5	9	0	12	1	13	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:3;ligand_receptor_intracellular_output_missing_tf:9	Workflow prioritization only; mSCS determines route plausibility and confidence.
65	198	EFNA1/ephrin-A1	EPHA2	13	4	9	0	12	1	13	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:3;ligand_receptor_intracellular_output_missing_tf:9	Workflow prioritization only; mSCS determines route plausibility and confidence.
66	198	EFNA3/ephrin-A3	EPHA2	13	4	9	0	12	1	13	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:3;ligand_receptor_intracellular_output_missing_tf:9	Workflow prioritization only; mSCS determines route plausibility and confidence.
67	198	EFNA5/ephrin-A5	EPHA2	13	4	9	0	12	1	13	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:3;ligand_receptor_intracellular_output_missing_tf:9	Workflow prioritization only; mSCS determines route plausibility and confidence.
68	198	Efna1	Epha2	13	4	9	0	12	1	13	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:3;ligand_receptor_intracellular_output_missing_tf:9	Workflow prioritization only; mSCS determines route plausibility and confidence.
69	198	Efna4	Epha2	13	4	9	0	12	1	13	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:3;ligand_receptor_intracellular_output_missing_tf:9	Workflow prioritization only; mSCS determines route plausibility and confidence.
70	198	Efna5	Epha2	13	4	9	0	12	1	13	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:3;ligand_receptor_intracellular_output_missing_tf:9	Workflow prioritization only; mSCS determines route plausibility and confidence.
71	196	GH1/growth hormone (GH)	PRLR/prolactin receptor	12	9	8	4	7	5	8	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:3;ligand_receptor_intracellular_output_missing_tf:4;ligand_receptor_tf_target_missing_intracellular:4	Workflow prioritization only; mSCS determines route plausibility and confidence.
72	196	Prolactin	PRLR/prolactin receptor	12	9	8	4	7	5	8	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:3;ligand_receptor_intracellular_output_missing_tf:4;ligand_receptor_tf_target_missing_intracellular:4	Workflow prioritization only; mSCS determines route plausibility and confidence.
73	194	Ang	Egfr	13	6	7	0	12	1	13	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7	Workflow prioritization only; mSCS determines route plausibility and confidence.
74	194	Areg	EGFR_ERBB2	13	6	7	0	12	1	13	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7	Workflow prioritization only; mSCS determines route plausibility and confidence.
75	194	Btc	EGFR_ERBB2	13	6	7	0	12	1	13	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7	Workflow prioritization only; mSCS determines route plausibility and confidence.
76	194	CDH1	EGFR	13	6	7	0	12	1	13	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7	Workflow prioritization only; mSCS determines route plausibility and confidence.
77	194	DCN/decorin	EGFR	13	6	7	0	12	1	13	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7	Workflow prioritization only; mSCS determines route plausibility and confidence.
78	194	Dcn	Egfr	13	6	7	0	12	1	13	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7	Workflow prioritization only; mSCS determines route plausibility and confidence.
79	194	EGF	EGFR receptor dimer	13	6	7	0	12	1	13	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7	Workflow prioritization only; mSCS determines route plausibility and confidence.
80	194	Efemp1	Egfr	13	6	7	0	12	1	13	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7	Workflow prioritization only; mSCS determines route plausibility and confidence.
81	194	Egf	EGFR_ERBB2	13	6	7	0	12	1	13	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7	Workflow prioritization only; mSCS determines route plausibility and confidence.
82	194	Egf	Egfr	13	6	7	0	12	1	13	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7	Workflow prioritization only; mSCS determines route plausibility and confidence.
83	194	Epgn	Egfr	13	6	7	0	12	1	13	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7	Workflow prioritization only; mSCS determines route plausibility and confidence.
84	194	Ereg	EGFR_ERBB2	13	6	7	0	12	1	13	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7	Workflow prioritization only; mSCS determines route plausibility and confidence.
85	194	Ereg	Egfr	13	6	7	0	12	1	13	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7	Workflow prioritization only; mSCS determines route plausibility and confidence.
86	194	GPNMB/osteactivin	EGFR/ERBB1	13	6	7	0	12	1	13	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7	Workflow prioritization only; mSCS determines route plausibility and confidence.
87	194	Galectin-3/LGALS3	MERTK	13	5	8	0	11	2	13	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:4;ligand_receptor_intracellular_output_missing_tf:7;ligand_receptor_output_annotation_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
88	194	Hbegf	Egfr	13	6	7	0	12	1	13	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7	Workflow prioritization only; mSCS determines route plausibility and confidence.
89	194	IGFBP2/EGFR proteins transported within 4D-sEVs	EGFR/IGFBP2 complex in recipient macrophages/microglia	13	6	7	0	12	1	13	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7	Workflow prioritization only; mSCS determines route plausibility and confidence.
90	194	L1CAM	EGFR cis/trans complex	13	6	7	0	12	1	13	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7	Workflow prioritization only; mSCS determines route plausibility and confidence.
91	194	L1cam	Egfr	13	6	7	0	12	1	13	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7	Workflow prioritization only; mSCS determines route plausibility and confidence.
92	194	LRIG1 soluble ectodomain	EGFR	13	6	7	0	12	1	13	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7	Workflow prioritization only; mSCS determines route plausibility and confidence.
93	194	Mif	Egfr	13	6	7	0	12	1	13	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7	Workflow prioritization only; mSCS determines route plausibility and confidence.
94	194	PROS1	MERTK	13	5	8	0	11	2	13	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:4;ligand_receptor_intracellular_output_missing_tf:7;ligand_receptor_output_annotation_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
95	194	TNC	EGFR	13	6	7	0	12	1	13	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7	Workflow prioritization only; mSCS determines route plausibility and confidence.
96	194	Tgfb1	Egfr	13	6	7	0	12	1	13	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7	Workflow prioritization only; mSCS determines route plausibility and confidence.
97	194	Tnc	Egfr	13	6	7	0	12	1	13	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7	Workflow prioritization only; mSCS determines route plausibility and confidence.
