ordinal	review_id	pair_key	verdict	source_locators	species_support	assay_or_result	limitations
225	M20A-LIANA-REMAINING-0020	btla tnfrsf14	medium	PMID:38831106 https://pubmed.ncbi.nlm.nih.gov/38831106/; PMID:38676311 https://pubmed.ncbi.nlm.nih.gov/38676311/	human and mouse CAR-T/cancer and immune studies	The cited Nature Immunology study tests trans BTLA-HVEM/TNFRSF14 engagement and shows receptor-dependent inhibition of CAR-T function; the SLE study independently identifies HVEM as the natural BTLA ligand.	The evidence is functional trans engagement rather than a purified binding assay and can depend on cis/trans receptor geometry.
226	M20A-LIANA-REMAINING-0025	calr lrp1	manual_review	PMID:40714468 https://pubmed.ncbi.nlm.nih.gov/40714468/; PMID:35693935 https://pubmed.ncbi.nlm.nih.gov/35693935/	human OA specimens and mouse DMM OA model	CALR upregulation activated LRP1/Rac1 signaling in osteoclast differentiation, and CALR knockdown or CALR deficiency suppressed the phenotype; the cited review also treats CALR/LRP1 as a signaling axis.	The primary study does not measure purified CALR-LRP1 binding or define whether surface CALR is the direct ligand versus part of an immunogenic-cell-death complex.
227	M20A-LIANA-REMAINING-0027	ccl11 ccr3	medium	PMID:41855337 https://pubmed.ncbi.nlm.nih.gov/41855337/; PMID:25182982 https://pubmed.ncbi.nlm.nih.gov/25182982/	mouse atopic-dermatitis-like model and human skin review	The primary mouse study explicitly assigns eosinophil recruitment to the CCL11-CCR3 axis in inflamed skin; the review provides compatible chemokine-receptor context.	The citation supports in vivo axis function rather than a purified binding assay and does not establish all downstream cell types.
228	M20A-LIANA-REMAINING-0029	ccl12 ccr2	medium	PMID:41429897 https://pubmed.ncbi.nlm.nih.gov/41429897/; PMID:40517940 https://pubmed.ncbi.nlm.nih.gov/40517940/; PMID:18334747 https://pubmed.ncbi.nlm.nih.gov/18334747/; PMID:41610009 https://pubmed.ncbi.nlm.nih.gov/41610009/	mouse models and human burn-injury observations	The cited studies show CCL12-producing cells recruiting CCR2-positive cells, CCL12 chemotaxis in mouse cells, and CCL12-specific antibody/calcium-mobilization evidence; the 2007 study explicitly states that CCL12 binds and activates CCR2.	Most evidence is mouse or cellular recruitment rather than purified human receptor binding, and CCL12 is a mouse chemokine homolog rather than a direct human CCL2 synonym.
229	M20A-LIANA-REMAINING-0030	ccl17 ccr4	medium	PMID:35113652 https://pubmed.ncbi.nlm.nih.gov/35113652/; PMID:37005490 https://pubmed.ncbi.nlm.nih.gov/37005490/	mouse myocardial-injury models and human review	Primary mouse experiments show CCL17 chemotaxis of Tregs/T cells is blocked by CCR4 antagonists and characterize biased CCR4 signaling; the review provides contextual support.	No purified binding constant is reported and CCL22 is a competing CCR4 ligand in the same assay system.
230	M20A-LIANA-REMAINING-0032	ccl20 ccr6	medium	PMID:34719426 https://pubmed.ncbi.nlm.nih.gov/34719426/; PMID:38942796 https://pubmed.ncbi.nlm.nih.gov/38942796/; PMID:41102188 https://pubmed.ncbi.nlm.nih.gov/41102188/	human HCC and mouse syngeneic prostate-bone-metastasis/fibrosis models	The cited studies identify CCL20 as the CCR6 ligand and show CCL20/CCR6-dependent recruitment or disruption of the axis in mouse tumor models; one newer study explicitly contrasts CCL20-integrin alpha5beta1 with CCR6.	The evidence is cellular/in vivo axis function, not purified ligand-receptor binding; CCL20 can also signal through noncanonical receptors in specific fibroblast contexts.
231	M20A-LIANA-REMAINING-0035	ccl22 ccr4	medium	PMID:35113652 https://pubmed.ncbi.nlm.nih.gov/35113652/; PMID:38717443 https://pubmed.ncbi.nlm.nih.gov/38717443/	mouse T-cell chemotaxis and human IPF samples	The CCL17 study directly measures CCL22-driven chemotaxis and shows loss with CCR4 antagonists; the IPF study independently identifies CCL22 as a CCR4 ligand in a recruitment model.	The primary chemotaxis paper focuses mechanistically on CCL17 competition and biased CCR4 signaling, not a standalone CCL22 structure or affinity measurement.
232	M20A-LIANA-REMAINING-0036	ccl24 ccr3	medium	PMID:40955564 https://pubmed.ncbi.nlm.nih.gov/40955564/; PMID:40791394 https://pubmed.ncbi.nlm.nih.gov/40791394/; PMID:37555717 https://pubmed.ncbi.nlm.nih.gov/37555717/	mouse cardiac fibroblasts and mouse/human sarcoidosis/systemic-sclerosis contexts	The primary cardiac study shows CCL24 directly activates fibroblasts through CCR3, with CCR3 deletion, antagonist, and CCL24 blockade reducing fibrosis; the sarcoidosis paper supports the axis context.	The sarcoidosis record is a preprint and the cardiac study is disease-context specific; direct biochemical binding is not shown.
233	M20A-LIANA-REMAINING-0039	ccl28 ccr10	medium	PMID:37352379 https://pubmed.ncbi.nlm.nih.gov/37352379/; PMID:28207301 https://pubmed.ncbi.nlm.nih.gov/28207301/; PMID:33076281 https://pubmed.ncbi.nlm.nih.gov/33076281/	human colorectal-liver-metastasis and human/mouse mucosal review contexts	The primary liver-cancer study assigns IgA-positive plasma-cell recruitment to CCR10-CCL28 signaling; reviews provide compatible mucosal biology.	The study is a cellular recruitment model and does not establish direct binding or exclude other chemokine-receptor contributions in the tumor microenvironment.
234	M20A-LIANA-REMAINING-0040	ccl28 ccr3	medium	PMID:40975172 https://pubmed.ncbi.nlm.nih.gov/40975172/; PMID:40502012 https://pubmed.ncbi.nlm.nih.gov/40502012/; PMID:39193987 https://pubmed.ncbi.nlm.nih.gov/39193987/	human receptor structure-function assays and mouse mucosal infection	The JBC structure-function study tests CCL28 selectivity and activation of CCR3, while the mouse infection study shows CCL28-induced neutrophil activation is largely CCR3-dependent.	Engineered chemokine variants and AlphaFold models are included in the structure-function study; infection results are receptor-dependent physiology rather than an affinity measurement.
235	M20A-LIANA-REMAINING-0043	ccl5 ccr1	medium	https://pubmed.ncbi.nlm.nih.gov/12270118/;https://pubmed.ncbi.nlm.nih.gov/30567735/	human;cord-blood mast cells;recombinant CCR1 systems	CCL5/RANTES drives mast-cell migration blocked by CCR1 antibodies, and CCR1 binding/activation studies test CCL5 among its ligands.	Some migration is shared with CCR4 and response depends on cell context.
236	M20A-LIANA-REMAINING-0046	ccl5 ccr5	high	https://pubmed.ncbi.nlm.nih.gov/11700073/;https://pubmed.ncbi.nlm.nih.gov/9312096/	human;CCR5-mutant/transfected systems	RANTES/CCL5 binds CCR5 and receptor mutagenesis maps engagement; signaling and HIV-coreceptor assays establish receptor-dependent function.	Chemokine receptor activation and coreceptor assays are context-dependent.
237	M20A-LIANA-REMAINING-0047	cd40lg cd40	high	https://pubmed.ncbi.nlm.nih.gov/7681403/	human	CD40-Fc bound activated human T-cell CD40 ligand with nanomolar affinity and the pair supported CD40-dependent activation biology.	Human activated-lymphocyte system; membrane presentation matters.
238	M20A-LIANA-REMAINING-0054	cxcl1 cxcr1	medium	https://pubmed.ncbi.nlm.nih.gov/41903444/	human receptor biosensor systems	CXCL1 activated CXCR1 as a G-protein-biased partial agonist in biosensor assays.	Shared chemokine ligands show receptor bias; this is not a mouse-specific assay.
239	M20A-LIANA-REMAINING-0055	cxcl1 cxcr2	medium	https://pubmed.ncbi.nlm.nih.gov/41903444/	human receptor biosensor systems	CXCL1 activated CXCR2 as a balanced full agonist in biosensor assays.	Shared chemokine ligands show receptor bias; this is not a mouse-specific assay.
240	M20A-LIANA-REMAINING-0057	cxcl10 cxcr3	high	https://pubmed.ncbi.nlm.nih.gov/16847335/	human	Primary CXCR3 ligand studies tested CXCL10 with receptor binding, mutagenesis, and receptor-dependent chemotactic/signaling assays.	Chemokine processing and assay cell background can affect potency.
241	M20A-LIANA-REMAINING-0058	cxcl12 ackr3	high	https://pubmed.ncbi.nlm.nih.gov/31506383/	human	CXCL12 bound ACKR3/CXCR7 and supported receptor-dependent beta-arrestin/scavenging behavior.	ACKR3 is atypical and does not signal like a canonical G-protein chemokine receptor.
242	M20A-LIANA-REMAINING-0059	cxcl12 cxcr4	high	https://pubmed.ncbi.nlm.nih.gov/19837984/;https://pubmed.ncbi.nlm.nih.gov/39093700/	human	Structural and functional studies directly characterized CXCL12 binding to CXCR4 and receptor activation.	Chemokine oligomerization and receptor conformation influence the measured interaction.
243	M20A-LIANA-REMAINING-0061	cxcl13 cxcr5	medium	https://pubmed.ncbi.nlm.nih.gov/33021505/	human	Primary studies tested CXCL13-dependent activation and chemotaxis through CXCR5.	Cell context and chemokine presentation affect functional potency.
244	M20A-LIANA-REMAINING-0069	dlk1 notch1	medium	https://pubmed.ncbi.nlm.nih.gov/15652348/;https://pubmed.ncbi.nlm.nih.gov/26791579/;https://pubmed.ncbi.nlm.nih.gov/41610642/	mouse tissues and mammalian cell systems; human placenta context	DLK1 directly interacted with NOTCH1 in yeast/mammalian two-hybrid assays and inhibited NOTCH1 reporter activity; mouse tissue and cell studies support the same noncanonical interaction.	DLK1 lacks the canonical DSL domain and acts mainly as an antagonist; signaling direction is context dependent and the submitted recent papers are mostly functional rather than affinity studies.
245	M20A-LIANA-REMAINING-0070	dlk2 notch1	medium	https://pubmed.ncbi.nlm.nih.gov/21419176/;https://pubmed.ncbi.nlm.nih.gov/39473022/;https://pubmed.ncbi.nlm.nih.gov/37776784/	mouse and mammalian cell systems	DLK2 was shown to interact with the same NOTCH1 extracellular region as DLK1 and to inhibit NOTCH1 signaling in preadipocytes and mouse embryo fibroblasts.	This is a noncanonical inhibitory ligand interaction, not canonical DSL agonism; the newer differentiation studies are pathway/function assays and do not establish a universal affinity or stoichiometry.
246	M20A-LIANA-REMAINING-0071	dll1 notch1	medium	https://pubmed.ncbi.nlm.nih.gov/25255288/;https://pubmed.ncbi.nlm.nih.gov/30289388/	mouse mammalian cell-adhesion assays	Forced mouse DLL1 on stromal cells promoted mast-cell adhesion through NOTCH1 binding; the primary adhesion study attributes the effect to receptor-ligand tethering rather than generic Notch pathway co-expression.	Readout is cell adhesion with membrane-presented ligand, not purified binding kinetics or a receptor-activation assay; receptor glycosylation and calcium dependence remain relevant.
247	M20A-LIANA-REMAINING-0072	dll1 notch2	medium	https://pubmed.ncbi.nlm.nih.gov/25255288/;https://pubmed.ncbi.nlm.nih.gov/30289388/	mouse mammalian cell-adhesion assays	The same mouse adhesion experiments explicitly attributed mast-cell tethering to NOTCH2 binding DLL1, establishing the submitted pair.	Membrane presentation and cell context are required; this is adhesion rather than a dedicated biophysical affinity or canonical activation assay.
248	M20A-LIANA-REMAINING-0073	dll1 notch3	medium	https://pubmed.ncbi.nlm.nih.gov/11006133/;https://pubmed.ncbi.nlm.nih.gov/22353464/	mammalian soluble-receptor/cell assays; species not uniformly resolved	Soluble NOTCH3 extracellular protein bound cell-surface Delta1, and immobilized NOTCH3 directly bound Delta1 in Ca2+-dependent solid-phase assays.	The primary paper measures receptor ectodomain binding and does not establish a universal full-length receptor activation response; later database/review locators are not evidence by themselves.
249	M20A-LIANA-REMAINING-0074	dll4 notch1	medium	https://pubmed.ncbi.nlm.nih.gov/25255288/;https://pubmed.ncbi.nlm.nih.gov/42559487/	mouse mammalian cell-adhesion assays	Mouse DLL4-expressing stromal cells promoted mast-cell adhesion through NOTCH1 binding, directly supporting the submitted DLL4-NOTCH1 edge.	Adhesion/tethering does not by itself quantify affinity or prove downstream canonical activation; the recent 42559487 paper is pathway-level support rather than the decisive assay.
250	M20A-LIANA-REMAINING-0075	dll4 notch2	medium	https://pubmed.ncbi.nlm.nih.gov/25255288/;https://pubmed.ncbi.nlm.nih.gov/41945296/	mouse mammalian cell-adhesion assays	The primary mouse adhesion study explicitly included DLL4 binding to NOTCH2 on mast cells.	Membrane-presented ligand and cell context are required; the cited recent pathway papers do not replace the exact adhesion result.
251	M20A-LIANA-REMAINING-0080	efna2 epha4	high	https://pubmed.ncbi.nlm.nih.gov/19836338/;https://pubmed.ncbi.nlm.nih.gov/41516312/	human recombinant ectodomains	Crystal structures of EPHA4 with ephrin-A2 and in-vitro binding data directly establish the EFNA2-EPHA4 interaction.	Structural/recombinant evidence does not establish mouse or SCI-specific function; EphA4 can also bind B-class ephrins and requires membrane clustering for many signaling outputs.
252	M20A-LIANA-REMAINING-0088	efna4 epha4	medium	https://pubmed.ncbi.nlm.nih.gov/10366629/;https://pubmed.ncbi.nlm.nih.gov/41516312/	rat postnatal striatal tissue	Rat striatal ligand-receptor assays showed ephrin-A4 binding to EPHA4 and not EPHA7, with selective compartment localization.	Tissue lysate binding is not purified affinity kinetics and does not establish a universal affinity ranking or mouse SCI function.
253	M20A-LIANA-REMAINING-0092	efna4 epha8	high	https://pubmed.ncbi.nlm.nih.gov/10515610/;https://pubmed.ncbi.nlm.nih.gov/41516312/	human ephrin-Fc with receptor-expressing NIH3T3 cells	Ephrin-A4-Fc efficiently bound EPHA8 expressed in NIH3T3 cells and stimulated EPHA8 tyrosine phosphorylation.	Recombinant ligand/receptor cell assay is not a mouse developmental or SCI study; membrane presentation and clustering may alter signaling.
254	M20A-LIANA-REMAINING-0093	efna5 epha4	high	https://pubmed.ncbi.nlm.nih.gov/23959867/;https://pubmed.ncbi.nlm.nih.gov/23812375/;https://pubmed.ncbi.nlm.nih.gov/41516312/	human recombinant ectodomains and cell assays	EPHA4-ephrin-A5 complexes were resolved structurally, and clustered ephrin-A5 binding activates EPHA4 with cell-collapse/adhesion readouts.	EphA4 signaling is contact- and clustering-dependent; no mouse SCI-specific validation was shown.
255	M20A-LIANA-REMAINING-0094	efna5 epha5	medium	https://pubmed.ncbi.nlm.nih.gov/9560275/;https://pubmed.ncbi.nlm.nih.gov/9698392/	mouse brain and mouse neuronal assays	Ephrin-A5 inhibited neurite growth from EphA5-expressing neurons, and ephrin-A5/EphA5 manipulation altered thalamic/hippocampal neuronal responses.	The evidence is developmental/neuronal function rather than purified binding kinetics; EphA receptor agonist/antagonist constructs can engage related EphA receptors.
256	M20A-LIANA-REMAINING-0095	efna5 epha8	medium	https://pubmed.ncbi.nlm.nih.gov/20496116/;https://pubmed.ncbi.nlm.nih.gov/23242526/	mammalian EphA8-expressing cell systems	Ephrin-A5 stimulation induced EPHA8 endocytosis and Rac signaling, with the response dependent on an EPHA8 juxtamembrane region.	Cell-based signaling does not provide isolated affinity or mouse SCI evidence; ephrin-A5 can engage multiple EphA receptors.
257	M20A-LIANA-REMAINING-0096	efnb1 epha4	medium	https://pubmed.ncbi.nlm.nih.gov/19542359/;https://pubmed.ncbi.nlm.nih.gov/19836338/	mouse cortical progenitors; recombinant cross-class structural context	Mouse cortical work reports EFNB1 binding EPHA4 and initiating forward signaling; structural work independently establishes EPHA4 cross-class ephrin recognition.	This is a weaker cross-class edge than canonical EphA/ephrin-A interactions and is membrane/contact dependent.
258	M20A-LIANA-REMAINING-0097	efnb1 ephb2	high	https://pubmed.ncbi.nlm.nih.gov/11466320/;https://pubmed.ncbi.nlm.nih.gov/11585923/	mouse embryonic retina and mammalian neuronal/cell assays	EFNB1 and EPHB2 form a phosphorylated ligand-receptor complex in neural tissue/cells; clustered ephrin-B1 activates EPHB2 and causes neurite retraction.	Activation requires clustered or membrane-presented ligand; EphB2 and ephrin-B1 both signal, so directionality is bidirectional.
259	M20A-LIANA-REMAINING-0104	efnb2 ephb4	medium	https://pubmed.ncbi.nlm.nih.gov/9630219/;https://pubmed.ncbi.nlm.nih.gov/18952909/;https://pubmed.ncbi.nlm.nih.gov/42159828/	mouse embryonic vascular/endothelial systems	EFNB2 marks arterial endothelium and EPHB4 marks venous endothelium; loss of either disrupts angiogenesis and artery-vein sorting, establishing the exact developmental receptor-ligand axis.	Evidence is membrane/contact and tissue-context dependent, not a purified binding assay; Notch and other vascular pathways contribute.
260	M20A-LIANA-REMAINING-0105	efnb2 ephb6	medium	https://pubmed.ncbi.nlm.nih.gov/10648835/;https://pubmed.ncbi.nlm.nih.gov/33770085/	mammalian recombinant receptor/cell systems	Primary work identifies EFNB2 as a candidate ligand for EPHB6, and structural work resolves the EPHB6 ectodomain; the exact pair is supported at the receptor-binding level.	EPHB6 is kinase-impaired and signaling/adhesion outputs are context dependent; the ligand may be presented in clustered membrane form.
261	M20A-LIANA-REMAINING-0106	efnb3 epha4	medium	https://pubmed.ncbi.nlm.nih.gov/11182083/;https://pubmed.ncbi.nlm.nih.gov/12383247/	mouse and rat developing neural systems	EFNB3 at the spinal midline repels EPHA4-expressing corticospinal axons in mice, and ephrin-B3/EPHA4 membranes inhibit rat thalamic axon growth in vitro.	The interaction is membrane-presented and bidirectional Eph/ephrin signaling can occur; assays are developmental function rather than purified affinity.
262	M20A-LIANA-REMAINING-0109	efnb3 ephb3	high	https://pubmed.ncbi.nlm.nih.gov/9484836/;https://pubmed.ncbi.nlm.nih.gov/31149041/	mouse ephrin-B3 and EphB3 binding studies	Binding studies of murine EFNB3 against Eph receptors found a high-affinity, selective EPHB3 interaction with approximately 1 nM dissociation constant.	The biochemical result does not establish all physiological contexts or SCI relevance; later cancer papers are not the decisive evidence.
263	M20A-LIANA-REMAINING-0117	fgf1 fgfr1	high	https://pubmed.ncbi.nlm.nih.gov/8663044/;https://pubmed.ncbi.nlm.nih.gov/7520751/;https://pubmed.ncbi.nlm.nih.gov/42473145/	recombinant FGF1/FGFR1; engineered receptor-expressing cells	FGF1 activates FGFR1 splice variants, and biophysical work directly measured FGF/FGFR1 binding with heparin-enhanced complex formation.	Heparan sulfate/heparin is an important cofactor and receptor splice variant; older assays are engineered/recombinant rather than mouse SCI cells.
264	M20A-LIANA-REMAINING-0118	fgf1 fgfr4	medium	https://pubmed.ncbi.nlm.nih.gov/8663044/;https://pubmed.ncbi.nlm.nih.gov/42473145/	engineered receptor-expressing cells; full-length FGFR panel	The receptor-specificity panel showed FGF1 activation across FGFR splice variants including FGFR4; the newer full-length receptor study directly measures differential FGF binding.	Panel/receptor-splice context and heparan-sulfate dependence remain; no mouse SCI-specific assay was shown.
265	M20A-LIANA-REMAINING-0122	fgf20 fgfr1	high	https://pubmed.ncbi.nlm.nih.gov/12704805/;https://pubmed.ncbi.nlm.nih.gov/32735383/;https://pubmed.ncbi.nlm.nih.gov/42097317/	rat dopaminergic neurons and BIAcore binding; mouse cochlear explants	FGF20 bound FGFR1c with high affinity by BIAcore, activated MAPK, and had FGFR1-inhibitor-sensitive neurotrophic activity; mouse cochlear work also places FGFR1 downstream of FGF20.	The principal binding assay is FGFR1c, and heparan-sulfate/co-receptor conditions and tissue context may affect signaling; no SCI-specific experiment.
266	M20A-LIANA-REMAINING-0126	fgf3 fgfr1	high	https://pubmed.ncbi.nlm.nih.gov/7592624/;https://pubmed.ncbi.nlm.nih.gov/42542997/	mouse FGF3; BaF3 receptor-expressing cells	Purified mouse FGF3 bound FGFR1-IIIb with high affinity and activated mitogenesis in receptor-expressing cells, with heparin-modulated responses.	Support is splice-isoform and heparin dependent; no SCI-specific assay and no binding to FGFR1-IIIc was shown.
267	M20A-LIANA-REMAINING-0127	fgf3 fgfr2	high	https://pubmed.ncbi.nlm.nih.gov/7592624/;https://pubmed.ncbi.nlm.nih.gov/41828344/	mouse FGF3; BaF3 receptor-expressing cells	The same receptor competition and BaF3 assays showed high-affinity binding to FGFR2-IIIb and lower-affinity binding to FGFR2-IIIc, with matching mitogenicity.	Receptor splice form and heparin dependence are essential; cited recent papers are not the decisive assay.
268	M20A-LIANA-REMAINING-0128	fgf8 fgfr1	high	https://pubmed.ncbi.nlm.nih.gov/19648917/;https://pubmed.ncbi.nlm.nih.gov/16384934/;https://pubmed.ncbi.nlm.nih.gov/20301702/	zebrafish in-vivo binding; recombinant FGF8b-FGFR1c and chick/mouse developmental assays	In-vivo FCS quantified FGF8 binding to FGFR1, and structural/SPR work established FGF8b-FGFR1c interaction with functional developmental consequences.	FGF8 splice isoforms have different receptor affinities and signaling bias; 20301702 is a review and was not used as sole support.
269	M20A-LIANA-REMAINING-0129	fgf9 fgfr2	medium	https://pubmed.ncbi.nlm.nih.gov/8619928/;https://pubmed.ncbi.nlm.nih.gov/41485715/;https://pubmed.ncbi.nlm.nih.gov/40913526/	mouse FGF9 and soluble/receptor-expressing cell assays	Mouse FGF9 bound FGFR2 directly at lower affinity than FGFR3 in heparin-dependent assays; later primary work reports FGF9-FGFR2 signaling in cells.	FGFR2 affinity is lower than FGFR3 and requires heparin; receptor isoform and cofactor context must remain explicit.
270	M20A-LIANA-REMAINING-0130	fgf9 fgfr3	high	https://pubmed.ncbi.nlm.nih.gov/8619928/;https://pubmed.ncbi.nlm.nih.gov/41738290/;https://pubmed.ncbi.nlm.nih.gov/40450276/	mouse FGF9 and soluble/receptor-expressing cell assays	Mouse FGF9 bound FGFR3 with high affinity in heparin-dependent assays and did not bind FGFR1/4; later studies use FGF9-FGFR3 signaling in chondrocytes.	Binding is heparin dependent and the primary specificity study uses soluble/engineered receptors rather than SCI cells.
271	M20A-LIANA-REMAINING-0158	hgf met	high	https://pubmed.ncbi.nlm.nih.gov/15167892/;https://pubmed.ncbi.nlm.nih.gov/18495663/;https://pubmed.ncbi.nlm.nih.gov/42575887/	mixed recombinant human HGF/MET structural and biochemical systems	Crystal structure directly resolved the HGF beta-chain bound to the MET Sema domain, while mapping studies identified a high-affinity HGF-alpha binding site in MET IPT3/4 and linked the domains to kinase activation.	Proteolytic maturation matters: pro-HGF binds but does not activate MET, whereas mature alpha/beta HGF engages multiple MET extracellular domains; the recent retraction is not used as positive evidence.
272	M20A-LIANA-REMAINING-0160	il10 il10ra_il10rb	high	https://pubmed.ncbi.nlm.nih.gov/16982608/;https://pubmed.ncbi.nlm.nih.gov/16364239/;https://pubmed.ncbi.nlm.nih.gov/20462497/	recombinant/cellular class-II cytokine receptor systems; species-specific constructs vary	IL-10 binds IL-10R1/IL10RA first and then engages the IL-10R2/IL10RB common chain; SPR and receptor-complex studies resolve the ternary signaling complex and its assembly.	The submitted receptor is a composite IL10RA+IL10RB complex, not IL10RB alone; IL10RB is shared by other class-II cytokines and the exact stoichiometry/construct species varies by study.
