review_id	pair_key	pair_label_canonical	final_class	source_locators	species_support	support_kind	evidence_summary	limitations	search_notes
M20A-CELLCHAT-REMAINING-0011	5-ht-dopa-ddc drd1	5-HT-DOPA-DDC Drd1	non_ligand_receptor	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	none for DRD1 in cited sources	wrong_noncognate_receptor_relationship	The cited primary papers assay serotonin at HTR1A/1B/1E, HTR2A/B/C, and HTR3 receptors, not dopamine receptor D1.	DRD1 is a dopamine receptor, while DOPA/DDC are synthesis components; no cited binding, activation, or receptor-dependent function establishes 5-HT-DRD1.	Reject: submitted relationship is noncognate and unsupported as a ligand-receptor pair. Candidate citation audit verdict=reject_pair.
M20A-CELLCHAT-REMAINING-0012	5-ht-dopa-ddc drd2	5-HT-DOPA-DDC Drd2	non_ligand_receptor	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	none for DRD2 in cited sources	wrong_noncognate_receptor_relationship	The cited primary papers assay serotonin at HTR1A/1B/1E, HTR2A/B/C, and HTR3 receptors, not dopamine receptor D2.	DRD2 is a dopamine receptor, while DOPA/DDC are synthesis components; no cited binding, activation, or receptor-dependent function establishes 5-HT-DRD2.	Reject: submitted relationship is noncognate and unsupported as a ligand-receptor pair. Candidate citation audit verdict=reject_pair.
M20A-CELLCHAT-REMAINING-0013	5-ht-dopa-ddc drd3	5-HT-DOPA-DDC Drd3	non_ligand_receptor	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	none for DRD3 in cited sources	wrong_noncognate_receptor_relationship	The cited primary papers assay serotonin at HTR1A/1B/1E, HTR2A/B/C, and HTR3 receptors, not dopamine receptor D3.	DRD3 is a dopamine receptor, while DOPA/DDC are synthesis components; no cited binding, activation, or receptor-dependent function establishes 5-HT-DRD3.	Reject: submitted relationship is noncognate and unsupported as a ligand-receptor pair. Candidate citation audit verdict=reject_pair.
M20A-CELLCHAT-REMAINING-0014	5-ht-dopa-ddc drd4	5-HT-DOPA-DDC Drd4	non_ligand_receptor	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	none for DRD4 in cited sources	wrong_noncognate_receptor_relationship	The cited primary papers assay serotonin at HTR1A/1B/1E, HTR2A/B/C, and HTR3 receptors, not dopamine receptor D4.	DRD4 is a dopamine receptor, while DOPA/DDC are synthesis components; no cited binding, activation, or receptor-dependent function establishes 5-HT-DRD4.	Reject: submitted relationship is noncognate and unsupported as a ligand-receptor pair. Candidate citation audit verdict=reject_pair.
M20A-CELLCHAT-REMAINING-0015	5-ht-dopa-ddc drd5	5-HT-DOPA-DDC Drd5	non_ligand_receptor	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	none for DRD5 in cited sources	wrong_noncognate_receptor_relationship	The cited primary papers assay serotonin at HTR1A/1B/1E, HTR2A/B/C, and HTR3 receptors, not dopamine receptor D5.	DRD5 is a dopamine receptor, while DOPA/DDC are synthesis components; no cited binding, activation, or receptor-dependent function establishes 5-HT-DRD5.	Reject: submitted relationship is noncognate and unsupported as a ligand-receptor pair. Candidate citation audit verdict=reject_pair.
M20A-CELLCHAT-REMAINING-0016	5-ht-dopa-ddc htr1a	5-HT-DOPA-DDC Htr1a	low_evidence	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	rat;recombinant Ltk- and GH4C1 cells	direct_binding_and_receptor_activation_contextual	PMID 2156831 cloned rat HTR1A and showed 5-HT-displaceable binding plus agonist-dependent inhibition of cAMP in transfected cells.	DOPA and DDC are synthesis components, not the tested ligand; evidence is mature 5-HT at HTR1A and does not validate the composite source gene string.	Exact mature 5-HT-HTR1A primary evidence; retain low for contextual ligand representation. Candidate citation audit verdict=retain_low.
M20A-CELLCHAT-REMAINING-0017	5-ht-dopa-ddc htr1b	5-HT-DOPA-DDC Htr1b	low_evidence	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	human;recombinant COS-7 cells	direct_binding_contextual	PMID 1610347 expressed human HTR1B in COS-7 membranes and measured specific [3H]5-HT binding with an HTR1B-like pharmacological profile.	DOPA and DDC are synthesis components, not the tested ligand; no receptor-dependent functional assay is reported in this cited paper.	Exact mature 5-HT-HTR1B binding evidence; retain low for contextual ligand representation and binding-only assay. Candidate citation audit verdict=retain_low.
M20A-CELLCHAT-REMAINING-0018	5-ht-dopa-ddc htr1d	5-HT-DOPA-DDC Htr1d	no_evidence	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	none for HTR1D in cited sources	no_exact_receptor_support	The checked primary papers cover HTR1A, HTR1B, HTR1E, HTR2A/B/C, and HTR3A/B, not HTR1D.	DOPA/DDC are synthesis components; the cited HTR1B paper is not evidence for the related HTR1D subtype.	No exact HTR1D binding, activation, or receptor-dependent function in cited sources. Candidate citation audit verdict=no_evidence.
M20A-CELLCHAT-REMAINING-0019	5-ht-dopa-ddc htr1f	5-HT-DOPA-DDC Htr1f	no_evidence	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	none for HTR1F in cited sources	no_exact_receptor_support	The checked primary papers cover HTR1A, HTR1B, HTR1E, HTR2A/B/C, and HTR3A/B, not HTR1F.	DOPA/DDC are synthesis components; related 5-HT1 receptor papers do not establish HTR1F.	No exact HTR1F binding, activation, or receptor-dependent function in cited sources. Candidate citation audit verdict=no_evidence.
M20A-CELLCHAT-REMAINING-0020	5-ht-dopa-ddc htr2a	5-HT-DOPA-DDC Htr2a	low_evidence	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	human;recombinant CHO-K1 cells	direct_receptor_activation_contextual	PMID 10498829 expressed human HTR2A in CHO-K1 cells and showed robust concentration-dependent 5-HT-induced intracellular Ca2+ responses absent in non-transfected controls.	DOPA and DDC are synthesis components, not the tested ligand; assay is recombinant activation rather than a test of the composite source genes.	Exact mature 5-HT-HTR2A primary functional evidence; retain low for contextual ligand representation. Candidate citation audit verdict=retain_low.
M20A-CELLCHAT-REMAINING-0021	5-ht-dopa-ddc htr2b	5-HT-DOPA-DDC Htr2b	low_evidence	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	human;recombinant CHO-K1 cells	direct_receptor_activation_contextual	PMID 10498829 expressed human HTR2B in CHO-K1 cells and showed robust concentration-dependent 5-HT-induced intracellular Ca2+ responses absent in non-transfected controls.	DOPA and DDC are synthesis components, not the tested ligand; assay is recombinant activation rather than a test of the composite source genes.	Exact mature 5-HT-HTR2B primary functional evidence; retain low for contextual ligand representation. Candidate citation audit verdict=retain_low.
M20A-CELLCHAT-REMAINING-0022	5-ht-dopa-ddc htr2c	5-HT-DOPA-DDC Htr2c	low_evidence	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	human;recombinant CHO-K1 cells	direct_receptor_activation_contextual	PMID 10498829 expressed human HTR2C in CHO-K1 cells and showed robust concentration-dependent 5-HT-induced intracellular Ca2+ responses absent in non-transfected controls.	DOPA and DDC are synthesis components, not the tested ligand; assay is recombinant activation rather than a test of the composite source genes.	Exact mature 5-HT-HTR2C primary functional evidence; retain low for contextual ligand representation. Candidate citation audit verdict=retain_low.
M20A-CELLCHAT-REMAINING-0023	5-ht-dopa-ddc htr3a	5-HT-DOPA-DDC Htr3a	low_evidence	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	human and mammalian HTR3 systems;Xenopus oocytes	direct_receptor_activation_contextual	PMID 1718042 isolated a 5-HT3 clone and demonstrated serotonin-gated currents in Xenopus oocytes; PMID 10521471 showed human HTR3A responses and modulation by HTR3B coexpression.	DOPA and DDC are synthesis components, not the tested ligand; the initial 5-HT3 clone and later HTR3A chain should be distinguished from the full receptor complex.	Exact mature 5-HT-HTR3A receptor-function evidence, with chain/context qualification. Candidate citation audit verdict=retain_low.
M20A-CELLCHAT-REMAINING-0024	5-ht-dopa-ddc htr3b	5-HT-DOPA-DDC Htr3b	low_evidence	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	human HTR3A/HTR3B recombinant system	receptor_complex_modulatory_function_contextual	PMID 10521471 cloned human HTR3B and showed that coexpression with HTR3A changes 5-HT3 agonist-response kinetics, voltage dependence, and pharmacology.	HTR3B is a modulatory subunit and not a standalone 5-HT-gated receptor in this study; DOPA/DDC are synthesis components, not ligand.	Real receptor-complex function but not an isolated HTR3B receptor; retain low pending complex notation. Candidate citation audit verdict=retain_low.
M20A-CELLCHAT-REMAINING-0025	5-ht-dopa-ddc htr4	5-HT-DOPA-DDC Htr4	no_evidence	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	none for HTR4 in cited sources	no_exact_receptor_support	The cited primary papers do not assay HTR4; the only HTR4-relevant support would require a different primary citation.	DOPA/DDC are synthesis components; family-level serotonin receptor evidence cannot substitute for HTR4.	No exact HTR4 binding, activation, or receptor-dependent function in cited sources. Candidate citation audit verdict=no_evidence.
M20A-CELLCHAT-REMAINING-0026	5-ht-dopa-ddc htr5a	5-HT-DOPA-DDC Htr5a	no_evidence	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	none for HTR5A in cited sources	no_exact_receptor_support	The cited primary papers assay HTR1E, not HTR5A; the review does not supply a cited primary HTR5A assay.	DOPA/DDC are synthesis components; HTR1E family similarity is not evidence for HTR5A.	No exact HTR5A binding, activation, or receptor-dependent function in cited sources. Candidate citation audit verdict=no_evidence.
M20A-CELLCHAT-REMAINING-0027	5-ht-dopa-ddc htr6	5-HT-DOPA-DDC Htr6	no_evidence	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	none for HTR6 in cited sources	no_exact_receptor_support	The cited primary papers do not assay HTR6; the review does not replace an exact primary ligand-receptor study.	DOPA/DDC are synthesis components; serotonin-receptor family co-occurrence is not HTR6 evidence.	No exact HTR6 binding, activation, or receptor-dependent function in cited sources. Candidate citation audit verdict=no_evidence.
M20A-CELLCHAT-REMAINING-0028	5-ht-dopa-ddc htr7	5-HT-DOPA-DDC Htr7	low_evidence	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	mammalian 5-HT7 literature summarized in review; exact assay species not established here	review_only_contextual	PMID 20923682 is a review of serotonin 5-HT7 receptor agents and pharmacology and supports mature 5-HT7 biology at a contextual level.	No exact primary 5-HT7 assay is among the cited locators; DOPA/DDC are synthesis components, not ligand.	Retain low for real receptor context, but primary evidence and exact assay/species require manual follow-up. Candidate citation audit verdict=retain_low.
