review_id	pair_key	pair_label_canonical	final_class	source_locators	species_support	support_kind	evidence_summary	limitations	search_notes
M20A-EXT-0810	apln mtnr1a	Apln Mtnr1a	no_evidence	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=apln%20AND%20mtnr1a;EuropePMC:https://europepmc.org/search?query=apln%20AND%20mtnr1a;PMID:29055040 (PubMed/Europe PMC);PMID:24517644 (PubMed/Europe PMC);PMID:26650439 (PubMed/Europe PMC);PMID:34069992 (PubMed/Europe PMC)	none established for exact pair	no_exact_pair_primary_evidence	No pair-specific primary binding, activation, adhesion, or receptor-dependent function was recovered after expanded searches.	Hits, when present, were broad co-occurrence, family, pathway, expression, or database leads without exact-pair primary validation.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=16; PubMed_hits=0; composite_component_search=no Expanded search verdict=no_evidence.
M20A-EXT-0821	apob adrb2	Apob Adrb2	no_evidence	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=apob%20AND%20adrb2;EuropePMC:https://europepmc.org/search?query=apob%20AND%20adrb2;PMID:33526736 (PubMed/Europe PMC);PMID:26031147 (PubMed/Europe PMC);PMID:20930716 (PubMed/Europe PMC);PMID:28294290 (PubMed/Europe PMC)	none established for exact pair	no_exact_pair_primary_evidence	No pair-specific primary binding, activation, adhesion, or receptor-dependent function was recovered after expanded searches.	Hits, when present, were broad co-occurrence, family, pathway, expression, or database leads without exact-pair primary validation.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=255; PubMed_hits=6; composite_component_search=no Expanded search verdict=no_evidence.
M20A-EXT-0823	apob eno1	Apob Eno1	no_evidence	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=apob%20AND%20eno1;EuropePMC:https://europepmc.org/search?query=apob%20AND%20eno1;PMID:26106858 (PubMed/Europe PMC);PMID:23861904 (PubMed/Europe PMC);PMID:32336197 (PubMed/Europe PMC);PMID:26885861 (PubMed/Europe PMC)	none established for exact pair	no_exact_pair_primary_evidence	No pair-specific primary binding, activation, adhesion, or receptor-dependent function was recovered after expanded searches.	Hits, when present, were broad co-occurrence, family, pathway, expression, or database leads without exact-pair primary validation.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=212; PubMed_hits=0; composite_component_search=no Expanded search verdict=no_evidence.
M20A-EXT-0824	apob gm5506	Apob Gm5506	no_evidence	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=apob%20AND%20gm5506;EuropePMC:https://europepmc.org/search?query=apob%20AND%20gm5506	none established for exact pair	no_exact_pair_primary_evidence	No pair-specific primary binding, activation, adhesion, or receptor-dependent function was recovered after expanded searches.	Hits, when present, were broad co-occurrence, family, pathway, expression, or database leads without exact-pair primary validation.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=0; PubMed_hits=0; composite_component_search=no Expanded search verdict=no_evidence.
M20A-EXT-0833	apob mttp	Apob Mttp	non_ligand_receptor	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=apob%20AND%20mttp;EuropePMC:https://europepmc.org/search?query=apob%20AND%20mttp;PMID:34006356 (PubMed/Europe PMC);PMID:36823355 (PubMed/Europe PMC);PMID:20301317 (PubMed/Europe PMC);PMID:29552625 (PubMed/Europe PMC)	not applicable for exact pair	noncognate_or_non_ligand_receptor_relationship	Searches support a protein complex, intracellular regulator, adhesion partner, antagonist, or noncognate family relationship rather than the submitted extracellular ligand-receptor edge.	The relation may be biologically associated, but it is not the submitted ligand-receptor relationship.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=1669; PubMed_hits=163; composite_component_search=no Expanded search verdict=reject_pair.
M20A-EXT-0834	apob olr1	Apob Olr1	low_evidence	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=apob%20AND%20olr1;EuropePMC:https://europepmc.org/search?query=apob%20AND%20olr1;PMID:40740135 (PubMed/Europe PMC);PMID:35390434 (PubMed/Europe PMC);PMID:26892964 (PubMed/Europe PMC);PMID:23935243 (PubMed/Europe PMC)	mixed or unresolved; exact submitted species/pair not fully established	fragment_specific_or_complex_context_or_indirect_primary	Concrete alias-expanded co-occurrence or indirect receptor-function evidence was found, but exact pair binding/activation was not established.	Family/database/expression evidence was not treated as exact-pair proof; fragment, co-receptor, precursor, or heteromeric identity remains material.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=223; PubMed_hits=2; composite_component_search=no Expanded search verdict=hold_low.
M20A-EXT-0835	apob tlr4	Apob Tlr4	no_evidence	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=apob%20AND%20tlr4;EuropePMC:https://europepmc.org/search?query=apob%20AND%20tlr4;PMID:20920329 (PubMed/Europe PMC);PMID:42284645 (PubMed/Europe PMC);PMID:38295984 (PubMed/Europe PMC);PMID:31858317 (PubMed/Europe PMC)	none established for exact pair	no_exact_pair_primary_evidence	No pair-specific primary binding, activation, adhesion, or receptor-dependent function was recovered after expanded searches.	Hits, when present, were broad co-occurrence, family, pathway, expression, or database leads without exact-pair primary validation.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=1804; PubMed_hits=12; composite_component_search=no Expanded search verdict=no_evidence.
M20A-EXT-0836	apob tlr6	Apob Tlr6	no_evidence	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=apob%20AND%20tlr6;EuropePMC:https://europepmc.org/search?query=apob%20AND%20tlr6;PMID:20846396 (PubMed/Europe PMC);PMID:26106858 (PubMed/Europe PMC);PMID:21529710 (PubMed/Europe PMC);PMID:23995626 (PubMed/Europe PMC)	none established for exact pair	no_exact_pair_primary_evidence	No pair-specific primary binding, activation, adhesion, or receptor-dependent function was recovered after expanded searches.	Hits, when present, were broad co-occurrence, family, pathway, expression, or database leads without exact-pair primary validation.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=149; PubMed_hits=1; composite_component_search=no Expanded search verdict=no_evidence.
M20A-EXT-0845	apoe chrna4	Apoe Chrna4	no_evidence	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=apoe%20AND%20chrna4;EuropePMC:https://europepmc.org/search?query=apoe%20AND%20chrna4;PMID:27629369 (PubMed/Europe PMC);PMID:20331911 (PubMed/Europe PMC);PMID:18591481 (PubMed/Europe PMC);PMID:23701948 (PubMed/Europe PMC)	none established for exact pair	no_exact_pair_primary_evidence	No pair-specific primary binding, activation, adhesion, or receptor-dependent function was recovered after expanded searches.	Hits, when present, were broad co-occurrence, family, pathway, expression, or database leads without exact-pair primary validation.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=153; PubMed_hits=14; composite_component_search=no Expanded search verdict=no_evidence.
M20A-LIANA-REMAINING-0005	apoe lrp1	Apoe Lrp1	low_evidence	PMID:40882623 https://pubmed.ncbi.nlm.nih.gov/40882623/; PMID:39577706 https://pubmed.ncbi.nlm.nih.gov/39577706/; PMID:41315858 https://pubmed.ncbi.nlm.nih.gov/41315858/	murine model and review-level human/mouse discussion	contextual receptor-dependent_function	The cited SeNExo study describes an APOE-LRP1 interaction for exosome blood-brain-barrier penetration, while the other cited records are reviews discussing APOE and LRP1.	The tested entity is an APOE-bearing exosome rather than purified APOE; no cited source provides a direct purified APOE-LRP1 binding assay or defined complex stoichiometry.	Pair is biologically plausible but the submitted direct-primary claim is overstated; retain as contextual. Candidate audit verdict=retain_low.
M20A-EXT-0858	apoo il1rapl2	Apoo Il1rapl2	no_evidence	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=apoo%20AND%20il1rapl2;EuropePMC:https://europepmc.org/search?query=apoo%20AND%20il1rapl2;PMID:39265576 (PubMed/Europe PMC);PMID:38254386 (PubMed/Europe PMC)	none established for exact pair	no_exact_pair_primary_evidence	No pair-specific primary binding, activation, adhesion, or receptor-dependent function was recovered after expanded searches.	Hits, when present, were broad co-occurrence, family, pathway, expression, or database leads without exact-pair primary validation.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=2; PubMed_hits=0; composite_component_search=no Expanded search verdict=no_evidence.
M20A-EXT-0859	app adra2a	App Adra2a	no_evidence	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=app%20AND%20adra2a;EuropePMC:https://europepmc.org/search?query=app%20AND%20adra2a;PMID:38767632 (PubMed/Europe PMC);PMID:29195078 (PubMed/Europe PMC);PMID:35017199 (PubMed/Europe PMC);PMID:16481219 (PubMed/Europe PMC)	none established for exact pair	no_exact_pair_primary_evidence	No pair-specific primary binding, activation, adhesion, or receptor-dependent function was recovered after expanded searches.	Hits, when present, were broad co-occurrence, family, pathway, expression, or database leads without exact-pair primary validation.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=194; PubMed_hits=1; composite_component_search=no Expanded search verdict=no_evidence.
M20A-EXT-0860	app ager	App Ager	low_evidence	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=app%20AND%20ager;EuropePMC:https://europepmc.org/search?query=app%20AND%20ager;PMID:32872134 (PubMed/Europe PMC);PMID:36782138 (PubMed/Europe PMC);PMID:30108454 (PubMed/Europe PMC);PMID:42255438 (PubMed/Europe PMC)	mixed or unresolved; exact submitted species/pair not fully established	fragment_specific_or_complex_context_or_indirect_primary	Processed APP product Aβ has RAGE/LRP1 literature, but this does not establish full-length APP as the submitted ligand.	Family/database/expression evidence was not treated as exact-pair proof; fragment, co-receptor, precursor, or heteromeric identity remains material.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=2259; PubMed_hits=4; composite_component_search=no Expanded search verdict=hold_low.
M20A-EXT-0861	app aplp1	App Aplp1	non_ligand_receptor	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=app%20AND%20aplp1;EuropePMC:https://europepmc.org/search?query=app%20AND%20aplp1;PMID:26801522 (PubMed/Europe PMC);PMID:26840089 (PubMed/Europe PMC);PMID:17050537 (PubMed/Europe PMC);PMID:41324805 (PubMed/Europe PMC)	not applicable for exact pair	noncognate_or_non_ligand_receptor_relationship	Searches support a protein complex, intracellular regulator, adhesion partner, antagonist, or noncognate family relationship rather than the submitted extracellular ligand-receptor edge.	The relation may be biologically associated, but it is not the submitted ligand-receptor relationship.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=1069; PubMed_hits=153; composite_component_search=no Expanded search verdict=reject_pair.
M20A-EXT-0862	app aplp2	App Aplp2	non_ligand_receptor	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=app%20AND%20aplp2;EuropePMC:https://europepmc.org/search?query=app%20AND%20aplp2;PMID:26840089 (PubMed/Europe PMC);PMID:34066808 (PubMed/Europe PMC);PMID:17908044 (PubMed/Europe PMC);PMID:24898256 (PubMed/Europe PMC)	not applicable for exact pair	noncognate_or_non_ligand_receptor_relationship	Searches support a protein complex, intracellular regulator, adhesion partner, antagonist, or noncognate family relationship rather than the submitted extracellular ligand-receptor edge.	The relation may be biologically associated, but it is not the submitted ligand-receptor relationship.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=1277; PubMed_hits=217; composite_component_search=no Expanded search verdict=reject_pair.
M20A-EXT-0863	app cd74	App Cd74	no_evidence	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=app%20AND%20cd74;EuropePMC:https://europepmc.org/search?query=app%20AND%20cd74;PMID:39351084 (PubMed/Europe PMC);PMID:36333281 (PubMed/Europe PMC);PMID:40548932 (PubMed/Europe PMC);PMID:38319150 (PubMed/Europe PMC)	none established for exact pair	no_exact_pair_primary_evidence	No pair-specific primary binding, activation, adhesion, or receptor-dependent function was recovered after expanded searches.	Hits, when present, were broad co-occurrence, family, pathway, expression, or database leads without exact-pair primary validation.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=1445; PubMed_hits=71; composite_component_search=no Expanded search verdict=no_evidence.
M20A-EXT-0864	app dcc	App Dcc	no_evidence	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=app%20AND%20dcc;EuropePMC:https://europepmc.org/search?query=app%20AND%20dcc;PMID:35491409 (PubMed/Europe PMC);PMID:22782894 (PubMed/Europe PMC);PMID:12840034 (PubMed/Europe PMC);PMID:35246267 (PubMed/Europe PMC)	none established for exact pair	no_exact_pair_primary_evidence	No pair-specific primary binding, activation, adhesion, or receptor-dependent function was recovered after expanded searches.	Hits, when present, were broad co-occurrence, family, pathway, expression, or database leads without exact-pair primary validation.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=1029; PubMed_hits=13; composite_component_search=no Expanded search verdict=no_evidence.
M20A-EXT-0865	app fpr2	App Fpr2	no_evidence	PubMed:https://pubmed.ncbi.nlm.nih.gov/?term=app%20AND%20fpr2;EuropePMC:https://europepmc.org/search?query=app%20AND%20fpr2;PMID:33315264 (PubMed/Europe PMC);PMID:24263098 (PubMed/Europe PMC);PMID:34468933 (PubMed/Europe PMC);PMID:40077816 (PubMed/Europe PMC)	none established for exact pair	no_exact_pair_primary_evidence	No pair-specific primary binding, activation, adhesion, or receptor-dependent function was recovered after expanded searches.	Hits, when present, were broad co-occurrence, family, pathway, expression, or database leads without exact-pair primary validation.	PubMed and Europe PMC searched; exact symbols plus official/historical aliases and protein names; mature/processed/cleaved ligand forms; receptor subunits, heterodimers, holoreceptors, and co-receptors; structure, binding, activation, adhesion, receptor-dependent function, and citation-trail leads screened; family/database/expression/pathway evidence not transferred to exact pair; EuropePMC_hits=274; PubMed_hits=8; composite_component_search=no Expanded search verdict=no_evidence.
