ordinal	review_id	pair_key	verdict	source_locators	species_support	assay_or_result	limitations
17	M20A-CELLCHAT-REMAINING-0227	btc egfr	medium	https://pubmed.ncbi.nlm.nih.gov/8570211/	human;Ba/F3 receptor-transfectant systems	Betacellulin stimulates EGFR tyrosine phosphorylation in cells expressing EGFR, with receptor-selective assays distinguishing EGFR from other ErbB receptors.	Cellular activation is the primary readout; binding affinity is not the main assay in this citation.
18	M20A-CELLCHAT-REMAINING-0228	btc erbb4	medium	https://pubmed.ncbi.nlm.nih.gov/8570211/	human;Ba/F3 receptor-transfectant systems	Betacellulin stimulates ErbB4 tyrosine phosphorylation in cells expressing ErbB4, establishing receptor-specific activation.	Cellular activation is the primary readout; ErbB receptor expression system determines response magnitude.
19	M20A-CELLCHAT-REMAINING-0229	cadm1 cadm1	medium	https://pmc.ncbi.nlm.nih.gov/articles/PMC3400039/	human mast cells	CADM1 isoforms mediate homotypic adhesion and mast-cell survival phenotypes in cell adhesion assays.	Isoform-specific extracellular domains and cell context affect adhesion strength.
20	M20A-CELLCHAT-REMAINING-0231	cadm3 cadm3	medium	https://rupress.org/jcb/article/222/6/e202204098/214005	human;mouse retina/neuroepithelial systems	The study tests homophilic CADM3/Cadm3 interaction and shows its role in retina neuroepithelial cell adhesion/proliferation.	Tissue-specific isoform and junctional context may affect the phenotype.
21	M20A-CELLCHAT-REMAINING-0238	calca calcrl_ramp1	high	https://pubmed.ncbi.nlm.nih.gov/19913063/;https://pmc.ncbi.nlm.nih.gov/articles/PMC4187032/	human;mouse;recombinant CLR-RAMP1 systems	CGRP from CALCA requires the CLR/CALCRL-RAMP1 complex; receptor mutagenesis, binding, cAMP and internalization assays map the interaction.	The mature alpha-CGRP peptide, not the CALCA precursor, is the tested ligand; RAMP1 is required for receptor specificity.
22	M20A-CELLCHAT-REMAINING-0248	ccl19 ccr7	high	https://pubmed.ncbi.nlm.nih.gov/35156805/;https://pubmed.ncbi.nlm.nih.gov/35563750/	human;recombinant CCR7 systems	CCL19 binds CCR7-derived receptor material and stimulates CCR7-dependent G-protein activation/binding and uptake assays.	Peptide/receptor-fragment and receptor-variant systems do not reproduce all native-cell context.
23	M20A-CELLCHAT-REMAINING-0249	ccl21 ccr7	high	https://pubmed.ncbi.nlm.nih.gov/34586443/;https://pubmed.ncbi.nlm.nih.gov/32182428/	human;recombinant CCR7 systems	CCL21 receptor N-terminal interactions, BRET and calcium-mobilization assays establish CCR7 engagement and activation.	CCL21 C-terminal processing/tail length strongly affects activity.
24	M20A-CELLCHAT-REMAINING-0254	ccl26 ccr3	medium	https://pubmed.ncbi.nlm.nih.gov/20974991/;https://pubmed.ncbi.nlm.nih.gov/12884299/	human;CCR3-transfected cells	CCL26/eotaxin-3 is tested as a functional CCR3 ligand in transfectant and chemotaxis/signaling assays.	CCL26 also has reported antagonist/agonist actions at other receptors, but CCR3 activity is directly shown.
25	M20A-CELLCHAT-REMAINING-0257	ccl3 ccr5	medium	https://pmc.ncbi.nlm.nih.gov/articles/PMC3037610/	human;CCR5-expressing HEK293T cells	Radiolabeled CCL3/MIP-1alpha binding to CCR5-expressing cells is measured by saturation/competition assays.	The cited paper focuses on antagonist inhibition, but the ligand-receptor binding assay is direct.
26	M20A-CELLCHAT-REMAINING-0258	ccl5 ackr1	medium	https://pubmed.ncbi.nlm.nih.gov/14712331/;https://pubmed.ncbi.nlm.nih.gov/13679391/	human;nonhuman primate;mouse;erythrocytes/endothelium	CCL5/RANTES binding to DARC/ACKR1 is shown by radioligand/competitive binding across species and DARC-expressing tissues.	ACKR1 is atypical and generally does not signal through canonical G proteins; binding/scavenging is the relevant function.
27	M20A-CELLCHAT-REMAINING-0264	ccl7 ackr1	medium	https://pubmed.ncbi.nlm.nih.gov/39089252/;https://pubmed.ncbi.nlm.nih.gov/13679391/	human;mouse;DARC/ACKR1 systems	CCL7 binding to purified DARC/ACKR1 is resolved structurally, and competitive binding identifies CCL7 as a DARC ligand.	ACKR1 is atypical and lacks canonical G-protein signaling; binding/scavenging is the relevant function.
28	M20A-CELLCHAT-REMAINING-0265	ccl7 ccr1	medium	https://pubmed.ncbi.nlm.nih.gov/30567735/	human;recombinant CCR1 peptide/receptor systems	CCL7 is tested in CCR1 binding and activation models using receptor N-terminal interactions and functional pharmacology.	CCL7 is a partial/context-dependent CCR1 agonist in some systems.
29	M20A-CELLCHAT-REMAINING-0267	ccl7 ccr2	medium	https://pubmed.ncbi.nlm.nih.gov/24890717/;https://pubmed.ncbi.nlm.nih.gov/28536301/	human;mouse;CCR2-expressing leukocytes/recombinant systems	CCL7/MCP-3 is tested in CCR2 ligand-uptake/competition and selective-binding/activation studies.	CCR2 engagement is partial and sensitive to chemokine processing, glycosaminoglycans and cell context.
30	M20A-CELLCHAT-REMAINING-0268	ccl7 ccr3	medium	https://pmc.ncbi.nlm.nih.gov/articles/PMC12556802/	human;CCR3-expressing L1.2 cells	Competition binding using C-terminally tagged CCL7 in CCR3-expressing cells tests direct receptor binding.	The cited study emphasizes receptor selectivity and binding; downstream activation may be ligand-construct dependent.
31	M20A-CELLCHAT-REMAINING-0271	ccl8 ccr1	medium	https://pubmed.ncbi.nlm.nih.gov/9115216/;https://pubmed.ncbi.nlm.nih.gov/30567735/;https://pubmed.ncbi.nlm.nih.gov/31096719/	human;CCR1-transfected cells/recombinant systems	MCP-2/CCL8 binds CCR1-transfected cells and induces migration; subsequent CCR1 binding and biased-agonism assays test CCL8 directly.	N-terminal processing and biased signaling vary by assay and ligand preparation.
32	M20A-CELLCHAT-REMAINING-0273	ccl8 ccr2	medium	https://pubmed.ncbi.nlm.nih.gov/9115216/;https://pubmed.ncbi.nlm.nih.gov/11966759/;https://pubmed.ncbi.nlm.nih.gov/28536301/	human;CCR2B-transfected HEK293 cells	Radioiodinated MCP-2/CCL8 binds CCR2B-transfected cells and induces migration; CCR2 signaling studies also test MCP-2 activation.	CCL8 is a partial/context-dependent CCR2 agonist and processing/GAG presentation can alter activity.
33	M20A-CELLCHAT-REMAINING-0274	ccl8 ccr5	medium	https://pmc.ncbi.nlm.nih.gov/articles/PMC4938322/;https://pmc.ncbi.nlm.nih.gov/articles/PMC3572057/	human;mouse;CCR5-expressing cells	CCL8/MCP-2 is tested as a CCR5 ligand/agonist in binding, migration and tumor-model receptor-dependence studies.	CCR5 is promiscuous and the functional phenotype is cell-context dependent.
34	M20A-CELLCHAT-REMAINING-0275	ccl9 ccr1	medium	https://pubmed.ncbi.nlm.nih.gov/15905581/	mouse and human CCR1 assay systems	CCL9/MIP-1gamma is an alternative CCR1 ligand; primary assays showed CCR1 agonism, chemotaxis, and enhanced activity after N-terminal processing.	Mature versus truncated CCL9 activity differs; source is ligand-processing and inflammation context.
35	M20A-CELLCHAT-REMAINING-0277	cd160 tnfrsf14	medium	https://www.nature.com/articles/ni1554	human	HVEM/TNFRSF14 bound CD160 and HVEM-transfected cells inhibited CD4 T-cell activation in a CD160-dependent manner.	HVEM can also engage BTLA; assay used human cells and receptor mutants.
36	M20A-CELLCHAT-REMAINING-0278	cd1d1 ceacam5	medium	https://pmc.ncbi.nlm.nih.gov/articles/PMC3981948/	human	CEACAM5 was shown to interact specifically with CD1d through its B3 domain in biochemical and cell-based assays.	Interaction is domain- and glycoprotein-context dependent; source focuses intestinal homeostasis.
37	M20A-CELLCHAT-REMAINING-0285	cd48 cd244a	high	https://pubmed.ncbi.nlm.nih.gov/17950006/	mouse	The 2B4/CD244 receptor was structurally and biophysically characterized bound to CD48, including SPR measurements.	Mouse receptor-ligand system; signaling outcome depends on cellular context.
38	M20A-CELLCHAT-REMAINING-0287	cd55 adgre5	medium	https://pubmed.ncbi.nlm.nih.gov/9064337/	human	CD97/ADGRE5-transfected COS cells adhered specifically to CD55-positive cells; CD55-deficient erythrocytes failed to adhere and anti-CD55 blocked adhesion.	Original assay is cell adhesion and does not define all ADGRE5 splice isoforms.
39	M20A-CELLCHAT-REMAINING-0289	cd6 alcam	medium	https://pmc.ncbi.nlm.nih.gov/articles/PMC2192054/	human	ALCAM-Fc bound CD6-transfected COS cells, establishing ALCAM as a direct CD6 ligand in cell-binding assays.	Species and construct context are human ALCAM/CD6 transfectants.
40	M20A-CELLCHAT-REMAINING-0290	cd80 cd274	high	https://pubmed.ncbi.nlm.nih.gov/29871885/	human	PD-L1/CD274 bound B7-1/CD80 only in cis on the same cell surface, supported by cell, ELISA, flow, and NanoBiT assays.	This is cis binding; it does not establish a conventional trans-ligand interaction.
41	M20A-CELLCHAT-REMAINING-0291	cd8a ceacam5	medium	https://pmc.ncbi.nlm.nih.gov/articles/PMC3981948/	human	CEACAM5 bound CD8alpha and activated the CD8-associated Lck pathway in the cited primary study.	The result is glycoprotein/domain dependent and uses human intestinal models.
42	M20A-CELLCHAT-REMAINING-0292	cd96 pvr	medium	https://pubmed.ncbi.nlm.nih.gov/15034010/	human	CD96 promoted NK-cell target adhesion through interaction with poliovirus receptor/PVR/CD155 and supported cytotoxic function.	Cellular adhesion and cytotoxicity assays do not define all affinity or isoform details.
43	M20A-CELLCHAT-REMAINING-0293	cd99 cd99	medium	https://pmc.ncbi.nlm.nih.gov/articles/PMC4438993/	mouse	Murine CD99 transfectants underwent calcium-dependent homophilic aggregation that was blocked by anti-CD99.	Homophilic aggregation is species and glycoform dependent.
44	M20A-CELLCHAT-REMAINING-0294	cd99 pilra	medium	https://pubmed.ncbi.nlm.nih.gov/18209065/	mouse	PILRalpha/PILRA recognition of mouse CD99 required sialylated O-linked glycans and was tested as a specific receptor-ligand interaction.	Recognition depends on CD99 glycosylation and mouse species.
45	M20A-CELLCHAT-REMAINING-0297	cdh1 cdh1	high	https://pmc.ncbi.nlm.nih.gov/articles/PMC4210030/	mouse	Purified E-cadherin ectodomains showed direct homophilic adhesive binding in AUC and SPR assays.	Cadherin ectodomain and calcium conditions are required.
46	M20A-CELLCHAT-REMAINING-0299	cdh15 cdh15	high	https://pmc.ncbi.nlm.nih.gov/articles/PMC4210030/	mouse	Purified M-cadherin ectodomains showed direct homophilic binding in biophysical assays.	Cadherin ectodomain and calcium conditions are required.
47	M20A-CELLCHAT-REMAINING-0300	cdh2 cdh2	high	https://pmc.ncbi.nlm.nih.gov/articles/PMC4210030/	mouse	Purified N-cadherin ectodomains showed direct homophilic binding in AUC and SPR assays.	Cadherin ectodomain and calcium conditions are required.
48	M20A-CELLCHAT-REMAINING-0301	cdh3 cdh3	high	https://pmc.ncbi.nlm.nih.gov/articles/PMC4210030/	mouse	Purified P-cadherin ectodomains showed direct homophilic binding in AUC and SPR assays.	Cadherin ectodomain and calcium conditions are required.
49	M20A-CELLCHAT-REMAINING-0302	cdh4 cdh4	high	https://pmc.ncbi.nlm.nih.gov/articles/PMC4210030/	mouse	Purified R-cadherin ectodomains showed direct homophilic binding in AUC and SPR assays.	Cadherin ectodomain and calcium conditions are required.
50	M20A-CELLCHAT-REMAINING-0303	cdh5 cdh5	medium	https://pubmed.ncbi.nlm.nih.gov/12507476/	human	VE-cadherin/CDH5 ectodomains formed calcium-dependent homophilic associations in solid-phase and cross-linking assays.	The study uses soluble ectodomain constructs rather than a complete endothelial junction.
51	M20A-CELLCHAT-REMAINING-0311	ceacam1 ceacam1	high	https://doi.org/10.1182/blood.V98.5.1469	human	The CEACAM1 N-terminal domain was structurally and mutationally analyzed as the homophilic adhesion interface.	CEACAM1 splice isoforms and cis/trans orientation affect the interaction.
52	M20A-CELLCHAT-REMAINING-0326	cga_tshb tshr	high	https://pubmed.ncbi.nlm.nih.gov/35940204/	human	Structural and functional assays tested mature TSH, the CGA/TSHB heterodimer, bound to and activating TSHR.	The ligand is a mature heterodimer; CGA and TSHB should not be interpreted as independent ligands.
53	M20A-CELLCHAT-REMAINING-0338	clec2d klrb1	high	https://pmc.ncbi.nlm.nih.gov/articles/PMC2577150/	human	CLEC2D/LLT1 is a ligand for KLRB1/NKR-P1A; engagement inhibited NK-cell cytotoxicity and cytokine production in functional assays.	The primary functional system is human and isoform-specific LLT1 is the active CLEC2D product.
54	M20A-CELLCHAT-REMAINING-0369	cntn2 cntn2	high	https://pmc.ncbi.nlm.nih.gov/articles/PMC11455609/	human and conserved neural CAM systems	Biophysical, structural, and cell-based assays delineated CNTN2 homodimerization and homophilic adhesion.	The newer primary study includes construct/domain and membrane-anchoring constraints.
55	M20A-CELLCHAT-REMAINING-0372	col3a1 adgrg1	high	https://pmc.ncbi.nlm.nih.gov/articles/PMC3251603/;https://pmc.ncbi.nlm.nih.gov/articles/PMC3150909/	mouse	GPR56/ADGRG1 N-terminal protein bound collagen III/Col3a1 in brain binding assays, and collagen III activated GPR56-dependent RhoA signaling.	The receptor is an adhesion GPCR with N-terminal and C-terminal fragments; signaling depends on processing and cell context.
56	M20A-CELLCHAT-REMAINING-0381	csf1 csf1r	high	https://pubmed.ncbi.nlm.nih.gov/22153499/	human and mouse	Purified CSF1 and CSF1R formed defined extracellular complexes with measured stoichiometry and species cross-reactivity.	Complex stoichiometry and species compatibility vary between orthologs.
57	M20A-CELLCHAT-REMAINING-0382	ctf1 lifr_il6st	medium	https://pubmed.ncbi.nlm.nih.gov/7738033/;https://pubmed.ncbi.nlm.nih.gov/9030543/	human	Cardiotrophin-1 bound LIFR and signaled through the LIFR-gp130/IL6ST receptor complex in binding and competition assays.	CNTFRalpha is not represented in the submitted receptor notation and may be context dependent for CT-1 signaling.
58	M20A-CELLCHAT-REMAINING-0386	ctsg f2rl3	medium	https://pubmed.ncbi.nlm.nih.gov/30560697/;https://pubmed.ncbi.nlm.nih.gov/41370205/	human platelets	Cathepsin G cleaved and activated PAR4/F2RL3, with biased signaling characterized in human platelet/receptor systems.	Protease cleavage site and signaling bias depend on receptor species and assay context.
59	M20A-CELLCHAT-REMAINING-0387	ctsg fpr1	medium	https://pubmed.ncbi.nlm.nih.gov/15210802/	human neutrophil receptor systems	Cathepsin G was identified as a chemotactic agonist for FPR1 in receptor-dependent functional assays.	Protease preparation and receptor activation can be sensitive to cleavage and concentration conditions.
60	M20A-CELLCHAT-REMAINING-0392	cxcl11 ackr3	medium	https://pubmed.ncbi.nlm.nih.gov/31506383/	human	CXCL11 bound ACKR3/CXCR7 and elicited receptor-dependent beta-arrestin/scavenging behavior in the cited primary work.	ACKR3 is atypical and does not signal like a canonical G-protein chemokine receptor.
61	M20A-CELLCHAT-REMAINING-0393	cxcl11 cxcr3	high	https://pubmed.ncbi.nlm.nih.gov/16847335/	human	Primary CXCR3 ligand studies tested CXCL11 in receptor binding and receptor-dependent signaling/chemotaxis assays.	Chemokine processing and assay cell background can affect potency.
62	M20A-CELLCHAT-REMAINING-0401	cxcl9 cxcr3	high	https://pubmed.ncbi.nlm.nih.gov/16847335/	human	Primary CXCR3 ligand studies tested CXCL9 in receptor binding and receptor-dependent signaling/chemotaxis assays.	Chemokine processing and assay cell background can affect potency.
63	M20A-CELLCHAT-REMAINING-0435	dsc1 dsg1c	high	https://pmc.ncbi.nlm.nih.gov/articles/PMC4932976/;https://pubmed.ncbi.nlm.nih.gov/9214392/	human recombinant desmosomal ectodomains	SPR, analytical ultracentrifugation, and bead aggregation assays showed adhesive Dsc1-Dsg1 interactions.	Dsg1c notation is mapped to the Dsg1 ectodomain/chain used in the cited human study.
64	M20A-CELLCHAT-REMAINING-0436	dsc1 dsg2	high	https://pmc.ncbi.nlm.nih.gov/articles/PMC4932976/;https://pubmed.ncbi.nlm.nih.gov/9214392/	human recombinant desmosomal ectodomains	SPR, analytical ultracentrifugation, and bead aggregation assays showed adhesive Dsc1-Dsg2 interactions.	Results use recombinant ectodomains and calcium-dependent desmosomal assay conditions.
65	M20A-CELLCHAT-REMAINING-0437	dsc2 dsg1c	high	https://pmc.ncbi.nlm.nih.gov/articles/PMC4932976/;https://pubmed.ncbi.nlm.nih.gov/9214392/	human recombinant desmosomal ectodomains	The primary structural/biophysical study found adhesive Dsc2-Dsg1 interactions among the tested desmosomal cadherins.	Dsg1c notation is mapped to the Dsg1 ectodomain/chain used in the cited human study.
66	M20A-CELLCHAT-REMAINING-0438	dsc2 dsg2	high	https://pmc.ncbi.nlm.nih.gov/articles/PMC4932976/;https://pubmed.ncbi.nlm.nih.gov/9214392/	human recombinant desmosomal ectodomains	The primary structural/biophysical study found adhesive Dsc2-Dsg2 interactions among the tested desmosomal cadherins.	Results use recombinant ectodomains and calcium-dependent desmosomal assay conditions.
67	M20A-CELLCHAT-REMAINING-0439	dsg1c dsc3	high	https://pmc.ncbi.nlm.nih.gov/articles/PMC4932976/;https://pubmed.ncbi.nlm.nih.gov/9214392/	human recombinant desmosomal ectodomains	The primary structural/biophysical study found adhesive Dsg1-Dsc3 interactions among the tested desmosomal cadherins.	Dsg1c notation is mapped to the Dsg1 ectodomain/chain used in the cited human study.
68	M20A-CELLCHAT-REMAINING-0449	eda edar	high	https://pubmed.ncbi.nlm.nih.gov/21730053/;https://pubmed.ncbi.nlm.nih.gov/24391090/	human;mouse;dog;chicken;recombinant mammalian/avian receptor systems	EDA1/EDA-A1 receptor-binding-site assays and EDAR reporter/rescue studies support the EDA-EDAR relationship.	EDA alternative splicing is essential: EDA1 signals through EDAR whereas EDA2 preferentially targets XEDAR; species and agonist-antibody assays differ.
69	M20A-CELLCHAT-REMAINING-0450	egf egfr	high	https://pubmed.ncbi.nlm.nih.gov/28988771/	human;recombinant EGFR systems	The structural study directly compares EGF-bound EGFR dimers and shows ligand-dependent EGFR dimer stabilization and signaling kinetics.	EGFR dimer composition and ligand presentation affect stability and downstream kinetics.
70	M20A-CELLCHAT-REMAINING-0452	ereg egfr	high	https://pubmed.ncbi.nlm.nih.gov/14572630/;https://pubmed.ncbi.nlm.nih.gov/28988771/	human;recombinant ErbB systems	Epiregulin is directly identified as a ligand for ErbB1/EGFR and is structurally shown to stabilize EGFR dimers.	Epiregulin is released from a membrane precursor and produces ligand-specific dimer stability and partial-agonist behavior.
71	M20A-CELLCHAT-REMAINING-0453	ereg erbb4	medium	https://pubmed.ncbi.nlm.nih.gov/14572630/	human;recombinant ErbB4 systems	The primary epiregulin study explicitly identifies ErbB4/ErbB-4 as an EREG receptor and discusses receptor-binding affinity.	ErbB4 signaling can occur in heterodimers and epiregulin processing/presentation affects activity.
72	M20A-CELLCHAT-REMAINING-0454	esam esam	medium	https://pubmed.ncbi.nlm.nih.gov/11279107/	human;mouse;ESAM-expressing CHO cells	ESAM-expressing cells aggregate in a direct cell-adhesion assay through homophilic ESAM interactions.	This is a membrane adhesion pair rather than a soluble signaling ligand-receptor interaction.
73	M20A-CELLCHAT-REMAINING-0455	f11r f11r	medium	https://pubmed.ncbi.nlm.nih.gov/40132981/	human;mouse	Surface-bound and soluble F11R/JAM-A homophilic interactions were tested in platelet adhesion, thrombus, blocking-antibody, and mouse thrombosis assays.	JAM-A also has cis-dimerization and PDZ-scaffold functions; the submitted edge is homophilic, not heterophilic JAM adhesion.
74	M20A-CELLCHAT-REMAINING-0720	gcg gcgr	high	https://pubmed.ncbi.nlm.nih.gov/29300013/;https://pubmed.ncbi.nlm.nih.gov/35140883/	human;recombinant human GCGR systems	Structural and mechanistic studies resolve glucagon/GCGR engagement and glucagon-dependent activation of the human glucagon receptor.	The 29300013 structure uses a glucagon analogue/partial agonist, while native glucagon receptor activity is established in the primary literature.
