batch_id	queue_start	queue_end	candidate_count	priority_counts	review_status	write_scope
M23A-B042	M23A-Q1117	M23A-Q1117	1	P1=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B043	M23A-Q1118	M23A-Q1118	1	P1=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B044	M23A-Q1119	M23A-Q1119	1	P1=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B045	M23A-Q1120	M23A-Q1120	1	P1=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B046	M23A-Q1121	M23A-Q1121	1	P1=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B047	M23A-Q1122	M23A-Q1122	1	P1=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B048	M23A-Q1123	M23A-Q1123	1	P1=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B049	M23A-Q1124	M23A-Q1124	1	P1=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B050	M23A-Q1125	M23A-Q1125	1	P1=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B051	M23A-Q1126	M23A-Q1126	1	P1=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B052	M23A-Q1127	M23A-Q1127	1	P1=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B053	M23A-Q1128	M23A-Q1128	1	P1=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B054	M23A-Q1129	M23A-Q1129	1	P1=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B055	M23A-Q1130	M23A-Q1130	1	P1=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B056	M23A-Q1131	M23A-Q1131	1	P1=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B057	M23A-Q1132	M23A-Q1132	1	P1=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B058	M23A-Q1133	M23A-Q1133	1	P1=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B059	M23A-Q1134	M23A-Q1134	1	P2=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B060	M23A-Q1135	M23A-Q1135	1	P2=1	review_led_primary_review	23A queue/audit files only; no canonical DB writes
M23A-B061	M23A-Q1136	M23A-Q1136	1	P1=1	review_led_primary_review	23A/23B local registers, evidence, and lineage only; no canonical DB writes
M23A-B062	M23A-Q1137	M23A-Q1137	1	P2=1	review_led_primary_review	23A/23B local registers, evidence, and lineage only; no canonical DB writes
M23A-B063	M23A-Q1138	M23A-Q1138	1	P2=1	review_led_primary_review	23A/23B local registers, evidence, and lineage only; no canonical DB writes
M23A-B064	M23A-Q1139	M23A-Q1139	1	P2=1	review_led_primary_review	23A/23B local registers, evidence, and lineage only; no canonical DB writes
M23A-B065	M23A-Q1140	M23A-Q1140	1	P2=1	review_led_primary_review	23A/23B local registers, evidence, and lineage only; no canonical DB writes
M23A-B066	M23A-Q1141	M23A-Q1141	1	P2=1	review_led_primary_review	23A/23B local registers, evidence, and lineage only; no canonical DB writes
M23A-B067	M23A-Q1142	M23A-Q1142	1	P2=1	review_led_primary_review	23A/23B local registers, evidence, and lineage only; no canonical DB writes
M23A-B068	M23A-Q1143	M23A-Q1143	1	P1=1	review_led_primary_review	23A/23B local registers, evidence, and lineage only; no canonical DB writes
M23A-B069	M23A-Q1144	M23A-Q1144	1	P2=1	review_led_primary_review	23A/23B local registers, evidence, and lineage only; no canonical DB writes
M23A-B070	M23A-Q1145	M23A-Q1145	2	P2=2	review_led_primary_review	23A/23B local registers, evidence, and lineage only; no canonical DB writes
M23A-B071	M23A-Q1146	M23A-Q1146	1	P2=1	review_led_primary_review	23A/23B local registers, evidence, and lineage only; no canonical DB writes
M23A-B072	M23A-Q1147	M23A-Q1147	1	P2=1	review_led_primary_review	23A/23B local registers, evidence, and lineage only; no canonical DB writes
M23A-B073	M23A-Q1148	M23A-Q1148	1	P2=1	review_led_primary_review	23A/23B local registers, evidence, and lineage only; no canonical DB writes
M23A-B074	M23A-Q1149	M23A-Q1149	1	P2=1	review_led_primary_review	23A/23B local registers, evidence, and lineage only; no canonical DB writes
M23A-B075	M23A-Q1150	M23A-Q1150	3	P2=3	review_led_primary_review	23A/23B local registers, evidence, and lineage only; no canonical DB writes
M23A-B076	M23A-Q1151	M23A-Q1151	2	P2=2	review_led_primary_review	23A/23B local registers, evidence, and lineage only; no canonical DB writes
M23A-B077	M23A-Q1152	M23A-Q1152	2	P1=2	review_led_primary_review	23A/23B local registers, evidence, and lineage only; no canonical DB writes
M23A-B078	M23A-Q1153	M23A-Q1153	4	P1=4	review_led_primary_review	23A/23B local registers, evidence, and lineage only; no canonical DB writes
M23A-B079	M23A-Q1154	M23A-Q1154	2	P1=2	review_led_primary_review	23A/23B local registers, evidence, and lineage only; no canonical DB writes
M23A-B080	M23A-Q1155	M23A-Q1155	1	P1=1	review_led_primary_review	23A/23B local registers, evidence, and lineage only; no canonical DB writes
M23A-B081	M23A-Q1156	M23A-Q1156	3	P2=3	review_led_primary_review	23A/23B local registers, evidence, and lineage only; no canonical DB writes
M23A-B082	M23A-Q1157	M23A-Q1157	3	P1=3	review_led_primary_review	23A/23B local registers, evidence, and lineage only; no canonical DB writes
M23A-B083	M23A-Q1158	M23A-Q1158	7	P1=7	review_led_primary_review	23A/23B local registers, evidence, and lineage only; no canonical DB writes
M23A-B084	M23A-Q1159	M23A-Q1159	2	P1=2	review_led_primary_review	23A/23B local registers, evidence, and lineage only; no canonical DB writes
M23A-B085	M23A-Q1160	M23A-Q1160	3	P1=3	review_led_primary_review	23A/23B local registers, evidence, and lineage only; no canonical DB writes
