edge_id	source_entity	relation_type	target_entity	pathway_name	effect_polarity	directionality	upstream_feature_context	receptor_or_adhesion_context	cell_type_context	compartment_context	species_context	injury_context	evidence_layer	evidence_status	context_scope	confidence_tier	export_priority	curator_decision
M23A-E012	Reln	binds	alpha3beta1 integrin	Reelin-integrin adhesion	increasing	directed	Reelin neuronal migration	alpha3beta1 complex; ITGA3 alone incomplete	cortical neurons and radial glia	cell surface	mouse	developmental neural model	ligand_receptor_binding	reviewed_batch002	recombinant Reelin and integrin perturbation	 high	P3	RETAIN_AS_NON_SCI_DIRECT_BINDING_ANCHOR
M23A-E013	Reln	modulates	Dab1-associated neuron-glia migration	Reelin integrin adhesion relay	modulating	directed	Reelin-integrin interaction	alpha3beta1 requirement contested; VLDLR/ApoER2 canonical	developing cortical neurons	cell adhesion compartment	mouse	developmental neural model	receptor_proximal_relay	reviewed_batch002	integrin blocking and deficiency studies	medium-high	P3	RETAIN_AS_RELAY_WITH_RECEPTOR_CAVEAT
M23A-E014	Sema7a	activates	beta1-integrin-associated MAPK and axon outgrowth	Sema7A integrin neural guidance	increasing	directed	Sema7A neural guidance signal	beta1-containing integrin; alpha partner unresolved	primary neural cells and axons	cell surface and axon compartment	mouse; chick; rat	neural guidance models	receptor_proximal_relay	reviewed_batch002	recombinant Sema7A, integrin blockade, MAPK assays	 high	P3	RETAIN_AS_RELAY_ALPHA_PARTNER_UNRESOLVED
M23A-E015	Spp1	binds	alpha8beta1 integrin	SPP1-alpha8beta1 adhesion	increasing	directed	osteopontin extracellular matrix	alpha8beta1 complex; ITGA8 requires ITGB1	K562 and recombinant integrin systems	cell surface	mouse; human	adhesion models	ligand_receptor_binding	reviewed_batch002	solid-phase binding and adhesion assays	 high molecular; medium neural relevance	P3	RETAIN_AS_NON_SCI_DIRECT_BINDING_ANCHOR
M23A-E016	Spp1-associated state	promotes	inflammatory and tissue-preserving SCI recovery	SPP1 SCI function	modulating	directed	OPN in microglia/macrophage-rich lesion	alpha8beta1 not manipulated	microglia and macrophages	lesion tissue	mouse	T13 contusion SCI	downstream_pathway_or_cellular_function	reviewed_batch002	Spp1 knockout and BMS/tissue assays	 high	P1	RETAIN_AS_FUNCTIONAL_NOT_RECEPTOR_SPECIFIC
M23A-E017	Timp1	binds	LRP1	TIMP1-LRP1 binding and uptake	increasing	directed	TIMP1 extracellular inhibitor signal	LRP1 domains II/IV	cortical neurons and recombinant LRP1 systems	cell surface and endocytic compartment	mouse; human	neural and recombinant models	ligand_receptor_binding	reviewed_batch002	SPR and mini-receptor binding	 high	P3	RETAIN_AS_DIRECT_BINDING_NON_SCI_ANCHOR
M23A-E018	TIMP1	modulates	neurite outgrowth and growth-cone morphology	TIMP1-LRP1 neuronal function	modulating	directed	TIMP1 exposure	LRP1-dependent uptake and signaling	mouse embryonic cortical neurons	neuronal membrane and growth cone	mouse	neural culture	downstream_pathway_or_cellular_function	reviewed_batch002	TIMP1 exposure and LRP1 dependence	 high	P2	RETAIN_AS_FUNCTIONAL_LRP1_EDGE
M23A-E019	activated alpha9 integrin plus kindlin-1	promotes	laminin-111/tenascin-C matrix bridges and sensory axon regeneration	alpha9 integrin sensory regeneration	promoting	directed	activated alpha9 integrin and kindlin-1	alpha9 activation complex; ligand mixture	DRG sensory neurons and regenerating axons	lesion bridges and axon compartment	rat	C4/T10 dorsal-column crush	receptor_proximal_relay	reviewed_batch002	alpha9-integrin activation and kindlin-1 perturbation	medium-high	P1	RETAIN_AS_PROXIMAL_MATRIX_BRIDGE_NOT_DIRECT_BINDING
M23A-E020	FnEDA-positive fibrotic scar	modulates	fibrotic ECM assembly and locomotor outcome	FnEDA SCI scar function	modulating	directed	FnEDA matrix assembly	integrin receptor unresolved	fibrotic scar and injured axon compartment	lesion ECM	mouse	contusive SCI	downstream_pathway_or_cellular_function	reviewed_batch002	FnEDA deletion and locomotor assays	 high function; receptor unresolved	P1	RETAIN_AS_FUNCTIONAL_NOT_RECEPTOR_SPECIFIC
M23A-E021	Agrn	binds	DAG1/dystroglycan	Agrin-dystroglycan adhesion	increasing	directed	Agrin extracellular synaptic matrix signal	alpha-dystroglycan glycosylation required	brain-derived dystroglycan and neural tissue	cell surface and synaptic compartment	mammalian	biochemical binding model	ligand_receptor_binding	reviewed_batch002	purified binding, radioligand, co-immunoprecipitation	 high	P3	RETAIN_AS_DIRECT_BINDING_NON_SCI_ANCHOR
M23A-E022	Agrn	modulates	inhibitory synapse organization	Agrin-dystroglycan synaptic function	modulating	directed	Agrin synaptic matrix signal	DAG1-associated synaptic context	primary hippocampal neurons	synaptic compartment	mouse	neural culture	downstream_pathway_or_cellular_function	reviewed_batch002	localization and loss-of-function analyses	medium-high	P2	RETAIN_AS_FUNCTIONAL_NOT_SCI_RELAY
M23A-E023	Chad	binds	alpha2beta1 integrin	CHAD-alpha2beta1 adhesion and MAPK	increasing	directed	Chondroadherin extracellular matrix signal	alpha2beta1 complex	articular chondrocytes	cell surface	human	ECM adhesion model	ligand_receptor_binding	reviewed_batch002	recombinant CHAD, integrin blockade, ERK phosphorylation	 high molecular; low neural relevance	P3	RETAIN_AS_NON_SCI_DIRECT_BINDING_ANCHOR
M23A-E024	Col1a1	modulates	beta1-integrin-N-cadherin astrocyte scar relay	collagen-I astrocytic scar	modulating	directed	collagen-I substrate in lesion scar	beta1 integrin; ITGA1 not isolated	reactive and scar-forming astrocytes	lesion ECM and cell surface	mouse	contusive SCI	receptor_proximal_relay	reviewed_batch002	collagen-I substrate and beta1 blockade	medium-high	P1	RETAIN_AS_PROXIMAL_NOT_DIRECT_ITGA1_BINDING
M23A-E025	Col2a1-associated collagenous scar	modulates	collagenous scarring and locomotor outcome	COL2A1 SCI scar function	modulating	directed	Col2a1-associated matrix	ITGAV/ITGB8 not assayed	scar-forming cells and injured cord	lesion ECM	mouse	T9 contusion SCI	downstream_pathway_or_cellular_function	reviewed_batch003	conditional Sox9 knockout, histology, BMS	 high	P1	RETAIN_AS_FUNCTIONAL_MATRIX_EDGE_NOT_RECEPTOR_EDGE
M23A-E026	collagen-IV family	binds	alpha1beta1 integrin	collagen-IV neural adhesion	increasing	directed	collagen-IV neural matrix	alpha1beta1 family; COL4A1 chain not resolved	neuroblastoma, sympathetic, and dorsal-root neurons	cell surface and neurite compartment	human; rat	neural culture and adhesion models	ligand_receptor_binding	reviewed_batch003	collagen-IV-Sepharose, substrate, alpha1/beta1 blockade	medium-high	P3	RETAIN_AS_FAMILY_DIRECT_BINDING_NOT_COL4A1_SPECIFIC
M23A-E027	collagen-IV family	modulates	alpha2beta1-dependent migration and actin remodeling	collagen-IV migration relay	modulating	directed	collagen-IV matrix	alpha2beta1 complex; COL4A1 chain not resolved	differentiating embryonic stem cells	cell surface and cytoskeleton	mouse	cell culture	receptor_proximal_relay	reviewed_batch003	collagen-IV coating and alpha2/beta1 blockade	medium	P3	RETAIN_AS_FAMILY_RELAY_NOT_COL4A1_SPECIFIC
M23A-E028	collagen-IV family scaffold	promotes	neurite and astrocyte/progenitor outgrowth	collagen-IV scaffold function	promoting	directed	collagen-IV matrix composition and stiffness	no receptor assigned	human iPSC-derived cells and spinal-cord explants	extracellular matrix and neurite compartment	human; rat	neural scaffold model	downstream_pathway_or_cellular_function	reviewed_batch003	collagen-IV/fibronectin HyA scaffold and outgrowth assays	medium	P2	RETAIN_AS_FUNCTIONAL_SCAFFOLD_NOT_RECEPTOR_EDGE
M23A-E029	Col6a3-containing collagen VI	modulates	alpha2beta1-associated FAK activation and migration	collagen-VI integrin relay	modulating	directed	Col6a3/ColVI matrix signal	alpha2beta1 integrin context	344SQ, H358, and 344P cells	matrix and cell surface	mouse; human	LUAD model	receptor_proximal_relay	reviewed_batch004	Col6a3 gain/loss, blockade, co-IP, pFAK, migration	medium-high	P3	RETAIN_AS_NON_SCI_RELAY_NOT_PURIFIED_BINDING
M23A-E030	collagen VI family	modulates	alpha1beta1/alpha2beta1 adhesion	collagen-VI family adhesion	modulating	directed	collagen VI matrix	alpha1beta1/alpha2beta1 family context	chondrocytes	cell surface and matrix	human	non-neural adhesion model	receptor_proximal_relay	reviewed_batch004	collagen VI adhesion and integrin blocking	medium	P3	RETAIN_AS_FAMILY_CONTEXT_NOT_COL6A1_SPECIFIC
M23A-E031	collagen VI family	binds	alpha10 I-domain	collagen-VI alpha10 binding	increasing	directed	collagen VI matrix	alpha10 domain context	purified integrin domains	biochemical binding system	human recombinant	non-neural binding model	ligand_receptor_binding	reviewed_batch004	metal-dependent domain-binding assay	medium	P3	RETAIN_AS_DOMAIN_CONTEXT_NOT_FULL_RECEPTOR_OR_SCI_EDGE
M23A-E032	COL4A6 NC1	modulates	alphaV/beta1-family adhesion and migration	COL4A6 NC1 adhesion boundary	modulating	directed	COL4A6 NC1 matrix fragment	alphaV/beta1 family unresolved	endothelial and angiogenesis models	cell surface and matrix	human	non-neural adhesion model	receptor_proximal_relay	reviewed_batch004	NC1 adhesion and migration assays	medium	P3	RETAIN_AS_CHAIN_BOUNDARY_NOT_QUEUED_COMPLEX_EDGE
M23A-E033	collagen IX family	binds	alpha1beta1 integrin	type IX collagen adhesion	increasing	directed	assembled collagen IX matrix	alpha1beta1 complex	human chondrocytes and CHO cells	cell surface and matrix	human	non-neural binding model	ligand_receptor_binding	reviewed_batch005	recombinant domain binding and adhesion	 high	P3	RETAIN_AS_NON_SCI_DIRECT_BINDING_ANCHOR
M23A-E034	collagen IX family	binds	alpha10beta1 integrin	type IX collagen adhesion	increasing	directed	assembled collagen IX matrix	alpha10beta1 complex	human chondrocytes and CHO cells	cell surface and matrix	human	non-neural binding model	ligand_receptor_binding	reviewed_batch005	recombinant domain binding and adhesion	 high	P3	RETAIN_AS_NON_SCI_DIRECT_BINDING_ANCHOR
M23A-E035	collagen IX family	binds	alpha11beta1 integrin	type IX collagen adhesion	increasing	directed	assembled collagen IX matrix	alpha11 I-domain	recombinant integrin domains	biochemical binding system	human recombinant	non-neural binding model	ligand_receptor_binding	reviewed_batch005	alpha11 I-domain binding	 high	P3	RETAIN_AS_NON_SCI_DIRECT_BINDING_ANCHOR
M23A-E036	collagen IX family	binds	alpha2beta1 integrin	type IX collagen adhesion	increasing	directed	assembled collagen IX matrix	alpha2beta1 complex	human chondrocytes and CHO cells	cell surface and matrix	human	non-neural binding model	ligand_receptor_binding	reviewed_batch005	recombinant domain binding, EM, adhesion	 high	P3	RETAIN_AS_NON_SCI_DIRECT_BINDING_ANCHOR
M23A-E037	collagen IX family	promotes	alpha1beta1-associated adhesion and spreading	type IX collagen function	promoting	directed	assembled collagen IX matrix	alpha1beta1-associated cells	human chondrosarcoma and CHO cells	cell surface and matrix	human	non-neural functional model	downstream_pathway_or_cellular_function	reviewed_batch005	cell attachment and spreading	medium-high	P3	RETAIN_AS_FUNCTIONAL_NOT_SCI_EDGE
M23A-E038	collagen IX family	promotes	alpha10beta1-associated adhesion and spreading	type IX collagen function	promoting	directed	assembled collagen IX matrix	alpha10beta1-associated cells	human chondrosarcoma and CHO cells	cell surface and matrix	human	non-neural functional model	downstream_pathway_or_cellular_function	reviewed_batch005	cell attachment and spreading	medium-high	P3	RETAIN_AS_FUNCTIONAL_NOT_SCI_EDGE
M23A-E039	collagen IX family	promotes	alpha2beta1-associated adhesion and spreading	type IX collagen function	promoting	directed	assembled collagen IX matrix	alpha2beta1-associated cells	human chondrosarcoma and CHO cells	cell surface and matrix	human	non-neural functional model	downstream_pathway_or_cellular_function	reviewed_batch005	cell attachment and spreading	medium-high	P3	RETAIN_AS_FUNCTIONAL_NOT_SCI_EDGE
M23A-E040	collagen IX family	modulates	peripheral neurite avoidance and ECM guidance	collagen IX neural guidance	modulating	directed	collagen IX/fibronectin matrix	receptor unresolved	DRG, motor neurites, and neural-tube explants	neurite and matrix compartment	chick; quail	developmental neural model	downstream_pathway_or_cellular_function	reviewed_batch006	collagen IX substrate and chondroitinase assays	medium	P3	RETAIN_AS_NEURAL_CONTEXT_NOT_RECEPTOR_EDGE
M23A-E041	Col6a1/collagen VI	modulates	macrophage recruitment and M2 polarization	collagen-VI peripheral-nerve function	modulating	directed	Col6a1/ColVI matrix	AKT/PKA-associated program	macrophages and injured peripheral nerve	matrix and immune compartment	mouse	peripheral nerve injury	downstream_pathway_or_cellular_function	reviewed_batch006	Col6a1 deletion, marrow rescue, purified ColVI	 high	P3	RETAIN_AS_FUNCTIONAL_NOT_SCI_RECEPTOR_EDGE
M23A-E042	collagen-VI family	modulates	family-level adhesion context without queued receptor assignment	collagen-VI chain boundary	modulating	directed	collagen-VI family matrix	queued chain-specific receptors unresolved	collagen and integrin models	matrix and cell surface	human	cross-context adhesion model	downstream_pathway_or_cellular_function	reviewed_batch006	family-level collagen-VI review	unresolved	P3	RETAIN_AS_BOUNDARY_NOT_CHAIN_SPECIFIC_EDGE
M23A-E044	matrix stiffness	modulates	beta1-integrin/ILK-associated astrocyte response	SCI mechanotransduction context	modulating	directed	stiffness-associated matrix	beta1-integrin/ILK context	primary astrocytes and injured cord	matrix and cell surface	mouse	chronic SCI	receptor_proximal_relay	reviewed_batch006	stiffness and astrocyte assays	medium	P2	RETAIN_AS_MECHANOTRANSDUCTION_CONTEXT_NO_DIRECT_BINDING
M23A-E045	FN1/fibronectin matrix	modulates	alpha5beta1-associated matrix assembly and fibrotic scar	fibronectin SCI scar relay	modulating	directed	FN1 matrix after injury	alpha5beta1-associated context	macrophages, microglia, fibroblasts, and injured cord	lesion matrix	mouse; rat	contusive SCI	receptor_proximal_relay	reviewed_batch006	matrix time course, FN deletion, alpha5/beta1 staining	 high	P1	RETAIN_AS_SCI_RELAY_NOT_PURIFIED_BINDING
M23A-E046	FN1/fibronectin	promotes	beta8-containing integrin-dependent neurite outgrowth	fibronectin neural guidance	promoting	directed	FN matrix	beta8-containing integrin; alpha unresolved	embryonic DRG sensory neurons	neurite and matrix compartment	chick	developmental neural model	downstream_pathway_or_cellular_function	reviewed_batch006	beta8 immunoprecipitation and blockade	medium	P3	RETAIN_AS_FAMILY_LEVEL_NOT_ITGAVB8_EDGE
M23A-E047	HSPG2/perlecan	binds	DAG1/dystroglycan	perlecan-dystroglycan node organization	increasing	directed	perlecan matrix	DAG1/dystroglycan context	Schwann cells, sciatic nerve, and DRG co-cultures	node of Ranvier and matrix compartment	rat	neural model	ligand_receptor_binding	reviewed_batch006	DGFc binding, localization, dystroglycan dependence	 high	P2	RETAIN_AS_NEURAL_BINDING_RELAY_EDGE
M23A-E048	IBSP	modulates	alphaVbeta3-dependent adhesion and migration	IBSP integrin adhesion	modulating	directed	IBSP/RGD matrix ligand	alphaVbeta3 complex	HUVEC and chick CAM	vascular cell surface	human; chick	non-neural vascular model	receptor_proximal_relay	reviewed_batch006	RGD adhesion, blockade, angiogenesis	 high	P3	RETAIN_AS_NON_SCI_RECEPTOR_ANCHOR
M23A-E049	IBSP	modulates	alphaVbeta5-dependent adhesion and migration	IBSP integrin adhesion	modulating	directed	IBSP fragments	alphaVbeta5 complex	MDA-MB-231 cells	tumor cell surface	human	non-neural tumor model	receptor_proximal_relay	reviewed_batch006	fragment and blocking antibody assays	medium-high	P3	RETAIN_AS_NON_SCI_RECEPTOR_ANCHOR
M23A-E050	LAMA1/laminin-1	binds	DAG1/dystroglycan	laminin-dystroglycan matrix association	increasing	directed	laminin-1 basement-membrane matrix	DAG1/dystroglycan complex	muscle dystroglycan and neural stem cells	basement membrane and cell surface	rabbit; mouse	cross-context neural model	ligand_receptor_binding	reviewed_batch006	125I-laminin binding and precipitation	 high	P2	RETAIN_AS_BINDING_CONTEXT_ISOFORM_CAVEAT
M23A-E051	LAMA1/laminin-1	modulates	alpha3beta1-dependent neurite outgrowth	laminin neural guidance	promoting	directed	laminin-1 matrix	alpha3beta1 complex	retinal, hippocampal, thalamic, and cortical neurons	neurite and matrix compartment	chick; rat; mouse	neural model	receptor_proximal_relay	reviewed_batch006	function-blocking antibodies and alpha3 knockout compensation	 high	P2	RETAIN_AS_NEURAL_RELAY_NOT_ISOLATED_LAMA1_BINDING
M23A-E052	LAMA1/laminin-1	modulates	alpha6beta1-dependent attachment and spreading	laminin neural adhesion	modulating	directed	laminin-1 matrix	alpha6beta1 complex	retinal and other neurons	neurite and matrix compartment	chick; rat; mouse	neural model	receptor_proximal_relay	reviewed_batch006	attachment assays and alpha6beta1 blockade	medium-high	P2	RETAIN_AS_NEURAL_RELAY_NOT_PURIFIED_BINDING
M23A-E053	LAMA1/laminin-rich matrix	promotes	alpha7beta1-associated neurite regeneration	laminin neural regeneration	promoting	directed	laminin-rich matrix	alpha7beta1 context	adult DRG neurons and injured sensory neurons	neurite and matrix compartment	mouse	neural injury model	downstream_pathway_or_cellular_function	reviewed_batch006	laminin substrates, alpha7 perturbation, outgrowth	medium	P2	RETAIN_AS_ISOFORM_CONTEXT_NOT_DIRECT_BINDING
M23A-E054	LAMA1/laminin-1	promotes	beta8-containing integrin-dependent neurite outgrowth	laminin neural guidance	promoting	directed	laminin-1 matrix	beta8-containing integrin; alpha unresolved	embryonic DRG sensory neurons	neurite and matrix compartment	chick	developmental neural model	downstream_pathway_or_cellular_function	reviewed_batch006	beta8 blockade of neurite outgrowth	medium	P3	RETAIN_AS_FAMILY_LEVEL_NOT_ITGAVB8_EDGE
M23A-E055	LAMA2/laminin-2	binds	DAG1/dystroglycan	laminin-2-dystroglycan matrix association	increasing	directed	laminin-2 basement-membrane matrix	DAG1/dystroglycan complex	Schwann cells, sciatic nerve, and neural tissue	axon-glia and matrix compartment	mouse; rat	neural model	ligand_receptor_binding	reviewed_batch006	laminin-2 binding, DAG1 siRNA, co-culture	 high	P2	RETAIN_AS_NEURAL_BINDING_RELAY_EDGE
M23A-E056	LAMA2/laminin-2	modulates	alpha3beta1-dependent neurite outgrowth	laminin-2 neural guidance	promoting	directed	laminin-2 matrix	alpha3beta1 complex	adult DRG neurons	neurite and matrix compartment	mouse	neural model	receptor_proximal_relay	reviewed_batch006	laminin substrates, blockade, outgrowth	medium-high	P2	RETAIN_AS_NEURAL_RELAY_NOT_PURIFIED_BINDING
M23A-E057	LAMA2/laminin-2	modulates	alpha6beta1-ILK-PI3K-AKT relay	laminin-2 neural myelination	modulating	directed	laminin-211 matrix	alpha6beta1 and ILK context	Schwann cells, DRG explants, and oligodendrocytes	axon-glia and myelin compartment	mouse	nervous-system model	receptor_proximal_relay	reviewed_batch006	conditional deletion, binding, ILK/PI3K/AKT perturbation	 high	P2	RETAIN_AS_NEURAL_RELAY_NOT_PURIFIED_BINDING
M23A-E058	LAMA2/laminin-2	modulates	alpha6beta4-associated Schwann-cell myelination	laminin-2 Schwann-cell function	modulating	directed	laminin-2 matrix	alpha6beta4 functional context	Schwann cells and sciatic nerve	axon-glia and myelin compartment	mouse; rat	neural model	downstream_pathway_or_cellular_function	reviewed_batch006	laminin receptor expression and myelination assays	medium	P3	RETAIN_AS_FUNCTIONAL_CONTEXT_NOT_DIRECT_BINDING
M23A-E059	LAMA2/laminin-2	binds	alpha7beta1 and associates with FAK	laminin-2 axon-sorting relay	increasing	directed	laminin-2 matrix	alpha7beta1 complex	Schwann cells and sciatic nerve	axon-glia and matrix compartment	mouse	neural model	ligand_receptor_binding	reviewed_batch006	laminin-2 binding, alpha7 perturbation, alpha7-FAK association	 high	P2	RETAIN_AS_NEURAL_BINDING_RELAY_EDGE
M23A-E060	LAMA3/LAMB3/LAMC2 laminin-332	binds	ITGA3:ITGB1	laminin-332 adhesion	increasing	directed	laminin-332 basement-membrane matrix	alpha3beta1 integrin	purified recombinant system	extracellular matrix compartment	human recombinant	non-SCI mechanistic anchor	ligand_receptor_binding	reviewed_batch007	purified laminin-332-alpha3beta1 binding	 high	P1	RETAIN_AS_COMPLEX_LEVEL_DIRECT_EDGE
