queue_id	batch_id	priority	candidate_class	upstream_feature_or_ligand	receptor_or_adhesion_system	receptor_complex_status	receptor_proximal_branch_to_validate	downstream_tf_or_program_target	evidence_layers_to_extract	species_context	cell_type_or_model_context	source_origin	source_record_id	stable_source_locator	search_boundary	status	notes
M23A-Q0010	M23A-B001	P1	connectome_adhesion_candidate	Apoe	Lrp1	ConnectomeDB direct seed; exact complex, directionality, and activation state require primary validation	LRP-family-adhesion/ERK;validate-direct-binding-versus-colocalization	not asserted; extract a TF/program only when directly measured	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant receiver state unresolved; extract exact primary model	ConnectomeDB mouse priority guidance/ECM review slice	CDB15:0000073	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/guidance_ecm_family.tsv	ConnectomeDB seed only; reuse Module 20A LR evidence when present, but validate 23A relay/function separately	reviewed_first_pass	Module20A bucket=keep_direct_seed; next action=review_then_primary; matched family=guidance_ecm_family
M23A-Q0011	M23A-B001	P1	connectome_adhesion_candidate	Calr	Lrp1	ConnectomeDB direct seed; exact complex, directionality, and activation state require primary validation	LRP-family-adhesion/ERK;validate-direct-binding-versus-colocalization	not asserted; extract a TF/program only when directly measured	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant receiver state unresolved; extract exact primary model	ConnectomeDB mouse priority guidance/ECM review slice	CDB15:0000177	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/guidance_ecm_family.tsv	ConnectomeDB seed only; reuse Module 20A LR evidence when present, but validate 23A relay/function separately	reviewed_first_pass	Module20A bucket=keep_direct_seed; next action=review_then_primary; matched family=guidance_ecm_family
M23A-Q0012	M23A-B001	P1	connectome_adhesion_candidate	Ccn4	Itga5	ConnectomeDB direct seed; exact complex, directionality, and activation state require primary validation	integrin-focal-adhesion-FAK-SRC-ILK;validate-YAP-TAZ-TEAD	not asserted; extract a TF/program only when directly measured	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant receiver state unresolved; extract exact primary model	ConnectomeDB mouse priority guidance/ECM review slice	CDB20:0002631	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/guidance_ecm_family.tsv	ConnectomeDB seed only; reuse Module 20A LR evidence when present, but validate 23A relay/function separately	reviewed_first_pass	Module20A bucket=keep_direct_seed; next action=review_then_primary; matched family=guidance_ecm_family
M23A-Q0013	M23A-B001	P1	connectome_adhesion_candidate	Ccn4	Itgb1	ConnectomeDB direct seed; exact complex, directionality, and activation state require primary validation	integrin-focal-adhesion-FAK-SRC-ILK;validate-YAP-TAZ-TEAD	not asserted; extract a TF/program only when directly measured	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant receiver state unresolved; extract exact primary model	ConnectomeDB mouse priority guidance/ECM review slice	CDB20:0002632	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/guidance_ecm_family.tsv	ConnectomeDB seed only; reuse Module 20A LR evidence when present, but validate 23A relay/function separately	reviewed_first_pass	Module20A bucket=keep_direct_seed; next action=review_then_primary; matched family=guidance_ecm_family
M23A-Q0014	M23A-B001	P1	connectome_adhesion_candidate	Cd40lg	Itgam	ConnectomeDB direct seed; exact complex, directionality, and activation state require primary validation	integrin-focal-adhesion-FAK-SRC-ILK;validate-YAP-TAZ-TEAD	not asserted; extract a TF/program only when directly measured	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed_with_human_ortholog_context	SCI-relevant receiver state unresolved; extract exact primary model	ConnectomeDB mouse priority guidance/ECM review slice	CDB15:0000285	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/guidance_ecm_family.tsv	ConnectomeDB seed only; reuse Module 20A LR evidence when present, but validate 23A relay/function separately	reviewed_first_pass	Module20A bucket=boundary_review; next action=review_then_primary; matched family=tnf_family;guidance_ecm_family
M23A-Q0015	M23A-B001	P1	connectome_adhesion_candidate	Dspp	Itgb6	ConnectomeDB direct seed; exact complex, directionality, and activation state require primary validation	integrin-focal-adhesion-FAK-SRC-ILK;validate-YAP-TAZ-TEAD	not asserted; extract a TF/program only when directly measured	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant receiver state unresolved; extract exact primary model	ConnectomeDB mouse priority guidance/ECM review slice	CDB20:0002729	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/guidance_ecm_family.tsv	ConnectomeDB seed only; reuse Module 20A LR evidence when present, but validate 23A relay/function separately	reviewed_first_pass	Module20A bucket=keep_direct_seed; next action=review_then_primary; matched family=guidance_ecm_family
M23A-Q0016	M23A-B001	P1	connectome_adhesion_candidate	Edil3	Itgal	ConnectomeDB direct seed; exact complex, directionality, and activation state require primary validation	integrin-focal-adhesion-FAK-SRC-ILK;validate-YAP-TAZ-TEAD	not asserted; extract a TF/program only when directly measured	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant receiver state unresolved; extract exact primary model	ConnectomeDB mouse priority guidance/ECM review slice	CDB25:0003500	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/guidance_ecm_family.tsv	ConnectomeDB seed only; reuse Module 20A LR evidence when present, but validate 23A relay/function separately	reviewed_first_pass	Module20A bucket=keep_direct_seed; next action=review_then_primary; matched family=guidance_ecm_family
M23A-Q0017	M23A-B001	P1	connectome_adhesion_candidate	Edil3	Itgav	ConnectomeDB direct seed; exact complex, directionality, and activation state require primary validation	integrin-focal-adhesion-FAK-SRC-ILK;validate-YAP-TAZ-TEAD	not asserted; extract a TF/program only when directly measured	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant receiver state unresolved; extract exact primary model	ConnectomeDB mouse priority guidance/ECM review slice	CDB15:0000459	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/guidance_ecm_family.tsv	ConnectomeDB seed only; reuse Module 20A LR evidence when present, but validate 23A relay/function separately	reviewed_first_pass	Module20A bucket=keep_direct_seed; next action=review_then_primary; matched family=guidance_ecm_family
M23A-Q0018	M23A-B001	P1	connectome_adhesion_candidate	Edil3	Itgb2	ConnectomeDB direct seed; exact complex, directionality, and activation state require primary validation	integrin-focal-adhesion-FAK-SRC-ILK;validate-YAP-TAZ-TEAD	not asserted; extract a TF/program only when directly measured	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant receiver state unresolved; extract exact primary model	ConnectomeDB mouse priority guidance/ECM review slice	CDB25:0003501	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/guidance_ecm_family.tsv	ConnectomeDB seed only; reuse Module 20A LR evidence when present, but validate 23A relay/function separately	reviewed_first_pass	Module20A bucket=keep_direct_seed; next action=review_then_primary; matched family=guidance_ecm_family
M23A-Q0019	M23A-B001	P1	connectome_adhesion_candidate	Edil3	Itgb3	ConnectomeDB direct seed; exact complex, directionality, and activation state require primary validation	integrin-focal-adhesion-FAK-SRC-ILK;validate-YAP-TAZ-TEAD	not asserted; extract a TF/program only when directly measured	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant receiver state unresolved; extract exact primary model	ConnectomeDB mouse priority guidance/ECM review slice	CDB20:0002731	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/guidance_ecm_family.tsv	ConnectomeDB seed only; reuse Module 20A LR evidence when present, but validate 23A relay/function separately	reviewed_first_pass	Module20A bucket=keep_direct_seed; next action=review_then_primary; matched family=guidance_ecm_family
M23A-Q0020	M23A-B001	P1	connectome_adhesion_candidate	Egfl7	Itgav	ConnectomeDB direct seed; exact complex, directionality, and activation state require primary validation	integrin-focal-adhesion-FAK-SRC-ILK;validate-YAP-TAZ-TEAD	not asserted; extract a TF/program only when directly measured	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant receiver state unresolved; extract exact primary model	ConnectomeDB mouse priority guidance/ECM review slice	CDB25:0003518	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/guidance_ecm_family.tsv	ConnectomeDB seed only; reuse Module 20A LR evidence when present, but validate 23A relay/function separately	reviewed_first_pass	Module20A bucket=boundary_review; next action=review_then_primary; matched family=growth_factor_family;guidance_ecm_family
M23A-Q0021	M23A-B001	P1	connectome_adhesion_candidate	Egfl7	Itgb3	ConnectomeDB direct seed; exact complex, directionality, and activation state require primary validation	integrin-focal-adhesion-FAK-SRC-ILK;validate-YAP-TAZ-TEAD	not asserted; extract a TF/program only when directly measured	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant receiver state unresolved; extract exact primary model	ConnectomeDB mouse priority guidance/ECM review slice	CDB25:0003519	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/guidance_ecm_family.tsv	ConnectomeDB seed only; reuse Module 20A LR evidence when present, but validate 23A relay/function separately	reviewed_first_pass	Module20A bucket=boundary_review; next action=review_then_primary; matched family=growth_factor_family;guidance_ecm_family
M23A-Q0022	M23A-B001	P1	connectome_adhesion_candidate	Fbln2	Itgb3	ConnectomeDB direct seed; exact complex, directionality, and activation state require primary validation	integrin-focal-adhesion-FAK-SRC-ILK;validate-YAP-TAZ-TEAD	not asserted; extract a TF/program only when directly measured	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant receiver state unresolved; extract exact primary model	ConnectomeDB mouse priority guidance/ECM review slice	CDB15:0000557	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/guidance_ecm_family.tsv	ConnectomeDB seed only; reuse Module 20A LR evidence when present, but validate 23A relay/function separately	reviewed_first_pass	Module20A bucket=keep_direct_seed; next action=review_then_primary; matched family=guidance_ecm_family
M23A-Q0023	M23A-B001	P1	connectome_adhesion_candidate	Fga	Itga2b	ConnectomeDB direct seed; exact complex, directionality, and activation state require primary validation	integrin-focal-adhesion-FAK-SRC-ILK;validate-YAP-TAZ-TEAD	not asserted; extract a TF/program only when directly measured	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant receiver state unresolved; extract exact primary model	ConnectomeDB mouse priority guidance/ECM review slice	CDB15:0000564	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/guidance_ecm_family.tsv	ConnectomeDB seed only; reuse Module 20A LR evidence when present, but validate 23A relay/function separately	reviewed_first_pass	Module20A bucket=keep_direct_seed; next action=review_then_primary; matched family=guidance_ecm_family
M23A-Q0024	M23A-B001	P1	connectome_adhesion_candidate	Fga	Itgb3	ConnectomeDB direct seed; exact complex, directionality, and activation state require primary validation	integrin-focal-adhesion-FAK-SRC-ILK;validate-YAP-TAZ-TEAD	not asserted; extract a TF/program only when directly measured	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant receiver state unresolved; extract exact primary model	ConnectomeDB mouse priority guidance/ECM review slice	CDB15:0000571	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/guidance_ecm_family.tsv	ConnectomeDB seed only; reuse Module 20A LR evidence when present, but validate 23A relay/function separately	reviewed_first_pass	Module20A bucket=keep_direct_seed; next action=review_then_primary; matched family=guidance_ecm_family
M23A-Q0025	M23A-B001	P1	connectome_adhesion_candidate	Fgb	Itga2b	ConnectomeDB direct seed; exact complex, directionality, and activation state require primary validation	integrin-focal-adhesion-FAK-SRC-ILK;validate-YAP-TAZ-TEAD	not asserted; extract a TF/program only when directly measured	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant receiver state unresolved; extract exact primary model	ConnectomeDB mouse priority guidance/ECM review slice	CDB15:0000572	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/guidance_ecm_family.tsv	ConnectomeDB seed only; reuse Module 20A LR evidence when present, but validate 23A relay/function separately	reviewed_first_pass	Module20A bucket=keep_direct_seed; next action=review_then_primary; matched family=guidance_ecm_family
M23A-Q0026	M23A-B001	P1	connectome_adhesion_candidate	Fgb	Itgb3	ConnectomeDB direct seed; exact complex, directionality, and activation state require primary validation	integrin-focal-adhesion-FAK-SRC-ILK;validate-YAP-TAZ-TEAD	not asserted; extract a TF/program only when directly measured	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant receiver state unresolved; extract exact primary model	ConnectomeDB mouse priority guidance/ECM review slice	CDB25:0003617	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/guidance_ecm_family.tsv	ConnectomeDB seed only; reuse Module 20A LR evidence when present, but validate 23A relay/function separately	reviewed_first_pass	Module20A bucket=keep_direct_seed; next action=review_then_primary; matched family=guidance_ecm_family
M23A-Q0027	M23A-B001	P1	connectome_adhesion_candidate	Fgg	Itga2b	ConnectomeDB direct seed; exact complex, directionality, and activation state require primary validation	integrin-focal-adhesion-FAK-SRC-ILK;validate-YAP-TAZ-TEAD	not asserted; extract a TF/program only when directly measured	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant receiver state unresolved; extract exact primary model	ConnectomeDB mouse priority guidance/ECM review slice	CDB15:0000645	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/guidance_ecm_family.tsv	ConnectomeDB seed only; reuse Module 20A LR evidence when present, but validate 23A relay/function separately	reviewed_first_pass	Module20A bucket=keep_direct_seed; next action=review_then_primary; matched family=guidance_ecm_family
M23A-Q0028	M23A-B001	P1	connectome_adhesion_candidate	Fgg	Itgb3	ConnectomeDB direct seed; exact complex, directionality, and activation state require primary validation	integrin-focal-adhesion-FAK-SRC-ILK;validate-YAP-TAZ-TEAD	not asserted; extract a TF/program only when directly measured	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant receiver state unresolved; extract exact primary model	ConnectomeDB mouse priority guidance/ECM review slice	CDB25:0003633	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/guidance_ecm_family.tsv	ConnectomeDB seed only; reuse Module 20A LR evidence when present, but validate 23A relay/function separately	reviewed_first_pass	Module20A bucket=keep_direct_seed; next action=review_then_primary; matched family=guidance_ecm_family
M23A-Q0029	M23A-B001	P1	connectome_adhesion_candidate	Fn1	Itgb3	ConnectomeDB direct seed; exact complex, directionality, and activation state require primary validation	integrin-focal-adhesion-FAK-SRC-ILK;validate-YAP-TAZ-TEAD	not asserted; extract a TF/program only when directly measured	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant receiver state unresolved; extract exact primary model	ConnectomeDB mouse priority guidance/ECM review slice	CDB15:0000665	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/guidance_ecm_family.tsv	ConnectomeDB seed only; reuse Module 20A LR evidence when present, but validate 23A relay/function separately	reviewed_first_pass	Module20A bucket=keep_direct_seed; next action=review_then_primary; matched family=guidance_ecm_family
M23A-Q0030	M23A-B001	P1	connectome_adhesion_candidate	Fndc5	Itgav	ConnectomeDB direct seed; exact complex, directionality, and activation state require primary validation	integrin-focal-adhesion-FAK-SRC-ILK;validate-YAP-TAZ-TEAD	not asserted; extract a TF/program only when directly measured	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant receiver state unresolved; extract exact primary model	ConnectomeDB mouse priority guidance/ECM review slice	CDB20:0002757	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/guidance_ecm_family.tsv	ConnectomeDB seed only; reuse Module 20A LR evidence when present, but validate 23A relay/function separately	reviewed_first_pass	Module20A bucket=keep_direct_seed; next action=review_then_primary; matched family=guidance_ecm_family
M23A-Q0031	M23A-B001	P1	connectome_adhesion_candidate	Fndc5	Itgb5	ConnectomeDB direct seed; exact complex, directionality, and activation state require primary validation	integrin-focal-adhesion-FAK-SRC-ILK;validate-YAP-TAZ-TEAD	not asserted; extract a TF/program only when directly measured	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed	SCI-relevant receiver state unresolved; extract exact primary model	ConnectomeDB mouse priority guidance/ECM review slice	CDB20:0002758	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/guidance_ecm_family.tsv	ConnectomeDB seed only; reuse Module 20A LR evidence when present, but validate 23A relay/function separately	reviewed_first_pass	Module20A bucket=keep_direct_seed; next action=review_then_primary; matched family=guidance_ecm_family
M23A-Q0032	M23A-B001	P1	connectome_adhesion_candidate	Hsp90aa1	Lrp1	ConnectomeDB direct seed; exact complex, directionality, and activation state require primary validation	LRP-family-adhesion/ERK;validate-direct-binding-versus-colocalization	not asserted; extract a TF/program only when directly measured	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed_with_human_ortholog_context	SCI-relevant receiver state unresolved; extract exact primary model	ConnectomeDB mouse priority guidance/ECM review slice	CDB25:0003741	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/guidance_ecm_family.tsv	ConnectomeDB seed only; reuse Module 20A LR evidence when present, but validate 23A relay/function separately	reviewed_first_pass	Module20A bucket=boundary_review; next action=review_then_primary; matched family=guidance_ecm_family
M23A-Q0033	M23A-B001	P1	connectome_adhesion_candidate	Hsp90b1	Lrp1	ConnectomeDB direct seed; exact complex, directionality, and activation state require primary validation	LRP-family-adhesion/ERK;validate-direct-binding-versus-colocalization	not asserted; extract a TF/program only when directly measured	ligand-receptor binding or activation;receptor-proximal relay;downstream pathway or cellular function	mouse_direct_seed_with_human_ortholog_context	SCI-relevant receiver state unresolved; extract exact primary model	ConnectomeDB mouse priority guidance/ECM review slice	CDB15:0000772	local:work/module20_db_seed/connectomedb_mouse_priority_direct_microchunks/validated/review_slices/by_family/guidance_ecm_family.tsv	ConnectomeDB seed only; reuse Module 20A LR evidence when present, but validate 23A relay/function separately	reviewed_first_pass	Module20A bucket=boundary_review; next action=review_then_primary; matched family=guidance_ecm_family
