candidate_id	candidate_class	upstream_feature_or_ligand	receptor_or_adhesion_system	receptor_proximal_relay	downstream_tf_or_program	layer1_status	layer2_status	layer3_status	species_posture	SCI_context_posture	status	next_gap
M23A-Q0057	connectome_adhesion_candidate	Reln	alpha3beta1 integrin	neuron-glia adhesion and Dab1 migration	neuronal migration	reviewed_supported	reviewed_supported	reviewed_supported	mouse	developmental neural model	REVIEWED_FIRST_PASS	alpha3beta1 requirement remains contested and not SCI-specific
M23A-Q0061	connectome_adhesion_candidate	Sema7a	beta1-containing integrin	MAPK and axon-outgrowth relay	axon outgrowth	not_direct_binding	reviewed_supported	reviewed_supported	mouse; chick; rat	primary neural models; no SCI	REVIEWED_FIRST_PASS	alpha partner unresolved
M23A-Q0066	connectome_adhesion_candidate	Spp1	alpha8beta1 integrin	adhesion relay	inflammatory and tissue-preserving SCI function	reviewed_supported	not_assessed	reviewed_supported	mouse; human	T13 contusion plus recombinant models	REVIEWED_FIRST_PASS	SCI receptor assignment unresolved
M23A-Q0068	connectome_adhesion_candidate	Timp1	LRP1	LRP1 uptake	neurite outgrowth and growth-cone program	reviewed_supported	reviewed_supported	reviewed_supported	mouse; human	neural recombinant and culture models	REVIEWED_FIRST_PASS	SCI relevance and downstream kinase branch unresolved
M23A-Q0072	connectome_adhesion_candidate	Agrn	DAG1/dystroglycan	synaptic adhesion	inhibitory synapse organization	reviewed_supported	not_assessed	reviewed_supported	mammalian; mouse	biochemical and hippocampal models	REVIEWED_FIRST_PASS	SCI relay unresolved
M23A-Q0073	connectome_adhesion_candidate	Chad	alpha2beta1 integrin	MAPK activation	ECM adhesion function	reviewed_supported	reviewed_supported	not_assessed	human	chondrocyte model; no SCI	REVIEWED_FIRST_PASS	neural relevance unresolved
M23A-Q0075	connectome_adhesion_candidate	Col1a1	beta1-integrin system	N-cadherin astrocyte relay	fibrotic scar function	not_direct_binding	reviewed_supported	reviewed_supported	mouse	contusive SCI	REVIEWED_FIRST_PASS	ITGA1-specific binding unresolved
M23A-Q0101	matrix_receptor_candidate	Col2a1	Itgav/Itgb8	no receptor assay	collagenous scar function	not_direct_binding	not_assessed	reviewed_supported	mouse	T9 contusion SCI	REVIEWED_FIRST_PASS	ITGAV/ITGB8 relay unresolved
M23A-Q0105	matrix_receptor_candidate	collagen-IV family	alpha1beta1 integrin	neural adhesion relay	neurite and axon outgrowth	reviewed_supported	reviewed_supported	reviewed_supported	human; rat	neural models; no SCI	REVIEWED_FIRST_PASS	COL4A1 chain and SCI relevance unresolved
M23A-Q0108	matrix_receptor_candidate	collagen-IV family	alpha2beta1 integrin	migration and actin remodeling	cell migration	not_direct_binding	reviewed_supported	not_assessed	mouse	embryonic stem-cell model	REVIEWED_FIRST_PASS	neural and SCI relevance unresolved
M23A-Q0104	matrix_receptor_candidate	collagen-IV family scaffold	no receptor assigned	no receptor assay	neurite and astrocyte/progenitor outgrowth	not_direct_binding	not_assessed	reviewed_supported	human; rat	neural scaffold and spinal explant model	REVIEWED_FIRST_PASS	chain and receptor assignment unresolved
M23A-Q0154	matrix_receptor_candidate	COL4A6 NC1	alphaV/beta1 family	adhesion and migration	endothelial matrix function	not_direct_binding	reviewed_supported	not_assessed	human	non-neural adhesion model	REVIEWED_FIRST_PASS	queued receptor complex unresolved
M23A-Q0165	matrix_receptor_candidate	collagen VI family	alpha1beta1/alpha2beta1 family	family-level adhesion	matrix adhesion function	not_direct_binding	reviewed_supported	not_assessed	human	chondrocyte model	REVIEWED_FIRST_PASS	COL6A1 chain and SCI relevance unresolved
M23A-Q0166	matrix_receptor_candidate	collagen VI family	alpha10 domain	collagen-VI binding	family-level matrix function	reviewed_supported	not_assessed	not_assessed	human recombinant	purified domain model	REVIEWED_FIRST_PASS	full receptor and chain unresolved
M23A-Q0188	matrix_receptor_candidate	Col6a3-containing collagen VI	alpha2beta1 integrin	FAK/migration relay	cell migration	not_direct_binding	reviewed_supported	reviewed_supported	mouse; human	LUAD model; no SCI	REVIEWED_FIRST_PASS	non-neural model and purified binding unresolved
M23A-Q0225	matrix_receptor_candidate	collagen IX family	alpha1beta1 integrin	collagen adhesion	adhesion/spreading	reviewed_supported	reviewed_supported	reviewed_supported	human	non-neural collagen model	REVIEWED_FIRST_PASS	assembled collagen and no SCI relevance
M23A-Q0226	matrix_receptor_candidate	collagen IX family	alpha10beta1 integrin	collagen adhesion	adhesion/spreading	reviewed_supported	reviewed_supported	reviewed_supported	human	non-neural collagen model	REVIEWED_FIRST_PASS	assembled collagen and no SCI relevance
M23A-Q0227	matrix_receptor_candidate	collagen IX family	alpha11beta1 integrin	collagen binding	matrix adhesion	reviewed_supported	reviewed_supported	not_assessed	human recombinant	integrin domain model	REVIEWED_FIRST_PASS	cellular output and SCI relevance unresolved
M23A-Q0228	matrix_receptor_candidate	collagen IX family	alpha2beta1 integrin	collagen adhesion	adhesion/spreading	reviewed_supported	reviewed_supported	reviewed_supported	human	non-neural collagen model	REVIEWED_FIRST_PASS	assembled collagen and no SCI relevance
M23A-Q0251	matrix_receptor_candidate	collagen IX family	no receptor assigned	neurite guidance context	peripheral neurite avoidance	not_direct_binding	not_assessed	reviewed_supported	chick; quail	developmental neural model	REVIEWED_FIRST_PASS	queued receptor assignment unresolved
M23A-Q0256	matrix_receptor_candidate	COMP	alphaVbeta3 integrin	adhesion and actin relay	cell adhesion	not_direct_binding	reviewed_supported	reviewed_supported	mouse; human	non-neural model	REVIEWED_FIRST_PASS	CD47 alternative and no SCI
M23A-Q0259	matrix_receptor_candidate	DMP1	alphaVbeta3 integrin	FAK-ERK/JNK-cJun relay	bone-cell adhesion program	not_direct_binding	reviewed_supported	reviewed_supported	human	bone/mineralized-tissue model	REVIEWED_FIRST_PASS	no neural or SCI model
M23A-Q0267	matrix_receptor_candidate	FN1/fibronectin	alpha5beta1 integrin	matrix assembly relay	fibrotic scar and neurite function	not_direct_binding	reviewed_supported	reviewed_supported	mouse; rat	SCI and neural models	REVIEWED_FIRST_PASS	no alpha5beta1-specific in-vivo perturbation
M23A-Q0268	matrix_receptor_candidate	FN1/fibronectin	alpha8beta1 integrin	FA-associated adhesion	cell adhesion	reviewed_supported	reviewed_supported	not_assessed	human	heterologous HEK model	REVIEWED_FIRST_PASS	no SCI or neural validation
M23A-Q0272	matrix_receptor_candidate	FN1/fibronectin	beta8-containing integrin	neurite outgrowth relay	neural guidance	not_direct_binding	reviewed_supported	reviewed_supported	chick	developmental neural model	REVIEWED_FIRST_PASS	alpha partner unresolved
M23A-Q0275	matrix_receptor_candidate	HSPG2/perlecan	DAG1/dystroglycan	node organization relay	Schwann-cell and node function	reviewed_supported	reviewed_supported	reviewed_supported	rat	neural model	REVIEWED_FIRST_PASS	purified pair biophysics incomplete
M23A-Q0276	matrix_receptor_candidate	IBSP	alphaVbeta3 integrin	adhesion and migration	vascular function	not_direct_binding	reviewed_supported	reviewed_supported	human; chick	vascular model	REVIEWED_FIRST_PASS	no SCI relevance
M23A-Q0277	matrix_receptor_candidate	IBSP	alphaVbeta5 integrin	adhesion and migration	tumor-cell function	not_direct_binding	reviewed_supported	reviewed_supported	human	tumor model	REVIEWED_FIRST_PASS	no neural or SCI relevance
M23A-Q0279	matrix_receptor_candidate	LAMA1/laminin-1	DAG1/dystroglycan	basement-membrane association	neural stem-cell function	reviewed_supported	reviewed_supported	not_assessed	rabbit; mouse	cross-context neural model	REVIEWED_FIRST_PASS	isolated LAMA1 and SCI relay unresolved
M23A-Q0282	matrix_receptor_candidate	LAMA1/laminin-1	alpha3beta1 integrin	neurite relay	neurite outgrowth	not_direct_binding	reviewed_supported	reviewed_supported	chick; rat; mouse	neural model	REVIEWED_FIRST_PASS	complex and isoform context
M23A-Q0283	matrix_receptor_candidate	LAMA1/laminin-1	alpha6beta1 integrin	attachment relay	neural attachment	not_direct_binding	reviewed_supported	reviewed_supported	chick; rat; mouse	neural model	REVIEWED_FIRST_PASS	no purified binding
M23A-Q0285	matrix_receptor_candidate	LAMA1/laminin-rich matrix	alpha7beta1 integrin	neurite relay	neural regeneration	not_direct_binding	reviewed_supported	reviewed_supported	mouse	neural injury model	REVIEWED_FIRST_PASS	laminin isoform unresolved
M23A-Q0287	matrix_receptor_candidate	LAMA1/laminin-1	beta8-containing integrin	neurite outgrowth relay	neural guidance	not_direct_binding	reviewed_supported	reviewed_supported	chick	developmental neural model	REVIEWED_FIRST_PASS	alpha partner unresolved
M23A-Q0289	matrix_receptor_candidate	LAMA2/laminin-2	DAG1/dystroglycan	axon-glia association	Schwann-cell function	reviewed_supported	reviewed_supported	reviewed_supported	mouse; rat	neural model	REVIEWED_FIRST_PASS	downstream branch incomplete
M23A-Q0292	matrix_receptor_candidate	LAMA2/laminin-2	alpha3beta1 integrin	neurite relay	neural outgrowth	not_direct_binding	reviewed_supported	reviewed_supported	mouse	neural model	REVIEWED_FIRST_PASS	no purified binding
M23A-Q0293	matrix_receptor_candidate	LAMA2/laminin-2	alpha6beta1 integrin	ILK-PI3K-AKT relay	myelination and spreading	not_direct_binding	reviewed_supported	reviewed_supported	mouse	nervous-system model	REVIEWED_FIRST_PASS	isoform preference model dependent
M23A-Q0294	matrix_receptor_candidate	LAMA2/laminin-2	alpha6beta4 integrin	Schwann-cell relay	myelination	not_direct_binding	not_assessed	reviewed_supported	mouse; rat	neural model	REVIEWED_FIRST_PASS	no pair-specific binding
M23A-Q0295	matrix_receptor_candidate	LAMA2/laminin-2	alpha7beta1 integrin	FAK-associated relay	axon sorting and Schwann differentiation	reviewed_supported	reviewed_supported	reviewed_supported	mouse	neural model	REVIEWED_FIRST_PASS	downstream branch incomplete
M23A-Q0302	matrix_receptor_candidate	LAMA3/LAMB3/LAMC2 laminin-332	alpha3beta1 integrin	FAK/SRC focal-contact relay	laminin-332 adhesion and invasion	reviewed_supported	reviewed_supported	reviewed_supported	human; rat	non-SCI epithelial/carcinoma models	REVIEWED_FIRST_PASS	assembled trimer evidence; isolated LAMA3 not tested
M23A-Q0303	matrix_receptor_candidate	LAMA3/LAMB3/LAMC2 laminin-332	alpha6beta1 integrin	matrix adhesion relay	laminin-332 adhesion	reviewed_supported	reviewed_supported	not_assessed	human recombinant	non-SCI biochemical model	REVIEWED_FIRST_PASS	assembled trimer evidence; no SCI model
M23A-Q0304	matrix_receptor_candidate	LAMA3/LAMB3/LAMC2 laminin-332	alpha6beta4 integrin	hemidesmosome relay	stable matrix adhesion	reviewed_supported	reviewed_supported	reviewed_supported	human	non-SCI epithelial model	REVIEWED_FIRST_PASS	assembled trimer evidence; no SCI model
M23A-Q0313	matrix_receptor_candidate	LAMA4/LAMB1/LAMC1 laminin-411	alpha6beta1 integrin	matrix adhesion relay	laminin-411 adhesion	reviewed_supported	reviewed_supported	not_assessed	human recombinant	non-SCI biochemical model	REVIEWED_FIRST_PASS	modest binding; no neural/SCI model
M23A-Q0315	matrix_receptor_candidate	LAMA4/LAMB1/LAMC1 laminin-411	alpha7X1beta1 integrin	matrix adhesion relay	laminin-411 adhesion	reviewed_supported	reviewed_supported	not_assessed	human recombinant	non-SCI biochemical model	REVIEWED_FIRST_PASS	splice-form resolved; generic queue receptor retained as hold
M23A-Q0319	matrix_receptor_candidate	LAMA5-containing laminin-511	DAG1/alpha-dystroglycan	matrix binding relay	hiPSC adhesion and survival	reviewed_supported	reviewed_supported	not_assessed	human; mouse	non-SCI hiPSC/biochemical model	REVIEWED_FIRST_PASS	LM511-E8 binding weaker than alpha5 peptide evidence
M23A-Q0322	matrix_receptor_candidate	LAMA5/LAMB1-or-LAMB2/LAMC1 laminin-511/521	alpha3beta1 integrin	matrix adhesion relay	laminin-511/521 adhesion	reviewed_supported	reviewed_supported	not_assessed	human recombinant	non-SCI biochemical model	REVIEWED_FIRST_PASS	LM511 versus LM521 beta-chain unresolved
M23A-Q0323	matrix_receptor_candidate	LAMA5/LAMB1/LAMC1 laminin-511	alpha6beta1 integrin	Fyn-RhoA-ROCK and PI3K relay	hiPSC survival	reviewed_supported	reviewed_supported	reviewed_supported	human	non-SCI hiPSC model	REVIEWED_FIRST_PASS	scaffold-associated signaling; not receptor-only genetics
M23A-Q0324	matrix_receptor_candidate	LAMA5/LAMB1-or-LAMB2/LAMC1 laminin-511/521	alpha6beta4 integrin	matrix adhesion relay	laminin-511/521 adhesion	reviewed_supported	reviewed_supported	not_assessed	human recombinant	non-SCI biochemical model	REVIEWED_FIRST_PASS	assembled complex evidence; no isolated chain assignment
M23A-Q0325	matrix_receptor_candidate	LAMA5/LAMB1-or-LAMB2/LAMC1 laminin-511/521	alpha7 splice-variant beta1 integrins	matrix adhesion relay	laminin-511/521 adhesion	reviewed_supported	reviewed_supported	not_assessed	human recombinant	non-SCI biochemical model	REVIEWED_FIRST_PASS	splice-form resolution retained
M23A-Q0352	matrix_receptor_candidate	LAMA3/LAMB3/LAMC2 laminin-332	alpha3beta1 integrin	matrix adhesion relay	laminin-332 adhesion	reviewed_supported	reviewed_supported	not_assessed	human	non-SCI epithelial/biochemical model	REVIEWED_FIRST_PASS	assembled trimer; not isolated LAMB3
M23A-Q0353	matrix_receptor_candidate	LAMA3/LAMB3/LAMC2 laminin-332	alpha6beta1 integrin	matrix adhesion relay	laminin-332 adhesion	reviewed_supported	reviewed_supported	not_assessed	human recombinant	non-SCI biochemical model	REVIEWED_FIRST_PASS	assembled trimer; not isolated LAMB3
M23A-Q0354	matrix_receptor_candidate	LAMA3/LAMB3/LAMC2 laminin-332	alpha6beta4 integrin	hemidesmosome relay	laminin-332 adhesion	reviewed_supported	reviewed_supported	reviewed_supported	human; mouse	non-SCI epithelial model	REVIEWED_FIRST_PASS	assembled trimer; not isolated LAMB3
M23A-Q0362	matrix_receptor_candidate	LAMA5/LAMB1-or-LAMB2/LAMC1 laminin-511/521	alpha3beta1 integrin	matrix adhesion relay	laminin-511/521 adhesion	reviewed_supported	reviewed_supported	not_assessed	human recombinant	non-SCI biochemical model	REVIEWED_FIRST_PASS	LAMC1 is not isolated ligand
M23A-Q0363	matrix_receptor_candidate	LAMA5/LAMB1-or-LAMB2/LAMC1 laminin-511/521	alpha6beta1 integrin	matrix adhesion relay	laminin-511/521 adhesion and Akt context	reviewed_supported	reviewed_supported	reviewed_supported	human	non-SCI epithelial model	REVIEWED_FIRST_PASS	assembled complex and downstream relay remain distinct
M23A-Q0364	matrix_receptor_candidate	LAMA5/LAMB1-or-LAMB2/LAMC1 laminin-511/521	alpha6beta4 integrin	matrix adhesion relay	laminin-511/521 adhesion	reviewed_supported	reviewed_supported	not_assessed	human recombinant	non-SCI biochemical model	REVIEWED_FIRST_PASS	assembled complex; not isolated LAMC1
M23A-Q0365	matrix_receptor_candidate	LAMC1-containing laminin complexes	alpha7 splice-variant beta1 integrins	matrix adhesion relay	laminin adhesion	reviewed_supported	reviewed_supported	not_assessed	human recombinant	non-SCI biochemical model	REVIEWED_FIRST_PASS	splice and isoform dependence
M23A-Q0371	matrix_receptor_candidate	LAMA3/LAMB3/LAMC2 laminin-5	alpha2beta1 integrin	gamma2 short-arm relay	laminin-5 migration	reviewed_supported	reviewed_supported	not_assessed	human	non-SCI epithelial model	REVIEWED_FIRST_PASS	assembled laminin-5; not isolated LAMB3
M23A-Q0372	matrix_receptor_candidate	LAMA3/LAMB3/LAMC2 laminin-332	alpha3beta1 integrin	gamma2-dependent binding	laminin-332 adhesion	reviewed_supported	reviewed_supported	not_assessed	human; rat	non-SCI epithelial model	REVIEWED_FIRST_PASS	trimer context
M23A-Q0373	matrix_receptor_candidate	LAMA3/LAMB3/LAMC2 laminin-332	alpha6beta1 integrin	matrix adhesion relay	laminin-332 adhesion	reviewed_supported	reviewed_supported	not_assessed	human recombinant	non-SCI biochemical model	REVIEWED_FIRST_PASS	not isolated LAMC2
M23A-Q0374	matrix_receptor_candidate	LAMA3/LAMB3/LAMC2 laminin-332	alpha6beta4 integrin	hemidesmosome relay	laminin-332 adhesion	reviewed_supported	reviewed_supported	not_assessed	human; mouse	non-SCI epithelial model	REVIEWED_FIRST_PASS	not isolated LAMC2
M23A-Q0388	matrix_receptor_candidate	NPNT	alpha8beta1 integrin	GDNF developmental relay	kidney morphogenesis	reviewed_supported	reviewed_supported	reviewed_supported	mouse	developmental kidney model	REVIEWED_FIRST_PASS	Fraser complex is scaffold context
M23A-Q0389	matrix_receptor_candidate	NPNT	alpha8beta1 integrin	GDNF developmental relay	kidney morphogenesis	reviewed_supported	reviewed_supported	reviewed_supported	mouse	developmental kidney model	REVIEWED_FIRST_PASS	Fraser complex is scaffold context
M23A-Q0390	guidance_receptor_candidate	RELN	alpha3beta1 integrin	Dab1 relay	neuronal migration	reviewed_supported	reviewed_supported	reviewed_supported	mouse	developmental neural model	REVIEWED_FIRST_PASS	no SCI model
M23A-Q0391	matrix_receptor_candidate	THBS1	CD36	Fyn/Syk/VEGFR2 relay	angiogenic switch	reviewed_supported	reviewed_supported	reviewed_supported	human; mouse	non-SCI endothelial model	REVIEWED_FIRST_PASS	binding and relay separate
M23A-Q0392	matrix_receptor_candidate	THBS1	alpha3beta1 integrin	adhesion/chemotaxis relay	cell adhesion	reviewed_supported	reviewed_supported	reviewed_supported	human; bovine	non-SCI cell model	REVIEWED_FIRST_PASS	conformation and activation dependent
M23A-Q0393	matrix_receptor_candidate	THBS1	alphaVbeta3 integrin	RGD adhesion relay	cell adhesion	not_direct_binding	reviewed_supported	not_assessed	bovine	non-SCI endothelial model	REVIEWED_FIRST_PASS	no purified alphaVbeta3 binding
M23A-Q0394	matrix_receptor_candidate	THBS1	SDC1	heparan-sulfate adhesion	cell spreading	not_direct_binding	reviewed_supported	not_assessed	mouse; human	non-SCI cell model	REVIEWED_FIRST_PASS	syndecan heparan-sulfate context
M23A-Q0395	matrix_receptor_candidate	THBS1	SDC4	PKC-Akt relay	endothelial tubulogenesis	not_direct_binding	reviewed_supported	reviewed_supported	human	non-SCI endothelial model	REVIEWED_FIRST_PASS	fragment/receptor study
M23A-Q0396	matrix_receptor_candidate	THBS2	CD36	antiangiogenic relay	angiogenesis	reviewed_supported	reviewed_supported	reviewed_supported	mouse	non-SCI in-vivo model	REVIEWED_FIRST_PASS	binding and function separate
M23A-Q0398	matrix_receptor_candidate	THBS2	alphaVbeta3 integrin	PLCbeta-PKCalpha-c-Src-NFkB relay	migration	not_direct_binding	reviewed_supported	reviewed_supported	human; mouse	non-SCI cancer/in-vivo model	REVIEWED_FIRST_PASS	no purified alphaVbeta3 binding
M23A-Q0408	matrix_receptor_candidate	THBS4	alphaVbeta3 integrin	p38 inflammatory relay	PMN/macrophage adhesion	not_direct_binding	reviewed_supported	not_assessed	human; mouse	non-SCI inflammatory model	REVIEWED_FIRST_PASS	no purified binding
M23A-Q0412	matrix_receptor_candidate	TNC	alpha8beta1 integrin	RGD adhesion relay	cell adhesion	reviewed_supported	reviewed_supported	not_assessed	human; chick	non-SCI neural/adhesion model	REVIEWED_FIRST_PASS	fragment/full-length boundary
M23A-Q0413	matrix_receptor_candidate	TNC	alpha9beta1 integrin	IDG/AEIDGIEL binding	cell adhesion	reviewed_supported	reviewed_supported	not_assessed	human; chicken	non-SCI transfectant model	REVIEWED_FIRST_PASS	no SCI model
M23A-Q0414	matrix_receptor_candidate	TNC	alphaVbeta3 integrin	RGD binding and EGFR relay	adhesion/growth	reviewed_supported	reviewed_supported	reviewed_supported	human; rat	non-SCI vascular model	REVIEWED_FIRST_PASS	binding and relay separate
M23A-Q0415	matrix_receptor_candidate	TNC	alphaVbeta6 integrin	FAK/EMT relay	cell function	reviewed_supported	reviewed_supported	reviewed_supported	human	non-SCI cancer model	REVIEWED_FIRST_PASS	cellular receptor assignment
M23A-Q0417	matrix_receptor_candidate	TNC processed peptide	SDC4	beta1 activation relay	adhesion	not_direct_binding	reviewed_supported	not_assessed	human-derived	non-SCI cell model	REVIEWED_FIRST_PASS	processed peptide, not intact TNC
M23A-Q0435	matrix_receptor_candidate	TNXB FNIII9-10 fragment	alphaVbeta3 integrin	cryptic RGD adhesion	cell adhesion	reviewed_supported	reviewed_supported	not_assessed	bovine; human	non-SCI cell model	REVIEWED_FIRST_PASS	fragment-only evidence
M23A-Q0439	matrix_receptor_candidate	VTN altered conformation	alphaIIbbeta3 integrin	conformation-specific binding	platelet adhesion	reviewed_supported	reviewed_supported	not_assessed	human	non-SCI biochemical model	REVIEWED_FIRST_PASS	native VTN negative in assay
M23A-Q0440	matrix_receptor_candidate	VTN	alpha8beta1 integrin	RGD adhesion relay	cell adhesion	reviewed_supported	reviewed_supported	not_assessed	human	non-SCI transfectant model	REVIEWED_FIRST_PASS	no injury model
M23A-Q0441	matrix_receptor_candidate	VTN	alphaVbeta1 integrin	adhesion/migration relay	cell migration	not_direct_binding	reviewed_supported	reviewed_supported	avian; human	non-SCI cellular model	REVIEWED_FIRST_PASS	cellular receptor function
M23A-Q0442	matrix_receptor_candidate	VTN	alphaVbeta3 integrin	RGD binding and cytoskeletal relay	cell adhesion	reviewed_supported	reviewed_supported	not_assessed	human	non-SCI biochemical/cell model	REVIEWED_FIRST_PASS	binding and relay separate
M23A-Q0443	matrix_receptor_candidate	VTN	alphaVbeta5 integrin	receptor-mediated adhesion/endocytosis	cell function	not_direct_binding	reviewed_supported	not_assessed	human	non-SCI cancer model	REVIEWED_FIRST_PASS	cellular evidence only
M23A-Q0444	matrix_receptor_candidate	VTN	alphaVbeta8 integrin	RGD binding context	cell adhesion	reviewed_supported	not_assessed	not_assessed	human recombinant	non-SCI biochemical model	REVIEWED_FIRST_PASS	weak/marginal later screen
M23A-Q0445	matrix_receptor_candidate	VWF	alphaIIbbeta3 integrin	RGDS platelet branch	platelet capture/arrest	reviewed_supported	reviewed_supported	not_assessed	human; mouse	platelet/in-vivo model	REVIEWED_FIRST_PASS	GPIB alpha capture distinct
M23A-Q0446	matrix_receptor_candidate	VWF	alphaVbeta3 integrin	RGD endothelial relay	endothelial adhesion	not_direct_binding	reviewed_supported	not_assessed	human	non-SCI endothelial model	REVIEWED_FIRST_PASS	cellular receptor function
M23A-Q0449	matrix_receptor_candidate	activated A2M	LRP1	Src-Trk-ERK/Akt-CREB relay	neurite/survival	reviewed_supported	reviewed_supported	reviewed_supported	human; rat; mouse	neural models	REVIEWED_FIRST_PASS	activated ligand only
M23A-Q0450	neuropeptide_receptor_candidate	PACAP/ADCYAP1	PAC1/ADCYAP1R1	PLC/PKC/Src-ERK relay	ERK/CREB neuritogenesis	reviewed_supported	reviewed_supported	reviewed_supported	rat; guinea pig; human	non-SCI neural models	REVIEWED_FIRST_PASS	splice/endosomal context
M23A-Q0451	neuropeptide_receptor_candidate	PACAP/ADCYAP1	SCTR	Gs/cAMP relay	cAMP output	reviewed_supported	not_assessed	not_assessed	rat; human	non-SCI recombinant model	REVIEWED_FIRST_PASS	weak cross-reactivity
M23A-Q0452	neuropeptide_receptor_candidate	PACAP/ADCYAP1	VPAC1	cAMP/ERK context	synaptic function	not_direct_binding	reviewed_supported	not_assessed	rat; human	non-SCI model	REVIEWED_FIRST_PASS	exact subtype binding unresolved
M23A-Q0453	neuropeptide_receptor_candidate	PACAP/ADCYAP1	VPAC2	PKA/ERK context	neuronal function	not_direct_binding	not_assessed	reviewed_supported	rat; human	non-SCI model	REVIEWED_FIRST_PASS	exact subtype binding unresolved
M23A-Q0454	metabolic_receptor_candidate	ADIPOQ	ADIPOR1	APPL1-AMPK/ERK	eNOS/metabolic output	not_direct_binding	reviewed_supported	reviewed_supported	human; mouse; rat	non-SCI model	REVIEWED_FIRST_PASS	receptor subtype jointly perturbed
M23A-Q0455	metabolic_receptor_candidate	ADIPOQ	ADIPOR2	APPL1-AMPK/Src/Ras/ERK	metabolic output	not_direct_binding	reviewed_supported	reviewed_supported	human; mouse; rat	non-SCI model	REVIEWED_FIRST_PASS	receptor subtype jointly perturbed
