batch_rank	tf_key	display_symbols	species_scopes	source_registries	source_versions	identity_catalogs	identity_source_count	tflink_target_count	identifier_flags	selection_reason	evidence_readiness
16	grhl3	GRHL3;Grhl3	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	5	11800		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
17	znf281	ZNF281;Znf281	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	5	11705		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
18	zbtb26	ZBTB26;Zbtb26	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	5	11110		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
19	zkscan1	ZKSCAN1;Zkscan1	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	6	10925		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
20	mecom	MECOM;Mecom	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	5	10441		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
21	znf639	ZNF639	human	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	3	10167		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
22	hivep3	HIVEP3;Hivep3	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	5	10104		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
23	zscan22	ZSCAN22;Zscan22	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	4	9719		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
24	zhx1	ZHX1;Zhx1	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	4	9529		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
25	znf341	ZNF341	human;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	4	9141		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
26	sp140	SP140;Sp140	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	4	8966		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
27	znf580	ZNF580	human	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	3	8526		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
28	prdm9	PRDM9;Prdm9	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	6	8475		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
29	cenpa	CENPA;Cenpa	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	4	8466		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
30	purb	PURB;Purb	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	4	8316		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
31	neurod2	NEUROD2;Neurod2	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	6	8268		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
32	znf35	ZNF35	human;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	4	8192		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
33	znf83	ZNF83	human	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	3	7805		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
34	mxd3	MXD3;Mxd3	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	4	7746		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
35	homez	HOMEZ;Homez	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	5	7606		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
36	znf574	ZNF574	human;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	4	7576		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
37	znf467	ZNF467	human	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	3	7503		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
38	ikzf5	IKZF5;Ikzf5	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	4	7463		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
39	znf207	ZNF207	human	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	3	7234		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
40	znf48	ZNF48	human	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	3	7155		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
41	foxk1	FOXK1;Foxk1	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	6	7136		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
42	prdm10	PRDM10;Prdm10	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	4	7102		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
43	gmeb2	GMEB2;Gmeb2	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	5	7051		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
44	zbtb11	ZBTB11;Zbtb11	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	5	6758		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
45	zfhx2	ZFHX2;Zfhx2	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	4	6477		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
46	mynn	MYNN;Mynn	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	4	6301		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
47	znf770	ZNF770	human;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	4	6255		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
48	fezf2	FEZF2;Fezf2	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	5	6048		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
49	znf792	ZNF792	human	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	3	6025		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
50	znf823	ZNF823	human	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	3	5994		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
51	myt1l	MYT1L;Myt1l	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	5	5915		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
52	ovol2	OVOL2;Ovol2	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	6	5906		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
53	patz1	PATZ1;Patz1	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	5	5888		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
54	tgif2	TGIF2;Tgif2	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	6	5873		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
55	znf554	ZNF554	human	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	3	5871		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
56	zscan9	ZSCAN9	human	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	3	5669		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
57	zbtb40	ZBTB40;Zbtb40	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	5	5552		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
58	zbtb25	ZBTB25;Zbtb25	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	4	5539		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
59	zkscan8	ZKSCAN8;Zkscan8	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	4	5483		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
60	fezf1	FEZF1;Fezf1	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	4	5480		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
61	znf652	ZNF652;Znf652	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	5	5479		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
62	zgpat	ZGPAT;Zgpat	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	4	5439		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
63	npas4	NPAS4;Npas4	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	5	5326		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
64	znf750	ZNF750	human	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	3	5273		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
65	zbed1	ZBED1	human;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	4	5199		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
66	znf644	ZNF644	human	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	3	5183		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
67	yy2	YY2;Yy2	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	6	5144		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
68	zfat	ZFAT;Zfat	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	5	5142		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
69	scrt1	SCRT1;Scrt1	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	5	5124		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
70	hoxa6	HOXA6;Hoxa6	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	5	5091		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
71	znf18	ZNF18	human;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	4	4992		Top TFLink target-count rank among clean dual-catalog identity candidates; identity support is independent of target evidence.	identity_supported_pair_unverified
