review_id	batch_id	batch_rank	regulator_key	regulator_symbol	species_scope	source_registry	source_record_id	raw_tf_symbol	target_symbol	target_graph_modules	candidate_membership_status	exact_pair_search_url	exact_pair_status	regulator_general_evidence_status	cell_or_model_context	target_cell_presence_status	binding_or_association_status	downstream_expression_or_perturbation_status	downstream_activation_status	upstream_relay_status	disposition	primary_citation	corroborating_citation	near_match_exclusions	review_notes	exportable	canonical_write_performed
public_tf_evidence_batch002_pair_071	public_tf_evidence_batch_002	18	osr2	OSR2	human	TFLink	tflink:human:001171:5129f1ee7e86	OSR2	ADAM17	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22OSR2%22+AND+%22ADAM17%22+AND+human	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence_not_exact_target	Human fibroblast reprogramming/EMT and HEK293 tagged-protein ChIP models establish OSR2 as a regulator, but no queued ADAM17 experiment was located.	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only			ADAM17 sheddase and signaling studies without OSR2; OSR2 target studies at developmental genes.	No exact regulator-target-species evidence was located. Protease biology was not interpreted as TF regulation.	false	false
public_tf_evidence_batch002_pair_072	public_tf_evidence_batch_002	18	osr2	OSR2	human	TFLink	tflink:human:001171:5129f1ee7e86	OSR2	ADCYAP1	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22OSR2%22+AND+%22ADCYAP1%22+AND+human	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence_not_exact_target	Human fibroblast reprogramming/EMT and HEK293 tagged-protein ChIP models establish OSR2 as a regulator, but no queued ADCYAP1 experiment was located.	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only			ADCYAP1 expression and neuroendocrine studies without OSR2; OSR2 target studies at developmental genes.	No exact regulator-target-species evidence was located. Co-expression or pathway adjacency was not used for promotion.	false	false
public_tf_evidence_batch002_pair_073	public_tf_evidence_batch_002	19	zscan9	ZSCAN9	human	TFLink	tflink:human:000999:87845b461f3a	ZSCAN9	A2M	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22ZSCAN9%22+AND+%22A2M%22+AND+human	no_exact_pair_support_found_in_bounded_search	limited_regulator_evidence_not_exact_target	No qualifying human ZSCAN9 target-cell or mechanistic regulator study was located; only expression, annotation, and broad omics mentions were found.	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only			A2M and ZSCAN9 co-occurrence in broad omics lists; no ZSCAN9 occupancy or perturbation assay.	No exact regulator-target-species evidence was located in the bounded PubMed/PMC review. ZSCAN9 identity/annotation records were not counted as functional evidence.	false	false
public_tf_evidence_batch002_pair_074	public_tf_evidence_batch_002	19	zscan9	ZSCAN9	human	TFLink	tflink:human:000999:87845b461f3a	ZSCAN9	ABCA1	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22ZSCAN9%22+AND+%22ABCA1%22+AND+human	no_exact_pair_support_found_in_bounded_search	limited_regulator_evidence_not_exact_target	No qualifying human ZSCAN9 target-cell or mechanistic regulator study was located; only expression, annotation, and broad omics mentions were found.	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only			https://pmc.ncbi.nlm.nih.gov/articles/PMC10467207/ (ZSCAN9 and A2M/omics list, not ABCA1 regulation); ABCA1 studies without ZSCAN9.	No exact regulator-target-species evidence was located. LXR/ABCA1 or miRNA/ABCA1 evidence was not transferred to ZSCAN9.	false	false
public_tf_evidence_batch002_pair_075	public_tf_evidence_batch_002	19	zscan9	ZSCAN9	human	TFLink	tflink:human:000999:87845b461f3a	ZSCAN9	ACKR2	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22ZSCAN9%22+AND+%22ACKR2%22+AND+human	no_exact_pair_support_found_in_bounded_search	limited_regulator_evidence_not_exact_target	No qualifying human ZSCAN9 target-cell or mechanistic regulator study was located; only expression, annotation, and broad omics mentions were found.	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only			https://pmc.ncbi.nlm.nih.gov/articles/PMC11535233/ (HIF1A-ACKR2 promoter regulation, not ZSCAN9); ZSCAN9 expression lists without target assays.	No exact regulator-target-species evidence was located. Gene-list co-occurrence and unrelated ACKR2 regulation were excluded.	false	false
public_tf_evidence_batch002_pair_076	public_tf_evidence_batch_002	19	zscan9	ZSCAN9	human	TFLink	tflink:human:000999:87845b461f3a	ZSCAN9	ACVR1	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22ZSCAN9%22+AND+%22ACVR1%22+AND+human	no_exact_pair_support_found_in_bounded_search	limited_regulator_evidence_not_exact_target	No qualifying human ZSCAN9 target-cell or mechanistic regulator study was located; only expression, annotation, and broad omics mentions were found.	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only			https://pmc.ncbi.nlm.nih.gov/articles/PMC10966518/ (PRC2/EZH2-ACVR1 repression, not ZSCAN9); ZSCAN9/ACVR1 co-occurrence in omics lists excluded.	No exact regulator-target-species evidence was located. ACVR1 pathway evidence without ZSCAN9 was not used.	false	false
public_tf_evidence_batch002_pair_077	public_tf_evidence_batch_002	20	zbtb6	ZBTB6	human	TFLink	tflink:human:001199:bfeb2219a24f	ZBTB6	ACKR2	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22ZBTB6%22+AND+%22ACKR2%22+AND+human	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence_not_exact_target	Human HEK293 GFP-tagged ChIP-seq and breast-cancer cell studies establish ZBTB6 regulator activity, but no queued ACKR2 experiment was located.	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only			https://pmc.ncbi.nlm.nih.gov/articles/PMC11535233/ (HIF1A-ACKR2 promoter regulation, not ZBTB6); ACKR2 studies without ZBTB6.	ZBTB6-ARHGAP6 evidence and broad ChIP-seq establish regulator capacity only; they do not establish ZBTB6-ACKR2.	false	false
public_tf_evidence_batch002_pair_078	public_tf_evidence_batch_002	20	zbtb6	ZBTB6	human	TFLink	tflink:human:001199:bfeb2219a24f	ZBTB6	ACVR1	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22ZBTB6%22+AND+%22ACVR1%22+AND+human	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence_not_exact_target	Human HEK293 GFP-tagged ChIP-seq and breast-cancer cell studies establish ZBTB6 regulator activity, but no queued ACVR1 experiment was located.	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only			https://pmc.ncbi.nlm.nih.gov/articles/PMC4015442/ (ACVR1 promoter regulation by other TFs, not ZBTB6); https://pmc.ncbi.nlm.nih.gov/articles/PMC10966518/ (PRC2/ACVR1 pathway, not ZBTB6).	No exact regulator-target-species evidence was located. ACVR1 promoter evidence involving other factors was not transferred to ZBTB6.	false	false
public_tf_evidence_batch002_pair_079	public_tf_evidence_batch_002	20	zbtb6	ZBTB6	human	TFLink	tflink:human:001199:bfeb2219a24f	ZBTB6	ACVR1C	20B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22ZBTB6%22+AND+%22ACVR1C%22+AND+human	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence_not_exact_target	Human HEK293 GFP-tagged ChIP-seq and breast-cancer cell studies establish ZBTB6 regulator activity, but no queued ACVR1C experiment was located.	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only			ACVR1C receptor/metabolic studies without ZBTB6; ZBTB6 target studies at ARHGAP6 and other non-queued genes.	No exact regulator-target-species evidence was located. ZBTB6 general regulator evidence was kept separate from ACVR1C.	false	false
public_tf_evidence_batch002_pair_080	public_tf_evidence_batch_002	20	zbtb6	ZBTB6	human	TFLink	tflink:human:001199:bfeb2219a24f	ZBTB6	ADAM10	23B	database_attributed_candidate_not_verified	https://pubmed.ncbi.nlm.nih.gov/?term=%22ZBTB6%22+AND+%22ADAM10%22+AND+human	no_exact_pair_support_found_in_bounded_search	supported_general_regulator_evidence_not_exact_target	Human HEK293 GFP-tagged ChIP-seq and breast-cancer cell studies establish ZBTB6 regulator activity, but no queued ADAM10 experiment was located.	not_established_for_exact_pair	not_found_for_exact_pair	not_found_for_exact_pair	not_assessed	not_tested_for_exact_pair	retain_database_candidate_as_search_lead_only			https://pmc.ncbi.nlm.nih.gov/articles/PMC4279728/ (ADAM10/Notch biology without ZBTB6); ZBTB6-ARHGAP6 regulation is a different target.	No exact regulator-target-species evidence was located. ADAM10 protease biology and the ZBTB6-ARHGAP6 paper were not conflated.	false	false
