review_id	pair_key	pair_label_canonical	review_priority	review_priority_rationale	original_confidence	review_status	search_attempt_count	last_search_iteration	agent_verdict	source_locators	species_support	support_kind	evidence_summary	limitations	evidence_class	curator_status	next_review_trigger
M20A-CELLCHAT-REMAINING-0022	5-ht-dopa-ddc htr2c	5-HT-DOPA-DDC Htr2c	8	cellchat_remaining_discovery	low	reviewed	1	cellchat_remaining_batch_001	retain_low	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	human;recombinant CHO-K1 cells	direct_receptor_activation_contextual	PMID 10498829 expressed human HTR2C in CHO-K1 cells and showed robust concentration-dependent 5-HT-induced intracellular Ca2+ responses absent in non-transfected controls.	DOPA and DDC are synthesis components, not the tested ligand; assay is recombinant activation rather than a test of the composite source genes.	exact_or_contextual_cellchat_evidence	retained_low	Review exact citation, species, and receptor-complex scope before any confidence promotion.
M20A-CELLCHAT-REMAINING-0023	5-ht-dopa-ddc htr3a	5-HT-DOPA-DDC Htr3a	8	cellchat_remaining_discovery	low	reviewed	1	cellchat_remaining_batch_001	retain_low	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	human and mammalian HTR3 systems;Xenopus oocytes	direct_receptor_activation_contextual	PMID 1718042 isolated a 5-HT3 clone and demonstrated serotonin-gated currents in Xenopus oocytes; PMID 10521471 showed human HTR3A responses and modulation by HTR3B coexpression.	DOPA and DDC are synthesis components, not the tested ligand; the initial 5-HT3 clone and later HTR3A chain should be distinguished from the full receptor complex.	exact_or_contextual_cellchat_evidence	retained_low	Review exact citation, species, and receptor-complex scope before any confidence promotion.
M20A-CELLCHAT-REMAINING-0024	5-ht-dopa-ddc htr3b	5-HT-DOPA-DDC Htr3b	8	cellchat_remaining_discovery	low	reviewed	1	cellchat_remaining_batch_001	retain_low	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	human HTR3A/HTR3B recombinant system	receptor_complex_modulatory_function_contextual	PMID 10521471 cloned human HTR3B and showed that coexpression with HTR3A changes 5-HT3 agonist-response kinetics, voltage dependence, and pharmacology.	HTR3B is a modulatory subunit and not a standalone 5-HT-gated receptor in this study; DOPA/DDC are synthesis components, not ligand.	exact_or_contextual_cellchat_evidence	retained_low	Review exact citation, species, and receptor-complex scope before any confidence promotion.
M20A-CELLCHAT-REMAINING-0028	5-ht-dopa-ddc htr7	5-HT-DOPA-DDC Htr7	8	cellchat_remaining_discovery	low	reviewed	1	cellchat_remaining_batch_001	retain_low	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	mammalian 5-HT7 literature summarized in review; exact assay species not established here	review_only_contextual	PMID 20923682 is a review of serotonin 5-HT7 receptor agents and pharmacology and supports mature 5-HT7 biology at a contextual level.	No exact primary 5-HT7 assay is among the cited locators; DOPA/DDC are synthesis components, not ligand.	exact_or_contextual_cellchat_evidence	retained_low	Review exact citation, species, and receptor-complex scope before any confidence promotion.
M20A-CELLCHAT-REMAINING-0029	5-ht-tph1_slc18a1 htr1a	5-HT-TPH1_SLC18A1 Htr1a	8	cellchat_remaining_discovery	low	reviewed	1	cellchat_remaining_batch_001	retain_low	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	rat;recombinant Ltk- and GH4C1 cells	direct_binding_and_receptor_activation_contextual	PMID 2156831 cloned rat HTR1A and showed 5-HT-displaceable binding plus agonist-dependent inhibition of cAMP in transfected cells.	TPH1 is a biosynthetic enzyme and SLC18A1 a vesicular transporter, not the tested ligand; evidence is mature 5-HT at HTR1A.	exact_or_contextual_cellchat_evidence	retained_low	Review exact citation, species, and receptor-complex scope before any confidence promotion.
M20A-CELLCHAT-REMAINING-0030	5-ht-tph1_slc18a1 htr1b	5-HT-TPH1_SLC18A1 Htr1b	8	cellchat_remaining_discovery	low	reviewed	1	cellchat_remaining_batch_001	retain_low	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	human;recombinant COS-7 cells	direct_binding_contextual	PMID 1610347 expressed human HTR1B in COS-7 membranes and measured specific [3H]5-HT binding with an HTR1B-like profile.	TPH1 is a biosynthetic enzyme and SLC18A1 a vesicular transporter, not the tested ligand; no receptor-dependent functional assay is reported in this citation.	exact_or_contextual_cellchat_evidence	retained_low	Review exact citation, species, and receptor-complex scope before any confidence promotion.
M20A-CELLCHAT-REMAINING-0032	5-ht-tph1_slc18a1 htr1e	5-HT-TPH1_SLC18A1 Htr1e	8	cellchat_remaining_discovery	low	reviewed	1	cellchat_remaining_batch_001	retain_low	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	human;recombinant HEK293 and BS-C-1 cells	direct_binding_and_receptor_activation_contextual	PMID 1608964 cloned human HTR1E and measured saturable [3H]serotonin binding in HEK293 cells; PMID 7984278 showed 5-HT-dependent cAMP responses in transfected BS-C-1 cells.	TPH1/SLC18A1 are source or storage components, not the tested ligand; cited evidence is human HTR1E and does not establish other species.	exact_or_contextual_cellchat_evidence	retained_low	Review exact citation, species, and receptor-complex scope before any confidence promotion.
M20A-CELLCHAT-REMAINING-0034	5-ht-tph1_slc18a1 htr2a	5-HT-TPH1_SLC18A1 Htr2a	8	cellchat_remaining_discovery	low	reviewed	1	cellchat_remaining_batch_001	retain_low	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	human;recombinant CHO-K1 cells	direct_receptor_activation_contextual	PMID 10498829 expressed human HTR2A in CHO-K1 cells and showed 5-HT-induced intracellular Ca2+ responses absent in non-transfected controls.	TPH1/SLC18A1 are source or storage components, not the tested ligand; assay is recombinant activation of mature 5-HT.	exact_or_contextual_cellchat_evidence	retained_low	Review exact citation, species, and receptor-complex scope before any confidence promotion.
M20A-CELLCHAT-REMAINING-0035	5-ht-tph1_slc18a1 htr2b	5-HT-TPH1_SLC18A1 Htr2b	8	cellchat_remaining_discovery	low	reviewed	1	cellchat_remaining_batch_001	retain_low	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	human;recombinant CHO-K1 cells	direct_receptor_activation_contextual	PMID 10498829 expressed human HTR2B in CHO-K1 cells and showed 5-HT-induced intracellular Ca2+ responses absent in non-transfected controls.	TPH1/SLC18A1 are source or storage components, not the tested ligand; assay is recombinant activation of mature 5-HT.	exact_or_contextual_cellchat_evidence	retained_low	Review exact citation, species, and receptor-complex scope before any confidence promotion.
M20A-CELLCHAT-REMAINING-0036	5-ht-tph1_slc18a1 htr2c	5-HT-TPH1_SLC18A1 Htr2c	8	cellchat_remaining_discovery	low	reviewed	1	cellchat_remaining_batch_001	retain_low	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	human;recombinant CHO-K1 cells	direct_receptor_activation_contextual	PMID 10498829 expressed human HTR2C in CHO-K1 cells and showed 5-HT-induced intracellular Ca2+ responses absent in non-transfected controls.	TPH1/SLC18A1 are source or storage components, not the tested ligand; assay is recombinant activation of mature 5-HT.	exact_or_contextual_cellchat_evidence	retained_low	Review exact citation, species, and receptor-complex scope before any confidence promotion.
M20A-CELLCHAT-REMAINING-0037	5-ht-tph1_slc18a1 htr3_complex	5-HT-TPH1_SLC18A1 HTR3_complex	8	cellchat_remaining_discovery	low	reviewed	1	cellchat_remaining_batch_001	retain_low	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	human HTR3A/HTR3B recombinant system;Xenopus oocytes	direct_receptor_complex_function_contextual	PMID 1718042 showed serotonin-gated currents from a 5-HT3 clone in Xenopus oocytes; PMID 10521471 showed human HTR3A/HTR3B coexpression changes 5-HT3 response kinetics and pharmacology.	TPH1/SLC18A1 are source or storage components, not ligand; HTR3 receptor stoichiometry and exact chain composition require curator confirmation.	exact_or_contextual_cellchat_evidence	retained_low	Review exact citation, species, and receptor-complex scope before any confidence promotion.
M20A-CELLCHAT-REMAINING-0041	5-ht-tph1_slc18a1 htr7	5-HT-TPH1_SLC18A1 Htr7	8	cellchat_remaining_discovery	low	reviewed	1	cellchat_remaining_batch_001	retain_low	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	mammalian 5-HT7 literature summarized in review; exact assay species not established here	review_only_contextual	PMID 20923682 is a review of serotonin 5-HT7 receptor agents and pharmacology and supports mature 5-HT7 biology contextually.	No exact primary 5-HT7 assay is among cited locators; TPH1/SLC18A1 are source or storage components, not ligand.	exact_or_contextual_cellchat_evidence	retained_low	Review exact citation, species, and receptor-complex scope before any confidence promotion.
M20A-CELLCHAT-REMAINING-0042	5-ht-tph1_slc18a2 htr1a	5-HT-TPH1_SLC18A2 Htr1a	8	cellchat_remaining_discovery	low	reviewed	1	cellchat_remaining_batch_001	retain_low	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	rat;recombinant Ltk- and GH4C1 cells	direct_binding_and_receptor_activation_contextual	PMID 2156831 cloned rat HTR1A and showed 5-HT-displaceable binding plus agonist-dependent inhibition of cAMP in transfected cells.	TPH1 is a biosynthetic enzyme and SLC18A2 a vesicular transporter, not the tested ligand; evidence is mature 5-HT at HTR1A.	exact_or_contextual_cellchat_evidence	retained_low	Review exact citation, species, and receptor-complex scope before any confidence promotion.
M20A-CELLCHAT-REMAINING-0043	5-ht-tph1_slc18a2 htr1b	5-HT-TPH1_SLC18A2 Htr1b	8	cellchat_remaining_discovery	low	reviewed	1	cellchat_remaining_batch_001	retain_low	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	human;recombinant COS-7 cells	direct_binding_contextual	PMID 1610347 expressed human HTR1B in COS-7 membranes and measured specific [3H]5-HT binding with an HTR1B-like profile.	TPH1 is a biosynthetic enzyme and SLC18A2 a vesicular transporter, not the tested ligand; no receptor-dependent functional assay is reported in this citation.	exact_or_contextual_cellchat_evidence	retained_low	Review exact citation, species, and receptor-complex scope before any confidence promotion.
M20A-CELLCHAT-REMAINING-0045	5-ht-tph1_slc18a2 htr1e	5-HT-TPH1_SLC18A2 Htr1e	8	cellchat_remaining_discovery	low	reviewed	1	cellchat_remaining_batch_001	retain_low	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	human;recombinant HEK293 and BS-C-1 cells	direct_binding_and_receptor_activation_contextual	PMID 1608964 cloned human HTR1E and measured saturable [3H]serotonin binding in HEK293 cells; PMID 7984278 showed 5-HT-dependent cAMP responses in transfected BS-C-1 cells.	TPH1/SLC18A2 are source or storage components, not the tested ligand; cited evidence is human HTR1E and does not establish other species.	exact_or_contextual_cellchat_evidence	retained_low	Review exact citation, species, and receptor-complex scope before any confidence promotion.
M20A-CELLCHAT-REMAINING-0047	5-ht-tph1_slc18a2 htr2a	5-HT-TPH1_SLC18A2 Htr2a	8	cellchat_remaining_discovery	low	reviewed	1	cellchat_remaining_batch_001	retain_low	https://pubmed.ncbi.nlm.nih.gov/2156831/;https://pubmed.ncbi.nlm.nih.gov/1610347/;https://pubmed.ncbi.nlm.nih.gov/1608964/;https://pubmed.ncbi.nlm.nih.gov/7984278/;https://pubmed.ncbi.nlm.nih.gov/1718042/;https://pubmed.ncbi.nlm.nih.gov/10521471/;https://pubmed.ncbi.nlm.nih.gov/10498829/;https://pubmed.ncbi.nlm.nih.gov/20923682/	human;recombinant CHO-K1 cells	direct_receptor_activation_contextual	PMID 10498829 expressed human HTR2A in CHO-K1 cells and showed 5-HT-induced intracellular Ca2+ responses absent in non-transfected controls.	TPH1/SLC18A2 are source or storage components, not the tested ligand; assay is recombinant activation of mature 5-HT.	exact_or_contextual_cellchat_evidence	retained_low	Review exact citation, species, and receptor-complex scope before any confidence promotion.
