pair_key	pair_label_canonical	in_module20a	in_cellchat_priority	in_cellchat_full	in_liana_consensus	module20a_mouse_confidence	module20a_human_confidence	module20a_confidence_extractability	module20a_conservation_status	cellchat_priority_annotations	cellchat_priority_pathways	cellchat_priority_directness	cellchat_priority_source_records
5-ht-tph2_slc18a1 htr7	5-HT-TPH2_SLC18A1 Htr7	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc18a2 htr1a	5-HT-TPH2_SLC18A2 Htr1a	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc18a2 htr1b	5-HT-TPH2_SLC18A2 Htr1b	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc18a2 htr1d	5-HT-TPH2_SLC18A2 Htr1d	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc18a2 htr1e	5-HT-TPH2_SLC18A2 Htr1e	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc18a2 htr1f	5-HT-TPH2_SLC18A2 Htr1f	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc18a2 htr2a	5-HT-TPH2_SLC18A2 Htr2a	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc18a2 htr2b	5-HT-TPH2_SLC18A2 Htr2b	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc18a2 htr2c	5-HT-TPH2_SLC18A2 Htr2c	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc18a2 htr3_complex	5-HT-TPH2_SLC18A2 HTR3_complex	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc18a2 htr4	5-HT-TPH2_SLC18A2 Htr4	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc18a2 htr5a	5-HT-TPH2_SLC18A2 Htr5a	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc18a2 htr6	5-HT-TPH2_SLC18A2 Htr6	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc18a2 htr7	5-HT-TPH2_SLC18A2 Htr7	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc6a4 htr1a	5-HT-TPH2_SLC6A4 Htr1a	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc6a4 htr1b	5-HT-TPH2_SLC6A4 Htr1b	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc6a4 htr1d	5-HT-TPH2_SLC6A4 Htr1d	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc6a4 htr1e	5-HT-TPH2_SLC6A4 Htr1e	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc6a4 htr1f	5-HT-TPH2_SLC6A4 Htr1f	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc6a4 htr2a	5-HT-TPH2_SLC6A4 Htr2a	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc6a4 htr2b	5-HT-TPH2_SLC6A4 Htr2b	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc6a4 htr2c	5-HT-TPH2_SLC6A4 Htr2c	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc6a4 htr3_complex	5-HT-TPH2_SLC6A4 HTR3_complex	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc6a4 htr4	5-HT-TPH2_SLC6A4 Htr4	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc6a4 htr5a	5-HT-TPH2_SLC6A4 Htr5a	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc6a4 htr6	5-HT-TPH2_SLC6A4 Htr6	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5-ht-tph2_slc6a4 htr7	5-HT-TPH2_SLC6A4 Htr7	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
5alphap-dhrs9 pgr	5alphaP-DHRS9 Pgr	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
a atrn	a Atrn	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
a mc1r	a Mc1r	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
a mc2r	a Mc2r	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
a mc3r	a Mc3r	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
a mc4r	a Mc4r	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
a mc5r	a Mc5r	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
a mgrn1	a Mgrn1	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
a2m lrp1	A2m Lrp1	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
aanat mtnr1a	Aanat Mtnr1a	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
aanat mtnr1b	Aanat Mtnr1b	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
ace agtr2	Ace Agtr2	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
ace bdkrb2	Ace Bdkrb2	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
ach-chat_slc10a4 chrm1	Ach-CHAT_SLC10A4 Chrm1	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
ach-chat_slc10a4 chrm2	Ach-CHAT_SLC10A4 Chrm2	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
ach-chat_slc10a4 chrm3	Ach-CHAT_SLC10A4 Chrm3	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
ach-chat_slc10a4 chrm4	Ach-CHAT_SLC10A4 Chrm4	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
ach-chat_slc10a4 chrm5	Ach-CHAT_SLC10A4 Chrm5	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
ach-chat_slc10a4 chrn_a1_2b1de	Ach-CHAT_SLC10A4 CHRN_A1_2B1DE	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
ach-chat_slc10a4 chrn_a1_2b1dg	Ach-CHAT_SLC10A4 CHRN_A1_2B1DG	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
ach-chat_slc10a4 chrn_a3b4	Ach-CHAT_SLC10A4 CHRN_A3B4	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
ach-chat_slc10a4 chrn_a4b2	Ach-CHAT_SLC10A4 CHRN_A4B2	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
ach-chat_slc10a4 chrna7	Ach-CHAT_SLC10A4 Chrna7	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
ach-chat_slc18a3 chrm1	Ach-CHAT_SLC18A3 Chrm1	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
ach-chat_slc18a3 chrm2	Ach-CHAT_SLC18A3 Chrm2	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
ach-chat_slc18a3 chrm3	Ach-CHAT_SLC18A3 Chrm3	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
ach-chat_slc18a3 chrm4	Ach-CHAT_SLC18A3 Chrm4	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
ach-chat_slc18a3 chrm5	Ach-CHAT_SLC18A3 Chrm5	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
ach-chat_slc18a3 chrn_a1_2b1de	Ach-CHAT_SLC18A3 CHRN_A1_2B1DE	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
ach-chat_slc18a3 chrn_a1_2b1dg	Ach-CHAT_SLC18A3 CHRN_A1_2B1DG	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
ach-chat_slc18a3 chrn_a3b4	Ach-CHAT_SLC18A3 CHRN_A3B4	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
ach-chat_slc18a3 chrn_a4b2	Ach-CHAT_SLC18A3 CHRN_A4B2	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
ach-chat_slc18a3 chrna7	Ach-CHAT_SLC18A3 Chrna7	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
ach-chat_slc5a7 chrm1	Ach-CHAT_SLC5A7 Chrm1	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
ach-chat_slc5a7 chrm2	Ach-CHAT_SLC5A7 Chrm2	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
ach-chat_slc5a7 chrm3	Ach-CHAT_SLC5A7 Chrm3	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
ach-chat_slc5a7 chrm4	Ach-CHAT_SLC5A7 Chrm4	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
ach-chat_slc5a7 chrm5	Ach-CHAT_SLC5A7 Chrm5	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
ach-chat_slc5a7 chrn_a1_2b1de	Ach-CHAT_SLC5A7 CHRN_A1_2B1DE	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
ach-chat_slc5a7 chrn_a1_2b1dg	Ach-CHAT_SLC5A7 CHRN_A1_2B1DG	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
ach-chat_slc5a7 chrn_a3b4	Ach-CHAT_SLC5A7 CHRN_A3B4	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
ach-chat_slc5a7 chrn_a4b2	Ach-CHAT_SLC5A7 CHRN_A4B2	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
ach-chat_slc5a7 chrna7	Ach-CHAT_SLC5A7 Chrna7	no	no	yes	no	not_assessed	not_assessed	not_assessed	not_in_module20a				
activin ab acvr1b_acvr2a	Activin Ab Acvr1b_acvr2a	yes	yes	yes	no	uncertain	uncertain	uncertain_or_unassessed	mouse_source_only_in_current_sources	Secreted Signaling	ACTIVIN	seed_candidate_complex_or_cofactor_context	CellChat:INHBABB_ACVR1B_ACVR2A
activin ab acvr1b_acvr2b	Activin Ab Acvr1b_acvr2b	yes	yes	yes	no	uncertain	uncertain	uncertain_or_unassessed	mouse_source_only_in_current_sources	Secreted Signaling	ACTIVIN	seed_candidate_complex_or_cofactor_context	CellChat:INHBABB_ACVR1B_ACVR2B
activin ab acvr1c_acvr2a	Activin Ab Acvr1c_acvr2a	yes	yes	yes	no	uncertain	uncertain	uncertain_or_unassessed	mouse_source_only_in_current_sources	Secreted Signaling	ACTIVIN	seed_candidate_complex_or_cofactor_context	CellChat:INHBABB_ACVR1C_ACVR2A
activin ab acvr1c_acvr2b	Activin Ab Acvr1c_acvr2b	yes	yes	yes	no	uncertain	uncertain	uncertain_or_unassessed	mouse_source_only_in_current_sources	Secreted Signaling	ACTIVIN	seed_candidate_complex_or_cofactor_context	CellChat:INHB_ACVR1C_ACVR2B
actr2 adrb2	Actr2 Adrb2	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
actr2 ldlr	Actr2 Ldlr	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
actr2 lrp2	Actr2 Lrp2	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
ada dpp4	Ada Dpp4	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
adam10 axl	Adam10 Axl	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
adam10 cadm1	Adam10 Cadm1	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
adam10 cd44	Adam10 Cd44	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
adam10 epha3	Adam10 Epha3	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
adam10 gpnmb	Adam10 Gpnmb	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
adam10 il6ra	Adam10 Il6ra	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
adam10 met	Adam10 Met	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
adam10 notch1	Adam10 Notch1	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
adam10 notch2	Adam10 Notch2	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
adam10 nrcam	Adam10 Nrcam	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
adam10 trem2	Adam10 Trem2	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
adam10 tspan10	Adam10 Tspan10	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
adam10 tspan12	Adam10 Tspan12	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
adam10 tspan14	Adam10 Tspan14	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
adam10 tspan15	Adam10 Tspan15	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
adam10 tspan17	Adam10 Tspan17	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
adam10 tspan5	Adam10 Tspan5	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
adam11 itga4	Adam11 Itga4	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
adam12 itga9	Adam12 Itga9	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
adam12 itgb1	Adam12 Itgb1	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
adam12 sdc4	Adam12 Sdc4	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
adam15 itga5	Adam15 Itga5	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
adam15 itga9	Adam15 Itga9	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
adam15 itgav	Adam15 Itgav	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
adam15 itgb1	Adam15 Itgb1	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
adam15 itgb3	Adam15 Itgb3	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
adam17 erbb4	Adam17 Erbb4	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
adam17 il6ra	Adam17 Il6ra	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
adam17 itga5	Adam17 Itga5	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
adam17 itgb1	Adam17 Itgb1	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
adam17 met	Adam17 Met	no	no	no	yes	not_assessed	not_assessed	not_assessed	not_in_module20a				
