source_database	ligand_components	receptor_components	source_ligand	source_receptor	source_record_id	pathway	annotation	evidence	review_status	reason
master_LR_union	ACP4	ERBB4	Acp4	Erbb4					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ACP4	VSTM2B	Acp4	Vstm2b					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ACTR2	ADRB2	Actr2	Adrb2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ACTR2	LDLR	Actr2	Ldlr					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ACTR2	LRP2	Actr2	Lrp2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM10	APP	Adam10	App					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM10	AXL	Adam10	Axl					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM10	EPHA3	Adam10	Epha3					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM10	GPNMB	Adam10	Gpnmb					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM10	IL6RA	Adam10	Il6ra					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM10	MET	Adam10	Met					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM10	NOTCH1	Adam10	Notch1					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM10	NOTCH2	Adam10	Notch2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM10	NOTCH3	Adam10	Notch3					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM10	NOTCH4	Adam10	Notch4					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM10	TREM2	Adam10	Trem2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM10	TSPAN10	Adam10	Tspan10					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM10	TSPAN12	Adam10	Tspan12					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM10	TSPAN14	Adam10	Tspan14					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM10	TSPAN15	Adam10	Tspan15					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM10	TSPAN17	Adam10	Tspan17					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM10	TSPAN33	Adam10	Tspan33					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM10	TSPAN5	Adam10	Tspan5					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM11	CCR4	Adam11	Ccr4					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM11	ITGA4	Adam11	Itga4					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM12	ITGA9	Adam12	Itga9					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM12	ITGB1	Adam12	Itgb1					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM15	ITGA5	Adam15	Itga5					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM15	ITGA9	Adam15	Itga9					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM15	ITGAV	Adam15	Itgav					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM15	ITGB1	Adam15	Itgb1					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM15	ITGB3	Adam15	Itgb3					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM17	ERBB4	Adam17	Erbb4					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM17	IL6RA	Adam17	Il6ra					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM17	ITGA5	Adam17	Itga5					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM17	MET	Adam17	Met					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM17	MUC1	Adam17	Muc1					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM17	NOTCH1	Adam17	Notch1					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM17	NOTCH2	Adam17	Notch2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM17	NOTCH3	Adam17	Notch3					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM17	NOTCH4	Adam17	Notch4					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM17	RHBDF2	Adam17	Rhbdf2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM2	ITGA6	Adam2	Itga6					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM2	ITGB1	Adam2	Itgb1					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM20	IL1RAPL1	Adam20	Il1rapl1					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM20	IL1RAPL2	Adam20	Il1rapl2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM21	CLEC12B	Adam21	Clec12b					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM21	FLT4	Adam21	Flt4					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM21	IGSF21	Adam21	Igsf21					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM23	ITGA4	Adam23	Itga4					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM23	ITGA5	Adam23	Itga5					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM23	ITGB3	Adam23	Itgb3					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM25	IL1RAPL1	Adam25	Il1rapl1					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM25	IL1RAPL2	Adam25	Il1rapl2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM28	ITGA4	Adam28	Itga4					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM29	ITGA4	Adam29	Itga4					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM39	IL1RAPL1	Adam39	Il1rapl1					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM39	IL1RAPL2	Adam39	Il1rapl2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM7	ITGA4	Adam7	Itga4					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM7	ITGB7	Adam7	Itgb7					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAM9	ITGB5	Adam9	Itgb5					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADAMTS3	CCBE1	Adamts3	Ccbe1					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADCYAP1	ADRB2	Adcyap1	Adrb2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADCYAP1	ADRB3	Adcyap1	Adrb3					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADCYAP1	DPP4	Adcyap1	Dpp4					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADCYAP1	GPR20	Adcyap1	Gpr20					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADCYAP1	GPR84	Adcyap1	Gpr84					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADCYAP1	PTH1R	Adcyap1	Pth1r					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADCYAP1	RAMP2	Adcyap1	Ramp2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADCYAP1	RAMP3	Adcyap1	Ramp3					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADCYAP1	SCTR	Adcyap1	Sctr					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADCYAP1	TSHR	Adcyap1	Tshr					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADGRB1	RTN4R	Adgrb1	Rtn4r					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADGRE5	CD55	Adgre5	Cd55					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADGRE5	CD55B	Adgre5	Cd55b					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADGRF5	TREML2	Adgrf5	Treml2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADIPOQ	ASGR2	Adipoq	Asgr2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADIPOQ	CNR2	Adipoq	Cnr2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADIPOQ	FFAR3	Adipoq	Ffar3					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADIPOQ	GPR152	Adipoq	Gpr152					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADIPOQ	PROKR2	Adipoq	Prokr2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM	ADCYAP1R1	Adm	Adcyap1r1					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM	ADRB2	Adm	Adrb2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM	ADRB3	Adm	Adrb3					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM	CALCR	Adm	Calcr					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM	CALCR+RAMP1	Adm	Calcr_Ramp1					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM	CALCR+RAMP2	Adm	Calcr_Ramp2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM	CALCR+RAMP3	Adm	Calcr_Ramp3					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM	DCLK3	Adm	Dclk3					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM	GPR182	Adm	Gpr182					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM	GPR20	Adm	Gpr20					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM	GPR84	Adm	Gpr84					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM	MRGPRA1	Adm	Mrgpra1					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM	MRGPRA2A	Adm	Mrgpra2a					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM	MRGPRA2B	Adm	Mrgpra2b					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM	MRGPRA3	Adm	Mrgpra3					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM	MRGPRA4	Adm	Mrgpra4					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM	MRGPRA6	Adm	Mrgpra6					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM	MRGPRA9	Adm	Mrgpra9					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM	MRGPRB1	Adm	Mrgprb1					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM	MRGPRB2	Adm	Mrgprb2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM	MRGPRB3	Adm	Mrgprb3					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM	MRGPRB4	Adm	Mrgprb4					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM	MRGPRB5	Adm	Mrgprb5					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM	MRGPRB8	Adm	Mrgprb8					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM	MRGPRX1	Adm	Mrgprx1					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM	MRGPRX2	Adm	Mrgprx2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM	PTH1R	Adm	Pth1r					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM	RAMP1	Adm	Ramp1					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM	TSHR	Adm	Tshr					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM	VIPR1	Adm	Vipr1					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM2	ADCYAP1R1	Adm2	Adcyap1r1					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM2	ADRB2	Adm2	Adrb2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM2	ADRB3	Adm2	Adrb3					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM2	CALCR	Adm2	Calcr					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM2	DCLK3	Adm2	Dclk3					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM2	GPR20	Adm2	Gpr20					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM2	GPR84	Adm2	Gpr84					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM2	PTH1R	Adm2	Pth1r					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM2	TSHR	Adm2	Tshr					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ADM2	VIPR1	Adm2	Vipr1					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	AGRN	CHRNB3	Agrn	Chrnb3					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	AGRN	ITGB1	Agrn	Itgb1					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	AGRN	LRP1	Agrn	Lrp1					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	AGRN	LRP2	Agrn	Lrp2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	AGRP	MC1R	Agrp	Mc1r					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	AGRP	MC5R	Agrp	Mc5r					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	AGRP	SDC1	Agrp	Sdc1					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	AGRP	SDC3	Agrp	Sdc3					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	AGT	ADRA2A	Agt	Adra2a					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	AGT	AGTR1A	Agt	Agtr1a					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	AGT	AGTR1B	Agt	Agtr1b					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	AGT	AGTR2	Agt	Agtr2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	AGT	ENPEP	Agt	Enpep					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	AGT	GRM7	Agt	Grm7					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	AGT	LRP2	Agt	Lrp2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	AGT	MAS1	Agt	Mas1					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	AGT	MTNR1A	Agt	Mtnr1a					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	AGT	REN1	Agt	Ren1					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	AIMP1	NTRK1	Aimp1	Ntrk1					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	AKR1C14+AKR1C20+AKR1CL+CHRNG	PTGDR2	Akr1c14_Akr1c20_Akr1cl_Chrng	Ptgdr2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	AKR1C14+AKR1C20+AKR1CL+CHRNG	PTGFR	Akr1c14_Akr1c20_Akr1cl_Chrng	Ptgfr					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	AKR1C18+AKR1C6+ALOX5+ALOX5AP+LTC4S	CYSLTR1	Alox5ap_Alox5_Ltc4s_Akr1c6_Akr1c18	Cysltr1					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	AKR1C18+AKR1C6+ALOX5+ALOX5AP+LTC4S	CYSLTR2	Alox5ap_Alox5_Ltc4s_Akr1c6_Akr1c18	Cysltr2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	AKR1D1	AR	Akr1d1	Ar					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ALCAM	ALCAM	Alcam	Alcam					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ALDH1A1+ALDH1A7	CRABP2+RARA	Aldh1a1_Aldh1a7	Rara_Crabp2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ALDH1A1+ALDH1A7	CRABP2+RARA+RXRA	Aldh1a1_Aldh1a7	Rara_Rxra_Crabp2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ALDH1A1+ALDH1A7	CRABP2+RARB	Aldh1a1_Aldh1a7	Rarb_Crabp2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ALDH1A1+ALDH1A7	CRABP2+RARB+RXRB	Aldh1a1_Aldh1a7	Rarb_Rxrb_Crabp2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ALDH1A1+ALDH1A7	CRABP2+RARG	Aldh1a1_Aldh1a7	Rarg_Crabp2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ALDH1A1+ALDH1A7	CRABP2+RARG+RXRG	Aldh1a1_Aldh1a7	Rarg_Rxrg_Crabp2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ALDH1A1+ALDH1A7	CRABP2+RXRA	Aldh1a1_Aldh1a7	Rxra_Crabp2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ALDH1A1+ALDH1A7	CRABP2+RXRB	Aldh1a1_Aldh1a7	Rxrb_Crabp2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ALDH1A1+ALDH1A7	CRABP2+RXRG	Aldh1a1_Aldh1a7	Rxrg_Crabp2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ALDH1A1+ALDH1A7	RORB	Aldh1a1_Aldh1a7	Rorb					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ALDH1A2	CRABP2+RARA	Aldh1a2	Rara_Crabp2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ALDH1A2	CRABP2+RARA+RXRA	Aldh1a2	Rara_Rxra_Crabp2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ALDH1A2	CRABP2+RARB	Aldh1a2	Rarb_Crabp2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ALDH1A2	CRABP2+RARB+RXRB	Aldh1a2	Rarb_Rxrb_Crabp2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ALDH1A2	CRABP2+RARG	Aldh1a2	Rarg_Crabp2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ALDH1A2	CRABP2+RARG+RXRG	Aldh1a2	Rarg_Rxrg_Crabp2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ALDH1A2	CRABP2+RXRA	Aldh1a2	Rxra_Crabp2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ALDH1A2	CRABP2+RXRB	Aldh1a2	Rxrb_Crabp2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ALDH1A2	CRABP2+RXRG	Aldh1a2	Rxrg_Crabp2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ALDH1A2	RORB	Aldh1a2	Rorb					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ALDH1A3	CRABP2+RARA	Aldh1a3	Rara_Crabp2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ALDH1A3	CRABP2+RARA+RXRA	Aldh1a3	Rara_Rxra_Crabp2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
master_LR_union	ALDH1A3	CRABP2+RARB	Aldh1a3	Rarb_Crabp2					candidate_public_only_not_graph_edge	no_component_normalized_match_in_mSCIdblit
