source_databases	ligand_components	receptor_components	source_ligand	source_receptor	source_record_ids	pathways	annotations	evidence_notes	primary_evidence_gate	independent_public_source_count	independent_public_sources	primary_locator_count	review_priority_score	review_status	reason
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	DLK1	NOTCH1	Dlk1	Notch1	DLK1_NOTCH1	NOTCH	Cell-Cell Contact	PMID: 22353464	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	DLK1	NOTCH2	Dlk1	Notch2	DLK1_NOTCH2	NOTCH	Cell-Cell Contact	PMID: 22353464	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	DLK1	NOTCH3	Dlk1	Notch3	DLK1_NOTCH3	NOTCH	Cell-Cell Contact	PMID: 22353464	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	DLK1	NOTCH4	Dlk1	Notch4	DLK1_NOTCH4	NOTCH	Cell-Cell Contact	PMID: 22353464	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	DLL1	NOTCH4	Dll1	Notch4	DLL1_NOTCH4	NOTCH	Cell-Cell Contact	PMID: 22353464	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	DLL3	NOTCH3	Dll3	Notch3	DLL3_NOTCH3	NOTCH	Cell-Cell Contact	PMID: 22353464	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	DLL3	NOTCH4	Dll3	Notch4	DLL3_NOTCH4	NOTCH	Cell-Cell Contact	PMID: 22353464	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	DLL4	NOTCH2	Dll4	Notch2	DLL4_NOTCH2	NOTCH	Cell-Cell Contact	PMID: 22353464	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	DSC3	DSG3	Dsc3	Dsg3	DSC3_DSG3	DESMOSOME	Cell-Cell Contact	PMID: 27298358	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	EFNA1	EPHA7	Efna1	Epha7	EFNA1_EPHA7	EPHA	Cell-Cell Contact	PMID: 15114347	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	EFNA2	EPHA1	Efna2	Epha1	EFNA2_EPHA1	EPHA	Cell-Cell Contact	PMID: 15114347	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	EFNA2	EPHA3	Efna2	Epha3	EFNA2_EPHA3	EPHA	Cell-Cell Contact	PMID: 15114347	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	EFNA2	EPHA7	Efna2	Epha7	EFNA2_EPHA7	EPHA	Cell-Cell Contact	PMID: 15114347	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	EFNA3	EPHA2	Efna3	Epha2	EFNA3_EPHA2	EPHA	Cell-Cell Contact	PMID: 15114347	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	EFNA3	EPHA4	Efna3	Epha4	EFNA3_EPHA4	EPHA	Cell-Cell Contact	PMID: 15114347	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	EFNA3	EPHA5	Efna3	Epha5	EFNA3_EPHA5	EPHA	Cell-Cell Contact	PMID: 15114347	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	EFNA4	EPHA1	Efna4	Epha1	EFNA4_EPHA1	EPHA	Cell-Cell Contact	PMID: 15114347	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	EFNA4	EPHA3	Efna4	Epha3	EFNA4_EPHA3	EPHA	Cell-Cell Contact	PMID: 15114347	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	EFNA4	EPHA4	Efna4	Epha4	EFNA4_EPHA4	EPHA	Cell-Cell Contact	PMID: 15114347	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	EFNA4	EPHA5	Efna4	Epha5	EFNA4_EPHA5	EPHA	Cell-Cell Contact	PMID: 15114347	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	EFNA4	EPHA7	Efna4	Epha7	EFNA4_EPHA7	EPHA	Cell-Cell Contact	PMID: 15114347	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	EFNA4	EPHA8	Efna4	Epha8	EFNA4_EPHA8	EPHA	Cell-Cell Contact	PMID: 15114347	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	EFNA5	EPHA1	Efna5	Epha1	EFNA5_EPHA1	EPHA	Cell-Cell Contact	PMID: 15114347	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	EFNA5	EPHA5	Efna5	Epha5	EFNA5_EPHA5	EPHA	Cell-Cell Contact	PMID: 15114347	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	EFNA5	EPHA7	Efna5	Epha7	EFNA5_EPHA7	EPHA	Cell-Cell Contact	PMID: 15114347	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	EFNA5	EPHA8	Efna5	Epha8	EFNA5_EPHA8	EPHA	Cell-Cell Contact	PMID: 15114347	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	EFNB1	EPHA4	Efnb1	Epha4	EFNB1_EPHA4	EPHB	Cell-Cell Contact	PMID: 15114347	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	EFNB1	EPHB2	Efnb1	Ephb2	EFNB1_EPHB2	EPHB	Cell-Cell Contact	PMID: 15114347	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	EFNB1	EPHB3	Efnb1	Ephb3	EFNB1_EPHB3	EPHB	Cell-Cell Contact	PMID: 15114347	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	EFNB1	EPHB4	Efnb1	Ephb4	EFNB1_EPHB4	EPHB	Cell-Cell Contact	PMID: 15114347	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	EFNB2	EPHA4	Efnb2	Epha4	EFNB2_EPHA4	EPHB	Cell-Cell Contact	PMID: 15114347	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	EFNB2	EPHB2	Efnb2	Ephb2	EFNB2_EPHB2	EPHB	Cell-Cell Contact	PMID: 15114347	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	EFNB2	EPHB3	Efnb2	Ephb3	EFNB2_EPHB3	EPHB	Cell-Cell Contact	PMID: 15114347	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	EFNB2	EPHB4	Efnb2	Ephb4	EFNB2_EPHB4	EPHB	Cell-Cell Contact	PMID: 15114347	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	EFNB3	EPHA4	Efnb3	Epha4	EFNB3_EPHA4	EPHB	Cell-Cell Contact	PMID: 15114347	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	EFNB3	EPHB1	Efnb3	Ephb1	EFNB3_EPHB1	EPHB	Cell-Cell Contact	PMID: 15114347	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	EFNB3	EPHB2	Efnb3	Ephb2	EFNB3_EPHB2	EPHB	Cell-Cell Contact	PMID: 15114347	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	EFNB3	EPHB3	Efnb3	Ephb3	EFNB3_EPHB3	EPHB	Cell-Cell Contact	PMID: 15114347	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	EFNB3	EPHB4	Efnb3	Ephb4	EFNB3_EPHB4	EPHB	Cell-Cell Contact	PMID: 15114347	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	ENHO	GPR19	Enho	Gpr19	ENHO_GPR19	ENHO	Secreted Signaling	PMID: 28476646	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	ENTPD1	ADORA1	Entpd1	Adora1	ENTPD1_ADORA1	CD39	Cell-Cell Contact	PMID: 21677139	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	ENTPD1	ADORA2A	Entpd1	Adora2a	ENTPD1_ADORA2A	CD39	Cell-Cell Contact	PMID: 21677139	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	ENTPD1	ADORA2B	Entpd1	Adora2b	ENTPD1_ADORA2B	CD39	Cell-Cell Contact	PMID: 21677139	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1;master_LR_union	GHRH	GHSR	Ghrh	Ghsr	GHRH_GHSR	GHRH	Secreted Signaling	PMID: 19088192	primary_locator_present_unverified	3	CellChatDB.mouse;LIANA.mouseconsensus;NicheNet.neutral_v1	1	320	requires_primary_paper_verification	no_component_normalized_match_in_mSCIdblit
