batch_id	queue_key	species	tf_symbol	target_symbol	b_edge_id	b_evidence_id	confidence_tier	effect_polarity	dorothea_levels	source_registries	external_record_keys	reference_count	source_locator	module22b_register_changed	general_tf_target_claim	direct_binding_claim	upstream_sci_activation_claim
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|atf2|ifnb1	human	ATF2	IFNB1	M22B-E005781	M22B-EVID-005954	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000509:a05066cae890;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000275;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000276	29	PMID:10024886; PMID:10357819; PMID:10848607; PMID:15107417; PMID:15510218; PMID:16641293; PMID:17496231; PMID:17574024; PMID:17652396; PMID:18272195	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|atf2|ifng	human	ATF2	IFNG	M22B-E005782	M22B-EVID-005955	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:001294:bc08f9c8ee48;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000277	7	PMID:12836278; PMID:18188096; PMID:18641343; PMID:19265145; PMID:20006311; PMID:20304822; PMID:29438524	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|atf2|impdh2	human	ATF2	IMPDH2	M22B-E005783	M22B-EVID-005956	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003966:367bea3d030b;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000278	1	PMID:9278455	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|atf2|ins	human	ATF2	INS	M22B-E005784	M22B-EVID-005957	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000542:f4b84eb746da;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000279;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000280	5	PMID:10909971; PMID:1310538; PMID:17337306; PMID:21278380; PMID:7983773	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|atf2|jun	human	ATF2	JUN	M22B-E005785	M22B-EVID-005958	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000129:2aa4c23d0e8a;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000282	36	PMID:10212278; PMID:10327051; PMID:10366004; PMID:10475063; PMID:10856308; PMID:11157857; PMID:11238729; PMID:11736649; PMID:12052888; PMID:12149242	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|atf2|mmp2	human	ATF2	MMP2	M22B-E005786	M22B-EVID-005959	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002043:dd44da3fa367;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000284	11	PMID:17079470; PMID:17258390; PMID:20726781; PMID:22865631; PMID:25316568; PMID:29382922; PMID:30521479; PMID:30576241; PMID:35775112; PMID:36330631	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|atf2|nos3	human	ATF2	NOS3	M22B-E005787	M22B-EVID-005960	high	repressing_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:001925:d0ae17004c82;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000285	1	PMID:16497991	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|atf2|nr4a2	human	ATF2	NR4A2	M22B-E005788	M22B-EVID-005961	high	activating_target	A	OmniPath_DoRothEA	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:001062:66fe549a9a10	1	PMID:12114266	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|atf2|pck1	human	ATF2	PCK1	M22B-E005789	M22B-EVID-005962	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000612:afaeb970c0e5;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000286	5	PMID:11042264; PMID:12453892; PMID:15907483; PMID:17314398; PMID:9712902	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|atf2|pck2	human	ATF2	PCK2	M22B-E005790	M22B-EVID-005963	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003967:e11152bd574f;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000287	5	PMID:11042264; PMID:12217859; PMID:12453892; PMID:15907483; PMID:9712902	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|atf2|plat	human	ATF2	PLAT	M22B-E005791	M22B-EVID-005964	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000694:45598217c5f6;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000288	2	PMID:11179965; PMID:8647095	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|atf2|rb1	human	ATF2	RB1	M22B-E005792	M22B-EVID-005965	high	activating_target	A	OmniPath_DoRothEA	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:004517:e900a98f8f29	2	PMID:15618023; PMID:18638549	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|atf2|tnf	human	ATF2	TNF	M22B-E005793	M22B-EVID-005966	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000113:79020b1a5650;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000296	28	PMID:10318823; PMID:10521481; PMID:10688670; PMID:10748079; PMID:10871852; PMID:10913190; PMID:10954918; PMID:11157857; PMID:11234888; PMID:11490006	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|cebpb|abcb1	human	CEBPB	ABCB1	M22B-E005794	M22B-EVID-005967	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:001477:a849a30a6da0;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000650	10	PMID:15044620; PMID:16206189; PMID:18078069; PMID:29563873; PMID:30322842; PMID:35953814; PMID:7961962; PMID:9019155; PMID:9040943; PMID:9712708	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|cebpb|adm	human	CEBPB	ADM	M22B-E005795	M22B-EVID-005968	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003216:4c0f9f55a180;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000651;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000652	2	PMID:12630823; PMID:9480831	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|cebpb|alb	human	CEBPB	ALB	M22B-E005796	M22B-EVID-005969	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:001447:d41e78b4355d;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000653	19	PMID:10542249; PMID:11726507; PMID:1487491; PMID:15758650; PMID:15924879; PMID:16608438; PMID:1718780; PMID:1840554; PMID:19932685; PMID:20529675	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|cebpb|aldh1a1	human	CEBPB	ALDH1A1	M22B-E005797	M22B-EVID-005970	medium-high	activating_target	B	OmniPath_DoRothEA	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002402:b126dc8dce8f	8	PMID:10995752; PMID:18992716; PMID:24043631; PMID:25523142; PMID:28148901; PMID:28420235; PMID:29752431; PMID:34897678	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|cebpb|asns	human	CEBPB	ASNS	M22B-E005798	M22B-EVID-005971	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:001612:6e4c00955593;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000654	4	PMID:15385533; PMID:18840095; PMID:21777709; PMID:34065488	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|cebpb|bcl2l1	human	CEBPB	BCL2L1	M22B-E005799	M22B-EVID-005972	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003297:676b97af54b9;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000655	1	PMID:19043455	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|cebpb|cdkn1a	human	CEBPB	CDKN1A	M22B-E005800	M22B-EVID-005973	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000581:d03d3cee7c1e;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000657	13	PMID:10982390; PMID:11733516; PMID:15041706; PMID:15466360; PMID:16832342; PMID:20501671; PMID:21353395; PMID:26596832; PMID:33947580; PMID:36465376	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|cebpb|crp	human	CEBPB	CRP	M22B-E005801	M22B-EVID-005974	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000531:4718ef613f14;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000659	20	PMID:10880233; PMID:11035101; PMID:11160296; PMID:12393563; PMID:12667216; PMID:14522018; PMID:16116232; PMID:1725449; PMID:17335903; PMID:17464987	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|cebpb|csf3r	human	CEBPB	CSF3R	M22B-E005802	M22B-EVID-005975	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:004001:ce5d9779dd1f;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000660	2	PMID:10453008; PMID:20659895	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|cebpb|csh2	human	CEBPB	CSH2	M22B-E005803	M22B-EVID-005976	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003298:236bb651d8d2;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000662	4	PMID:10855690; PMID:21737519; PMID:29763375; PMID:7818522	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|cebpb|csrp1	human	CEBPB	CSRP1	M22B-E005804	M22B-EVID-005977	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:004002:2667e1a901e7;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000663	1	PMID:14522018	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|cebpb|cxcl8	human	CEBPB	CXCL8	M22B-E005805	M22B-EVID-005978	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000237:16c0314ec3bd;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000664;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000665	97	PMID:10223540; PMID:10386854; PMID:10462040; PMID:10490995; PMID:10506755; PMID:10775602; PMID:10954542; PMID:11096450; PMID:11120852; PMID:11390611	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|cebpb|cyp19a1	human	CEBPB	CYP19A1	M22B-E005806	M22B-EVID-005979	high	repressing_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:001014:e4f88a0a29b1;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000666;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000667	11	PMID:11280806; PMID:11994385; PMID:12520731; PMID:18182446; PMID:19221050; PMID:21114983; PMID:31996328; PMID:7626451; PMID:7635140; PMID:8603036	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|cebpb|dlc1	human	CEBPB	DLC1	M22B-E005807	M22B-EVID-005980	medium-high	activating_target	B	OmniPath_DoRothEA	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:006415:69b8576fb5d0	0	public TF union source record	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|cebpb|f8	human	CEBPB	F8	M22B-E005808	M22B-EVID-005981	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:004003:51ff9c7e31d6;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000670	1	PMID:10959692	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|cebpb|faslg	human	CEBPB	FASLG	M22B-E005809	M22B-EVID-005982	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003296:7c1f62e7fa59;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000671	2	PMID:12496392; PMID:27790710	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|cebpb|fos	human	CEBPB	FOS	M22B-E005810	M22B-EVID-005983	high	activating_target	A	OmniPath_DoRothEA	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000298:4fa939c5a352	13	PMID:10531366; PMID:11151091; PMID:11278638; PMID:12773552; PMID:15860545; PMID:16055922; PMID:17110376; PMID:17129742; PMID:17254333; PMID:18180320	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|cebpb|furin	human	CEBPB	FURIN	M22B-E005811	M22B-EVID-005984	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:004005:cd170ce0927f;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000672	2	PMID:28947961; PMID:8132667	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|cebpb|gadd45g	human	CEBPB	GADD45G	M22B-E005812	M22B-EVID-005985	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:004006:cce7bd100bf9;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000673	1	PMID:11012671	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|cebpb|gfer	human	CEBPB	GFER	M22B-E005813	M22B-EVID-005986	high	repressing_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003299:16fa017750c4;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000675;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000676	2	PMID:20382118; PMID:20690902	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|cebpb|hp	human	CEBPB	HP	M22B-E005814	M22B-EVID-005987	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000219:434b77f35fd4;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000679	13	PMID:10445852; PMID:11027530; PMID:11316061; PMID:11331273; PMID:14661730; PMID:14697342; PMID:16172914; PMID:1718780; PMID:1725449; PMID:19545490	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|cebpb|igf2	human	CEBPB	IGF2	M22B-E005815	M22B-EVID-005988	high	activating_target	A	OmniPath_DoRothEA	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000684:a4d5c4104897	6	PMID:11165040; PMID:12456789; PMID:20228168; PMID:21270887; PMID:21777668; PMID:7659086	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|cebpb|il10	human	CEBPB	IL10	M22B-E005816	M22B-EVID-005989	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:001298:7ac5c00bb1ca;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000681	17	PMID:12493739; PMID:12847250; PMID:16413748; PMID:16871431; PMID:17525287; PMID:19175796; PMID:20052801; PMID:23743567; PMID:24715531; PMID:28056086	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|cebpb|il12b	human	CEBPB	IL12B	M22B-E005817	M22B-EVID-005990	high	activating_target	A	OmniPath_DoRothEA	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000744:88a5baa474d4	9	PMID:11279072; PMID:11509602; PMID:11937564; PMID:14976188; PMID:15869883; PMID:24012417; PMID:25804385; PMID:26109639; PMID:30696656	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|cebpb|il1b	human	CEBPB	IL1B	M22B-E005818	M22B-EVID-005991	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000241:ade7618a60de;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000683;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000684	62	PMID:10228013; PMID:10383163; PMID:10464291; PMID:10801783; PMID:10838190; PMID:10841183; PMID:10936515; PMID:10956548; PMID:11035101; PMID:11278846	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|cebpb|il24	human	CEBPB	IL24	M22B-E005819	M22B-EVID-005992	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:004007:128212032ff7;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000685	3	PMID:10942517; PMID:19535621; PMID:28942243	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|cebpb|il3	human	CEBPB	IL3	M22B-E005820	M22B-EVID-005993	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:001199:1c9d19b24045;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000686	2	PMID:10453008; PMID:12574125	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|cebpb|il4	human	CEBPB	IL4	M22B-E005821	M22B-EVID-005994	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000592:668e110698f7;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000687;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000688	11	PMID:11009091; PMID:11536160; PMID:12516545; PMID:15048722; PMID:15922518; PMID:16585579; PMID:19915002; PMID:23913966; PMID:7594540; PMID:8709636	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|cebpb|il5	human	CEBPB	IL5	M22B-E005822	M22B-EVID-005995	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000930:8d2f261babc7;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000689	3	PMID:10453008; PMID:11745390; PMID:16922677	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|cebpb|il6	human	CEBPB	IL6	M22B-E005823	M22B-EVID-005996	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000212:523a3195ee4b;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000690;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000691	149	PMID:10226093; PMID:10389759; PMID:10435001; PMID:10602032; PMID:10748205; PMID:10801769; PMID:10816606; PMID:10903137; PMID:11004486; PMID:11035101	true	true	false	false
module22b-signed-public-tf-promotion-batch002-2026-09-03	human|cebpb|insr	human	CEBPB	INSR	M22B-E005824	M22B-EVID-005997	high	activating_target	A	OmniPath_DoRothEA;TRRUST	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:001231:85940937130c;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000692	4	PMID:12665574; PMID:17510394; PMID:18310298; PMID:8288055	true	true	false	false
