batch_id	curation_id	species	tf_symbol	target_symbol	b_edge_id	b_evidence_id	old_edge_count	new_edge_status	new_edge_confidence	new_evidence_confidence	effect_polarity	support_kind	evidence_scope	primary_pmids	corroborating_pmids	external_record_keys	source_registries	cell_type_context	module22b_register_changed	upstream_sci_activation_claim
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-02135	mouse	Jun	Ifng	M22B-E005744	M22B-EVID-005917	0	reviewed_direct_target	high	high	activating_target	complex_cooperative_promoter	primary_reference_verified	11801649	14734615	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|mouse|omnipath_dorothea:mouse:001212:a94b87f4a2e1;TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:002296;TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:002298;TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:002299	OmniPath_DoRothEA;TRRUST	mouse T-cell clone; activated lymph node T cells	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-03517	human	ETS1	NDRG1	M22B-E005745	M22B-EVID-005918	0	reviewed_regulatory_support	high	high	repressing_target	perturbation_response	primary_reference_verified	18381358	36718855	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:004149:5c4dfa52b6ad;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:001879	OmniPath_DoRothEA;TRRUST	human lung epithelial cells	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-03754	human	HIF1A	ALDOA	M22B-E005746	M22B-EVID-005919	0	reviewed_direct_target	high	high	activating_target	direct_binding	primary_reference_verified	8955077	33813748	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003248:df38da1a8a7e;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002846	OmniPath_DoRothEA;TRRUST	mammalian cultured cells and promoter constructs	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-03813	human	HIF1A	ENO1	M22B-E005747	M22B-EVID-005920	0	reviewed_direct_target	high	high	activating_target	direct_binding	primary_reference_verified	8955077	26882120	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:004234:6ca12ba645d6;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002871	OmniPath_DoRothEA;TRRUST	mammalian cultured cells and promoter constructs	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-03859	human	HIF1A	LDHA	M22B-E005748	M22B-EVID-005921	0	reviewed_direct_target	high	high	activating_target	direct_binding	primary_reference_verified	8955077	28193910	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:001743:1fd4891f81cd;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002883	OmniPath_DoRothEA;TRRUST	mammalian cultured cells and promoter constructs	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-03951	human	HIF1A	VEGFA	M22B-E005749	M22B-EVID-005922	0	reviewed_direct_target	high	high	activating_target;repressing_target;unknown	direct_binding	primary_reference_verified;unverified_public_record	8756616	15735682	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000200:3b1542455374;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002927;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002928;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002929	OmniPath_DoRothEA;TRRUST	cultured mammalian/human cancer comparator systems	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-04028	human	STAT1	CCL3	M22B-E005750	M22B-EVID-005923	0	reviewed_regulatory_support	high	high	activating_target	perturbation_response	primary_reference_verified	16628196	38730482	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:004703:9b006d1155eb;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:007819	OmniPath_DoRothEA;TRRUST	human keratinocytes	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-04261	human	STAT1	IRF7	M22B-E005751	M22B-EVID-005924	0	reviewed_regulatory_support	high	high	activating_target	perturbation_response	primary_reference_verified	16628196	19994902	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000984:eba6fbe25aae;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:007869	OmniPath_DoRothEA;TRRUST	human keratinocytes	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-04559	human	STAT1	TLR3	M22B-E005752	M22B-EVID-005925	0	reviewed_regulatory_support	high	high	activating_target	perturbation_response	primary_reference_verified	16628196	18508883	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:004721:bc6bc2425249;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:007906	OmniPath_DoRothEA;TRRUST	human keratinocytes	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-05682	human	GATA3	FOXC1	M22B-E005753	M22B-EVID-005926	0	reviewed_direct_target	high	high	repressing_target	direct_binding	primary_reference_verified	22120723		OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002851:ba34b0d8eeef;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002449	OmniPath_DoRothEA;TRRUST	human basal-like breast cancer cell lines	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-06050	human	RUNX1	CCL3	M22B-E005754	M22B-EVID-005927	0	reviewed_direct_target	high	high	activating_target	direct_binding	primary_reference_verified	12771199		TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:006475	TRRUST	human Jurkat T cells	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-06358	human	SP1	C4A	M22B-E005755	M22B-EVID-005928	0	reviewed_direct_target	high	high	activating_target	direct_binding	primary_reference_verified	9574539	21345967	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:007007	TRRUST	human HepG2 and HeLa promoter assays	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-06359	human	SP1	C4B	M22B-E005756	M22B-EVID-005929	0	reviewed_direct_target	high	high	activating_target	direct_binding	primary_reference_verified	9574539	21345967	TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:007008	TRRUST	human HepG2 and HeLa promoter assays	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-07643	human	EGR1	F3	M22B-E005757	M22B-EVID-005930	0	reviewed_direct_target	high	high	activating_target	direct_binding+promoter_mutation	primary_exact_verified	10339488;8576248		OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000130:a064748018dc;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:001432	OmniPath_DoRothEA;TRRUST	human endothelial/epithelial cells	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-07648	human	IRF1	CIITA	M22B-E005758	M22B-EVID-005931	0	reviewed_direct_target	high	high	activating_target	direct_binding+promoter_reporter	primary_exact_verified	10557076;12052885	11675374	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000273:141dcad67ce2;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:003264;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:003265	OmniPath_DoRothEA;TRRUST	human B/thyroid cells	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-07657	human	IRF1	IFNB1	M22B-E005759	M22B-EVID-005932	0	reviewed_direct_target	high	high	activating_target	direct_binding+perturbation_response	primary_exact_verified	1371248	10215868	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000404:74d36b674b22;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:003281;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:003282	OmniPath_DoRothEA;TRRUST	human GM-637 fibroblasts	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-07659	human	KLF4	CDKN1A	M22B-E005760	M22B-EVID-005933	0	reviewed_direct_target	high	high	activating_target	direct_binding+perturbation_response	primary_exact_verified	10749849		OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000435:5b663d5e2a2f;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:003695;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:003696	OmniPath_DoRothEA;TRRUST	human HEK-derived/growth-control systems	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-07680	human	EGR1	CDKN1A	M22B-E005761	M22B-EVID-005934	0	reviewed_direct_target	high	high	activating_target	direct_binding+perturbation_response	primary_exact_verified	18316600		OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000850:534d6f44051b;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:001422	OmniPath_DoRothEA;TRRUST	human U-87MG glioblastoma	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-07688	human	ATF2	PTGS2	M22B-E005762	M22B-EVID-005935	0	reviewed_direct_target	high	high	activating_target	direct_binding+promoter_reporter	primary_exact_verified	16007171		OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000988:326477f26e9b;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000291	OmniPath_DoRothEA;TRRUST	human inflammatory/cancer cells	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-07753	human	IRF1	CXCL10	M22B-E005763	M22B-EVID-005936	0	reviewed_direct_target	high	high	activating_target	direct_binding+perturbation_response	primary_exact_verified	19880820;33689775	17167270	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002481:6810cd907956;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:003266	OmniPath_DoRothEA;TRRUST	human bronchial epithelial; Huh-7	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-07767	human	KLF4	CDH1	M22B-E005764	M22B-EVID-005937	0	reviewed_direct_target	high	high	activating_target	direct_binding+perturbation_response	primary_exact_verified	23451207	35219646	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002632:35953779f99b;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:003693	OmniPath_DoRothEA;TRRUST	human breast cancer/epithelial cells	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-07803	human	ATF2	CYP11B2	M22B-E005765	M22B-EVID-005938	0	reviewed_direct_target	high	high	activating_target	direct_binding+perturbation_response	primary_exact_verified	11196473		OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003964:7d20f0446617;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000268	OmniPath_DoRothEA;TRRUST	human H295R adrenal	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-08311	mouse	Klf4	Cdkn1a	M22B-E005766	M22B-EVID-005939	0	reviewed_direct_target	high	high	activating_target	direct_binding+perturbation_response	primary_exact_verified	10749849		OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|mouse|omnipath_dorothea:mouse:000439:92332475d67a	OmniPath_DoRothEA	mouse embryo fibroblasts	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-08367	mouse	Irf1	Tap1	M22B-E005767	M22B-EVID-005940	0	reviewed_direct_target	high	high	activating_target	direct_binding+promoter_deletion	primary_exact_verified	14735146		OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|mouse|omnipath_dorothea:mouse:001417:87c3ce168748;TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:002150	OmniPath_DoRothEA;TRRUST	mouse macrophages	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-08982	mouse	Egr1	F3	M22B-E005768	M22B-EVID-005941	0	reviewed_direct_target	high	high	activating_target	direct_binding+genetic_perturbation	primary_exact_verified	9653181		TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:000798	TRRUST	mouse lung/phagocyte/vascular cells	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-09054	human	NFKB2	CCND2	M22B-E005769	M22B-EVID-005942	0	reviewed_regulatory_support	high	high	activating_target	perturbation_response	primary_reference_verified	18504428	\N	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:004451:ea56ce4c3afa;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:004898	OmniPath_DoRothEA;TRRUST	human T cells with HTLV-I Tax; rat comparator context	true	false
module22b-general-tf-regulon-promotion-batch001-2026-09-03	PUBTF-AGENT-09057	human	NFKB2	CDK6	M22B-E005770	M22B-EVID-005943	0	reviewed_regulatory_support	high	high	activating_target	perturbation_response	primary_reference_verified	18504428	\N	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:004452:92ea88842946;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:004899	OmniPath_DoRothEA;TRRUST	human T cells with HTLV-I Tax; rat comparator context	true	false
