chain_id	ligand_node_id	ligand_label	ligand_receptor_edge_id	ligand_receptor_pathway	receptor_node_id	receptor_label	receptor_tf_edge_id	receptor_tf_pathway	transcription_factor_node_id	transcription_factor_label	tf_target_edge_id	tf_target_pathway	target_gene_node_id	target_gene_label	target_relation	module_sequence	evidence_ids
CHAIN:00042	NODE04791	IL31	M21B-E000490	IL31-IL31RA-OSMR-receptor	NODE04793	IL31RA:OSMRbeta receptor complex	M21B-E000551	IL31-receptor-STAT3	NODE09218	STAT3	M22B-E000430	target_gene	NODE09040	Socs3	represses_target_gene	21B>21B>22B	M21B-EVID-000433;M21B-EVID-000494;M22B-EVID-000066
CHAIN:00043	NODE04791	IL31	M21B-E000490	IL31-IL31RA-OSMR-receptor	NODE04793	IL31RA:OSMRbeta receptor complex	M21B-E000551	IL31-receptor-STAT3	NODE09218	STAT3	M22B-E000431	target_gene	NODE09040	Socs3	induces_target_gene	21B>21B>22B	M21B-EVID-000433;M21B-EVID-000494;M22B-EVID-000001;M22B-EVID-000027;M22B-EVID-000057
CHAIN:00044	NODE04791	IL31	M21B-E000490	IL31-IL31RA-OSMR-receptor	NODE04793	IL31RA:OSMRbeta receptor complex	M21B-E000551	IL31-receptor-STAT3	NODE09218	STAT3	M22B-E000432	target_gene	NODE10364	Zfp36	induces_target_gene	21B>21B>22B	M21B-EVID-000433;M21B-EVID-000494;M22B-EVID-000083
CHAIN:00045	NODE03967	Growth hormone	M21B-E001427	Growth-hormone-GHR-cytokine-receptor	NODE03558	GHR/growth hormone receptor	M21B-E001711	GHR-STAT5-proximal	NODE09241	STAT5	M22B-E000446	target_gene	NODE00884	Bcl2	regulates_target_gene	21B>21B>22B	M21B-EVID-001370;M21B-EVID-001654;M22B-EVID-000008
CHAIN:00046	NODE03967	Growth hormone	M21B-E001427	Growth-hormone-GHR-cytokine-receptor	NODE03558	GHR/growth hormone receptor	M21B-E001711	GHR-STAT5-proximal	NODE09241	STAT5	M22B-E000447	target_gene	NODE00884	Bcl2	regulates_target_gene	21B>21B>22B	M21B-EVID-001370;M21B-EVID-001654;M22B-EVID-000056
CHAIN:00047	NODE03967	Growth hormone	M21B-E001427	Growth-hormone-GHR-cytokine-receptor	NODE03558	GHR/growth hormone receptor	M21B-E001711	GHR-STAT5-proximal	NODE09241	STAT5	M22B-E000448	target_gene	NODE01420	Ccnd1	induces_target_gene	21B>21B>22B	M21B-EVID-001370;M21B-EVID-001654;M22B-EVID-000007
CHAIN:00048	NODE03967	Growth hormone	M21B-E001427	Growth-hormone-GHR-cytokine-receptor	NODE03558	GHR/growth hormone receptor	M21B-E001711	GHR-STAT5-proximal	NODE09241	STAT5	M22B-E000449	target_gene	NODE01828	Cish	induces_target_gene	21B>21B>22B	M21B-EVID-001370;M21B-EVID-001654;M22B-EVID-000006;M22B-EVID-000055
CHAIN:00049	NODE07996	Prolactin	M21B-E001428	Prolactin-PRLR-cytokine-receptor	NODE07960	PRLR/prolactin receptor	M21B-E001713	PRLR-STAT5-proximal	NODE09241	STAT5	M22B-E000446	target_gene	NODE00884	Bcl2	regulates_target_gene	21B>21B>22B	M21B-EVID-001371;M21B-EVID-001656;M22B-EVID-000008
CHAIN:00050	NODE07996	Prolactin	M21B-E001428	Prolactin-PRLR-cytokine-receptor	NODE07960	PRLR/prolactin receptor	M21B-E001713	PRLR-STAT5-proximal	NODE09241	STAT5	M22B-E000447	target_gene	NODE00884	Bcl2	regulates_target_gene	21B>21B>22B	M21B-EVID-001371;M21B-EVID-001656;M22B-EVID-000056
CHAIN:00051	NODE07996	Prolactin	M21B-E001428	Prolactin-PRLR-cytokine-receptor	NODE07960	PRLR/prolactin receptor	M21B-E001713	PRLR-STAT5-proximal	NODE09241	STAT5	M22B-E000448	target_gene	NODE01420	Ccnd1	induces_target_gene	21B>21B>22B	M21B-EVID-001371;M21B-EVID-001656;M22B-EVID-000007
CHAIN:00052	NODE07996	Prolactin	M21B-E001428	Prolactin-PRLR-cytokine-receptor	NODE07960	PRLR/prolactin receptor	M21B-E001713	PRLR-STAT5-proximal	NODE09241	STAT5	M22B-E000449	target_gene	NODE01828	Cish	induces_target_gene	21B>21B>22B	M21B-EVID-001371;M21B-EVID-001656;M22B-EVID-000006;M22B-EVID-000055
CHAIN:00053	NODE05634	LIF	M21B-E001732	LIF-LIFR-gp130-activation	NODE05639	LIFR-gp130 receptor complex	M21B-E000002	LIF-gp130-JAK-STAT	NODE09218	STAT3	M22B-E000420	target_gene	NODE00993	Bmp2	induces_target_gene	21B>21B>22B	M21B-EVID-001675;M21B-EVID-000001;M22B-EVID-000060
CHAIN:00054	NODE05634	LIF	M21B-E001732	LIF-LIFR-gp130-activation	NODE05639	LIFR-gp130 receptor complex	M21B-E000002	LIF-gp130-JAK-STAT	NODE09218	STAT3	M22B-E000425	target_gene	NODE06894	Nhlh2	induces_target_gene	21B>21B>22B	M21B-EVID-001675;M21B-EVID-000001;M22B-EVID-000059
CHAIN:00055	NODE05634	LIF	M21B-E001732	LIF-LIFR-gp130-activation	NODE05639	LIFR-gp130 receptor complex	M21B-E000002	LIF-gp130-JAK-STAT	NODE09218	STAT3	M22B-E000429	target_gene	NODE08297	Reg3g	induces_target_gene	21B>21B>22B	M21B-EVID-001675;M21B-EVID-000001;M22B-EVID-000003
CHAIN:00056	NODE05634	LIF	M21B-E001732	LIF-LIFR-gp130-activation	NODE05639	LIFR-gp130 receptor complex	M21B-E000002	LIF-gp130-JAK-STAT	NODE09218	STAT3	M22B-E000430	target_gene	NODE09040	Socs3	represses_target_gene	21B>21B>22B	M21B-EVID-001675;M21B-EVID-000001;M22B-EVID-000066
CHAIN:00057	NODE05634	LIF	M21B-E001732	LIF-LIFR-gp130-activation	NODE05639	LIFR-gp130 receptor complex	M21B-E000002	LIF-gp130-JAK-STAT	NODE09218	STAT3	M22B-E000431	target_gene	NODE09040	Socs3	induces_target_gene	21B>21B>22B	M21B-EVID-001675;M21B-EVID-000001;M22B-EVID-000001;M22B-EVID-000027;M22B-EVID-000057
CHAIN:00058	NODE05634	LIF	M21B-E001732	LIF-LIFR-gp130-activation	NODE05639	LIFR-gp130 receptor complex	M21B-E000002	LIF-gp130-JAK-STAT	NODE09218	STAT3	M22B-E000432	target_gene	NODE10364	Zfp36	induces_target_gene	21B>21B>22B	M21B-EVID-001675;M21B-EVID-000001;M22B-EVID-000083
CHAIN:00059	NODE04817	IL4	M21B-E001754	IL4-IL4RA-IL2RG-activation	NODE04825	IL4RA:IL2RG receptor complex	M21B-E001784	IL4-type-I-receptor-STAT6-relay	NODE09250	STAT6	M22B-E000459	target_gene	NODE00578	Arg1	induces_target_gene	21B>21B>22B	M21B-EVID-001697;M21B-EVID-001727;M22B-EVID-000010;M22B-EVID-000054
CHAIN:00060	NODE04817	IL4	M21B-E001754	IL4-IL4RA-IL2RG-activation	NODE04825	IL4RA:IL2RG receptor complex	M21B-E001784	IL4-type-I-receptor-STAT6-relay	NODE09250	STAT6	M22B-E000460	target_gene	NODE01763	Chil3 (Ym1)	regulates_target_gene	21B>21B>22B	M21B-EVID-001697;M21B-EVID-001727;M22B-EVID-000009;M22B-EVID-000053
CHAIN:00061	NODE04741	IL21	M21B-E001756	IL21-IL21R-IL2RG-activation	NODE04746	IL21R:IL2RG receptor complex	M21B-E000556	IL21-STAT3	NODE09218	STAT3	M22B-E000420	target_gene	NODE00993	Bmp2	induces_target_gene	21B>21B>22B	M21B-EVID-001699;M21B-EVID-000499;M22B-EVID-000060
CHAIN:00062	NODE04741	IL21	M21B-E001756	IL21-IL21R-IL2RG-activation	NODE04746	IL21R:IL2RG receptor complex	M21B-E000556	IL21-STAT3	NODE09218	STAT3	M22B-E000425	target_gene	NODE06894	Nhlh2	induces_target_gene	21B>21B>22B	M21B-EVID-001699;M21B-EVID-000499;M22B-EVID-000059
CHAIN:00063	NODE04741	IL21	M21B-E001756	IL21-IL21R-IL2RG-activation	NODE04746	IL21R:IL2RG receptor complex	M21B-E000556	IL21-STAT3	NODE09218	STAT3	M22B-E000429	target_gene	NODE08297	Reg3g	induces_target_gene	21B>21B>22B	M21B-EVID-001699;M21B-EVID-000499;M22B-EVID-000003
CHAIN:00064	NODE04741	IL21	M21B-E001756	IL21-IL21R-IL2RG-activation	NODE04746	IL21R:IL2RG receptor complex	M21B-E000556	IL21-STAT3	NODE09218	STAT3	M22B-E000430	target_gene	NODE09040	Socs3	represses_target_gene	21B>21B>22B	M21B-EVID-001699;M21B-EVID-000499;M22B-EVID-000066
CHAIN:00065	NODE04741	IL21	M21B-E001756	IL21-IL21R-IL2RG-activation	NODE04746	IL21R:IL2RG receptor complex	M21B-E000556	IL21-STAT3	NODE09218	STAT3	M22B-E000431	target_gene	NODE09040	Socs3	induces_target_gene	21B>21B>22B	M21B-EVID-001699;M21B-EVID-000499;M22B-EVID-000001;M22B-EVID-000027;M22B-EVID-000057
CHAIN:00066	NODE04741	IL21	M21B-E001756	IL21-IL21R-IL2RG-activation	NODE04746	IL21R:IL2RG receptor complex	M21B-E000556	IL21-STAT3	NODE09218	STAT3	M22B-E000432	target_gene	NODE10364	Zfp36	induces_target_gene	21B>21B>22B	M21B-EVID-001699;M21B-EVID-000499;M22B-EVID-000083
CHAIN:00067	NODE04576	IL-6	M21B-E001760	IL6-gp130-receptor-complex-activation	NODE04599	IL-6R-gp130 receptor complex	M21B-E001717	IL6R-gp130-STAT3-proximal	NODE09218	STAT3	M22B-E000420	target_gene	NODE00993	Bmp2	induces_target_gene	21B>21B>22B	M21B-EVID-001703;M21B-EVID-001660;M22B-EVID-000060
CHAIN:00068	NODE04576	IL-6	M21B-E001760	IL6-gp130-receptor-complex-activation	NODE04599	IL-6R-gp130 receptor complex	M21B-E001717	IL6R-gp130-STAT3-proximal	NODE09218	STAT3	M22B-E000425	target_gene	NODE06894	Nhlh2	induces_target_gene	21B>21B>22B	M21B-EVID-001703;M21B-EVID-001660;M22B-EVID-000059
CHAIN:00069	NODE04576	IL-6	M21B-E001760	IL6-gp130-receptor-complex-activation	NODE04599	IL-6R-gp130 receptor complex	M21B-E001717	IL6R-gp130-STAT3-proximal	NODE09218	STAT3	M22B-E000429	target_gene	NODE08297	Reg3g	induces_target_gene	21B>21B>22B	M21B-EVID-001703;M21B-EVID-001660;M22B-EVID-000003
CHAIN:00070	NODE04576	IL-6	M21B-E001760	IL6-gp130-receptor-complex-activation	NODE04599	IL-6R-gp130 receptor complex	M21B-E001717	IL6R-gp130-STAT3-proximal	NODE09218	STAT3	M22B-E000430	target_gene	NODE09040	Socs3	represses_target_gene	21B>21B>22B	M21B-EVID-001703;M21B-EVID-001660;M22B-EVID-000066
CHAIN:00071	NODE04576	IL-6	M21B-E001760	IL6-gp130-receptor-complex-activation	NODE04599	IL-6R-gp130 receptor complex	M21B-E001717	IL6R-gp130-STAT3-proximal	NODE09218	STAT3	M22B-E000431	target_gene	NODE09040	Socs3	induces_target_gene	21B>21B>22B	M21B-EVID-001703;M21B-EVID-001660;M22B-EVID-000001;M22B-EVID-000027;M22B-EVID-000057
CHAIN:00072	NODE04576	IL-6	M21B-E001760	IL6-gp130-receptor-complex-activation	NODE04599	IL-6R-gp130 receptor complex	M21B-E001717	IL6R-gp130-STAT3-proximal	NODE09218	STAT3	M22B-E000432	target_gene	NODE10364	Zfp36	induces_target_gene	21B>21B>22B	M21B-EVID-001703;M21B-EVID-001660;M22B-EVID-000083
CHAIN:00073	NODE01902	CNTF	M21B-E001761	CNTF-CNTFR-gp130-LIFR-activation	NODE01907	CNTFR-alpha-gp130-LIFR receptor complex	M21B-E000058	CNTF-gp130-JAK-STAT3	NODE09218	STAT3	M22B-E000420	target_gene	NODE00993	Bmp2	induces_target_gene	21B>21B>22B	M21B-EVID-001704;M21B-EVID-000015;M22B-EVID-000060
CHAIN:00074	NODE01902	CNTF	M21B-E001761	CNTF-CNTFR-gp130-LIFR-activation	NODE01907	CNTFR-alpha-gp130-LIFR receptor complex	M21B-E000058	CNTF-gp130-JAK-STAT3	NODE09218	STAT3	M22B-E000425	target_gene	NODE06894	Nhlh2	induces_target_gene	21B>21B>22B	M21B-EVID-001704;M21B-EVID-000015;M22B-EVID-000059
CHAIN:00075	NODE01902	CNTF	M21B-E001761	CNTF-CNTFR-gp130-LIFR-activation	NODE01907	CNTFR-alpha-gp130-LIFR receptor complex	M21B-E000058	CNTF-gp130-JAK-STAT3	NODE09218	STAT3	M22B-E000429	target_gene	NODE08297	Reg3g	induces_target_gene	21B>21B>22B	M21B-EVID-001704;M21B-EVID-000015;M22B-EVID-000003
