evidence_id	regulator_key	regulator_symbol	species_scope	evidence_layer	support_kind	cell_or_model	assay_or_perturbation	observation	effect_direction	primary_citation	corroborating_citation	route_or_module_relevance	target_pair_scope	exportable	canonical_write_performed	limitations
public_tf_evidence_batch008_regulator_zscan31	zscan31	ZSCAN31	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human GTRD-derived promoter occupancy resource	GTRD ChIP-seq harmonization	The GTRD-derived ZSCAN31 target set contains queued ADAM17, CADM1, CMKLR1, and FGF9; no matched perturbation or orthogonal target-expression validation was located.	queued-pair direction not established	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZSCAN31_TARGET_GENES.html		regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch008_regulator_zkscan1	zkscan1	ZKSCAN1	mouse	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	mouse GTRD-derived promoter occupancy resource	GTRD ChIP-seq harmonization	The mouse GTRD-derived ZKSCAN1 target set contains queued Adam22, Adgrl2, Ado, and Ccl22; no matched perturbation or orthogonal target-expression validation was located.	queued-pair direction not established	https://www.gsea-msigdb.org/gsea/msigdb/mouse/geneset/ZKSCAN1_TARGET_GENES.html		regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch008_regulator_hand1	hand1	HAND1	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human GTRD-derived promoter occupancy resource	GTRD ChIP-seq harmonization	The human GTRD-derived HAND1 target set contains queued ADAM22, APLP2, CDH11, and EPOR; no matched perturbation or orthogonal target-expression validation was located.	queued-pair direction not established	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/HAND1_TARGET_GENES.html		regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch008_regulator_znf213	znf213	ZNF213	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human GTRD-derived promoter occupancy resource	GTRD ChIP-seq harmonization	The GTRD-derived ZNF213 target set contains queued ADA, ADO, APP, and CXCL16; no matched perturbation or orthogonal target-expression validation was located.	queued-pair direction not established	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF213_TARGET_GENES.html		regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch008_regulator_znf512b	znf512b	ZNF512B	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human transcriptional/chromatin studies and GTRD occupancy resource	NuRD/chromatin interaction, DNA-binding characterization, and GTRD ChIP-seq harmonization	ZNF512B has regulator-level chromatin/transcription evidence and its GTRD-derived target set contains queued COL6A3, FGF13, FST, and GDF11; no matched perturbation or orthogonal target-expression validation was located for these edges.	queued-pair direction not established	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF512B_TARGET_GENES.html	https://academic.oup.com/nar/article/54/15/gkag802/8758778	regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch008_regulator_znf197	znf197	ZNF197	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human GTRD-derived occupancy and regulator-network resources	GTRD ChIP-seq harmonization and regulator-network analysis	The GTRD-derived ZNF197 target set contains queued ADAM9, ADGRB3, and ALB; ADCYAP1 was not present in the fetched set. No matched functional queued edge was validated.	queued-pair direction not established	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF197_TARGET_GENES.html	https://www.frontiersin.org/journals/endocrinology/articles/10.3389/fendo.2023.1189570/pdf	regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch008_regulator_znf362	znf362	ZNF362	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human GTRD-derived promoter occupancy and gene-regulation annotations	GTRD ChIP-seq harmonization and regulatory annotation	The GTRD-derived ZNF362 target set contains queued ADGRL1, AMBN, APLP2, and FBN1; no matched perturbation or orthogonal target-expression validation was located.	queued-pair direction not established	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF362_TARGET_GENES.html	https://www.genecards.org/card/ZNF362	regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch008_regulator_znf547	znf547	ZNF547	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human GTRD-derived promoter occupancy resource	GTRD ChIP-seq harmonization	The GTRD-derived ZNF547 target set contains queued ATP1A3, CCL2, FBN1, and HMGB1; no matched perturbation or orthogonal target-expression validation was located.	queued-pair direction not established	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF547_TARGET_GENES.html		regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch008_regulator_barhl1	barhl1	BARHL1	human	regulator_identity_and_regulatory_capacity	primary_literature_regulator_level	human GTRD-derived target set with vertebrate Barhl1 promoter-binding literature	GTRD ChIP-seq harmonization; promoter ChIP and reporter assays in Barhl1 models	The human GTRD-derived BARHL1 target set contains queued ANXA2, CISH, DIP2A, and DKK1. Vertebrate Barhl1 has direct promoter-binding evidence at its own nonqueued promoter, but no queued target was validated by matched perturbation and target expression.	queued-pair direction not established	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/BARHL1_TARGET_GENES.html	https://pmc.ncbi.nlm.nih.gov/articles/PMC2268402/	regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
public_tf_evidence_batch008_regulator_znf577	znf577	ZNF577	human	regulator_identity_and_regulatory_capacity	authoritative_binding_dataset_only	human GTRD-derived promoter occupancy resource	GTRD ChIP-seq harmonization	The GTRD-derived ZNF577 target set contains queued ADA, APLP1, CDON, and DLL3; no matched perturbation or orthogonal target-expression validation was located.	queued-pair direction not established	https://www.gsea-msigdb.org/gsea/msigdb/human/geneset/ZNF577_TARGET_GENES.html		regulator-level evidence only	not evidence for queued exact pairs; no Module 22B edge or upstream relay inferred	false	false	Regulator-level evidence does not establish the queued target relationship, target-cell presence in SCI, downstream activation, or upstream relay.
