module22a_handoff_id	pair_label_canonical	terminal_tf_entities	module21a_evidence_ids	source_locators	source_species	source_cell_type_model	source_assay_or_perturbation	source_relation_type	source_evidence_layer	source_confidence_tier	source_evidence_summary	source_limitations	source_review_status	search_boundary	limitations	disposition	blocker_tags
M22A-HANDOFF-000223	Bmp8b Bmpr1b_acvr2a	SMAD1/5/8;SMAD2/3 candidates	M21A-PAIR-EVID-027	PMID:32694734; PMCID:PMC7617436; PMCID:PMC10780770; PMCID:PMC9234707	mouse hepatic stellate/3T3-L1/BAT systems and human NASH microtissues	mouse hepatic stellate/3T3-L1/BAT systems and human NASH microtissues	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	downstream_pathway_function	low	BMP8B ligand-level SMAD1/5/9 and SMAD2/3 branches	Exact ACVR/BMPR receptor complex is unresolved; do not transfer BMP8A receptor-complex evidence.	mapped_to_local_primary_source_packet	Primary downstream review batch001; TF target-program search remains separate.	BMP8B ligand-level family relay only; exact receptor complex unresolved.	not_promoted_under_current_strict_gate	receptor_or_composite_boundary;ligand_or_family_specificity_boundary;tf_or_target_assignment_unresolved;exact_pair_or_family_review_required
M22A-HANDOFF-000224	Bmp8b Bmpr1b_acvr2b	SMAD1/5/8;SMAD2/3 candidates	M21A-PAIR-EVID-027	PMID:32694734; PMCID:PMC7617436; PMCID:PMC10780770; PMCID:PMC9234707	mouse hepatic stellate/3T3-L1/BAT systems and human NASH microtissues	mouse hepatic stellate/3T3-L1/BAT systems and human NASH microtissues	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	downstream_pathway_function	low	BMP8B ligand-level SMAD1/5/9 and SMAD2/3 branches	Exact ACVR/BMPR receptor complex is unresolved; do not transfer BMP8A receptor-complex evidence.	mapped_to_local_primary_source_packet	Primary downstream review batch001; TF target-program search remains separate.	BMP8B ligand-level family relay only; exact receptor complex unresolved.	not_promoted_under_current_strict_gate	receptor_or_composite_boundary;ligand_or_family_specificity_boundary;tf_or_target_assignment_unresolved;exact_pair_or_family_review_required
M22A-HANDOFF-000225	Bmp8b Bmpr1b_bmpr2	SMAD1/5/8;SMAD2/3 candidates	M21A-PAIR-EVID-027	PMID:32694734; PMCID:PMC7617436; PMCID:PMC10780770; PMCID:PMC9234707	mouse hepatic stellate/3T3-L1/BAT systems and human NASH microtissues	mouse hepatic stellate/3T3-L1/BAT systems and human NASH microtissues	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	downstream_pathway_function	low	BMP8B ligand-level SMAD1/5/9 and SMAD2/3 branches	Exact ACVR/BMPR receptor complex is unresolved; do not transfer BMP8A receptor-complex evidence.	mapped_to_local_primary_source_packet	Primary downstream review batch001; TF target-program search remains separate.	BMP8B ligand-level family relay only; exact receptor complex unresolved.	not_promoted_under_current_strict_gate	receptor_or_composite_boundary;ligand_or_family_specificity_boundary;tf_or_target_assignment_unresolved;exact_pair_or_family_review_required
M22A-HANDOFF-000227	Btc Egfr	AP-1;ELK1 candidates	M21A-PAIR-EVID-028	PMID:8570211; DOI:10.1152/ajpcell.00436.2003	mouse receptor-defined Ba/F3 and rat vascular smooth-muscle systems	mouse receptor-defined Ba/F3 and rat vascular smooth-muscle systems	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	receptor_proximal_relay	medium	BTC-EGFR/ERBB4 receptor activation with ERK/PI3K candidates	Pair-specific receptor activation, but no pair-specific TF assay; AP-1/ELK1 are generic candidates only.	mapped_to_local_primary_source_packet	Primary downstream review batch001; TF target-program search remains separate.	BTC receptor activation with ERK/PI3K candidates; no pair-specific TF assay.	not_promoted_under_current_strict_gate	tf_or_target_assignment_unresolved
M22A-HANDOFF-000228	Btc Erbb4	AP-1;ELK1 candidates	M21A-PAIR-EVID-028	PMID:8570211; DOI:10.1152/ajpcell.00436.2003	mouse receptor-defined Ba/F3 and rat vascular smooth-muscle systems	mouse receptor-defined Ba/F3 and rat vascular smooth-muscle systems	See Module21A batch001 summary and cited primary sources.	pathway_or_functional_evidence	receptor_proximal_relay	medium	BTC-EGFR/ERBB4 receptor activation with ERK/PI3K candidates	Pair-specific receptor activation, but no pair-specific TF assay; AP-1/ELK1 are generic candidates only.	mapped_to_local_primary_source_packet	Primary downstream review batch001; TF target-program search remains separate.	BTC receptor activation with ERK/PI3K candidates; no pair-specific TF assay.	not_promoted_under_current_strict_gate	tf_or_target_assignment_unresolved
M22A-HANDOFF-000326	CGA_TSHB Tshr	ATF2	M21A-PAIR-EVID-805	PMID:14602775; DOI:10.1210/jc.2003-030664; PMID:11006268; DOI:10.1074/jbc.M002097200; DOI:10.1016/S0021-9258(17)36705-4; PMCID:PMC5585343	mouse/rat/human/hamster	CHO cells expressing human TSHR; FRTL5 rat thyroid cells; primary mouse thyroid cells; human thyroid membranes	TSH binding and cAMP accumulation; TSH stimulation; G-protein coupling; PKA/p38 perturbation; FRET cAMP/PKA sensors; receptor internalization perturbation	TSH heterodimer activation of TSHR with Gs and Gq/11 coupling and cAMP/PKA plus MAPK outputs	receptor_proximal_relay	high	TSHR → Gs/adenylyl cyclase/cAMP/PKA; Gq/11/PLC; Rac1/ROS → MKK3/6-p38-MAPK → ATF2; internalized TSHR late cAMP/PKA	The queued source is a CGA/TSHB composite; assays used purified or endogenous TSH and TSHR rather than manipulating CGA or TSHB biosynthesis. ATF2 phosphorylation is directly measured in a TSHR-expressing model, but it is a downstream TF substrate rather than evidence for all TSHR contexts.	mapped_to_local_primary_source_packet	Primary downstream review batches036_037_038_039; exact pair/family boundary search.	The queued source is a CGA/TSHB composite; assays used purified or endogenous TSH and TSHR rather than manipulating CGA or TSHB biosynthesis. ATF2 phosphorylation is directly measured in a TSHR-expressing model, but it is a downstream TF substrate rather than evidence for all TSHR contexts.	not_promoted_under_current_strict_gate	receptor_or_composite_boundary;program_or_function_level_boundary;model_or_context_boundary;exact_pair_or_family_review_required
M22A-HANDOFF-000327	Cholesterol-CEL Rora	RORA	M21A-PAIR-EVID-806	PMID:12467577; DOI:10.1016/S0969-2126(02)00912-7; PMID:14722075; DOI:10.1074/jbc.M400302200	human	purified human RORα ligand-binding domain; cell-based RORα transcriptional reporter systems	X-ray structure and ligand-pocket identification; intracellular cholesterol manipulation; RORα transcriptional reporter and pocket-mutant assays	direct cholesterol–RORα ligand binding and nuclear-receptor transcriptional activation; CEL retained as enzyme-context label	receptor_proximal_relay	medium-high	Cholesterol/RORα LBD → coactivator/DNA response-element transcription; cholesterol-homeostasis program	The evidence supports cholesterol or a cholesterol derivative as the RORα ligand; CEL was not manipulated and is not itself the ligand or receptor. Physiological ligand identity and flux from CEL remain context dependent.	mapped_to_local_primary_source_packet	Primary downstream review batches036_037_038_039; exact pair/family boundary search.	The evidence supports cholesterol or a cholesterol derivative as the RORα ligand; CEL was not manipulated and is not itself the ligand or receptor. Physiological ligand identity and flux from CEL remain context dependent.	not_promoted_under_current_strict_gate	receptor_or_composite_boundary;ligand_or_family_specificity_boundary;model_or_context_boundary;exact_pair_or_family_review_required
M22A-HANDOFF-000328	Cholesterol-CEL Rorc	RORC	M21A-PAIR-EVID-807	PMID:20203100; PMCID:PMC2870936; DOI:10.1210/me.2009-0507	human	purified human RORγ ligand-binding domain; cell-based RORγ reporter systems	AlphaScreen coactivator recruitment; RORγ ligand-pocket crystal structures; cholesterol/hydroxycholesterol dose curves; pocket-mutant RORγ reporter assays	direct cholesterol/sterol ligand activation of RORγ; CEL retained as enzyme-context label	receptor_proximal_relay	medium-high	Cholesterol/sterol → RORγ ligand-binding domain/coactivator recruitment → ROR response-element transcription	The primary study directly tested cholesterol and hydroxycholesterols, with stronger potency for hydroxycholesterols; CEL was not manipulated and no CEL-to-cholesterol flux or cell-specific terminal program was established.	mapped_to_local_primary_source_packet	Primary downstream review batches036_037_038_039; exact pair/family boundary search.	The primary study directly tested cholesterol and hydroxycholesterols, with stronger potency for hydroxycholesterols; CEL was not manipulated and no CEL-to-cholesterol flux or cell-specific terminal program was established.	not_promoted_under_current_strict_gate	receptor_or_composite_boundary;program_or_function_level_boundary;model_or_context_boundary;exact_pair_or_family_review_required
M22A-HANDOFF-000329	Cholesterol-DHCR7 Rora	RORA	M21A-PAIR-EVID-808	PMID:12467577; DOI:10.1016/S0969-2126(02)00912-7; PMID:14722075; DOI:10.1074/jbc.M400302200	human	purified human RORα ligand-binding domain; cell-based RORα transcriptional reporter systems	X-ray structure and ligand-pocket identification; intracellular cholesterol manipulation; RORα transcriptional reporter and pocket-mutant assays	direct cholesterol–RORα ligand binding and nuclear-receptor transcriptional activation; DHCR7 retained as sterol-enzyme context label	receptor_proximal_relay	medium-high	DHCR7/sterol-biosynthesis context → cholesterol/RORα LBD → coactivator/DNA response-element transcription	The evidence supports cholesterol or a cholesterol derivative as the RORα ligand; DHCR7 was not manipulated in the RORα assays, so no direct DHCR7-to-RORA signaling edge is claimed.	mapped_to_local_primary_source_packet	Primary downstream review batches036_037_038_039; exact pair/family boundary search.	The evidence supports cholesterol or a cholesterol derivative as the RORα ligand; DHCR7 was not manipulated in the RORα assays, so no direct DHCR7-to-RORA signaling edge is claimed.	not_promoted_under_current_strict_gate	receptor_or_composite_boundary;ligand_or_family_specificity_boundary;exact_pair_or_family_review_required
M22A-HANDOFF-000333	Clcf1 CNTFR_LIFR	STAT3	M21A-PAIR-EVID-812	PMID:11285233; PMCID:PMC145510; PMID:31700175; DOI:10.1038/78765	human; mouse; rat	CNTFR-expressing neuroblastoma/hepatoma cells; rat embryonic motor neurons; yeast-displayed/recombinant receptor complexes	composite CLC/CLCF1–CNTFRα formation; receptor competition and complex recruitment; gp130/LIFR/STAT3 phosphorylation; CNTFR blockade and motor-neuron survival assays	receptor-complex/pathway edge	receptor_proximal_relay	high	CNTFRα + gp130/LIFR → JAK/STAT3 and ERK → neuronal survival	The strongest primary evidence is for CLCF1/CLC with CRLF1/CLF-1 or soluble CNTFRα as a composite ligand; the queued standalone CLCF1 token is therefore retained as a receptor-complex candidate, not an isolated ligand claim. STAT3 activation is directly measured in the matched receptor-complex assays. Module 21A relay/function promotion batch058 (2026-09-02): evidence tier raised to high for the exact, context-bounded receptor-recognition, receptor-complex, or adhesion/function packet; upstream Module 20A confidence, evidence-layer scope, terminal-TF status, and SCI transfer remain unchanged.	mapped_to_local_primary_source_packet	Primary downstream review batches036_037_038_039; exact pair/family boundary search.	The strongest primary evidence is for CLCF1/CLC with CRLF1/CLF-1 or soluble CNTFRα as a composite ligand; the queued standalone CLCF1 token is therefore retained as a receptor-complex candidate, not an isolated ligand claim. STAT3 activation is directly measured in the matched receptor-complex assays.	not_promoted_under_current_strict_gate	receptor_or_composite_boundary;ligand_or_family_specificity_boundary;tf_or_target_assignment_unresolved;exact_pair_or_family_review_required
M22A-HANDOFF-000379	Cort-CYP11B1 Nr3c1	NR3C1	M21A-PAIR-EVID-857	PMID:25880059; PMID:26907965; DOI:10.1016/j.jsbmb.2016.02.017	mammalian; human receptor protein/cell systems	recombinant CYP11B1 steroidogenesis systems; human GR/NR3C1 ligand-binding and transcriptional reporter systems	CYP11B1 conversion of 11-deoxycortisol to cortisol; cortisol-dependent GR ligand-binding/transactivation and receptor-mutant assays	direct cortisol–NR3C1 nuclear-receptor activation; CYP11B1 retained as steroidogenic enzyme context	downstream_pathway_function	medium	CYP11B1-mediated cortisol production context → cortisol–NR3C1/GR → GRE-dependent transcription	The receptor evidence supports cortisol activation of NR3C1, while CYP11B1 is an enzyme that produces cortisol and was not shown to form a receptor complex; the queued composite is therefore decomposed into enzyme context plus direct cortisol–GR activation. No downstream TF beyond NR3C1 is inferred.	mapped_to_local_primary_source_packet	Primary downstream review batches040_041; exact pair/family boundary search.	The receptor evidence supports cortisol activation of NR3C1, while CYP11B1 is an enzyme that produces cortisol and was not shown to form a receptor complex; the queued composite is therefore decomposed into enzyme context plus direct cortisol–GR activation. No downstream TF beyond NR3C1 is inferred.	not_promoted_under_current_strict_gate	receptor_or_composite_boundary;program_or_function_level_boundary;model_or_context_boundary;exact_pair_or_family_review_required
M22A-HANDOFF-000380	Cort-CYP11B1 Nr3c2	NR3C2	M21A-PAIR-EVID-858	PMID:25880059; PMID:38866188; PMID:19541744; DOI:10.1210/me.2009-0032	mammalian; human receptor protein/cell systems	recombinant CYP11B1 steroidogenesis systems; human MR/NR3C2 reporter and ligand-response systems	CYP11B1 conversion of 11-deoxycortisol to cortisol; cortisol-dependent MR ligand response, nuclear translocation, and reporter/N–C interaction assays	direct cortisol–NR3C2 nuclear-receptor activation; CYP11B1 retained as steroidogenic enzyme context	downstream_pathway_function	medium	CYP11B1-mediated cortisol production context → cortisol–NR3C2/MR → mineralocorticoid-response-element transcription	Cortisol activates NR3C2/MR in the cited receptor systems, but CYP11B1 is a biosynthetic enzyme rather than a receptor component and was not manipulated in the MR assays; no downstream TF beyond NR3C2 is inferred.	mapped_to_local_primary_source_packet	Primary downstream review batches040_041; exact pair/family boundary search.	Cortisol activates NR3C2/MR in the cited receptor systems, but CYP11B1 is a biosynthetic enzyme rather than a receptor component and was not manipulated in the MR assays; no downstream TF beyond NR3C2 is inferred.	not_promoted_under_current_strict_gate	receptor_or_composite_boundary;program_or_function_level_boundary;exact_pair_or_family_review_required
M22A-HANDOFF-000441	E2-CYP19A1 Esr2	ESR2	M21A-PAIR-EVID-905	PMID:9292936; PMID:12554768; PMID:9278514; DOI:10.1210/me.2002-0331	human; rat	bacterially expressed rat ERβ/ERα ligand-binding domains; recombinant human ERα/ERβ coactivator assay; ER-responsive reporter systems	[3H]E2 competition binding; E2-dependent coactivator recruitment and ERE/AP-1 transactivation assays	mature 17β-estradiol ESR2 nuclear-receptor/TF activation; aromatase biosynthesis composite context	receptor_proximal_relay	high	CYP19A1 context→estrogen production; mature E2→ESR2→ERE/AP-1 transcription	CYP19A1 was not manipulated in the receptor assays and is not an ESR2 subunit. The evidence supports mature E2→ESR2 activation and transcription, not a direct E2-CYP19A1 composite molecular edge. ESR2 is assigned as the directly activated receptor/TF node. Module 21A relay/function promotion batch059 (2026-09-02): evidence tier raised to high for the exact, context-bounded proteolytic GPCR or mature-ligand receptor packet; biosynthetic enzyme context, terminal-TF status, evidence-layer scope, upstream Module 20A confidence, and SCI transfer remain unchanged.	mapped_to_local_primary_source_packet	Primary downstream review batches042_043_044_045; exact pair/family boundary search.	CYP19A1 was not manipulated in the receptor assays and is not an ESR2 subunit. The evidence supports mature E2→ESR2 activation and transcription, not a direct E2-CYP19A1 composite molecular edge. ESR2 is assigned as the directly activated receptor/TF node.	not_promoted_under_current_strict_gate	receptor_or_composite_boundary;ligand_or_family_specificity_boundary;exact_pair_or_family_review_required
M22A-HANDOFF-000445	E2-HSD17B1 Esr2	ESR2	M21A-PAIR-EVID-909	PMID:25617485; PMID:8769313; DOI:10.1016/j.cbi.2015.01.008; https://pubmed.ncbi.nlm.nih.gov/?term=E2-HSD17B1+ESR2	human; mouse	human HSD17B1 transgenic ERE-luciferase mice; CHO cells expressing human ESR2	HSD17B1 expression or inhibition during E1 challenge; E2-driven ESR2 ERE-reporter transactivation	source-enzyme to E2 to ESR2 transcriptional response; composite route, not direct HSD17B1-ESR2 binding	downstream_pathway_function	medium	estrogen synthesis and ESR2-dependent ERE transcription	HSD17B1 converts E1 to E2 and increases aggregate estrogen-responsive reporter activity; ESR2 activation by E2 was measured in a separate receptor assay, so the composite CellChat edge is not a direct enzyme-receptor molecular interaction.	mapped_to_local_primary_source_packet	Primary downstream review batches042_043_044_045; exact pair/family boundary search.	HSD17B1 converts E1 to E2 and increases aggregate estrogen-responsive reporter activity; ESR2 activation by E2 was measured in a separate receptor assay, so the composite CellChat edge is not a direct enzyme-receptor molecular interaction.	not_promoted_under_current_strict_gate	receptor_or_composite_boundary;model_or_context_boundary;exact_pair_or_family_review_required
M22A-HANDOFF-000481	GABA-GAD1_SLC32A1 Gabbr1	CREB	M21A-PAIR-EVID-939	PMID:11588177; PMCID:PMC6763845; PMID:10751439; PMCID:PMC6772195; PMID:17582742; DOI:10.1016/j.cellsig.2007.05.004	rat; mouse	GABAB1/GABAB2 recombinant and neuronal systems; cultured cerebellar granule neurons; sympathetic neurons	GABA or baclofen stimulation; GABAB1/GABAB2 coexpression and receptor-coupling assays; PTX, ERK1/2, and CREB phosphorylation perturbations	receptor-complex/pathway edge	receptor_proximal_relay	medium	mature GABA → GABAB1/GABAB2 → Gi/o/Gβγ → ERK1/2 → CREB; GAD1/SLC32A1 source-processing branch not directly tested	GABBR1 is the ligand-binding component but functional surface signaling requires the GABBR1–GABBR2 heterodimer. The assays used exogenous GABA or baclofen and did not perturb the queued GAD1/SLC32A1 composite. CREB phosphorylation was measured downstream of GABAB activation, not as a direct GAD1/SLC32A1 effect.	mapped_to_local_primary_source_packet	Primary downstream review batches042_043_044_045; exact pair/family boundary search.	GABBR1 is the ligand-binding component but functional surface signaling requires the GABBR1–GABBR2 heterodimer. The assays used exogenous GABA or baclofen and did not perturb the queued GAD1/SLC32A1 composite. CREB phosphorylation was measured downstream of GABAB activation, not as a direct GAD1/SLC32A1 effect.	not_promoted_under_current_strict_gate	receptor_or_composite_boundary;ligand_or_family_specificity_boundary;program_or_function_level_boundary;exact_pair_or_family_review_required
