promotion_id	link_id	handoff_id	pair_key	pair_label_canonical	terminal_tf_entities	source_entity	target_entity	edge_id	evidence_id	evidence_source_locator	evidence_confidence_tier	phase2_extraction_id	phase2_confidence	promotion_status	promotion_confidence_tier	decision_basis	handoff_limitations	edge_limitations	evidence_limitations	module21a_handoff_unchanged	module22b_register_unchanged	sql_materialization
module22a-22b-high-confidence-bounded-2026-09-02	M22A22B-LINK-011	M22A-HANDOFF-000440	e2-cyp19a1 esr1	E2-CYP19A1 Esr1	ESR1	ESR1	CYP19A1	M22B-E000167	M22B-EVID-000105	PMID:19605792;PMCID:PMC6366152;DOI:10.1095/biolreprod.109.077206		M22B-P2-R-000105-R093	High for ESR1/JUN occupancy and promoter regulation in the reported model; bounded for receptor-complex and SCI transfer	promote_existing_high_tf_target_bounded_handoff	high	Estradiol-ESR1/JUN occupancy and functional promoter regulation at Cyp19a1 promoter I.f in mouse hypothalamic neuronal models.	CYP19A1 was not manipulated in the receptor assays and is not an ESR1 subunit. The evidence supports mature E2→ESR1 activation and transcription, not a direct E2-CYP19A1 composite molecular edge. ESR1 is assigned as the directly activated receptor/TF node.	Direct, pathway, program, and functional layers remain distinct.		true	true	false
module22a-22b-high-confidence-bounded-2026-09-02	M22A22B-LINK-012	M22A-HANDOFF-003978	il4 il13_il13ra1_il4ra	Il4 Il13_Il13ra1_Il4ra	STAT6	STAT6	Arg1	M22B-E000459	M22B-EVID-000054	PMID:16814729		M22B-P2-R-000054-R100	High for measured STAT6 promoter ChIP and Arg1 expression in the tested macrophage model; bounded for receptor-complex specificity, direct biochemical affinity, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	high	IL-4/IL4RA-IL13RA1 type-II receptor-complex handoff linked to bounded STAT6 occupancy and Arg1 regulation in infected mouse macrophages.	The queue uses a composite receptor label; the primary evidence resolves the canonical IL4RA–IL13RA1 type-II IL-4 receptor. IL-13 is a receptor-complex family label here, not evidence that IL-13 is part of the IL-4 ligand edge.	Direct, pathway, program, and functional layers remain distinct.		true	true	false
module22a-22b-high-confidence-bounded-2026-09-02	M22A22B-LINK-013	M22A-HANDOFF-003979	il4 il13ra1_il4ra	Il4 Il13ra1_Il4ra	STAT6	STAT6	Arg1	M22B-E000459	M22B-EVID-000054	PMID:16814729		M22B-P2-R-000054-R100	High for measured STAT6 promoter ChIP and Arg1 expression in the tested macrophage model; bounded for receptor-complex specificity, direct biochemical affinity, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	high	IL-4/IL4RA-IL13RA1 type-II receptor-complex handoff linked to bounded STAT6 occupancy and Arg1 regulation in infected mouse macrophages.	IL4 can also signal through the type-I IL4RA-IL2RG complex; the type-II assignment here is supported by receptor-chain genetics and should not be merged with that branch.	Direct, pathway, program, and functional layers remain distinct.		true	true	false
module22a-22b-high-confidence-bounded-2026-09-02	M22A22B-LINK-014	M22A-HANDOFF-005070	thpo mpl	Thpo Mpl	STAT5 (provisional)	STAT5A;STAT5B	Ccnd1	M22B-E000455	M22B-EVID-000077	PMID:14645506;PMCID:PMC309603		M22B-P2-R-000077-R091	High for the direct TPO-STAT5-Ccnd1 promoter mechanism; bounded for receptor-complex detail, paralog specificity, and SCI	promote_existing_high_tf_target_bounded_handoff	high	TPO/MPL-associated STAT5A/STAT5B recruitment and cyclin D1 promoter activation in UT7-mpl cells.	The receptor is a homodimer and signaling output is mutation-, ligand-bias-, and lineage-dependent; STAT5 is a provisional pathway endpoint and no SCI receiver context was tested.	Direct, pathway, program, and functional layers remain distinct.		true	true	false
module22a-22b-high-confidence-bounded-2026-09-02	M22A22B-LINK-015	M22A-HANDOFF-003039	col1a1 ddr2	Col1a1 Ddr2	PEA3	PEA3	DDR1 promoter	M22B-E000299	M22B-EVID-000198	PMID:21335558;PMCID:PMC3075638;PMID:12611880		M22B-P2-B090-003	high for the tested human fibroblast/HEK293 systems; bounded for SCI transfer	promote_existing_high_tf_target_bounded_handoff	high	Collagen-I/DDR2-associated PEA3 recruitment and functional regulation of the DDR1 promoter in human lung-fibroblast systems.	Direct binding and activation are supported by recombinant/peptide and cell assays, while the downstream branch is from human lung-fibroblast collagen-I stimulation and includes a DDR1-expression feedback response; no SCI-specific receiver state. PEA3 is a provisional explicit promoter endpoint, not a universal terminal program.	Direct, pathway, program, and functional layers remain distinct.		true	true	false
module22a-22b-high-confidence-bounded-2026-09-02	M22A22B-LINK-016	M22A-HANDOFF-003267	ebi3_il12a il12rb2_il6st	Ebi3_Il12a Il12rb2_Il6st	STAT1;STAT4	STAT1;STAT4	IL-35-induced iTr35 suppressor program	M22B-E000417	M22B-EVID-000030	PMCID:PMC3529151		M22B-P2-R-000028C	High for the named promoter-site occupancy and transcriptional association; bounded for causal site-specific activation	promote_existing_high_tf_target_bounded_handoff	high	IL-35-associated STAT1:STAT4 co-occupancy and perturbation-supported regulation of the Il12a/Ebi3 promoter module in activated mouse T cells.	The primary work also detects partial signaling through IL12RB2 or gp130 homodimers; the submitted receptor-complex row is the fully functional heteromeric branch in activated T-cell models. STAT1 and STAT4 are direct biochemical effectors here, but quantitative output varies with T-cell activation state.	Direct, pathway, program, and functional layers remain distinct.		true	true	false
module22a-22b-high-confidence-bounded-2026-09-02	M22A22B-LINK-017	M22A-HANDOFF-001806	bmp2 bmpr1a_acvr2a	Bmp2 BMPR1A_ACVR2A	SMAD1/5/8;SMAD4 candidates	SMAD1;SMAD4	Id1	M22B-E000353	M22B-EVID-000037	PMID:12296825;DOI:10.1046/j.1365-2443.2002.00573.x		M22A-P2-NEW-BMP2-ID1-20260902	High for the BMP2-responsive SMAD1/SMAD4-Id1 promoter mechanism in the tested comparator systems; bounded for exact submitted receptor-complex assignment, BMP-family transfer, paralog specificity beyond SMAD1/SMAD4, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	high	BMP2-responsive SMAD1/SMAD4 binding and perturbation-supported regulation of the Id1 promoter in mouse myoblast and human Smad4-deficient comparator systems; bounded for the submitted ACVR2A-containing receptor pair and SCI transfer.	Pair-specific BMP2 receptor/pSMAD branch, non-SCI model.	Direct, pathway, program, and functional layers remain distinct.		true	true	false
module22a-22b-high-confidence-bounded-2026-09-02	M22A22B-LINK-018	M22A-HANDOFF-001808	bmp2 bmpr1a_bmpr2	Bmp2 BMPR1A_BMPR2	SMAD1/5/8;SMAD4 candidates	SMAD1;SMAD4	Id1	M22B-E000353	M22B-EVID-000037	PMID:12296825;DOI:10.1046/j.1365-2443.2002.00573.x		M22A-P2-NEW-BMP2-ID1-20260902	High for the BMP2-responsive SMAD1/SMAD4-Id1 promoter mechanism in the tested comparator systems; bounded for exact submitted receptor-complex assignment, BMP-family transfer, paralog specificity beyond SMAD1/SMAD4, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	high	BMP2-responsive SMAD1/SMAD4 binding and perturbation-supported regulation of the Id1 promoter in mouse myoblast and human Smad4-deficient comparator systems; bounded for the submitted BMPR2-containing receptor pair and SCI transfer.	Pair-containing BMP2 receptor/pSMAD branch; target program deferred.	Direct, pathway, program, and functional layers remain distinct.		true	true	false
module22a-22b-high-confidence-bounded-2026-09-02	M22A22B-LINK-019	M22A-HANDOFF-001811	bmp2 bmpr1b_bmpr2	Bmp2 BMPR1B_BMPR2	SMAD1/5/8;SMAD4 candidates	SMAD1;SMAD4	Id1	M22B-E000353	M22B-EVID-000037	PMID:12296825;DOI:10.1046/j.1365-2443.2002.00573.x		M22A-P2-NEW-BMP2-ID1-20260902	High for the BMP2-responsive SMAD1/SMAD4-Id1 promoter mechanism in the tested comparator systems; bounded for exact submitted receptor-complex assignment, BMP-family transfer, paralog specificity beyond SMAD1/SMAD4, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	high	BMP2-responsive SMAD1/SMAD4 binding and perturbation-supported regulation of the Id1 promoter in mouse myoblast and human Smad4-deficient comparator systems; bounded for the submitted BMPR1B/BMPR2 receptor pair and SCI transfer.	Pair-containing BMP2 BMPR2/BMPR1B pSMAD branch.	Direct, pathway, program, and functional layers remain distinct.		true	true	false
module22a-22b-high-confidence-bounded-2026-09-02	M22A22B-LINK-020	M22A-HANDOFF-001284	il12ab il12rb1_il12rb2	IL12AB IL12RB1_IL12RB2	STAT4	STAT4	Tbx21 target enhancer	M22B-E000443	M22B-EVID-000050	PMID:17575072		M22A-P2-NEW-IL12-TBX21-20260902	High for IL12/STAT4-responsive Tbx21 enhancer regulation in the tested CD8 T-cell and reporter systems; bounded for receptor-complex detail, cooperation with STAT1 or other factors, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	high	IL12/STAT4 occupancy and mutation-sensitive activation of a conserved Tbx21/T-bet enhancer in CD8 T-cell and reporter systems; bounded for the tested lymphocyte context and SCI transfer.	Structural and functional work supports the exact heterodimeric IL-12 plus IL12RB1/IL12RB2 composition, but cellular outputs vary with lymphocyte activation and accessory-cell context. No direct TF occupancy assay was required for the STAT4 assignment.	Direct, pathway, program, and functional layers remain distinct.		true	true	false
module22a-22b-high-confidence-bounded-2026-09-02	M22A22B-LINK-021	M22A-HANDOFF-001446	nodal acvr1c_acvr2b_cfc1	Nodal ACVR1C_ACVR2B_CFC1	FOXH1	FOXH1	Foxh1-bound Nodal direct-target module including gsc,nodal1,cer1,hhex,and lefty	M22B-E000181	M22B-EVID-000158	PMID:25359723;PMCID:PMC4302925;PMCID:PMC5434453		M22A-P2-NEW-NODAL-FOXH1-20260902	High for Nodal-responsive FOXH1/SMAD2/3 occupancy and target-module association in Xenopus embryos; bounded for exact receptor-complex composition, developmental context, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	high	Nodal-responsive FOXH1/SMAD2/3 occupancy and loss-of-function-supported regulation of a mesendoderm target module in Xenopus embryos; bounded for receptor-complex substitutions, developmental context, and SCI transfer.	The evidence supports a Nodal receptor-complex branch rather than a binary NODAL–ACVR1C edge. ACVR1B can substitute for ACVR1C in some systems, and developmental outputs are species/context dependent. FOXH1 is retained as a directly studied Nodal pathway TF mediator, not as an inferred generic TGF-beta endpoint.	Direct, pathway, program, and functional layers remain distinct.		true	true	false
module22a-22b-high-confidence-bounded-2026-09-02	M22A22B-LINK-022	M22A-HANDOFF-003270	edil3 itgb5	Edil3 Itgb5	HOXD3	HOXD3	EDIL3-alphaVbeta5 angiogenic HOXD3 program	M22B-E000207	M22B-EVID-000207	PMID:12840057;PMCID:PMC162283;PMID:11959660;PMID:21893328		M22A-P2-NEW-EDIL3-HOXD3-20260902	High for the EDIL3/alphaVbeta5-associated HOXD3 angiogenic program in vascular comparator systems; bounded for isolated ITGB5, downstream alphaVbeta3 branch details, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	high	EDIL3/Del-1 engagement of endothelial alphaVbeta5 is linked to HOXD3 induction and an angiogenic transcriptional program; bounded for alphaVbeta5 rather than ITGB5 alone, vascular context, and SCI transfer.	Direct evidence is for the alphaVbeta5 heterodimer, not ITGB5 as an isolated subunit; the functional pathway is vascular and no SCI-specific model was required by this exact-pair review.	Direct, pathway, program, and functional layers remain distinct.		true	true	false
module22a-22b-high-confidence-bounded-2026-09-02	M22A22B-LINK-023	M22A-HANDOFF-003608	gip gipr	Gip Gipr	CREB	CREB	LPL promoter CRE-II	M22B-E000095	M22B-EVID-000215	PMID:20693566;PMCID:PMC2952555;PMID:35192688;PMCID:PMC7612781		M22A-P2-NEW-GIP-LPL-20260902	High for GIP-associated CREB/TORC2-LPL promoter regulation in the tested human adipocyte and GIPR-reporter systems; bounded for insulin co-treatment, TORC2 co-regulation, receptor localization, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	high	GIP/GIPR-associated phospho-CREB/TORC2 occupancy and perturbation-supported activation of the LPL promoter in human adipocyte and GIPR-expressing reporter systems; bounded for insulin co-treatment and metabolic-cell context.	The direct CREB endpoint is demonstrated in human adipocytes under insulin co-treatment, whereas GIPR localization and metabolic effects are cell-type dependent in mouse adipose tissue. No SCI-specific receiver state was tested.	Direct, pathway, program, and functional layers remain distinct.		true	true	false
module22a-22b-high-confidence-bounded-2026-09-02	M22A22B-LINK-024	M22A-HANDOFF-004124	lep lepr	Lep Lepr	STAT3	STAT3	Nhlh2	M22B-E000425	M22B-EVID-000059	PMID:24486192		M22A-P2-NEW-LEPTIN-NHLH2-20260902	High for leptin-responsive STAT3-Nhlh2 promoter regulation in the tested hypothalamic systems; bounded for LEPR isoform, cell-state, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	high	Leptin-responsive STAT3 occupancy and promoter-site mutagenesis support for Nhlh2 regulation in mouse hypothalamic models; bounded for long LEPR signaling and hypothalamic context.	Only the long LEPR isoform is a robust signaling receptor; receptor isoform, hypothalamic cell state, and leptin sensitivity determine the relative contribution of STAT3 and ERK branches.	Direct, pathway, program, and functional layers remain distinct.		true	true	false
module22a-22b-high-confidence-bounded-2026-09-02	M22A22B-LINK-025	M22A-HANDOFF-004583	prl prlr	Prl Prlr	STAT5	STAT5A;STAT5B	Csn2	M22B-E000457	M22B-EVID-000072	PMID:9343435;PMCID:PMC232525;DOI:10.1128/MCB.17.11.6708		M22A-P2-NEW-PRL-CSN2-20260902	High for PRL/STAT5-dependent beta-casein/Csn2 promoter regulation in the tested mammary comparator systems; bounded for receptor isoform, glucocorticoid cofactor dependence, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	high	PRL/PRLR/JAK2/STAT5 signaling and STAT5 response-element dependence at the beta-casein/Csn2 promoter in mammary epithelial comparator systems; bounded for receptor isoform and mammary hormonal context.	PRLR isoform, tissue, and hormonal state determine signaling; liver can express PRLR/JAK2 without the mammary STAT5 response. STAT5 is a measured downstream endpoint, not a direct PRLR-TF interaction.	Direct, pathway, program, and functional layers remain distinct.		true	true	false
module22a-22b-high-confidence-bounded-2026-09-02	M22A22B-LINK-026	M22A-HANDOFF-002399	a2m lrp1	A2m Lrp1	CREB	CREB	Activated alpha2M-LRP1-Src/Trk-ERK/Akt-CREB neural response program	M22B-E000032	M22B-EVID-000192	PMID:21290408;PMID:18499670;PMID:15169786;PMCID:PMC2696635		M22A-P2-NEW-A2M-CREB-20260902	High for the activated alpha2M/LRP1-associated CREB neural response program in the tested neuronal systems; bounded for A2M activation state, co-receptor use, and absence of a named CREB target gene	promote_existing_high_tf_target_bounded_handoff	high	Activated alpha2M/LRP1-associated ERK/Akt/CREB neural response and neurite-output program in neuronal comparator systems; bounded for activated alpha2M rather than native A2M, co-receptor use, and use of a program-level edge rather than a named CREB target gene.	The signaling ligand is activated/methylamine-modified alpha2M or an LRP1-binding fragment rather than native unactivated A2M; LRP1 has multiple ligands and some alpha2M signaling can involve additional receptors. CREB phosphorylation/transcriptional output is model-specific.	Direct, pathway, program, and functional layers remain distinct.		true	true	false
module22a-22b-high-confidence-bounded-2026-09-02	M22A22B-LINK-027	M22A-HANDOFF-001861	fgf10 fgfr2	Fgf10 Fgfr2	ETV4/ETV5 candidates	ETV5	Shh MACS1 long-range enhancer	M22B-E000174	M22B-EVID-000141	PMID:26555052;PMCID:PMC4763945;DOI:10.1016/j.devcel.2015.10.006		M22A-P2-NEW-FGF10-ETV5-20260902	High for FGF10-associated ETV5 occupancy and Shh-enhancer regulation in the tested embryonic lung systems; bounded for ETV4 paralog transfer, FGFR2 isoform detail, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	high	FGF10/FGFR2-associated ETV5 occupancy and mutation-sensitive activation of the Shh long-range enhancer in embryonic lung models; bounded for ETV4 paralog transfer, FGFR2 isoform resolution, and SCI transfer.	Reuse is limited to mouse embryonic lung/FGFR2b; ETV4/5 are reporter/transcript readouts, not occupancy.	Direct, pathway, program, and functional layers remain distinct.		true	true	false
module22a-22b-high-confidence-bounded-2026-09-02	M22A22B-LINK-028	M22A-HANDOFF-001885	fgf23 fgfr4	Fgf23 Fgfr4	NFAT candidate	NFAT	FGF23-FGFR4-PLCgamma-calcineurin-NFAT cardiac hypertrophy program	M22B-E000272	M22B-EVID-000179	PMID:26437603;PMID:28512310;PMCID:PMC9329240		M22A-P2-NEW-FGF23-NFAT-20260902	High for the FGF23-FGFR4-associated NFAT cardiac program in the tested models; bounded for direct NFAT target-gene occupancy, tissue/disease context, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	high	FGF23/FGFR4 activation of the PLCgamma/calcineurin/NFAT cardiac hypertrophy program in cardiomyocyte and rodent disease models; bounded as a program association without a unique NFAT target-gene occupancy claim.	Heparin/cofactor and tissue dependence are essential; no generalized FGFR4 reuse.	Direct, pathway, program, and functional layers remain distinct.		true	true	false
module22a-22b-high-confidence-bounded-2026-09-02	M22A22B-LINK-029	M22A-HANDOFF-003909	il12a_il12b il12rb1_il12rb2	Il12a_Il12b Il12rb1_Il12rb2	STAT4	STAT4	Tbx21 target enhancer	M22B-E000443	M22B-EVID-000050	PMID:17575072		M22A-P2-NEW-IL12-TBX21-20260902	High for IL12/STAT4-responsive Tbx21 enhancer regulation in the tested CD8 T-cell and reporter systems; bounded for receptor-complex detail, cooperation with STAT1 or other factors, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	high	IL12A/IL12B heterodimer-STAT4 occupancy and mutation-sensitive activation of the conserved Tbx21/T-bet enhancer in CD8 T-cell and reporter systems; bounded for the tested lymphocyte context and SCI transfer.	The pair denotes the heterodimeric IL-12 ligand and heteromeric receptor; shared p40/IL12RB1 biology with IL-23 is not transferred to this row. STAT4 is recorded as a provisional endpoint for Module22A validation.	Direct, pathway, program, and functional layers remain distinct.		true	true	false
module22a-22b-high-confidence-bounded-2026-09-02	M22A22B-LINK-030	M22A-HANDOFF-003349	epo epor	Epo Epor	STAT5	STAT5	Cish	M22B-E000449	M22B-EVID-000006	PMID:9129017;https://pubmed.ncbi.nlm.nih.gov/9129017/	high	M22A-P2-NEW-EPO-CISH-20260902	High for EPO/STAT5-dependent CISH promoter activation in the tested hematopoietic and reconstituted systems; bounded for receptor reconstitution, cytokine comparators, and SCI transfer	promote_existing_high_tf_target_bounded_handoff	high	EPO/EPOR-dependent STAT5 activation and CISH promoter activation in hematopoietic and EPO-receptor/STAT5-reconstituted reporter systems; bounded for the tested hematopoietic context and SCI transfer.	The JAK2-STAT5 branch is robust but context-dependent in timing and cell state; PI3K/MAPK branches also occur. STAT5 is assigned because primary EPOR perturbation studies explicitly identify it as an EPO endpoint.	Direct, pathway, program, and functional layers remain distinct.	Promoter/reconstitution evidence is strongest for EPO/STAT5 and induction also includes IL-2/IL-3. The paper does not establish IL-5, IL-7, IL-9, IL-15, or SCI receiver-cell receptor-specific induction.	true	true	false
