regulator_key	display_symbols	species_scope	primary_role_category	role_subcategory	source_registry	source_version	source_record_id	raw_tf_symbol	normalized_tf_symbol	tf_uniprot_id	target_membership_count	membership_semantics	claimed_effect	candidate_regulon_status	target_cell_presence_status	downstream_activation_status	upstream_relay_status	module_route	module22b_eligibility	source_locator	source_snapshot	raw_record_sha256	provenance_status	source_notes	reference_pmids	provenance_note
apobec3b	APOBEC3B	human	regulon_lead_unclassified	aggregated_tf_link_target_lead	TFLink	TFLink_v1.0_snapshot	tflink:human:001173:b55e2cac60a4	APOBEC3B	APOBEC3B	Q9UH17	4356	aggregated_regulon_set_candidate	unknown	database_attributed_candidate_regulon_set	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_role_review	not_ready_pending_role_and_exact_pair_review	https://tflink.net/download/#interaction-gmt	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	b55e2cac60a407fba88abae81c94aa6e12ec2c126390d41d29fc0f7d02f2740e	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.		Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: regulon_lead_unclassified.
arhgap35	ARHGAP35	human	regulon_lead_unclassified	aggregated_tf_link_target_lead	TFLink	TFLink_v1.0_snapshot	tflink:human:000591:dac37f947c87	ARHGAP35	ARHGAP35	Q9NRY4	93	aggregated_regulon_set_candidate	unknown	database_attributed_candidate_regulon_set	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_role_review	not_ready_pending_role_and_exact_pair_review	https://tflink.net/download/#interaction-gmt	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	dac37f947c87bcc7800ff30d0938164dea90b4f35d9b9ffcb0fd400c76b62c3a	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.		Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: regulon_lead_unclassified.
arid2	ARID2;Arid2	human	noncanonical_transcriptional_regulator	chromatin_remodeler_or_architecture	TFLink	TFLink_v1.0_snapshot	tflink:human:000875:6818695fb4ed	ARID2	ARID2	Q68CP9	13776	aggregated_regulon_set_candidate	unknown	database_attributed_candidate_regulon_set	not_assessed	not_assessed	not_assessed	regulatory_machinery_candidate_program_review	not_strict_tf_candidate_sidecar_export_exclude	https://tflink.net/download/#interaction-gmt	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	6818695fb4ed6d7919eed137c184776d1608628f3d93b3c8ac0f6774987950d5	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.		Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: noncanonical_transcriptional_regulator.
arid4b	ARID4B;Arid4b	human	noncanonical_transcriptional_regulator	chromatin_remodeler_or_architecture	TFLink	TFLink_v1.0_snapshot	tflink:human:001002:3f8047a75b6d	ARID4B	ARID4B	Q4LE39	10175	aggregated_regulon_set_candidate	unknown	database_attributed_candidate_regulon_set	not_assessed	not_assessed	not_assessed	regulatory_machinery_candidate_program_review	not_strict_tf_candidate_sidecar_export_exclude	https://tflink.net/download/#interaction-gmt	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	3f8047a75b6db78897a187cf265f9de83148d5afe2f74f88805a881a1cedfca4	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.		Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: noncanonical_transcriptional_regulator.
arnt2	ARNT2;Arnt2	human	catalog_concordant_tf_candidate	identity_supported_pair_unverified	TFLink	TFLink_v1.0_snapshot	tflink:human:001023:845ff74557b8	ARNT2	ARNT2	Q9HBZ2	601	aggregated_regulon_set_candidate	unknown	database_attributed_candidate_regulon_set	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	https://tflink.net/download/#interaction-gmt	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	845ff74557b8f8c2ab7f0f0fbb8745aaddbb2af7bea8a99fc9dd2fcb20b35925	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.		Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
arrb1	ARRB1	human	signaling_metabolic_membrane_or_cell_cycle	enzyme_receptor_transporter_or_cell_cycle	TFLink	TFLink_v1.0_snapshot	tflink:human:001026:25230109f42a	ARRB1	ARRB1	P49407	7007	aggregated_regulon_set_candidate	unknown	database_attributed_candidate_regulon_set	not_assessed	not_assessed	not_assessed	role_specific_candidate_review	not_strict_tf_pending_role_and_functional_review	https://tflink.net/download/#interaction-gmt	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	25230109f42ad89302bc2d9edf8d29e8395940a150056496493d4cb0671523a7	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.		Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: signaling_metabolic_membrane_or_cell_cycle.
ascl2	ASCL2;Ascl2	human	catalog_concordant_tf_candidate	identity_supported_pair_unverified	TFLink	TFLink_v1.0_snapshot	tflink:human:001045:0be97b935eac	ASCL2	ASCL2	Q99929	7703	aggregated_regulon_set_candidate	unknown	database_attributed_candidate_regulon_set	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	https://tflink.net/download/#interaction-gmt	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	0be97b935eace079da6ab5d760b43cbb697b4de87333473c7cb4073c046ebe24	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.		Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
asf1a	ASF1A	human	regulon_lead_unclassified	aggregated_tf_link_target_lead	TFLink	TFLink_v1.0_snapshot	tflink:human:001112:57bf41a345d1	ASF1A	ASF1A	Q9Y294	3684	aggregated_regulon_set_candidate	unknown	database_attributed_candidate_regulon_set	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_role_review	not_ready_pending_role_and_exact_pair_review	https://tflink.net/download/#interaction-gmt	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	57bf41a345d1eee4a78b9f94a8bda7d0b100ade503a863a2af210ef91e0e2c6a	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.		Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: regulon_lead_unclassified.
ash2l	ASH2L;Ash2l	human	noncanonical_transcriptional_regulator	chromatin_remodeler_or_architecture	TFLink	TFLink_v1.0_snapshot	tflink:human:000901:b0093a09c886	ASH2L	ASH2L	Q9UBL3	9373	aggregated_regulon_set_candidate	unknown	database_attributed_candidate_regulon_set	not_assessed	not_assessed	not_assessed	regulatory_machinery_candidate_program_review	not_strict_tf_candidate_sidecar_export_exclude	https://tflink.net/download/#interaction-gmt	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	b0093a09c886da4ff632c6f2955593a6f00da6ded3460d80b5e25f8b3ccbf361	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.		Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: noncanonical_transcriptional_regulator.
asxl2	ASXL2	human	noncanonical_transcriptional_regulator	transcriptional_coregulator_or_complex	TFLink	TFLink_v1.0_snapshot	tflink:human:001501:b7ad8c727dfc	ASXL2	ASXL2	Q76L83	42	aggregated_regulon_set_candidate	unknown	database_attributed_candidate_regulon_set	not_assessed	not_assessed	not_assessed	regulatory_machinery_candidate_program_review	not_strict_tf_candidate_sidecar_export_exclude	https://tflink.net/download/#interaction-gmt	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	b7ad8c727dfc9f31e10d501d708ee6eeb96033fdad9ee24c8d03a3664c3a6cfb	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.		Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: noncanonical_transcriptional_regulator.
atf7ip	ATF7IP	human	noncanonical_transcriptional_regulator	chromatin_modifier_or_reader	TFLink	TFLink_v1.0_snapshot	tflink:human:001211:8402a3af6ffe	ATF7IP	ATF7IP	Q6VMQ6	4131	aggregated_regulon_set_candidate	unknown	database_attributed_candidate_regulon_set	not_assessed	not_assessed	not_assessed	regulatory_machinery_candidate_program_review	not_strict_tf_candidate_sidecar_export_exclude	https://tflink.net/download/#interaction-gmt	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	8402a3af6ffe1ff84f08cecb7038c8c776cb23fc9a7117945c2c78bc5ca1c2b9	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.		Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: noncanonical_transcriptional_regulator.
aurkaip1	AURKAIP1	human	regulon_lead_unclassified	aggregated_tf_link_target_lead	TFLink	TFLink_v1.0_snapshot	tflink:human:000446:898ee454ccc2	AURKAIP1	AURKAIP1	Q9NWT8	5	aggregated_regulon_set_candidate	unknown	database_attributed_candidate_regulon_set	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_role_review	not_ready_pending_role_and_exact_pair_review	https://tflink.net/download/#interaction-gmt	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	898ee454ccc26c401b7237374f2c3147fab588feb4c1b3e6249a4afd56add989	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.		Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: regulon_lead_unclassified.
auts2	AUTS2;Auts2	human	noncanonical_transcriptional_regulator	transcriptional_coregulator_or_complex	TFLink	TFLink_v1.0_snapshot	tflink:human:001085:d683502b6043	AUTS2	AUTS2	Q8WXX7	540	aggregated_regulon_set_candidate	unknown	database_attributed_candidate_regulon_set	not_assessed	not_assessed	not_assessed	regulatory_machinery_candidate_program_review	not_strict_tf_candidate_sidecar_export_exclude	https://tflink.net/download/#interaction-gmt	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	d683502b6043a4db19a1ac4ca96698bc9b0d9bcd4c8630c62053f156852e394e	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.		Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: noncanonical_transcriptional_regulator.
bahd1	BAHD1	human	noncanonical_transcriptional_regulator	transcriptional_coregulator_or_complex	TFLink	TFLink_v1.0_snapshot	tflink:human:001140:ef97c5fef8dd	BAHD1	BAHD1	Q8TBE0	58	aggregated_regulon_set_candidate	unknown	database_attributed_candidate_regulon_set	not_assessed	not_assessed	not_assessed	regulatory_machinery_candidate_program_review	not_strict_tf_candidate_sidecar_export_exclude	https://tflink.net/download/#interaction-gmt	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	ef97c5fef8dd8a35ec8c048d5fbdd3509507ac5ef42ffc5e05c7ffd2c4315c3d	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.		Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: noncanonical_transcriptional_regulator.
banp	BANP;Banp	human	noncanonical_transcriptional_regulator	transcriptional_coregulator_or_complex	TFLink	TFLink_v1.0_snapshot	tflink:human:001291:f877500b30fd	BANP	BANP	Q8N9N5	673	aggregated_regulon_set_candidate	unknown	database_attributed_candidate_regulon_set	not_assessed	not_assessed	not_assessed	regulatory_machinery_candidate_program_review	not_strict_tf_candidate_sidecar_export_exclude	https://tflink.net/download/#interaction-gmt	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	f877500b30fd2cbecb3d2a4ef4ed425b003ad9eb1ad6350a6a5915f80c4593df	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.		Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: noncanonical_transcriptional_regulator.
bap1	BAP1	human	noncanonical_transcriptional_regulator	chromatin_modifier_or_reader	TFLink	TFLink_v1.0_snapshot	tflink:human:001189:89d4da24fd99	BAP1	BAP1	Q92560	3833	aggregated_regulon_set_candidate	unknown	database_attributed_candidate_regulon_set	not_assessed	not_assessed	not_assessed	regulatory_machinery_candidate_program_review	not_strict_tf_candidate_sidecar_export_exclude	https://tflink.net/download/#interaction-gmt	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	89d4da24fd99a5962411f7a9d8ec9616cf829ed1959e077d20f4fc6c6472d353	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.		Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: noncanonical_transcriptional_regulator.
bap18	BAP18	human	noncanonical_transcriptional_regulator	transcriptional_coregulator_or_complex	TFLink	TFLink_v1.0_snapshot	tflink:human:001470:9bdcb0ac2d16	BAP18	BAP18	Q8IXM2	21	aggregated_regulon_set_candidate	unknown	database_attributed_candidate_regulon_set	not_assessed	not_assessed	not_assessed	regulatory_machinery_candidate_program_review	not_strict_tf_candidate_sidecar_export_exclude	https://tflink.net/download/#interaction-gmt	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	9bdcb0ac2d16c05c7ad4f628b79f5d40a2d6a42c9f6c9556c521e8176b81c047	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.		Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: noncanonical_transcriptional_regulator.
barhl1	BARHL1;Barhl1	human	catalog_concordant_tf_candidate	identity_supported_pair_unverified	TFLink	TFLink_v1.0_snapshot	tflink:human:001147:0f9ab8534625	BARHL1	BARHL1	Q9BZE3	1136	aggregated_regulon_set_candidate	unknown	database_attributed_candidate_regulon_set	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	https://tflink.net/download/#interaction-gmt	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	0f9ab8534625dcd1464be54fb1845c0cb9e5971a05e1150ee0ca914017077250	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.		Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
barx1	BARX1;Barx1	human	catalog_concordant_tf_candidate	identity_supported_pair_unverified	TFLink	TFLink_v1.0_snapshot	tflink:human:001381:b79bd74fcea5	BARX1	BARX1	Q9HBU1	1112	aggregated_regulon_set_candidate	unknown	database_attributed_candidate_regulon_set	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	https://tflink.net/download/#interaction-gmt	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	b79bd74fcea57415879e3f5808f06e94289cacc0ed83baddc547a86b86d475e7	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.		Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
bbx	BBX;Bbx	human	catalog_concordant_tf_candidate	identity_supported_pair_unverified	TFLink	TFLink_v1.0_snapshot	tflink:human:001452:7b2dc1444549	BBX	BBX	Q8WY36	2	aggregated_regulon_set_candidate	unknown	database_attributed_candidate_regulon_set	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	https://tflink.net/download/#interaction-gmt	data/raw/public_database_snapshots/tf_union_expansion_v1/tflink_human_v1.0.gmt	7b2dc1444549d34ea3675637ea431a358f594e601dddcd0e722f54390dbb4c24	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.		Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
