regulator_key	display_symbols	species_scopes	primary_role_category	role_subcategory	source_registries	source_versions	identity_catalogs	candidate_regulon_status	regulon_source_count	regulon_source_registries	regulon_target_count	pair_record_count	target_membership_scope	claimed_effect	target_cell_presence_status	downstream_activation_status	upstream_relay_status	module_route	module22b_eligibility	evidence_readiness	provenance_note
argfx	ARGFX	human;vertebrates	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	no_regulon_set_in_current_imported_sources	0		0	0	none_available_in_current_import	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	no_imported_regulon_set_or_blocked_identifier	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
arid3c	ARID3C;Arid3c	human;mouse	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	no_regulon_set_in_current_imported_sources	0		0	0	none_available_in_current_import	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	no_imported_regulon_set_or_blocked_identifier	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
arnt2	ARNT2;Arnt2	human;mouse;vertebrates	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	database_attributed_regulon_available	2	TFLink	12833	0	aggregated_set_and_or_pair_candidate	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	candidate_regulon_set_requires_exact_pair_and_cell_context_review	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
ascl2	ASCL2;Ascl2	human;mouse;vertebrates	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	database_attributed_regulon_available	2	TFLink	14210	0	aggregated_set_and_or_pair_candidate	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	candidate_regulon_set_requires_exact_pair_and_cell_context_review	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
ascl3	ASCL3;Ascl3	human;mouse	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	no_regulon_set_in_current_imported_sources	0		0	0	none_available_in_current_import	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	no_imported_regulon_set_or_blocked_identifier	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
ascl4	ASCL4;Ascl4	human;mouse	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	no_regulon_set_in_current_imported_sources	0		0	0	none_available_in_current_import	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	no_imported_regulon_set_or_blocked_identifier	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
ascl5	ASCL5;Ascl5	human;mouse	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	no_regulon_set_in_current_imported_sources	0		0	0	none_available_in_current_import	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	no_imported_regulon_set_or_blocked_identifier	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
atf6b	ATF6B;Atf6b	human;mouse	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	no_regulon_set_in_current_imported_sources	0		0	0	none_available_in_current_import	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	no_imported_regulon_set_or_blocked_identifier	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
atoh7	ATOH7;Atoh7	human;mouse;vertebrates	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	no_regulon_set_in_current_imported_sources	0		0	0	none_available_in_current_import	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	no_imported_regulon_set_or_blocked_identifier	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
atoh8	ATOH8;Atoh8	human;mouse	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	no_regulon_set_in_current_imported_sources	0		0	0	none_available_in_current_import	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	no_imported_regulon_set_or_blocked_identifier	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
barhl1	BARHL1;Barhl1	human;mouse;vertebrates	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	database_attributed_regulon_available	1	TFLink	1136	0	aggregated_set_and_or_pair_candidate	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	candidate_regulon_set_requires_exact_pair_and_cell_context_review	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
barhl2	BARHL2;Barhl2	human;mouse;vertebrates	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	no_regulon_set_in_current_imported_sources	0		0	0	none_available_in_current_import	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	no_imported_regulon_set_or_blocked_identifier	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
barx1	BARX1;Barx1	human;mouse;vertebrates	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	database_attributed_regulon_available	2	TFLink	1120	0	aggregated_set_and_or_pair_candidate	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	candidate_regulon_set_requires_exact_pair_and_cell_context_review	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
bbx	BBX;Bbx	human;mouse	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	database_attributed_regulon_available	1	TFLink	2	0	aggregated_set_and_or_pair_candidate	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	candidate_regulon_set_requires_exact_pair_and_cell_context_review	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
bhlha15	BHLHA15;Bhlha15	human;mouse;vertebrates	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	database_attributed_regulon_available	2	TFLink	3949	0	aggregated_set_and_or_pair_candidate	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	candidate_regulon_set_requires_exact_pair_and_cell_context_review	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
bhlha9	BHLHA9;Bhlha9	human;mouse	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	no_regulon_set_in_current_imported_sources	0		0	0	none_available_in_current_import	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	no_imported_regulon_set_or_blocked_identifier	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
bhlhe22	BHLHE22;Bhlhe22	human;mouse;vertebrates	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	database_attributed_regulon_available	1	TFLink	1158	0	aggregated_set_and_or_pair_candidate	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	candidate_regulon_set_requires_exact_pair_and_cell_context_review	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
bhlhe23	BHLHE23;Bhlhe23	human;mouse;vertebrates	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	no_regulon_set_in_current_imported_sources	0		0	0	none_available_in_current_import	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	no_imported_regulon_set_or_blocked_identifier	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
bnc1	BNC1;Bnc1	human;mouse	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	no_regulon_set_in_current_imported_sources	0		0	0	none_available_in_current_import	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	no_imported_regulon_set_or_blocked_identifier	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
bnc2	BNC2;Bnc2	human;mouse;vertebrates	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	no_regulon_set_in_current_imported_sources	0		0	0	none_available_in_current_import	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	no_imported_regulon_set_or_blocked_identifier	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
borcs8-mef2b	BORCS8-MEF2B	human	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	no_regulon_set_in_current_imported_sources	0		0	0	none_available_in_current_import	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	no_imported_regulon_set_or_blocked_identifier	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
bsx	BSX;Bsx	human;mouse;vertebrates	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	no_regulon_set_in_current_imported_sources	0		0	0	none_available_in_current_import	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	no_imported_regulon_set_or_blocked_identifier	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
c11orf95	C11orf95	human	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	no_regulon_set_in_current_imported_sources	0		0	0	none_available_in_current_import	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	no_imported_regulon_set_or_blocked_identifier	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
camta1	CAMTA1;Camta1	human;mouse	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	no_regulon_set_in_current_imported_sources	0		0	0	none_available_in_current_import	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	no_imported_regulon_set_or_blocked_identifier	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
camta2	CAMTA2;Camta2	human;mouse	catalog_concordant_tf_candidate	identity_supported_pair_unverified	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	no_regulon_set_in_current_imported_sources	0		0	0	none_available_in_current_import	unknown	not_assessed	not_assessed	not_assessed	22B_candidate_regulon_review	candidate_membership_export_exclude_pending_exact_evidence	no_imported_regulon_set_or_blocked_identifier	Database-attributed regulon membership is retained as a candidate source claim. It does not establish target-cell presence, upstream relay activation, direct binding, or downstream gene activation; those evidence layers require separate review. Primary role category: catalog_concordant_tf_candidate.
