regulator_key	display_symbols	species_scopes	source_registries	source_versions	identity_catalogs	original_triage_bucket	identity_source_count	catalog_profile_count	tflink_target_count	identifier_flags	primary_role_category	role_subcategory	role_screen_basis	classification_status	module_route	module22b_eligibility	evidence_readiness	sort_priority	provenance_note
arid3c	ARID3C;Arid3c	human;mouse	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	promote_identity_staging	3	0	0		catalog_concordant_tf_candidate	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; canonical TF role and exact pair evidence remain to be reviewed.	role_triage_staging	22B_after_exact_pair_evidence	strict_tf_candidate_pending_exact_pair_review	identity_catalog_only_or_unverified	10	This is a role-triage overlay. Source registries, source versions, species scope, and source-specific parent identity records remain authoritative; no canonical role or evidence promotion is created by this row.
arnt2	ARNT2;Arnt2	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	promote_identity_staging	6	1	12833		catalog_concordant_tf_candidate	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; canonical TF role and exact pair evidence remain to be reviewed.	role_triage_staging	22B_after_exact_pair_evidence	strict_tf_candidate_pending_exact_pair_review	identity_plus_aggregated_target_lead	10	This is a role-triage overlay. Source registries, source versions, species scope, and source-specific parent identity records remain authoritative; no canonical role or evidence promotion is created by this row.
ascl2	ASCL2;Ascl2	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	promote_identity_staging	6	1	14210		catalog_concordant_tf_candidate	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; canonical TF role and exact pair evidence remain to be reviewed.	role_triage_staging	22B_after_exact_pair_evidence	strict_tf_candidate_pending_exact_pair_review	identity_plus_aggregated_target_lead	10	This is a role-triage overlay. Source registries, source versions, species scope, and source-specific parent identity records remain authoritative; no canonical role or evidence promotion is created by this row.
ascl3	ASCL3;Ascl3	human;mouse	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	promote_identity_staging	3	0	0		catalog_concordant_tf_candidate	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; canonical TF role and exact pair evidence remain to be reviewed.	role_triage_staging	22B_after_exact_pair_evidence	strict_tf_candidate_pending_exact_pair_review	identity_catalog_only_or_unverified	10	This is a role-triage overlay. Source registries, source versions, species scope, and source-specific parent identity records remain authoritative; no canonical role or evidence promotion is created by this row.
ascl4	ASCL4;Ascl4	human;mouse	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	promote_identity_staging	3	0	0		catalog_concordant_tf_candidate	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; canonical TF role and exact pair evidence remain to be reviewed.	role_triage_staging	22B_after_exact_pair_evidence	strict_tf_candidate_pending_exact_pair_review	identity_catalog_only_or_unverified	10	This is a role-triage overlay. Source registries, source versions, species scope, and source-specific parent identity records remain authoritative; no canonical role or evidence promotion is created by this row.
ascl5	ASCL5;Ascl5	human;mouse	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	promote_identity_staging	3	0	0		catalog_concordant_tf_candidate	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; canonical TF role and exact pair evidence remain to be reviewed.	role_triage_staging	22B_after_exact_pair_evidence	strict_tf_candidate_pending_exact_pair_review	identity_catalog_only_or_unverified	10	This is a role-triage overlay. Source registries, source versions, species scope, and source-specific parent identity records remain authoritative; no canonical role or evidence promotion is created by this row.
atf6b	ATF6B;Atf6b	human;mouse	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	promote_identity_staging	3	0	0		catalog_concordant_tf_candidate	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; canonical TF role and exact pair evidence remain to be reviewed.	role_triage_staging	22B_after_exact_pair_evidence	strict_tf_candidate_pending_exact_pair_review	identity_catalog_only_or_unverified	10	This is a role-triage overlay. Source registries, source versions, species scope, and source-specific parent identity records remain authoritative; no canonical role or evidence promotion is created by this row.
atoh7	ATOH7;Atoh7	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	promote_identity_staging	4	1	0		catalog_concordant_tf_candidate	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; canonical TF role and exact pair evidence remain to be reviewed.	role_triage_staging	22B_after_exact_pair_evidence	strict_tf_candidate_pending_exact_pair_review	identity_plus_profile_only	10	This is a role-triage overlay. Source registries, source versions, species scope, and source-specific parent identity records remain authoritative; no canonical role or evidence promotion is created by this row.
atoh8	ATOH8;Atoh8	human;mouse	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	promote_identity_staging	3	0	0		catalog_concordant_tf_candidate	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; canonical TF role and exact pair evidence remain to be reviewed.	role_triage_staging	22B_after_exact_pair_evidence	strict_tf_candidate_pending_exact_pair_review	identity_catalog_only_or_unverified	10	This is a role-triage overlay. Source registries, source versions, species scope, and source-specific parent identity records remain authoritative; no canonical role or evidence promotion is created by this row.
barhl1	BARHL1;Barhl1	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	promote_identity_staging	5	1	1136		catalog_concordant_tf_candidate	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; canonical TF role and exact pair evidence remain to be reviewed.	role_triage_staging	22B_after_exact_pair_evidence	strict_tf_candidate_pending_exact_pair_review	identity_plus_aggregated_target_lead	10	This is a role-triage overlay. Source registries, source versions, species scope, and source-specific parent identity records remain authoritative; no canonical role or evidence promotion is created by this row.
barhl2	BARHL2;Barhl2	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	promote_identity_staging	4	1	0		catalog_concordant_tf_candidate	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; canonical TF role and exact pair evidence remain to be reviewed.	role_triage_staging	22B_after_exact_pair_evidence	strict_tf_candidate_pending_exact_pair_review	identity_plus_profile_only	10	This is a role-triage overlay. Source registries, source versions, species scope, and source-specific parent identity records remain authoritative; no canonical role or evidence promotion is created by this row.
barx1	BARX1;Barx1	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	promote_identity_staging	6	1	1120		catalog_concordant_tf_candidate	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; canonical TF role and exact pair evidence remain to be reviewed.	role_triage_staging	22B_after_exact_pair_evidence	strict_tf_candidate_pending_exact_pair_review	identity_plus_aggregated_target_lead	10	This is a role-triage overlay. Source registries, source versions, species scope, and source-specific parent identity records remain authoritative; no canonical role or evidence promotion is created by this row.
bbx	BBX;Bbx	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	promote_identity_staging	4	0	2		catalog_concordant_tf_candidate	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; canonical TF role and exact pair evidence remain to be reviewed.	role_triage_staging	22B_after_exact_pair_evidence	strict_tf_candidate_pending_exact_pair_review	identity_plus_aggregated_target_lead	10	This is a role-triage overlay. Source registries, source versions, species scope, and source-specific parent identity records remain authoritative; no canonical role or evidence promotion is created by this row.
bhlha15	BHLHA15;Bhlha15	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	promote_identity_staging	6	2	3949		catalog_concordant_tf_candidate	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; canonical TF role and exact pair evidence remain to be reviewed.	role_triage_staging	22B_after_exact_pair_evidence	strict_tf_candidate_pending_exact_pair_review	identity_plus_aggregated_target_lead	10	This is a role-triage overlay. Source registries, source versions, species scope, and source-specific parent identity records remain authoritative; no canonical role or evidence promotion is created by this row.
bhlha9	BHLHA9;Bhlha9	human;mouse	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	promote_identity_staging	3	0	0		catalog_concordant_tf_candidate	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; canonical TF role and exact pair evidence remain to be reviewed.	role_triage_staging	22B_after_exact_pair_evidence	strict_tf_candidate_pending_exact_pair_review	identity_catalog_only_or_unverified	10	This is a role-triage overlay. Source registries, source versions, species scope, and source-specific parent identity records remain authoritative; no canonical role or evidence promotion is created by this row.
bhlhe22	BHLHE22;Bhlhe22	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	promote_identity_staging	5	2	1158		catalog_concordant_tf_candidate	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; canonical TF role and exact pair evidence remain to be reviewed.	role_triage_staging	22B_after_exact_pair_evidence	strict_tf_candidate_pending_exact_pair_review	identity_plus_aggregated_target_lead	10	This is a role-triage overlay. Source registries, source versions, species scope, and source-specific parent identity records remain authoritative; no canonical role or evidence promotion is created by this row.
bhlhe23	BHLHE23;Bhlhe23	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	promote_identity_staging	4	1	0		catalog_concordant_tf_candidate	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; canonical TF role and exact pair evidence remain to be reviewed.	role_triage_staging	22B_after_exact_pair_evidence	strict_tf_candidate_pending_exact_pair_review	identity_plus_profile_only	10	This is a role-triage overlay. Source registries, source versions, species scope, and source-specific parent identity records remain authoritative; no canonical role or evidence promotion is created by this row.
bnc1	BNC1;Bnc1	human;mouse	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	promote_identity_staging	3	0	0		catalog_concordant_tf_candidate	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; canonical TF role and exact pair evidence remain to be reviewed.	role_triage_staging	22B_after_exact_pair_evidence	strict_tf_candidate_pending_exact_pair_review	identity_catalog_only_or_unverified	10	This is a role-triage overlay. Source registries, source versions, species scope, and source-specific parent identity records remain authoritative; no canonical role or evidence promotion is created by this row.
bnc2	BNC2;Bnc2	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	promote_identity_staging	4	1	0		catalog_concordant_tf_candidate	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; canonical TF role and exact pair evidence remain to be reviewed.	role_triage_staging	22B_after_exact_pair_evidence	strict_tf_candidate_pending_exact_pair_review	identity_plus_profile_only	10	This is a role-triage overlay. Source registries, source versions, species scope, and source-specific parent identity records remain authoritative; no canonical role or evidence promotion is created by this row.
borcs8-mef2b	BORCS8-MEF2B	human	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	promote_identity_staging	2	0	0		catalog_concordant_tf_candidate	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; canonical TF role and exact pair evidence remain to be reviewed.	role_triage_staging	22B_after_exact_pair_evidence	strict_tf_candidate_pending_exact_pair_review	identity_catalog_only_or_unverified	10	This is a role-triage overlay. Source registries, source versions, species scope, and source-specific parent identity records remain authoritative; no canonical role or evidence promotion is created by this row.
bsx	BSX;Bsx	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	promote_identity_staging	4	1	0		catalog_concordant_tf_candidate	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; canonical TF role and exact pair evidence remain to be reviewed.	role_triage_staging	22B_after_exact_pair_evidence	strict_tf_candidate_pending_exact_pair_review	identity_plus_profile_only	10	This is a role-triage overlay. Source registries, source versions, species scope, and source-specific parent identity records remain authoritative; no canonical role or evidence promotion is created by this row.
c11orf95	C11orf95	human	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	promote_identity_staging	2	0	0		catalog_concordant_tf_candidate	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; canonical TF role and exact pair evidence remain to be reviewed.	role_triage_staging	22B_after_exact_pair_evidence	strict_tf_candidate_pending_exact_pair_review	identity_catalog_only_or_unverified	10	This is a role-triage overlay. Source registries, source versions, species scope, and source-specific parent identity records remain authoritative; no canonical role or evidence promotion is created by this row.
camta1	CAMTA1;Camta1	human;mouse	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	promote_identity_staging	3	0	0		catalog_concordant_tf_candidate	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; canonical TF role and exact pair evidence remain to be reviewed.	role_triage_staging	22B_after_exact_pair_evidence	strict_tf_candidate_pending_exact_pair_review	identity_catalog_only_or_unverified	10	This is a role-triage overlay. Source registries, source versions, species scope, and source-specific parent identity records remain authoritative; no canonical role or evidence promotion is created by this row.
camta2	CAMTA2;Camta2	human;mouse	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	promote_identity_staging	3	0	0		catalog_concordant_tf_candidate	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; canonical TF role and exact pair evidence remain to be reviewed.	role_triage_staging	22B_after_exact_pair_evidence	strict_tf_candidate_pending_exact_pair_review	identity_catalog_only_or_unverified	10	This is a role-triage overlay. Source registries, source versions, species scope, and source-specific parent identity records remain authoritative; no canonical role or evidence promotion is created by this row.
casz1	CASZ1;Casz1	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	promote_identity_staging	5	1	3806		catalog_concordant_tf_candidate	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; canonical TF role and exact pair evidence remain to be reviewed.	role_triage_staging	22B_after_exact_pair_evidence	strict_tf_candidate_pending_exact_pair_review	identity_plus_aggregated_target_lead	10	This is a role-triage overlay. Source registries, source versions, species scope, and source-specific parent identity records remain authoritative; no canonical role or evidence promotion is created by this row.
cc2d1a	CC2D1A;Cc2d1a	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	promote_identity_staging	4	0	1322		catalog_concordant_tf_candidate	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; canonical TF role and exact pair evidence remain to be reviewed.	role_triage_staging	22B_after_exact_pair_evidence	strict_tf_candidate_pending_exact_pair_review	identity_plus_aggregated_target_lead	10	This is a role-triage overlay. Source registries, source versions, species scope, and source-specific parent identity records remain authoritative; no canonical role or evidence promotion is created by this row.
ccdc169-sohlh2	CCDC169-SOHLH2	human	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	promote_identity_staging	2	0	0		catalog_concordant_tf_candidate	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; canonical TF role and exact pair evidence remain to be reviewed.	role_triage_staging	22B_after_exact_pair_evidence	strict_tf_candidate_pending_exact_pair_review	identity_catalog_only_or_unverified	10	This is a role-triage overlay. Source registries, source versions, species scope, and source-specific parent identity records remain authoritative; no canonical role or evidence promotion is created by this row.
cic	CIC;Cic	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	promote_identity_staging	4	0	414		catalog_concordant_tf_candidate	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; canonical TF role and exact pair evidence remain to be reviewed.	role_triage_staging	22B_after_exact_pair_evidence	strict_tf_candidate_pending_exact_pair_review	identity_plus_aggregated_target_lead	10	This is a role-triage overlay. Source registries, source versions, species scope, and source-specific parent identity records remain authoritative; no canonical role or evidence promotion is created by this row.
cpeb1	CPEB1;Cpeb1	human;mouse	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	promote_identity_staging	3	0	0		catalog_concordant_tf_candidate	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; canonical TF role and exact pair evidence remain to be reviewed.	role_triage_staging	22B_after_exact_pair_evidence	strict_tf_candidate_pending_exact_pair_review	identity_catalog_only_or_unverified	10	This is a role-triage overlay. Source registries, source versions, species scope, and source-specific parent identity records remain authoritative; no canonical role or evidence promotion is created by this row.
creb3l2	CREB3L2;Creb3l2	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	promote_identity_staging	5	1	126	transcript_like_identifier	catalog_concordant_tf_candidate	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; canonical TF role and exact pair evidence remain to be reviewed.	role_triage_staging	22B_after_exact_pair_evidence	strict_tf_candidate_pending_exact_pair_review	identity_plus_aggregated_target_lead	10	This is a role-triage overlay. Source registries, source versions, species scope, and source-specific parent identity records remain authoritative; no canonical role or evidence promotion is created by this row.
