regulator_key	display_symbols	species_scopes	source_registries	source_versions	identity_catalogs	triage_bucket	identity_source_count	catalog_profile_count	tflink_target_count	matched_role_signals	role_category	classification_confidence	classification_status	module_route	module22b_eligibility	evidence_readiness	provenance_note
dpf2	DPF2;Dpf2	human;mouse	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	2	0	15660	DPF2:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
dpy30	Dpy30	mouse	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	1	0	9650	DPY30:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
emsy	EMSY	human	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	1	0	6043	EMSY:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
ep400	EP400;Ep400	human;mouse	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	2	0	13425	EP400:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
gatad1	GATAD1;Gatad1	human;mouse	AnimalTFDB3;TFLink	AnimalTFDB3_git_snapshot;TFLink_v1.0_snapshot	AnimalTFDB3	prioritize_target_evidence_search	3	0	9737	GATAD1:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	identity_plus_aggregated_target_lead	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
gatad2a	GATAD2A	human	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	promote_identity_staging	3	0	14198	GATAD2A:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	identity_plus_aggregated_target_lead	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
gatad2b	GATAD2B;Gatad2b	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	promote_identity_staging	4	0	13325	GATAD2B:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	identity_plus_aggregated_target_lead	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
h2az1	H2AZ1	human	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	1	0	13214	H2AZ1:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
hdac6	HDAC6	human	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	1	0	5271	HDAC6:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
hdac8	HDAC8	human	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	1	0	5840	HDAC8:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
kansl1	Kansl1	mouse	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	1	0	4125	KANSL1:chromatin_modifier_or_reader	chromatin_modifier_or_reader	provisional_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
kansl3	Kansl3	mouse	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	1	0	4195	KANSL3:chromatin_modifier_or_reader	chromatin_modifier_or_reader	provisional_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
kdm1a	KDM1A;Kdm1a	human;mouse	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	2	0	30052	KDM1A:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
kdm1b	KDM1B	human	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	1	0	123	KDM1B:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
kdm2b	KDM2B;Kdm2b	human;mouse	Lambert_HumanTFs;TFLink	Lambert_v1.01;TFLink_v1.0_snapshot	Lambert_HumanTFs	prioritize_target_evidence_search	3	0	26902	KDM2B:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	identity_plus_aggregated_target_lead	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
kdm3a	KDM3A;Kdm3a	human;mouse	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	2	0	10537	KDM3A:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
kdm3b	KDM3B	human	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	1	0	2925	KDM3B:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
kdm4a	KDM4A;Kdm4a	human;mouse	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	2	0	18195	KDM4A:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
kdm4d	Kdm4d	mouse	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	1	0	1	KDM4D:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
kdm5a	KDM5A;Kdm5a	human;mouse	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	2	0	16899	KDM5A:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
kdm5c	KDM5C;Kdm5c	human;mouse	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	2	0	9337	KDM5C:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
kdm5d	KDM5D	human	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	1	0	1693	KDM5D:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
kdm6a	KDM6A;Kdm6a	human;mouse	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	2	0	25445	KDM6A:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
kdm7a	KDM7A	human	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	1	0	2037	KDM7A:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
kmt2b	KMT2B;Kmt2b	human;mouse	Lambert_HumanTFs;TFLink	Lambert_v1.01;TFLink_v1.0_snapshot	Lambert_HumanTFs	prioritize_target_evidence_search	3	0	29844	KMT2B:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	identity_plus_aggregated_target_lead	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
kmt2c	KMT2C;Kmt2c	human;mouse	AnimalTFDB3;TFLink	AnimalTFDB3_git_snapshot;TFLink_v1.0_snapshot	AnimalTFDB3	prioritize_target_evidence_search	4	0	18537	KMT2C:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	identity_plus_aggregated_target_lead	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
kmt2d	KMT2D;Kmt2d	human;mouse	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	2	0	14765	KMT2D:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
l3mbtl2	L3MBTL2;L3mbtl2	human;mouse	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	2	0	7675	L3MBTL2:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
l3mbtl3	L3MBTL3;L3mbtl3	human;mouse	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	promote_identity_staging	3	0	0	L3MBTL3:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	identity_catalog_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
l3mbtl4	L3MBTL4;L3mbtl4	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	promote_identity_staging	4	0	3085	L3MBTL4:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	identity_plus_aggregated_target_lead	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
mbd4	MBD4;Mbd4	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	promote_identity_staging	4	0	16091	MBD4:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	identity_plus_aggregated_target_lead	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
mbd6	MBD6	human	Lambert_HumanTFs	Lambert_v1.01	Lambert_HumanTFs	manual_identity_review	1	0	0	MBD6:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	identity_catalog_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
morc2	MORC2	human	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	1	0	1910	MORC2:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
mysm1	MYSM1;Mysm1	human;mouse	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	promote_identity_staging	3	0	0	MYSM1:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	identity_catalog_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
nsd2	NSD2;Nsd2	human;mouse	AnimalTFDB3;TFLink	AnimalTFDB3_git_snapshot;TFLink_v1.0_snapshot	AnimalTFDB3	prioritize_target_evidence_search	3	0	2602	NSD2:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	identity_plus_aggregated_target_lead	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
nsd3	Nsd3	mouse	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	1	0	7554	NSD3:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
phf5a	PHF5A;Phf5a	human;mouse	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	2	0	15520	PHF5A:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
phf6	PHF6;Phf6	human;mouse	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	2	0	9544	PHF6:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
prmt1	PRMT1	human	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	1	0	10545	PRMT1:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
prmt5	PRMT5	human	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	1	0	69	PRMT5:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
rbbp4	Rbbp4	mouse	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	1	0	6393	RBBP4:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
rbbp5	RBBP5	human	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	1	0	14588	RBBP5:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
setd1a	SETD1A;Setd1a	human;mouse	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	2	0	13843	SETD1A:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
setd7	SETD7	human	TFLink	TFLink_v1.0_snapshot		prioritize_target_evidence_search	1	0	802	SETD7:chromatin_modifier_or_reader	chromatin_modifier_or_reader	high_signal_screen	staged_noncanonical_regulator_candidate	separate_noncanonical_regulator_queue	not_strict_tf_pending_role_and_pair_review	aggregated_target_lead_only	Candidate selected by the conservative family/symbol screen; source registries, source versions, species scope, and parent raw identity records remain authoritative. This row is a role-review candidate, not a biological assertion or evidence promotion.
