tf_key	display_symbols	species_scopes	source_registries	source_versions	identity_catalogs	identity_source_count	catalog_profile_count	tflink_target_count	unique_reference_pmids	current_status	identifier_flags	triage_bucket	promotion_scope	module_route	evidence_readiness	triage_reason	provenance_note
anhx	ANHX	human	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	2	0	0	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
argfx	ARGFX	human;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	3	1	0	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
arid2	ARID2;Arid2	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	4	0	13776	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only. TFLink target membership is retained as a separate search lead.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
arid3c	ARID3C;Arid3c	human;mouse	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	3	0	0	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
arid5a	ARID5A;Arid5a	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	4	1	0	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
arnt2	ARNT2;Arnt2	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	6	1	12833	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only. TFLink target membership is retained as a separate search lead.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
ascl2	ASCL2;Ascl2	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	6	1	14210	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only. TFLink target membership is retained as a separate search lead.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
ascl3	ASCL3;Ascl3	human;mouse	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	3	0	0	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
ascl4	ASCL4;Ascl4	human;mouse	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	3	0	0	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
ascl5	ASCL5;Ascl5	human;mouse	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	3	0	0	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
atf6b	ATF6B;Atf6b	human;mouse	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	3	0	0	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
atmin	ATMIN	human	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	2	0	0	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
atoh7	ATOH7;Atoh7	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	4	1	0	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
atoh8	ATOH8;Atoh8	human;mouse	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	3	0	0	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
barhl1	BARHL1;Barhl1	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	5	1	1136	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only. TFLink target membership is retained as a separate search lead.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
barhl2	BARHL2;Barhl2	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	4	1	0	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
barx1	BARX1;Barx1	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	6	1	1120	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only. TFLink target membership is retained as a separate search lead.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
baz2a	BAZ2A;Baz2a	human;mouse	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	3	0	0	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
baz2b	BAZ2B;Baz2b	human;mouse	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	3	0	0	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
bbx	BBX;Bbx	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	4	0	2	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only. TFLink target membership is retained as a separate search lead.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
bhlha15	BHLHA15;Bhlha15	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	6	2	3949	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only. TFLink target membership is retained as a separate search lead.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
bhlha9	BHLHA9;Bhlha9	human;mouse	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	3	0	0	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
bhlhe22	BHLHE22;Bhlhe22	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	5	2	1158	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only. TFLink target membership is retained as a separate search lead.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
bhlhe23	BHLHE23;Bhlhe23	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	4	1	0	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
bnc1	BNC1;Bnc1	human;mouse	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	3	0	0	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
bnc2	BNC2;Bnc2	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	4	1	0	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
borcs8-mef2b	BORCS8-MEF2B	human	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	2	0	0	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
bsx	BSX;Bsx	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	4	1	0	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
c11orf95	C11orf95	human	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	2	0	0	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
camta1	CAMTA1;Camta1	human;mouse	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	3	0	0	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
camta2	CAMTA2;Camta2	human;mouse	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	3	0	0	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
carf	CARF;Carf	human;mouse	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	3	0	0	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
casz1	CASZ1;Casz1	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;JASPAR2026_CORE_vertebrates_nonredundant;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs	5	1	3806	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only. TFLink target membership is retained as a separate search lead.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
cc2d1a	CC2D1A;Cc2d1a	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	4	0	1322	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only. TFLink target membership is retained as a separate search lead.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
ccdc169-sohlh2	CCDC169-SOHLH2	human	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	2	0	0	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
cenpa	CENPA;Cenpa	human;mouse	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot	AnimalTFDB3;Lambert_HumanTFs	4	0	8466	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only. TFLink target membership is retained as a separate search lead.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
cenps	CENPS;Cenps	human;mouse	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01	AnimalTFDB3;Lambert_HumanTFs	3	0	0	0	new_candidate		promote_identity_staging	identity_only	22B_after_exact_pair_evidence	identity_supported_pair_unverified	Independent Lambert and AnimalTFDB3 identity catalogs agree; this supports TF identity staging only.	Source registries retained from tf_cross_species_collapsed.tsv and source versions rejoined from tf_candidate_crosswalk.tsv; source-specific identity records remain in the parent expansion artifact.
