candidate_key	species_scope	tf_symbol	tf_key	source_registries	source_versions	reported_contributor_labels	identity_source_count	regulon_record_count	unique_reference_pmids	catalog_profile_count	tflink_target_count	current_sets	current_entity_ids	current_module_codes	in_existing_public_pair_union	in_canonical_tf_role_any_species	in_canonical_tf_role_exact_species	in_module_22B_exact_species	in_current_canonical_any_species	dedupe_status	review_status	notes
human|ac187653.1	human	AC187653.1	ac187653.1	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|ada2	human	ADA2	ada2	TFLink	TFLink_v1.0_snapshot		1	0	0	0	824				false	false	false	false	false	new_candidate	new_candidate	
human|adcyap1	human	ADCYAP1	adcyap1	TFLink	TFLink_v1.0_snapshot		1	0	0	0	7				false	false	false	false	false	new_candidate	new_candidate	
human|adnp	human	ADNP	adnp	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot		3	0	0	0	958				false	false	false	false	false	new_candidate	new_candidate	
human|adnp2	human	ADNP2	adnp2	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01		2	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|aebp1	human	AEBP1	aebp1	Lambert_HumanTFs	Lambert_v1.01		1	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|aebp2	human	AEBP2	aebp2	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot		3	0	0	0	1084				false	false	false	false	false	new_candidate	new_candidate	
human|aes	human	AES	aes	TRRUST	TRRUST_v2_snapshot_2026-08-25	TRRUST	1	3	2	0	0				true	false	false	false	false	existing_public_pair_union	cross_referenced	
human|aff1	human	AFF1	aff1	AnimalTFDB3;TFLink	AnimalTFDB3_git_snapshot;TFLink_v1.0_snapshot		2	0	0	0	11720				false	false	false	false	false	new_candidate	new_candidate	
human|aff2	human	AFF2	aff2	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|aff3	human	AFF3	aff3	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|aff4	human	AFF4	aff4	AnimalTFDB3;TFLink	AnimalTFDB3_git_snapshot;TFLink_v1.0_snapshot		2	0	0	0	13870				false	false	false	false	false	new_candidate	new_candidate	
human|ago1	human	AGO1	ago1	TFLink	TFLink_v1.0_snapshot		1	0	0	0	9777				false	false	false	false	false	new_candidate	new_candidate	
human|ago2	human	AGO2	ago2	TFLink	TFLink_v1.0_snapshot		1	0	0	0	6467				false	false	false	false	false	new_candidate	new_candidate	
human|ahctf1	human	AHCTF1	ahctf1	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01		2	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|ahdc1	human	AHDC1	ahdc1	Lambert_HumanTFs	Lambert_v1.01		1	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|ahr	human	AHR	ahr	AnimalTFDB3;Lambert_HumanTFs;OmniPath_DoRothEA;TFLink;TRRUST	AnimalTFDB3_git_snapshot;Lambert_v1.01;OmniPath_DoRothEA_snapshot_2026-08-25;TFLink_v1.0_snapshot;TRRUST_v2_snapshot_2026-08-25	ARACNe-GTEx_DoRothEA;CollecTRI;CollecTRI2;DoRothEA;DoRothEA-A_CollecTRI;DoRothEA-A_CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI;FANTOM4_DoRothEA;GEREDB_CollecTRI;GEREDB_CollecTRI2;HOCOMOCO_DoRothEA;HTRI_CollecTRI;HTRIdb;HTRIdb_CollecTRI2;HTRIdb_DoRothEA;NTNU.Curated_CollecTRI;NTNUcuration_CollecTRI2;Pavlidis2021_CollecTRI;Pavlidis_CollecTRI2;ReMap_DoRothEA;SIGNOR;SIGNOR_CollecTRI;SIGNOR_CollecTRI2;TRRUST;TRRUST_CollecTRI;TRRUST_CollecTRI2;TRRUST_DoRothEA	5	35	1212	0	12741	canonical_tf_edge;canonical_tf_role;module_22B_regulon	16799	22B	true	true	true	true	true	existing_public_pair_union	cross_referenced	
human|ahrr	human	AHRR	ahrr	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot		3	0	0	0	1136				false	false	false	false	false	new_candidate	new_candidate	
human|aip	human	AIP	aip	TFLink;TRRUST	TFLink_v1.0_snapshot;TRRUST_v2_snapshot_2026-08-25	TRRUST	2	5	2	0	5				true	false	false	false	false	existing_public_pair_union	cross_referenced	
human|aire	human	AIRE	aire	AnimalTFDB3;Lambert_HumanTFs;TFLink;TRRUST	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot;TRRUST_v2_snapshot_2026-08-25	TRRUST	4	1	1	0	1				true	false	false	false	false	existing_public_pair_union	cross_referenced	
human|akap8	human	AKAP8	akap8	Lambert_HumanTFs	Lambert_v1.01		1	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|akap8l	human	AKAP8L	akap8l	Lambert_HumanTFs	Lambert_v1.01		1	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|akna	human	AKNA	akna	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01		2	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|al033529.1	human	AL033529.1	al033529.1	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|alkbh3	human	ALKBH3	alkbh3	TFLink	TFLink_v1.0_snapshot		1	0	0	0	389				false	false	false	false	false	new_candidate	new_candidate	
human|alx1	human	ALX1	alx1	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01		2	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|alx3	human	ALX3	alx3	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01		2	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|alx4	human	ALX4	alx4	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot		3	0	0	0	25				false	false	false	false	false	new_candidate	new_candidate	
human|amh	human	AMH	amh	TFLink	TFLink_v1.0_snapshot		1	0	0	0	3953				false	false	false	false	false	new_candidate	new_candidate	
human|anhx	human	ANHX	anhx	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01		2	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|ankrd1	human	ANKRD1	ankrd1	TFLink;TRRUST	TFLink_v1.0_snapshot;TRRUST_v2_snapshot_2026-08-25	TRRUST	2	1	1	0	1				true	false	false	false	false	existing_public_pair_union	cross_referenced	
human|ankrd30a	human	ANKRD30A	ankrd30a	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|ankzf1	human	ANKZF1	ankzf1	Lambert_HumanTFs	Lambert_v1.01		1	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|apbb1	human	APBB1	apbb1	TFLink;TRRUST	TFLink_v1.0_snapshot;TRRUST_v2_snapshot_2026-08-25	TRRUST	2	1	1	0	1				true	false	false	false	false	existing_public_pair_union	cross_referenced	
human|apc	human	APC	apc	TFLink;TRRUST	TFLink_v1.0_snapshot;TRRUST_v2_snapshot_2026-08-25	TRRUST	2	13	14	0	3493	canonical_tf_edge;canonical_tf_role;module_22B_regulon	16936	22B	true	true	false	false	true	existing_public_pair_union	cross_referenced	Current-set flags include any-species canonical matches; exact-species matches are reported separately.
human|apex1	human	APEX1	apex1	TFLink;TRRUST	TFLink_v1.0_snapshot;TRRUST_v2_snapshot_2026-08-25	TRRUST	2	7	5	0	7				true	false	false	false	false	existing_public_pair_union	cross_referenced	
human|apobec3b	human	APOBEC3B	apobec3b	TFLink	TFLink_v1.0_snapshot		1	0	0	0	4356				false	false	false	false	false	new_candidate	new_candidate	
human|ar	human	AR	ar	AnimalTFDB3;Lambert_HumanTFs;OmniPath_DoRothEA;TFLink;TRRUST	AnimalTFDB3_git_snapshot;Lambert_v1.01;OmniPath_DoRothEA_snapshot_2026-08-25;TFLink_v1.0_snapshot;TRRUST_v2_snapshot_2026-08-25	ARACNe-GTEx_DoRothEA;CollecTRI;CollecTRI2;DoRothEA;DoRothEA-A_CollecTRI;DoRothEA-A_CollecTRI2;DoRothEA-reviews_DoRothEA;ExTRI2_CollecTRI2;ExTRI_CollecTRI;FANTOM4_DoRothEA;GEREDB_CollecTRI;GEREDB_CollecTRI2;GOA_CollecTRI;GOA_CollecTRI2;HOCOMOCO_DoRothEA;HTRI_CollecTRI;HTRIdb;HTRIdb_CollecTRI2;HTRIdb_DoRothEA;IntAct_DoRothEA;JASPAR_DoRothEA;KEGG-MEDICUS;NTNU.Curated_CollecTRI;NTNUcuration_CollecTRI2;PAZAR_DoRothEA;ReMap_DoRothEA;RegNetwork_DoRothEA;SIGNOR;SIGNOR_CollecTRI;SIGNOR_CollecTRI2;TFactS_CollecTRI;TFactS_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_CollecTRI2;TRRUST_DoRothEA;TfactS_CollecTRI2	5	262	832	0	18156	canonical_tf_edge;canonical_tf_role;module_22B_regulon	11197	22B	true	true	false	true	true	existing_public_pair_union	cross_referenced	Current-set flags include any-species canonical matches; exact-species matches are reported separately.
human|argfx	human	ARGFX	argfx	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01		2	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|arhgap35	human	ARHGAP35	arhgap35	Lambert_HumanTFs;TFLink	Lambert_v1.01;TFLink_v1.0_snapshot		2	0	0	0	93				false	false	false	false	false	new_candidate	new_candidate	
human|arid1a	human	ARID1A	arid1a	AnimalTFDB3;TFLink;TRRUST	AnimalTFDB3_git_snapshot;TFLink_v1.0_snapshot;TRRUST_v2_snapshot_2026-08-25	TRRUST	3	3	2	0	8578				true	false	false	false	false	existing_public_pair_union	cross_referenced	
human|arid1b	human	ARID1B	arid1b	AnimalTFDB3;TFLink;TRRUST	AnimalTFDB3_git_snapshot;TFLink_v1.0_snapshot;TRRUST_v2_snapshot_2026-08-25	TRRUST	3	1	1	0	5756				true	false	false	false	false	existing_public_pair_union	cross_referenced	
human|arid2	human	ARID2	arid2	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot		3	0	0	0	13776				false	false	false	false	false	new_candidate	new_candidate	
human|arid3a	human	ARID3A	arid3a	AnimalTFDB3;Lambert_HumanTFs;OmniPath_DoRothEA;TFLink;TRRUST	AnimalTFDB3_git_snapshot;Lambert_v1.01;OmniPath_DoRothEA_snapshot_2026-08-25;TFLink_v1.0_snapshot;TRRUST_v2_snapshot_2026-08-25	CollecTRI2;DoRothEA;DoRothEA-A_CollecTRI2;TFe_DoRothEA;TRRUST	5	8	3	0	8970	canonical_tf_edge;canonical_tf_role;module_22B_regulon	16937	22B	true	true	false	false	true	existing_public_pair_union	cross_referenced	Current-set flags include any-species canonical matches; exact-species matches are reported separately.
human|arid3b	human	ARID3B	arid3b	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot		3	0	0	0	126				false	false	false	false	false	new_candidate	new_candidate	
human|arid3c	human	ARID3C	arid3c	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01		2	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|arid4a	human	ARID4A	arid4a	AnimalTFDB3	AnimalTFDB3_git_snapshot		1	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|arid4b	human	ARID4B	arid4b	AnimalTFDB3;TFLink	AnimalTFDB3_git_snapshot;TFLink_v1.0_snapshot		2	0	0	0	10175				false	false	false	false	false	new_candidate	new_candidate	
human|arid5a	human	ARID5A	arid5a	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01		2	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|arid5b	human	ARID5B	arid5b	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot		3	0	0	0	810				false	false	false	false	false	new_candidate	new_candidate	
human|arnt	human	ARNT	arnt	AnimalTFDB3;Lambert_HumanTFs;OmniPath_DoRothEA;TFLink;TRRUST	AnimalTFDB3_git_snapshot;Lambert_v1.01;OmniPath_DoRothEA_snapshot_2026-08-25;TFLink_v1.0_snapshot;TRRUST_v2_snapshot_2026-08-25	CollecTRI;CollecTRI2;DoRothEA;DoRothEA-A_CollecTRI;DoRothEA-A_CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI;FANTOM4_DoRothEA;GEREDB_CollecTRI;GEREDB_CollecTRI2;HTRI_CollecTRI;HTRIdb;HTRIdb_CollecTRI2;HTRIdb_DoRothEA;IntAct_DoRothEA;KEGG-MEDICUS;NTNU.Curated_CollecTRI;NTNUcuration_CollecTRI2;PAZAR;ReMap_DoRothEA;SIGNOR_CollecTRI;SIGNOR_CollecTRI2;TRRUST;TRRUST_CollecTRI;TRRUST_CollecTRI2;TRRUST_DoRothEA;TfactS_CollecTRI2	5	30	94	0	14956	canonical_tf_edge;canonical_tf_role;module_22B_regulon	16800	22B	true	true	true	true	true	existing_public_pair_union	cross_referenced	
human|arnt2	human	ARNT2	arnt2	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot		3	0	0	0	601				false	false	false	false	false	new_candidate	new_candidate	
human|arntl	human	ARNTL	arntl	AnimalTFDB3;Lambert_HumanTFs;TFLink;TRRUST	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot;TRRUST_v2_snapshot_2026-08-25	TRRUST	4	10	5	0	4921				true	false	false	false	false	existing_public_pair_union	cross_referenced	
human|arntl2	human	ARNTL2	arntl2	AnimalTFDB3;Lambert_HumanTFs;TFLink;TRRUST	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot;TRRUST_v2_snapshot_2026-08-25	TRRUST	4	1	1	0	1				true	false	false	false	false	existing_public_pair_union	cross_referenced	
human|arrb1	human	ARRB1	arrb1	TFLink	TFLink_v1.0_snapshot		1	0	0	0	7007				false	false	false	false	false	new_candidate	new_candidate	
human|arx	human	ARX	arx	AnimalTFDB3;Lambert_HumanTFs;TFLink;TRRUST	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot;TRRUST_v2_snapshot_2026-08-25	TRRUST	4	4	2	0	4				true	false	false	false	false	existing_public_pair_union	cross_referenced	
human|ascl1	human	ASCL1	ascl1	AnimalTFDB3;Lambert_HumanTFs;OmniPath_DoRothEA;TFLink;TRRUST	AnimalTFDB3_git_snapshot;Lambert_v1.01;OmniPath_DoRothEA_snapshot_2026-08-25;TFLink_v1.0_snapshot;TRRUST_v2_snapshot_2026-08-25	CollecTRI;CollecTRI2;DoRothEA;DoRothEA-A_CollecTRI;DoRothEA-A_CollecTRI2;ExTRI2_CollecTRI2;GEREDB_CollecTRI;GEREDB_CollecTRI2;GOA_CollecTRI;GOA_CollecTRI2;HTRI_CollecTRI;HTRIdb;HTRIdb_CollecTRI2;HTRIdb_DoRothEA;Pavlidis2021_CollecTRI;Pavlidis_CollecTRI2;ReMap_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_CollecTRI2;TRRUST_DoRothEA	5	8	4	0	9896				true	false	false	false	false	existing_public_pair_union	cross_referenced	
human|ascl2	human	ASCL2	ascl2	AnimalTFDB3;Lambert_HumanTFs;TFLink	AnimalTFDB3_git_snapshot;Lambert_v1.01;TFLink_v1.0_snapshot		3	0	0	0	7703				false	false	false	false	false	new_candidate	new_candidate	
human|ascl3	human	ASCL3	ascl3	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01		2	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|ascl4	human	ASCL4	ascl4	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01		2	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|ascl5	human	ASCL5	ascl5	AnimalTFDB3;Lambert_HumanTFs	AnimalTFDB3_git_snapshot;Lambert_v1.01		2	0	0	0	0				false	false	false	false	false	new_candidate	new_candidate	
human|asf1a	human	ASF1A	asf1a	TFLink	TFLink_v1.0_snapshot		1	0	0	0	3684				false	false	false	false	false	new_candidate	new_candidate	
human|ash1l	human	ASH1L	ash1l	Lambert_HumanTFs;TFLink;TRRUST	Lambert_v1.01;TFLink_v1.0_snapshot;TRRUST_v2_snapshot_2026-08-25	TRRUST	3	2	1	0	1290				true	false	false	false	false	existing_public_pair_union	cross_referenced	
human|ash2l	human	ASH2L	ash2l	TFLink	TFLink_v1.0_snapshot		1	0	0	0	9373				false	false	false	false	false	new_candidate	new_candidate	
human|asxl1	human	ASXL1	asxl1	TFLink;TRRUST	TFLink_v1.0_snapshot;TRRUST_v2_snapshot_2026-08-25	TRRUST	2	1	1	0	3952				true	false	false	false	false	existing_public_pair_union	cross_referenced	
human|asxl2	human	ASXL2	asxl2	TFLink	TFLink_v1.0_snapshot		1	0	0	0	42				false	false	false	false	false	new_candidate	new_candidate	
human|atf1	human	ATF1	atf1	AnimalTFDB3;Lambert_HumanTFs;OmniPath_DoRothEA;TFLink;TRRUST	AnimalTFDB3_git_snapshot;Lambert_v1.01;OmniPath_DoRothEA_snapshot_2026-08-25;TFLink_v1.0_snapshot;TRRUST_v2_snapshot_2026-08-25	ARACNe-GTEx_DoRothEA;CollecTRI;CollecTRI2;CytReg_CollecTRI;CytReg_CollecTRI2;DoRothEA;DoRothEA-A_CollecTRI;DoRothEA-A_CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI;FANTOM4_DoRothEA;GEREDB_CollecTRI;GEREDB_CollecTRI2;HOCOMOCO_DoRothEA;HTRI_CollecTRI;HTRIdb;HTRIdb_CollecTRI2;HTRIdb_DoRothEA;JASPAR_DoRothEA;NTNU.Curated_CollecTRI;NTNUcuration_CollecTRI2;PAZAR;ReMap_DoRothEA;RegNetwork_DoRothEA;SIGNOR_CollecTRI;SIGNOR_CollecTRI2;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_CollecTRI2;TRRUST_DoRothEA;TfactS_CollecTRI2	5	55	36	0	13134				true	false	false	false	false	existing_public_pair_union	cross_referenced	
human|atf2	human	ATF2	atf2	AnimalTFDB3;Lambert_HumanTFs;OmniPath_DoRothEA;TFLink;TRRUST	AnimalTFDB3_git_snapshot;Lambert_v1.01;OmniPath_DoRothEA_snapshot_2026-08-25;TFLink_v1.0_snapshot;TRRUST_v2_snapshot_2026-08-25	ARACNe-GTEx_DoRothEA;CollecTRI;CollecTRI2;CytReg_CollecTRI;CytReg_CollecTRI2;DoRothEA;DoRothEA-A_CollecTRI;DoRothEA-A_CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI;FANTOM4_DoRothEA;GEREDB_CollecTRI;GEREDB_CollecTRI2;GOA_CollecTRI2;HOCOMOCO_DoRothEA;HTRI_CollecTRI;HTRIdb;HTRIdb_CollecTRI2;HTRIdb_DoRothEA;IntAct_DoRothEA;KEGG-MEDICUS;NTNU.Curated_CollecTRI;NTNUcuration_CollecTRI2;ORegAnno;ORegAnno_DoRothEA;ReMap_DoRothEA;RegNetwork_DoRothEA;SIGNOR_CollecTRI;SIGNOR_CollecTRI2;TFe_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_CollecTRI2;TRRUST_DoRothEA;TfactS_CollecTRI2	5	60	218	0	11422	canonical_tf_edge;canonical_tf_role;module_22B_regulon	11199	22B	true	true	false	true	true	existing_public_pair_union	cross_referenced	Current-set flags include any-species canonical matches; exact-species matches are reported separately.
human|atf3	human	ATF3	atf3	AnimalTFDB3;Lambert_HumanTFs;OmniPath_DoRothEA;TFLink;TRRUST	AnimalTFDB3_git_snapshot;Lambert_v1.01;OmniPath_DoRothEA_snapshot_2026-08-25;TFLink_v1.0_snapshot;TRRUST_v2_snapshot_2026-08-25	ARACNe-GTEx_DoRothEA;CollecTRI;CollecTRI2;CytReg_CollecTRI;CytReg_CollecTRI2;DoRothEA;DoRothEA-A_CollecTRI;DoRothEA-A_CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI;FANTOM4_DoRothEA;GOA_CollecTRI;GOA_CollecTRI2;HTRI_CollecTRI;HTRIdb;HTRIdb_CollecTRI2;HTRIdb_DoRothEA;IntAct_DoRothEA;NTNU.Curated_CollecTRI;NTNUcuration_CollecTRI2;ReMap_DoRothEA;RegNetwork_DoRothEA;SIGNOR;SIGNOR_CollecTRI;SIGNOR_CollecTRI2;TFactS_CollecTRI;TFactS_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_CollecTRI2;TRRUST_DoRothEA;TfactS_CollecTRI2	5	27	51	0	14652	canonical_tf_edge;canonical_tf_role;module_22B_regulon	16728	22B	true	true	true	true	true	existing_public_pair_union	cross_referenced	
