supplement_id	candidate_unit_id	review_batch	disposition	edge_id	normalized_ligand_key	normalized_receptor_key	supporting_primary_locators	evidence_layer	species_support	evidence_summary	limitations	integration_status
PUBLIC-LR-SUPP:000011	LR:CD6>ALCAM	batch_001	already_present_reverse_orientation	M21B-E000686	CD6	ALCAM	PMID:7760007; PMCID:PMC2192054; PMID:16352806; DOI:10.1182/blood-2005-09-3881	ligand_receptor_binding_or_activation;downstream_or_functional	human; mouse	The graph contains the primary-supported ALCAM/CD166-to-CD6 adhesion relationship in the reverse orientation of the public CD6>ALCAM row.	Preserve ALCAM as the ligand and CD6 as the receptor in the reported adhesion/costimulation context; do not add a duplicate reverse edge.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000012	LR:CD80>CD274	batch_001	already_present_reverse_orientation	M21B-E005462	CD80	CD274	PMID:17629517; PMID:18585785; PMID:20587542; PMCID:PMC2707944; DOI:10.1016/j.molimm.2008.05.014	ligand_receptor_binding_or_activation	human	The graph already contains the primary-supported PD-L1/CD274-to-B7-1/CD80 cis interaction in the reverse orientation.	Preserve the cis interaction orientation and human biochemical/cell-adhesion context; do not add a duplicate CD80-to-CD274 edge or infer canonical trans signaling.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000013	LR:DHH>PTCH1+SMO	batch_001	hold_contextual_or_complex_boundary	M21B-E006418	DHH	PTCH1+SMO	PMID:9811851	ligand_receptor_binding_or_activation	human	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000014	LR:DHH>PTCH2+SMO	batch_001	hold_contextual_or_complex_boundary	M21B-E003221	DHH	PTCH2+SMO	PMID:9811851	ligand_receptor_binding_or_activation	human	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000015	LR:DSC3>DSG3	batch_001	already_present_reverse_orientation	M21B-E003160	DSC3	DSG3	PMID:27298358; PMCID:PMC4932976; DOI:10.1073/pnas.1606272113	ligand_receptor_binding_or_activation	human; mouse	The graph already contains the primary-supported desmosomal interaction in the reverse adhesion orientation, DSG3 to DSC3.	The reverse orientation is preserved as a cell-adhesion relationship; no duplicate DSC3-to-DSG3 edge is added.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000016	LR:DSG1C>DSC3	batch_001	already_present_exact_or_alias	M21B-E003154	DSG1C	DSC3	PMID:27298358; PMCID:PMC4932976; DOI:10.1073/pnas.1606272113	ligand_receptor_binding_or_activation	human; mouse	The graph contains the primary-supported DSG1-to-DSC3 desmosomal interaction under the DSG1C nomenclature.	Preserve desmosomal cadherin paralog and adhesion context; do not infer intracellular signaling from the adhesion edge alone.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000017	LR:FLRT1+TENM2>ADGRL1	batch_001	hold_contextual_or_complex_boundary	M21B-E000959	FLRT1+TENM2	ADGRL1	PMCID:PMC3141932; PMCID:PMC3326387; PMCID:PMC3879561; PMCID:PMC6245728; PMID:21724987; PMID:22405201; PMID:24273166; PMID:30457553	ligand_receptor_binding_or_activation	both	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000018	LR:FLRT1+TENM2>ADGRL1	batch_001	hold_contextual_or_complex_boundary	M23B-E000693	FLRT1+TENM2	ADGRL1	PMCID:PMC3141932; PMCID:PMC3326387; PMCID:PMC3879561; PMCID:PMC6245728; PMID:21724987; PMID:22405201; PMID:24273166; PMID:30457553	ligand_receptor_binding_or_activation	both	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000019	LR:FLRT1+TENM3>ADGRL3	batch_001	hold_contextual_or_complex_boundary	M21B-E000962	FLRT1+TENM3	ADGRL3	PMCID:PMC3326387; PMID:22405201	ligand_receptor_binding_or_activation	both	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000020	LR:FLRT1+TENM4>ADGRL1	batch_001	hold_contextual_or_complex_boundary	M21B-E000959	FLRT1+TENM4	ADGRL1	PMCID:PMC3326387; PMID:22405201	ligand_receptor_binding_or_activation	both	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000021	LR:FLRT3+TENM2>ADGRL1	batch_001	hold_contextual_or_complex_boundary	M21B-E000961	FLRT3+TENM2	ADGRL1	PMCID:PMC3141932; PMCID:PMC3326387; PMCID:PMC3879561; PMCID:PMC6245728; PMID:21724987; PMID:22405201; PMID:24273166; PMID:30457553	ligand_receptor_binding_or_activation	both	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000022	LR:FLRT3+TENM2>ADGRL1	batch_001	hold_contextual_or_complex_boundary	M23B-E000693	FLRT3+TENM2	ADGRL1	PMCID:PMC3141932; PMCID:PMC3326387; PMCID:PMC3879561; PMCID:PMC6245728; PMID:21724987; PMID:22405201; PMID:24273166; PMID:30457553	ligand_receptor_binding_or_activation	both	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000023	LR:FLRT3+TENM2>ADGRL2	batch_001	hold_contextual_or_complex_boundary	M23B-E000695	FLRT3+TENM2	ADGRL2	PMCID:PMC3879561; PMCID:PMC6636343; PMCID:PMC6978801; PMID:24273166; PMID:30792275; PMID:31928845	ligand_receptor_binding_or_activation	both	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000024	LR:FLRT3+TENM3>ADGRL3	batch_001	hold_contextual_or_complex_boundary	M20B-E000475	FLRT3+TENM3	ADGRL3	DOI:10.1016/j.neuron.2012.01.018; PMCID:PMC3326387; PMCID:PMC4396693; PMID:22405201; PMID:35393556	ligand_receptor_binding_or_activation	both; mouse	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000025	LR:FLRT3+TENM3>ADGRL3	batch_001	hold_contextual_or_complex_boundary	M21B-E000964	FLRT3+TENM3	ADGRL3	DOI:10.1016/j.neuron.2012.01.018; PMCID:PMC3326387; PMCID:PMC4396693; PMID:22405201; PMID:35393556	ligand_receptor_binding_or_activation	both; mouse	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000026	LR:FLRT3+TENM3>ADGRL3	batch_001	hold_contextual_or_complex_boundary	M23B-E000533	FLRT3+TENM3	ADGRL3	DOI:10.1016/j.neuron.2012.01.018; PMCID:PMC3326387; PMCID:PMC4396693; PMID:22405201; PMID:35393556	ligand_receptor_binding_or_activation	both; mouse	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000027	LR:FLRT3+TENM4>ADGRL1	batch_001	hold_contextual_or_complex_boundary	M21B-E000961	FLRT3+TENM4	ADGRL1	PMCID:PMC3326387; PMID:22405201	ligand_receptor_binding_or_activation	both	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000028	LR:FRAS1+FREM1+NPNT>ITGA8+ITGB1	batch_001	hold_contextual_or_complex_boundary	M20B-E002377	FRAS1+FREM1+NPNT	ITGA8+ITGB1	DOI:10.1074/jbc.M900200200; PMCID:PMC2682901; PMCID:PMC2757411; PMID:11470831; PMID:17537792; PMID:19342381	ligand_receptor_binding_or_activation	both; mouse	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000029	LR:FRAS1+FREM1+NPNT>ITGA8+ITGB1	batch_001	hold_contextual_or_complex_boundary	M20B-E002378	FRAS1+FREM1+NPNT	ITGA8+ITGB1	DOI:10.1074/jbc.M900200200; PMCID:PMC2682901; PMCID:PMC2757411; PMID:11470831; PMID:17537792; PMID:19342381	ligand_receptor_binding_or_activation	both; mouse	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000030	LR:FRAS1+FREM1+NPNT>ITGA8+ITGB1	batch_001	hold_contextual_or_complex_boundary	M23B-E000223	FRAS1+FREM1+NPNT	ITGA8+ITGB1	DOI:10.1074/jbc.M900200200; PMCID:PMC2682901; PMCID:PMC2757411; PMID:11470831; PMID:17537792; PMID:19342381	ligand_receptor_binding_or_activation	both; mouse	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000031	LR:FRAS1+FREM2+NPNT>ITGA8+ITGB1	batch_001	hold_contextual_or_complex_boundary	M20B-E002377	FRAS1+FREM2+NPNT	ITGA8+ITGB1	DOI:10.1074/jbc.M900200200; PMCID:PMC2682901; PMCID:PMC2757411; PMID:11470831; PMID:17537792; PMID:19342381	ligand_receptor_binding_or_activation	both; mouse	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000032	LR:FRAS1+FREM2+NPNT>ITGA8+ITGB1	batch_001	hold_contextual_or_complex_boundary	M20B-E002378	FRAS1+FREM2+NPNT	ITGA8+ITGB1	DOI:10.1074/jbc.M900200200; PMCID:PMC2682901; PMCID:PMC2757411; PMID:11470831; PMID:17537792; PMID:19342381	ligand_receptor_binding_or_activation	both; mouse	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000033	LR:FRAS1+FREM2+NPNT>ITGA8+ITGB1	batch_001	hold_contextual_or_complex_boundary	M23B-E000223	FRAS1+FREM2+NPNT	ITGA8+ITGB1	DOI:10.1074/jbc.M900200200; PMCID:PMC2682901; PMCID:PMC2757411; PMID:11470831; PMID:17537792; PMID:19342381	ligand_receptor_binding_or_activation	both; mouse	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000034	LR:GDF7>BMPR1A+BMPR2	batch_001	hold_contextual_or_complex_boundary	M21B-E006358	GDF7	BMPR1A+BMPR2	DOI:10.1159/000322589; PMID:16049014; PMID:21702718	ligand_receptor_binding_or_activation	human	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000035	LR:GDF7>BMPR1A+BMPR2	batch_001	hold_contextual_or_complex_boundary	M21B-E006362	GDF7	BMPR1A+BMPR2	DOI:10.1159/000322589; PMID:16049014; PMID:21702718	ligand_receptor_binding_or_activation	human	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000036	LR:GDF7>BMPR1B+BMPR2	batch_001	hold_contextual_or_complex_boundary	M21B-E006359	GDF7	BMPR1B+BMPR2	DOI:10.1159/000322589; PMID:16049014; PMID:21702718	ligand_receptor_binding_or_activation	human	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000037	LR:GDF7>BMPR1B+BMPR2	batch_001	hold_contextual_or_complex_boundary	M21B-E006362	GDF7	BMPR1B+BMPR2	DOI:10.1159/000322589; PMID:16049014; PMID:21702718	ligand_receptor_binding_or_activation	human	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000038	LR:HBEGF>EGFR+ERBB2	batch_001	hold_contextual_or_complex_boundary	M20B-E001250	HBEGF	EGFR+ERBB2	DOI:10.1083/jcb.122.4.933; PMID:8349739	ligand_receptor_binding_or_activation	mixed; mouse	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000039	LR:HBEGF>EGFR+ERBB2	batch_001	hold_contextual_or_complex_boundary	M21B-E000387	HBEGF	EGFR+ERBB2	DOI:10.1083/jcb.122.4.933; PMID:8349739	ligand_receptor_binding_or_activation	mixed; mouse	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000040	LR:IHH>PTCH2+SMO	batch_001	hold_contextual_or_complex_boundary	M21B-E003222	IHH	PTCH2+SMO	PMID:9811851	ligand_receptor_binding_or_activation	human	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000041	LR:IL13>IL13RA2+IL4RA	batch_001	hold_contextual_or_complex_boundary	M21B-E000739	IL13	IL13RA2+IL4RA	PMID:20223216	ligand_receptor_binding_or_activation	human	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000042	LR:IL31>IL31RA+OSMR	batch_001	hold_contextual_or_complex_boundary	M21B-E003263	IL31	IL31RA+OSMR	PMID:19920145	ligand_receptor_binding_or_activation	human	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000043	LR:IL4>IL13+IL13RA1+IL4RA	batch_001	hold_contextual_or_complex_boundary	M20B-E003979	IL4	IL13+IL13RA1+IL4RA	PMID:18852293	ligand_receptor_binding_or_activation	both; mouse	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000044	LR:IL4>IL13+IL13RA1+IL4RA	batch_001	hold_contextual_or_complex_boundary	M21B-E000323	IL4	IL13+IL13RA1+IL4RA	PMID:18852293	ligand_receptor_binding_or_activation	both; mouse	The public row is a composite or receptor-complex representation with component overlap to one or more graph edges. The matched component edge(s) are retained as evidence, but the full public topology is not asserted as one edge.	No new edge is materialized. Co-receptor, ternary-complex, or multi-subunit scope requires an exact primary study before promotion.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000045	LR:INS1>INSR	batch_001	already_present_exact_or_alias	M21B-E001429	INS1	INSR	PMCID:PMC3793637	ligand_receptor_binding_or_activation	human; mouse	The graph already contains primary-supported insulin-to-INSR binding under the Ins1/insulin ligand alias.	Preserve mature insulin and INSR receptor context; do not duplicate the Ins2 or generic insulin aliases or infer a complete downstream route from receptor binding alone.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000046	LR:NECTIN3>NECTIN2	batch_001	already_present_reverse_orientation	M21B-E002205	NECTIN3	NECTIN2	PMID:12121624; PMID:23027581; PMCID:PMC3792040	ligand_receptor_binding_or_activation;downstream_or_functional	mouse; human	The graph contains the primary-supported Nectin-2/PVRL2-to-Nectin-3/PVRL3 adhesion relationship in the reverse orientation of the public row.	Preserve the reported heterophilic Nectin-2/Nectin-3 adhesion orientation and endothelial/junctional context; do not add a duplicate reverse edge.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000047	LR:NECTIN3>PVR	batch_001	already_present_exact_or_alias	M21B-E011623	NECTIN3	PVR	PMID:23027581; PMCID:PMC3792040	ligand_receptor_binding_or_activation;downstream_or_functional	human	The graph now contains primary-supported Nectin-3/PVR heterophilic adhesion evidence.	Preserve Nectin-3/PVR endothelial trans-interaction context; no unique intracellular relay or terminal-TF output is inferred.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000048	LR:NRXN1>DAG1	batch_001	already_present_reverse_orientation	M21B-E002387	NRXN1	DAG1	PMID:21628410	ligand_receptor_binding_or_activation	mouse; human comparator	The graph contains the primary-supported DAG1-to-NRXN1 interaction in the reverse orientation of the public row.	Preserve the alpha-dystroglycan/neurexin adhesion context; do not add a duplicate reverse edge or infer a complete intracellular route.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000049	LR:NRXN1>LRRTM1	batch_001	already_present_reverse_orientation	M21B-E002365	NRXN1	LRRTM1	PMID:20064387; PMID:20064388; PMID:20519524	ligand_receptor_binding_or_activation;downstream_or_functional	human; mouse	The graph contains the primary-supported LRRTM/neurexin adhesion relationship in the reverse orientation of the public neurexin-to-LRRTM row.	Preserve neurexin splice-variant and LRRTM paralog context; do not infer a universal synaptic route or terminal-TF output.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000050	LR:NRXN1>LRRTM2	batch_001	already_present_reverse_orientation	M21B-E002137	NRXN1	LRRTM2	PMID:20064387; PMID:20064388; PMID:20519524	ligand_receptor_binding_or_activation;downstream_or_functional	human; mouse	The graph contains the primary-supported LRRTM/neurexin adhesion relationship in the reverse orientation of the public neurexin-to-LRRTM row.	Preserve neurexin splice-variant and LRRTM paralog context; do not infer a universal synaptic route or terminal-TF output.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000051	LR:NRXN2>LRRTM1	batch_001	already_present_reverse_orientation	M21B-E005164	NRXN2	LRRTM1	PMID:20064387; PMID:20064388; PMID:20519524	ligand_receptor_binding_or_activation;downstream_or_functional	human; mouse	The graph contains the primary-supported LRRTM/neurexin adhesion relationship in the reverse orientation of the public neurexin-to-LRRTM row.	Preserve neurexin splice-variant and LRRTM paralog context; do not infer a universal synaptic route or terminal-TF output.	attached_to_existing_graph_edge
PUBLIC-LR-SUPP:000052	LR:NRXN2>LRRTM2	batch_001	already_present_reverse_orientation	M21B-E005166	NRXN2	LRRTM2	PMID:20064387; PMID:20064388; PMID:20519524	ligand_receptor_binding_or_activation;downstream_or_functional	human; mouse	The graph contains the primary-supported LRRTM/neurexin adhesion relationship in the reverse orientation of the public neurexin-to-LRRTM row.	Preserve neurexin splice-variant and LRRTM paralog context; do not infer a universal synaptic route or terminal-TF output.	attached_to_existing_graph_edge
