expansion_id	source_queue_id	path_expression	route_tier	known_layers	missing_layers	intracellular_status	ligand_node_id	ligand_label	ligand_receptor_edge_id	receptor_node_id	receptor_label	intracellular_continuation_node_id	intracellular_continuation_label	transcription_factor_node_id	transcription_factor_label	target_gene_node_id	target_gene_label	source_evidence_record_id	citation_note	route_linkage_status	output_class	output_label	primary_locator	evidence_summary	limitations	causal_status	traversal_status	evidence_contract_version	evidence_polarity	negative_evidence_status	evidence_directness	curation_status	source_scope	route_evidence_id
M21B-LITEXP-3811	M21B-DOWNSTREAM:02650	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|cell_death_or_blebbing	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE08650	P2RX7/P2X7 ATP-gated receptor	NODE03173	EMP1/epithelial membrane protein 1					M21B-DOWNSTREAM-EVID:004019		literature_expansion:bounded_receptor_proximal_output_annotation	cellular_functional_readout	membrane blebbing and caspase-dependent cell death	PMID:12107182	P2X7 association with EMP1 is supported by biochemical assays, with EMP-family overexpression linked to membrane blebbing and caspase-dependent death.	Preserve the heterologous/monocyte P2X7-EMP context; no universal P2X7 death mechanism or terminal TF is asserted.	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	curated_primary_route	direct_edge	LITEXP:003841
M21B-LITEXP-3812	M21B-DOWNSTREAM:02651	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|cell_death_or_blebbing	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE08650	P2RX7/P2X7 ATP-gated receptor	NODE03175	EMP3/epithelial membrane protein 3					M21B-DOWNSTREAM-EVID:004020		literature_expansion:bounded_receptor_proximal_output_annotation	cellular_functional_readout	membrane blebbing and caspase-dependent cell death	PMID:12107182	P2X7 association with EMP3 is supported by biochemical assays, with EMP-family overexpression linked to membrane blebbing and caspase-dependent death.	Preserve the heterologous/monocyte P2X7-EMP context; no universal P2X7 death mechanism or terminal TF is asserted.	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	curated_primary_route	direct_edge	LITEXP:003842
M21B-LITEXP-3813	M21B-DOWNSTREAM:02652	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|cell_death_or_blebbing	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE08650	P2RX7/P2X7 ATP-gated receptor	NODE09131	PMP22/peripheral myelin protein 22					M21B-DOWNSTREAM-EVID:004021		literature_expansion:bounded_receptor_proximal_output_annotation	cellular_functional_readout	membrane blebbing and caspase-dependent cell death	PMID:12107182	P2X7 association with PMP22 is supported by biochemical assays, with EMP-family overexpression linked to membrane blebbing and caspase-dependent death.	Preserve the heterologous/monocyte P2X7-EMP-family context; no universal P2X7 death mechanism or terminal TF is asserted.	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	curated_primary_route	direct_edge	LITEXP:003843
M21B-LITEXP-3814	M21B-DOWNSTREAM:02680	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|phagocytosis_or_engulfment	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE06827	MBL/mannan-binding lectin	M21B-E002681	NODE01543	CALR:CD91/calreticulin-LRP1 complex							M21B-DOWNSTREAM-EVID:004049		literature_expansion:bounded_composite_receptor_output_annotation	phagocytosis_or_engulfment	macropinocytic uptake of MBL-coated apoptotic cells	PMID:11560994	Macrophage studies support uptake of MBL-coated apoptotic cells through the calreticulin-CD91 complex, with blockade reducing uptake.	Preserve the macrophage and apoptotic-cell uptake context; intracellular relay, TF, and target-gene layers remain unasserted.	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	curated_primary_route	direct_edge	LITEXP:003844
M21B-LITEXP-3815	M21B-DOWNSTREAM:02687	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|synaptic_organization	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE10335	SLC12A5/KCC2	NODE03235	EPB41L1/4.1N					M21B-DOWNSTREAM-EVID:004056		literature_expansion:bounded_receptor_proximal_output_annotation	cellular_functional_readout	neuronal membrane organization and spine morphogenesis	PMID:18093524	KCC2 association with 4.1N is supported by brain co-immunoprecipitation, FERM-domain assays, and KCC2-null/rescue neuron spine studies.	Preserve KCC2/4.1N neuronal membrane context; do not infer a ligand input, TF, or target-gene mechanism.	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	curated_primary_route	direct_edge	LITEXP:003845
M21B-LITEXP-3816	M21B-DOWNSTREAM:02688	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|synaptic_transmission	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE10335	SLC12A5/KCC2	NODE07736	NETO2					M21B-DOWNSTREAM-EVID:004057		literature_expansion:bounded_receptor_proximal_output_annotation	cellular_functional_readout	chloride extrusion and inhibitory transmission	PMID:23401525	KCC2-NETO2 association is supported by biochemical studies and Neto2-null neuron assays of chloride extrusion and inhibition.	Preserve neuronal KCC2-NETO2 context; do not infer a ligand input, TF, or target-gene mechanism.	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	curated_primary_route	direct_edge	LITEXP:003846
M21B-LITEXP-3817	M21B-DOWNSTREAM:02689	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|ion_homeostasis	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE10335	SLC12A5/KCC2	NODE00997	ATP1A2/Na-K ATPase alpha2					M21B-DOWNSTREAM-EVID:004058		literature_expansion:bounded_receptor_proximal_output_annotation	generic_functional_readout	neuronal chloride regulation	PMID:15564586	KCC2 association with the alpha2 Na+/K+-ATPase is supported by synaptic-membrane co-immunoprecipitation and neuronal chloride recordings.	Preserve neuronal KCC2/ATP1A2 coupling context; do not infer a ligand input, TF, or target-gene mechanism.	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	curated_primary_route	direct_edge	LITEXP:003847
M21B-LITEXP-3818	M21B-DOWNSTREAM:02697	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|adhesion_or_internalization	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE09061	PLAUR/uPAR/CD87	NODE05860	ITGAM:ITGB2/CR3					M21B-DOWNSTREAM-EVID:004066		literature_expansion:bounded_cis_receptor_output_annotation	cellular_functional_readout	CR3-mediated attachment and internalization	PMID:20580686	Neutrophil assays support uPAR as a cis-associated cofactor for CR3-mediated attachment and internalization.	Preserve iC3b-opsonized particle and neutrophil context; no universal uPAR/CR3 intracellular or TF mechanism is asserted.	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	curated_primary_route	direct_edge	LITEXP:003848
M21B-LITEXP-3819	M21B-DOWNSTREAM:02736	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|neurite_inhibition_or_recovery	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE09113	PLXNA2/PlexinA2	NODE09893	RTN4R/NgR1					M21B-DOWNSTREAM-EVID:004105		literature_expansion:bounded_receptor_proximal_output_annotation	cellular_functional_readout	Nogo-A-associated neuronal inhibition and recovery phenotype	PMID:30804090; PMCID:PMC6788813	Nogo-A studies support NgR1 association with PlexinA2/CRMP2 and PlexinA2-dependent neuronal inhibitory and recovery phenotypes.	Preserve Nogo-A/NgR1/PlexinA2 neuronal context; do not infer a complete intracellular relay or terminal TF.	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	curated_primary_route	direct_edge	LITEXP:003849
M21B-LITEXP-3820	M21B-DOWNSTREAM:02738	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|platelet_activation_or_aggregation	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE01916	CD47	NODE05743	ITGA2B:ITGB3/alphaIIbbeta3					M21B-DOWNSTREAM-EVID:004107		literature_expansion:bounded_cis_receptor_output_annotation	phosphorylation_or_activation_readout	alphaIIbbeta3-dependent platelet spreading and aggregation	PMID:10085089	CD47/IAP association with beta3 integrins and contribution to alphaIIbbeta3-dependent platelet spreading and aggregation are supported by primary interaction and perturbation assays.	Preserve platelet/integrin context; no universal CD47 intracellular relay, TF, or target-gene mechanism is asserted.	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	curated_primary_route	direct_edge	LITEXP:003850
M21B-LITEXP-3821	M21B-DOWNSTREAM:02794	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|endocytosis_or_clearance	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE01462	C4BP/C4b-binding protein	M21B-E003088	NODE06516	LRP1/CD91							M21B-DOWNSTREAM-EVID:004163		literature_expansion:bounded_ligand_receptor_output_annotation	phagocytosis_or_engulfment	LRP1-associated C4BP degradation and delayed clearance	PMID:11705989; DOI:10.1074/jbc.M102293200	SPR, RAP competition, LRP-deficient-cell degradation, and mouse clearance studies support C4BP as an LRP1 ligand with clearance output.	Preserve the LRP1/C4BP clearance context; intracellular relay, TF, and target-gene layers remain unasserted.	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	curated_primary_route	direct_edge	LITEXP:003851
M21B-LITEXP-3822	M21B-DOWNSTREAM:02811	????>receptor>????>????>output	downstream_output_annotation_unlinked_topology	receptor|cell_contact_organization	ligand_receptor_pair|intracellular_continuation|transcription_factor|target_gene_expression	not_assayed				NODE02208	CLDN1/claudin-1	NODE02211	CLDN5/claudin-5					M21B-DOWNSTREAM-EVID:004180		literature_expansion:bounded_receptor_proximal_output_annotation	cellular_functional_readout	heteropolymeric tight-junction strand organization	PMID:21533891; PMCID:PMC4336547	Coculture contact enrichment, FRET, and freeze-fracture studies support claudin-1/claudin-5 coassembly at cell contacts.	Treat as cell-contact structural evidence, not a ligand-receptor signaling chain; intracellular and TF layers remain unasserted.	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	curated_primary_route	direct_edge	LITEXP:003852
M21B-LITEXP-3823	M21B-DOWNSTREAM:02812	????>receptor>????>????>output	downstream_output_annotation_unlinked_topology	receptor|cell_contact_organization	ligand_receptor_pair|intracellular_continuation|transcription_factor|target_gene_expression	not_assayed				NODE02211	CLDN5/claudin-5	NODE02208	CLDN1/claudin-1					M21B-DOWNSTREAM-EVID:004181		literature_expansion:bounded_receptor_proximal_output_annotation	cellular_functional_readout	heteropolymeric tight-junction strand organization	PMID:21533891; PMCID:PMC4336547	Coculture contact enrichment, FRET, and freeze-fracture studies support claudin-5/claudin-1 coassembly at cell contacts.	Treat as cell-contact structural evidence, not a ligand-receptor signaling chain; intracellular and TF layers remain unasserted.	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	curated_primary_route	direct_edge	LITEXP:003853
M21B-LITEXP-3824	M21B-DOWNSTREAM:02943	????>receptor>????>????>output	downstream_output_annotation_unlinked_topology	receptor|complement_activation_regulation	ligand_receptor_pair|intracellular_continuation|transcription_factor|target_gene_expression	not_assayed				NODE10274	ShTOR/Schistosoma haematobium complement C2 receptor inhibitory trispanning	NODE01435	C2/complement component 2					M21B-DOWNSTREAM-EVID:004312		literature_expansion:bounded_receptor_proximal_output_annotation	phosphorylation_or_activation_readout	classical-pathway hemolysis inhibition	PMID:10734221; DOI:10.1016/S0014-5793(00)01304-1	Sh-TOR extracellular domain binds human C2/C2a and inhibits classical-pathway hemolysis.	Preserve parasite TOR/C2 complement context; do not infer a mammalian receptor, intracellular relay, TF, or SCI transfer.	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	curated_primary_route	direct_edge	LITEXP:003854
M21B-LITEXP-3825	M21B-DOWNSTREAM:02984	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|neurite_signaling	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE02287	CNTN1/contactin-1	NODE09469	PTPRA/PTP-alpha					M21B-DOWNSTREAM-EVID:004353		literature_expansion:bounded_cis_receptor_output_annotation	cellular_functional_readout	Fyn-linked contactin/PTP-alpha receptor-complex signaling	PMID:10562275; PMCID:PMC2156155; https://pubmed.ncbi.nlm.nih.gov/10562275/	Brain and transfected-cell studies support a stable contactin-1/PTP-alpha cis complex with a proposed Fyn-linked signaling function.	Preserve cis receptor-complex and proposed Fyn context; no complete intracellular relay, TF, or target-gene output is asserted.	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	curated_primary_route	direct_edge	LITEXP:003855
M21B-LITEXP-3826	M21B-DOWNSTREAM:02989	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|synaptic_organization	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE08080	NLGN1/neuroligin-1	NODE08355	NRXN2beta/beta-neurexin-2					M21B-DOWNSTREAM-EVID:004358		literature_expansion:bounded_receptor_proximal_output_annotation	cellular_functional_readout	beta-neurexin binding and hemisynapse cooperation	PMID:20519524; https://pubmed.ncbi.nlm.nih.gov/20519524/	Binding-code and coculture hemisynapse assays support NLGN1 interaction with beta-neurexin-2 and synaptic cooperation.	Treat as trans-synaptic adhesion evidence; intracellular relay, TF, and target-gene layers remain unasserted.	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	curated_primary_route	direct_edge	LITEXP:003856
M21B-LITEXP-3827	M21B-DOWNSTREAM:02990	receptor>intracellular>output	receptor_intracellular_output_annotation_missing_ligand_receptor_and_tf	receptor|intracellular_continuation|synaptic_organization	ligand_receptor_input|transcription_factor|target_gene_expression	source_supported				NODE08080	NLGN1/neuroligin-1	NODE08362	NRXN3beta/beta-neurexin-3					M21B-DOWNSTREAM-EVID:004359		literature_expansion:bounded_receptor_proximal_output_annotation	cellular_functional_readout	beta-neurexin binding and hemisynapse cooperation	PMID:20519524; https://pubmed.ncbi.nlm.nih.gov/20519524/	Binding-code and coculture hemisynapse assays support NLGN1 interaction with beta-neurexin-3 and synaptic cooperation.	Treat as trans-synaptic adhesion evidence; intracellular relay, TF, and target-gene layers remain unasserted.	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	curated_primary_route	direct_edge	LITEXP:003857
M21B-LITEXP-3828	M21B-DOWNSTREAM:03024	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|immune_cytotoxicity	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE05058	IGSF8/EWI-2	M21B-E005540	NODE06118	KIR3DL2/CD158k							M21B-DOWNSTREAM-EVID:004393		literature_expansion:bounded_ligand_receptor_output_annotation	cellular_functional_readout	suppressed NK-cell cytotoxicity rescued by receptor blockade	PMID:38657602; DOI:10.1016/j.cell.2024.03.039	CRISPR, receptor-binding, NK-cell cytotoxicity, and blockade studies support tumor-cell IGSF8 interaction with KIR3DL2 and suppression of NK function.	Preserve human tumor/NK context; intracellular relay, TF, and target-gene layers remain unasserted.	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	curated_primary_route	direct_edge	LITEXP:003858
M21B-LITEXP-3829	M21B-DOWNSTREAM:03042	ligand>????>output	downstream_output_annotation_unlinked_topology	ligand|cellular_functional_readout	receptor|intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE05572	INHBA/Activin A										M21B-DOWNSTREAM-EVID:004411		literature_expansion:bounded_ligand_output_annotation	cellular_functional_readout	oligodendrocyte differentiation during CNS remyelination	PMID:23872599; PMCID:PMC3977045; DOI:10.1038/nn.3469	Conditioned-media and blockade studies support Activin-A as a microglial/macrophage-derived remyelination cue that enhances oligodendrocyte differentiation.	The responding receptor and intracellular relay are not established in this record; preserve demyelination/remyelination context and do not infer a terminal TF.	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	curated_primary_route	direct_edge	LITEXP:003859
M21B-LITEXP-3830	M21B-DOWNSTREAM:03116	????>receptor>????>????>output	downstream_output_annotation_unlinked_topology	receptor|matrix_organization	ligand_receptor_pair|intracellular_continuation|transcription_factor|target_gene_expression	not_assayed				NODE11209	TNC/tenascin-C	NODE03752	FN1/fibronectin					M21B-DOWNSTREAM-EVID:004488		literature_expansion:bounded_matrix_receptor_output_annotation	cellular_functional_readout	inhibition of fibronectin fibrillogenesis	PMID:21324901; PMCID:PMC3083171; DOI:10.1074/jbc.M110.189019	Domain-mapping and fibrillogenesis assays support direct TNC binding to soluble and fibrillar fibronectin with inhibition of fibril formation.	Treat as extracellular matrix-partner evidence, not a canonical receptor signaling chain; intracellular and TF layers remain unasserted.	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	curated_primary_route	direct_edge	LITEXP:003860
M21B-LITEXP-3831	M21B-DOWNSTREAM:03146	ligand>receptor>output	ligand_receptor_output_annotation_missing_intracellular_and_tf	ligand|receptor|endocytosis_or_clearance	intracellular_continuation|transcription_factor|target_gene_expression	not_assayed	NODE01541	CALR/calreticulin	M21B-E006570	NODE10635	SREC-I/SCARF1							M21B-DOWNSTREAM-EVID:004518		literature_expansion:bounded_ligand_receptor_output_annotation	phagocytosis_or_engulfment	SCARF1-dependent calreticulin recognition and endocytic uptake	PMID:15371419	Receptor-binding and uptake assays support calreticulin recognition and endocytic uptake through SREC-I/SCARF1.	Preserve scavenger-receptor and uptake context; intracellular relay, TF, and target-gene layers remain unasserted.	not_asserted	evidence_route_not_causal	mechanism_evidence_v1	supports	not_evaluated	source_claim	curated_primary_route	direct_edge	LITEXP:003861
