module	pathway_name	evidence_layer	edge_status	export_priority	nonexportable_edge_count
21B	Nr-CAM-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	OBCAM-homophilic-IgLON-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	OL-protocadherin-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	PCDH1-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	PCDH10-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	PCDH17-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	PCDH18-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	PCDH19-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	PCDH2-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	PCDH7-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	PCDH8-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	PCDH9-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	PCDHA7-homophilic-neuronal-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	PCDHB11-homophilic-neuronal-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	PCDHB6-homophilic-neuronal-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	PCDHB8-homophilic-neuronal-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	PCDHGA3-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	PCDHGA8-homophilic-neuronal-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	PCDHGA9-homophilic-neuronal-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	PCDHGB2-homophilic-neuronal-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	PCDHGC3-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	PDL1-homophilic-cell-surface-binding	ligand_receptor_binding_or_activation	validated_primary_exact_layer	medium	1
21B	PECAM1-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	PTPRD-homophilic-CNS-neurite-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	PTPRK-homophilic-cell-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	PTPRM-homophilic-cell-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	PTPRT-homophilic-neural-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	PVRL1-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	PVRL2-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	PVRL3-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	PVRL4-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	SDK1-homophilic-retinal-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	SDK2-homophilic-retinal-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	SLAMF1-homophilic-self-association	ligand_receptor_binding_or_activation	validated_primary_exact_layer	medium	1
21B	SLAMF6-homophilic-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	SLAMF8-homophilic-myeloid-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	TENM3-homophilic-hippocampal-adhesion	ligand_receptor_binding_or_activation;downstream_or_functional	validated_primary_exact_layer	medium	1
21B	VE-cadherin-homophilic-trans-adhesion	ligand_receptor_binding_or_activation	validated_primary_exact_layer	medium	1
22B	none_identified	boundary	no_evidence_boundary	medium	34
22B	none_identified	downstream_or_functional	no_evidence_boundary	medium	4976
22B	none_identified	downstream_or_functional	unresolved	medium	9
23B	CADM3 homophilic adhesion	ligand_receptor_or_direct_molecular	reviewed_first_pass	P2	1
23B	Claudin-2 homophilic adhesion and metastatic cell–hepatocyte interaction	downstream_or_functional	reviewed_supported	P2	1
23B	Claudin-2 homophilic adhesion and metastatic cell–hepatocyte interaction	ligand_receptor_or_direct_molecular	reviewed_supported	P2	1
23B	PACAP VPAC2 PLC/PKA/cAMP-p38 branch	receptor_proximal_or_pathway	reviewed_supported	P2	1
24B	FLRT3 homophilic adhesion	ligand_receptor_or_direct_molecular	reviewed_batch002B	P2	1
24B	PCDHGC5 homophilic synaptic adhesion	ligand_receptor_or_direct_molecular	reviewed_batch003A	P2	1
