M21B-PROMO-20260914-LRP1-NPC1-11	M21B-DISC-14869	M21B-E010996	M21B-EVID-010741	candidate	promoted	receptor_proximal_or_pathway;downstream_or_functional	PMCID:PMC12255092, Cholesterol in the CNS: functions, recycling and remyelination		PMID:29251594; PMCID:PMC5752207; DOI:10.7554/eLife.30498	Oligodendrocyte-lineage LRP1 maintains cholesterol homeostasis in OPCs.	Pdgfra-CreER Lrp1 mutants and primary Lrp1-deficient OPCs showed cholesterol and SREBP2 dysregulation.	Preserve OPC lineage and no direct ligand mechanism.	MATERIALIZED_REVIEW_GUIDED
M21B-PROMO-20260914-LRP1-NPC1-12	M21B-DISC-14870	M21B-E010997	M21B-EVID-010741	candidate	promoted	receptor_proximal_or_pathway;downstream_or_functional	PMCID:PMC12255092, Cholesterol in the CNS: functions, recycling and remyelination		PMID:29251594; PMCID:PMC5752207; DOI:10.7554/eLife.30498	Oligodendrocyte-lineage LRP1 supports peroxisome biogenesis in OPCs.	Lrp1 deficiency reduced peroxisomal biogenesis factor-2 and peroxisomes in oligodendrocyte processes.	Preserve PEX2/peroxisome readout; no direct LRP1-peroxisome binding.	MATERIALIZED_REVIEW_GUIDED
M21B-PROMO-20260914-LRP1-NPC1-13	M21B-DISC-14871	M21B-E010998	M21B-EVID-010741	candidate	promoted	receptor_proximal_or_pathway;downstream_or_functional	PMCID:PMC12255092, Cholesterol in the CNS: functions, recycling and remyelination		PMID:29251594; PMCID:PMC5752207; DOI:10.7554/eLife.30498	Oligodendrocyte-lineage LRP1 promotes OPC differentiation into mature oligodendrocytes.	Lrp1-deficient OPC differentiation was impaired and combined cholesterol/pioglitazone enhanced maturation.	Preserve combined-rescue requirement and note later context-specific LRP1 demyelination findings.	MATERIALIZED_REVIEW_GUIDED
M21B-PROMO-20260914-LRP1-NPC1-14	M21B-DISC-14872	M21B-E010999	M21B-EVID-010741	candidate	promoted	receptor_proximal_or_pathway;downstream_or_functional	PMCID:PMC12255092, Cholesterol in the CNS: functions, recycling and remyelination		PMID:29251594; PMCID:PMC5752207; DOI:10.7554/eLife.30498	Oligodendrocyte-lineage LRP1 supports CNS myelin development.	Conditional oligodendrocyte-lineage Lrp1 ablation was assessed with CNS myelin histology and ultrastructure.	Preserve conditional Lrp1 model and no ligand-to-LRP1 inference.	MATERIALIZED_REVIEW_GUIDED
M21B-PROMO-20260914-LRP1-NPC1-15	M21B-DISC-14873	M21B-E011000	M21B-EVID-010741	candidate	promoted	receptor_proximal_or_pathway;downstream_or_functional	PMCID:PMC12255092, Cholesterol in the CNS: functions, recycling and remyelination		PMID:29251594; PMCID:PMC5752207; DOI:10.7554/eLife.30498	Oligodendrocyte-lineage LRP1 supports white-matter repair after focal demyelination.	Adult inducible and Pdgfra-CreER Lrp1 ablation attenuated repair of LPC-damaged white matter.	Preserve focal LPC model and no traumatic-SCI transfer.	MATERIALIZED_REVIEW_GUIDED
M21B-PROMO-20260914-LRP1-NPC1-16	M21B-DISC-14874	M21B-E011001	M21B-EVID-010741	candidate	promoted	downstream_or_functional	PMCID:PMC12255092, Cholesterol in the CNS: functions, recycling and remyelination		PMID:29251594; PMCID:PMC5752207; DOI:10.7554/eLife.30498	Combined cholesterol plus pioglitazone treatment rescues maturation of Lrp1-deficient OPCs.	Neither treatment alone was sufficient; combined treatment enhanced MBP-positive maturation in primary mouse OPCs.	Preserve combined-treatment requirement and no direct LRP1 agonism claim.	MATERIALIZED_REVIEW_GUIDED
M21B-PROMO-20260914-LRP1-NPC1-17	M21B-DISC-14875	M21B-E011002	M21B-EVID-010741	candidate	promoted	receptor_proximal_or_pathway;downstream_or_functional	Primary report (review lead not used)		PMID:37407594; PMCID:PMC10322873; DOI:10.1038/s41467-023-39733-6	NPC1 maintains oligodendrocyte-lineage maturation.	Npc1-null mouse forebrain and primary OPC studies showed diminished myelinating-oligodendrocyte and OPC maturation.	Preserve Npc1-null developmental context and no extracellular ligand claim.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-LRP1-NPC1-18	M21B-DISC-14876	M21B-E011003	M21B-EVID-010741	candidate	promoted	receptor_proximal_or_pathway;downstream_or_functional	Primary report (review lead not used)		PMID:37407594; PMCID:PMC10322873; DOI:10.1038/s41467-023-39733-6	NPC1 maintains H3K27me3-associated gene silencing in oligodendrocyte-lineage cells.	Npc1-null oligodendrocyte-lineage cells showed reduced H3K27me3-associated silencing and transcriptional dysregulation.	Preserve H3K27me3 association and no direct NPC1-chromatin binding.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-LRP1-NPC1-19	M21B-DISC-14877	M21B-E011004	M21B-EVID-010741	candidate	promoted	downstream_or_functional	Primary report (review lead not used)		PMID:37407594; PMCID:PMC10322873; DOI:10.1038/s41467-023-39733-6	GSK-J4 rescues maturation of Npc1-deficient OPCs.	GSK-J4 rescued impaired maturation in primary mouse Npc1-deficient OPC cultures.	Preserve GSK-J4 intervention and no direct NPC1 target claim.	MATERIALIZED_PRIMARY_ONLY
M21B-PROMO-20260914-LRP1-NPC1-20	M21B-DISC-14878	M21B-E011005	M21B-EVID-010741	candidate	promoted	downstream_or_functional	Primary report (review lead not used)		PMID:37407594; PMCID:PMC10322873; DOI:10.1038/s41467-023-39733-6	2-hydroxypropyl-beta-cyclodextrin rescues myelination in Npc1-deficient mice.	A single P7 dose rescued myelination, epigenetic marks and oligodendrocyte gene expression in Npc1-null mice.	Preserve single-dose neonatal treatment and no traumatic-SCI transfer.	MATERIALIZED_PRIMARY_ONLY
