candidate_unit_id	b_edge_id	b_evidence_id	primary_locator	previous_register_match	materialization_status	limitations
LR:FGF20>FGFR1	M21B-E011659	M21B-EVID-010962	PMID:16597617; PMCID:PMC2080618; PMID:19564416; PMCID:PMC2725704; DOI:10.1128/MCB.01780-08	none	materialized_reviewed_primary	Preserve the FGF20 dimerization, heparin/heparan-sulfate and FGFR1c context; do not generalize across receptor splice isoforms or infer a terminal-TF output.
LR:FGF20>FGFR2	M21B-E011660	M21B-EVID-010963	PMID:16597617; PMCID:PMC2080618	none	materialized_reviewed_primary	Preserve the FGFR2c splice-isoform and heparan-sulfate assay context; the study is semiquantitative and does not establish a universal intracellular relay or terminal-TF output.
LR:FGF3>FGFR1	M21B-E011661	M21B-EVID-010964	PMID:7592624; DOI:10.1074/jbc.270.41.24197	none	materialized_reviewed_primary	Preserve the FGFR1/FGFR2 splice-isoform, heparin and potency differences; do not collapse isoform-specific activity into one universal receptor edge or infer a terminal-TF output.
LR:FGF3>FGFR2	M21B-E011662	M21B-EVID-010965	PMID:7592624; DOI:10.1074/jbc.270.41.24197	none	materialized_reviewed_primary	Preserve the FGFR1/FGFR2 splice-isoform, heparin and potency differences; do not collapse isoform-specific activity into one universal receptor edge or infer a terminal-TF output.
LR:FGF8>FGFR1	M21B-E011663	M21B-EVID-010966	PMID:16384934; PMCID:PMC1356110	none	materialized_reviewed_primary	Preserve FGF8 splice-isoform and developmental-context boundaries; the evidence does not justify an isoform-free FGF8-FGFR1 edge, universal intracellular relay or terminal-TF output.
LR:IL16>CD9	M21B-E011664	M21B-EVID-010967	PMID:16144798; PMCID:PMC1895361	none	materialized_reviewed_primary	Preserve CD9 as a cell-type-dependent alternate IL-16 receptor alongside the canonical CD4 route; do not generalize this mast-cell context to all IL-16-responsive cells or infer a terminal-TF output.
LR:KLK5>F2RL1	M21B-E011665	M21B-EVID-010968	PMID:20703245; DOI:10.1038/jid.2010.233	none	materialized_reviewed_primary	Promote only as a bounded protease-activated receptor route; the cited study establishes functional activation and a TSLP readout rather than a purified cleavage biochemistry, SCI transfer or a terminal-TF claim.
LR:L1CAM>ALCAM	M21B-E011666	M21B-EVID-010969	PMCID:PMC6703882	none	materialized_reviewed_primary	Preserve the trans-heterophilic cell-contact and neurite-growth assay context; do not infer a soluble ligand route, a universal intracellular relay or a terminal-TF output from this adhesion experiment.
LR:MSTN>ACVR1B+ACVR2A	M21B-E011667	M21B-EVID-010970	PMID:14517293; PMID:33219121	none	materialized_reviewed_primary	Preserve the composite receptor topology and muscle-cell context; this is a candidate for graph materialization after exact complex normalization, not four independent binary receptor edges.
LR:MSTN>ACVR1B+ACVR2B	M21B-E011668	M21B-EVID-010971	PMID:14517293; PMID:33219121	none	materialized_reviewed_primary	Preserve the composite receptor topology and muscle-cell context; this is a candidate for graph materialization after exact complex normalization, not four independent binary receptor edges.
LR:MSTN>ACVR2A+TGFBR1	M21B-E011669	M21B-EVID-010972	PMID:14517293; PMID:33219121	none	materialized_reviewed_primary	Preserve the composite receptor topology and muscle-cell context; this is a candidate for graph materialization after exact complex normalization, not four independent binary receptor edges.
LR:MSTN>ACVR2B+TGFBR1	M21B-E011670	M21B-EVID-010973	PMID:14517293; PMID:33219121	none	materialized_reviewed_primary	Preserve the composite receptor topology and muscle-cell context; this is a candidate for graph materialization after exact complex normalization, not four independent binary receptor edges.
LR:PDGFB>PDGFRA+PDGFRB	M21B-E011671	M21B-EVID-010974	PMID:20534510; PMID:7679113	none	materialized_reviewed_primary	Preserve PDGF-BB dimerization and PDGFRA/PDGFRB receptor-complex topology; materialize only after exact heterodimer normalization and do not infer a terminal TF or SCI-specific output.
LR:RAET1A>KLRK1	M21B-E011672	M21B-EVID-010975	PMID:19197141; PMID:20484740	none	materialized_reviewed_primary	Promote as a bounded NKG2D ligand-to-immune-output route; the cited studies do not resolve DAP10/DAP12 adaptor choice, a complete intracellular cascade or a terminal-TF output.
LR:VIP>SCTR	M21B-E011673	M21B-EVID-010976	PMID:7782300	none	materialized_reviewed_primary	Treat as low-potency cross-reactivity rather than canonical VIP-SCTR signaling; the study does not establish physiological relevance, a complete intracellular relay or a terminal-TF output.
