species	tf_symbol	target_symbol	external_record_keys	decision	module_assignment	evidence_status	support_kind	effect_polarity	primary_pmids	corroborating_pmids	shared_paper_status	cross_module_status	cell_type_context	stimulus_context	limitations	notes
human	HSF1	HSPA4	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000218:be54a9c33cbd;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:003163;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:003164	database_only_unverified	22B	database_curated_unverified	database_assertion	positive	\N	\N	not_assessed	none_claimed	\N	\N	Database presence and linked PMIDs do not establish exact-pair direct binding or perturbation, effect direction, or species/context scope.	Source lead only; no exact-pair primary plus independent corroborating verification asserted in this immediate conservative pass; source_records=3; database_ref_count=180; ref_head=1508207;7553870;7753835;8035809;8078944; source_registries=OmniPath_DoRothEA;TRRUST.
human	NR5A1	STAR	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000117:780d13725a33;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005231;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005232;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005233	database_only_unverified	22B	database_curated_unverified	database_assertion	context_dependent	\N	\N	not_assessed	none_claimed	\N	\N	Database presence and linked PMIDs do not establish exact-pair direct binding or perturbation, effect direction, or species/context scope.	Source lead only; no exact-pair primary plus independent corroborating verification asserted in this immediate conservative pass; source_records=4; database_ref_count=77; ref_head=8703908;9013761;9029708;9188726;9801462; source_registries=OmniPath_DoRothEA;TRRUST.
human	SREBF2	LDLR	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000234:ae0b06a806d7;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:007764	database_only_unverified	22B	database_curated_unverified	database_assertion	positive	\N	\N	not_assessed	none_claimed	\N	\N	Database presence and linked PMIDs do not establish exact-pair direct binding or perturbation, effect direction, or species/context scope.	Source lead only; no exact-pair primary plus independent corroborating verification asserted in this immediate conservative pass; source_records=2; database_ref_count=116; ref_head=7759101;10455139;10627507;10777536;10894816; source_registries=OmniPath_DoRothEA;TRRUST.
human	WT1	IGF1R	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000266:ba92387d676e;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:009050;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:009051	database_only_unverified	22B	database_curated_unverified	database_assertion	negative	\N	\N	not_assessed	none_claimed	\N	\N	Database presence and linked PMIDs do not establish exact-pair direct binding or perturbation, effect direction, or species/context scope.	Source lead only; no exact-pair primary plus independent corroborating verification asserted in this immediate conservative pass; source_records=3; database_ref_count=26; ref_head=7497000;7791758;8184747;8390684;8702614; source_registries=OmniPath_DoRothEA;TRRUST.
mouse	Irf3	Ifnb1	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|mouse|omnipath_dorothea:mouse:000515:2c1e648fa9ba;TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:002164;TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:002165;TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:002166	database_only_unverified	22B	database_curated_unverified	database_assertion	context_dependent	\N	\N	not_assessed	none_claimed	\N	\N	Database presence and linked PMIDs do not establish exact-pair direct binding or perturbation, effect direction, or species/context scope.	Source lead only; no exact-pair primary plus independent corroborating verification asserted in this immediate conservative pass; source_records=4; database_ref_count=378; ref_head=9446577;9541017;9649509;9660935;9707562; source_registries=OmniPath_DoRothEA;TRRUST.
human	AHR	CYP1A1	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000154:4e2781fcd786;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000028;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000029;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000030	database_only_unverified	22B	database_curated_unverified	database_assertion	context_dependent	\N	\N	not_assessed	none_claimed	\N	\N	Database presence and linked PMIDs do not establish exact-pair direct binding or perturbation, effect direction, or species/context scope.	Source lead only; no exact-pair primary plus independent corroborating verification asserted in this immediate conservative pass; source_records=4; database_ref_count=1009; ref_head=1309295;1311272;1312672;1313023;1313028; source_registries=OmniPath_DoRothEA;TRRUST.
human	NR1I2	CYP3A4	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000189:c0fc54148599;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005087;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005088	database_only_unverified	22B	database_curated_unverified	database_assertion	positive	\N	\N	not_assessed	none_claimed	\N	\N	Database presence and linked PMIDs do not establish exact-pair direct binding or perturbation, effect direction, or species/context scope.	Source lead only; no exact-pair primary plus independent corroborating verification asserted in this immediate conservative pass; source_records=3; database_ref_count=580; ref_head=9727070;9855641;10403778;10415106;10570062; source_registries=OmniPath_DoRothEA;TRRUST.
mouse	Snai1	Cdh1	TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:005330;TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:005331;TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:005332	database_only_unverified	22B	database_curated_unverified	database_assertion	context_dependent	\N	\N	not_assessed	none_claimed	\N	\N	Database presence and linked PMIDs do not establish exact-pair direct binding or perturbation, effect direction, or species/context scope.	Source lead only; no exact-pair primary plus independent corroborating verification asserted in this immediate conservative pass; source_records=3; database_ref_count=20; ref_head=10655586;12161443;12761851;14673164;15790452; source_registries=TRRUST.
mouse	Zeb1	Cdh1	TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:006986	database_only_unverified	22B	database_curated_unverified	database_assertion	negative	\N	\N	not_assessed	none_claimed	\N	\N	Database presence and linked PMIDs do not establish exact-pair direct binding or perturbation, effect direction, or species/context scope.	Source lead only; no exact-pair primary plus independent corroborating verification asserted in this immediate conservative pass; source_records=1; database_ref_count=1; ref_head=17655524; source_registries=TRRUST.
mouse	Nr1h3	Abca1	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|mouse|omnipath_dorothea:mouse:000520:647e5814393d;TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:003725	database_only_unverified	22B	database_curated_unverified	database_assertion	positive	\N	\N	not_assessed	none_claimed	\N	\N	Database presence and linked PMIDs do not establish exact-pair direct binding or perturbation, effect direction, or species/context scope.	Source lead only; no exact-pair primary plus independent corroborating verification asserted in this immediate conservative pass; source_records=2; database_ref_count=282; ref_head=10858438;11035776;11172721;11264984;11287605; source_registries=OmniPath_DoRothEA;TRRUST.
human	POU1F1	PRL	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000081:9a0d0f176db2;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005546;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005547	database_only_unverified	22B	database_only_unverified	database_curated_source_lead	activating_target	7529501;16879162;11874696;17240357;17933456;19808898;7877625;9207961;9822660;11081207	\N	not_verified	not_claimed	\N	\N	Primary literature verification incomplete; database assertion only.	Top inventory pair; source lead TRRUST PMIDs retained for follow-up and are not independently corroborated here.
human	SNAI2	CDH1	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000993:1e403b43dea1;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:006824;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:006825	database_only_unverified	22B	database_only_unverified	database_curated_source_lead	repressing_target	20053763;22899291;15311212;21796367;21081648	\N	not_verified	not_claimed	\N	\N	Primary literature verification incomplete; database assertion only.	Top inventory pair; source lead TRRUST PMIDs retained for follow-up and are not independently corroborated here.
human	PDX1	INS	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000134:a0c94ce85166;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005410;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005411	database_only_unverified	22B	database_only_unverified	database_curated_source_lead	activating_target	7568086;10567373;10585868;20886630;10426567	\N	not_verified	not_claimed	\N	\N	Primary literature verification incomplete; database assertion only.	Top inventory pair; source lead TRRUST PMIDs retained for follow-up and are not independently corroborated here.
human	STAT6	IL4	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000164:cb5b87ada841;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008169;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008170	database_only_unverified	22B	database_only_unverified	database_curated_source_lead	activating_target	16647686;20214667;12082548;12776189;14993689;19419769;20225206;12605697	\N	not_verified	not_claimed	\N	\N	Primary literature verification incomplete; database assertion only.	Top inventory pair; source lead TRRUST PMIDs retained for follow-up and are not independently corroborated here.
human	YY1	MYC	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000414:18346a59cd8e;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:009228;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:009229;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:009230	database_only_unverified	22B	database_only_unverified	database_curated_source_lead	mixed_or_conflicted	18490439;19279113;17434929;9797456;10528225	\N	not_verified	not_claimed	\N	\N	Primary literature verification incomplete; source directions conflict.	Top inventory pair; source lead TRRUST PMIDs retained for follow-up; do not infer a single polarity from the mixed inventory assertions.
human	HNF1A	ALB	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000303:88c02bcb20e2;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002992	database_only_unverified	22B	database_only_unverified	database_curated_source_lead	activating_target	1321810	\N	not_verified	not_claimed	\N	\N	Primary literature verification incomplete; database assertion only.	Top inventory pair; source lead TRRUST PMID retained for follow-up and is not independently corroborated here.
human	FOXM1	CCNB1	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000880:5fd635666579;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002241	database_only_unverified	22B	database_only_unverified	database_curated_source_lead	activating_target	19276163	\N	not_verified	not_claimed	\N	\N	Primary literature verification incomplete; database assertion only.	Top inventory pair; source lead TRRUST PMID retained for follow-up and is not independently corroborated here.
human	TBX21	IFNG	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000443:b901bdae1891;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008235;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008236	database_only_unverified	22B	database_only_unverified	database_curated_source_lead	activating_target	19348920;20977921;21540308;17541280;16498264;16737784;17705132;19879772;20056084;21507199;22521571;24752800;12938094	\N	not_verified	not_claimed	\N	\N	Primary literature verification incomplete; database assertion only.	Top inventory pair; source lead TRRUST PMIDs retained for follow-up and are not independently corroborated here.
human	USF1	SERPINE1	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:001096:97888d43b78e;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008874;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008875	database_only_unverified	22B	database_only_unverified	database_curated_source_lead	activating_target	16902162;12235287	\N	not_verified	not_claimed	\N	\N	Primary literature verification incomplete; database assertion only.	Top inventory pair; source lead TRRUST PMIDs retained for follow-up and are not independently corroborated here.
human	TWIST1	CDH1	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002223:55be8c5a22c8;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008747;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008748	database_only_unverified	22B	database_only_unverified	database_curated_source_lead	repressing_target	19581928;20053763;21876555;22899291;15311212;21796367	\N	not_verified	not_claimed	\N	\N	Primary literature verification incomplete; database assertion only.	Top inventory pair; source lead TRRUST PMIDs retained for follow-up and are not independently corroborated here.
human	STAT4	IFNG	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000074:5eba6bcf4bae;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:008109	database_only_unverified	22B	database_only_unverified	database_curated_source_lead	activating_target	9642277;9558063	\N	not_verified	20B_overlap_routing_flag	\N	\N	Primary literature verification incomplete; database assertion only.	Top inventory pair; 20B is preserved as a routing flag only; no transfer by citation overlap.
human	REL	IL2	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000724:e0bda2bb2aeb;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005951	database_only_unverified	22B	database_only_unverified	database_curated_source_lead	activating_target	8920856	\N	not_verified	not_claimed	\N	\N	Primary literature verification incomplete; database assertion only.	Top inventory pair; source lead TRRUST PMID retained for follow-up and is not independently corroborated here.
human	GATA1	HBB	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:001085:75e4d2bd4cf8;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002386	database_only_unverified	22B	database_only_unverified	database_curated_source_lead	activating_target	20564185;15833715	\N	not_verified	not_claimed	\N	\N	Primary literature verification incomplete; database assertion only.	Top inventory pair; source lead TRRUST PMIDs retained for follow-up and are not independently corroborated here.
human	DDIT3	TNFRSF10B	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002085:2b70942b8a16;OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002086:903234f66655;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:001105;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:001106;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:001107	database_only_unverified	22B	database_only_unverified	database_curated_source_lead	mixed_or_conflicted	15994939;18593935;18794136;21044953;21726997;21941003;15322075;18172319;22328338;20157774	\N	not_verified	not_claimed	\N	\N	Primary literature verification incomplete; source directions conflict.	Top inventory pair; source lead TRRUST PMIDs retained for follow-up; do not infer a single polarity from the mixed inventory assertions.
human	RARA	RARB	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000364:8bdef88e55c2;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:005861	database_only_unverified	22B	database_only_unverified	database_curated_source_lead	activating_target	10629091	\N	not_verified	not_claimed	\N	\N	Primary literature verification incomplete; database assertion only.	Top inventory pair; source lead TRRUST PMID retained for follow-up and is not independently corroborated here.
human	IRF7	IFNB1	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000964:3ea47c8a10bf;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:003351;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:003352;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:003353	database_only_unverified	22B	database_only_unverified	database_curated_source_lead	mixed_or_conflicted	17236232;22698399;23906644;22547704	\N	not_verified	not_claimed	\N	\N	Primary literature verification incomplete; source directions conflict.	Top inventory pair; source lead TRRUST PMIDs retained for follow-up; do not infer a single polarity from the mixed inventory assertions.
mouse	NFATC2	Ifng	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|mouse|omnipath_dorothea:mouse:001819:8f502dafbc56;TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:003171;TRRUST|TRRUST_v2_snapshot_2026-08-25|mouse|trrust:mouse:003172	database_only_unverified	22B	database_only_unverified	database_curated_source_lead	activating_target	11520798;10894164	\N	not_verified	not_claimed	\N	\N	Primary literature verification incomplete; database assertion only.	Top inventory pair; source lead TRRUST PMIDs retained for follow-up and are not independently corroborated here.
human	RUNX2	MMP13	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000137:68e464bd05c6;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:006525	database_only_unverified	22B	database_only_unverified	database_curated_source_lead	activating_target	15564063	\N	not_verified	not_claimed	\N	\N	Primary literature verification incomplete; database assertion only.	Top inventory pair; source lead TRRUST PMID retained for follow-up and is not independently corroborated here.
human	ATF6	HSPA5	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000325:cc382cfa0840;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000367	database_only_unverified	22B	database_only_unverified	database_curated_source_lead	activating_target	12713871	\N	not_verified	not_claimed	\N	\N	Primary literature verification incomplete; database assertion only.	Top inventory pair; source lead TRRUST PMID retained for follow-up and is not independently corroborated here.
human	BACH1	HMOX1	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:001104:00b6c4371130;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000408;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:000409	database_only_unverified	22B	database_only_unverified	database_curated_source_lead	mixed_or_conflicted	17942419;18550526;21982894;17409198	\N	not_verified	not_claimed	\N	\N	Primary literature verification incomplete; source directions conflict.	Top inventory pair; source lead TRRUST PMIDs retained for follow-up; do not infer a single polarity from the mixed inventory assertions.
human	E2F4	BRCA1	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002024:4dd2283bc675;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:001355	database_only_unverified	22B	database_only_unverified	database_assertion	unknown			none_identified	no_modules_20_21_23_24_overlap	not verified; source database only	not verified	No bounded primary verification with independent corroboration.	Database source lead: OmniPath/DoRothEA and TRRUST, PMIDs 17106239;20818429. Exact E2F4-BRCA1 support and polarity were not independently corroborated.
human	GLI1	BCL2	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:001367:f199956d03cc;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002520	promote_to_22B	22B	verified_exact_primary	direct_promoter_binding_and_perturbation	positive	14555646	19736394	none_identified	no_modules_20_21_23_24_overlap	human keratinocytes; pancreatic cancer cells	SHH/GLI1 expression; GLI1 RNAi/cyclopamine	Cancer/keratinocyte context; not a universal regulon claim.	PMID 14555646 shows GLI1-dependent BCL2 promoter activation; independent PMID 19736394 shows GLI1 binding at the BCL2 promoter and loss of BCL2 after GLI1 inhibition.
human	GATA2	EPO	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000687:dc8d19554263;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:002420	database_only_unverified	22B	database_only_unverified	database_assertion	repressing_target			none_identified	no_modules_20_21_23_24_overlap	not verified; source database only	not verified	No bounded primary verification with independent corroboration.	Database source lead: OmniPath/DoRothEA and TRRUST, PMID 8677751. Exact GATA2-EPO evidence was not independently corroborated for this lane.
human	MYB	BCL2	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:000398:7c7df837f250;TRRUST|TRRUST_v2_snapshot_2026-08-25|human|trrust:human:004092	database_only_unverified	22B	database_only_unverified	database_assertion	unknown			none_identified	no_modules_20_21_23_24_overlap	not verified; source database only	not verified	No bounded primary verification with independent corroboration.	Database source lead: OmniPath/DoRothEA and TRRUST, PMIDs 8946913;11675351. The strongest leads include non-human/v-Myb or B-Myb contexts and were not transferred.
