staging_evidence_id	module	b_evidence_id	b_edge_ids	source_a_evidence_id	source_kind	source_locator	support_kind	species_support	source_scope	confidence_tier	citation_note	evidence_summary	limitations	evidence_layer	exportable	promotion_specific	staging_status
24B-EVID-STAGE-00014	24B	M24B-EVID-000082	M24B-E000061	M24A-B001-EVID-067	primary_research_paper	PMID:18204471; PMCID:PMC2437904; DOI:10.1038/sj.bjp.0707692; PMID:22673622; PMCID:PMC3468347	primary_experiment	human comparator	direct_edge	medium-high	Primary P2Y14 pharmacology	UDP-galactose activated P2Y14-associated Gi/Rho signaling with cell-state-dependent efficacy.	No endogenous SCI release evidence.	ligand_receptor_or_direct_molecular	true	false	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00015	24B	M24B-EVID-PROMO-20260826-007	M24B-E000061	PROMO-24A-L02-M24A-E061	promotion_round_primary_corroboration	PMID:18204471; https://pubmed.ncbi.nlm.nih.gov/18204471/; PMID:22673622; https://pubmed.ncbi.nlm.nih.gov/22673622/; PMID:35385339; https://pubmed.ncbi.nlm.nih.gov/35385339/; PMID:37955640; https://pubmed.ncbi.nlm.nih.gov/37955640/	primary_experiment_plus_independent_corroboration	mixed primary human/mouse/rat systems	2026-08-26 supervised lane-02 exact-pair corroboration	high	Lane-02 promotion; primary PMIDs 18204471; independent corroboration PMIDs 22673622;35385339;37955640	Recombinant P2Y14 and differentiated HL60 or neutrophil studies show UDP-galactose-associated Gi/Rho signaling, independently reproduced by receptor-structure/function and cell-death release studies.	High confidence is molecular only; no endogenous SCI release; receptor efficacy is cell-state-dependent and the ligand can show partial activity in native cells.	ligand_receptor_or_direct_molecular	true	true	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00016	24B	M24B-EVID-000084	M24B-E000063	M24A-B001-EVID-069	primary_research_paper	PMID:18204471; PMCID:PMC2437904; DOI:10.1038/sj.bjp.0707692; PMID:22673622; PMCID:PMC3468347	primary_experiment	human comparator	direct_edge	medium	Primary P2Y14 pharmacology	UDP-glucuronic acid activated P2Y14/Rho signaling in recombinant and differentiated HL-60 systems with weak primary-neutrophil activity.	No SCI release evidence and efficacy depends on assay/cell state.	ligand_receptor_or_direct_molecular	true	false	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00017	24B	M24B-EVID-PROMO-20260826-008	M24B-E000063	PROMO-24A-L02-M24A-E063	promotion_round_primary_corroboration	PMID:18204471; https://pubmed.ncbi.nlm.nih.gov/18204471/; PMID:17407275; https://pubmed.ncbi.nlm.nih.gov/17407275/; PMID:22673622; https://pubmed.ncbi.nlm.nih.gov/22673622/; PMID:37955640; https://pubmed.ncbi.nlm.nih.gov/37955640/	primary_experiment_plus_independent_corroboration	mixed primary human/mouse/rat systems	2026-08-26 supervised lane-02 exact-pair corroboration	high	Lane-02 promotion; primary PMIDs 18204471; independent corroboration PMIDs 17407275;22673622;37955640	Recombinant P2Y14 and differentiated HL60 assays support UDP-glucuronic acid receptor activity, with independent human neutrophil and newer structure-function studies testing the same ligand-receptor edge.	High confidence is molecular only; no SCI release evidence; activity is weaker or partial in native neutrophils and depends on cell state.	ligand_receptor_or_direct_molecular	true	true	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00018	24B	M24B-EVID-000104	M24B-E000068	M24A-B002-EVID-086	primary_research_paper	PMID:21075851	primary_experiment	mouse	direct_edge	medium-high	Primary spinal PGE2 receptor study	EP2/EP4 activation limited inflammatory cytokine and prostaglandin production in spinal cultures, supporting an EP4 branch distinct from EP2 pain signaling.	Spinal culture/neuroinflammation context rather than contusive SCI; receptor effects are context-dependent.	ligand_receptor_or_direct_molecular	true	false	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00019	24B	M24B-EVID-PROMO-20260826-009	M24B-E000068	PROMO-24A-L02-M24A-E068	promotion_round_primary_corroboration	PMID:21075851; https://pubmed.ncbi.nlm.nih.gov/21075851/; PMID:9283702; https://pubmed.ncbi.nlm.nih.gov/9283702/; PMID:11597569; https://pubmed.ncbi.nlm.nih.gov/11597569/; PMID:30510193; https://pubmed.ncbi.nlm.nih.gov/30510193/; PMID:33643295; https://pubmed.ncbi.nlm.nih.gov/33643295/	primary_experiment_plus_independent_corroboration	mixed primary human/mouse/rat systems	2026-08-26 supervised lane-02 exact-pair corroboration	high	Lane-02 promotion; primary PMIDs 21075851; independent corroboration PMIDs 9283702;11597569;30510193;33643295	PGE2-EP4 activity is supported in primary spinal cultures and by independent recombinant EP4 binding, desensitization, structural, and myeloid functional studies.	High confidence is the molecular/receptor branch; EP2 and other prostanoid receptors remain separate; the primary SCI evidence is spinal culture or neuroinflammation rather than contusion.	receptor_proximal_or_pathway	true	true	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00020	24B	M24B-EVID-000114	M24B-E000078	M24A-B002-EVID-096	primary_research_paper	PMID:19754671; PMCID:PMC3829009; DOI:10.1111/j.1582-4934.2009.00899.x	primary_experiment	human;mouse	pathway_membership	Primary resistin-TLR4 study	TLR4/MD2 signaling mediated resistin-associated inflammatory outputs.	No SCI model.		receptor_proximal_or_pathway	true	false	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00021	24B	M24B-EVID-PROMO-20260826-010	M24B-E000078	PROMO-24A-L02-M24A-E078	promotion_round_primary_corroboration	PMID:19754671; https://pubmed.ncbi.nlm.nih.gov/19754671/; PMID:22961082; https://pubmed.ncbi.nlm.nih.gov/22961082/; PMID:28286252; https://pubmed.ncbi.nlm.nih.gov/28286252/	primary_experiment_plus_independent_corroboration	mixed primary human/mouse/rat systems	2026-08-26 supervised lane-02 exact-pair corroboration	high	Lane-02 promotion; primary PMIDs 19754671; independent corroboration PMIDs 22961082;28286252	Primary human or mouse TLR4 reconstitution and blockade studies support resistin-TLR4/MD2 inflammatory signaling; independent central binding and macrophage studies reproduce TLR4-dependent resistin effects.	High confidence is a molecular complex edge, not SCI evidence; TLR4/MD2 context and tissue-specific resistin biology remain limitations.	receptor_proximal_or_pathway	true	true	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00022	24B	M24B-EVID-000124	M24B-E000087	M24A-B002-EVID-105	primary_research_paper	PMID:25374360; PMCID:PMC4210639; DOI:10.1016/j.neuron.2014.10.008	primary_experiment	mouse;human comparator	contextual_support	Primary FLRT structure study	FLRT3 oligomerization and full-length cell aggregation support a homophilic adhesion interface.	Non-SCI developmental comparator; no intracellular relay.		contextual_or_unresolved	true	false	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00023	24B	M24B-EVID-PROMO-20260826-011	M24B-E000087	PROMO-24A-L02-M24A-E087	promotion_round_primary_corroboration	PMID:25374360; https://pubmed.ncbi.nlm.nih.gov/25374360/; PMID:16872596; https://pubmed.ncbi.nlm.nih.gov/16872596/; PMID:16440004; https://pubmed.ncbi.nlm.nih.gov/16440004/	primary_experiment_plus_independent_corroboration	mixed primary human/mouse/rat systems	2026-08-26 supervised lane-02 exact-pair corroboration	high	Lane-02 promotion; primary PMIDs 25374360; independent corroboration PMIDs 16872596;16440004	FLRT3 LRR interface mutants and full-length aggregation support FLRT3-FLRT3 homophilic adhesion, with independent developmental studies showing FLRT3-family homophilic contact localization.	This promotes a molecular adhesion edge only; some studies find no soluble or trans homophilic binding, and heterophilic FLRT3-ADGRL3/UNC5 edges must remain separate from adhesion and SCI function.	ligand_receptor_or_direct_molecular	true	true	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00024	24B	M24B-EVID-000135	M24B-E000098	M24A-B002-EVID-116	primary_research_paper	PMID:31539874; DOI:10.1016/j.cmet.2019.08.001	primary_experiment	rat;mouse	contextual_support	Primary LEAP2/GHSR study	LEAP2 specifically antagonized ghrelin actions, with GHSR-null specificity.	Non-SCI comparator; pharmacologic antagonism is not purified binding.		contextual_or_unresolved	true	false	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00025	24B	M24B-EVID-PROMO-20260826-012	M24B-E000098	PROMO-24A-L02-M24A-E098	promotion_round_primary_corroboration	PMID:31539874; https://pubmed.ncbi.nlm.nih.gov/31539874/; PMID:29233536; https://pubmed.ncbi.nlm.nih.gov/29233536/; PMID:31499133; https://pubmed.ncbi.nlm.nih.gov/31499133/	primary_experiment_plus_independent_corroboration	mixed primary human/mouse/rat systems	2026-08-26 supervised lane-02 exact-pair corroboration	high	Lane-02 promotion; primary PMIDs 31539874; independent corroboration PMIDs 29233536;31499133	GHSR-null specificity and ghrelin-challenge experiments establish LEAP2 antagonism; independent discovery and fluorescent-LEAP2 studies show GHSR binding, antagonism, and inverse agonism.	High confidence is molecular/pharmacologic; no SCI evidence and the evidence is not a purified structural binding assay.	ligand_receptor_or_direct_molecular	true	true	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00026	24B	M24B-EVID-000145	M24B-E000103	M24A-B003-EVID-121	primary_research_paper	PMID:35247611	primary_experiment	human;mouse	direct_edge	Primary SAA1-TLR4 comparator	Supports direct TLR4/MD2 binding and inflammatory signaling.	No SCI model.		ligand_receptor_or_direct_molecular	true	false	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00027	24B	M24B-EVID-PROMO-20260826-013	M24B-E000103	PROMO-24A-L02-M24A-E103	promotion_round_primary_corroboration	PMID:35247611; https://pubmed.ncbi.nlm.nih.gov/35247611/; PMID:42030894; https://pubmed.ncbi.nlm.nih.gov/42030894/	primary_experiment_plus_independent_corroboration	mixed primary human/mouse/rat systems	2026-08-26 supervised lane-02 exact-pair corroboration	high	Lane-02 promotion; primary PMIDs 35247611; independent corroboration PMIDs 42030894	SPR/co-IP and TLR4 or MD2 perturbation support direct SAA1-TLR4/MD2 engagement; an independent 2026 primary microglia study confirms biochemical interaction and TLR4/MD2-dependent inflammatory activation.	High confidence is the TLR4/MD2 complex edge; no SCI model; SAA1 receptor usage is context-dependent and the microglia study uses pharmacologic MD2/TLR4 perturbation.	ligand_receptor_or_direct_molecular	true	true	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00028	24B	M24B-EVID-000146	M24B-E000104	M24A-B003-EVID-122	primary_research_paper	PMID:23858030	primary_experiment	mouse;human comparator	pathway_membership	medium-high	Primary SAA3 comparator	SAA3 peptide supports TLR4/MD2-associated inflammatory signaling.	Peptide/processed context; not full-length SAA3 and no SCI model.	receptor_proximal_or_pathway	true	false	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00029	24B	M24B-EVID-PROMO-20260826-014	M24B-E000104	PROMO-24A-L02-M24A-E104	promotion_round_primary_corroboration	PMID:23858030; https://pubmed.ncbi.nlm.nih.gov/23858030/; PMID:18820689; https://pubmed.ncbi.nlm.nih.gov/18820689/	primary_experiment_plus_independent_corroboration	mixed primary human/mouse/rat systems	2026-08-26 supervised lane-02 exact-pair corroboration	high	Lane-02 promotion; primary PMIDs 23858030; independent corroboration PMIDs 18820689	Synthetic SAA3(20-86) and (43-57) peptides show direct SPR binding to purified TLR4/MD2 and MD2-dependent signaling; an independent premetastatic primary study assigns TLR4 as a functional receptor for SAA3.	Promoted only for the defined mouse SAA3 peptide/MD2-TLR4 edge; not full-length human SAA3; no SCI model; downstream p38/NFkB remains separate.	receptor_proximal_or_pathway	true	true	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00030	24B	M24B-EVID-000148	M24B-E000106	M24A-B003-EVID-124	primary_research_paper	PMID:19122641	primary_experiment	human;mouse	pathway_membership	medium-high	Primary VCAN-TLR comparator	VCAN activates a TLR2:TLR6/CD14 complex in inflammatory cells.	Complex-level pharmacology; no purified binary binding or SCI-specific model.	receptor_proximal_or_pathway	true	false	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00031	24B	M24B-EVID-PROMO-20260826-015	M24B-E000106	PROMO-24A-L02-M24A-E106	promotion_round_primary_corroboration	PMID:19122641; https://pubmed.ncbi.nlm.nih.gov/19122641/; PMID:39861997; https://pubmed.ncbi.nlm.nih.gov/39861997/	primary_experiment_plus_independent_corroboration	mixed primary human/mouse/rat systems	2026-08-26 supervised lane-02 exact-pair corroboration	high	Lane-02 promotion; primary PMIDs 19122641; independent corroboration PMIDs 39861997	Primary biochemical and cell studies identify a TLR2/TLR6/CD14 complex for VCAN inflammatory activity; an independent 2025 primary study reproduces VCAN-TLR2-MyD88 inflammatory signaling.	Promoted at the complex level only; no purified binary VCAN-TLR2 binding, no SCI model, and downstream macrophage polarization remains distinct.	receptor_proximal_or_pathway	true	true	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00032	24B	M24B-EVID-000152	M24B-E000110	M24A-B003-EVID-128	primary_research_paper	PMID:11821900	primary_experiment	human;mouse comparator	direct_edge	medium-high	Primary chemokine receptor comparator	CCL27 supports CCR10-dependent T-cell recruitment.	No SCI.	ligand_receptor_or_direct_molecular	true	false	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00033	24B	M24B-EVID-PROMO-20260826-016	M24B-E000110	PROMO-24A-L02-M24A-E110	promotion_round_primary_corroboration	PMID:11821900; https://pubmed.ncbi.nlm.nih.gov/11821900/; PMID:10725697; https://pubmed.ncbi.nlm.nih.gov/10725697/; PMID:40975172; https://pubmed.ncbi.nlm.nih.gov/40975172/	primary_experiment_plus_independent_corroboration	mixed primary human/mouse/rat systems	2026-08-26 supervised lane-02 exact-pair corroboration	high	Lane-02 promotion; primary PMIDs 11821900; independent corroboration PMIDs 10725697;40975172	Primary chemotaxis and recruitment studies support CCL27-CCR10, independently reproduced by the original orphan-receptor binding report and newer receptor selectivity/structure-function work.	High confidence is molecular only; no SCI model; skin-homing context and chemokine glycosaminoglycan presentation remain separate from the exact receptor edge.	ligand_receptor_or_direct_molecular	true	true	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00034	24B	M24B-EVID-000153	M24B-E000111	M24A-B003-EVID-129	primary_research_paper	PMID:10975800; DOI:10.4049/jimmunol.165.6.2943	primary_experiment	human;mouse comparator	pathway_membership	medium	Primary chemokine receptor comparator	CCL28/MEC supported CCR3-dependent eosinophil migration and CCR10-dependent lymphoid-cell migration in receptor-use comparator systems.	No purified CCL28-CCR3 affinity assay, no SCI model, and CCR3/CCR10 outputs are cell-context-specific.	receptor_proximal_or_pathway	true	false	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00035	24B	M24B-EVID-PROMO-20260826-017	M24B-E000111	PROMO-24A-L02-M24A-E111	promotion_round_primary_corroboration	PMID:10975800; https://pubmed.ncbi.nlm.nih.gov/10975800/; PMID:40975172; https://pubmed.ncbi.nlm.nih.gov/40975172/	primary_experiment_plus_independent_corroboration	mixed primary human/mouse/rat systems	2026-08-26 supervised lane-02 exact-pair corroboration	high	Lane-02 promotion; primary PMIDs 10975800; independent corroboration PMIDs 40975172	Primary CCL28-CCR3 comparator pharmacology is independently supported by receptor-selectivity and structural work distinguishing CCR3 from the shared CCR10 branch.	High confidence is the exact CCR3 edge, not exclusive receptor usage; CCL28-CCR10 remains separate; no SCI model.	receptor_proximal_or_pathway	true	true	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00036	24B	M24B-EVID-000157	M24B-E000115	M24A-B003-EVID-133	primary_research_paper	PMID:16002730; PMID:30567735	primary_experiment	human;mouse comparator	direct_edge	medium-high	Primary chemokine receptor comparator	CCL7 has CCR1 affinity and signaling activity.	No SCI.	ligand_receptor_or_direct_molecular	true	false	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00037	24B	M24B-EVID-PROMO-20260826-018	M24B-E000115	PROMO-24A-L02-M24A-E115	promotion_round_primary_corroboration	PMID:16002730; https://pubmed.ncbi.nlm.nih.gov/16002730/; PMID:30567735; https://pubmed.ncbi.nlm.nih.gov/30567735/; PMID:11966759; https://pubmed.ncbi.nlm.nih.gov/11966759/	primary_experiment_plus_independent_corroboration	mixed primary human/mouse/rat systems	2026-08-26 supervised lane-02 exact-pair corroboration	high	Lane-02 promotion; primary PMIDs 16002730;30567735; independent corroboration PMIDs 11966759	Primary receptor pharmacology and a later two-site CCR1 binding/activation study identify CCL7 as a cognate CCR1 ligand; independent MCP chemokine work supports receptor-proximal signaling.	High confidence is molecular only; CCL7 is promiscuous across chemokine receptors and no SCI receptor-causal validation was located.	ligand_receptor_or_direct_molecular	true	true	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00038	24B	M24B-EVID-000158	M24B-E000116	M24A-B003-EVID-134	primary_research_paper	PMID:16002730	primary_experiment	human;mouse comparator	direct_edge	medium-high	Primary chemokine receptor comparator	CCL7 activates CCR2B-associated responses.	No SCI.	ligand_receptor_or_direct_molecular	true	false	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00039	24B	M24B-EVID-PROMO-20260826-019	M24B-E000116	PROMO-24A-L02-M24A-E116	promotion_round_primary_corroboration	PMID:16002730; https://pubmed.ncbi.nlm.nih.gov/16002730/; PMID:8144937; https://pubmed.ncbi.nlm.nih.gov/8144937/; PMID:11966759; https://pubmed.ncbi.nlm.nih.gov/11966759/	primary_experiment_plus_independent_corroboration	mixed primary human/mouse/rat systems	2026-08-26 supervised lane-02 exact-pair corroboration	high	Lane-02 promotion; primary PMIDs 16002730; independent corroboration PMIDs 8144937;11966759	Primary CCL7/MCP-3 receptor pharmacology plus independent MCP-3 chemotaxis and CCR2B-transfectant signaling studies support the exact CCR2B edge.	High confidence is molecular only; CCL7 is multi-receptor and no SCI receptor-causal validation was located; retain CCR1/CCR3 edges separately.	ligand_receptor_or_direct_molecular	true	true	staged_high_confidence_pending_canonical_review
24B-EVID-STAGE-00040	24B	M24B-EVID-000159	M24B-E000117	M24A-B003-EVID-135	primary_research_paper	PMID:16002730; PMID:36998150	primary_experiment	human;mouse comparator	pathway_membership	medium	Primary chemokine receptor comparator	CCL7 has CCR3 receptor activity in comparator systems, and a separate trigeminal pain study supports CCR2/CCR3-to-ERK signaling.	No traumatic-SCI receptor-causal validation and no purified CCL7-CCR3 binding in the pain model.	receptor_proximal_or_pathway	true	false	staged_high_confidence_pending_canonical_review
