complex_id	source_review_id	complex_coverage	pair_label	note
M20B-COMPLEX-001912	M20A-EXT-0137	no_components_present_as_separate_module_pairs	Mif CD74_CXCR2	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001913	M20A-EXT-0138	no_components_present_as_separate_module_pairs	Mif CD74_CXCR4	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001924	M20A-EXT-0149	no_components_present_as_separate_module_pairs	Chad ITGA2_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001929	M20A-EXT-0154	no_components_present_as_separate_module_pairs	Col1a1 ITGA10_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001930	M20A-EXT-0155	no_components_present_as_separate_module_pairs	Col1a1 ITGA11_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001931	M20A-EXT-0156	no_components_present_as_separate_module_pairs	Col1a1 ITGA1_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001932	M20A-EXT-0157	no_components_present_as_separate_module_pairs	Col1a1 ITGA2_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001933	M20A-EXT-0158	no_components_present_as_separate_module_pairs	Col1a1 ITGA3_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001934	M20A-EXT-0159	no_components_present_as_separate_module_pairs	Col1a1 ITGA9_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001935	M20A-EXT-0160	no_components_present_as_separate_module_pairs	Col1a1 ITGAV_ITGB8	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001939	M20A-EXT-0164	no_components_present_as_separate_module_pairs	Col1a2 ITGA10_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001940	M20A-EXT-0165	no_components_present_as_separate_module_pairs	Col1a2 ITGA11_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001941	M20A-EXT-0166	no_components_present_as_separate_module_pairs	Col1a2 ITGA1_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001942	M20A-EXT-0167	no_components_present_as_separate_module_pairs	Col1a2 ITGA2_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001943	M20A-EXT-0168	no_components_present_as_separate_module_pairs	Col1a2 ITGA3_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001944	M20A-EXT-0169	no_components_present_as_separate_module_pairs	Col1a2 ITGA9_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001945	M20A-EXT-0170	no_components_present_as_separate_module_pairs	Col1a2 ITGAV_ITGB8	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001949	M20A-EXT-0174	no_components_present_as_separate_module_pairs	Col2a1 ITGA10_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001950	M20A-EXT-0175	no_components_present_as_separate_module_pairs	Col2a1 ITGA11_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001951	M20A-EXT-0176	no_components_present_as_separate_module_pairs	Col2a1 ITGA1_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001952	M20A-EXT-0177	no_components_present_as_separate_module_pairs	Col2a1 ITGA2_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001953	M20A-EXT-0178	no_components_present_as_separate_module_pairs	Col2a1 ITGA3_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001954	M20A-EXT-0179	no_components_present_as_separate_module_pairs	Col2a1 ITGA9_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001955	M20A-EXT-0180	no_components_present_as_separate_module_pairs	Col2a1 ITGAV_ITGB8	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001959	M20A-EXT-0184	no_components_present_as_separate_module_pairs	Col4a1 ITGA10_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001960	M20A-EXT-0185	no_components_present_as_separate_module_pairs	Col4a1 ITGA11_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001961	M20A-EXT-0186	no_components_present_as_separate_module_pairs	Col4a1 ITGA1_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001962	M20A-EXT-0187	no_components_present_as_separate_module_pairs	Col4a1 ITGA2_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001963	M20A-EXT-0188	no_components_present_as_separate_module_pairs	Col4a1 ITGA3_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001964	M20A-EXT-0189	no_components_present_as_separate_module_pairs	Col4a1 ITGA9_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001965	M20A-EXT-0190	no_components_present_as_separate_module_pairs	Col4a1 ITGAV_ITGB8	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001969	M20A-EXT-0194	no_components_present_as_separate_module_pairs	Col4a2 ITGA10_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001970	M20A-EXT-0195	no_components_present_as_separate_module_pairs	Col4a2 ITGA11_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001971	M20A-EXT-0196	no_components_present_as_separate_module_pairs	Col4a2 ITGA1_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001972	M20A-EXT-0197	no_components_present_as_separate_module_pairs	Col4a2 ITGA2_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001973	M20A-EXT-0198	no_components_present_as_separate_module_pairs	Col4a2 ITGA3_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001974	M20A-EXT-0199	no_components_present_as_separate_module_pairs	Col4a2 ITGA9_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001975	M20A-EXT-0200	no_components_present_as_separate_module_pairs	Col4a2 ITGAV_ITGB8	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001979	M20A-EXT-0204	no_components_present_as_separate_module_pairs	Col4a3 ITGA10_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001980	M20A-EXT-0205	no_components_present_as_separate_module_pairs	Col4a3 ITGA11_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001981	M20A-EXT-0206	no_components_present_as_separate_module_pairs	Col4a3 ITGA1_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001982	M20A-EXT-0207	no_components_present_as_separate_module_pairs	Col4a3 ITGA2_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001983	M20A-EXT-0208	no_components_present_as_separate_module_pairs	Col4a3 ITGA3_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001984	M20A-EXT-0209	no_components_present_as_separate_module_pairs	Col4a3 ITGA9_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001985	M20A-EXT-0210	no_components_present_as_separate_module_pairs	Col4a3 ITGAV_ITGB8	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001989	M20A-EXT-0214	no_components_present_as_separate_module_pairs	Col4a4 ITGA10_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001990	M20A-EXT-0215	no_components_present_as_separate_module_pairs	Col4a4 ITGA11_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001991	M20A-EXT-0216	no_components_present_as_separate_module_pairs	Col4a4 ITGA1_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001992	M20A-EXT-0217	no_components_present_as_separate_module_pairs	Col4a4 ITGA2_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001993	M20A-EXT-0218	no_components_present_as_separate_module_pairs	Col4a4 ITGA3_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001994	M20A-EXT-0219	no_components_present_as_separate_module_pairs	Col4a4 ITGA9_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001995	M20A-EXT-0220	no_components_present_as_separate_module_pairs	Col4a4 ITGAV_ITGB8	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-001999	M20A-EXT-0224	no_components_present_as_separate_module_pairs	Col4a5 ITGA10_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002000	M20A-EXT-0225	no_components_present_as_separate_module_pairs	Col4a5 ITGA11_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002001	M20A-EXT-0226	no_components_present_as_separate_module_pairs	Col4a5 ITGA1_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002002	M20A-EXT-0227	no_components_present_as_separate_module_pairs	Col4a5 ITGA2_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002003	M20A-EXT-0228	no_components_present_as_separate_module_pairs	Col4a5 ITGA3_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002004	M20A-EXT-0229	no_components_present_as_separate_module_pairs	Col4a5 ITGA9_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002005	M20A-EXT-0230	no_components_present_as_separate_module_pairs	Col4a5 ITGAV_ITGB8	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002009	M20A-EXT-0234	no_components_present_as_separate_module_pairs	Col4a6 ITGA10_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002010	M20A-EXT-0235	no_components_present_as_separate_module_pairs	Col4a6 ITGA11_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002011	M20A-EXT-0236	no_components_present_as_separate_module_pairs	Col4a6 ITGA1_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002012	M20A-EXT-0237	no_components_present_as_separate_module_pairs	Col4a6 ITGA2_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002013	M20A-EXT-0238	no_components_present_as_separate_module_pairs	Col4a6 ITGA3_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002014	M20A-EXT-0239	no_components_present_as_separate_module_pairs	Col4a6 ITGA9_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002015	M20A-EXT-0240	no_components_present_as_separate_module_pairs	Col4a6 ITGAV_ITGB8	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002019	M20A-EXT-0244	no_components_present_as_separate_module_pairs	Col6a1 ITGA10_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002020	M20A-EXT-0245	no_components_present_as_separate_module_pairs	Col6a1 ITGA11_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002021	M20A-EXT-0246	no_components_present_as_separate_module_pairs	Col6a1 ITGA1_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002022	M20A-EXT-0247	no_components_present_as_separate_module_pairs	Col6a1 ITGA2_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002023	M20A-EXT-0248	no_components_present_as_separate_module_pairs	Col6a1 ITGA3_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002024	M20A-EXT-0249	no_components_present_as_separate_module_pairs	Col6a1 ITGA9_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002025	M20A-EXT-0250	no_components_present_as_separate_module_pairs	Col6a1 ITGAV_ITGB8	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002029	M20A-EXT-0254	no_components_present_as_separate_module_pairs	Col6a2 ITGA10_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002030	M20A-EXT-0255	no_components_present_as_separate_module_pairs	Col6a2 ITGA11_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002031	M20A-EXT-0256	no_components_present_as_separate_module_pairs	Col6a2 ITGA1_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002032	M20A-EXT-0257	no_components_present_as_separate_module_pairs	Col6a2 ITGA2_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002033	M20A-EXT-0258	no_components_present_as_separate_module_pairs	Col6a2 ITGA3_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002034	M20A-EXT-0259	no_components_present_as_separate_module_pairs	Col6a2 ITGA9_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002035	M20A-EXT-0260	no_components_present_as_separate_module_pairs	Col6a2 ITGAV_ITGB8	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002039	M20A-EXT-0264	no_components_present_as_separate_module_pairs	Col6a3 ITGA10_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002040	M20A-EXT-0265	no_components_present_as_separate_module_pairs	Col6a3 ITGA11_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002041	M20A-EXT-0266	no_components_present_as_separate_module_pairs	Col6a3 ITGA1_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002042	M20A-EXT-0267	no_components_present_as_separate_module_pairs	Col6a3 ITGA2_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002043	M20A-EXT-0268	no_components_present_as_separate_module_pairs	Col6a3 ITGA3_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002044	M20A-EXT-0269	no_components_present_as_separate_module_pairs	Col6a3 ITGA9_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002045	M20A-EXT-0270	no_components_present_as_separate_module_pairs	Col6a3 ITGAV_ITGB8	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002049	M20A-EXT-0274	no_components_present_as_separate_module_pairs	Col6a5 ITGA10_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002050	M20A-EXT-0275	no_components_present_as_separate_module_pairs	Col6a5 ITGA11_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002051	M20A-EXT-0276	no_components_present_as_separate_module_pairs	Col6a5 ITGA1_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002052	M20A-EXT-0277	no_components_present_as_separate_module_pairs	Col6a5 ITGA2_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002053	M20A-EXT-0278	no_components_present_as_separate_module_pairs	Col6a5 ITGA3_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002054	M20A-EXT-0279	no_components_present_as_separate_module_pairs	Col6a5 ITGA9_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002055	M20A-EXT-0280	no_components_present_as_separate_module_pairs	Col6a5 ITGAV_ITGB8	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002059	M20A-EXT-0284	no_components_present_as_separate_module_pairs	Col6a6 ITGA10_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002060	M20A-EXT-0285	no_components_present_as_separate_module_pairs	Col6a6 ITGA11_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002061	M20A-EXT-0286	no_components_present_as_separate_module_pairs	Col6a6 ITGA1_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002062	M20A-EXT-0287	no_components_present_as_separate_module_pairs	Col6a6 ITGA2_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002063	M20A-EXT-0288	no_components_present_as_separate_module_pairs	Col6a6 ITGA3_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002064	M20A-EXT-0289	no_components_present_as_separate_module_pairs	Col6a6 ITGA9_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002065	M20A-EXT-0290	no_components_present_as_separate_module_pairs	Col6a6 ITGAV_ITGB8	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002069	M20A-EXT-0294	no_components_present_as_separate_module_pairs	Col9a1 ITGA10_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002070	M20A-EXT-0295	no_components_present_as_separate_module_pairs	Col9a1 ITGA11_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002071	M20A-EXT-0296	no_components_present_as_separate_module_pairs	Col9a1 ITGA1_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002072	M20A-EXT-0297	no_components_present_as_separate_module_pairs	Col9a1 ITGA2_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
M20B-COMPLEX-002073	M20A-EXT-0298	no_components_present_as_separate_module_pairs	Col9a1 ITGA3_ITGB1	Coverage annotation preserved; subunit membership is not inferred from the pair label.
