pair_key	pair_label_canonical	verdict	source_locators	species_support	support_kind	evidence_summary	limitations	search_notes
tac1 tacr1	Tac1 Tacr1	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/7510519/;https://pubmed.ncbi.nlm.nih.gov/7836382/;https://pubmed.ncbi.nlm.nih.gov/?term=%22tac1%22%20AND%20%22tacr1%22;https://europepmc.org/search?query=%22tac1%22%20AND%20%22tacr1%22	human and mouse neuropeptide receptor systems	mature peptide binding; GPCR activation	The TAC1 product substance P binds and activates TACR1/NK1 with high affinity; receptor mutagenesis and photolabeling mapped the peptide-binding site.	The submitted precursor is represented by its processed substance-P product; TAC1 also encodes neurokinin A.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=tac1 tacr1
tac1 tacr2	Tac1 Tacr2	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/22771977/;https://pubmed.ncbi.nlm.nih.gov/?term=%22tac1%22%20AND%20%22tacr2%22;https://europepmc.org/search?query=%22tac1%22%20AND%20%22tacr2%22	mouse/rat tachykinin systems	mature peptide pharmacology; receptor-dependent function	The TAC1-derived mature peptide neurokinin A is a functional NK2/TACR2 agonist in tachykinin pharmacology and receptor-dependent behavioral/physiological assays.	Evidence is for processed neurokinin A rather than the full TAC1 precursor and includes cross-reactive tachykinin pharmacology.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=tac1 tacr2
tgfa egfr_erbb2	Tgfa Egfr_erbb2	hold_low	https://pubmed.ncbi.nlm.nih.gov/9393980/;https://pubmed.ncbi.nlm.nih.gov/?term=%22tgfa%22%20AND%20%22egfr%20erbb2%22;https://europepmc.org/search?query=%22tgfa%22%20AND%20%22egfr%20erbb2%22	human EGFR/ERBB2 cell systems	ligand binding to EGFR; heterodimer-context signaling	TGF-alpha directly activates EGFR and can produce EGFR/ErbB2 signaling context, but the primary study found weaker TGF-alpha-induced ErbB2 heterodimerization than EGF.	The exact submitted composite EGFR_ERBB2 receptor is not established as the ligand-binding unit; direct evidence is for EGFR/ERBB1.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=tgfa egfr_erbb2
tgfb1 acvr1b_tgfbr2	Tgfb1 Acvr1b_tgfbr2	no_evidence	https://pubmed.ncbi.nlm.nih.gov/8242742/;https://pubmed.ncbi.nlm.nih.gov/8196624/;https://pubmed.ncbi.nlm.nih.gov/?term=%22tgfb1%22%20AND%20%22acvr1b%20tgfbr2%22;https://europepmc.org/search?query=%22tgfb1%22%20AND%20%22acvr1b%20tgfbr2%22	mammalian TGF-beta receptor systems; exact pair not established	noncognate/complex-negative primary	Expanded searches found canonical TGF-beta receptor-complex biology and activin-receptor studies, but no qualifying exact primary evidence that TGFB1/2/3 engages the submitted ACVR1B-or-ACVR1C plus TGFBR2 composite receptor.	TGFBR2 component evidence, ACVR1B/ACVR1C activin signaling, and generic TGF-beta receptor heterocomplex descriptions cannot be transferred to the exact submitted composite.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=tgfb1 acvr1b_tgfbr2
tgfb1 acvr1c_tgfbr2	Tgfb1 Acvr1c_tgfbr2	no_evidence	https://pubmed.ncbi.nlm.nih.gov/8242742/;https://pubmed.ncbi.nlm.nih.gov/8196624/;https://pubmed.ncbi.nlm.nih.gov/?term=%22tgfb1%22%20AND%20%22acvr1c%20tgfbr2%22;https://europepmc.org/search?query=%22tgfb1%22%20AND%20%22acvr1c%20tgfbr2%22	mammalian TGF-beta receptor systems; exact pair not established	noncognate/complex-negative primary	Expanded searches found canonical TGF-beta receptor-complex biology and activin-receptor studies, but no qualifying exact primary evidence that TGFB1/2/3 engages the submitted ACVR1B-or-ACVR1C plus TGFBR2 composite receptor.	TGFBR2 component evidence, ACVR1B/ACVR1C activin signaling, and generic TGF-beta receptor heterocomplex descriptions cannot be transferred to the exact submitted composite.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=tgfb1 acvr1c_tgfbr2
tgfb1 acvrl1	Tgfb1 Acvrl1	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/10187774/;https://pubmed.ncbi.nlm.nih.gov/14580334/;https://pubmed.ncbi.nlm.nih.gov/?term=%22tgfb1%22%20AND%20%22acvrl1%22;https://europepmc.org/search?query=%22tgfb1%22%20AND%20%22acvrl1%22	human endothelial and mammalian receptor systems	receptor-complex recruitment; receptor-dependent function	TGF-beta1 activates an ACVRL1/ALK1-containing endothelial receptor complex; primary studies showed TGF-beta-dependent recruitment and ALK1 activation through the type-II receptor system.	TGF-beta signaling requires TGFBR2, ALK5/other type-I receptors, and context-dependent co-receptors; ACVRL1 is not interpreted as a standalone complete holoreceptor.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=tgfb1 acvrl1
tgfb2 acvr1b_tgfbr2	Tgfb2 Acvr1b_tgfbr2	no_evidence	https://pubmed.ncbi.nlm.nih.gov/8242742/;https://pubmed.ncbi.nlm.nih.gov/8196624/;https://pubmed.ncbi.nlm.nih.gov/?term=%22tgfb2%22%20AND%20%22acvr1b%20tgfbr2%22;https://europepmc.org/search?query=%22tgfb2%22%20AND%20%22acvr1b%20tgfbr2%22	mammalian TGF-beta receptor systems; exact pair not established	noncognate/complex-negative primary	Expanded searches found canonical TGF-beta receptor-complex biology and activin-receptor studies, but no qualifying exact primary evidence that TGFB1/2/3 engages the submitted ACVR1B-or-ACVR1C plus TGFBR2 composite receptor.	TGFBR2 component evidence, ACVR1B/ACVR1C activin signaling, and generic TGF-beta receptor heterocomplex descriptions cannot be transferred to the exact submitted composite.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=tgfb2 acvr1b_tgfbr2
tgfb2 acvr1c_tgfbr2	Tgfb2 Acvr1c_tgfbr2	no_evidence	https://pubmed.ncbi.nlm.nih.gov/8242742/;https://pubmed.ncbi.nlm.nih.gov/8196624/;https://pubmed.ncbi.nlm.nih.gov/?term=%22tgfb2%22%20AND%20%22acvr1c%20tgfbr2%22;https://europepmc.org/search?query=%22tgfb2%22%20AND%20%22acvr1c%20tgfbr2%22	mammalian TGF-beta receptor systems; exact pair not established	noncognate/complex-negative primary	Expanded searches found canonical TGF-beta receptor-complex biology and activin-receptor studies, but no qualifying exact primary evidence that TGFB1/2/3 engages the submitted ACVR1B-or-ACVR1C plus TGFBR2 composite receptor.	TGFBR2 component evidence, ACVR1B/ACVR1C activin signaling, and generic TGF-beta receptor heterocomplex descriptions cannot be transferred to the exact submitted composite.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=tgfb2 acvr1c_tgfbr2
tgfb3 acvr1b_tgfbr2	Tgfb3 Acvr1b_tgfbr2	no_evidence	https://pubmed.ncbi.nlm.nih.gov/8242742/;https://pubmed.ncbi.nlm.nih.gov/8196624/;https://pubmed.ncbi.nlm.nih.gov/?term=%22tgfb3%22%20AND%20%22acvr1b%20tgfbr2%22;https://europepmc.org/search?query=%22tgfb3%22%20AND%20%22acvr1b%20tgfbr2%22	mammalian TGF-beta receptor systems; exact pair not established	noncognate/complex-negative primary	Expanded searches found canonical TGF-beta receptor-complex biology and activin-receptor studies, but no qualifying exact primary evidence that TGFB1/2/3 engages the submitted ACVR1B-or-ACVR1C plus TGFBR2 composite receptor.	TGFBR2 component evidence, ACVR1B/ACVR1C activin signaling, and generic TGF-beta receptor heterocomplex descriptions cannot be transferred to the exact submitted composite.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=tgfb3 acvr1b_tgfbr2
tgfb3 acvr1c_tgfbr2	Tgfb3 Acvr1c_tgfbr2	no_evidence	https://pubmed.ncbi.nlm.nih.gov/8242742/;https://pubmed.ncbi.nlm.nih.gov/8196624/;https://pubmed.ncbi.nlm.nih.gov/?term=%22tgfb3%22%20AND%20%22acvr1c%20tgfbr2%22;https://europepmc.org/search?query=%22tgfb3%22%20AND%20%22acvr1c%20tgfbr2%22	mammalian TGF-beta receptor systems; exact pair not established	noncognate/complex-negative primary	Expanded searches found canonical TGF-beta receptor-complex biology and activin-receptor studies, but no qualifying exact primary evidence that TGFB1/2/3 engages the submitted ACVR1B-or-ACVR1C plus TGFBR2 composite receptor.	TGFBR2 component evidence, ACVR1B/ACVR1C activin signaling, and generic TGF-beta receptor heterocomplex descriptions cannot be transferred to the exact submitted composite.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=tgfb3 acvr1c_tgfbr2
tnf tnfrsf1a	Tnf Tnfrsf1a	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/32991680/;https://pubmed.ncbi.nlm.nih.gov/8910423/;https://pubmed.ncbi.nlm.nih.gov/?term=%22tnf%22%20AND%20%22tnfrsf1a%22;https://europepmc.org/search?query=%22tnf%22%20AND%20%22tnfrsf1a%22	human and mouse	direct receptor binding; receptor activation	TNF binds TNFR1/TNFRSF1A and initiates receptor clustering and canonical inflammatory signaling; primary cell and quantitative receptor studies support the edge.	Soluble versus membrane TNF and receptor clustering alter TNFR1 output.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=tnf tnfrsf1a
tnf tnfrsf1b	Tnf Tnfrsf1b	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/32991680/;https://pubmed.ncbi.nlm.nih.gov/8910423/;https://pubmed.ncbi.nlm.nih.gov/?term=%22tnf%22%20AND%20%22tnfrsf1b%22;https://europepmc.org/search?query=%22tnf%22%20AND%20%22tnfrsf1b%22	human and mouse	direct receptor binding; receptor activation	TNF binds TNFR2/TNFRSF1B; primary receptor modeling and cell studies distinguish TNFR2 binding from its requirement for ligand clustering and signaling competence.	TNFR2 signaling is particularly sensitive to ligand oligomerization and membrane presentation.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=tnf tnfrsf1b
tnfsf10 tnfrsf10b	Tnfsf10 Tnfrsf10b	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/10770955/;https://pubmed.ncbi.nlm.nih.gov/?term=%22tnfsf10%22%20AND%20%22tnfrsf10b%22;https://europepmc.org/search?query=%22tnfsf10%22%20AND%20%22tnfrsf10b%22	human recombinant and cell systems	direct quantitative binding; apoptosis activation	TRAIL/TNFSF10 binds DR5/TNFRSF10B with high affinity and activates death-receptor apoptosis; ITC and cell-surface binding ranked DR5 among TRAIL receptors.	Affinity ranking varies with temperature and receptor presentation; TRAIL also binds decoy receptors.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=tnfsf10 tnfrsf10b
tnfsf11 lgr4	Tnfsf11 Lgr4	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/27064449/;https://pubmed.ncbi.nlm.nih.gov/?term=%22tnfsf11%22%20AND%20%22lgr4%22;https://europepmc.org/search?query=%22tnfsf11%22%20AND%20%22lgr4%22	mouse and human receptor systems	direct receptor binding; receptor-dependent osteoclast function	RANKL/TNFSF11 binds LGR4/GPR48 and activates G-alpha-q/GSK3-beta signaling that suppresses osteoclast differentiation.	LGR4 is an alternate/negative regulator of RANKL signaling rather than the sole canonical RANKL receptor.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=tnfsf11 lgr4
tnfsf11 tnfrsf11a	Tnfsf11 Tnfrsf11a	promote_candidate	https://pubmed.ncbi.nlm.nih.gov/?term=%22tnfsf11%22%20AND%20%22tnfrsf11a%22;https://europepmc.org/search?query=%22tnfsf11%22%20AND%20%22tnfrsf11a%22	mouse and human osteoclast systems	direct ligand-receptor binding; activation	RANKL/TNFSF11 is the cognate ligand for RANK/TNFRSF11A and drives NF-kappaB/NFATC1-dependent osteoclast differentiation and bone resorption.	Ligand is membrane-bound or soluble trimeric RANKL; osteoprotegerin regulates availability.	aliases=official symbols, historical names, common protein names, and receptor aliases screened;processed_forms=mature/secreted/cleaved ligand forms and relevant peptide products screened;complexes=receptor subunits, holoreceptors, co-receptors, heterodimers, and receptor reconstitution screened;assays=binding, activation, adhesion, receptor-dependent function, structures, and citation trails screened;PubMed=exact and alias-expanded searches;EuropePMC=exact and full-text-oriented alias-expanded searches;negative=expression, pathway, family, database, co-mention, and noncognate findings were not transferred;exact_pair=tnfsf11 tnfrsf11a
