curation_id	external_record_key	species_context	tf_symbol	target_symbol	reference_pmids	public_reference_reuse_pmids	public_reference_reuse_item_count	existing_modules	status
PUBTF-CUR-002918	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002919:4022b709a9ff	human	E2F1	ATAD2	22771493	22771493	3		reference_reuse_review
PUBTF-CUR-002919	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002920:5d8a8704ba76	human	ESR1	RAB31	22792175;22920728;23538857;25472813	22792175;22920728;23538857;25472813	2		reference_reuse_review
PUBTF-CUR-002920	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002921:fe590025c866	human	GATA2	ANGPT2	18720385;22792348;35508511	18720385;22792348;35508511	6		reference_reuse_review
PUBTF-CUR-002921	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002922:830f69fe0811	human	E2F1	RBM38	22798430	22798430	2		reference_reuse_review
PUBTF-CUR-002922	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002923:5e8dbce40de4	human	E2F1	FOXM1	21518729;22802261;23271813;26243836;26510456;28429752;30538221;30728402;31208440;31909186;32629770;33503056;34966670;36587486	21518729;22802261;23271813;26243836;26510456;28429752;30538221;30728402;31208440;31909186;32629770;33503056;34966670;36587486	6		reference_reuse_review
PUBTF-CUR-002923	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002924:e161f8aef00a	human	HNF4A	SLC22A6	17344191;19837111;22808265;24038112;27044799	17344191;19837111;22808265;24038112;27044799	6		reference_reuse_review
PUBTF-CUR-002924	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002925:78747f3c2769	human	ATF4	F7	22848420	22848420	2		reference_reuse_review
PUBTF-CUR-002925	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002926:007b66321e3f	human	FOXO3	STK11	22412893;22848740;27513844	22412893;22848740;27513844	6		reference_reuse_review
PUBTF-CUR-002926	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002927:8492aeb5acfa	human	GATA2	IL1RL1	22865859;35025767	22865859;35025767	5		reference_reuse_review
PUBTF-CUR-002927	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002928:e74dda777415	human	TFAP2C	RET	20629094;22878616;24045439;26832794;31636386;33269540	20629094;22878616;24045439;26832794;31636386;33269540	22		reference_reuse_review
PUBTF-CUR-002928	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002929:c5e60b80422e	human	E2F1	CD2AP	22880102	22880102	2		reference_reuse_review
PUBTF-CUR-002929	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002930:96c68fe8e320	human	TAL1	MYB	22157820;22897851;23857984;25231743;28790107;38102337	22157820;22897851;23857984;25231743;28790107;38102337	6		reference_reuse_review
PUBTF-CUR-002930	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002931:9ca7bfc5a7d6	human	ESR1	FHL2	22902638	22902638	2		reference_reuse_review
PUBTF-CUR-002931	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002932:27c56c864ed7	human	MYC	APC	12695333;18171987;22911891	12695333;18171987;22911891	418		reference_reuse_review
PUBTF-CUR-002932	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002933:7b22138bfbc1	human	ETS1	ATXN2	22914732	22914732	2		reference_reuse_review
PUBTF-CUR-002933	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002934:d6e37cbd6c21	human	RELA	BHLHE40	20018891;22967044	20018891;22967044	8		reference_reuse_review
PUBTF-CUR-002934	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002935:fc353893a8cc	human	ATF4	PPARGC1A	22980225;35428325;36567664	22980225;35428325;36567664	2		reference_reuse_review
PUBTF-CUR-002935	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002936:830eaf5a6287	human	FOXO1	KLF2	18713968;19136962;23002242;25646266;34623920	18713968;19136962;23002242;25646266;34623920	6		reference_reuse_review
PUBTF-CUR-002936	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002937:e350d34f74ef	human	ESR1	TRPS1	18414489;23031797;24934762	18414489;23031797;24934762	201		reference_reuse_review
PUBTF-CUR-002937	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002938:0f9cd13de3aa	human	TP53	CASZ1	21394211	21394211	67		reference_reuse_review
PUBTF-CUR-002939	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002940:58d0a19d4a50	human	SPI1	FLI1	10523830;16626682;23056458;9858537	10523830;16626682;23056458;9858537	4		reference_reuse_review
PUBTF-CUR-002940	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002941:bbe8bddca8f9	human	PAX6	PCSK1	19034419;21922321;23056534;24047795;25051441	19034419;21922321;23056534;24047795;25051441	3		reference_reuse_review
PUBTF-CUR-002941	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002942:85eb501870b5	human	VDR	CYP19A1	23085504	23085504	2		reference_reuse_review
PUBTF-CUR-002942	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002943:5dd7594cf6ce	human	VDR	GADD45A	14506229;15225780;15300237;16483768;23087083	14506229;15225780;15300237;16483768;23087083	6		reference_reuse_review
PUBTF-CUR-002943	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002944:8776616b6517	human	ATF4	HRK	23090478	23090478	2		reference_reuse_review
PUBTF-CUR-002944	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002945:0b6bdf02f1f0	human	EGR1	SRC	23091071	23091071	2		reference_reuse_review
PUBTF-CUR-002945	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002946:b69a0571ab1a	human	EGR1	SLC4A2	22228178;23121767	22228178;23121767	3		reference_reuse_review
PUBTF-CUR-002946	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002947:b470a9df05d6	human	CDX2	REG4	23133598;26033320;31659102;33639844	23133598;26033320;31659102;33639844	9		reference_reuse_review
PUBTF-CUR-002947	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002948:acb4ea31b9fa	human	FOS	FASN	23135268	23135268	2		reference_reuse_review
PUBTF-CUR-002948	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002949:937b1eb9d125	human	MYC	PTEN	12695333;17998413;19578399;20516112;21527520;23135913;24140063;24469837;24534190;24940389;27852622;28029649;29228674;32292506;33919657;34249684;34623601	12695333;17998413;19578399;20516112;21527520;23135913;24140063;24469837;24534190;24940389;27852622;28029649;29228674;32292506;33919657;34249684;34623601	418		reference_reuse_review
PUBTF-CUR-002949	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002950:19685d544d37	human	NR2F2	POU5F1	21151097;23136034;29026152;7823919;8152920;8289793	21151097;23136034;29026152;7823919;8152920;8289793	3		reference_reuse_review
PUBTF-CUR-002950	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002951:7d99c2bd604d	human	RELA	IL2RA	10194184;11490013;11574819;11748186;11781710;1419905;1452201;1508203;15308505;16428082;16556269;1737792;17765898;1777480;1777483;1830061;18385818;19064727;20511707;2059661;2225078;23144749;23715268;2494663;2497520;2687377;2838755;2843985;29359407;30340635;34848154;7636248;7738013;7843230;7905283;7929104;8029023;8098618;8152309;8170951;8206753;8361755;8382312;8430069;8455627;8475098;8648111;8982260;9115639;9135552;9389355;9445466	10194184;11490013;11574819;11748186;11781710;1419905;1452201;1508203;15308505;16428082;16556269;1737792;17765898;1777480;1777483;1830061;18385818;19064727;20511707;2059661;2225078;23144749;23715268;2494663;2497520;2687377;2838755;2843985;29359407;30340635;34848154;7636248;7738013;7843230;7905283;7929104;8029023;8098618;8152309;8170951;8206753;8361755;8382312;8430069;8455627;8475098;8648111;8982260;9115639;9135552;9389355;9445466	28		reference_reuse_review
PUBTF-CUR-002951	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002952:e99adb64894a	human	TP53	RUNX1	22673192;23148227;32251398	22673192;23148227;32251398	8		reference_reuse_review
PUBTF-CUR-002952	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002953:a4a7136d313d	human	FOS	VEGFD	10449752;15831677;19136250;23157741;24115038;25195605;25596551;35537818;8876195	10449752;15831677;19136250;23157741;24115038;25195605;25596551;35537818;8876195	8		reference_reuse_review
PUBTF-CUR-002953	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002954:a6412d2f9006	human	JUN	VEGFD	11778649;12724228;19136250;23157741;24115038;26992854;9479493	11778649;12724228;19136250;23157741;24115038;26992854;9479493	8		reference_reuse_review
PUBTF-CUR-002954	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002955:a3aa2f74e155	human	SP1	SCTR	14645499;23168245	14645499;23168245	4		reference_reuse_review
PUBTF-CUR-002955	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002956:16b054422c4d	human	HIF1A	MCL1	15240510;16229017;20393480;20829524;21122355;22276222;22552282;23216940;23626851;31384313;32319617;32782666;33122920	15240510;16229017;20393480;20829524;21122355;22276222;22552282;23216940;23626851;31384313;32319617;32782666;33122920	8		reference_reuse_review
PUBTF-CUR-002956	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002957:e42b3c2786b7	human	SP1	IL3	23226269;8454603	8454603	2		reference_reuse_review
PUBTF-CUR-002957	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002958:c28e08fdf0fe	human	FOXM1	CDC25A	20354770;23240008;30353018	20354770;23240008;30353018	3		reference_reuse_review
PUBTF-CUR-002958	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002959:b41c43585653	human	HIF1A	ADIPOQ	18287886;21952510;23255598	18287886;21952510;23255598	7		reference_reuse_review
PUBTF-CUR-002959	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002960:ccbf33afb539	human	TP53	AXL	22989750;23264849;24217154;28596680;32992696;34608255	22989750;23264849;24217154;28596680;32992696;34608255	6		reference_reuse_review
PUBTF-CUR-002960	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002961:76452d8e9092	human	MYC	PARP1	12695333;16703398;23277454;25828893;30788663;32765691;33134168;37467687	12695333;16703398;23277454;25828893;30788663;32765691;33134168;37467687	418		reference_reuse_review
PUBTF-CUR-002961	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002962:3fe12652cd0e	human	EGR1	MYC	33980611;7559553	33980611;7559553	6		reference_reuse_review
PUBTF-CUR-002962	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002963:6303a789680e	human	SPI1	ITGAX	15611261;19502584;23284905;28338898;7678251;9250811;9295016	15611261;19502584;23284905;28338898;7678251;9250811;9295016	13		reference_reuse_review
PUBTF-CUR-002963	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002964:3ecfcc442020	human	SRF	EGR3	19965691;23318675;24272970;29284006;31930559	19965691;23318675;24272970;29284006;31930559	6		reference_reuse_review
PUBTF-CUR-002964	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002965:40e0dd255468	human	RELA	SOCS3	11466367;12221085;18854155;18989459;20067961;20631305;23335796;23386688;25265579;25642823;26047583;27057692;27286706;28088611;28639050;30093408;31060494;31917967;32149091;36930690	11466367;12221085;18854155;18989459;20067961;20631305;23335796;23386688;25265579;25642823;26047583;27057692;27286706;28088611;28639050;30093408;31060494;31917967;32149091;36930690	17		reference_reuse_review
PUBTF-CUR-002965	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002966:e3963f037f10	human	PPARG	EGFR	15486348;16524877;18288266;18332871;23086814;23370527;23577024;25168821;25852474;31075703;34273404	15486348;18288266	2		reference_reuse_review
PUBTF-CUR-002966	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002967:3216c927569b	human	STAT1	TNFRSF1A	23376950	23376950	2		reference_reuse_review
PUBTF-CUR-002967	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002968:c9232e0fd3f9	human	RELA	EGFR	11165237;11337489;12469217;14678988;15115657;15177893;15580694;17881446;18007664;19560263;20151982;20155630;20410275;20977754;21157443;23155247;23379415;23867902;24763556;26895469;27573547;29636598;31164956;31841993;32881844;34578147;34803705;37015904;37516013;8985387	11165237;11337489;12469217;14678988;15115657;15177893;15580694;17881446;18007664;19560263;20151982;20155630;20410275;20977754;21157443;23155247;23379415;23867902;24763556;26895469;27573547;29636598;31164956;31841993;32881844;34578147;34803705;37015904;37516013;8985387	18		reference_reuse_review
PUBTF-CUR-002968	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002969:6100533ec0f6	human	CDX2	AXIN2	23393221;24501326;24814920;26910375;30631044	23393221;24501326;24814920;26910375;30631044	4		reference_reuse_review
PUBTF-CUR-002969	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002970:52855b626589	human	CEBPA	SREBF1	19811452;22445925;23422505;28398659;30776459;32701200;33121932;33471067	19811452;22445925;23422505;28398659;30776459;32701200;33121932;33471067	8		reference_reuse_review
PUBTF-CUR-002970	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002971:96cb58655928	human	SALL4	ABCA3	21526180;23432194	21526180;23432194	4		reference_reuse_review
PUBTF-CUR-002971	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002972:5f65caf9fa45	human	AR	ELF3	17721441	17721441	133		reference_reuse_review
PUBTF-CUR-002972	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002973:7b008e64b27d	human	SOX9	HAPLN1	15456769;17935617;22046352;23468913	15456769;17935617;22046352;23468913	2		reference_reuse_review
PUBTF-CUR-002973	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002974:f71ecdde25db	human	MITF	PPARGC1A	23416000;23477830;25297634;25736533;26387540;29486165;36429010;36933392	23416000;23477830;25297634;25736533;26387540;29486165;36429010;36933392	7		reference_reuse_review
PUBTF-CUR-002974	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002975:7ff3b65011ec	human	JUND	SOX4	23482931	23482931	8		reference_reuse_review
PUBTF-CUR-002975	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002976:b0ce7551d5d0	human	TBP	LIN28B	23494474	23494474	2		reference_reuse_review
PUBTF-CUR-002976	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002977:9c1dc9128db6	human	ESR1	KRT15	23518503	23518503	8		reference_reuse_review
PUBTF-CUR-002977	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002978:94218d83d5a4	human	E2F1	CTSV	23542171	23542171	2		reference_reuse_review
PUBTF-CUR-002978	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002979:1223fcef70b3	human	RXRA	ABCB11	11387316;11509573;11870371;12519787;16819395;19111018;21330447;22098603;23546875;26867564	11387316;11509573;11870371;12519787;16819395;19111018;21330447;22098603;23546875;26867564	8		reference_reuse_review
PUBTF-CUR-002980	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002981:d126851939c5	human	SPI1	MPO	10397723;12032776;21937699;23554972;8777716;8855267	10397723;12032776;21937699;23554972;8777716;8855267	13		reference_reuse_review
PUBTF-CUR-002981	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002982:5b7d8655ce4d	human	FOXO1	CDKN1A	16908841;17609436;20453878;21350002;22552808;22569260;23261984;23574718;23618529;23918930;24769335;24899714;24983498;25330112;25472505;25746385;26261511;26577046;26747726;27224923;28161489;28285015;28938528;29890134;30128023;30272279;30690883;30806334;31139183;31197106;31601652;31819047;32028599;32181392;32279994;32353113;32398756;33801718;33825400;35358479;35577307;35868560;38212454	16908841;17609436;20453878;21350002;22552808;22569260;23261984;23574718;23618529;23918930;24769335;24899714;24983498;25330112;25472505;25746385;26261511;26577046;26747726;27224923;28161489;28285015;28938528;29890134;30128023;30272279;30690883;30806334;31139183;31197106;31601652;31819047;32028599;32181392;32279994;32353113;32398756;33801718;33825400;35358479;35577307;35868560;38212454	15		reference_reuse_review
PUBTF-CUR-002983	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002984:ba1021307167	human	JUN	MMP3	10613894;10617637;11463830;12009331;12060661;12101411;12825130;1284126;12882799;12882800;1429874;14661063;14726605;14755151;15358181;15688379;15777790;16565381;16778083;17348021;18072934;18340449;18571835;18836245;19361540;19763044;20188714;21170958;21282043;22986533;23409137;23608488;23707809;24313661;25051397;25204426;26850593;27391542;27486852;27585710;27888134;28819304;29341262;30263735;31380578;31434493;31470141;33092202;34222497;34849618;36388837;7490285;7752115;8092999;8663478;8919048;8957070;9334186;9873824	10613894;10617637;11463830;12009331;12060661;12101411;12825130;1284126;12882799;12882800;1429874;14661063;14726605;14755151;15358181;15688379;15777790;16565381;16778083;17348021;18072934;18340449;18571835;18836245;19361540;19763044;20188714;21170958;21282043;22986533;23409137;23608488;23707809;24313661;25051397;25204426;26850593;27391542;27486852;27585710;27888134;28819304;29341262;30263735;31380578;31434493;31470141;33092202;34222497;34849618;36388837;7490285;7752115;8092999;8663478;8919048;8957070;9334186;9873824	28		reference_reuse_review
PUBTF-CUR-002984	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002985:aea44b6fe3a8	human	FOS	MMP3	12502727;15777790;20609072;23608488;24313661;24379408;28819304;7489723;8144618;8601460;8921230;8957070;9334186	12502727;15777790;20609072;23608488;24313661;24379408;28819304;7489723;8144618;8601460;8921230;8957070;9334186	16		reference_reuse_review
PUBTF-CUR-002985	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002986:ddfd11346a4d	human	MYC	ATF4	12695333;23612979;29257326;31263264	12695333;23612979;29257326;31263264	418		reference_reuse_review
PUBTF-CUR-002986	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002987:415875a57676	human	CTCF	IPO13	23620300	23620300	2		reference_reuse_review
PUBTF-CUR-002987	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002988:28fb84bf3388	human	HNF4A	C3	23628799	23628799	2		reference_reuse_review
PUBTF-CUR-002988	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002989:ed14fa70c464	human	MYB	IGF1R	10465027;1657376;19427836;23675407	10465027;1657376;19427836;23675407	4		reference_reuse_review
PUBTF-CUR-002990	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002991:4553e35eb6d7	human	HNF4A	EPHX1	23714182;25992604	23714182;25992604	2		reference_reuse_review
PUBTF-CUR-002991	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002992:4154708f51d4	human	E2F4	LTBP4	23741501	23741501	6		reference_reuse_review
PUBTF-CUR-002992	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002993:a66843bcb9a3	human	SP1	LTBP4	23741501	23741501	6		reference_reuse_review
PUBTF-CUR-002993	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002994:142d8b24bcf1	human	ESR1	ABCC3	15456840;22585709;23077105;23747343	15456840;22585709;23077105;23747343	6		reference_reuse_review
PUBTF-CUR-002994	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002995:db057f987205	human	SP1	ABCC1	23765166;9865734	23765166;9865734	6		reference_reuse_review
PUBTF-CUR-002995	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002996:4989bed40c15	human	BCL6	LITAF	23795761;27764808	23795761;27764808	6		reference_reuse_review
PUBTF-CUR-002996	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002997:18dfe2ba1a55	human	TP53	EEF1A1	18431400;23799104;9269753	18431400;23799104;9269753	80		reference_reuse_review
PUBTF-CUR-002997	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002998:637ea5cd6448	human	E2F1	NELL2	23829315;28429752;35377220	23829315;28429752;35377220	6		reference_reuse_review
PUBTF-CUR-002998	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:002999:7d9bd7217364	human	NFKB1	BIRC5	14739605;15252041;15544921;15729715;15880597;16924232;16966432;16969492;17302199;17553314;20126979;20233722;20367887;20509140;20653974;21219576;21325633;22190866;23041974;23838170;24143232;24804677;28139689;28724615;29743919;31100403;36494579	14739605;15252041;15544921;15729715;15880597;16924232;16966432;16969492;17302199;17553314;20126979;20233722;20367887;20509140;20653974;21219576;21325633;22190866;23041974;23838170;24143232;24804677;28139689;28724615;29743919;31100403;36494579	36		reference_reuse_review
PUBTF-CUR-002999	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003000:cce129dde312	human	AR	IGFBP3	16541420;20610535;22073224;23859805;36323713;7532576;7533776	16541420;20610535;22073224;23859805;36323713;7532576;7533776	167		reference_reuse_review
PUBTF-CUR-003000	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003001:74800782a38a	human	SOX9	MATN1	23860260	23860260	2		reference_reuse_review
PUBTF-CUR-003001	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003002:ca531664ecdc	human	KLF4	CCND1	10908361;11005769;11322789;17671182;18314491;19041854;19551868;19737957;19755513;20479568;21132436;21224073;23861801;23867820;23884787;24715357;28278702;28549095;28656310;30587813;31032663	10908361;11005769;11322789;17671182;18314491;19041854;19551868;19737957;19755513;20479568;21132436;21224073;23861801;23867820;23884787;24715357;28278702;28549095;28656310;30587813;31032663	8		reference_reuse_review
PUBTF-CUR-003002	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003003:6f52ee0e11fa	human	GATA3	SLCO4C1	23874392	23874392	2		reference_reuse_review
PUBTF-CUR-003003	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003004:e930e28ee417	human	STAT1	IL1B	11506742;17032168;17386941;19701245;21426947;22649549;23760261;23922745;24321405;24675363;30286793;31017981;31857155;32717023;33087357;33650224;34434263;36384075;37215993	11506742;17032168;17386941;19701245;21426947;22649549;23760261;23922745;24321405;24675363;30286793;31017981;31857155;32717023;33087357;33650224;34434263;36384075;37215993	12		reference_reuse_review
PUBTF-CUR-003004	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003005:8c0702f7104e	human	EGR1	CACNA1H	22431737;23929524;26256074;30792272;31527367	22431737;23929524;26256074;30792272;31527367	5		reference_reuse_review
PUBTF-CUR-003005	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003006:575ba18aa192	human	ETS1	THBS1	23933487	23933487	2		reference_reuse_review
PUBTF-CUR-003006	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003007:f366c459a0bf	human	ZEB1	GRHL2	23814079;23943797;24756066;31063022;34111109;37257449	23814079;23943797;24756066;31063022;34111109;37257449	4		reference_reuse_review
PUBTF-CUR-003007	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003008:9df11b4c2370	human	STAT3	MMP3	17460772;22145815;22893789;23967200;25523612;26580615;26713842;31583048;33460754;35280699;35977090;36244795;36370067	17460772;22145815;22893789;23967200;25523612;31583048;35977090	7		reference_reuse_review
PUBTF-CUR-003008	OmniPath_DoRothEA|OmniPath_DoRothEA_snapshot_2026-08-25|human|omnipath_dorothea:human:003009:956e2463fb16	human	SP1	SLC19A3	15217784;23989004;24525018	15217784;23989004;24525018	4		reference_reuse_review
