pmid	public_unique_item_count	public_record_count	existing_module_count	existing_modules	public_item_keys	cross_module_overlap	corroboration_status
10023685	2	2	0		human|tp53|mdm2;mouse|tp53|mdm2	false	reference_reuse_review
10024676	2	2	0		human|tp53|msh2;mouse|tp53|msh2	false	reference_reuse_review
10024886	12	12	0		human|atf2|ifnb1;human|irf3|ifnb1;human|irf7|ifnb1;human|jun|ifnb1;human|nfkb1|ifnb1;human|rela|ifnb1;mouse|atf2|ifnb1;mouse|irf3|ifnb1;mouse|irf7|ifnb1;mouse|jun|ifnb1;mouse|nfkb1|ifnb1;mouse|rela|ifnb1	false	reference_reuse_review
10025398	0	0	2	22B;23B		true	reference_reuse_review
10025511	2	2	0		human|cebpa|gadd45a;mouse|cebpa|gadd45a	false	reference_reuse_review
10026175	2	2	0		human|jun|mmp9;mouse|jun|mmp9	false	reference_reuse_review
10026211	2	2	0		human|creb1|pck1;mouse|creb1|pck1	false	reference_reuse_review
10026215	4	4	0		human|nr0b1|nr5a1;human|nr5a1|star;mouse|nr0b1|nr5a1;mouse|nr5a1|star	false	reference_reuse_review
10026303	6	6	0		human|nfkb1|abcb1;human|rela|abcb1;human|relb|abcb1;mouse|nfkb1|abcb1a;mouse|rela|abcb1a;mouse|relb|abcb1a	false	reference_reuse_review
10027409	6	6	0		human|tcf4|cd44;human|tcf7l2|cd44;mouse|a0a0j9ytu7|a2apm2;mouse|e9qq91|a2apm2;mouse|tcf4|cd44;mouse|tcf7l2|cd44	false	reference_reuse_review
10027414	4	4	0		human|tp53|bax;human|tp53|mdm2;mouse|tp53|bax;mouse|tp53|mdm2	false	reference_reuse_review
10027904	2	2	0		human|runx2|ibsp;mouse|runx2|ibsp	false	reference_reuse_review
10029175	2	2	0		human|spi1|itgb2;mouse|spi1|d3yyp8	false	reference_reuse_review
10029406	4	4	0		human|tp53|cdkn1a;human|tp53|rb1;mouse|tp53|cdkn1a;mouse|tp53|rb1	false	reference_reuse_review
10029407	12	18	0		human|tp53|abcb1;human|tp53|ctsd;human|tp53|egfr;human|tp53|fgf2;human|tp53|mmp2;human|tp53|thbs1;mouse|tp53|\N;mouse|tp53|abcb1a;mouse|tp53|ctsd;mouse|tp53|egfr;mouse|tp53|fgf2;mouse|tp53|mmp2	false	reference_reuse_review
10029570	0	0	1	20B		true	reference_reuse_review
10030670	7	9	0		human|e2f1|cdkn1a;human|e2f3|cdkn1a;human|hbp1|cdkn1a;human|sp1|cdkn1a;mouse|a0a1y7vml1|cdkn1a;mouse|a0a979hlr9|cdkn1a;mouse|e2f1|cdkn1a	false	reference_reuse_review
10030686	2	4	0		human|yy1|nr3c1;mouse|yy1|nr3c1	false	reference_reuse_review
10030791	7	7	0		human|nfkb1|cxcl8;human|nfkb1|tnf;human|nfkb2|cxcl8;human|rela|cxcl8;human|rela|tnf;mouse|nfkb1|tnf;mouse|rela|tnf	false	reference_reuse_review
10036220	2	2	0		human|ahr|cyp1a1;mouse|\N|cyp1a1	false	reference_reuse_review
10037138	2	2	0		human|ctcf|myc;mouse|ctcf|myc	false	reference_reuse_review
10037186	8	8	0		human|tp53|bak1;human|tp53|bax;human|tp53|bcl2;human|tp53|myc;mouse|tp53|bak1;mouse|tp53|bax;mouse|tp53|bcl2;mouse|tp53|myc	false	reference_reuse_review
10037278	2	2	0		human|tp53|bcl2;mouse|tp53|bcl2	false	reference_reuse_review
10037443	19	28	0		human|esr1|chat;human|esr1|ctsd;human|esr1|fos;human|esr1|jun;human|esr1|tff1;human|esr2|chat;human|esr2|ctsd;human|esr2|fos;human|esr2|jun;human|esr2|tff1;mouse|esr1|a0a2i3bpd4;mouse|esr1|ctsd;mouse|esr1|fos;mouse|esr1|jun;mouse|esr1|tff1;mouse|esr2|ctsd;mouse|esr2|fos;mouse|esr2|jun;mouse|esr2|tff1	false	reference_reuse_review
10037446	2	2	0		human|ahr|cyp1b1;mouse|\N|cyp1b1	false	reference_reuse_review
10037697	3	4	0		human|ets1|f13a1;human|gata1|f13a1;mouse|ets1|f13a1	false	reference_reuse_review
10037739	4	4	0		human|tp53|bcl2;human|tp53|cdkn1a;mouse|tp53|bcl2;mouse|tp53|cdkn1a	false	reference_reuse_review
10037767	2	2	0		human|stat4|irf1;mouse|\N|irf1	false	reference_reuse_review
10037779	6	6	0		human|fos|il6;human|jund|il6;human|jun|il6;mouse|fos|il6;mouse|jund|il6;mouse|jun|il6	false	reference_reuse_review
10037797	0	0	1	23B		true	reference_reuse_review
1003944	0	0	1	23B		true	reference_reuse_review
10047468	2	2	0		human|wt1|odc1;mouse|f6y2t6|odc1	false	reference_reuse_review
10048576	8	8	0		human|ets1|itgb3;human|ets1|mmp13;human|ets1|mmp3;human|ets1|mmp9;mouse|ets1|\N;mouse|ets1|itgb3;mouse|ets1|mmp13;mouse|ets1|mmp9	false	reference_reuse_review
10048763	10	15	0		human|irf3|ifna1;mouse|irf3|\N;mouse|irf3|b1ayh7;mouse|irf3|ifna1;mouse|irf3|ifna11;mouse|irf3|ifna12;mouse|irf3|ifna13;mouse|irf3|ifna4;mouse|irf3|ifna9;mouse|irf3|l7mtu6	false	reference_reuse_review
10048937	4	4	0		human|tp53|bax;human|tp53|bcl2;mouse|tp53|bax;mouse|tp53|bcl2	false	reference_reuse_review
10049353	14	16	0		human|nfkb1|bcl2;human|nfkb1|bcl2a1;human|nfkb2|bcl2;human|rela|bcl2;human|rela|bcl2a1;human|relb|bcl2;mouse|nfkb1|\N;mouse|nfkb1|bcl2;mouse|nfkb1|bcl2a1;mouse|nfkb2|bcl2;mouse|rela|\N;mouse|rela|bcl2;mouse|rela|bcl2a1;mouse|relb|bcl2	false	reference_reuse_review
10049356	6	8	0		human|nfkb1|bcl2a1;human|rela|bcl2a1;mouse|nfkb1|\N;mouse|nfkb1|bcl2a1;mouse|rela|\N;mouse|rela|bcl2a1	false	reference_reuse_review
10049594	4	4	0		human|nfkb1|elf3;human|rela|elf3;mouse|nfkb1|elf3;mouse|rela|elf3	false	reference_reuse_review
10049733	6	6	0		human|nfkb1|ccl13;human|rela|ccl13;mouse|nfkb1|ccl11;mouse|nfkb1|ccl7;mouse|rela|ccl11;mouse|rela|ccl7	false	reference_reuse_review
10050041	2	2	0		human|tp53|cdkn1a;mouse|tp53|cdkn1a	false	reference_reuse_review
10050749	3	3	0		human|hnf1a|igf1;human|stat5a|igf1;mouse|stat5a|igf1	false	reference_reuse_review
10050855	0	0	1	20B		true	reference_reuse_review
10050884	2	2	0		human|mycn|tp53;mouse|mycn|tp53	false	reference_reuse_review
10051290	4	4	0		human|jun|mmp9;human|nfkb1|mmp9;mouse|jun|mmp9;mouse|nfkb1|mmp9	false	reference_reuse_review
10051471	2	2	0		human|tp53|hic1;mouse|tp53|hic1	false	reference_reuse_review
10051488	4	4	0		human|ets1|timp1;human|fosb|timp1;human|jund|timp1;mouse|ets1|timp1	false	reference_reuse_review
10051498	4	4	0		human|nfkb1|nos2;human|rela|nos2;mouse|nfkb1|nos2;mouse|rela|nos2	false	reference_reuse_review
10051543	2	2	0		human|nfkb1|icam1;mouse|nfkb1|icam1	false	reference_reuse_review
10051545	4	4	0		human|ahr|cyp1b1;human|arnt|cyp1b1;mouse|\N|cyp1b1;mouse|arnt|cyp1b1	false	reference_reuse_review
10051583	2	2	0		mouse|trp53|foxo3;mouse|trp73|foxo3	false	reference_reuse_review
10051609	3	3	0		human|tp53|ccnb1;mouse|tp53|ccnb1;mouse|trp53|ccnb1	false	reference_reuse_review
10064132	5	5	0		human|pou2f1|h2bc21;human|pou2f1|hist2h2be;mouse|a0a0r4j1z4|\N;mouse|a0a0r4j1z4|h2bc14;mouse|a0a0r4j1z4|h2bc18	false	reference_reuse_review
10064600	2	2	0		human|atf2|fn1;mouse|atf2|fn1	false	reference_reuse_review
10064602	2	2	1	22B	human|stat5a|ccnd1;mouse|stat5a|ccnd1	false	needs_corroboration
10064725	2	3	0		human|cebpa|vldlr;mouse|cebpa|vldlr	false	reference_reuse_review
10065155	2	2	0		human|tp53|mdm2;mouse|tp53|mdm2	false	reference_reuse_review
10066074	2	2	0		human|tp53|cdkn1a;mouse|tp53|cdkn1a	false	reference_reuse_review
10066431	7	10	0		human|ets1|was;human|myb|was;human|sp1|was;human|spi1|was;mouse|a0a087wpa7|was;mouse|ets1|was;mouse|spi1|was	false	reference_reuse_review
10066455	3	3	0		human|sp3|cdkn1a;mouse|sp3|cdkn1a;mouse|zfp148|cdkn1a	false	reference_reuse_review
10066673	2	2	0		human|nfkb1|icam1;mouse|nfkb1|icam1	false	reference_reuse_review
10066785	2	2	0		human|rbpj|hes1;mouse|rbpj|hes1	false	reference_reuse_review
10066798	6	6	0		human|atf2|ccnd1;human|creb1|ccnd1;human|jun|ccnd1;mouse|atf2|ccnd1;mouse|creb1|ccnd1;mouse|jun|ccnd1	false	reference_reuse_review
10067851	2	2	0		human|creb1|fos;mouse|creb1|fos	false	reference_reuse_review
10068347	2	2	0		human|tp53|cdkn1a;mouse|tp53|cdkn1a	false	reference_reuse_review
10068666	0	0	1	20B		true	reference_reuse_review
10068671	15	24	0		human|stat1|il2ra;human|stat1|irf1;human|stat1|pim1;human|stat3|il2ra;human|stat3|irf1;human|stat3|pim1;human|stat4|il2ra;human|stat4|irf1;human|stat4|pim1;mouse|\N|il2ra;mouse|\N|irf1;mouse|\N|pim1;mouse|a0a087wsp5|il2ra;mouse|a0a087wsp5|irf1;mouse|a0a087wsp5|pim1	false	reference_reuse_review
10069428	3	3	0		human|nfatc2|il4;mouse|mcm3|il4;mouse|nfatc2|il4	false	reference_reuse_review
10070050	2	2	0		human|hnf4a|gucy2c;mouse|hnf4a|gucy2c	false	reference_reuse_review
10070102	2	3	0		human|rara|sftpb;mouse|rara|sftpb	false	reference_reuse_review
10072167	2	2	0		human|ahr|cyp1a1;mouse|\N|cyp1a1	false	reference_reuse_review
10072176	4	4	0		human|tp53|bax;human|tp53|bcl2;mouse|tp53|bax;mouse|tp53|bcl2	false	reference_reuse_review
10072196	4	4	0		human|max|odc1;human|myc|odc1;mouse|max|odc1;mouse|myc|odc1	false	reference_reuse_review
10072388	7	7	0		human|jun|cdkn1a;human|jun|tp53;human|tp53|cdkn1a;mouse|jun|cdkn1a;mouse|jun|tp53;mouse|jun|trp53;mouse|tp53|cdkn1a	false	reference_reuse_review
10072445	2	2	0		human|tp53|mdm2;mouse|tp53|mdm2	false	reference_reuse_review
10072494	2	2	0		human|foxp3|il2ra;mouse|foxp3|il2ra	false	reference_reuse_review
10072525	7	7	0		human|stat1|prf1;human|stat3|prf1;human|stat5a|prf1;human|stat5b|prf1;mouse|a0a087wsp5|prf1;mouse|stat5a|prf1;mouse|stat5b|prf1	false	reference_reuse_review
10072762	2	2	0		human|sp1|cdkn1b;mouse|a0a979hlr9|cdkn1b	false	reference_reuse_review
10073575	3	4	0		human|foxa1|tff1;human|foxa2|tff1;mouse|foxa1|tff1	false	reference_reuse_review
10074115	6	8	0		human|nfkb1|ifnb1;human|nfkbia|ifnb1;human|nfkbib|ifnb1;human|rela|ifnb1;mouse|nfkb1|ifnb1;mouse|rela|ifnb1	false	reference_reuse_review
10074885	2	2	0		human|tp53|gadd45a;mouse|tp53|gadd45a	false	reference_reuse_review
10074902	2	2	0		human|tp53|cdkn1a;mouse|tp53|cdkn1a	false	reference_reuse_review
10075021	2	2	0		human|stat1|irf1;mouse|a0a087wsp5|irf1	false	reference_reuse_review
10075666	2	2	0		human|sp1|faslg;mouse|a0a979hlr9|faslg	false	reference_reuse_review
10075669	15	15	0		human|ar|klk3;mouse|ar|klk1;mouse|ar|klk1b1;mouse|ar|klk1b11;mouse|ar|klk1b16;mouse|ar|klk1b21;mouse|ar|klk1b22;mouse|ar|klk1b24;mouse|ar|klk1b26;mouse|ar|klk1b27;mouse|ar|klk1b3;mouse|ar|klk1b4;mouse|ar|klk1b5;mouse|ar|klk1b8;mouse|ar|klk1b9	false	reference_reuse_review
10075672	3	4	0		human|atf1|cftr;human|cux1|cftr;mouse|atf1|cftr	false	reference_reuse_review
10075714	2	2	0		human|sp1|gast;mouse|a0a979hlr9|gast	false	reference_reuse_review
10075728	3	3	0		human|gata4|nppa;mouse|gata4|nppa;mouse|nkx2-5|nppa	false	reference_reuse_review
10075839	2	2	0		human|rarg|rarb;mouse|rarg|rarb	false	reference_reuse_review
10075858	3	3	0		human|jun|ccl5;human|nfkb1|ccl5;human|rela|ccl5	false	reference_reuse_review
10075983	8	8	0		human|nfkb1|cd40;human|rela|cd40;human|rela|ifng;human|relb|cd40;mouse|nfkb1|cd40;mouse|rela|cd40;mouse|rela|ifng;mouse|relb|cd40	false	reference_reuse_review
10076567	2	2	0		human|tp53|cdkn1a;mouse|tp53|cdkn1a	false	reference_reuse_review
10076995	2	3	0		human|ar|cdkn1a;mouse|ar|cdkn1a	false	reference_reuse_review
10076999	4	4	0		human|esr1|rara;human|esr2|rara;mouse|esr1|rara;mouse|esr2|rara	false	reference_reuse_review
10077646	2	2	0		human|ar|klk4;mouse|ar|klk4	false	reference_reuse_review
10077990	2	2	0		human|jun|il2;mouse|jun|il2	false	reference_reuse_review
10079014	4	4	0		human|nfkb1|nos2;human|rela|nos2;mouse|nfkb1|nos2;mouse|rela|nos2	false	reference_reuse_review
10079054	6	6	0		human|jun|nos2;human|nfkb1|nos2;human|rela|nos2;mouse|jun|nos2;mouse|nfkb1|nos2;mouse|rela|nos2	false	reference_reuse_review
10079106	4	6	0		human|nfkb1|tnf;human|rela|tnf;mouse|nfkb1|tnf;mouse|rela|tnf	false	reference_reuse_review
10079137	2	2	0		human|pax6|krt12;mouse|pax6|z4yjd9	false	reference_reuse_review
100798200	0	0	1	23B		true	reference_reuse_review
10080530	13	13	0		human|jun|ccl2;human|jun|ccl5;human|jun|cxcl8;human|nfkb1|ccl2;human|nfkb1|ccl5;human|nfkb1|cxcl8;human|nfkb2|cxcl8;human|rela|ccl2;human|rela|ccl5;human|rela|cxcl8;mouse|jun|ccl12;mouse|nfkb1|ccl12;mouse|rela|ccl12	false	reference_reuse_review
10080538	0	0	1	20B		true	reference_reuse_review
10080875	4	6	0		human|nfkb1|il1b;human|rela|il1b;mouse|nfkb1|il1b;mouse|rela|il1b	false	reference_reuse_review
10080908	4	4	0		human|cebpa|csf3r;human|spi1|csf1;mouse|cebpa|csf3r;mouse|spi1|csf1	false	reference_reuse_review
10080943	2	2	0		human|tp53|fas;mouse|tp53|fas	false	reference_reuse_review
10080955	4	6	0		human|mitf|tyr;human|mitf|tyrp1;mouse|mitf|tyr;mouse|mitf|tyrp1	false	reference_reuse_review
10081611	2	2	0		human|stat1|vip;mouse|a0a087wsp5|a0a0r4j003	false	reference_reuse_review
10082134	4	4	0		human|nfkb1|vcam1;human|rela|vcam1;mouse|nfkb1|\N;mouse|rela|\N	false	reference_reuse_review
10082137	6	9	0		human|nfic|col1a1;human|sp1|col1a1;human|sp3|col1a1;mouse|a0a979hlr9|col1a1;mouse|nfic|col1a1;mouse|sp3|col1a1	false	reference_reuse_review
10082515	2	2	0		human|smad3|serpine1;mouse|smad3|g5e899	false	reference_reuse_review
10082522	2	2	0		human|egr1|lhb;mouse|egr1|g3x9g6	false	reference_reuse_review
10082525	3	3	0		human|tp53|fos;mouse|fos|trp53;mouse|tp53|fos	false	reference_reuse_review
10082534	2	2	0		human|stat5a|il2ra;mouse|stat5a|il2ra	false	reference_reuse_review
10082535	2	2	0		human|nfkb1|ccnd1;mouse|nfkb1|ccnd1	false	reference_reuse_review
10082538	3	3	0		human|smarca4|fos;human|sp1|fos;mouse|a0a979hlr9|fos	false	reference_reuse_review
10082539	2	2	0		human|sp1|egr1;mouse|a0a979hlr9|egr1	false	reference_reuse_review
10082561	2	2	0		human|cebpa|pcna;mouse|cebpa|pcna	false	reference_reuse_review
10082575	2	2	0		human|tp53|ccnd1;mouse|tp53|ccnd1	false	reference_reuse_review
10082650	2	2	0		human|nr5a1|mc2r;mouse|nr5a1|mc2r	false	reference_reuse_review
10085086	14	14	0		human|nfkb1|bcl2;human|nfkb1|bcl2l1;human|nfkb2|bcl2;human|nfkb2|bcl2l1;human|rela|bcl2;human|rela|bcl2l1;human|relb|bcl2;mouse|nfkb1|bcl2;mouse|nfkb1|bcl2l1;mouse|nfkb2|bcl2;mouse|nfkb2|bcl2l1;mouse|rela|bcl2;mouse|rela|bcl2l1;mouse|relb|bcl2	false	reference_reuse_review
10085123	4	4	0		human|creb1|pck1;human|crebbp|pck2;human|nfia|pck2;mouse|creb1|pck1	false	reference_reuse_review
10085152	2	2	0		human|hif1a|epo;mouse|hif1a|epo	false	reference_reuse_review
10085153	4	4	0		human|nfkb1|nos2;human|rela|nos2;mouse|nfkb1|nos2;mouse|rela|nos2	false	reference_reuse_review
10085237	6	10	0		human|atf3|ddit3;human|atf4|atf3;human|atf4|ddit3;mouse|atf3|ddit3;mouse|atf4|atf3;mouse|atf4|ddit3	false	reference_reuse_review
10085415	4	4	0		human|nfkb1|tnf;human|rela|tnf;mouse|nfkb1|tnf;mouse|rela|tnf	false	reference_reuse_review
10086338	2	2	0		human|nfkb1|col7a1;human|rela|col7a1	false	reference_reuse_review
10086782	4	4	0		human|nfkb1|tnf;human|rela|tnf;mouse|nfkb1|tnf;mouse|rela|tnf	false	reference_reuse_review
10087270	0	0	1	23B		true	reference_reuse_review
10087648	2	2	0		human|stat4|ifng;mouse|\N|ifng	false	reference_reuse_review
10088719	4	4	0		human|vdr|bglap;mouse|vdr|bglap;mouse|vdr|bglap2;mouse|vdr|bglap3	false	reference_reuse_review
10089140	4	4	0		human|nfkb1|tnf;human|rela|tnf;mouse|nfkb1|tnf;mouse|rela|tnf	false	reference_reuse_review
10089566	4	4	0		human|nfkb1|il10;human|rela|il10;mouse|nfkb1|il10;mouse|rela|il10	false	reference_reuse_review
10090397	4	4	0		human|nfkb1|nos2;human|rela|nos2;mouse|nfkb1|nos2;mouse|rela|nos2	false	reference_reuse_review
10090408	2	2	0		human|tp53|cdkn1a;mouse|tp53|cdkn1a	false	reference_reuse_review
10090829	2	2	0		human|nfkb1|sele;mouse|nfkb1|\N	false	reference_reuse_review
10091149	2	3	0		human|sp1|col1a1;mouse|a0a979hlr9|col1a1	false	reference_reuse_review
10092076	2	2	0		human|nfkb1|faslg;mouse|nfkb1|faslg	false	reference_reuse_review
10092088	4	4	0		human|nfkb1|il2;human|rela|il2;mouse|nfkb1|il2;mouse|rela|il2	false	reference_reuse_review
10092528	2	2	0		human|tp53|cdkn1a;mouse|tp53|cdkn1a	false	reference_reuse_review
10092624	4	4	1	22B	human|smad3|serpine1;human|smad4|serpine1;mouse|smad3|g5e899;mouse|smad4|g5e899	false	needs_corroboration
10092656	2	2	0		human|stat1|irf8;mouse|a0a087wsp5|irf8	false	reference_reuse_review
10092659	4	6	0		human|nfkb1|icam1;human|rela|icam1;mouse|nfkb1|icam1;mouse|rela|icam1	false	reference_reuse_review
10092806	4	4	0		human|nfkb1|tnf;human|rela|tnf;mouse|nfkb1|tnf;mouse|rela|tnf	false	reference_reuse_review
10092887	0	0	1	20B		true	reference_reuse_review
10094470	5	5	0		human|tp53|cdkn1a;human|tp53|pcna;human|tp53|s100a2;mouse|tp53|cdkn1a;mouse|tp53|pcna	false	reference_reuse_review
10094826	4	4	0		human|nfkb1|tnf;human|rela|tnf;mouse|nfkb1|tnf;mouse|rela|tnf	false	reference_reuse_review
10094831	2	3	0		human|sp1|krt18;mouse|a0a979hlr9|krt18	false	reference_reuse_review
10094833	8	8	0		human|tp53|bax;human|tp53|ccng1;human|tp53|cdkn1a;human|tp53|gadd45a;mouse|tp53|bax;mouse|tp53|ccng1;mouse|tp53|cdkn1a;mouse|tp53|gadd45a	false	reference_reuse_review
10095099	2	2	0		human|tfap2a|itpr1;mouse|tfap2a|itpr1	false	reference_reuse_review
10095120	2	2	0		human|stat1|adar;mouse|a0a087wsp5|adar	false	reference_reuse_review
10096254	2	2	0		human|tp53|bcl2;mouse|tp53|bcl2	false	reference_reuse_review
10096573	6	6	0		human|nfkb1|cxcl1;human|rela|cxcl1;mouse|nfkb1|cxcl1;mouse|nfkb1|cxcl2;mouse|rela|cxcl1;mouse|rela|cxcl2	false	reference_reuse_review
10097091	2	2	0		human|esr1|pgr;mouse|esr1|pgr	false	reference_reuse_review
10097133	2	2	0		human|stat4|ifng;mouse|\N|ifng	false	reference_reuse_review
10098501	15	15	0		human|ar|klk3;mouse|ar|klk1;mouse|ar|klk1b1;mouse|ar|klk1b11;mouse|ar|klk1b16;mouse|ar|klk1b21;mouse|ar|klk1b22;mouse|ar|klk1b24;mouse|ar|klk1b26;mouse|ar|klk1b27;mouse|ar|klk1b3;mouse|ar|klk1b4;mouse|ar|klk1b5;mouse|ar|klk1b8;mouse|ar|klk1b9	false	reference_reuse_review
10098510	2	2	0		human|jun|nr3c1;mouse|jun|nr3c1	false	reference_reuse_review
10098511	2	2	0		human|nr0b1|nr5a1;mouse|nr0b1|nr5a1	false	reference_reuse_review
10098601	2	2	0		human|nr5a1|cyp17a1;mouse|nr5a1|cyp17a1	false	reference_reuse_review
10098607	2	3	0		mouse|sp1|rac2;mouse|sp3|rac2	false	reference_reuse_review
10098744	2	2	0		human|tp53|pcna;mouse|tp53|pcna	false	reference_reuse_review
10098875	0	0	1	20B		true	reference_reuse_review
10099828	2	2	0		human|e2f1|pcna;mouse|e2f1|pcna	false	reference_reuse_review
10099830	6	6	0		human|tp53|cdkn1a;human|tp53|gadd45a;human|tp53|mdm2;mouse|tp53|cdkn1a;mouse|tp53|gadd45a;mouse|tp53|mdm2	false	reference_reuse_review
1010020	0	0	1	20B		true	reference_reuse_review
10100719	2	2	0		human|tp53|cdkn1a;mouse|tp53|cdkn1a	false	reference_reuse_review
10100870	2	2	0		human|myc|ldha;mouse|myc|ldha	false	reference_reuse_review
10100997	2	2	0		human|esr1|nos3;mouse|esr1|nos3	false	reference_reuse_review
