boundary_id	source_a_evidence_id	source_a_edge_ids	boundary_type	source_locator	species_support	source_scope	summary	limitations
M23B-BOUNDARY-000129	M23A-B008-NE-003		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; queue_ids:M23A-Q0358,M23A-Q0359,M23A-Q0360,M23A-Q0361,M23A-Q0366,M23A-Q0367	unresolved	negative_evidence	No positive chain-specific LAMC1-CD44/DAG1/integrin edge retained; known contacts map to alpha chains or assembled isoforms.	Do not assign assembled laminin evidence to isolated LAMC1.
M23B-BOUNDARY-000130	M23A-B008-NE-004		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; queue_ids:M23A-Q0368,M23A-Q0369,M23A-Q0370,M23A-Q0376,M23A-Q0377	unresolved	negative_evidence	Laminin-332/CD44 recruitment maps to alpha3-derived G45; gamma2 is a trimer component.	Do not assign assembled laminin evidence to isolated LAMC2.
M23B-BOUNDARY-000131	M23A-B008-NE-005		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; PMID:16413178; queue_id:M23A-Q0375	unresolved	negative_evidence	Tested alpha7beta1 variants did not bind laminin-332.	Do not transfer other laminin isoform binding.
M23B-BOUNDARY-000132	M23A-B008-NE-006		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; queue_ids:M23A-Q0378,M23A-Q0379	unresolved	negative_evidence	No primary assay established CD44 or DAG1 binding by isolated gamma3 chain or defined gamma3-containing laminin.	Do not infer from other gamma-chain complexes.
M23B-BOUNDARY-000133	M23A-B008-NE-007		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; DOI:10.1074/jbc.M803553200; queue_ids:M23A-Q0380-M23A-Q0387	unresolved	negative_evidence	Gamma3-containing laminin E8 fragments lacked integrin-binding activity; conserved gamma1/gamma2 C-terminal Glu restored activity.	Do not promote gamma3 integrin pairs.
M23B-BOUNDARY-000134	M23A-B008-NE-008		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; queue_ids:M23A-Q0397,M23A-Q0399,M23A-Q0400	unresolved	negative_evidence	No exact primary THBS2-alpha3beta1, THBS2-SDC1, or THBS2-SDC4 edge retained.	Do not transfer THBS1 receptor evidence to THBS2.
M23B-BOUNDARY-000162	M23A-B009-NE-001		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; queue_ids:M23A-Q0401,M23A-Q0402,M23A-Q0403,M23A-Q0404,M23A-Q0405	human; mouse; family boundary	negative_evidence	Generic THBS1/CD36 or TSP1/integrin evidence was not transferred to THBS3.	THBS3 intracellular trafficking/RGD work did not establish extracellular candidate receptor binding.
M23B-BOUNDARY-000163	M23A-B009-NE-002		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; queue_ids:M23A-Q0406,M23A-Q0407,M23A-Q0409,M23A-Q0410	human; mouse	negative_evidence	No exact THBS4-CD36, THBS4-alpha3beta1, THBS4-SDC1, or THBS4-SDC4 edge retained.	TSP1 family evidence was not transferred.
M23B-BOUNDARY-000164	M23A-B009-NE-003		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; queue_ids:M23A-Q0411,M23A-Q0416	human; rat	negative_evidence	TNC-alphaVbeta3 and TNC-SDC4 evidence did not validate alphaIIbbeta3 or SDC1.	Do not transfer alphaVbeta3 to alphaIIbbeta3 or SDC4 to SDC1.
M23B-BOUNDARY-000165	M23A-B009-NE-004		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; queue_ids:M23A-Q0418-M23A-Q0424	human; rodent	negative_evidence	No exact TNN alpha/beta integrin or syndecan complex was resolved.	Database annotations and generic neurite effects were not promoted.
M23B-BOUNDARY-000166	M23A-B009-NE-005		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; queue_ids:M23A-Q0425-M23A-Q0431	human; rat	negative_evidence	Generic beta1 evidence did not resolve alpha8beta1 or alpha9beta1; established contactin/neurofascin partners are outside queue.	Do not transfer generic beta1 evidence.
M23B-BOUNDARY-000167	M23A-B009-NE-006		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; queue_ids:M23A-Q0432-M23A-Q0433,M23A-Q0434,M23A-Q0436-M23A-Q0438	bovine; human	negative_evidence	AlphaVbeta3 fragment evidence was retained separately; no exact alphaIIbbeta3, alpha8beta1, alpha9beta1, alphaVbeta6, SDC1, or SDC4 edge.	Generic beta1/HSPG interactions were not transferred.
M23B-BOUNDARY-000218	M23A-B010-NE-001		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; queue_ids:M23A-Q0452,M23A-Q0453,M23A-Q0454,M23A-Q0455	unresolved	negative_evidence	Exact subtype binding and receptor-exclusive relay were not independently resolved.	Do not convert shared receptor-context function into subtype-specific binding.
M23B-BOUNDARY-000219	M23A-B010-NE-002		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; queue_ids:M23A-Q0459,M23A-Q0460,M23A-Q0471,M23A-Q0472,M23A-Q0474,M23A-Q0476,M23A-Q0477,M23A-Q0488,M23A-Q0489,M23A-Q0494,M23A-Q0495,M23A-Q0500	unresolved	negative_evidence	Evidence is retained at alpha/beta heterodimer, receptor complex, or processed-domain resolution.	Do not export free ITGB1/ITGB3/ITGB5 or full-length ligand edges.
M23B-BOUNDARY-000220	M23A-B010-NE-003		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; queue_ids:M23A-Q0473,M23A-Q0485,M23A-Q0491,M23A-Q0498	unresolved	negative_evidence	Functional or crosstalk evidence was not promoted to direct binding.	Canonical receptors and downstream scaffolds remain distinct.
M23B-BOUNDARY-000221	M23A-B010-NE-004		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; queue_ids:M23A-Q0457,M23A-Q0462,M23A-Q0479,M23A-Q0480,M23A-Q0492,M23A-Q0496	unresolved	negative_evidence	Complex association and perturbation support relay but not purified molecular affinity.	Keep receptor-proximal evidence separate from direct binding.
M23B-BOUNDARY-000222	M23A-B010-NE-005		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; queue_ids:M23A-Q0474,M23A-Q0475,M23A-Q0476,M23A-Q0477,M23A-Q0478,M23A-Q0480,M23A-Q0493,M23A-Q0494,M23A-Q0495,M23A-Q0500	unresolved	negative_evidence	Endostatin, canstatin, tumstatin, DPP, HepII, irisin, and endorepellin are retained as processed ligands/domains where appropriate.	Do not substitute full-length precursor biology.
M23B-BOUNDARY-000223	M23A-B010-NE-006		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; queue_ids:M23A-Q0451-M23A-Q0500	unresolved	negative_evidence	Except the SCI functional component of CCL28/CCR10, B010 anchors are non-SCI or comparator models.	Do not promote non-SCI evidence as SCI-specific without separate validation.
M23B-BOUNDARY-000256	M23A-B014-EVID-033		no_evidence_boundary		unresolved	negative_evidence	No qualifying exact EphB-ephrin-A4 primary evidence was located; do not transfer EphA-class binding to EphB receptors.	Grouped boundary: M23A-Q0651; M23A-Q0655; M23A-Q0658; M23A-Q0661.
M23B-BOUNDARY-000257	M23A-B014-EVID-034		no_evidence_boundary		mouse; chick; recombinant	negative_evidence	Retain family-level context only; do not promote exact pair directionality or binding.	Grouped boundary: M23A-Q0654; M23A-Q0657; M23A-Q0659.
M23B-BOUNDARY-000258	M23A-B014-EVID-035		no_evidence_boundary		mouse; recombinant	negative_evidence	Retain the separate activation-only row M23A-B014-EVID-004; do not call direct binding established.	Grouped boundary: M23A-Q0662.
M23B-BOUNDARY-000259	M23A-B014-EVID-036		no_evidence_boundary		mouse; recombinant	negative_evidence	No positive exact Sema3A-NRP2 or Sema3A-Plexin-A3 primary result was located in the targeted set.	Grouped boundary: M23A-Q0665; M23A-Q0668.
M23B-BOUNDARY-000260	M23A-B014-EVID-037		no_evidence_boundary		mouse; human comparator	negative_evidence	No positive Sema3D-Plexin-D1 evidence was located.	Grouped boundary: M23A-Q0673.
M23B-BOUNDARY-000261	M23A-B014-EVID-038		no_evidence_boundary		mouse; recombinant	negative_evidence	No positive exact Sema4A-Plexin-B3 primary evidence was located.	Grouped boundary: M23A-Q0683.
M23B-BOUNDARY-000262	M23A-B014-EVID-039		no_evidence_boundary		mouse	negative_evidence	Do not promote downstream-only SCI anchor evidence to binding/activation or receptor-proximal relay.	Grouped boundary: M23A-Q0694; M23A-Q0695; M23A-Q0696; M23A-Q0697; M23A-Q0698; M23A-Q0699.
M23B-BOUNDARY-000263	M23A-B014-EVID-040		no_evidence_boundary		human; mouse comparator; recombinant	negative_evidence	No evidence supports isolated Col1a1 alpha-1-chain binding to isolated GP6; preserve collagen holoform and receptor-complex resolution.	Grouped boundary: M23A-Q0700.
M23B-BOUNDARY-000328	M23A-B011-EVID-065		no_evidence_boundary	PMID:1334487; PMID:11700022; PMID:10727510	human; hamster	negative_evidence	ADRA1B receptor pharmacology is supported.	No qualifying direct DBH/SLC18A1-to-ADRA1B sender edge; do not infer vesicular source from receptor assays.
M23B-BOUNDARY-000329	M23A-B011-EVID-066		no_evidence_boundary	PMID:9174358; PMID:16809338; PMID:22405824	human; mouse	negative_evidence	ADRA2A receptor pharmacology is supported.	No qualifying direct DBH/SLC18A1-to-ADRA2A sender edge.
M23B-BOUNDARY-000330	M23A-B011-EVID-067		no_evidence_boundary	PMID:17032647; PMID:11369767; PMID:14551227	human; mouse; rat	negative_evidence	ADRB3 receptor pharmacology is supported.	No qualifying direct DBH/SLC18A1-to-ADRB3 sender edge.
M23B-BOUNDARY-000331	M23A-B011-EVID-068		no_evidence_boundary	PMID:1334487; PMID:11700022; PMID:10727510	human; hamster	negative_evidence	ADRA1B receptor pharmacology is supported.	No qualifying direct SLC18A2-to-ADRA1B sender edge.
M23B-BOUNDARY-000332	M23A-B011-EVID-069		no_evidence_boundary	PMID:9174358; PMID:16809338; PMID:22405824	human; mouse	negative_evidence	ADRA2A receptor pharmacology is supported.	No qualifying direct SLC18A2-to-ADRA2A sender edge.
M23B-BOUNDARY-000333	M23A-B011-EVID-070		no_evidence_boundary	PMID:17032647; PMID:11369767; PMID:14551227	human; mouse; rat	negative_evidence	ADRB3 receptor pharmacology is supported.	No qualifying direct SLC18A2-to-ADRB3 sender edge.
M23B-BOUNDARY-000334	M23A-B011-EVID-071		no_evidence_boundary	PMID:1334487; PMID:11700022; PMID:10727510	human; hamster	negative_evidence	ADRA1B receptor pharmacology is supported.	No qualifying direct SLC6A2-to-ADRA1B sender edge.
M23B-BOUNDARY-000335	M23A-B011-EVID-072		no_evidence_boundary	PMID:9174358; PMID:16809338; PMID:22405824	human; mouse	negative_evidence	ADRA2A receptor pharmacology is supported.	No qualifying direct SLC6A2-to-ADRA2A sender edge.
M23B-BOUNDARY-000419	M23A-B012-EVID-084		no_evidence_boundary	local:work/module23a/module23a_extraction_queue.tsv; PMID:22568954; PMCID:PMC3499309; PMCID:PMC6782661	unresolved	negative_evidence	No exact-pair evidence promoted for EFNA1-EPHA3 within the audited sources.	Search boundary only; cross-class Eph/ephrin evidence does not establish this exact pair.
M23B-BOUNDARY-000425	M23A-B012-EVID-090		no_evidence_boundary	PMCID:PMC6782661; PMID:10366629	rat	negative_evidence	No native exact-pair evidence was promoted for EFNA1-EPHA6 in the audited sources.	Search boundary only; binding-survey evidence remains separate and low confidence.
M23B-BOUNDARY-000427	M23A-B012-EVID-092		no_evidence_boundary	PMID:15107857; DOI:10.1038/nn1237	mouse; human comparator	negative_evidence	search boundary	Cross-class comparator only
M23B-BOUNDARY-000432	M23A-B012-EVID-097		no_evidence_boundary	PMCID:PMC6782661; PMID:10366629	rat	negative_evidence	No native exact-pair evidence was promoted for EFNA2-EPHA4 in the audited sources.	Search boundary only; related Eph/ephrin results do not establish this pair.
M23B-BOUNDARY-000465	M23A-B013-EVID-027		no_evidence_boundary	PMID:15107857; DOI:10.1038/nn1237	recombinant; neural model	negative_evidence	Ephrin-A5, not the queued ephrin-A2, was the reported EphB2 cross-class binding/activation exception.	No qualifying exact ephrin-A2/EphB2 primary evidence recovered; absence is bounded-search only.
M23B-BOUNDARY-000466	M23A-B013-EVID-028		no_evidence_boundary	PMID:15107857; DOI:10.1038/nn1237	recombinant; neural model	negative_evidence	No exact queued A4/B-receptor or A1/EphB2 primary pair was recovered in the bounded pass.	Family-level cross-class promiscuity is not transferable across ephrin-A ligands or EphB receptors.
M23B-BOUNDARY-000467	M23A-B013-EVID-029		no_evidence_boundary	PMID:10366629; PMCID:PMC6782661; DOI:10.1523/JNEUROSCI.19-12-04962.1999; PMID:15901737; DOI:10.1074/jbc.M504972200	rat; recombinant	negative_evidence	No qualifying exact primary evidence was recovered for the grouped unresolved A-class queue pairs.	Do not infer EphA3/A6 binding from family membership or from EphA3–ephrin-A5.
M23B-BOUNDARY-000468	M23A-B013-EVID-030		no_evidence_boundary	PMID:10366629; PMCID:PMC6782661; DOI:10.1523/JNEUROSCI.19-12-04962.1999	rat	negative_evidence	P03 reported ephrin-A4 binding EphA4 rather than EphA7 in the tested rat striatal context.	Negative evidence is assay- and context-bounded; it does not establish universal absence.
M23B-BOUNDARY-000469	M23A-B013-EVID-031		no_evidence_boundary	PMID:10515610	mouse	negative_evidence	Q0647 remains a search boundary because the targeted pass did not recover the cited exact primary EphA8–ephrin-A2 record.	Do not promote an abstract prior-literature assertion without the underlying primary assay.
M23B-BOUNDARY-000470	M23A-B013-EVID-032		no_evidence_boundary	PMID:25247423; PMCID:PMC4172438; DOI:10.1371/journal.pbio.1001955	Xenopus laevis	negative_evidence	No qualifying exact primary evidence was recovered for Q0620, Q0630, or Q0631.	Do not transfer activation patterns among EFNB1/2/3 or EphB1/2/3/4 without exact pair evidence.
M23B-BOUNDARY-000478	M23A-B016-NE-001		no_evidence_boundary	PMID:15034010; DOI:10.4049/jimmunol.172.7.3994; PMID:24658051	mouse; human	negative_evidence	No qualifying exact-primary receptor_proximal_relay record was promoted within the bounded pass for CD96–PVR/CD155; database or family-level assertions were not substituted.	Direct interaction and function are supported; a unique intracellular CD96 relay was not isolated.
M23B-BOUNDARY-000492	M23A-B016-NE-002		no_evidence_boundary	PMID:9531566; PMCID:PMC2132733; DOI:10.1083/jcb.141.1.287	rat; human comparator	negative_evidence	No qualifying exact-primary binding_or_activation record was promoted within the bounded pass for CDH1 cytoplasmic tail–PTPRM/PTPμ; database or family-level assertions were not substituted.	This is an intracellular adhesion-complex association, not extracellular ligand binding; no direct ligand layer.
M23B-BOUNDARY-000498	M23A-B016-NE-003		no_evidence_boundary	PMCID:PMC3030393; PMCID:PMC2136766	human; bovine	negative_evidence	No qualifying exact-primary binding_or_activation record was promoted within the bounded pass for CHAD–ITGA2:ITGB1 (α2β1); database or family-level assertions were not substituted.	Functional adhesion/relay is supported, but no purified full-length binary assay or SCI model.
M23B-BOUNDARY-000502	M23A-B016-NE-004		no_evidence_boundary	PMCID:PMC3434516	mouse; human comparator	negative_evidence	No qualifying exact-primary receptor_proximal_relay record was promoted within the bounded pass for CLDN2–CLDN2; database or family-level assertions were not substituted.	First extracellular-loop-dependent cell adhesion is functional; purified binding and intracellular relay were not isolated.
M23B-BOUNDARY-000508	M23A-B016-NE-005		no_evidence_boundary	PMID:9049255; PMCID:PMC2132488; PMID:11564762	chicken; mouse	negative_evidence	No qualifying exact-primary receptor_proximal_relay record was promoted within the bounded pass for CNTN1/F3–NRCAM with RPTPβ-associated complex; database or family-level assertions were not substituted.	Association is antibody-sensitive/complex-level; no purified binary affinity or unique NrCAM intracellular relay.
M23B-BOUNDARY-000519	M23A-B016-NE-006		no_evidence_boundary	PMID:11927001; DOI:10.1093/oxfordjournals.jbchem.a003142	human	negative_evidence	No qualifying exact-primary binding_or_activation record was promoted within the bounded pass for COL18A1/endostatin fragment–ITGA2:ITGB1 (α2β1); database or family-level assertions were not substituted.	Functional α2β1-dependent effect does not establish binary COL18A1–α2β1 binding; full-length versus cleaved ligand unresolved.
M23B-BOUNDARY-000520	M23A-B016-NE-007		no_evidence_boundary	PMID:11927001; DOI:10.1093/oxfordjournals.jbchem.a003142	human	negative_evidence	No qualifying exact-primary receptor_proximal_relay record was promoted within the bounded pass for COL18A1/endostatin fragment–ITGA2:ITGB1 (α2β1); database or family-level assertions were not substituted.	Functional α2β1-dependent effect does not establish binary COL18A1–α2β1 binding; full-length versus cleaved ligand unresolved.
M23B-BOUNDARY-000523	M23A-B016-NE-008		no_evidence_boundary	DOI:10.1016/S0021-9258(18)83273-2; PMID:11322762; DOI:10.1006/bbrc.2001.4718	human; mouse comparator	negative_evidence	No qualifying exact-primary receptor_proximal_relay record was promoted within the bounded pass for COL1A1/COL1A2 native collagen I–CD36; database or family-level assertions were not substituted.	Native collagen-I trimer, not isolated COL1A1; a unique CD36 intracellular kinase/TF relay was not assigned.
M23B-BOUNDARY-000532	M23A-B016-NE-009		no_evidence_boundary	PMID:11518510	human; mouse comparator	negative_evidence	No qualifying exact-primary receptor_proximal_relay record was promoted within the bounded pass for COL1A1/COL1A2 native collagen I–ITGA11:ITGB1 (α11β1); database or family-level assertions were not substituted.	Native collagen-I and engineered receptor context; detailed proximal adaptor chain not established.
M23B-BOUNDARY-000541	M23A-B016-NE-010		no_evidence_boundary	DOI:10.1016/S0021-9258(18)83273-2; PMID:11322762; DOI:10.1006/bbrc.2001.4718	human; mouse comparator	negative_evidence	No qualifying exact-primary receptor_proximal_relay record was promoted within the bounded pass for COL1A1/COL1A2 native collagen I–CD36; database or family-level assertions were not substituted.	Duplicate chain-alias of Q0768; central integration must not create a second molecular edge; isolated COL1A2 not tested.
M23B-BOUNDARY-000547	M23A-B016-NE-011		no_evidence_boundary	PMID:9685391	human; bovine comparator	negative_evidence	No qualifying exact-primary receptor_proximal_relay record was promoted within the bounded pass for COL2A1 native collagen II–ITGA10:ITGB1 (α10β1); database or family-level assertions were not substituted.	Native collagen-II and chondrocyte context; relay beyond adhesion is not resolved.
M23B-BOUNDARY-000550	M23A-B016-NE-012		no_evidence_boundary	PMID:7493650; PMID:10772239	human; mouse comparator	negative_evidence	No qualifying exact-primary receptor_proximal_relay record was promoted within the bounded pass for COL2A1 native collagen II–ITGA1:ITGB1 (α1β1); database or family-level assertions were not substituted.	Native collagen-II rather than free COL2A1; no unique downstream relay.
M23B-BOUNDARY-000553	M23A-B016-NE-013		no_evidence_boundary	PMID:7493650; PMID:7688313	human; mouse comparator	negative_evidence	No qualifying exact-primary receptor_proximal_relay record was promoted within the bounded pass for COL2A1 native collagen II–ITGA2:ITGB1 (α2β1); database or family-level assertions were not substituted.	Native fibril/heterotrimer and receptor presentation required; detailed relay not isolated.
M23B-BOUNDARY-000555	M23A-B016-NE-014		no_evidence_boundary	PMID:24480069; PMID:9699516	mouse; human comparator	negative_evidence	No qualifying exact-primary binding_or_activation record was promoted within the bounded pass for COL4A3/α3(IV) collagen–ITGA2:ITGB1 (α2β1); database or family-level assertions were not substituted.	Genetic/phenotypic interaction does not prove direct binding or linear receptor relay.
