node_id	canonical_name	node_type	node_subtype	gene_symbol	organism_scope	compartment	notes
NODE11151	5-HT7-CREB/SRE neuronal signaling and neurite-outgrowth program	signaling_effector					modules=22B; pathways=cell_state_program; label_variants=5-HT7-CREB/SRE neuronal signaling and neurite-outgrowth program; exportable_edge_count=1
NODE11152	5-HT7-associated PKA-CREB/SRE neuronal transcriptional program	signaling_effector					modules=22B; pathways=cell_state_program; label_variants=5-HT7-associated PKA-CREB/SRE neuronal transcriptional program; exportable_edge_count=1
NODE11153	5-LO products/LTB4/PGE2	signaling_effector					modules=24B; pathways=leukotriene/eicosanoid pharmacology; label_variants=5-LO products/LTB4/PGE2; exportable_edge_count=1
NODE11154	A-SAA/SAA2 context	ligand					modules=23B; pathways=SAA/SCARB1 -> receptor-dependent uptake and lipid handling, with IL-6/IL-8 and endothelial-adhesion inflammatory branch; label_variants=A-SAA/SAA2 context; exportable_edge_count=3
NODE11155	A2m	ligand		A2m			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=A2m; exportable_edge_count=1
NODE11156	ACVR1_ACVR2A	receptor					modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=ACVR1_ACVR2A; exportable_edge_count=2
NODE11157	ACVR1_ACVR2B	receptor					modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=ACVR1_ACVR2B; exportable_edge_count=2
NODE11158	ACVR1_BMPR2	receptor					modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=ACVR1_BMPR2; exportable_edge_count=2
NODE11159	ACVRL1_ACVR2A	receptor					modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=ACVRL1_ACVR2A; exportable_edge_count=1
NODE11160	ACVRL1_BMPR2	receptor					modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=ACVRL1_BMPR2; exportable_edge_count=1
NODE11161	AChR clustering/NMJ organization	signaling_effector					modules=23B; pathways=agrin-integrin synaptic function; label_variants=AChR clustering/NMJ organization; exportable_edge_count=1
NODE11162	ADAM10	ligand		ADAM10			modules=23B; pathways=ADAM10-CADM1 shedding;ADAM10-CADM1 shedding-adhesion;ADAM10-CD44 shedding;ADAM10-CD44 shedding output;ADAM10-NrCAM function;ADAM10-NrCAM processing;TspanC8-ADAM10 scissor complex; label_variants=ADAM10; exportable_edge_count=7
NODE11163	ADAM10 substrate shedding	signaling_effector					modules=23B; pathways=Tspan15-ADAM10 substrate selection; label_variants=ADAM10 substrate shedding; exportable_edge_count=1
NODE11164	ADAM12 cysteine-rich domain	ligand					modules=23B; pathways=ADAM12-SDC4 proteoglycan association; label_variants=ADAM12 cysteine-rich domain; exportable_edge_count=1
NODE11165	ADAM15	signaling_effector					modules=23B; pathways=ADAM15-alpha5beta1-ERK motility; label_variants=ADAM15; exportable_edge_count=1
NODE11166	ADAM22-containing complex	signaling_effector					modules=23B; pathways=LGI3-ADAM22 signaling; label_variants=ADAM22-containing complex; exportable_edge_count=1
NODE11167	ADAMTS1 -> VCAN V1 proteolysis or VCAN G3 -> EGFR transactivation -> ERK, anoikis resistance, migration and invasion	signaling_effector					modules=22B; pathways=phenotype; label_variants=ADAMTS1 -> VCAN V1 proteolysis or VCAN G3 -> EGFR transactivation -> ERK, anoikis resistance, migration and invasion; exportable_edge_count=1
NODE11168	ADCYAP1R1/PAC1	receptor					modules=23B; pathways=PACAP receptor activation;VIP-PAC1-Gs-cAMP; label_variants=ADCYAP1R1/PAC1; exportable_edge_count=2
NODE11169	ADCYAP1R1/PAC1-PLC/PKC/Src-ERK relay	signaling_effector					modules=23B; pathways=PAC1 intracellular signaling; label_variants=ADCYAP1R1/PAC1-PLC/PKC/Src-ERK relay; exportable_edge_count=1
NODE11170	ADGRB1	receptor		ADGRB1			modules=23B; pathways=RTN4R-ADGRB1/BAI1 adhesion-GPCR axis -> dendritic arborization, axonal elongation, synapse formation, and network activity; label_variants=ADGRB1; exportable_edge_count=2
NODE11171	ADGRE5	receptor		ADGRE5			modules=23B; pathways=Thy-1–ADGRE5 adhesion and inflammatory leukocyte trafficking; label_variants=ADGRE5; exportable_edge_count=2
NODE11172	ADGRE5/CD97	ligand					modules=23B; pathways=ADGRE5-CD97-RGD-alphaVbeta3-adhesion/angiogenesis branch; label_variants=ADGRE5/CD97; exportable_edge_count=2
NODE11173	ADGRG1/GPR56	receptor					modules=23B; pathways=TG2-ADGRG1 RhoA-ROCK-ADAM17-EGFR transactivation;collagen-III-ADGRG1 G-alpha12/13-RhoA cortical migration; label_variants=ADGRG1/GPR56; exportable_edge_count=6
NODE11174	ADGRG6/GPR126	receptor					modules=23B; pathways=GPR126 Gs–cAMP/PKA relay;GPR126–cAMP/PKA–Schwann-cell myelination;Laminin-211–ADGRG6 NTF/CTF adhesion-GPCR branch; label_variants=ADGRG6/GPR126; exportable_edge_count=3
NODE11175	ADGRL1/CIRL1	receptor					modules=23B; pathways=NRXN1 SS4-negative -> ADGRL1/CIRL1 transsynaptic adhesion -> synaptic cell-adhesion organization; GPCR signaling remains unresolved;NRXN2 SS4-negative -> ADGRL1/CIRL1 transsynaptic adhesion -> synaptic organization; no direct GPCR relay or terminal TF assigned; label_variants=ADGRL1/CIRL1; exportable_edge_count=4
NODE11176	ADGRL2/latrophilin-2	receptor					modules=23B; pathways=TENM3-ADGRL2 trans-cellular recognition and sensory maps; label_variants=ADGRL2/latrophilin-2; exportable_edge_count=2
NODE11177	ADIPOR1-APPL1-AMPK/ERK/eNOS relay	signaling_effector					modules=23B; pathways=adiponectin receptor signaling; label_variants=ADIPOR1-APPL1-AMPK/ERK/eNOS relay; exportable_edge_count=1
NODE11178	ADIPOR2-APPL1/AMPK-Src/Ras/ERK relay	signaling_effector					modules=23B; pathways=adiponectin receptor signaling; label_variants=ADIPOR2-APPL1/AMPK-Src/Ras/ERK relay; exportable_edge_count=1
NODE11179	AGER/RAGE	receptor					modules=24B; pathways=S100B-RAGE-Src/ERK/NFkB relay; label_variants=AGER/RAGE; exportable_edge_count=1
NODE11180	AGRN/C-terminal agrin	ligand					modules=23B; pathways=agrin-Na+/K+-ATPase tyrosine-phosphorylation and pump signaling; label_variants=AGRN/C-terminal agrin; exportable_edge_count=3
NODE11181	AGT/AngII	ligand					modules=23B; pathways=AngII GPCR activation; label_variants=AGT/AngII; exportable_edge_count=1
NODE11182	AGTR1B/AT1B	receptor					modules=23B; pathways=AngII GPCR activation; label_variants=AGTR1B/AT1B; exportable_edge_count=1
NODE11183	ALCAM-NRP1 trans-adhesion -> semaphorin-response modulation -> dopaminergic neurite outgrowth	signaling_effector					modules=22B; pathways=phenotype; label_variants=ALCAM-NRP1 trans-adhesion -> semaphorin-response modulation -> dopaminergic neurite outgrowth; exportable_edge_count=1
NODE11184	ALDH1A3-generated atRA-RARG craniofacial developmental program	signaling_effector					modules=22B; pathways=cell_state_program; label_variants=ALDH1A3-generated atRA-RARG craniofacial developmental program; exportable_edge_count=1
NODE11185	AMH-ACVR1/AMHR2-SMAD1/5/8 Müllerian-duct regression program	signaling_effector					modules=22B; pathways=cell_state_program; label_variants=AMH-ACVR1/AMHR2-SMAD1/5/8 Müllerian-duct regression program; exportable_edge_count=1
NODE11186	AMHR2_BMPR1A	receptor					modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=AMHR2_BMPR1A; exportable_edge_count=1
NODE11187	AMHR2_BMPR1B	receptor					modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=AMHR2_BMPR1B; exportable_edge_count=1
NODE11188	ANGPT1/angiopoietin-1	ligand					modules=23B; pathways=ANGPT1-Tie2 PI3K-AKT barrier and survival signaling; label_variants=ANGPT1/angiopoietin-1; exportable_edge_count=3
NODE11189	ANGPTL4-CDH11-beta-catenin-associated wound closure and scar-collagen suppression phenotype	signaling_effector					modules=22B; pathways=phenotype; label_variants=ANGPTL4-CDH11-beta-catenin-associated wound closure and scar-collagen suppression phenotype; exportable_edge_count=1
NODE11190	ANXA2 or exosomal ANXA2 -> TLR2/MyD88-associated inflammatory signaling -> IL1/IL6/IL8 and LCN2/mesothelial transition	signaling_effector					modules=22B; pathways=cell_state_program; label_variants=ANXA2 or exosomal ANXA2 -> TLR2/MyD88-associated inflammatory signaling -> IL1/IL6/IL8 and LCN2/mesothelial transition; exportable_edge_count=1
NODE11191	AP-1	signaling_effector					modules=22B; pathways=cell_state_program;phenotype; label_variants=AP-1; exportable_edge_count=4
NODE11192	APC maturation, cytokine secretion, and antigen cross-presentation	signaling_effector					modules=23B; pathways=Hsp70-LRP1/CD91 immune function;gp96-LRP1/CD91 immune function; label_variants=APC maturation, cytokine secretion, and antigen cross-presentation; exportable_edge_count=2
NODE11193	APOE receptor-binding domain / ApoE-containing lipoprotein	ligand					modules=23B; pathways=ApoE-LRP1 lipoprotein receptor recognition; label_variants=APOE receptor-binding domain / ApoE-containing lipoprotein; exportable_edge_count=1
NODE11194	APRIL binding to heparan-sulfate proteoglycans can present/oligomerize APRIL for TACI/BCMA; SDC2-specific intracellular relay is unresolved	signaling_effector					modules=22B; pathways=cell_state_program; label_variants=APRIL binding to heparan-sulfate proteoglycans can present/oligomerize APRIL for TACI/BCMA; SDC2-specific intracellular relay is unresolved; exportable_edge_count=1
NODE11195	APRIL/TNFSF13 -> BCMA/TNFRSF17-containing TNFR complex -> TRAF/NF-kB-associated survival programs in antibody-producing cells	signaling_effector					modules=22B; pathways=cell_state_program; label_variants=APRIL/TNFSF13 -> BCMA/TNFRSF17-containing TNFR complex -> TRAF/NF-kB-associated survival programs in antibody-producing cells; exportable_edge_count=1
NODE11196	APRIL/TNFSF13 -> TACI/TNFRSF13B -> TRAF/NF-kB-associated survival and activation programs in B cells	signaling_effector					modules=22B; pathways=cell_state_program; label_variants=APRIL/TNFSF13 -> TACI/TNFRSF13B -> TRAF/NF-kB-associated survival and activation programs in B cells; exportable_edge_count=1
NODE11197	AR	signaling_effector					modules=22B; pathways=cell_state_program; label_variants=AR; exportable_edge_count=1
NODE11198	ARTN-GFRA3/RET ERK immediate-early sensory-neuron program	signaling_effector					modules=22B; pathways=cell_state_program; label_variants=ARTN-GFRA3/RET ERK immediate-early sensory-neuron program; exportable_edge_count=1
NODE11199	ATF2	signaling_effector					modules=22B; pathways=cell_state_program; label_variants=ATF2; exportable_edge_count=1
NODE11200	ATF4/CREB2; ATFx	signaling_effector					modules=22B; pathways=cell_state_program; label_variants=ATF4/CREB2; ATFx; exportable_edge_count=2
NODE11201	ATF4/CREB2;CREB	signaling_effector					modules=22B; pathways=cell_state_program; label_variants=ATF4/CREB2;CREB; exportable_edge_count=1
NODE11202	ATP	signaling_effector					modules=24B; pathways=purinergic pain relay; label_variants=ATP; exportable_edge_count=1
NODE11203	ATP1A3-containing Na+/K+-ATPase complex	receptor					modules=23B; pathways=agrin-Na+/K+-ATPase tyrosine-phosphorylation and pump signaling; label_variants=ATP1A3-containing Na+/K+-ATPase complex; exportable_edge_count=3
NODE11204	AVPR1A-Gq/PLCbeta-IP3/Ca2+/PKC-Src/Ras/ERK	signaling_effector					modules=23B; pathways=vasopressin V1A signaling; label_variants=AVPR1A-Gq/PLCbeta-IP3/Ca2+/PKC-Src/Ras/ERK; exportable_edge_count=1
NODE11205	AVPR2-Gs/cAMP-PKA-beta-arrestin-Src-ERK	signaling_effector					modules=23B; pathways=vasopressin V2 signaling; label_variants=AVPR2-Gs/cAMP-PKA-beta-arrestin-Src-ERK; exportable_edge_count=1
NODE11206	AXIN1-GSK3B destruction complex	signaling_effector					modules=21B; pathways=WNT-beta-catenin; label_variants=AXIN1-GSK3B destruction complex; exportable_edge_count=1
NODE11207	Abca1	receptor		Abca1			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Abca1; exportable_edge_count=3
NODE11208	Ackr1	receptor		Ackr1			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Ackr1; exportable_edge_count=3
NODE11209	Ackr2	receptor		Ackr2			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Ackr2; exportable_edge_count=8
NODE11210	Ackr3	receptor		Ackr3			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Ackr3; exportable_edge_count=1
NODE11211	Ackr4	receptor		Ackr4			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Ackr4; exportable_edge_count=9
NODE11212	Activated alpha2M-LRP1-Src/Trk-ERK/Akt-CREB neural response program	signaling_effector					modules=22B; pathways=cell_state_program; label_variants=Activated alpha2M-LRP1-Src/Trk-ERK/Akt-CREB neural response program; exportable_edge_count=1
NODE11213	Activated alpha2M-LRP1-associated neurite outgrowth and Schwann-cell survival or migration phenotype	signaling_effector					modules=22B; pathways=phenotype; label_variants=Activated alpha2M-LRP1-associated neurite outgrowth and Schwann-cell survival or migration phenotype; exportable_edge_count=1
NODE11214	Actr2	receptor		Actr2			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Actr2; exportable_edge_count=4
NODE11215	Acvr1	receptor		Acvr1			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Acvr1; exportable_edge_count=1
NODE11216	Acvr1_Amhr2	receptor					modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Acvr1_Amhr2; exportable_edge_count=1
NODE11217	Acvr1_Tgfbr1_Tgfbr2	receptor					modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Acvr1_Tgfbr1_Tgfbr2; exportable_edge_count=1
NODE11218	Acvr1b_Acvr2a	receptor					modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Acvr1b_Acvr2a; exportable_edge_count=4
NODE11219	Acvr1b_Acvr2b	receptor					modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Acvr1b_Acvr2b; exportable_edge_count=3
NODE11220	Acvr1b_Acvr2b_Tdgf1	receptor					modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Acvr1b_Acvr2b_Tdgf1; exportable_edge_count=1
NODE11221	Acvr1c	receptor		Acvr1c			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Acvr1c; exportable_edge_count=1
NODE11222	Acvr1c_Acvr2a	receptor					modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Acvr1c_Acvr2a; exportable_edge_count=2
NODE11223	Acvr1c_Acvr2b	receptor					modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Acvr1c_Acvr2b; exportable_edge_count=2
NODE11224	Acvr2a_Acvrl1	receptor					modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Acvr2a_Acvrl1; exportable_edge_count=1
NODE11225	Acvr2a_Bmpr1a	receptor					modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Acvr2a_Bmpr1a; exportable_edge_count=3
NODE11226	Acvr2a_Bmpr1b	receptor					modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Acvr2a_Bmpr1b; exportable_edge_count=3
NODE11227	Acvr2b_Acvrl1	receptor					modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Acvr2b_Acvrl1; exportable_edge_count=1
NODE11228	Acvr2b_Bmpr1a	receptor					modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Acvr2b_Bmpr1a; exportable_edge_count=3
NODE11229	Acvr2b_Bmpr1b	receptor					modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Acvr2b_Bmpr1b; exportable_edge_count=3
NODE11230	Acvr2b_Tgfbr1	receptor					modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Acvr2b_Tgfbr1; exportable_edge_count=1
NODE11231	Acvrl1	receptor		Acvrl1			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Acvrl1; exportable_edge_count=1
NODE11232	Ada	ligand		Ada			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Ada; exportable_edge_count=1
NODE11233	Adam12	ligand		Adam12			modules=20B;23B; pathways=ADAM12-SDC4-PKCalpha-RhoA;ADAM12-alpha9beta1 adhesion;ADAM12-alpha9beta1-PI3K;module20a_frozen_ligand_receptor; label_variants=ADAM12; Adam12; exportable_edge_count=4
NODE11234	Adam17	ligand		Adam17			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Adam17; exportable_edge_count=1
NODE11235	Adam2	ligand		Adam2			modules=20B;23B; pathways=ADAM2-alpha6beta1-CD9 membrane adhesion;module20a_frozen_ligand_receptor; label_variants=ADAM2; Adam2; exportable_edge_count=4
NODE11236	Adam22	receptor		Adam22			modules=20B;23B; pathways=LGI1-ADAM22 synaptic MAGUK-Kv1/AMPA complex;module20a_frozen_ligand_receptor; label_variants=ADAM22; Adam22; exportable_edge_count=5
NODE11237	Adam23	receptor		Adam23			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Adam23; exportable_edge_count=4
NODE11238	Adam9	ligand		Adam9			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Adam9; exportable_edge_count=4
NODE11239	Adcyap1	ligand		Adcyap1			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Adcyap1; exportable_edge_count=3
NODE11240	Adcyap1r1	receptor		Adcyap1r1			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Adcyap1r1; exportable_edge_count=2
NODE11241	Adgrb3	receptor		Adgrb3			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Adgrb3; exportable_edge_count=4
NODE11242	Adgrl1	receptor		Adgrl1			modules=20B;23B; pathways=TENM2-ADGRL1 transsynaptic adhesion and synapse/axonal-guidance branch;module20a_frozen_ligand_receptor; label_variants=ADGRL1; Adgrl1; exportable_edge_count=5
NODE11243	Adgrl2	receptor		Adgrl2			modules=20B;23B; pathways=TENM2-ADGRL2 transsynaptic adhesion and perforant-path synapse-specification branch;module20a_frozen_ligand_receptor; label_variants=ADGRL2; Adgrl2; exportable_edge_count=3
NODE11244	Adgrl3	receptor		Adgrl3			modules=20B;23B; pathways=FLRT3 -> ADGRL3 adhesion-GPCR context -> G-protein/actin-associated synapse organization and excitatory connectivity;TENM2-ADGRL3 transsynaptic adhesion plus FLRT-coincident excitatory-synapse branch;module20a_frozen_ligand_receptor; label_variants=ADGRL3; Adgrl3; exportable_edge_count=5
NODE11245	Adipocyte differentiation, lipid accumulation, and obesity phenotype	signaling_effector					modules=22B; pathways=phenotype; label_variants=Adipocyte differentiation, lipid accumulation, and obesity phenotype; exportable_edge_count=1
NODE11246	Adipoq	ligand		Adipoq			modules=20B;23B; pathways=adiponectin receptor signaling;module20a_frozen_ligand_receptor; label_variants=ADIPOQ; Adipoq; exportable_edge_count=4
NODE11247	Adipor1	receptor		Adipor1			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Adipor1; exportable_edge_count=1
NODE11248	Adipor2	receptor		Adipor2			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Adipor2; exportable_edge_count=1
NODE11249	Adm	ligand		Adm			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Adm; exportable_edge_count=4
NODE11250	Adm2	ligand		Adm2			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Adm2; exportable_edge_count=4
NODE11251	Ado	ligand		Ado			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Ado; exportable_edge_count=4
NODE11252	Adora1	receptor		Adora1			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Adora1; exportable_edge_count=1
NODE11253	Adora2a	receptor		Adora2a			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Adora2a; exportable_edge_count=1
NODE11254	Adora2b	receptor		Adora2b			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Adora2b; exportable_edge_count=1
NODE11255	Adora3	receptor		Adora3			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Adora3; exportable_edge_count=1
NODE11256	Agrin-DAG1/LRP4-SOX9 articular-chondrocyte homeostasis and chondrogenic program	signaling_effector					modules=22B; pathways=cell_state_program; label_variants=Agrin-DAG1/LRP4-SOX9 articular-chondrocyte homeostasis and chondrogenic program; exportable_edge_count=1
NODE11257	Agrin-associated cartilage formation and articular-chondrocyte homeostasis phenotype	signaling_effector					modules=22B; pathways=phenotype; label_variants=Agrin-associated cartilage formation and articular-chondrocyte homeostasis phenotype; exportable_edge_count=1
NODE11258	Agrn	ligand		Agrn			modules=20B;23B; pathways=Agrin-dystroglycan adhesion;Agrin-dystroglycan synaptic function;agrin-alphaVbeta1 adhesion;agrin-integrin synaptic function;module20a_frozen_ligand_receptor; label_variants=AGRN; Agrn; exportable_edge_count=8
NODE11259	Agrp	ligand		Agrp			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Agrp; exportable_edge_count=2
NODE11260	Agtr2	receptor		Agtr2			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Agtr2; exportable_edge_count=1
NODE11261	Ahsg	ligand		Ahsg			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Ahsg; exportable_edge_count=1
NODE11262	Alb	ligand		Alb			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Alb; exportable_edge_count=2
NODE11263	Alcam	ligand		Alcam			modules=20B;23B; pathways=ALCAM-NRP1 trans-adhesion;ALCAM-NRP1-neural function;module20a_frozen_ligand_receptor; label_variants=ALCAM; Alcam; exportable_edge_count=4
NODE11264	Alk	receptor		Alk			modules=20B;23B; pathways=MDK-ALK PI3K/ERK-MAPK survival and angiogenic signaling;module20a_frozen_ligand_receptor; label_variants=ALK; Alk; exportable_edge_count=5
NODE11265	Alpha2-adrenergic CREB/cyclin D1 neuronal-differentiation program	signaling_effector					modules=22B; pathways=cell_state_program; label_variants=Alpha2-adrenergic CREB/cyclin D1 neuronal-differentiation program; exportable_edge_count=1
NODE11266	Ambn	ligand		Ambn			modules=20B;23B; pathways=ameloblast matrix adhesion;module20a_frozen_ligand_receptor; label_variants=AMBN; Ambn; exportable_edge_count=2
NODE11267	Amelx	ligand		Amelx			modules=20B;23B; pathways=amelogenin-CD63 endocytic output;amelogenin-CD63 trafficking;amelogenin-LAMP1 trafficking;amelogenin-LAMP2 trafficking;module20a_frozen_ligand_receptor; label_variants=AMELX; Amelx; exportable_edge_count=7
NODE11268	Amfr	receptor		Amfr			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Amfr; exportable_edge_count=1
NODE11269	Amh	ligand		Amh			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Amh; exportable_edge_count=3
NODE11270	Androgen-receptor transcriptional program; prostate-cancer proliferation	signaling_effector					modules=22B; pathways=cell_state_program; label_variants=Androgen-receptor transcriptional program; prostate-cancer proliferation; exportable_edge_count=1
NODE11271	Ang	ligand		Ang			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Ang; exportable_edge_count=2
NODE11272	Angpt1	ligand		Angpt1			modules=20B;23B; pathways=angiopoietin matrix crosstalk;angiopoietin neural adhesion;module20a_frozen_ligand_receptor; label_variants=ANGPT1; Angpt1; exportable_edge_count=5
NODE11273	Angpt2	ligand		Angpt2			modules=20B;23B; pathways=angiopoietin Tie2 signaling;angiopoietin integrin engagement;module20a_frozen_ligand_receptor; label_variants=ANGPT2; Angpt2; exportable_edge_count=5
NODE11274	Angpt4	ligand		Angpt4			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Angpt4; exportable_edge_count=2
NODE11275	Angptl1	ligand		Angptl1			modules=20B;23B; pathways=ANGPTL1 integrin inhibition;module20a_frozen_ligand_receptor; label_variants=ANGPTL1; Angptl1; exportable_edge_count=2
NODE11276	Angptl2	ligand		Angptl2			modules=20B;23B;24B; pathways=ANGPTL2-TLR4-associated inflammatory branch;ANGPTL2-alpha5beta1 function;ANGPTL2-alpha5beta1 signaling;module20a_frozen_ligand_receptor; label_variants=ANGPTL2; Angptl2; exportable_edge_count=5
NODE11277	Angptl3	ligand		Angptl3			modules=20B;23B; pathways=ANGPTL3 integrin engagement;ANGPTL3-alpha5 vascular function;module20a_frozen_ligand_receptor; label_variants=ANGPTL3; Angptl3; exportable_edge_count=4
NODE11278	Angptl4	ligand		Angptl4			modules=20B;23B; pathways=ANGPTL4 integrin engagement;module20a_frozen_ligand_receptor; label_variants=ANGPTL4; Angptl4; exportable_edge_count=6
NODE11279	AnnexinA2-Mac1 complex	signaling_effector					modules=23B; pathways= tPA-Mac1 receptor-complex relay; label_variants=AnnexinA2-Mac1 complex; exportable_edge_count=1
NODE11280	Anxa1	ligand		Anxa1			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Anxa1; exportable_edge_count=1
NODE11281	Anxa2	ligand		Anxa2			modules=20B;23B;24B; pathways=ANXA2-ROBO4-ARF6 barrier function;ANXA2-ROBO4-paxillin complex;ANXA2-TLR2 dendritic inflammatory relay;module20a_frozen_ligand_receptor; label_variants=ANXA2; Anxa2; exportable_edge_count=4
NODE11282	Apln	ligand		Apln			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Apln; exportable_edge_count=1
NODE11283	Aplnr	receptor		Aplnr			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Aplnr; exportable_edge_count=1
NODE11284	Aplp1	receptor		Aplp1			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Aplp1; exportable_edge_count=1
NODE11285	Aplp2	receptor		Aplp2			modules=20B; pathways=module20a_frozen_ligand_receptor; label_variants=Aplp2; exportable_edge_count=1
