contributor_key	raw_source_label	source_family	aggregation_layer	source_url	provenance_status	independent_snapshot	reported_by	reported_record_count	reported_tf_species_count	reported_pair_count	notes
GOA|CollecTRI2	GOA_CollecTRI2	GOA	CollecTRI2	https://omnipathdb.org/	reported_by_aggregator	false	OmniPath_DoRothEA	344		344	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
HOCOMOCO|DoRothEA	HOCOMOCO_DoRothEA	HOCOMOCO	DoRothEA	https://hocomoco11.autosome.org/	reported_by_aggregator	false	OmniPath_DoRothEA	2760		2760	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
HTRIdb|CollecTRI2	HTRIdb_CollecTRI2	HTRIdb	CollecTRI2	https://htriadb.ugent.be/	reported_by_aggregator	false	OmniPath_DoRothEA	2892		2892	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
HTRIdb|DoRothEA	HTRIdb_DoRothEA	HTRIdb	DoRothEA	https://htriadb.ugent.be/	reported_by_aggregator	false	OmniPath_DoRothEA	2876		2876	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
HTRIdb|direct_or_unqualified	HTRIdb	HTRIdb	direct_or_unqualified	https://htriadb.ugent.be/	reported_by_aggregator	false	OmniPath_DoRothEA	3654		3654	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
HTRI|CollecTRI	HTRI_CollecTRI	HTRI	CollecTRI	https://omnipathdb.org/	reported_by_aggregator	false	OmniPath_DoRothEA	2879		2879	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
IntAct|CollecTRI	IntAct_CollecTRI	IntAct	CollecTRI	https://www.ebi.ac.uk/intact/	reported_by_aggregator	false	OmniPath_DoRothEA	123		123	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
IntAct|CollecTRI2	IntAct_CollecTRI2	IntAct	CollecTRI2	https://www.ebi.ac.uk/intact/	reported_by_aggregator	false	OmniPath_DoRothEA	129		129	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
IntAct|DoRothEA	IntAct_DoRothEA	IntAct	DoRothEA	https://www.ebi.ac.uk/intact/	reported_by_aggregator	false	OmniPath_DoRothEA	647		647	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
JASPAR|DoRothEA	JASPAR_DoRothEA	JASPAR	DoRothEA	https://jaspar2026.elixir.no/	reported_by_aggregator	false	OmniPath_DoRothEA	2408		2408	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
KEGG-MEDICUS|direct_or_unqualified	KEGG-MEDICUS	KEGG-MEDICUS	direct_or_unqualified	https://www.kegg.jp/kegg/medicus/	reported_by_aggregator	false	OmniPath_DoRothEA	165		165	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
NFIRegulomeDB|DoRothEA	NFIRegulomeDB_DoRothEA	NFIRegulomeDB	DoRothEA	https://omnipathdb.org/	reported_by_aggregator	false	OmniPath_DoRothEA	51		51	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
NTNU.Curated|CollecTRI	NTNU.Curated_CollecTRI	NTNU.Curated	CollecTRI	https://omnipathdb.org/	reported_by_aggregator	false	OmniPath_DoRothEA	3093		3093	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
NTNUcuration|CollecTRI2	NTNUcuration_CollecTRI2	NTNUcuration	CollecTRI2	https://omnipathdb.org/	reported_by_aggregator	false	OmniPath_DoRothEA	3589		3589	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
ORegAnno|DoRothEA	ORegAnno_DoRothEA	ORegAnno	DoRothEA	https://www.oreganno.org/	reported_by_aggregator	false	OmniPath_DoRothEA	652		652	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
ORegAnno|direct_or_unqualified	ORegAnno	ORegAnno	direct_or_unqualified	https://www.oreganno.org/	reported_by_aggregator	false	OmniPath_DoRothEA	423		423	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
PAZAR|DoRothEA	PAZAR_DoRothEA	PAZAR	DoRothEA	https://pazar.info/	reported_by_aggregator	false	OmniPath_DoRothEA	19927		19927	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
PAZAR|direct_or_unqualified	PAZAR	PAZAR	direct_or_unqualified	https://pazar.info/	reported_by_aggregator	false	OmniPath_DoRothEA	1201		1201	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
Pavlidis2021|CollecTRI	Pavlidis2021_CollecTRI	Pavlidis2021	CollecTRI	https://omnipathdb.org/	reported_by_aggregator	false	OmniPath_DoRothEA	387		387	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
Pavlidis|CollecTRI2	Pavlidis_CollecTRI2	Pavlidis	CollecTRI2	https://omnipathdb.org/	reported_by_aggregator	false	OmniPath_DoRothEA	390		390	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
ReMap|DoRothEA	ReMap_DoRothEA	ReMap	DoRothEA	https://remap.univ-amu.fr/	reported_by_aggregator	false	OmniPath_DoRothEA	17879		17879	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
RegNetwork|DoRothEA	RegNetwork_DoRothEA	RegNetwork	DoRothEA	https://regnetworkweb.org/	reported_by_aggregator	false	OmniPath_DoRothEA	5677		5677	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
SIGNOR|CollecTRI	SIGNOR_CollecTRI	SIGNOR	CollecTRI	https://signor.uniroma2.it/	reported_by_aggregator	false	OmniPath_DoRothEA	1322		1322	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
SIGNOR|CollecTRI2	SIGNOR_CollecTRI2	SIGNOR	CollecTRI2	https://signor.uniroma2.it/	reported_by_aggregator	false	OmniPath_DoRothEA	1343		1343	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
SIGNOR|direct_or_unqualified	SIGNOR	SIGNOR	direct_or_unqualified	https://signor.uniroma2.it/	reported_by_aggregator	false	OmniPath_DoRothEA	393		393	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
TFactS|CollecTRI	TFactS_CollecTRI	TFactS	CollecTRI	https://www.tfacts.org/	reported_by_aggregator	false	OmniPath_DoRothEA	2381		2381	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
TFactS|DoRothEA	TFactS_DoRothEA	TFactS	DoRothEA	https://www.tfacts.org/	reported_by_aggregator	false	OmniPath_DoRothEA	1956		1956	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
TFe|DoRothEA	TFe_DoRothEA	TFe	DoRothEA	https://omnipathdb.org/	reported_by_aggregator	false	OmniPath_DoRothEA	1040		1040	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
TRED|DoRothEA	TRED_DoRothEA	TRED	DoRothEA	https://rulai.cshl.edu/TRED/	reported_by_aggregator	false	OmniPath_DoRothEA	5677		5677	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
TRRD|DoRothEA	TRRD_DoRothEA	TRRD	DoRothEA	https://omnipathdb.org/	reported_by_aggregator	false	OmniPath_DoRothEA	304		304	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
TRRUST|CollecTRI	TRRUST_CollecTRI	TRRUST	CollecTRI	https://www.grnpedia.org/trrust/	reported_by_aggregator	false	OmniPath_DoRothEA	6835		6835	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
TRRUST|CollecTRI2	TRRUST_CollecTRI2	TRRUST	CollecTRI2	https://www.grnpedia.org/trrust/	reported_by_aggregator	false	OmniPath_DoRothEA	6836		6836	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
TRRUST|DoRothEA	TRRUST_DoRothEA	TRRUST	DoRothEA	https://www.grnpedia.org/trrust/	reported_by_aggregator	false	OmniPath_DoRothEA	6853		6853	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
TRRUST|direct_or_unqualified	TRRUST	TRRUST	direct_or_unqualified	https://www.grnpedia.org/trrust/	reported_by_aggregator	false	OmniPath_DoRothEA	23306		23306	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
TfactS|CollecTRI2	TfactS_CollecTRI2	TfactS	CollecTRI2	https://omnipathdb.org/	reported_by_aggregator	false	OmniPath_DoRothEA	4784		4784	This is a contributor label reported inside an OmniPath/DoRothEA record; it is not an independently retrieved snapshot in this expansion.
