species_scope	source_registry	source_version	source_record_id	raw_tf_symbol	normalized_tf_symbol	normalized_tf_symbol_key	tf_uniprot_id	target_count	source_locator	raw_record_sha256	provenance_status	notes
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000973:cdfdf9532605	AGO1	AGO1	ago1	Q9UL18	9777	https://tflink.net/download/#interaction-gmt	cdfdf95326052804f868723b48f7df76e679c7cb7cfd22b0414172740e5faf41	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:001089:4b57fca486e1	AGO2	AGO2	ago2	Q9UKV8	6467	https://tflink.net/download/#interaction-gmt	4b57fca486e14643a5040c329cc6d85deb4df041b721dee7bd30d2fe08e0a3ea	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000332:98ee57bbab96	AHR	AHR	ahr	P35869	12741	https://tflink.net/download/#interaction-gmt	98ee57bbab960d20d18486832cc43e8501cdc37384558001ef8c8e30323ec648	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:001370:776f07a2418e	AHRR	AHRR	ahrr	A9YTQ3	1136	https://tflink.net/download/#interaction-gmt	776f07a2418e0c45ba5788dff2950f29723137f8785fa7b726af8d8b253dc05d	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000489:c5d23966edde	AIP	AIP	aip	O00170	5	https://tflink.net/download/#interaction-gmt	c5d23966edde63df9978d9413372643112fc0cae95ff3c157443e3cbc8d14e54	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000801:2d2a7cecd5ee	AIRE	AIRE	aire	O43918	1	https://tflink.net/download/#interaction-gmt	2d2a7cecd5ee8482bc57a98ca239bb9cc0188f2fd438d271da9842ce2d34ade8	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:001152:9f8172f00b62	ALKBH3	ALKBH3	alkbh3	Q96Q83	389	https://tflink.net/download/#interaction-gmt	9f8172f00b621390a864814432e947421babfc66e4a1f36ad6fdf4f2219ded9e	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:001503:79be09e11084	ALX4	ALX4	alx4	Q9H161	25	https://tflink.net/download/#interaction-gmt	79be09e1108450dfd20052ba59ec643c4cddca9dcb3ebd09d2522ff4a678e611	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:001141:c74f4bea210d	AMH	AMH	amh	P03971	3953	https://tflink.net/download/#interaction-gmt	c74f4bea210d90212f08037e45dffc4f83a53302fef29fdb6e47a700b36e4138	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000712:93e709a57423	ANKRD1	ANKRD1	ankrd1	Q15327	1	https://tflink.net/download/#interaction-gmt	93e709a57423288b3a10956f6936e238f61c0abeca33551deb7f80411ad474a6	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000464:84522f7ea74c	APBB1	APBB1	apbb1	O00213	1	https://tflink.net/download/#interaction-gmt	84522f7ea74c569d01b7b594219e08730992bed3c32f18d11639ace98ac308de	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000377:4984ee945812	APC	APC	apc	P25054	3493	https://tflink.net/download/#interaction-gmt	4984ee945812034e925b52b48b4ae508eae369b93248f7fae38ba2d56dba2481	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000646:195b22985893	APEX1	APEX1	apex1	P27695	7	https://tflink.net/download/#interaction-gmt	195b229858936dd0fc6f9a6bd9203c93349259d6d823f694e8541a1210793aa5	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:001173:b55e2cac60a4	APOBEC3B	APOBEC3B	apobec3b	Q9UH17	4356	https://tflink.net/download/#interaction-gmt	b55e2cac60a407fba88abae81c94aa6e12ec2c126390d41d29fc0f7d02f2740e	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000014:4921f61af7e1	AR	AR	ar	P10275	18156	https://tflink.net/download/#interaction-gmt	4921f61af7e1b15f8ffe3ed927ab11c129b598be01b17b2ae94b38054c24e0ab	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000591:dac37f947c87	ARHGAP35	ARHGAP35	arhgap35	Q9NRY4	93	https://tflink.net/download/#interaction-gmt	dac37f947c87bcc7800ff30d0938164dea90b4f35d9b9ffcb0fd400c76b62c3a	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000723:c6b4f61207b5	ARID1A	ARID1A	arid1a	O14497	8578	https://tflink.net/download/#interaction-gmt	c6b4f61207b51cb545451eddd458324fd59b6d1840a2fcd31c9c0a82cede8950	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000814:a037cf0a45f5	ARID1B	ARID1B	arid1b	Q8NFD5	5756	https://tflink.net/download/#interaction-gmt	a037cf0a45f531a8eb43dd612994af57ce6b82d0486098f9530674f849f8e467	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000875:6818695fb4ed	ARID2	ARID2	arid2	Q68CP9	13776	https://tflink.net/download/#interaction-gmt	6818695fb4ed6d7919eed137c184776d1608628f3d93b3c8ac0f6774987950d5	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000382:ce099e508953	ARID3A	ARID3A	arid3a	Q99856	8970	https://tflink.net/download/#interaction-gmt	ce099e508953b1dff85cd1bca745e8c4bbea8331f522965f8cb8b766a23136d1	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:001409:3efaa2dd8579	ARID3B	ARID3B	arid3b	Q8IVW6	126	https://tflink.net/download/#interaction-gmt	3efaa2dd85799eba2754bf2b9bb9c2cb95a095c6e03da8cf31600cc3d07327bb	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:001002:3f8047a75b6d	ARID4B	ARID4B	arid4b	Q4LE39	10175	https://tflink.net/download/#interaction-gmt	3f8047a75b6db78897a187cf265f9de83148d5afe2f74f88805a881a1cedfca4	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000927:d09d7df59474	ARID5B	ARID5B	arid5b	Q14865	810	https://tflink.net/download/#interaction-gmt	d09d7df59474165edb2b99b87709087f2c73628999251998ace1f0f264601468	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000064:6d4a6d36fff8	ARNT	ARNT	arnt	P27540	14956	https://tflink.net/download/#interaction-gmt	6d4a6d36fff8245211f9a2aaf6127c9579a3e48864ce6caa6696d00b334f2c05	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:001023:845ff74557b8	ARNT2	ARNT2	arnt2	Q9HBZ2	601	https://tflink.net/download/#interaction-gmt	845ff74557b8f8c2ab7f0f0fbb8745aaddbb2af7bea8a99fc9dd2fcb20b35925	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000277:ef5caaac9508	ARNTL	ARNTL	arntl	O00327	4921	https://tflink.net/download/#interaction-gmt	ef5caaac9508cbb38c18bd0a7326c8ea0eec1acf4eed8db53cb55d84c6eadaf0	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000691:1f397b97f03b	ARNTL2	ARNTL2	arntl2	Q8WYA1	1	https://tflink.net/download/#interaction-gmt	1f397b97f03bf3eaa1417913b8614a27ad18a063b622a4dfc89c138db5f3d3f9	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:001026:25230109f42a	ARRB1	ARRB1	arrb1	P49407	7007	https://tflink.net/download/#interaction-gmt	25230109f42ad89302bc2d9edf8d29e8395940a150056496493d4cb0671523a7	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000485:efcb41cd2602	ARX	ARX	arx	Q96QS3	4	https://tflink.net/download/#interaction-gmt	efcb41cd2602543a77e220929ee3a348d90bb621a127df99a3a25317c9cf5a1e	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000361:fdf13058ad40	ASCL1	ASCL1	ascl1	P50553	9896	https://tflink.net/download/#interaction-gmt	fdf13058ad40671c1584cb3ef768b464aee260dbdbe53a23e96f06fa97824d71	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:001045:0be97b935eac	ASCL2	ASCL2	ascl2	Q99929	7703	https://tflink.net/download/#interaction-gmt	0be97b935eace079da6ab5d760b43cbb697b4de87333473c7cb4073c046ebe24	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:001112:57bf41a345d1	ASF1A	ASF1A	asf1a	Q9Y294	3684	https://tflink.net/download/#interaction-gmt	57bf41a345d1eee4a78b9f94a8bda7d0b100ade503a863a2af210ef91e0e2c6a	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000621:28309806c769	ASH1L	ASH1L	ash1l	Q9NR48	1290	https://tflink.net/download/#interaction-gmt	28309806c7697557748f3f7c1397030848fa0a6500ae61ef90c327e120646a28	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000901:b0093a09c886	ASH2L	ASH2L	ash2l	Q9UBL3	9373	https://tflink.net/download/#interaction-gmt	b0093a09c886da4ff632c6f2955593a6f00da6ded3460d80b5e25f8b3ccbf361	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000609:ad5c2a7d7463	ASXL1	ASXL1	asxl1	Q8IXJ9	3952	https://tflink.net/download/#interaction-gmt	ad5c2a7d7463de299e04d6fcd4a9a34b44c35b8d6310b9d03c729c73df0f7e53	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:001501:b7ad8c727dfc	ASXL2	ASXL2	asxl2	Q76L83	42	https://tflink.net/download/#interaction-gmt	b7ad8c727dfc9f31e10d501d708ee6eeb96033fdad9ee24c8d03a3664c3a6cfb	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000008:de69419c8834	ATF1	ATF1	atf1	P18846	13134	https://tflink.net/download/#interaction-gmt	de69419c8834652d123ca5c674bcefa70f93562ea41d657af6ad3dd77452f5e7	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000030:719a57d3830c	ATF2	ATF2	atf2	P15336	11422	https://tflink.net/download/#interaction-gmt	719a57d3830c9b5d2b4190bb724c04a1c3912af9c872cb5d1d10eab08bf0b094	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000148:c2c1d549a3d6	ATF3	ATF3	atf3	P18847	14652	https://tflink.net/download/#interaction-gmt	c2c1d549a3d69d8222be2ffe8ee41b76da40080fab1fa5113dcc7e8257d11486	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000201:f0b37a534ca2	ATF4	ATF4	atf4	P18848	3372	https://tflink.net/download/#interaction-gmt	f0b37a534ca217cdcd08d7b19003eff650904fc2f5de6da9e4df8f9c40cc308b	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000568:fc2fbb90b236	ATF5	ATF5	atf5	Q9Y2D1	401	https://tflink.net/download/#interaction-gmt	fc2fbb90b236180c9a1de69f94bd5917eb3a6c2e3a3a3e1a7ebcb1fa247578cb	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000095:50d9d2bf6757	ATF6	ATF6	atf6	P18850	953	https://tflink.net/download/#interaction-gmt	50d9d2bf6757482aad5dbee9e71838756909f4f35fb5c8c78c91ad1a77c29d1e	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000655:e64200ce72cc	ATF7	ATF7	atf7	P17544	11745	https://tflink.net/download/#interaction-gmt	e64200ce72cc26d5024c9446702333108119089ac3f74c1745c8d9c3badd9a64	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:001211:8402a3af6ffe	ATF7IP	ATF7IP	atf7ip	Q6VMQ6	4131	https://tflink.net/download/#interaction-gmt	8402a3af6ffe1ff84f08cecb7038c8c776cb23fc9a7117945c2c78bc5ca1c2b9	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000383:4af83c5a22ef	ATM	ATM	atm	Q13315	38	https://tflink.net/download/#interaction-gmt	4af83c5a22ef046c864283208de22d03d0c5075647de0dcdd707913c88519b96	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000560:09e5753e7ed8	ATOH1	ATOH1	atoh1	Q92858	211	https://tflink.net/download/#interaction-gmt	09e5753e7ed80729abde8f93a423863e786f73b07a495e9765cb80e2040ca1ba	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000579:be3a7ec5f17b	ATRX	ATRX	atrx	P46100	1587	https://tflink.net/download/#interaction-gmt	be3a7ec5f17b345f4f165bcb00548f5e2478e721783e7672cd7facb8d8f25ed3	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000446:898ee454ccc2	AURKAIP1	AURKAIP1	aurkaip1	Q9NWT8	5	https://tflink.net/download/#interaction-gmt	898ee454ccc26c401b7237374f2c3147fab588feb4c1b3e6249a4afd56add989	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:001085:d683502b6043	AUTS2	AUTS2	auts2	Q8WXX7	540	https://tflink.net/download/#interaction-gmt	d683502b6043a4db19a1ac4ca96698bc9b0d9bcd4c8630c62053f156852e394e	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000714:e155870bec68	BACH1	BACH1	bach1	O14867	7084	https://tflink.net/download/#interaction-gmt	e155870bec686c85b1f4eecca9befcbe7942508fdbe0912871cf13bef56de6dc	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000028:29ce3827c2b3	BACH2	BACH2	bach2	Q9BYV9	2460	https://tflink.net/download/#interaction-gmt	29ce3827c2b3ff6b9bc60884e71c9fcec4c6271d4c192bf6a25f02f190e33ddb	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:001140:ef97c5fef8dd	BAHD1	BAHD1	bahd1	Q8TBE0	58	https://tflink.net/download/#interaction-gmt	ef97c5fef8dd8a35ec8c048d5fbdd3509507ac5ef42ffc5e05c7ffd2c4315c3d	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:001291:f877500b30fd	BANP	BANP	banp	Q8N9N5	673	https://tflink.net/download/#interaction-gmt	f877500b30fd2cbecb3d2a4ef4ed425b003ad9eb1ad6350a6a5915f80c4593df	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:001189:89d4da24fd99	BAP1	BAP1	bap1	Q92560	3833	https://tflink.net/download/#interaction-gmt	89d4da24fd99a5962411f7a9d8ec9616cf829ed1959e077d20f4fc6c6472d353	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:001470:9bdcb0ac2d16	BAP18	BAP18	bap18	Q8IXM2	21	https://tflink.net/download/#interaction-gmt	9bdcb0ac2d16c05c7ad4f628b79f5d40a2d6a42c9f6c9556c521e8176b81c047	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000585:ebae8d5e59ba	BARD1	BARD1	bard1	Q99728	1	https://tflink.net/download/#interaction-gmt	ebae8d5e59bafc3e6ab26b765a2f691b65273abad3e066432614b1b6de500a63	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:001147:0f9ab8534625	BARHL1	BARHL1	barhl1	Q9BZE3	1136	https://tflink.net/download/#interaction-gmt	0f9ab8534625dcd1464be54fb1845c0cb9e5971a05e1150ee0ca914017077250	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:001381:b79bd74fcea5	BARX1	BARX1	barx1	Q9HBU1	1112	https://tflink.net/download/#interaction-gmt	b79bd74fcea57415879e3f5808f06e94289cacc0ed83baddc547a86b86d475e7	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000540:bfa8e603773e	BARX2	BARX2	barx2	Q9UMQ3	1675	https://tflink.net/download/#interaction-gmt	bfa8e603773ee99bbc4bdbb89d87afebd8a9e02a33e1a911cd9e2cecec9d63e0	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000789:e8d80ac66172	BATF	BATF	batf	Q16520	8259	https://tflink.net/download/#interaction-gmt	e8d80ac66172c3e42c608ecb51fab85fd7a9c8df8c371df430168b9860e16d56	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:001190:02d597cecd0f	BATF3	BATF3	batf3	Q9NR55	3094	https://tflink.net/download/#interaction-gmt	02d597cecd0f0bf0efbe5f1c68d5e0f8dc0203085f1617330b40bbe79bcfd3d5	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:001452:7b2dc1444549	BBX	BBX	bbx	Q8WY36	2	https://tflink.net/download/#interaction-gmt	7b2dc1444549d34ea3675637ea431a358f594e601dddcd0e722f54390dbb4c24	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:001229:09df732bafc0	BCHE	BCHE	bche	P06276	2787	https://tflink.net/download/#interaction-gmt	09df732bafc0c5086f0ee39eb87dc3760b337e7e9abe09337d1795f37e91cf07	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
human	TFLink	TFLink_v1.0_snapshot	tflink:human:000802:0d7502bc08b2	BCL11A	BCL11A	bcl11a	Q9H165	10189	https://tflink.net/download/#interaction-gmt	0d7502bc08b2405c80233e63dd9c013e9d874f62b0e24edc4f0cde2528a5d235	aggregated_gateway_record	GMT preserves TF identifiers and target membership counts but not the detailed source database, assay, or PMID per target; not pair-level corroboration.
