source_lane	source_register	source_record_id	locator_component	locator_class	reason
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000338	URL:https://pubmed.ncbi.nlm.nih.gov/?term=5-HT1E+CREB+transcription	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000338	URL:https://pubmed.ncbi.nlm.nih.gov/?term=5-HT1E+transcription+factor	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000339	URL:https://pubmed.ncbi.nlm.nih.gov/?term=5-HT1F+CREB+transcription	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000339	URL:https://pubmed.ncbi.nlm.nih.gov/?term=5-HT1F+transcription+factor	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000341	URL:https://pubmed.ncbi.nlm.nih.gov/?term=5-HT2B+CREB+transcription	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000343	URL:https://pubmed.ncbi.nlm.nih.gov/?term=5-HT3+CREB+transcription	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000343	URL:https://pubmed.ncbi.nlm.nih.gov/?term=5-HT3+transcription+factor	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000345	URL:https://pubmed.ncbi.nlm.nih.gov/?term=5-HT5A+CREB+transcription	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000345	URL:https://pubmed.ncbi.nlm.nih.gov/?term=5-HT5A+transcription+factor	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000347	URL:https://pubmed.ncbi.nlm.nih.gov/?term=TPH2+Htr1b+CREB	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000359	URL:https://pubmed.ncbi.nlm.nih.gov/?term=TPH2+Htr1b+CREB	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000360	URL:https://pubmed.ncbi.nlm.nih.gov/?term=5-HT1D+AP-1+transcription	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000360	URL:https://pubmed.ncbi.nlm.nih.gov/?term=5-HT1D+CREB+transcription	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000361	URL:https://pubmed.ncbi.nlm.nih.gov/?term=5-HT1E+CREB+transcription	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000361	URL:https://pubmed.ncbi.nlm.nih.gov/?term=5-HT1E+transcription+factor	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000362	URL:https://pubmed.ncbi.nlm.nih.gov/?term=5-HT1F+CREB+transcription	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000362	URL:https://pubmed.ncbi.nlm.nih.gov/?term=5-HT1F+transcription+factor	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000363	URL:https://pubmed.ncbi.nlm.nih.gov/?term=5-HT3+CREB+transcription	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000363	URL:https://pubmed.ncbi.nlm.nih.gov/?term=5-HT3+transcription+factor	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000364	URL:https://pubmed.ncbi.nlm.nih.gov/?term=5-HT5A+CREB+transcription	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000364	URL:https://pubmed.ncbi.nlm.nih.gov/?term=5-HT5A+transcription+factor	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000366	URL:https://pubmed.ncbi.nlm.nih.gov/?term=5-HT5A+CREB+transcription+factor	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000369	URL:https://pubmed.ncbi.nlm.nih.gov/?term=5alpha-dihydroprogesterone+progesterone+receptor+transcription+factor	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000372	URL:https://pubmed.ncbi.nlm.nih.gov/?term=acetylcholine+nicotinic+receptor+CREB+transcription+factor	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000375	URL:https://pubmed.ncbi.nlm.nih.gov/?term=CHRM2+OR+CHRM3+OR+CHRM4+OR+CHRM5+downstream+transcription+factor	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000376	URL:https://pubmed.ncbi.nlm.nih.gov/?term=nicotinic+acetylcholine+receptor+alpha3+beta4+OR+alpha4+beta2+transcription+factor	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000380	URL:https://pubmed.ncbi.nlm.nih.gov/?term=activin+A+ACVR1C+ACVR2A+OR+ACVR2B+SMAD+target+gene	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000381	URL:https://pubmed.ncbi.nlm.nih.gov/?term=adrenomedullin+CALCR+CALCRL+RAMP1+RAMP2+RAMP3+transcription+factor	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000382	URL:https://pubmed.ncbi.nlm.nih.gov/?term=adenosine+ADORA1+CREB+transcription+factor+target+gene	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000384	URL:https://pubmed.ncbi.nlm.nih.gov/?term=adenosine+ADORA3+CREB+transcription+factor+target+gene	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000388	URL:https://pubmed.ncbi.nlm.nih.gov/?term=adenosine+ADORA1+downstream+transcription+factor+target+gene	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000389	URL:https://pubmed.ncbi.nlm.nih.gov/?term=adenosine+ADORA3+downstream+transcription+factor+target+gene	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000391	URL:https://pubmed.ncbi.nlm.nih.gov/?term=ADRA1B+OR+ADRA1D+EGR1+OR+FOS+OR+JUN+OR+CREB+OR+AP-1+OR+NF-kB+transcription+factor+target+gene	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000398	URL:https://pubmed.ncbi.nlm.nih.gov/?term=epinephrine+ADRB2+transcription+factor+target+gene	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000399	URL:https://pubmed.ncbi.nlm.nih.gov/?term=epinephrine+ADRB3+transcription+factor+target+gene	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000400	URL:https://pubmed.ncbi.nlm.nih.gov/?term=angiotensin+II+AT1B+NF-kB+AP-1+target+gene	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000403	URL:https://pubmed.ncbi.nlm.nih.gov/?term=ANXA1+Fpr-rs3+OR+ANXA1+Fpr-rs4+OR+ANXA1+Fpr-rs6+OR+ANXA1+Fpr-rs7	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000406	URL:https://pubmed.ncbi.nlm.nih.gov/?term=ANXA1+FPR2+LXA4+transcription+factor	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000407	URL:https://pubmed.ncbi.nlm.nih.gov/?term=ANXA1+FPR3+transcription+factor+target+gene	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000408	URL:https://pubmed.ncbi.nlm.nih.gov/?term=APELA+APLNR+transcription+factor+target+gene	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000409	URL:https://pubmed.ncbi.nlm.nih.gov/?term=APOA1+CUBN+AMN+transcription+factor+target+gene	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000410	URL:https://pubmed.ncbi.nlm.nih.gov/?term=APOA1+TREM2+TYROBP+transcription+factor	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000411	URL:https://pubmed.ncbi.nlm.nih.gov/?term=APOA2+TREM2+TYROBP+transcription+factor	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000412	URL:https://pubmed.ncbi.nlm.nih.gov/?term=APOB+APOBR+transcription+factor+target+gene	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000413	URL:https://pubmed.ncbi.nlm.nih.gov/?term=APOB+TREM2+TYROBP+transcription+factor	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000414	URL:https://pubmed.ncbi.nlm.nih.gov/?term=APOE+TREM2+TYROBP+transcription+factor+target+gene	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000415	URL:https://pubmed.ncbi.nlm.nih.gov/?term=APP+SORL1+transcription+factor+target+gene	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000416	URL:https://pubmed.ncbi.nlm.nih.gov/?term=APP+TREM2+TYROBP+transcription+factor+target+gene	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000417	URL:https://pubmed.ncbi.nlm.nih.gov/?term=beta-endorphin+OPRD1+transcription+factor+target+gene	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000418	URL:https://pubmed.ncbi.nlm.nih.gov/?term=beta-endorphin+OPRK1+transcription+factor+target+gene	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000419	URL:https://pubmed.ncbi.nlm.nih.gov/?term=beta-endorphin+OPRM1+downstream+transcription+factor+target+gene	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000420	URL:https://pubmed.ncbi.nlm.nih.gov/?term=BAG6+NCR3-ps+transcription+factor+target+gene	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000424	URL:https://europepmc.org/search?query=BST2%20PIRA2	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000424	URL:https://pubmed.ncbi.nlm.nih.gov/?term=BST2+PIRA2+downstream+transcription+factor+target+gene	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000425	URL:https://pubmed.ncbi.nlm.nih.gov/?term=CADM1+homophilic+downstream+transcription+factor+target+gene	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000426	URL:https://pubmed.ncbi.nlm.nih.gov/?term=CADM1+NECTIN3+downstream+transcription+factor+target+gene	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000427	URL:https://pubmed.ncbi.nlm.nih.gov/?term=CADM3+homophilic+transcription+factor+target+gene	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000427	URL:https://rupress.org/jcb/article/222/6/e202204098/214005	paper_url_without_explicit_id	article-like URL retained as a lead because no exact PMID, PMCID, or DOI was present
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000428	URL:https://pubmed.ncbi.nlm.nih.gov/?term=CADM3+CADM4+downstream+transcription+factor+target+gene	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000429	URL:https://europepmc.org/search?query=CADM3%20EPB41L1	search_query	URL contains a query/search locator, not an exact paper identifier
module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	module22b_evidence_register:M22B-EVID-000429	URL:https://pubmed.ncbi.nlm.nih.gov/?term=CADM3+EPB41L1+downstream+transcription+factor+target+gene	search_query	URL contains a query/search locator, not an exact paper identifier
