paper_identifier	identifier_type	identifier_value	canonical_url	metadata_status	title	authors	publication_year	journal	source_lanes	source_registers	source_record_count	source_record_ids	source_edge_ids	source_evidence_ids	source_handoff_ids	confidence_tiers	evidence_layers	sci_context_phrase_present	notes
DOI:10.1002/advs.202500616	DOI	10.1002/advs.202500616	https://doi.org/10.1002/advs.202500616	identifier_only_no_local_metadata					module22a_pending_candidate_dispositions;module22b_evidence_register	work/module22a_22b_promotion_audit/module22a_pending_candidate_dispositions.tsv;work/module_b_consolidation/module22b/module22b_evidence_register.tsv	7	module22a_pending_candidate_dispositions:M22A-HANDOFF-003540;module22b_evidence_register:M22B-EVID-000088;module22b_evidence_register:M22B-EVID-000089;module22b_evidence_register:M22B-EVID-000090;module22b_evidence_register:M22B-EVID-000091;module22b_evidence_register:M22B-EVID-003652;module22b_evidence_register:M22B-EVID-005451	M22B-E000354;M22B-E000358;M22B-E000361;M22B-E000397;M22B-E001717;M22B-E005565	M21A-PAIR-EVID-5260;M22B-EVID-000088;M22B-EVID-000089;M22B-EVID-000090;M22B-EVID-000091;M22B-EVID-003652;M22B-EVID-005451	M22A-HANDOFF-003540	medium-high	binding_activation;receptor_proximal_relay;downstream_pathway_function;downstream_or_functional;ligand_receptor_or_direct_molecular	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/advs.202506209	DOI	10.1002/advs.202506209	https://doi.org/10.1002/advs.202506209	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-000461	M22B-E000407	M22B-EVID-000461			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/anie.202108738	DOI	10.1002/anie.202108738	https://doi.org/10.1002/anie.202108738	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	2	module22b_evidence_register:M22B-EVID-004652;module22b_evidence_register:M22B-EVID-004743	M22B-E003515;M22B-E003631	M22B-EVID-004652;M22B-EVID-004743			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/cac2.12637	DOI	10.1002/cac2.12637	https://doi.org/10.1002/cac2.12637	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-003436	M22B-E005351	M22B-EVID-003436			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/ctm2.1422	DOI	10.1002/ctm2.1422	https://doi.org/10.1002/ctm2.1422	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-010748	M22B-E010653	M22B-EVID-010748		high	ligand_receptor_or_direct_molecular	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/dneu.22250	DOI	10.1002/dneu.22250	https://doi.org/10.1002/dneu.22250	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-005757	M22B-E004344	M22B-EVID-005757			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/dneu.22293	DOI	10.1002/dneu.22293	https://doi.org/10.1002/dneu.22293	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-010361	M22B-E010188	M22B-EVID-010361		high	ligand_receptor_or_direct_molecular	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/dneu.22316	DOI	10.1002/dneu.22316	https://doi.org/10.1002/dneu.22316	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-010582	M22B-E010410	M22B-EVID-010582		medium	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/dvdy.24123	DOI	10.1002/dvdy.24123	https://doi.org/10.1002/dvdy.24123	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	8	module22b_evidence_register:M22B-EVID-005563;module22b_evidence_register:M22B-EVID-005564;module22b_evidence_register:M22B-EVID-005570;module22b_evidence_register:M22B-EVID-005576;module22b_evidence_register:M22B-EVID-005578;module22b_evidence_register:M22B-EVID-005582;module22b_evidence_register:M22B-EVID-005585;module22b_evidence_register:M22B-EVID-005597	M22B-E000766;M22B-E000767;M22B-E004154;M22B-E004158;M22B-E004160;M22B-E004163;M22B-E004165;M22B-E004177	M22B-EVID-005563;M22B-EVID-005564;M22B-EVID-005570;M22B-EVID-005576;M22B-EVID-005578;M22B-EVID-005582;M22B-EVID-005585;M22B-EVID-005597			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/eji.1830230430	DOI	10.1002/eji.1830230430	https://doi.org/10.1002/eji.1830230430	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-005363	M22B-E001024	M22B-EVID-005363			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/eji.201444941	DOI	10.1002/eji.201444941	https://doi.org/10.1002/eji.201444941	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-005366	M22B-E005604	M22B-EVID-005366		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/eji.70114	DOI	10.1002/eji.70114	https://doi.org/10.1002/eji.70114	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-000446	M22B-E000971	M22B-EVID-000446			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/gcc.20839	DOI	10.1002/gcc.20839	https://doi.org/10.1002/gcc.20839	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-005210	M22B-E004097	M22B-EVID-005210			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/glia.23446	DOI	10.1002/glia.23446	https://doi.org/10.1002/glia.23446	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	7	module22b_evidence_register:M22B-EVID-001212;module22b_evidence_register:M22B-EVID-001263;module22b_evidence_register:M22B-EVID-001264;module22b_evidence_register:M22B-EVID-001289;module22b_evidence_register:M22B-EVID-001315;module22b_evidence_register:M22B-EVID-001340;module22b_evidence_register:M22B-EVID-001365	M22B-E000250;M22B-E001944	M22B-EVID-001212;M22B-EVID-001263;M22B-EVID-001264;M22B-EVID-001289;M22B-EVID-001315;M22B-EVID-001340;M22B-EVID-001365			downstream_or_functional;ligand_receptor_or_direct_molecular	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/humu.22331	DOI	10.1002/humu.22331	https://doi.org/10.1002/humu.22331	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-004923	M22B-E003806	M22B-EVID-004923			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/ijc.31877	DOI	10.1002/ijc.31877	https://doi.org/10.1002/ijc.31877	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-004935	M22B-E000493	M22B-EVID-004935			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/j.1460-2075.1987.tb02590.x	DOI	10.1002/j.1460-2075.1987.tb02590.x	https://doi.org/10.1002/j.1460-2075.1987.tb02590.x	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	3	module22b_evidence_register:M22B-EVID-003198;module22b_evidence_register:M22B-EVID-003206;module22b_evidence_register:M22B-EVID-003253	M22B-E005122;M22B-E005130;M22B-E005177	M22B-EVID-003198;M22B-EVID-003206;M22B-EVID-003253			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/j.1460-2075.1993.tb05676.x	DOI	10.1002/j.1460-2075.1993.tb05676.x	https://doi.org/10.1002/j.1460-2075.1993.tb05676.x	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-010696	M22B-E010600	M22B-EVID-010696		medium-high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/j.1460-2075.1994.tb06715.x	DOI	10.1002/j.1460-2075.1994.tb06715.x	https://doi.org/10.1002/j.1460-2075.1994.tb06715.x	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-005558	M22B-E000618	M22B-EVID-005558			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/jbt.70827	DOI	10.1002/jbt.70827	https://doi.org/10.1002/jbt.70827	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-005316	M22B-E000802	M22B-EVID-005316		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/jcb.10645	DOI	10.1002/jcb.10645	https://doi.org/10.1002/jcb.10645	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-004988	M22B-E000552	M22B-EVID-004988		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/jcb.20663	DOI	10.1002/jcb.20663	https://doi.org/10.1002/jcb.20663	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-010383	M22B-E010210	M22B-EVID-010383		high	ligand_receptor_or_direct_molecular	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/jcb.21848	DOI	10.1002/jcb.21848	https://doi.org/10.1002/jcb.21848	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-005763	M22B-E004350	M22B-EVID-005763			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/jcb.22119	DOI	10.1002/jcb.22119	https://doi.org/10.1002/jcb.22119	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-010604	M22B-E010434	M22B-EVID-010604		medium-high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/jcb.24953	DOI	10.1002/jcb.24953	https://doi.org/10.1002/jcb.24953	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-004689	M22B-E003570	M22B-EVID-004689			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/jcp.1133	DOI	10.1002/jcp.1133	https://doi.org/10.1002/jcp.1133	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-004926	M22B-E000621	M22B-EVID-004926		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/jcp.20970	DOI	10.1002/jcp.20970	https://doi.org/10.1002/jcp.20970	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	2	module22b_evidence_register:M22B-EVID-010355;module22b_evidence_register:M22B-EVID-010356	M22B-E010182;M22B-E010183	M22B-EVID-010355;M22B-EVID-010356		high	ligand_receptor_or_direct_molecular	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/jcp.21357	DOI	10.1002/jcp.21357	https://doi.org/10.1002/jcp.21357	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-005437	M22B-E005615	M22B-EVID-005437		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/jcp.22949	DOI	10.1002/jcp.22949	https://doi.org/10.1002/jcp.22949	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-002889	M22B-E004828	M22B-EVID-002889			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/jcp.24156	DOI	10.1002/jcp.24156	https://doi.org/10.1002/jcp.24156	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-000405	M22B-E000254	M22B-EVID-000405			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/jcp.24336	DOI	10.1002/jcp.24336	https://doi.org/10.1002/jcp.24336	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-000942	M22B-E000096	M22B-EVID-000942			ligand_receptor_or_direct_molecular	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/jlb.3a0820-207r	DOI	10.1002/jlb.3a0820-207r	https://doi.org/10.1002/jlb.3a0820-207r	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-005380	M22B-E000527	M22B-EVID-005380			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/jlb.51.2.109	DOI	10.1002/jlb.51.2.109	https://doi.org/10.1002/jlb.51.2.109	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-002909	M22B-E004848	M22B-EVID-002909			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/jnr.20625	DOI	10.1002/jnr.20625	https://doi.org/10.1002/jnr.20625	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-002781	M22B-E004727	M22B-EVID-002781			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/jnr.20701	DOI	10.1002/jnr.20701	https://doi.org/10.1002/jnr.20701	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-004468	M22B-E003185	M22B-EVID-004468			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/jnr.490430103	DOI	10.1002/jnr.490430103	https://doi.org/10.1002/jnr.490430103	matched_existing_local_metadata	CD9 of mouse brain is implicated in neurite outgrowth and cell migration in vitro and is associated with the alpha 6/beta 1 integrin and the neural adhesion molecule L1.	Schmidt C; Künemund V; Wintergerst ES; Schmitz B; Schachner M	1996	Journal of neuroscience research	module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-004177	M22B-E002636	M22B-EVID-004177			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/mgg3.215	DOI	10.1002/mgg3.215	https://doi.org/10.1002/mgg3.215	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-004224	M22B-E002866	M22B-EVID-004224			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/path.5101	DOI	10.1002/path.5101	https://doi.org/10.1002/path.5101	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	2	module22b_evidence_register:M22B-EVID-003082;module22b_evidence_register:M22B-EVID-003083	M22B-E005012;M22B-E005013	M22B-EVID-003082;M22B-EVID-003083			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1002/stem.1030	DOI	10.1002/stem.1030	https://doi.org/10.1002/stem.1030	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	9	module22b_evidence_register:M22B-EVID-010428;module22b_evidence_register:M22B-EVID-010429;module22b_evidence_register:M22B-EVID-010430;module22b_evidence_register:M22B-EVID-010431;module22b_evidence_register:M22B-EVID-010432;module22b_evidence_register:M22B-EVID-010433;module22b_evidence_register:M22B-EVID-010434;module22b_evidence_register:M22B-EVID-010435;module22b_evidence_register:M22B-EVID-010436	M22B-E010255;M22B-E010256;M22B-E010257;M22B-E010258;M22B-E010259;M22B-E010260;M22B-E010261;M22B-E010262;M22B-E010263	M22B-EVID-010428;M22B-EVID-010429;M22B-EVID-010430;M22B-EVID-010431;M22B-EVID-010432;M22B-EVID-010433;M22B-EVID-010434;M22B-EVID-010435;M22B-EVID-010436		high	ligand_receptor_or_direct_molecular	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1006/bbrc.1993.1658	DOI	10.1006/bbrc.1993.1658	https://doi.org/10.1006/bbrc.1993.1658	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-005253	M22B-E005686	M22B-EVID-005253		high	downstream_or_functional	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1006/bbrc.1996.0833	DOI	10.1006/bbrc.1996.0833	https://doi.org/10.1006/bbrc.1996.0833	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-010390	M22B-E010217	M22B-EVID-010390		high	ligand_receptor_or_direct_molecular	true	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1006/bbrc.1996.5828	DOI	10.1006/bbrc.1996.5828	https://doi.org/10.1006/bbrc.1996.5828	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-004752	M22B-E003674	M22B-EVID-004752			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1006/bbrc.1998.9489	DOI	10.1006/bbrc.1998.9489	https://doi.org/10.1006/bbrc.1998.9489	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-002717	M22B-E004663	M22B-EVID-002717			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
DOI:10.1006/bbrc.1998.9614	DOI	10.1006/bbrc.1998.9614	https://doi.org/10.1006/bbrc.1998.9614	identifier_only_no_local_metadata					module22b_evidence_register	work/module_b_consolidation/module22b/module22b_evidence_register.tsv	1	module22b_evidence_register:M22B-EVID-002813	M22B-E004759	M22B-EVID-002813			downstream_or_functional	false	SCI flag means the associated Module 22 record text mentions SCI/spinal cord/spinal injury; it is not a paper-level SCI validation.
