review_priority_rank	review_priority_score	ligand_label	receptor_label	route_record_count	unique_evidence_id_count	output_annotated_route_count	tf_annotated_route_count	intracellular_annotated_route_count	missing_intracellular_count	missing_tf_count	route_tiers	selection_note
11	702	IL18	IL18R1:IL18RAP receptor complex	45	14	42	0	28	17	45	ligand_receptor_downstream_claim_unresolved:1;ligand_receptor_entry_only:2;ligand_receptor_intracellular_output_missing_tf:28;ligand_receptor_output_missing_intracellular_and_tf:14	Workflow prioritization only; mSCS determines route plausibility and confidence.
12	690	IL-6	IL-6R-gp130 receptor complex	43	23	40	14	6	37	29	ligand_receptor_downstream_claim_unresolved:1;ligand_receptor_entry_only:2;ligand_receptor_intracellular_output_missing_tf:6;ligand_receptor_output_missing_intracellular_and_tf:20;ligand_receptor_tf_output_missing_target_gene:2;ligand_receptor_tf_target_missing_intracellular:12	Workflow prioritization only; mSCS determines route plausibility and confidence.
13	674	ADCYAP1/PACAP	ADCYAP1R1/PAC1 receptor	46	17	45	0	0	46	46	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:44	Workflow prioritization only; mSCS determines route plausibility and confidence.
14	658	VIP/Vasoactive intestinal peptide	MRGPRX2	45	16	44	0	0	45	45	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:43	Workflow prioritization only; mSCS determines route plausibility and confidence.
15	636	ADCYAP1/PACAP	VIPR1/VPAC1 receptor	44	12	43	0	0	44	44	ligand_receptor_entry_only:1;ligand_receptor_output_missing_intracellular_and_tf:43	Workflow prioritization only; mSCS determines route plausibility and confidence.
16	636	ADCYAP1/PACAP	VIPR2/VPAC2 receptor	44	12	43	0	0	44	44	ligand_receptor_entry_only:1;ligand_receptor_output_missing_intracellular_and_tf:43	Workflow prioritization only; mSCS determines route plausibility and confidence.
17	631	TSLP	TSLPR/CRLF2:IL7RA/CD127 receptor complex	39	42	37	3	0	39	36	ligand_receptor_entry_only:1;ligand_receptor_output_missing_intracellular_and_tf:35;ligand_receptor_tf_annotation_missing_intracellular_and_output:1;ligand_receptor_tf_output_annotation_missing_intracellular:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
18	611	IL15	IL15RA:IL2RB:IL2RG receptor complex	36	24	34	11	17	19	25	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:16;ligand_receptor_output_missing_intracellular_and_tf:7;ligand_receptor_tf_target_missing_intracellular:11	Workflow prioritization only; mSCS determines route plausibility and confidence.
19	602	TGFB1	TGFBR1:TGFBR2	38	23	32	16	0	38	22	ligand_receptor_entry_only:2;ligand_receptor_output_missing_intracellular_and_tf:20;ligand_receptor_tf_missing_intracellular_and_output:4;ligand_receptor_tf_output_missing_target_gene:12	Workflow prioritization only; mSCS determines route plausibility and confidence.
20	558	TSLP	TSLPR/CRLF2	35	36	34	0	0	35	35	ligand_receptor_entry_only:1;ligand_receptor_output_missing_intracellular_and_tf:34	Workflow prioritization only; mSCS determines route plausibility and confidence.
21	553	IFN-gamma	IFNGR1-IFNGR2 receptor complex	33	22	30	13	10	23	20	ligand_receptor_downstream_claim_unresolved:1;ligand_receptor_entry_only:2;ligand_receptor_intracellular_output_missing_tf:10;ligand_receptor_output_missing_intracellular_and_tf:7;ligand_receptor_tf_output_missing_target_gene:3;ligand_receptor_tf_target_missing_intracellular:10	Workflow prioritization only; mSCS determines route plausibility and confidence.
22	552	IL17A	IL17RA:IL17RC receptor complex	33	41	31	0	8	25	33	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:1;ligand_receptor_intracellular_output_missing_tf:7;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:23	Workflow prioritization only; mSCS determines route plausibility and confidence.
23	528	IL34	CSF1R/c-Fms	33	16	28	0	27	6	33	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:4;ligand_receptor_intracellular_output_missing_tf:23;ligand_receptor_output_missing_intracellular_and_tf:5	Workflow prioritization only; mSCS determines route plausibility and confidence.
24	496	Leukotriene D4/LTD4	CYSLTR1/CysLT1 receptor	30	16	29	0	24	6	30	ligand_receptor_entry_only:1;ligand_receptor_intracellular_output_missing_tf:24;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:4	Workflow prioritization only; mSCS determines route plausibility and confidence.
25	490	Norepinephrine/noradrenaline	ADRB1/beta1 adrenergic receptor	31	10	30	0	20	11	31	ligand_receptor_entry_only:1;ligand_receptor_intracellular_output_missing_tf:20;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:9	Workflow prioritization only; mSCS determines route plausibility and confidence.
26	456	LPA	LPAR1/EDG2	27	19	26	0	22	5	27	ligand_receptor_entry_only:1;ligand_receptor_intracellular_output_missing_tf:22;ligand_receptor_output_annotation_missing_intracellular_and_tf:2;ligand_receptor_output_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
27	448	COL1A1/COL1A2 native collagen I	CD36	30	16	22	0	14	16	30	ligand_receptor_entry_only:2;ligand_receptor_intracellular_claim_unresolved:6;ligand_receptor_intracellular_output_missing_tf:8;ligand_receptor_output_missing_intracellular_and_tf:14	Workflow prioritization only; mSCS determines route plausibility and confidence.
28	446	TNR/tenascin-R	MAG/myelin-associated glycoprotein	29	19	21	0	17	12	29	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:7;ligand_receptor_intracellular_output_missing_tf:10;ligand_receptor_output_missing_intracellular_and_tf:11	Workflow prioritization only; mSCS determines route plausibility and confidence.
29	444	IL33	IL1RL1/ST2:IL1RAP	30	16	28	0	0	30	30	ligand_receptor_downstream_claim_unresolved:1;ligand_receptor_entry_only:1;ligand_receptor_output_missing_intracellular_and_tf:28	Workflow prioritization only; mSCS determines route plausibility and confidence.
30	442	IL33	sST2/soluble IL1RL1	30	15	28	0	0	30	30	ligand_receptor_downstream_claim_unresolved:1;ligand_receptor_entry_only:1;ligand_receptor_output_missing_intracellular_and_tf:28	Workflow prioritization only; mSCS determines route plausibility and confidence.
31	432	IL33	IL1RL1/ST2	29	15	28	0	0	29	29	ligand_receptor_entry_only:1;ligand_receptor_output_missing_intracellular_and_tf:28	Workflow prioritization only; mSCS determines route plausibility and confidence.
32	430	THBS1	CD47	27	23	20	0	17	10	27	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:6;ligand_receptor_intracellular_output_missing_tf:11;ligand_receptor_output_missing_intracellular_and_tf:9	Workflow prioritization only; mSCS determines route plausibility and confidence.
33	399	IL4	IL4RA:IL13RA1 receptor complex	23	29	21	9	0	23	14	ligand_receptor_entry_only:1;ligand_receptor_output_missing_intracellular_and_tf:13;ligand_receptor_tf_annotation_missing_intracellular_and_output:1;ligand_receptor_tf_output_annotation_missing_intracellular:1;ligand_receptor_tf_target_missing_intracellular:7	Workflow prioritization only; mSCS determines route plausibility and confidence.
34	399	PDGFB/PDGF-BB	PDGFRB receptor dimer	21	46	14	1	19	2	20	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:6;ligand_receptor_intracellular_output_missing_tf:13;ligand_receptor_tf_output_annotation_missing_intracellular:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
35	396	IL7	IL7RA:IL2RG receptor complex	24	16	23	4	10	14	20	ligand_receptor_entry_only:1;ligand_receptor_intracellular_output_missing_tf:10;ligand_receptor_output_annotation_missing_intracellular_and_tf:3;ligand_receptor_output_missing_intracellular_and_tf:6;ligand_receptor_tf_target_missing_intracellular:4	Workflow prioritization only; mSCS determines route plausibility and confidence.
36	391	IL12B/IL23A	IL12RB1:IL23R receptor complex	21	30	20	11	4	17	10	ligand_receptor_entry_only:1;ligand_receptor_intracellular_output_missing_tf:4;ligand_receptor_output_annotation_missing_intracellular_and_tf:2;ligand_receptor_output_missing_intracellular_and_tf:3;ligand_receptor_tf_target_missing_intracellular:11	Workflow prioritization only; mSCS determines route plausibility and confidence.
37	384	PGE2/prostaglandin E2	PTGER3/EP3 prostaglandin E receptor	23	25	22	0	8	15	23	ligand_receptor_entry_only:1;ligand_receptor_intracellular_output_missing_tf:8;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:13	Workflow prioritization only; mSCS determines route plausibility and confidence.
38	381	IL22	IL22RA1:IL10RB receptor complex	22	28	21	7	0	22	15	ligand_receptor_entry_only:1;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:13;ligand_receptor_tf_target_missing_intracellular:7	Workflow prioritization only; mSCS determines route plausibility and confidence.
39	374	SRPX2/sushi-repeat-containing protein X-linked 2	C1Q/complement component 1q	25	16	13	0	20	5	25	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:3;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
40	364	IL17A	IL17RA	23	23	22	0	0	23	23	ligand_receptor_entry_only:1;ligand_receptor_output_missing_intracellular_and_tf:22	Workflow prioritization only; mSCS determines route plausibility and confidence.
41	364	IL17A	IL17RC	23	23	22	0	0	23	23	ligand_receptor_entry_only:1;ligand_receptor_output_missing_intracellular_and_tf:22	Workflow prioritization only; mSCS determines route plausibility and confidence.
42	364	IL5	IL5RA:CSF2RB receptor complex	22	18	20	4	8	14	18	ligand_receptor_downstream_claim_unresolved:1;ligand_receptor_entry_only:1;ligand_receptor_intracellular_output_missing_tf:8;ligand_receptor_output_missing_intracellular_and_tf:8;ligand_receptor_tf_target_missing_intracellular:4	Workflow prioritization only; mSCS determines route plausibility and confidence.
43	360	NaCalr/Necator americanus calreticulin-like protein	C1Q/complement component 1q	24	16	12	0	20	4	24	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:2;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
44	358	OvCALR/Opisthorchis viverrini calreticulin	C1Q/complement component 1q	24	15	12	0	20	4	24	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:2;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
45	356	BGN/Biglycan	C1Q/complement component 1q	24	16	11	0	20	4	24	ligand_receptor_downstream_claim_unresolved:1;ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
46	356	TNR/tenascin-R	CNTN1/contactin-1	23	20	17	0	9	14	23	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:4;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:12	Workflow prioritization only; mSCS determines route plausibility and confidence.
47	354	TNC	EGFR	23	16	17	0	12	11	23	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:5;ligand_receptor_intracellular_output_missing_tf:7;ligand_receptor_output_missing_intracellular_and_tf:10	Workflow prioritization only; mSCS determines route plausibility and confidence.
48	352	Human astrovirus coat protein/HAstV CP	C1Q/complement component 1q	23	19	11	0	20	3	23	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
49	350	CSF1	CSF1R/c-Fms	21	20	16	0	18	3	21	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:4;ligand_receptor_intracellular_output_missing_tf:14;ligand_receptor_output_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
50	348	Chondroadherin/CHAD	C1q/complement component 1q	23	17	11	0	20	3	23	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
51	348	Osteoadherin/OSAD	C1q/complement component 1q	23	17	11	0	20	3	23	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
52	348	TsPmy/Trichinella spiralis paramyosin	C1Q/complement component 1q	23	17	11	0	20	3	23	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
53	346	BmCRT/Brugia malayi calreticulin	C1Q/complement component 1q	23	16	11	0	20	3	23	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
54	346	CAA/Schistosoma mansoni circulating anodic antigen	C1Q/complement component 1q	23	16	11	0	20	3	23	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
55	346	EmCRT/Echinococcus multilocularis calreticulin	C1Q/complement component 1q	23	16	11	0	20	3	23	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
56	346	HcGAPDH/Haemonchus contortus glyceraldehyde-3-phosphate dehydrogenase	C1Q/complement component 1q	23	16	11	0	20	3	23	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
57	346	Secreted serglycin/SRGN	C1Q/complement component 1q	23	16	11	0	20	3	23	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
58	346	TcCRT/Trypanosoma cruzi calreticulin	C1Q/complement component 1q	23	16	11	0	20	3	23	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
59	346	TcaCRT/Trypanosoma carassii calreticulin	C1Q/complement component 1q	23	16	11	0	20	3	23	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
60	344	Fibromodulin/FMOD	C1q/complement component 1q	23	15	11	0	20	3	23	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
61	340	CYBC1/EROS	P2RX7/P2X7 ATP-gated receptor	23	13	10	0	22	1	23	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:12;ligand_receptor_intracellular_output_missing_tf:10	Workflow prioritization only; mSCS determines route plausibility and confidence.
62	340	HSP90AA1/HSP90alpha	P2RX7/P2X7 ATP-gated receptor	23	13	10	0	22	1	23	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:12;ligand_receptor_intracellular_output_missing_tf:10	Workflow prioritization only; mSCS determines route plausibility and confidence.
63	336	DCN/Decorin	C1Q/complement component 1q	23	13	10	0	20	3	23	ligand_receptor_downstream_claim_unresolved:1;ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
64	328	Serotonin/5-HT	HTR2A/5-HT2A serotonin receptor	20	12	19	0	14	6	20	ligand_receptor_entry_only:1;ligand_receptor_intracellular_output_missing_tf:14;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:4	Workflow prioritization only; mSCS determines route plausibility and confidence.
65	322	ANGPTL2/angiopoietin-like 2	MAG/myelin-associated glycoprotein	21	13	13	0	17	4	21	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:7;ligand_receptor_intracellular_output_missing_tf:10;ligand_receptor_output_annotation_missing_intracellular_and_tf:2;ligand_receptor_output_missing_intracellular_and_tf:1	Workflow prioritization only; mSCS determines route plausibility and confidence.
66	322	PGE2/prostaglandin E2	PTGER1/EP1 prostaglandin E receptor	20	19	18	0	6	14	20	ligand_receptor_downstream_claim_unresolved:1;ligand_receptor_entry_only:1;ligand_receptor_intracellular_output_missing_tf:6;ligand_receptor_output_missing_intracellular_and_tf:12	Workflow prioritization only; mSCS determines route plausibility and confidence.
67	320	Cna/Staphylococcus aureus collagen adhesin	C1Q/complement component 1q	22	12	9	0	20	2	22	ligand_receptor_downstream_claim_unresolved:1;ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9	Workflow prioritization only; mSCS determines route plausibility and confidence.
68	320	HNP-1/DEFA1	C1Q/complement component 1q	22	12	9	0	20	2	22	ligand_receptor_downstream_claim_unresolved:1;ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9	Workflow prioritization only; mSCS determines route plausibility and confidence.
69	320	HcCRT/Haemonchus contortus calreticulin	C1Q/complement component 1q	22	12	9	0	20	2	22	ligand_receptor_downstream_claim_unresolved:1;ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9	Workflow prioritization only; mSCS determines route plausibility and confidence.
70	320	IL36A	IL1RL2:IL1RAP receptor complex	21	17	19	0	0	21	21	ligand_receptor_entry_only:2;ligand_receptor_output_annotation_missing_intracellular_and_tf:2;ligand_receptor_output_missing_intracellular_and_tf:17	Workflow prioritization only; mSCS determines route plausibility and confidence.
71	320	PepO/Streptococcus pneumoniae endopeptidase O	C1Q/complement component 1q	22	12	9	0	20	2	22	ligand_receptor_downstream_claim_unresolved:1;ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9	Workflow prioritization only; mSCS determines route plausibility and confidence.
72	320	PepO/Streptococcus pyogenes endopeptidase O	C1Q/complement component 1q	22	12	9	0	20	2	22	ligand_receptor_downstream_claim_unresolved:1;ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9	Workflow prioritization only; mSCS determines route plausibility and confidence.
73	320	SmPmy/Schistosoma mansoni paramyosin	C1Q/complement component 1q	22	12	9	0	20	2	22	ligand_receptor_downstream_claim_unresolved:1;ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9	Workflow prioritization only; mSCS determines route plausibility and confidence.
74	320	SntA/Streptococcus suis surface-exposed heme-binding protein	C1Q/complement component 1q	22	12	9	0	20	2	22	ligand_receptor_downstream_claim_unresolved:1;ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9	Workflow prioritization only; mSCS determines route plausibility and confidence.
75	320	TiCRT/Triatoma infestans calreticulin	C1Q/complement component 1q	22	12	9	0	20	2	22	ligand_receptor_downstream_claim_unresolved:1;ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9	Workflow prioritization only; mSCS determines route plausibility and confidence.
76	316	Thbs1	Cd47	20	15	13	0	17	3	20	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:6;ligand_receptor_intracellular_output_missing_tf:11;ligand_receptor_output_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
77	314	Thrombin	F2R/PAR1	18	19	17	0	14	4	18	ligand_receptor_entry_only:1;ligand_receptor_intracellular_output_missing_tf:14;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:2	Workflow prioritization only; mSCS determines route plausibility and confidence.
78	312	IL31	IL31RA:OSMRbeta receptor complex	18	19	17	6	4	14	12	ligand_receptor_entry_only:1;ligand_receptor_intracellular_output_missing_tf:4;ligand_receptor_output_annotation_missing_intracellular_and_tf:2;ligand_receptor_output_missing_intracellular_and_tf:5;ligand_receptor_tf_target_missing_intracellular:6	Workflow prioritization only; mSCS determines route plausibility and confidence.
79	310	AamCRT/Amblyomma americanum calreticulin	C1Q/complement component 1q	21	12	9	0	20	1	21	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9	Workflow prioritization only; mSCS determines route plausibility and confidence.
80	310	DENV2 NS1/Dengue virus nonstructural protein 1	C1Q/complement component 1q	21	12	9	0	20	1	21	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:11;ligand_receptor_intracellular_output_missing_tf:9	Workflow prioritization only; mSCS determines route plausibility and confidence.
81	300	IL17D	CD93	20	10	17	0	6	14	20	ligand_receptor_downstream_claim_unresolved:1;ligand_receptor_entry_only:2;ligand_receptor_intracellular_output_missing_tf:6;ligand_receptor_output_missing_intracellular_and_tf:11	Workflow prioritization only; mSCS determines route plausibility and confidence.
82	298	Norepinephrine/noradrenaline	ADRA2A/alpha2A adrenergic receptor	19	10	18	0	8	11	19	ligand_receptor_entry_only:1;ligand_receptor_intracellular_output_missing_tf:8;ligand_receptor_output_annotation_missing_intracellular_and_tf:1;ligand_receptor_output_missing_intracellular_and_tf:9	Workflow prioritization only; mSCS determines route plausibility and confidence.
83	296	GM-CSF/CSF2	SDC2/Syndecan-2	19	17	16	0	4	15	19	ligand_receptor_entry_only:1;ligand_receptor_intracellular_claim_unresolved:2;ligand_receptor_intracellular_output_missing_tf:2;ligand_receptor_output_annotation_missing_intracellular_and_tf:3;ligand_receptor_output_missing_intracellular_and_tf:11	Workflow prioritization only; mSCS determines route plausibility and confidence.
