edge_id	module	source_node_id	target_node_id	source_label	relation_type	target_label	pathway_name	evidence_layer	edge_status	context_scope	cell_type_context	compartment_context	species_context	injury_context	confidence_tier	export_priority	evidence_ids	evidence_count	source_locator_count	exportable	consolidation_note
M20B-E001498	20B	NODE01993	NODE01993	Pcdha4b	engages	Pcdha4b	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001498	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001576	20B	NODE02017	NODE02108	PGD2-PTGDS	engages	Ptgdr	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001576;M20B-EVID-005350-P2-RELAY;M20B-EVID-005351-P2-FUNC	3	2	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001577	20B	NODE02017	NODE02109	PGD2-PTGDS	engages	Ptgdr2	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001577;M20B-EVID-005352-P2-RELAY;M20B-EVID-005353-P2-FUNC	3	2	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001670	20B	NODE02272	NODE02265	Selplg	engages	Sele	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001670	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001677	20B	NODE02317	NODE01510	Sema7a	engages	ITGB1_ITGA1	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001677	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001724	20B	NODE02500	NODE00078	Tenm3	engages	Adgrl2	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001724	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001776	20B	NODE00232	NODE02394	Bdnf	engages	Sort1	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001776	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001778	20B	NODE00325	NODE00020	Ccl11	engages	Ackr2	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001778	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001779	20B	NODE00329	NODE00020	Ccl17	engages	Ackr2	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001779	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001780	20B	NODE00332	NODE00020	Ccl2	engages	Ackr2	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001780;M20B-EVID-005344-P2-DIRECT;M20B-EVID-005345-P2-FUNC	3	2	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001781	20B	NODE00332	NODE00371	Ccl2	engages	Ccr2	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	high	high	M20B-EVID-001781	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001782	20B	NODE00338	NODE00022	Ccl21b	engages	Ackr4	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001782	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001783	20B	NODE00342	NODE00020	Ccl22	engages	Ackr2	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001783	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001785	20B	NODE00346	NODE00022	Ccl25	engages	Ackr4	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001785	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001786	20B	NODE00351	NODE00370	Ccl27b	engages	Ccr10	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001786	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001788	20B	NODE00357	NODE00020	Ccl4	engages	Ackr2	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001788	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001789	20B	NODE01000	NODE02531	Gdf15	engages	Tgfbr2	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001789	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001790	20B	NODE02344	NODE02179	Slit1	engages	Robo1	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	high	high	M20B-EVID-001790	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001791	20B	NODE02346	NODE02179	Slit2	engages	Robo1	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	high	high	M20B-EVID-001791;M20B-EVID-005346-P2-RELAY;M20B-EVID-005347-P2-FUNC	3	2	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001792	20B	NODE02346	NODE02181	Slit2	engages	Robo2	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001792;M20B-EVID-005348-P2-RELAY;M20B-EVID-005349-P2-FUNC	3	2	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001793	20B	NODE02352	NODE02130	Slitrk1	engages	Ptprs	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001793	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001794	20B	NODE02353	NODE02130	Slitrk2	engages	Ptprs	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001794	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001795	20B	NODE02358	NODE02130	Slitrk6	engages	Ptprs	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001795	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001796	20B	NODE02751	NODE01722	Wnt5a	engages	Mcam	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	high	high	M20B-EVID-001796	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001797	20B	NODE00151	NODE00153	Amh	engages	AMHR2_BMPR1A	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001797;M20B-EVID-005354-P2-RELAY;M20B-EVID-005355-P2-FUNC	3	2	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001798	20B	NODE00151	NODE00154	Amh	engages	AMHR2_BMPR1B	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001798;M20B-EVID-005236-P2-RELAY	2	1	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001799	20B	NODE00193	NODE00757	Areg	engages	EGFR_ERBB2	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001799	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001800	20B	NODE00195	NODE01024	Artn	engages	GFRA1_RET	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001800	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001801	20B	NODE00195	NODE01026	Artn	engages	GFRA3_RET	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	high	high	M20B-EVID-001801	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001802	20B	NODE00232	NODE01953	Bdnf	engages	Ntrk2	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	high	high	M20B-EVID-001802	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001803	20B	NODE00255	NODE00051	Bmp10	engages	ACVRL1_ACVR2A	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001803	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001804	20B	NODE00255	NODE00052	Bmp10	engages	ACVRL1_BMPR2	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001804	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001805	20B	NODE00256	NODE00280	Bmp15	engages	BMPR1B_BMPR2	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001805;M20B-EVID-005237-P2-FUNC;M20B-EVID-005237-P2-RELAY	3	1	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001806	20B	NODE00257	NODE00275	Bmp2	engages	BMPR1A_ACVR2A	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001806	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001807	20B	NODE00257	NODE00276	Bmp2	engages	BMPR1A_ACVR2B	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001807	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001808	20B	NODE00257	NODE00277	Bmp2	engages	BMPR1A_BMPR2	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001808;M20B-EVID-005240-P2-FUNC;M20B-EVID-005240-P2-RELAY	3	2	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001809	20B	NODE00257	NODE00278	Bmp2	engages	BMPR1B_ACVR2A	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001809	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001810	20B	NODE00257	NODE00279	Bmp2	engages	BMPR1B_ACVR2B	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001810	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001811	20B	NODE00257	NODE00280	Bmp2	engages	BMPR1B_BMPR2	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001811;M20B-EVID-005241-P2-RELAY	2	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001812	20B	NODE00258	NODE00275	Bmp4	engages	BMPR1A_ACVR2A	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001812	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001813	20B	NODE00258	NODE00276	Bmp4	engages	BMPR1A_ACVR2B	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001813	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001814	20B	NODE00258	NODE00277	Bmp4	engages	BMPR1A_BMPR2	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001814;M20B-EVID-005238-P2-FUNC;M20B-EVID-005238-P2-RELAY	3	2	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001815	20B	NODE00258	NODE00278	Bmp4	engages	BMPR1B_ACVR2A	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001815	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001816	20B	NODE00258	NODE00279	Bmp4	engages	BMPR1B_ACVR2B	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001816	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001817	20B	NODE00258	NODE00280	Bmp4	engages	BMPR1B_BMPR2	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001817	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001818	20B	NODE00261	NODE00032	Bmp5	engages	ACVR1_ACVR2A	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001818	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001819	20B	NODE00261	NODE00033	Bmp5	engages	ACVR1_ACVR2B	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001819	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001820	20B	NODE00261	NODE00035	Bmp5	engages	ACVR1_BMPR2	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001820	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001821	20B	NODE00261	NODE00275	Bmp5	engages	BMPR1A_ACVR2A	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001821	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001822	20B	NODE00261	NODE00276	Bmp5	engages	BMPR1A_ACVR2B	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001822	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001823	20B	NODE00261	NODE00277	Bmp5	engages	BMPR1A_BMPR2	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001823	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001824	20B	NODE00261	NODE00278	Bmp5	engages	BMPR1B_ACVR2A	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001824	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001825	20B	NODE00261	NODE00279	Bmp5	engages	BMPR1B_ACVR2B	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001825	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001826	20B	NODE00261	NODE00280	Bmp5	engages	BMPR1B_BMPR2	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001826	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001827	20B	NODE00262	NODE00032	Bmp6	engages	ACVR1_ACVR2A	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001827;M20B-EVID-005239-P2-FUNC;M20B-EVID-005239-P2-RELAY	3	2	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001828	20B	NODE00262	NODE00033	Bmp6	engages	ACVR1_ACVR2B	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001828	1	0	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001829	20B	NODE00262	NODE00035	Bmp6	engages	ACVR1_BMPR2	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001829;M20B-EVID-005242-P2-RELAY	2	1	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
M20B-E001830	20B	NODE00262	NODE00275	Bmp6	engages	BMPR1A_ACVR2A	module20a_frozen_ligand_receptor	ligand_receptor_or_direct_molecular	frozen_lr_supported	Module 20A frozen LR release	not_inferred_from_LR_release	not_inferred	mouse_release_scope	SCI-relevant candidate universe	medium	high	M20B-EVID-001830;M20B-EVID-005243-P2-RELAY	2	1	true	Frozen Module 20A classification: frozen_lr_supported; source LR manifest preserved.
