species	tf_symbol	target_symbol	external_record_keys	decision	module_assignment	evidence_status	support_kind	effect_polarity	primary_pmids	corroborating_pmids	shared_paper_status	cross_module_status	cell_type_context	stimulus_context	limitations	notes
human	HNF4A	CYP7A1	user_explicit_pair|second_wave_pilot|human|HNF4A|CYP7A1	promote_to_22B	22B	primary_exact_verified	direct_binding+promoter_reporter	activating_target	11402042	16323215	primary_exact_pair	not_applicable	HepG2 and primary human hepatocytes	bile-acid/glucagon feedback; inflammatory signaling	Promoter regulation is stimulus- and phosphorylation-sensitive in hepatocytes.	PMID 11402042 identifies HNF4 binding at the CYP7A1 BARE; PMID 16323215 independently links HNF4alpha occupancy to human CYP7A1 transcription.
human	CTCF	IGF2	user_explicit_pair|second_wave_pilot|human|CTCF|IGF2	promote_to_22B	22B	primary_exact_verified	direct_binding+chromatin_insulation	repressing_target	10839547	19956766	primary_exact_pair	not_applicable	human IGF2-H19 locus tissue-culture cells	allele-specific imprinting; DNA methylation	CTCF repression is allele- and methylation-dependent; the primary study includes human/mouse ICR systems.	PMID 10839547 shows CTCF binding blocks enhancer access to IGF2; PMID 19956766 independently links CTCF-mediated human-locus topology to IGF2 expression.
human	SMAD3	SERPINE1	explicit_user_pair_list|second_wave_evidence_pilot|human|SMAD3:SERPINE1	promote_to_22B	22B	primary_exact_verified	direct_binding+promoter_mutation+perturbation_response	activating_target	10092624	21625455	primary_exact_pair;corroborated_for_pair	no_verified_cross_module_claim	human A549 alveolar epithelial cells; primary human SAEC	TGF-beta1 stimulation	Context-specific TGF-beta1/SMAD3 evidence; cooperative SMAD3/SMAD4 promoter mechanism.	Exact human promoter support; independent human ChIP/response study corroborates.
human	SMAD4	CDKN1A	explicit_user_pair_list|second_wave_evidence_pilot|human|SMAD4:CDKN1A	promote_to_22B	22B	primary_exact_verified	cooperative_promoter+perturbation_response	activating_target	10878024	9865717	primary_exact_pair;corroborated_for_pair	no_verified_cross_module_claim	human HaCaT keratinocytes; HepG2/carcinoma cells	TGF-beta1; SMAD3/SMAD4 overexpression	Cooperative Sp1-dependent promoter mechanism; not a SMAD4-only site.	Exact human SMAD4-p21 activation supported; independent human carcinoma study corroborates.
human	STAT5A	CSN2	explicit_user_pair_list|second_wave_evidence_pilot|human|STAT5A:CSN2	promote_to_22B	22B	primary_exact_verified	direct_binding+promoter_activation+perturbation_response	activating_target	15534001	24384092	primary_exact_pair;corroborated_for_pair	no_verified_cross_module_claim	human T47D breast cancer cells	Heregulin beta1; prolactin	Mammary epithelial/cancer model; hormone-dependent activation.	Human STAT5A binding and activation of the beta-casein promoter are independently supported.
human	STAT5A	BCL2L1	explicit_user_pair_list|second_wave_evidence_pilot|human|STAT5A:BCL2L1	promote_to_22B	22B	primary_exact_verified	STAT5A_antisense+promoter_reporter+perturbation_response	activating_target	14521520	15820062	primary_exact_pair;corroborated_for_pair	no_verified_cross_module_claim	human K562 CML cells	BCR-ABL/constitutive STAT5 signaling	Antisense supports STAT5A dependence; promoter corroboration includes STAT5-family binding.	Human STAT5A antisense lowers BCL-X_L; independent human STAT5 promoter study corroborates.
human	ELK1	FOS	user_explicit_pair|second_wave_pilot|human|ELK1|FOS	promote_to_22B	22B	primary_exact_verified	direct_promoter_binding_and_activation	activating_target	7889942	19789270	primary_exact_pair	not_applicable	NIH3T3 cells with human FOS promoter; human HeLa/U937 cells in corroboration	mitogen/EGF or PMA signaling	SRF/ternary-complex and stimulus dependent; not a universal ELK1 regulon claim.	PMID 7889942 shows ELK1-dependent human FOS promoter activation; PMID 19789270 independently verifies ELK1 binding at the human c-FOS promoter.
human	TFAP2A	ERBB2	user_explicit_pair|second_wave_pilot|human|TFAP2A|ERBB2	promote_to_22B	22B	primary_exact_verified	direct_promoter_binding_and_activation	activating_target	8895516	15870067	primary_exact_pair	not_applicable	Human mammary carcinoma lines; human HepG2/HCT116/BT-474 models in corroboration	Basal ERBB2 overexpression; YY1/AP-2 coactivation	ERBB2 promoter activity is cell-context and AP-2 isoform/cofactor dependent.	PMID 8895516 identifies AP-2alpha binding and activation of the human ERBB2 promoter; PMID 15870067 independently supports AP-2alpha-dependent ERBB2 promoter occupancy and activation.
human	MITF	TYR	user_explicit_pair|second_wave_pilot|human|MITF|TYR	promote_to_22B	22B	primary_exact_verified	direct_promoter_binding_and_activation	activating_target	7969144	7969139	primary_exact_pair	not_applicable	Human MeWo melanoma and HeLa reporter systems	Melanocyte-specific pigment-cell transcription	Promoter/enhancer reporter evidence in pigment-cell models; not an SCI cell-context claim.	PMID 7969144 shows human MITF transactivation through the TYR distal element; PMID 7969139 independently verifies MITF activation of the human tyrosinase promoter.
human	SPI1	IL1B	user_explicit_pair|second_wave_pilot|human|SPI1|IL1B	promote_to_22B	22B	primary_exact_verified	direct_binding+promoter_reporter+perturbation_response	activating_target	7799967	11823535	primary_exact_pair	not_applicable	Human monocyte/macrophage models; THP-1 cells in corroboration	Monocyte expression; IL-1beta/LPS stimulation	Myeloid-lineage promoter and stimulus context; evidence is promoter-specific rather than a universal IL1B claim.	PMID 7799967 maps two PU.1 sites and requires SPI1 for human IL1B promoter activity; PMID 11823535 independently confirms stimulus-induced SPI1 binding and promoter dependence.
human	SP3	CDKN1A	user_explicit_pair|second_wave_pilot|human|SP3|CDKN1A	hold_direction_conflict	22B	primary_exact_verified;direction_conflict	direct_binding+promoter_reporter+perturbation_response	activating_target;repressing_target	11064455;23401853	10485470	primary_exact_pair	not_applicable	Human Caco-2, MG63, and HeLa cells	Differentiation; HDAC inhibitor/TSA; basal transcription	Exact primary studies support opposite context-dependent polarities: activation in differentiation/HDAC-inhibitor models versus repression of basal productive elongation in HeLa.	PMIDs 11064455 and 10485470 support SP3 activation of CDKN1A/p21; PMID 23401853 reports SP3 repression, so polarity is held unresolved.
human	CREB1	BDNF	user_explicit_pair|second_wave_pilot|human|CREB1|BDNF	promote_to_22B	22B	primary_exact_verified	direct_promoter_binding_and_activation	activating_target	21368041	9581764	primary_exact_pair	not_applicable	Human HEK293 and postmortem parietal cortex; rat cortical neurons in corroboration	Neuronal depolarization/KCl; Ca2+-responsive BDNF promoter IV	Human evidence centers on promoter IV and activity/overexpression assays; corroboration is rat neuronal evidence.	PMID 21368041 verifies CREB1 binding and activation of human BDNF promoter IV; PMID 9581764 independently links CREB to BDNF promoter activation.
