record_id	source_queue_id	module	edge_id	record_type	evidence_node_id	evidence_node_label	output_term	claim_status	linkage_status	edge_semantic_class	confidence_tier	source_locator	source_evidence_ids	citation_note	evidence_summary	limitations	missing_layers	causal_status	traversal_status
M21B-DOWNSTREAM-EVID:000011	M21B-DOWNSTREAM:00004	21B	M21B-E000141	intracellular_cascade_evidence	NODE02562	DVL2		explicit_exported_receptor_proximal_edge	candidate_unlinked	receptor_proximal_edge_needing_lr_pair_resolution	high	PMID:20457807	M21B-EVID-000084	Review lead: PMCID:PMC4713724, WNT5A/ROR2 signaling section; review-cited primary: PMID:20457807; PMCID:PMC2897551; primary locator: PMID:20457807	Primary-supported claim: Review states that WNT5A associates with FZD7 in the presence of ROR2 to regulate DVL polymerization and cites the receptor-complex/AP-1 primary study. Primary model/assay: Mouse L cells with Ror2, Fz7, and Dvl2 constructs; Wnt5a stimulation; receptor association, Dvl2 polymerization, Rac1 colocalization/perturbation, and AP-1 reporter assays	Noncanonical WNT receptor-complex branch; retain ROR2/FZD7 multicomponent topology and do not equate AP-1 with terminal-TF promotion.	ligand_receptor_input_pair|transcription_factor|target_gene_expression_or_output	not_asserted	evidence_record_not_causal
M21B-DOWNSTREAM-EVID:000012	M21B-DOWNSTREAM:00005	21B	M21B-E000142	generic_output_evidence		cellular function assay	cellular_function_assay	assay_or_readout_term_in_evidence_summary	candidate_unlinked	receptor_proximal_edge_needing_lr_pair_resolution	high	PMID:7691811; PMID:10318871	M21B-EVID-000085	Review lead: PMCID:PMC7722362, PDGFRβ endosomal/signaling section; PMCID:PMC3301440, PDGFR structure/signaling section; review-cited primary: PMID:7691811; PMID:10318871; primary locator: PMID:7691811; PMID:10318871	Primary-supported claim: Reviews identify PDGFRβ phosphotyrosine docking for SHP2 and cite direct binding/activation and Y1009-dependent migration studies. Primary model/assay: Human PDGFRβ phosphotyrosyl peptide competition and immunoprecipitation systems; PDGFRβ-expressing cells with Y1009F receptor; SHP2 activity, FAK activity, membrane ruffling, and PDGF-directed migration	Y1009 docking and SHP2-dependent migration branch; no SCI/pericyte receiver attribution and no claim that SHP2 is a kinase.	ligand_receptor_input_pair|transcription_factor|target_gene_expression_or_output	not_asserted	evidence_record_not_causal
M21B-DOWNSTREAM-EVID:000013	M21B-DOWNSTREAM:00005	21B	M21B-E000142	generic_output_evidence		phosphorylation or activation readout	phosphorylation_or_activation_readout	assay_or_readout_term_in_evidence_summary	candidate_unlinked	receptor_proximal_edge_needing_lr_pair_resolution	high	PMID:7691811; PMID:10318871	M21B-EVID-000085	Review lead: PMCID:PMC7722362, PDGFRβ endosomal/signaling section; PMCID:PMC3301440, PDGFR structure/signaling section; review-cited primary: PMID:7691811; PMID:10318871; primary locator: PMID:7691811; PMID:10318871	Primary-supported claim: Reviews identify PDGFRβ phosphotyrosine docking for SHP2 and cite direct binding/activation and Y1009-dependent migration studies. Primary model/assay: Human PDGFRβ phosphotyrosyl peptide competition and immunoprecipitation systems; PDGFRβ-expressing cells with Y1009F receptor; SHP2 activity, FAK activity, membrane ruffling, and PDGF-directed migration	Y1009 docking and SHP2-dependent migration branch; no SCI/pericyte receiver attribution and no claim that SHP2 is a kinase.	ligand_receptor_input_pair|transcription_factor|target_gene_expression_or_output	not_asserted	evidence_record_not_causal
M21B-DOWNSTREAM-EVID:000014	M21B-DOWNSTREAM:00005	21B	M21B-E000142	intracellular_cascade_evidence	NODE08845	SHP2/PTPN11		explicit_exported_receptor_proximal_edge	candidate_unlinked	receptor_proximal_edge_needing_lr_pair_resolution	high	PMID:7691811; PMID:10318871	M21B-EVID-000085	Review lead: PMCID:PMC7722362, PDGFRβ endosomal/signaling section; PMCID:PMC3301440, PDGFR structure/signaling section; review-cited primary: PMID:7691811; PMID:10318871; primary locator: PMID:7691811; PMID:10318871	Primary-supported claim: Reviews identify PDGFRβ phosphotyrosine docking for SHP2 and cite direct binding/activation and Y1009-dependent migration studies. Primary model/assay: Human PDGFRβ phosphotyrosyl peptide competition and immunoprecipitation systems; PDGFRβ-expressing cells with Y1009F receptor; SHP2 activity, FAK activity, membrane ruffling, and PDGF-directed migration	Y1009 docking and SHP2-dependent migration branch; no SCI/pericyte receiver attribution and no claim that SHP2 is a kinase.	ligand_receptor_input_pair|transcription_factor|target_gene_expression_or_output	not_asserted	evidence_record_not_causal
M21B-DOWNSTREAM-EVID:000015	M21B-DOWNSTREAM:00006	21B	M21B-E000143	generic_output_evidence		gene expression or transcription	gene_expression_or_transcription	assay_or_readout_term_in_evidence_summary	candidate_unlinked	receptor_proximal_edge_needing_lr_pair_resolution	high	PMID:7678051	M21B-EVID-000086	Review lead: PMCID:PMC7722362, PDGFRβ signaling/internalization section; NCBI Bookshelf NBK2236, PLCγ regulation review section; review-cited primary: PMID:7678051; PMCID:PMC358893; primary locator: PMID:7678051	Primary-supported claim: Reviews identify PDGFRβ docking and PLCγ recruitment and cite the receptor-mutant study mapping the Y1021-dependent association and inositol-phosphate response. Primary model/assay: PDGFRβ receptor mutants in mammalian receptor-expression systems; PDGF stimulation; PLCγ association/tyrosine phosphorylation, inositol-phosphate production, and DNA synthesis readouts	Y1021-dependent docking/function branch; preserve receptor-site and cell-system context and do not infer a unique downstream fate from PLCγ alone.	ligand_receptor_input_pair|transcription_factor|target_gene_expression_or_output	not_asserted	evidence_record_not_causal
M21B-DOWNSTREAM-EVID:000016	M21B-DOWNSTREAM:00006	21B	M21B-E000143	generic_output_evidence		phosphorylation or activation readout	phosphorylation_or_activation_readout	assay_or_readout_term_in_evidence_summary	candidate_unlinked	receptor_proximal_edge_needing_lr_pair_resolution	high	PMID:7678051	M21B-EVID-000086	Review lead: PMCID:PMC7722362, PDGFRβ signaling/internalization section; NCBI Bookshelf NBK2236, PLCγ regulation review section; review-cited primary: PMID:7678051; PMCID:PMC358893; primary locator: PMID:7678051	Primary-supported claim: Reviews identify PDGFRβ docking and PLCγ recruitment and cite the receptor-mutant study mapping the Y1021-dependent association and inositol-phosphate response. Primary model/assay: PDGFRβ receptor mutants in mammalian receptor-expression systems; PDGF stimulation; PLCγ association/tyrosine phosphorylation, inositol-phosphate production, and DNA synthesis readouts	Y1021-dependent docking/function branch; preserve receptor-site and cell-system context and do not infer a unique downstream fate from PLCγ alone.	ligand_receptor_input_pair|transcription_factor|target_gene_expression_or_output	not_asserted	evidence_record_not_causal
M21B-DOWNSTREAM-EVID:000017	M21B-DOWNSTREAM:00006	21B	M21B-E000143	intracellular_cascade_evidence	NODE07777	PLCγ1/PLCG1		explicit_exported_receptor_proximal_edge	candidate_unlinked	receptor_proximal_edge_needing_lr_pair_resolution	high	PMID:7678051	M21B-EVID-000086	Review lead: PMCID:PMC7722362, PDGFRβ signaling/internalization section; NCBI Bookshelf NBK2236, PLCγ regulation review section; review-cited primary: PMID:7678051; PMCID:PMC358893; primary locator: PMID:7678051	Primary-supported claim: Reviews identify PDGFRβ docking and PLCγ recruitment and cite the receptor-mutant study mapping the Y1021-dependent association and inositol-phosphate response. Primary model/assay: PDGFRβ receptor mutants in mammalian receptor-expression systems; PDGF stimulation; PLCγ association/tyrosine phosphorylation, inositol-phosphate production, and DNA synthesis readouts	Y1021-dependent docking/function branch; preserve receptor-site and cell-system context and do not infer a unique downstream fate from PLCγ alone.	ligand_receptor_input_pair|transcription_factor|target_gene_expression_or_output	not_asserted	evidence_record_not_causal
M21B-DOWNSTREAM-EVID:000018	M21B-DOWNSTREAM:00007	21B	M21B-E000144	generic_output_evidence		protein secretion or release	protein_secretion_or_release	assay_or_readout_term_in_evidence_summary	candidate_unlinked	ligand_receptor_edge_with_unlinked_downstream_claim	high	PMID:20547845	M21B-EVID-000087	Review lead: PMCID:PMC4533842, HMGB1/TLR4 section; PMCID:PMC4536551, HMGB1/TLR4 review; review-cited primary: PMID:20547845; PMCID:PMC4291531; primary locator: PMID:20547845	Primary-supported claim: Reviews identify redox-dependent HMGB1 engagement of TLR4 and cite the primary study demonstrating cysteine-dependent HMGB1 binding to the TLR4/MD-2 system and macrophage cytokine release. Primary model/assay: Primary human macrophages, murine RAW264.7 macrophage-like cells, synovial fibroblasts, and TLR4/MD-2 receptor assays; recombinant redox/point-mutant HMGB1; binding, NF-κB p65, and TNF release	Redox- and MD-2-dependent DAMP branch; do not treat all HMGB1 preparations as equivalent or infer a direct HMGB1-to-TLR4 binary interaction independent of MD-2.	intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_asserted	evidence_record_not_causal
M21B-DOWNSTREAM-EVID:000019	M21B-DOWNSTREAM:00008	21B	M21B-E000147	generic_output_evidence		gene expression or transcription	gene_expression_or_transcription	assay_or_readout_term_in_evidence_summary	candidate_unlinked	ligand_receptor_edge_with_unlinked_downstream_claim	high	PMID:15947085	M21B-EVID-000090	Review lead: PMCID:PMC7358443, hemopexin/CD91 review section; PMID:30558109, macrophage iron-homeostasis review; review-cited primary: PMID:15947085; primary locator: PMID:15947085	Primary-supported claim: Reviews identify LRP1/CD91 as the hemopexin-heme clearance receptor and cite the ligand-affinity, uptake, and HO-1 primary study. Primary model/assay: Human LRP/CD91 affinity-purification and Biacore systems; LRP/CD91-expressing COS cells; cultured monocytes; radiolabeled/fluorescent hemopexin-heme uptake and HO-1 transcription	Heme-containing ligand and endocytic transport edge; preserve LRP1/CD91 scavenger topology and do not infer LRP1 kinase signaling or SCI-specific weighting.	intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_asserted	evidence_record_not_causal
M21B-DOWNSTREAM-EVID:000020	M21B-DOWNSTREAM:00009	21B	M21B-E000148	generic_output_evidence		cellular function assay	cellular_function_assay	assay_or_readout_term_in_evidence_summary	candidate_unlinked	ligand_receptor_edge_with_unlinked_downstream_claim	high	PMID:15494734	M21B-EVID-000091	Review lead: PMCID:PMC3517172, DCC signaling section; review-cited primary: PMID:15494734; primary locator: PMID:15494734	Primary-supported claim: Review identifies FAK and Src as receptor-proximal Netrin-DCC effectors and cites the primary DCC-interaction and phosphorylation study. Primary model/assay: DCC-expressing mammalian cells and embryonic neurons; Netrin-1 stimulation; DCC-FAK/Src interaction, FAK/Src activation, DCC phosphorylation, Src inhibition, and axon-attraction/outgrowth assays	Receptor-proximal kinase interaction and neuronal guidance branch; preserve FAK/Src cooperation and do not infer a universal DCC kinase mechanism.	intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_asserted	evidence_record_not_causal
M21B-DOWNSTREAM-EVID:000021	M21B-DOWNSTREAM:00009	21B	M21B-E000148	generic_output_evidence		phosphorylation or activation readout	phosphorylation_or_activation_readout	assay_or_readout_term_in_evidence_summary	candidate_unlinked	ligand_receptor_edge_with_unlinked_downstream_claim	high	PMID:15494734	M21B-EVID-000091	Review lead: PMCID:PMC3517172, DCC signaling section; review-cited primary: PMID:15494734; primary locator: PMID:15494734	Primary-supported claim: Review identifies FAK and Src as receptor-proximal Netrin-DCC effectors and cites the primary DCC-interaction and phosphorylation study. Primary model/assay: DCC-expressing mammalian cells and embryonic neurons; Netrin-1 stimulation; DCC-FAK/Src interaction, FAK/Src activation, DCC phosphorylation, Src inhibition, and axon-attraction/outgrowth assays	Receptor-proximal kinase interaction and neuronal guidance branch; preserve FAK/Src cooperation and do not infer a universal DCC kinase mechanism.	intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_asserted	evidence_record_not_causal
M21B-DOWNSTREAM-EVID:000022	M21B-DOWNSTREAM:00010	21B	M21B-E000149	generic_output_evidence		phosphorylation or activation readout	phosphorylation_or_activation_readout	assay_or_readout_term_in_evidence_summary	candidate_unlinked	ambiguous_edge_needing_manual_topology_review	high	PMID:15788770	M21B-EVID-000092	Review lead: PMCID:PMC3517172, Netrin signaling section; review-cited primary: PMID:15788770; PMCID:PMC6725078; primary locator: PMID:15788770	Primary-supported claim: Review identifies Netrin-1/DCC recruitment and activation of Cdc42, Rac1, Pak1, and N-WASP and cites the primary commissural-neuron study. Primary model/assay: Embryonic rat spinal commissural neurons and N1E-115 neuroblastoma cells; Netrin-1 stimulation; DCC-associated complex, Cdc42/Rac1/PAK1 activation, dominant-negative perturbation, and growth-cone expansion assays	Composite actin-regulatory complex; preserve NCK1/DCC scaffold and growth-cone context; no terminal-TF inference.	ligand_receptor_pair_validation|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_asserted	evidence_record_not_causal
M21B-DOWNSTREAM-EVID:000023	M21B-DOWNSTREAM:00010	21B	M21B-E000149	generic_output_evidence		second messenger readout	second_messenger_readout	assay_or_readout_term_in_evidence_summary	candidate_unlinked	ambiguous_edge_needing_manual_topology_review	high	PMID:15788770	M21B-EVID-000092	Review lead: PMCID:PMC3517172, Netrin signaling section; review-cited primary: PMID:15788770; PMCID:PMC6725078; primary locator: PMID:15788770	Primary-supported claim: Review identifies Netrin-1/DCC recruitment and activation of Cdc42, Rac1, Pak1, and N-WASP and cites the primary commissural-neuron study. Primary model/assay: Embryonic rat spinal commissural neurons and N1E-115 neuroblastoma cells; Netrin-1 stimulation; DCC-associated complex, Cdc42/Rac1/PAK1 activation, dominant-negative perturbation, and growth-cone expansion assays	Composite actin-regulatory complex; preserve NCK1/DCC scaffold and growth-cone context; no terminal-TF inference.	ligand_receptor_pair_validation|intracellular_continuation|transcription_factor|target_gene_expression_or_output	not_asserted	evidence_record_not_causal
M21B-DOWNSTREAM-EVID:000024	M21B-DOWNSTREAM:00011	21B	M21B-E000150	generic_output_evidence		cellular function assay	cellular_function_assay	assay_or_readout_term_in_evidence_summary	candidate_unlinked	receptor_proximal_edge_needing_lr_pair_resolution	high	PMID:18469807	M21B-EVID-000093	Review lead: PMCID:PMC3517172, UNC5B survival-signaling section; review-cited primary: PMID:18469807; primary locator: PMID:18469807	Primary-supported claim: Review identifies Netrin-1-induced UNC5B interaction with PIKE-L and PI3K activation and cites the primary neuronal-survival study. Primary model/assay: HEK293T UNC5B/PIKE-L reconstitution, primary rat cortical neurons, and mouse Fyn-null comparator; Netrin-1 stimulation; PIKE-L-UNC5B interaction, PI3K activity, Fyn dependence, and neuronal apoptosis/survival assays	Dependence-receptor survival branch; preserve PIKE-L and Fyn requirements and do not claim DCC-independent universal Netrin signaling.	ligand_receptor_input_pair|transcription_factor|target_gene_expression_or_output	not_asserted	evidence_record_not_causal
M21B-DOWNSTREAM-EVID:000025	M21B-DOWNSTREAM:00011	21B	M21B-E000150	generic_output_evidence		phosphorylation or activation readout	phosphorylation_or_activation_readout	assay_or_readout_term_in_evidence_summary	candidate_unlinked	receptor_proximal_edge_needing_lr_pair_resolution	high	PMID:18469807	M21B-EVID-000093	Review lead: PMCID:PMC3517172, UNC5B survival-signaling section; review-cited primary: PMID:18469807; primary locator: PMID:18469807	Primary-supported claim: Review identifies Netrin-1-induced UNC5B interaction with PIKE-L and PI3K activation and cites the primary neuronal-survival study. Primary model/assay: HEK293T UNC5B/PIKE-L reconstitution, primary rat cortical neurons, and mouse Fyn-null comparator; Netrin-1 stimulation; PIKE-L-UNC5B interaction, PI3K activity, Fyn dependence, and neuronal apoptosis/survival assays	Dependence-receptor survival branch; preserve PIKE-L and Fyn requirements and do not claim DCC-independent universal Netrin signaling.	ligand_receptor_input_pair|transcription_factor|target_gene_expression_or_output	not_asserted	evidence_record_not_causal
M21B-DOWNSTREAM-EVID:000026	M21B-DOWNSTREAM:00011	21B	M21B-E000150	intracellular_cascade_evidence	NODE07725	PIKE-L/CENTG1-PI3K		explicit_exported_receptor_proximal_edge	candidate_unlinked	receptor_proximal_edge_needing_lr_pair_resolution	high	PMID:18469807	M21B-EVID-000093	Review lead: PMCID:PMC3517172, UNC5B survival-signaling section; review-cited primary: PMID:18469807; primary locator: PMID:18469807	Primary-supported claim: Review identifies Netrin-1-induced UNC5B interaction with PIKE-L and PI3K activation and cites the primary neuronal-survival study. Primary model/assay: HEK293T UNC5B/PIKE-L reconstitution, primary rat cortical neurons, and mouse Fyn-null comparator; Netrin-1 stimulation; PIKE-L-UNC5B interaction, PI3K activity, Fyn dependence, and neuronal apoptosis/survival assays	Dependence-receptor survival branch; preserve PIKE-L and Fyn requirements and do not claim DCC-independent universal Netrin signaling.	ligand_receptor_input_pair|transcription_factor|target_gene_expression_or_output	not_asserted	evidence_record_not_causal
M21B-DOWNSTREAM-EVID:000027	M21B-DOWNSTREAM:00012	21B	M21B-E000151	generic_output_evidence		cellular function assay	cellular_function_assay	assay_or_readout_term_in_evidence_summary	candidate_unlinked	receptor_proximal_edge_needing_lr_pair_resolution	high	PMID:11672528	M21B-EVID-000094	Review lead: PMCID:PMC4765433, Slit-Robo signal-transduction section; PMCID:PMC5769592, srGAP discussion; review-cited primary: PMID:11672528; primary locator: PMID:11672528	Primary-supported claim: Reviews identify Slit-induced srGAP1 recruitment to Robo1 and Cdc42 inactivation and cite the primary migration-repulsion study. Primary model/assay: Rat anterior subventricular-zone migratory neurons and Robo1/srGAP1 cell systems; Slit stimulation; Robo1-srGAP1 interaction, Cdc42 activity, dominant-negative srGAP1, and migration-repulsion assays	Robo1-associated GAP branch; preserve Cdc42 inactivation rather than activation and neuronal-migration context; no terminal-TF inference.	ligand_receptor_input_pair|transcription_factor|target_gene_expression_or_output	not_asserted	evidence_record_not_causal
