module	b_edge_ids	b_evidence_id	source_kind	support_kind	source_scope	source_locator	species_support	evidence_layer	exportable	confidence_tier	citation_note	evidence_grade	context_level	grading_status	grading_basis	paper_keys	context_basis	limitations	pass_disposition
23B	M23B-E000006	M23B-EVID-000007	primary_research_paper	primary_experiment	contextual_support	PMID:40317093; PMCID:PMC12048928; DOI:10.1186/s40478-025-01995-0	rat	downstream_or_functional	true	medium-high	Stepankova et al. 2025; alpha9-integrin/kindlin-1 intervention	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	DOI:10.1186/s40478-025-01995-0; PMCID:PMC12048928; PMID:40317093	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	No biochemical alpha9beta1-ligand binding or FAK/SRC assay; no alpha9-only group; no motor CST test; matrix localization does not prove direct binding.	retain_for_adjudication
23B	M23B-E000007	M23B-EVID-000008	primary_research_paper	primary_experiment	contextual_support	PMID:40876929; PMCID:PMC12394907; DOI:10.26508/lsa.202503469	mouse	downstream_or_functional	true	medium-high	Morozumi et al. 2025; glycan/ECM and SCI recovery study	B	L5	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	DOI:10.26508/lsa.202503469; PMCID:PMC12394907; PMID:40876929	The register explicitly names an injury model or lesion and an SCI receiver cell or lesion compartment.	No direct receptor-binding or receptor-proximal experiment; constitutive non-cell-specific KO; proposed CD44/hyaluronan and Siglec mechanisms were not tested.	retain_for_adjudication
23B	M23B-E000008	M23B-EVID-000009	primary_research_paper	primary_experiment	direct_edge	PMID:7542249; PMCID:PMC2199946; DOI:10.1083/jcb.130.2.451	mixed mammalian	ligand_receptor_or_direct_molecular	true	 high molecular; low SCI relevance	Primary adhesion study	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	DOI:10.1083/jcb.130.2.451; PMCID:PMC2199946; PMID:7542249	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	Queued receptor ITGB3 is incomplete; alphaVbeta3 complex is required; no SCI or neural model.	retain_for_adjudication
23B	M23B-E000009	M23B-EVID-000010	primary_research_paper	primary_experiment	direct_edge	PMID:14769799; DOI:10.1074/jbc.M310462200	human	ligand_receptor_or_direct_molecular	true	high molecular; low neural relevance	Primary biochemical and cell-surface study	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	DOI:10.1074/jbc.M310462200; PMID:14769799	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	Queued receptor ITGAM alone is incomplete; alphaMbeta2 complex is required; no SCI or glial validation.	retain_for_adjudication
23B	M23B-E000010	M23B-EVID-000011	primary_research_paper	primary_experiment	pathway_membership	PMID:28082119; DOI:10.1016/j.ajpath.2016.11.010	mouse	receptor_proximal_or_pathway	true	medium	Primary SCI peri-scar study	B	L5	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	DOI:10.1016/j.ajpath.2016.11.010; PMID:28082119	The register explicitly names an injury model or lesion and an SCI receiver cell or lesion compartment.	No purified POSTN-integrin binding or alphaVbeta3-specific necessity test.	retain_for_adjudication
23B	M23B-E000011	M23B-EVID-000012	primary_research_paper	primary_experiment	contextual_support	PMID:28082119; DOI:10.1016/j.ajpath.2016.11.010	mouse	downstream_or_functional	true	high function; medium receptor assignment	Primary SCI peri-scar study	B	L4	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	DOI:10.1016/j.ajpath.2016.11.010; PMID:28082119	The register explicitly identifies spinal-cord injury or an injury model, but not an explicit receiver-cell/lesion-compartment match.	Functional POSTN phenotype is established; receptor-level mechanism remains incompletely isolated.	retain_for_adjudication
23B	M23B-E000012	M23B-EVID-000013	primary_research_paper	primary_experiment	direct_edge	PMID:10939329; DOI:10.1016/S0896-6273(00)00007-6	mouse	ligand_receptor_or_direct_molecular	true	 high	Primary neural adhesion study	B	L2	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	DOI:10.1016/S0896-6273(00)00007-6; PMID:10939329	The register identifies a CNS or neural system but not spinal-cord tissue or SCI.	Developmental cortex, not SCI; queued ITGA3 is only one subunit; later genetic studies contest alpha3beta1 requirement.	retain_for_adjudication
23B	M23B-E000013	M23B-EVID-000014	primary_research_paper	primary_experiment	pathway_membership	PMID:10939329; DOI:10.1016/S0896-6273(00)00007-6	mouse	receptor_proximal_or_pathway	true	medium-high	Primary neural migration study	B	L2	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	DOI:10.1016/S0896-6273(00)00007-6; PMID:10939329	The register identifies a CNS or neural system but not spinal-cord tissue or SCI.	Alpha3beta1 requirement is contested; canonical Reelin receptors remain VLDLR/ApoER2; not SCI.	retain_for_adjudication
23B	M23B-E000014	M23B-EVID-000015	primary_research_paper	primary_experiment	pathway_membership	PMID:12879062; DOI:10.1038/nature01790	mouse; chick; rat	receptor_proximal_or_pathway	true	 high	Primary neural guidance study	B	L2	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	DOI:10.1038/nature01790; PMID:12879062	The register identifies a CNS or neural system but not spinal-cord tissue or SCI.	Alpha partner was not resolved; no SCI model.	retain_for_adjudication
23B	M23B-E000015	M23B-EVID-000016	primary_research_paper	primary_experiment	direct_edge	PMID:9614184; PMCID:PMC25364; DOI:10.1091/mbc.9.6.1425	mouse; human	ligand_receptor_or_direct_molecular	true	 high molecular; medium neural relevance	Primary integrin-ligand study	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	DOI:10.1091/mbc.9.6.1425; PMCID:PMC25364; PMID:9614184	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	Kidney/developmental rather than SCI model; queued ITGA8 requires beta1.	retain_for_adjudication
23B	M23B-E000016	M23B-EVID-000017	primary_research_paper	primary_experiment	contextual_support	PMID:17392476; PMCID:PMC6672107	mouse	downstream_or_functional	true	 high	Primary SCI OPN study	B	L5	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC6672107; PMID:17392476	The register explicitly names an injury model or lesion and an SCI receiver cell or lesion compartment.	Receptor was not manipulated; SCI phenotype cannot be assigned specifically to alpha8beta1.	retain_for_adjudication
23B	M23B-E000017	M23B-EVID-000018	primary_research_paper	primary_experiment	direct_edge	PMCID:PMC4116228	mouse; human recombinant systems	ligand_receptor_or_direct_molecular	true	 high	Primary LRP1 binding study	B	L2	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC4116228	The register identifies a CNS or neural system but not spinal-cord tissue or SCI.	Not SCI-specific; LRP1 endocytosis and signaling are coupled.	retain_for_adjudication
23B	M23B-E000018	M23B-EVID-000019	primary_research_paper	primary_experiment	contextual_support	PMCID:PMC4116228	mouse	downstream_or_functional	true	 high	Primary neural LRP1 study	B	L2	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC4116228	The register identifies a CNS or neural system but not spinal-cord tissue or SCI.	Neuronal culture; downstream kinase branch not fully resolved.	retain_for_adjudication
23B	M23B-E000019	M23B-EVID-000020	primary_research_paper	primary_experiment	pathway_membership	PMID:40317093; PMCID:PMC12048928; DOI:10.1186/s40478-025-01995-0	rat	receptor_proximal_or_pathway	true	medium-high	Primary SCI sensory regeneration study	B	L5	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	DOI:10.1186/s40478-025-01995-0; PMCID:PMC12048928; PMID:40317093	The register explicitly names an injury model or lesion and an SCI receiver cell or lesion compartment.	The study uses α9-integrin/kindlin-1 gain-of-function and tissue co-localization/functional assays; it does not report a purified tenascin-C–α9β1 binding assay. Keep tenascin-C, α9β1, kindlin-1, axon-regeneration, and sensory-function records distinct.	retain_for_adjudication
23B	M23B-E000020	M23B-EVID-000021	primary_research_paper	primary_experiment	contextual_support	PMID:29705186; PMCID:PMC5995671; DOI:10.1016/j.nbd.2018.04.014	mouse	downstream_or_functional	true	 high function; receptor unresolved	Primary SCI FnEDA deletion study	B	L4	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	DOI:10.1016/j.nbd.2018.04.014; PMCID:PMC5995671; PMID:29705186	The register explicitly identifies spinal-cord injury or an injury model, but not an explicit receiver-cell/lesion-compartment match.	No receptor-proximal assay; FnEDA abundance does not identify a specific integrin.	retain_for_adjudication
23B	M23B-E000021	M23B-EVID-000022	primary_research_paper	primary_experiment	direct_edge	PMID:9417121; DOI:10.1074/jbc.273.1.600	mammalian tissue	ligand_receptor_or_direct_molecular	true	 high	Primary dystroglycan binding study	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	DOI:10.1074/jbc.273.1.600; PMID:9417121	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	Exact tissue species and CNS injury context are unresolved; alpha-dystroglycan glycosylation is required.	retain_for_adjudication
23B	M23B-E000022	M23B-EVID-000023	primary_research_paper	primary_experiment	contextual_support	PMID:12040032; PMCID:PMC6758826	mouse	downstream_or_functional	true	medium-high	Primary neural synaptic study	B	L2	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC6758826; PMID:12040032	The register identifies a CNS or neural system but not spinal-cord tissue or SCI.	Functional synaptic role is not equivalent to a defined intracellular relay or SCI mechanism.	retain_for_adjudication
23B	M23B-E000023	M23B-EVID-000024	primary_research_paper	primary_experiment	direct_edge	PMID:21127050; PMCID:PMC3030393	human	ligand_receptor_or_direct_molecular	true	 high molecular; low neural relevance	Primary ECM-integrin study	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC3030393; PMID:21127050	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	No SCI, neuronal, or glial model; retained as an ECM mechanistic anchor.	retain_for_adjudication
23B	M23B-E000024	M23B-EVID-000025	primary_research_paper	validated_receptor_pathway	pathway_membership	PMID:28628111; DOI:10.1038/nm.4354; https://pubmed.ncbi.nlm.nih.gov/28628111/	mouse	receptor_proximal_or_pathway	true	high	Primary mouse SCI collagen-I/integrin-N-cadherin pathway study.	B	L5	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	DOI:10.1038/nm.4354; PMID:28628111	The register explicitly names an injury model or lesion and an SCI receiver cell or lesion compartment.	The SCI study does not isolate ITGA1 from other beta1 integrins and does not provide purified collagen-I–alpha1beta1 affinity; direct collagen-I receptor binding must remain a separate evidence layer.	retain_for_adjudication
23B	M23B-E000025	M23B-EVID-000026	primary_research_paper	primary_experiment	contextual_support	PMID:23027386; PMCID:PMC4853194	mouse	downstream_or_functional	true	 high	Primary SCI collagen scar study	B	L4	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC4853194; PMID:23027386	The register explicitly identifies spinal-cord injury or an injury model, but not an explicit receiver-cell/lesion-compartment match.	No ITGAV/ITGB8 assay; does not establish a receptor edge.	retain_for_adjudication
23B	M23B-E000026	M23B-EVID-000027	primary_research_paper	validated_direct_binding_with_functional_context	direct_edge	PMID:8344274; DOI:10.1111/j.1432-1033.1993.tb18017.x; PMCID:PMC2288935; PMID:2010469; PMID:7535784; https://pubmed.ncbi.nlm.nih.gov/8344274/; https://pmc.ncbi.nlm.nih.gov/articles/PMC2288935/	human recombinant integrins; rat neural cells	ligand_receptor_or_direct_molecular	true	high	Primary isolated-integrin binding plus neural functional context for collagen-IV/alpha1beta1.	B	L2	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	DOI:10.1111/j.1432-1033.1993.tb18017.x; PMCID:PMC2288935; PMID:2010469; PMID:7535784; PMID:8344274	The register identifies a CNS or neural system but not spinal-cord tissue or SCI.	The purified binding paper maps collagen-IV fragment recognition and ion dependence but is not an SCI model; the neural functional paper does not itself provide purified affinity or collagen-chain resolution.	retain_for_adjudication
23B	M23B-E000027	M23B-EVID-000028	primary_research_paper	primary_experiment	pathway_membership	PMID:21176409	mouse	receptor_proximal_or_pathway	true	medium	Primary integrin migration study	B	L1	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMID:21176409	A traceable source or species context is present, but no CNS, spinal-cord, or SCI context is established.	Non-neural model; no SCI or axon assay; collagen-IV chain not resolved.	retain_for_adjudication
23B	M23B-E000028	M23B-EVID-000029	primary_research_paper	primary_experiment	contextual_support	PMID:40384159; PMCID:PMC12184084	human; rat	downstream_or_functional	true	medium	Primary neural scaffold study	B	L2	rule_based_provisional	Register identifies a traceable primary source; independent corroboration was not explicitly recorded on this row.	PMCID:PMC12184084; PMID:40384159	The register identifies a CNS or neural system but not spinal-cord tissue or SCI.	No receptor perturbation; no COL4A1-5 chain assignment; cannot promote any listed receptor edge.	retain_for_adjudication
23B		M23B-EVID-000030	search_boundary	negative_evidence	negative_evidence	local:work/module23a/module23a_extraction_queue.tsv; queue_ids:M23A-Q0052,M23A-Q0054,M23A-Q0056,M23A-Q0059,M23A-Q0060	unresolved	contextual_or_unresolved	false	unresolved	Batch 002 bounded search	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.		The row is a negative/bounded record and does not establish positive context for the asserted relationship.	Family-level or pathway adjacency was not substituted for exact pair evidence.	boundary_or_nonpromotable
23B		M23B-EVID-000031	search_boundary	negative_evidence	negative_evidence	local:work/module23a/module23a_extraction_queue.tsv; queue_ids:M23A-Q0062-M23A-Q0065,M23A-Q0067,M23A-Q0069,M23A-Q0074-M23A-Q0100	unresolved	contextual_or_unresolved	false	unresolved	Batch 002 bounded search	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.		The row is a negative/bounded record and does not establish positive context for the asserted relationship.	Do not expand beta1-family or alpha4beta7/VCAM1 biology across queued candidates.	boundary_or_nonpromotable
23B		M23B-EVID-000032	search_boundary	negative_evidence	negative_evidence	local:work/module23a/module23a_extraction_queue.tsv; queue_ids:M23A-Q0102,M23A-Q0103,M23A-Q0106-M23A-Q0107,M23A-Q0109-M23A-Q0150	unresolved	contextual_or_unresolved	false	unresolved	Batch 003 bounded search	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.		The row is a negative/bounded record and does not establish positive context for the asserted relationship.	Family-level collagen-IV scaffold and alpha1/alpha2beta1 evidence did not validate chain-specific receptor pairs.	boundary_or_nonpromotable
23B		M23B-EVID-000033	search_boundary	negative_evidence	negative_evidence	local:work/module23a/module23a_extraction_queue.tsv; PMID:10713126	unresolved	contextual_or_unresolved	false	unresolved	Batch 004 bounded search	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.	PMID:10713126	The row is a negative/bounded record and does not establish positive context for the asserted relationship.	Do not assign family-level NC1 or alphaV/beta1 evidence to the queued complexes.	boundary_or_nonpromotable
23B		M23B-EVID-000034	search_boundary	negative_evidence	negative_evidence	local:work/module23a/module23a_extraction_queue.tsv; PMID:10772239; PMID:11572855; PMID:12210739; PMCID:PMC8552870	unresolved	contextual_or_unresolved	false	unresolved	Batch 004 bounded search	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.	PMCID:PMC8552870; PMID:10772239; PMID:11572855; PMID:12210739	The row is a negative/bounded record and does not establish positive context for the asserted relationship.	NG2/CSPG4 and NCAM1 are not queued receptors; do not transfer family evidence to COL6A1-specific edges.	boundary_or_nonpromotable
23B		M23B-EVID-000035	search_boundary	negative_evidence	negative_evidence	local:work/module23a/module23a_extraction_queue.tsv; PMID:11572855; PMCID:PMC8552870	unresolved	contextual_or_unresolved	false	unresolved	Batch 004 bounded search	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.	PMCID:PMC8552870; PMID:11572855	The row is a negative/bounded record and does not establish positive context for the asserted relationship.	Do not transfer COL6A1, COL6A3, or family-level ColVI evidence to COL6A2.	boundary_or_nonpromotable
23B		M23B-EVID-000036	search_boundary	negative_evidence	negative_evidence	local:work/module23a/module23a_extraction_queue.tsv; PMID:40166934; PMCID:PMC11957695	unresolved	contextual_or_unresolved	false	unresolved	Batch 004 bounded search	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.	PMCID:PMC11957695; PMID:40166934	The row is a negative/bounded record and does not establish positive context for the asserted relationship.	Negative or dispensable ITGA1/ITGA10 findings in the cited model do not validate other queued complexes.	boundary_or_nonpromotable
23B		M23B-EVID-000037	search_boundary	negative_evidence	negative_evidence	local:work/module23a/module23a_extraction_queue.tsv; PMID:11572855; PMCID:PMC8552870	unresolved	contextual_or_unresolved	false	unresolved	Batch 004 bounded search	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.	PMCID:PMC8552870; PMID:11572855	The row is a negative/bounded record and does not establish positive context for the asserted relationship.	COL6A4 was not resolved in the cited family-level studies.	boundary_or_nonpromotable
23B		M23B-EVID-000038	search_boundary	negative_evidence	negative_evidence	local:work/module23a/module23a_extraction_queue.tsv; PMID:8387021	unresolved	contextual_or_unresolved	false	unresolved	Batch 005 bounded search	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.	PMID:8387021	The row is a negative/bounded record and does not establish positive context for the asserted relationship.	PMID 8387021 concerns collagen-VI alpha1-3 material, not alpha4-6 chains.	boundary_or_nonpromotable
23B		M23B-EVID-000039	search_boundary	negative_evidence	negative_evidence	local:work/module23a/module23a_extraction_queue.tsv; PMID:15383545	unresolved	contextual_or_unresolved	false	unresolved	Batch 005 bounded search	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.	PMID:15383545	The row is a negative/bounded record and does not establish positive context for the asserted relationship.	The cited type IX study assigned adhesion to collagen-binding integrins, not CD44.	boundary_or_nonpromotable
23B		M23B-EVID-000040	search_boundary	negative_evidence	negative_evidence	local:work/module23a/module23a_extraction_queue.tsv; PMID:15383545	unresolved	contextual_or_unresolved	false	unresolved	Batch 005 bounded search	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.	PMID:15383545	The row is a negative/bounded record and does not establish positive context for the asserted relationship.	The primary study tested alpha1beta1, alpha2beta1, alpha10beta1, and alpha11beta1 instead.	boundary_or_nonpromotable
23B		M23B-EVID-000041	search_boundary	negative_evidence	negative_evidence	local:work/module23a/module23a_extraction_queue.tsv; PMID:15383545	unresolved	contextual_or_unresolved	false	unresolved	Batch 005 bounded search	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.	PMID:15383545	The row is a negative/bounded record and does not establish positive context for the asserted relationship.	Do not substitute alpha9beta1 for the four collagen-binding integrins directly tested.	boundary_or_nonpromotable
23B		M23B-EVID-000042	search_boundary	negative_evidence	negative_evidence	local:work/module23a/module23a_extraction_queue.tsv; PMID:15383545	unresolved	contextual_or_unresolved	false	unresolved	Batch 005 bounded search	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.	PMID:15383545	The row is a negative/bounded record and does not establish positive context for the asserted relationship.	The cited study did not test alphaVbeta8.	boundary_or_nonpromotable
23B		M23B-EVID-000043	search_boundary	negative_evidence	negative_evidence	local:work/module23a/module23a_extraction_queue.tsv; PMID:15383545	unresolved	contextual_or_unresolved	false	unresolved	Batch 005 bounded search	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.	PMID:15383545	The row is a negative/bounded record and does not establish positive context for the asserted relationship.	Integrin evidence cannot be transferred to SDC1.	boundary_or_nonpromotable
23B		M23B-EVID-000044	search_boundary	negative_evidence	negative_evidence	local:work/module23a/module23a_extraction_queue.tsv; PMID:15383545	unresolved	contextual_or_unresolved	false	unresolved	Batch 005 bounded search	E	L0	rule_based_provisional	Reviewed negative/bounded or no-exact-primary evidence; non-promotable by the rubric.	PMID:15383545	The row is a negative/bounded record and does not establish positive context for the asserted relationship.	Integrin evidence cannot be transferred to SDC4.	boundary_or_nonpromotable
