extraction_id	source_review_id	b_evidence_id	b_edge_ids	source_a_evidence_id	primary_locator	local_source_path	source_format	source_artifact_status	evidence_layer	source_scope	confidence_tier	registered_evidence_summary	source_excerpt	excerpt_sentence_index	excerpt_match_terms	extraction_method	paper_extraction_status	human_validation_status	promotion_status	limitations	consolidation_note
M23B-X-20260905-011	EXPAND23A-REV-069	M23B-EVID-EXPAND23A-164	M23B-E001220	M23A-EXPAND23A-EVID-165	PMID:8387021; DOI:10.1006/excr.1993.1134	data/raw/evidence/module23a_review_led_20260904/collagen_vi_integrin_receptors_pubmed.xml	xml_or_metadata	local_abstract_or_metadata_artifact	ligand_receptor_binding	non-SCI cell-adhesion comparator	medium-high	The primary study maps denatured collagen-VI recognition to beta1-integrin usage and reports alpha5beta1 activity in the denatured-substrate context.	Recognition of the denatured substrate is mediated by beta 1 and beta 3 integrins.	10	maps;denatured;collagen-vi;recognition;beta1-integrin;usage;reports;alpha5beta1;activity;denatured-substrate;non-sci;cell-adhesion	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_abstract_or_metadata	required	not_promoted	The abstract does not resolve every alpha-subunit contribution or establish a purified binary alpha5beta1 affinity value; native and denatured substrates must remain separate.	The denatured alpha5beta1 layer remains separate from native collagen-VI receptor layers and alphaVbeta3.
M23B-X-20260905-012	EXPAND23A-REV-069	M23B-EVID-EXPAND23A-165	M23B-E001221	M23A-EXPAND23A-EVID-166	PMID:8387021; DOI:10.1006/excr.1993.1134	data/raw/evidence/module23a_review_led_20260904/collagen_vi_integrin_receptors_pubmed.xml	xml_or_metadata	local_abstract_or_metadata_artifact	ligand_receptor_binding	non-SCI cell-adhesion comparator	medium-high	The primary study maps denatured collagen-VI recognition to beta3-integrin usage and reports alphaVbeta3 activity in the denatured-substrate context.	Recognition of the denatured substrate is mediated by beta 1 and beta 3 integrins.	10	maps;denatured;collagen-vi;recognition;beta3-integrin;usage;reports;alphavbeta3;activity;denatured-substrate;non-sci;cell-adhesion	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_abstract_or_metadata	required	not_promoted	The abstract does not resolve every alpha-subunit contribution; weak alphaIIbbeta3 activity and non-SCI cell-adhesion scope remain separate limits.	The denatured alphaVbeta3 layer remains separate from native collagen-VI receptor layers and alpha5beta1.
M23B-X-20260905-013	EXPAND23A-REV-070	M23B-EVID-EXPAND23A-166	M23B-E001222	M23A-EXPAND23A-EVID-167	PMCID:PMC3490216; PMID:23055486; DOI:10.1523/JNEUROSCI.1402-12.2012	data/raw/evidence/module23a_review_led_20260904/pacap_vpac1_amygdala_fulltext.html	html_full_text	local_full_text_artifact	receptor_proximal_relay	acute rat BLA-CeL slice electrophysiology; PACAP6-38 and PG 97-269 receptor-dissection controls	medium-high	PACAP38 potentiates BLA-CeL EPSCs after washout, while selective VPAC1 antagonist PG 97-269 prevents potentiation and PACAP6-38 does not at the tested concentration, supporting VPAC1 mediation.	To identify the receptor subtype mediating the observed potentiation at the BLA–CeL synapses, we first tested the effects of PACAP38 (5 n m ) in the presence of PACAP6-38 (250 n m ), known to block both PAC1 and VPAC2 receptors ( Robberecht et al, 1992 ; Fizanne et al, 2004 ), but not VPAC1 receptors when used in this concentration ( Dickinson et al, 1997 ).	186	pacap38;potentiates;bla-cel;epscs;after;washout;while;selective;vpac1;antagonist;prevents;potentiation	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_full_text	required	not_promoted	The study uses pharmacological receptor dissection rather than direct ligand-receptor binding; no traumatic-SCI relay or universal behavioral mechanism is established.	The receptor-mediation layer remains separate from the downstream PKA, CaMKII, and GluR1-targeting layers.
M23B-X-20260905-014	EXPAND23A-REV-070	M23B-EVID-EXPAND23A-167	M23B-E001223	M23A-EXPAND23A-EVID-168	PMCID:PMC3490216; PMID:23055486; DOI:10.1523/JNEUROSCI.1402-12.2012	data/raw/evidence/module23a_review_led_20260904/pacap_vpac1_amygdala_fulltext.html	html_full_text	local_full_text_artifact	downstream_pathway_or_cellular_function	acute rat BLA-CeL slice electrophysiology; postsynaptic CeL recordings	medium-high	Intracellular Rp-cAMPS blocks PACAP38-induced BLA-CeL synaptic potentiation, supporting a required postsynaptic cAMP/PKA layer.	The intracellular introduction of Rp-cAMPS resulted in a complete block of synaptic potentiation by PACAP38, with the EPSC amplitude remaining at 106 ± 6% of the baseline value ( Fig 6 A , D ; n = 7; paired t test, p = 0.38), suggesting that activation of the cAMP/PKA pathways might be required for the PACAP effect on synaptic transmission.	238	intracellular;rp-camps;blocks;pacap38-induced;bla-cel;synaptic;potentiation;required;postsynaptic;camp;acute;slice	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_full_text	required	not_promoted	Rp-cAMPS supports PKA dependence but not direct binding, complete ordering, SCI transfer, or terminal-TF transfer.	The PKA layer remains separate from VPAC1 mediation, CaMKII dependence, and GluR1 targeting.
M23B-X-20260905-015	EXPAND23A-REV-070	M23B-EVID-EXPAND23A-168	M23B-E001224	M23A-EXPAND23A-EVID-169	PMCID:PMC3490216; PMID:23055486; DOI:10.1523/JNEUROSCI.1402-12.2012	data/raw/evidence/module23a_review_led_20260904/pacap_vpac1_amygdala_fulltext.html	html_full_text	local_full_text_artifact	downstream_pathway_or_cellular_function	acute rat BLA-CeL slice electrophysiology; postsynaptic CeL recordings	medium-high	Intracellular AIP suppresses PACAP38-induced BLA-CeL synaptic potentiation, supporting a required postsynaptic CaMKII layer.	This potentiation was associated with increased postsynaptic responsiveness of CeL neurons to glutamate, without significant changes in presynaptic function, through the intracellular mechanism that implicated both cAMP/PKA and CaMKII-dependent signaling, thus resulting in increased targeting of GluR1 subunit-containing AMPA receptors to the sites of synaptic transmission ( Fig 9 ) ( Hayashi et al, 2000 ).	298	intracellular;suppresses;pacap38-induced;bla-cel;synaptic;potentiation;required;postsynaptic;camkii;acute;slice;electrophysiology	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_full_text	required	not_promoted	AIP supports CaMKII dependence but not direct binding, complete ordering, SCI transfer, or terminal-TF transfer.	The CaMKII layer remains separate from VPAC1 mediation, PKA dependence, and GluR1 targeting.
M23B-X-20260905-016	EXPAND23A-REV-070	M23B-EVID-EXPAND23A-169	M23B-E001225	M23A-EXPAND23A-EVID-170	PMCID:PMC3490216; PMID:23055486; DOI:10.1523/JNEUROSCI.1402-12.2012	data/raw/evidence/module23a_review_led_20260904/pacap_vpac1_amygdala_fulltext.html	html_full_text	local_full_text_artifact	downstream_pathway_or_cellular_function	acute rat BLA-CeL slice electrophysiology; postsynaptic CeL recordings	medium-high	Intracellular Pep1-TGL blocks PACAP38-induced potentiation, supporting a requirement for synaptic targeting of GluR1-containing AMPA receptors at BLA-CeL synapses.	Enhanced synaptic targeting of GluR1 subunit-containing AMPA receptors may underlie PACAP-induced potentiation The involvement of postsynaptic signaling mechanisms in synaptic effects of PACAP, as well as postsynaptic expression of PACAP38-induced potentiation ( Fig 3 A , C ), suggested to us that postsynaptic trafficking of GluR1 subunit-containing AMPA receptor to the sites of synaptic transmission could contribute to PACAP-induced synaptic strengthening ( Hayashi et al, 2000 ).	259	intracellular;pep1-tgl;blocks;pacap38-induced;potentiation;requirement;synaptic;targeting;glur1-containing;ampa;receptors;bla-cel	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_full_text	required	not_promoted	Pep1-TGL supports a trafficking requirement rather than direct PACAP-AMPAR binding; no traumatic-SCI transfer or universal behavioral claim is established.	The GluR1-targeting layer remains separate from VPAC1 mediation, PKA, and CaMKII dependence.
M23B-X-20260905-017	EXPAND23A-REV-071	M23B-EVID-EXPAND23A-170	M23B-E001226	M23A-EXPAND23A-EVID-171	PMCID:PMC4140269; PMID:24825906; DOI:10.1074/jbc.M114.558809	data/raw/evidence/module23a_review_led_20260904/ephrinb1_cnk1_fulltext.html	html_full_text	local_full_text_artifact	ligand_receptor_binding	cellular association comparator	medium-high	EphrinB1 co-immunoprecipitates with CNK1, and domain deletions disrupt the association independently of EphB receptors.	PDZ Binding Motif of EphrinB1 and the CRIC Domain of CNK1 Is Important for the Association To assess which amino acids in ephrinB1 are critical for an interaction with CNK1, progressive deletions were generated in the C-terminal region of the intracellular domain of ephrinB1 ( Fig 2 A ).	121	ephrinb1;co-immunoprecipitates;with;cnk1;domain;deletions;disrupt;association;independently;ephb;receptors;cellular	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_full_text	required	not_promoted	Cellular co-immunoprecipitation does not establish purified binary affinity or an EphB receptor complex; no traumatic-SCI transfer is established.	The association layer remains separate from RhoA-JNK relay and migration function.
M23B-X-20260905-018	EXPAND23A-REV-071	M23B-EVID-EXPAND23A-171	M23B-E001227	M23A-EXPAND23A-EVID-172	PMCID:PMC4140269; PMID:24825906; DOI:10.1074/jbc.M114.558809	data/raw/evidence/module23a_review_led_20260904/ephrinb1_cnk1_fulltext.html	html_full_text	local_full_text_artifact	receptor_proximal_relay	cellular reverse-signaling comparator	medium-high	EphrinB1/CNK1 increases JNK phosphorylation through RhoA-linked signaling and CNK1-associated p115RhoGEF/MKK4 complexes; RhoA and kinase perturbations suppress the relay.	Co-immunoprecipitation data showed that ephrinB1 and CNK1 act as scaffold proteins that connect RhoA and JNK signaling components, such as p115RhoGEF and MKK4.	22	ephrinb1;cnk1;increases;phosphorylation;through;rhoa-linked;signaling;cnk1-associated;p115rhogef;mkk4;complexes;rhoa	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_full_text	required	not_promoted	Complex mapping and perturbation support the relay without fully reconstituting biochemical order; no traumatic-SCI transfer is established.	The RhoA-JNK relay remains separate from cellular association and migration function.
M23B-X-20260905-019	EXPAND23A-REV-071	M23B-EVID-EXPAND23A-172	M23B-E001228	M23A-EXPAND23A-EVID-173	PMCID:PMC4140269; PMID:24825906; DOI:10.1074/jbc.M114.558809	data/raw/evidence/module23a_review_led_20260904/ephrinb1_cnk1_fulltext.html	html_full_text	local_full_text_artifact	downstream_pathway_or_cellular_function	EphrinB1-expressing HeLa fibronectin-adhesion and migration systems	medium-high	EphrinB1 increases migration, while CNK1 depletion or Rho-kinase/JNK inhibition suppresses the phenotype and CNK1 rescue partially restores it.	However, our finding shows that ephrinB1 overexpression in HeLa cells promotes cell migration even in the absence of Eph receptor binding, and depletion of CNK1 suppresses ephrinB1-dependent cell migration.	356	ephrinb1;increases;migration;while;cnk1;depletion;rho-kinase;inhibition;suppresses;phenotype;rescue;partially	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_full_text	required	not_promoted	The functional output is limited to human cell-line, fibronectin, siRNA, and inhibitor assays; no neural or traumatic-SCI function is established.	The migration layer remains separate from EphB-independent association and RhoA-JNK relay.
M23B-X-20260905-020	EXPAND23A-REV-072	M23B-EVID-EXPAND23A-173	M23B-E001229	M23A-EXPAND23A-EVID-174	PMID:10617638; DOI:10.1074/jbc.275.1.451	data/raw/evidence/module23a_review_led_20260904/laminin_sv2_pubmed.xml	xml_or_metadata	local_abstract_or_metadata_artifact	ligand_receptor_binding	non-SCI electric-organ synapse comparator	medium-high	The study reports an alpha5-containing laminin complexed with SV2 on electric-organ synaptosomes and high-affinity binding between purified SV2 and laminin-1.	Here we show that SV2, a synaptic vesicle transmembrane proteoglycan, is complexed with a 900-kDa laminin on synaptosomes from the electric organ synapse that is similar to the neuromuscular junctions.	5	reports;alpha5-containing;laminin;complexed;with;electric-organ;synaptosomes;high-affinity;binding;between;purified;laminin-1	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_abstract_or_metadata	required	not_promoted	The alpha5-containing synaptosome laminin and purified laminin-1 assay are related but not identical isoform assignments; SV2 isoform and traumatic-SCI relay/function remain unresolved.	The exact binding layer remains separate from laminin-beta2/SV2-family association and any downstream presynaptic function.
M23B-X-20260905-021	EXPAND23A-REV-073	M23B-EVID-EXPAND23A-174	M23B-E001230	M23A-EXPAND23A-EVID-175	PMID:8118028; DOI:10.1182/blood.V83.5.1244.1244; https://pubmed.ncbi.nlm.nih.gov/8118028/		missing	no_local_artifact	downstream_or_functional	non-SCI hemostasis comparator	medium-high	Adhesion to purified type-VI collagen is observed under static and flow conditions and is completely inhibited by anti-GPIa; the study supports an alpha2beta1-dependent platelet-adhesion function.		0		deterministic_sentence_match_against_local_artifact	awaiting_source_acquisition	required	not_promoted	This is a receptor-blockade functional assay rather than purified collagen-VI-alpha2beta1 affinity; collagen preparation, low-reactivity/flow scope, and no traumatic-SCI, GPVI, or downstream intracellular relay remain explicit.	The platelet-adhesion function layer remains separate from purified alpha2beta1 binding, GPVI, and any downstream signaling claim.
