promotion_id	a_edge_id	b_edge_id	source_a_evidence_ids	source_locator	decision	edge_status_after	exportable	reason	limitations
EXPAND23A-BULK-0003	M23A-E215	M23B-E000184	M23A-B011-EVID-003	PMID:9539703; PMCID:PMC276084; PMID:19050286	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=high); exact A-to-B mapping resolved.	Valency, cations, force, and activation state matter; no free ITGB2 edge.
EXPAND23A-BULK-0004	M23A-E216	M23B-E000185	M23A-B011-EVID-004	PMID:9539703; PMCID:PMC276084; PMID:19050286	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium-high); exact A-to-B mapping resolved.	No terminal TF or universal leukocyte program is established.
EXPAND23A-BULK-0005	M23A-E217	M23B-E000186	M23A-B011-EVID-005	PMCID:PMC2116396; PMCID:PMC2860599; PMID:9886254	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium-high); exact A-to-B mapping resolved.	Stimulus and force dependence differ from LFA-1; no free ITGAM or ITGB2 edge.
EXPAND23A-BULK-0006	M23A-E218	M23B-E000187	M23A-B011-EVID-006	PMCID:PMC2116396; PMCID:PMC2860599; PMID:9886254	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium); exact A-to-B mapping resolved.	Exact downstream branch is context-dependent and not a terminal TF result.
EXPAND23A-BULK-0007	M23A-E219	M23B-E000188	M23A-B011-EVID-007	PMID:23744080; PMCID:PMC3724651; DOI:10.1074/jbc.M112.442731	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium-high); exact A-to-B mapping resolved.	Glycosaminoglycan modification and receptor isoform state are required.
EXPAND23A-BULK-0008	M23A-E220	M23B-E000189	M23A-B011-EVID-008	PMID:23744080; PMCID:PMC3724651; PMID:35288653	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium-high); exact A-to-B mapping resolved.	Not a universal substitute for CSF1R signaling; disease model is macrophage-focused.
EXPAND23A-BULK-0009	M23A-E221	M23B-E000190	M23A-B011-EVID-010	PMID:27243554; PMCID:PMC4913371	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=high); exact A-to-B mapping resolved.	Strongest pathway dissection is in engineered CHO-RXFP4 cells.
EXPAND23A-BULK-0010	M23A-E222	M23B-E000191	M23A-B011-EVID-011	PMID:27243554; PMCID:PMC4913371	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium-high); exact A-to-B mapping resolved.	Intermediate links are inhibitor-based; no terminal TF.
EXPAND23A-BULK-0011	M23A-E223	M23B-E000192	M23A-B011-EVID-013	PMID:10209034; PMID:38498701	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium-high); exact A-to-B mapping resolved.	Complete heterodimer is required; no free ITGA9/ITGB1 edge.
EXPAND23A-BULK-0012	M23A-E224	M23B-E000193	M23A-B011-EVID-014	PMID:38498701	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium); exact A-to-B mapping resolved.	No terminal TF occupancy assay; not SCI-specific.
EXPAND23A-BULK-0013	M23A-E225	M23B-E000194	M23A-B011-EVID-015	PMID:18346467; PMID:23481656	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium); exact A-to-B mapping resolved.	Direct receptor is alphaVbeta3, not free ITGAV; syndecan-4 remains a co-receptor.
EXPAND23A-BULK-0014	M23A-E226	M23B-E000195	M23A-B011-EVID-016	PMID:18346467; PMID:23481656	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium); exact A-to-B mapping resolved.	No terminal TF; alphaVbeta3/syndecan-4 complex is required.
EXPAND23A-BULK-0015	M23A-E227	M23B-E000196	M23A-B011-EVID-017	PMID:14996702; PMID:15149544; PMID:23887971	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=high); exact A-to-B mapping resolved.	Lineage and differentiation state affect output.
EXPAND23A-BULK-0016	M23A-E228	M23B-E000197	M23A-B011-EVID-018	PMID:14996702; PMID:15149544; PMID:23887971	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=high); exact A-to-B mapping resolved.	Branch dependence differs by maturation state; no terminal TF assigned.
EXPAND23A-BULK-0017	M23A-E229	M23B-E000198	M23A-B011-EVID-020	PMCID:PMC5580876; PMCID:PMC4281560	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=high); exact A-to-B mapping resolved.	Downstream-only evidence; TAZ/TEAD belongs in Module 22A and is not transferred here as a direct receptor edge.
EXPAND23A-BULK-0018	M23A-E230	M23B-E000199	M23A-B011-EVID-021	PMID:11884516; PMID:22843693	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium); exact A-to-B mapping resolved.	Direct LAMB3-CD151 binding was not isolated.
EXPAND23A-BULK-0019	M23A-E231	M23B-E000200	M23A-B011-EVID-022	PMID:11884516; PMID:22843693; PMID:17314405	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium); exact A-to-B mapping resolved.	Do not collapse syndecan-1 and CD151-integrin mechanisms into a direct LAMC2-CD151 edge.
EXPAND23A-BULK-0020	M23A-E232	M23B-E000201	M23A-B011-EVID-023	PMID:14550305	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium-high); exact A-to-B mapping resolved.	Alpha partner and purified heterodimer affinity are unresolved.
EXPAND23A-BULK-0021	M23A-E233	M23B-E000202	M23A-B011-EVID-024	PMID:14550305	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium-high); exact A-to-B mapping resolved.	No terminal TF; alpha partner unresolved.
EXPAND23A-BULK-0022	M23A-E234	M23B-E000203	M23A-B011-EVID-025	PMID:31627033; DOI:10.1016/j.cyto.2019.154872	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium); exact A-to-B mapping resolved.	Cell-type differences and ADAM23/Syntaxin1 context remain unresolved; no direct free-subunit substitution.
EXPAND23A-BULK-0023	M23A-E235	M23B-E000204	M23A-B011-EVID-026	PMID:23553626; PMID:17868448; DOI:10.1074/jbc.M113.462630	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium-high); exact A-to-B mapping resolved.	Complete heterodimer and activation state are required; cytokine induction of MAdCAM1 is source-cell context.
EXPAND23A-BULK-0024	M23A-E236	M23B-E000205	M23A-B011-EVID-027	PMID:23553626; PMID:17868448; DOI:10.1074/jbc.M113.462630	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium); exact A-to-B mapping resolved.	No terminal TF.
EXPAND23A-BULK-0025	M23A-E237	M23B-E000206	M23A-B011-EVID-028	PMID:18851943; DOI:10.1016/j.bbrc.2008.09.138	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=high); exact A-to-B mapping resolved.	Complex edge, not isolated TSPAN1 signaling; STAT1-alpha is pathway output, not direct ligand-TF evidence.
EXPAND23A-BULK-0026	M23A-E238	M23B-E000207	M23A-B011-EVID-029	PMID:21868707; PMCID:PMC6999705	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium-high); exact A-to-B mapping resolved.	Alpha partner and assembled complex are required; no free ITGAV edge.
EXPAND23A-BULK-0027	M23A-E239	M23B-E000208	M23A-B011-EVID-030	PMCID:PMC3707630	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=high); exact A-to-B mapping resolved.	CD74 and CD44 are a complex; no isolated CD74-only functional claim.
EXPAND23A-BULK-0028	M23A-E240	M23B-E000209	M23A-B011-EVID-031	PMID:17045821; PMCID:PMC1892765	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium-high); exact A-to-B mapping resolved.	Cell context and CD44 isoform affect the branch; no terminal TF.
EXPAND23A-BULK-0029	M23A-E241	M23B-E000210	M23A-B011-EVID-032	PMID:18713744; PMCID:PMC2570862	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=high); exact A-to-B mapping resolved.	Proteolytic relay is distinct from ligand binding; cleavage state and cell context matter.
EXPAND23A-BULK-0030	M23A-E242	M23B-E000211	M23A-B011-EVID-033	PMID:7939629; PMCID:PMC4815273	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=high); exact A-to-B mapping resolved.	MSP is processed alpha/beta ligand; do not generalize to uncleaved precursor.
EXPAND23A-BULK-0031	M23A-E243	M23B-E000212	M23A-B011-EVID-034	PMID:7939629; PMCID:PMC4815273	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium-high); exact A-to-B mapping resolved.	No terminal TF and no SCI receiver state.
EXPAND23A-BULK-0032	M23A-E244	M23B-E000213	M23A-B011-EVID-035	PMID:12791257; PMCID:PMC2806277	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=high); exact A-to-B mapping resolved.	Co-receptor association is not a claim that NCAM1 is the FGF ligand.
EXPAND23A-BULK-0033	M23A-E245	M23B-E000214	M23A-B011-EVID-036	PMID:18353777	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium-high); exact A-to-B mapping resolved.	Complex architecture and ligand presentation are context-dependent.
EXPAND23A-BULK-0034	M23A-E246	M23B-E000215	M23A-B011-EVID-037	PMID:7961669; PMID:10704499	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=high); exact A-to-B mapping resolved.	Membrane presentation and polysialylation state affect adhesion.
EXPAND23A-BULK-0035	M23A-E247	M23B-E000216	M23A-B011-EVID-038	PMID:7961669; PMID:10704499	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium-high); exact A-to-B mapping resolved.	No terminal TF.
EXPAND23A-BULK-0036	M23A-E248	M23B-E000217	M23A-B011-EVID-039	PMID:18809727; PMCID:PMC2542478	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=high); exact A-to-B mapping resolved.	NCAM isoform-specific; do not generalize to all NCAM1 forms.
EXPAND23A-BULK-0037	M23A-E249	M23B-E000218	M23A-B011-EVID-040	PMID:16319926; PMID:17324588; PMCID:PMC2699283	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=high); exact A-to-B mapping resolved.	TRPV1 is a downstream effector; initiating receptor is TrkA, not a direct NGF-TRPV1 interaction.
EXPAND23A-BULK-0038	M23A-E250	M23B-E000219	M23A-B008-EVID-012;M23A-B008-EVID-014;M23A-B011-EVID-041	PMID:11470831; PMID:19342381; PMCID:PMC2682901; DOI:10.1074/jbc.M900200200; PMID:11470831; PMID:19342381; PMID:17537792; PMCID:PMC2757411; PMID:19342381	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (3 qualifying evidence record(s); confidence=high); exact A-to-B mapping resolved.	FRAS1/FREM1 are scaffold context, not independently validated ligands; no SCI model. | FRAS1/FREM2 stabilize matrix organization; they are not independently validated receptor ligands. | Shared source and experiment support both queue aliases; do not count as independent evidence.
EXPAND23A-BULK-0039	M23A-E251	M23B-E000220	M23A-B011-EVID-042	PMCID:PMC2757411; PMID:19342381	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium-high); exact A-to-B mapping resolved.	No terminal TF and shared evidence across Q0534/Q0535.
EXPAND23A-BULK-0040	M23A-E252	M23B-E000221	M23A-B011-EVID-043	PMCID:PMC4369087; PMCID:PMC2172498	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium-high); exact A-to-B mapping resolved.	NEO1/DCC family architecture and splice context affect signaling.
EXPAND23A-BULK-0041	M23A-E253	M23B-E000222	M23A-B011-EVID-044	PMID:15520228; PMCID:PMC2172498	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium); exact A-to-B mapping resolved.	Soluble stimulation included chicken netrin-2 comparator; no direct NTN3-CDON interface or terminal TF edge.
EXPAND23A-BULK-0042	M23A-E254	M23B-E000223	M23A-B011-EVID-046	PMID:18719102; PMCID:PMC2902137; PMCID:PMC3909532	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium); exact A-to-B mapping resolved.	No isolated NTN4-UNC5B binding; receptor-independent NTN4 outputs occur in some contexts.
EXPAND23A-BULK-0043	M23A-E255	M23B-E000224	M23A-B011-EVID-047	PMID:18719102; PMCID:PMC2902137; PMCID:PMC3909532	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium); exact A-to-B mapping resolved.	Complex-dependent, non-SCI comparator; no terminal TF.
EXPAND23A-BULK-0044	M23A-E256	M23B-E000225	M23A-B011-EVID-048	PMID:12881526	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium); exact A-to-B mapping resolved.	No direct PDGFB-ITGAV binding; beta partner and PDGFRB are required.
EXPAND23A-BULK-0045	M23A-E257	M23B-E000226	M23A-B011-EVID-049	PMID:11854294; PMID:11854295; PMID:15944146; PMCID:PMC2863204	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=high); exact A-to-B mapping resolved.	LRP1 is an endocytic/signaling co-receptor, not the canonical PDGF kinase receptor.
EXPAND23A-BULK-0046	M23A-E258	M23B-E000227	M23A-B011-EVID-050	PMCID:PMC2863204; PMID:15944146	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=high); exact A-to-B mapping resolved.	Do not represent as LRP1-only PDGF signaling; no terminal TF.
EXPAND23A-BULK-0047	M23A-E259	M23B-E000228	M23A-B011-EVID-051	PMCID:PMC2749330; PMID:20154219; PMID:38561690	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium-high); exact A-to-B mapping resolved.	Ligand multimerization and platelet/megakaryocyte context are required.
EXPAND23A-BULK-0048	M23A-E260	M23B-E000229	M23A-B011-EVID-052	PMCID:PMC2749330; PMID:20154219; PMID:38561690	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium-high); exact A-to-B mapping resolved.	No terminal TF; tumor outputs do not establish a universal endpoint.
EXPAND23A-BULK-0049	M23A-E261	M23B-E000230	M23A-B011-EVID-053	PMID:7929268; PMID:12796773; DOI:10.1074/jbc.273.35.22272	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium-high); exact A-to-B mapping resolved.	Isoform, soluble versus membrane FLT1, and VEGF/PlGF heterodimer context matter.
EXPAND23A-BULK-0050	M23A-E262	M23B-E000231	M23A-B011-EVID-054	PMID:12796773; DOI:10.1074/jbc.273.35.22272	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium); exact A-to-B mapping resolved.	KDR dominance and heterodimer context are branch-specific; no terminal TF.
EXPAND23A-BULK-0051	M23A-E263	M23B-E000232	M23A-B011-EVID-055	PMID:15126502; PMID:23645683; PMCID:PMC3689943	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=high); exact A-to-B mapping resolved.	Evidence is strongest for PlGF-2, not all PlGF isoforms; NRP1 is noncatalytic.
EXPAND23A-BULK-0052	M23A-E264	M23B-E000233	M23A-B011-EVID-056	PMID:15126502; PMID:23645683; PMCID:PMC3689943	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium-high); exact A-to-B mapping resolved.	Cell-specific partners are required; no terminal TF.
EXPAND23A-BULK-0053	M23A-E265	M23B-E000234	M23A-B011-EVID-057	PMCID:PMC3402285; PMID:22677557; PMID:25131752	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium-high); exact A-to-B mapping resolved.	No purified binary PLAT-ITGAM affinity; complete Mac-1 and annexin A2 are required.
EXPAND23A-BULK-0054	M23A-E266	M23B-E000235	M23A-B011-EVID-058	PMCID:PMC3402285; PMID:22677557; PMID:25131752	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium-high); exact A-to-B mapping resolved.	No terminal TF occupancy assay; not SCI-specific.
EXPAND23A-BULK-0055	M23A-E267	M23B-E000236	M23A-B011-EVID-059;M23A-B011-EVID-060	PMID:11598185; PMCID:PMC60149; PMID:19411312	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (2 qualifying evidence record(s); confidence=medium); exact A-to-B mapping resolved.	Do not relabel as direct uPA-ITGA3 binding; alpha3beta1 and matrix context are required. | No free ITGA3 edge and no terminal TF.
EXPAND23A-BULK-0056	M23A-E268	M23B-E000237	M23A-B011-EVID-061	PMID:19411312; PMCID:PMC2711805; PMID:15684035	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium-low); exact A-to-B mapping resolved.	Purified direct uPA-beta1 binding was not shown; beta1 partner and matrix context vary.
EXPAND23A-BULK-0057	M23A-E269	M23B-E000238	M23A-B011-EVID-062	PMID:12426305; PMID:16267271; PMID:23709605	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium-high); exact A-to-B mapping resolved.	Cleavage state, integrin composition, EGFR abundance, and uPA form alter the branch.
EXPAND23A-BULK-0058	M23A-E270	M23B-E000239	M23A-B011-EVID-063	PMID:19695571	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium); exact A-to-B mapping resolved.	No purified binary interface; mainly alphaVbeta3 and not free ITGAV; not SCI-specific.
EXPAND23A-BULK-0059	M23A-E271	M23B-E000240	M23A-B011-EVID-064	PMID:18753297; PMID:19695571	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=medium); exact A-to-B mapping resolved.	AlphaVbeta3 is emphasized in the vascular study; no single stoichiometry applies to every model.
EXPAND23A-BULK-0060	M23A-E347	M23B-E000316	M23A-B016-EVID-001	PMID:14519852; PMCID:PMC218764; DOI:10.1073/pnas.2032886100	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=high); exact A-to-B mapping resolved.	Soluble/trimeric CD40L and activated integrin conformation are required; platelet/hemostasis comparator, not SCI.
EXPAND23A-BULK-0061	M23A-E348	M23B-E000317	M23A-B016-EVID-002	PMID:14519852; PMCID:PMC218764; DOI:10.1073/pnas.2032886100	PROMOTE_SOURCE_BACKED_EDGE	reviewed_supported	true	Existing 23A primary-paper evidence gate passed (1 qualifying evidence record(s); confidence=high); exact A-to-B mapping resolved.	Soluble/trimeric CD40L and activated integrin conformation are required; platelet/hemostasis comparator, not SCI.
