paper_anchor	anchor_type	module_coverage	source_review_ids	associated_evidence_count	associated_edge_count	associated_evidence_ids	associated_edge_ids	local_source_paths	source_artifact_status	selected_artifact_path	artifact_resolution_method	source_format	candidate_excerpt	excerpt_sentence_index	excerpt_match_terms	extraction_method	paper_extraction_status	human_validation_status	promotion_status
DOI:10.1006/bbrc.2001.4833	DOI	23A;23B		2	2	M23B-EVID-000674;M23B-EVID-000675	M23B-E000494;M23B-E000495		local_abstract_or_metadata_artifact	data/raw/evidence/module23_doi_metadata_20260905/DOI_7f6971b81ad24954.json	additional_root_manifest_crosswalk	xml_or_metadata	10.1006/bbrc.2001.4833_RF10 crossref 91 10.1038/379091a0 Regulation of cell adhesion and anchorage-dependent growth by a new beta 1-integrin-linked protein kinase 379 Hannigan 1996 Nature 10.1006/bbrc.2001.4833_RF11 crossref 1149 10.1083/jcb.138.5.1149 ICAP-1, a novel beta1 integrin cytoplasmic domain-associated protein, binds to a conserved and functionally important NPXY sequence motif of beta1 integrin 138 Chang 1997 J.	19	calreticulin;associates;intracellularly;with;alpha3;integrin;influences;integrin-mediated;adhesion;prommp-2;output;intracellular	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_abstract_or_metadata	required	not_promoted
DOI:10.1006/dbio.1996.0283	DOI	23B		1	1	M23B-EVID-000064	M23B-E000040		local_abstract_or_metadata_artifact	data/raw/evidence/module23_doi_metadata_20260905/DOI_f00039c13142154b.json	additional_root_manifest_crosswalk	xml_or_metadata	ok work 1.0.0 2025-10-17T13:06:25Z 3.44.0 Elsevier BV 1 1996-11-01T00:00:00Z tdm https://www.elsevier.com/tdm/userlicense/1.0/ 1996-11-01T00:00:00Z tdm https://www.elsevier.com/legal/tdmrep-license 2002-05-25T00:00:00Z vor http://creativecommons.org/licenses/by-nc-nd/4.0/ elsevier.com sciencedirect.com Developmental Biology 10.1006/dbio.1996.0283 journal-article 2002-10-07T10:19:07Z 41-53 https://doi.org/10.1016/elsevier_cm_policy Crossref Expression Pattern of Collagen IX and Potential Role in the Segmentation of the Peripheral Nervous System 10.1016 180 C.	1	substrate-bound;collagen;avoided;developing;sensory;motor;neurites;neural;crest;cells;chondroitinase;abolished	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_abstract_or_metadata	required	not_promoted
DOI:10.1006/excr.1993.1134	DOI	23A;23B	EXPAND23A-REV-069	5	5	M23B-EVID-000066;M23B-EVID-EXPAND23A-162;M23B-EVID-EXPAND23A-163;M23B-EVID-EXPAND23A-164;M23B-EVID-EXPAND23A-165	M23B-E000042;M23B-E001218;M23B-E001219;M23B-E001220;M23B-E001221	data/raw/evidence/module23a_review_led_20260904/collagen_vi_integrin_receptors_pubmed.xml	local_abstract_or_metadata_artifact	data/raw/evidence/module23a_review_led_20260904/collagen_vi_integrin_receptors_pubmed.xml	register_declared_path	xml_or_metadata	Inhibition tests with antibodies to integrin subunits, affinity chromatography, and ligand binding with purified integrins (alpha 1 beta 1, alpha 2 beta 1, alpha V beta 3, and alpha IIb beta 3) were used to identify collagen VI receptors.	7	qualifying;exact;col6a4-;col6a5-;col6a6-specific;binding;relay;cellular;validated;native;triple-helical;substrate	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_abstract_or_metadata	required	not_promoted
DOI:10.1006/mcne.1998.0696	DOI	23A;23B		1	1	M23B-EVID-000444	M23B-E000295		local_abstract_or_metadata_artifact	data/raw/evidence/module23_doi_metadata_20260905/DOI_b463c2317a2c3684.json	additional_root_manifest_crosswalk	xml_or_metadata	ok work 1.0.0 2026-05-21T05:47:13Z 3.51.4 Elsevier BV 5-6 1998-08-01T00:00:00Z tdm https://www.elsevier.com/tdm/userlicense/1.0/ Molecular and Cellular Neuroscience 10.1006/mcne.1998.0696 journal-article 2002-10-07T10:50:13Z 247-259 Crossref Regulation of Hippocampal Synaptic Plasticity by the Tyrosine Kinase Receptor, REK7/EphA5, and its Ligand, AL-1/Ephrin-A5 10.1006 11 Wei-Qiang Gao first author crossref Natasha Shinsky additional author crossref Mark P.	1	ephrin-a5;epha5;interactions;altered;metabolic;glutamatergic;outputs;independent;hippocampal-slice;synaptic	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_abstract_or_metadata	required	not_promoted
DOI:10.1007/s00018-018-2791-2	DOI	23A;23B		1	1	M23B-EVID-000639	M23B-E000459		local_abstract_or_metadata_artifact	data/raw/evidence/module23_doi_metadata_20260905/DOI_e0165bb60589dacc.json	additional_root_manifest_crosswalk	xml_or_metadata	Annu Rev Neurosci 24:519–550 Annu Rev Neurosci 2791_CR50 publisher 36 10.1186/1750-1326-6-36 6 HC Altmeppen 2011 Altmeppen HC, Prox J, Puig B, Kluth MA, Bernreuther C, Thurm D, Jorissen E, Petrowitz B, Bartsch U, De Strooper B et al (2011) Lack of a-disintegrin-and-metalloproteinase ADAM10 leads to intracellular accumulation and loss of shedding of the cellular prion protein in vivo.	54	loss;tspan15;reduces;active;adam10;selectively;changes;neuronal;ectodomain;shedding;mouse;brain	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_abstract_or_metadata	required	not_promoted
DOI:10.1007/s00401-014-1482-4	DOI	23A;23B		1	1	M23B-EVID-000065	M23B-E000041		no_local_artifact		no_artifact	not_acquired		0		paper_anchor_inventory	identifier_requires_manual_correction	required	not_promoted
DOI:10.1007/s00401-019-02011-1	DOI	23A;23B		3	2	M23B-EVID-000684;M23B-EVID-000685;M23B-EVID-000686	M23B-E000502;M23B-E000503		local_abstract_or_metadata_artifact	data/raw/evidence/module23_doi_metadata_20260905/DOI_8b89602ca20d555b.json	additional_root_manifest_crosswalk	xml_or_metadata	Brain Res 574:178–192 Brain Res 2011_CR27 publisher 3823 10.1074/jbc.M108011200 277 A Freywald 2002 Freywald A, Sharfe N, Roifman CM (2002) The kinase-null EphB6 receptor undergoes transphosphorylation in a complex with EphB1.	49	cited;record;binding;activation;efnb3;ephb6;stated;branch;this;does;transfer;family-level	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_abstract_or_metadata	required	not_promoted
DOI:10.1007/s00441-020-03308-0	DOI	23A;23B		3	3	M23B-EVID-000513;M23B-EVID-000514;M23B-EVID-000515	M23B-E000353;M23B-E000354;M23B-E000355		no_local_artifact		no_artifact	not_acquired		0		paper_anchor_inventory	identifier_requires_manual_correction	required	not_promoted
DOI:10.1007/s10059-010-0075-2	DOI	23A;23B		1	1	M23B-EVID-000446	M23B-E000297		local_abstract_or_metadata_artifact	data/raw/evidence/module23_doi_metadata_20260905/DOI_f94fd909a2b68f56.json	additional_root_manifest_crosswalk	xml_or_metadata	ok work 1.0.0 2026-05-13T07:54:39Z 3.51.4 Elsevier BV 6 2010-05-22T00:00:00Z tdm http://www.springer.com/tdm Mol Cells 10.1007/s10059-010-0075-2 journal-article 2010-05-22T09:46:23Z 603-609 Crossref EphA8-ephrinA5 signaling and clathrin-mediated endocytosis is regulated by Tiam-1, a Rac-specific guanine nucleotide exchange factor 10.1016 29 Sooyeon Yoo first author crossref Jongdae Shin additional author crossref Soochul Park additional author crossref 78 75_CR1 crossref 375 10.1016/S0959-4388(98)80064-0 8 K.	1	ephrin-a5;treatment;engaged;epha8;endocytosis;tiam1;receptor-proximal;relay	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_abstract_or_metadata	required	not_promoted
DOI:10.1007/s10456-013-9389-y	DOI	23A;23B		2	2	M23B-EVID-001347;M23B-EVID-001348	M23B-E001002;M23B-E001003		local_abstract_or_metadata_artifact	data/raw/evidence/module23_doi_metadata_20260905/DOI_cc6dbe3b572ce99f.json	additional_root_manifest_crosswalk	xml_or_metadata	Clin Exp Metastasis 18(2):111–120 Clin Exp Metastasis 4 9389_CR4 crossref 407 10.1038/nm846 9 JH Qi 2003 Qi JH, Ebrahem Q, Moore N, Murphy G, Claesson-Welsh L, Bond M, Baker A, Anand-Apte B (2003) A novel function for tissue inhibitor of metalloproteinases-3 (TIMP3): inhibition of angiogenesis by blockage of VEGF binding to VEGF receptor-2.	9	cited;record;binding;activation;timp3;vegfr2;stated;pae-kdr;human;endothelial;recombinant;ectodomain	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_abstract_or_metadata	required	not_promoted
DOI:10.1016/j.abb.2022.109329	DOI	23A;23B		3	3	M23B-EVID-000480;M23B-EVID-000481;M23B-EVID-000482	M23B-E000324;M23B-E000325;M23B-E000326		local_abstract_or_metadata_artifact	data/raw/evidence/module23_doi_metadata_20260905/DOI_917f5cc1839abff1.json	additional_root_manifest_crosswalk	xml_or_metadata	ok work 1.0.0 2026-06-12T11:46:21Z 3.54.1 Elsevier BV 2022-09-01T00:00:00Z tdm https://www.elsevier.com/tdm/userlicense/1.0/ 2022-09-01T00:00:00Z tdm https://www.elsevier.com/legal/tdmrep-license 2022-09-01T00:00:00Z stm-asf https://doi.org/10.15223/policy-017 2022-09-01T00:00:00Z stm-asf https://doi.org/10.15223/policy-037 2022-09-01T00:00:00Z stm-asf https://doi.org/10.15223/policy-012 2022-09-01T00:00:00Z stm-asf https://doi.org/10.15223/policy-029 2022-09-01T00:00:00Z stm-asf https://doi.org/10.15223/policy-004 elsevier.com sciencedirect.com Archives of Biochemistry and Biophysics 10.1016/j.abb.2022.109329 journal-article 2022-06-20T11:02:06Z 109329 https://doi.org/10.1016/elsevier_cm_policy Crossref C Heterophilic recognition between E-cadherin and N-cadherin relies on same canonical binding interface as required for E-cadherin homodimerization 10.1016 727 Sagarika Dash first crossr	1	cdh1;retained;only;receptor;complex;resolution;stated;cited;record;without;transferring;family	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_abstract_or_metadata	required	not_promoted
DOI:10.1016/j.abb.2026.110820	DOI	23A;23B		3	2	M23B-EVID-000714;M23B-EVID-000715;M23B-EVID-000716	M23B-E000525;M23B-E000526		local_abstract_or_metadata_artifact	data/raw/evidence/module23_doi_metadata_20260905/DOI_1758b1c641463e42.json	additional_root_manifest_crosswalk	xml_or_metadata	Archives of Biochemistry and Biophysics en https://api.elsevier.com/content/article/PII:S0003986126000913?httpAccept=text/xml text/xml vor text-mining https://api.elsevier.com/content/article/PII:S0003986126000913?httpAccept=text/plain text/plain vor text-mining 2026-05-12T00:43:16Z https://linkinghub.elsevier.com/retrieve/pii/S0003986126000913 S0003986126000913 https://doi.org/10.1016/j.abb.2026.110820 0003-9861 0003-9861 print Elsevier publisher This article is maintained by Hepassocin drives EGFR-dependent endothelial atherogenic activation via NOX1/ROS amplification and p38 signaling articletitle Article Title Archives of Biochemistry and Biophysics journaltitle Journal Title https://doi.org/10.1016/j.abb.2026.110820 articlelink CrossRef DOI link to publisher maintained version article content_type Content Type © 2026 Elsevier Inc.	71	qualifying;exact-primary;binding;activation;record;promoted;within;bounded;pass;fgl1;egfr;trans	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_abstract_or_metadata	required	not_promoted
DOI:10.1016/j.ajpath.2011.01.039	DOI	23A;23B		3	3	M23B-EVID-001150;M23B-EVID-001151;M23B-EVID-001152	M23B-E000851;M23B-E000852;M23B-E000853		local_abstract_or_metadata_artifact	data/raw/evidence/module23_doi_metadata_20260905/DOI_17d501c18b1b6853.json	additional_root_manifest_crosswalk	xml_or_metadata	99 Varki 1997 J Clin Invest 10.1016/j.ajpath.2011.01.039_bib42 crossref 2549 10.4049/jimmunol.159.6.2549 CD44 activation and associated primary adhesion is inducible via T cell receptor stimulation 159 DeGrendele 1997 J Immunol 10.1016/j.ajpath.2011.01.039_bib43 crossref 941 10.1126/science.282.5390.941 TNF-alpha induction of CD44-mediated leukocyte adhesion by sulfation 282 Maiti 1998 Science 10.1016/j.ajpath.2011.01.039_bib44 crossref 915 10.1084/jem.20071765 Interaction of CD44 and hyaluronan is the dominant mechanism for neutrophil sequestration in inflamed liver sinusoids 205 McDonald 2008 J Exp Med 10.1016/j.ajpath.2011.01.039_bib45 crossref 2181 10.1084/jem.188.11.2181 The functional paradox of CD43 in leukocyte recruitment: a study using CD43-deficient mice 188 Woodman 1998 J Exp Med 10.1016/j.ajpath.2011.01.039_bib46 crossref 661 10.1083/jcb.128.4.661 P-selectin glycoprotein lig	4	exact-pair;exact-complex;evidence;queued;claim;stated;receptor;resolution;free-subunit;family;transfer;made	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_abstract_or_metadata	required	not_promoted
DOI:10.1016/j.ajpath.2016.11.010	DOI	23A;23B		3	3	M23B-EVID-000011;M23B-EVID-000012;M23B-EVID-000249	M23B-E000010;M23B-E000011;M23B-E000175		local_abstract_or_metadata_artifact	data/raw/evidence/module23_doi_metadata_20260905/DOI_50f46e2cdb852cc9.json	additional_root_manifest_crosswalk	xml_or_metadata	7 Bradbury 2006 Nat Rev Neurosci 10.1016/j.ajpath.2016.11.010_bib2 crossref 865 10.1089/neu.2011.2052 A systematic review of the effects of pharmacological agents on walking function in people with spinal cord injury 29 Domingo 2012 J Neurotrauma 10.1016/j.ajpath.2016.11.010_bib3 crossref E14 10.3171/FOC.2008.25.11.E14 Protection and repair of the injured spinal cord: a review of completed, ongoing, and planned clinical trials for acute spinal cord injury 25 Hawryluk 2008 Neurosurg Focus 10.1016/j.ajpath.2016.11.010_bib4 crossref 425 10.1089/neu.2014.3812 A systematic review of experimental strategies aimed at improving motor function after acute and chronic spinal cord injury 33 Gomes-Osman 2016 J Neurotrauma 10.1016/j.ajpath.2016.11.010_bib5 crossref 914 10.1038/sc.2016.95 The effectiveness of 22 commonly administered physiotherapy interventions for people with spinal cord injury: a sy	2	postn;perturbation;altered;alphavbeta3-associated;macrophage;migration;akt-linked;scar;signaling;loss;reduced;fibrotic	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_abstract_or_metadata	required	not_promoted
DOI:10.1016/j.atherosclerosis.2012.08.017	DOI	23A;23B		6	6	M23B-EVID-000579;M23B-EVID-000580;M23B-EVID-000581;M23B-EVID-000582;M23B-EVID-000583;M23B-EVID-000584	M23B-E000406;M23B-E000407;M23B-E000408;M23B-E000409;M23B-E000410;M23B-E000411		local_abstract_or_metadata_artifact	data/raw/evidence/module23_doi_metadata_20260905/DOI_55dc382679931ed3.json	additional_root_manifest_crosswalk	xml_or_metadata	Update of the Portuguese familial hypercholesterolaemia study 212 Medeiros 2010 Atherosclerosis 10.1016/j.atherosclerosis.2012.08.017_bib4 crossref 407 10.1093/aje/kwh236 Genetic causes of monogenic heterozygous familial hypercholesterolemia: a huge prevalence review 160 Austin 2004 Am J Epidemiol 10.1016/j.atherosclerosis.2012.08.017_bib5 crossref 133 10.1146/annurev.ge.24.120190.001025 The LDL receptor locus in familial hypercholesterolemia: mutational analysis of a membrane protein 24 Hobbs 1990 Annu Rev Genet 10.1016/j.atherosclerosis.2012.08.017_bib6 crossref 106 10.1007/s004390050321 The T705I mutation of the low density lipoprotein receptor gene (FH Paris-9) does not cause familial hypercholesterolemia 99 Lombardi 1997 Hum Genet 10.1016/j.atherosclerosis.2012.08.017_bib7 crossref 67 10.1016/j.atherosclerosis.2004.01.001 Genetic diagnosis of familial hypercholesterolaemia: a mutati	8	cx3cl1;retained;only;receptor;complex;resolution;stated;cited;record;without;transferring;family	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_abstract_or_metadata	required	not_promoted
DOI:10.1016/j.bbrc.2008.09.138	DOI	23A;23B		1	1	M23B-EVID-000291	M23B-E000206		local_abstract_or_metadata_artifact	data/raw/evidence/module23_doi_metadata_20260905/DOI_4c0b4b1f4786067d.json	additional_root_manifest_crosswalk	xml_or_metadata	10.1016/j.bbrc.2008.09.138_bib4 crossref 477 10.1083/jcb.146.2.477 Characterization of integrin-tetraspanin adhesion complexes: role of tetraspans in integrin signaling 146 Berdichevski 1999 J.	8	tspan1-associated;alpha6beta1;signaling;complex	deterministic_sentence_match_against_local_artifact	candidate_extracted_from_abstract_or_metadata	required	not_promoted
